"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","PS(36:0)-H",0,0,0,0,0,0,"6.59304242424242","6.89304242424242","2477","","PS(36:0)-H",0,0,0,0,0,0,"6.59304242424242","6.89304242424242","2477","","PS(36:0)-H",0,0,0,0,0,0,"6.59304242424242","6.89304242424242","2477","","PS(36:0)-H",0,0,0,0,0,0,"6.59304242424242","6.89304242424242","2477","","PS(36:0)-H",0,0,0,0,0,0,"6.59304242424242","6.89304242424242","2477","","PS(36:0)-H","790.5604","703.52838","224.06881","152.99586","96.96964","78.95852","6.59304242424242","6.89304242424242","2477"
"","PS(36:1)-H",1,0,0,0,0,0,"5.63370151515152","5.93370151515152","220","","PS(36:1)-H",5.804299,0,5.804299,0,0,0,"5.63370151515152","5.93370151515152","220","","PS(36:1)-H",1,0,1,0,0,0,"5.63370151515152","5.93370151515152","220","","PS(36:1)-H",7131.971,0,801.5891,0,0,0,"5.63370151515152","5.93370151515152","220","","PS(36:1)-H",788.5464,0,224.0695,0,0,0,"5.63370151515152","5.93370151515152","220","","PS(36:1)-H","788.5448","701.51278","224.06881","152.99586","96.96964","78.95852","5.63370151515152","5.93370151515152","220"
"","PS(37:0)-H",1,0,1,0,0,0,"7.16090151515151","7.46090151515151","155","","PS(37:0)-H",7.344148,0,7.344148,0,0,0,"7.16090151515151","7.46090151515151","155","","PS(37:0)-H",2,0,2,0,0,0,"7.16090151515151","7.46090151515151","155","","PS(37:0)-H",50404.5,0,10147.14,0,0,0,"7.16090151515151","7.46090151515151","155","","PS(37:0)-H",804.5769,0,224.0693,0,0,0,"7.16090151515151","7.46090151515151","155","","PS(37:0)-H","804.5761","717.54408","224.06881","152.99586","96.96964","78.95852","7.16090151515151","7.46090151515151","155"
"","PS(37:1)-H",1,0,1,1,0,0,"6.24482727272727","6.54482727272727","70","","PS(37:1)-H",6.367817,0,6.367817,6.367817,0,0,"6.24482727272727","6.54482727272727","70","","PS(37:1)-H",2,0,2,1,0,0,"6.24482727272727","6.54482727272727","70","","PS(37:1)-H",124890,0,42620.08,1353.82,0,0,"6.24482727272727","6.54482727272727","70","","PS(37:1)-H",802.56105,0,224.06935,152.9958,0,0,"6.24482727272727","6.54482727272727","70","","PS(37:1)-H","802.5605","715.52848","224.06881","152.99586","96.96964","78.95852","6.24482727272727","6.54482727272727","70"
"","PS(37:1)-H",1,0,1,1,0,0,"6.0695696969697","6.3695696969697","500","","PS(37:1)-H",6.367817,0,6.367817,6.367817,0,0,"6.0695696969697","6.3695696969697","500","","PS(37:1)-H",2,0,2,1,0,0,"6.0695696969697","6.3695696969697","500","","PS(37:1)-H",124890,0,42620.08,1353.82,0,0,"6.0695696969697","6.3695696969697","500","","PS(37:1)-H",802.56165,0,224.0693,152.9958,0,0,"6.0695696969697","6.3695696969697","500","","PS(37:1)-H","802.5605","715.52848","224.06881","152.99586","96.96964","78.95852","6.0695696969697","6.3695696969697","500"
"","PS(37:2)-H",1,0,1,0,0,0,"5.38637727272727","5.68637727272727","185","","PS(37:2)-H",5.500496,0,5.500496,0,0,0,"5.38637727272727","5.68637727272727","185","","PS(37:2)-H",2,0,1,0,0,0,"5.38637727272727","5.68637727272727","185","","PS(37:2)-H",9038.361,0,1166.311,0,0,0,"5.38637727272727","5.68637727272727","185","","PS(37:2)-H",800.54545,0,224.0695,0,0,0,"5.38637727272727","5.68637727272727","185","","PS(37:2)-H","800.5448","713.51278","224.06881","152.99586","96.96964","78.95852","5.38637727272727","5.68637727272727","185"
"","PS(37:2)-H",1,0,0,0,0,0,"5.13399242424242","5.43399242424242","191","","PS(37:2)-H",5.235445,0,5.235445,0,0,0,"5.13399242424242","5.43399242424242","191","","PS(37:2)-H",2,0,2,0,0,0,"5.13399242424242","5.43399242424242","191","","PS(37:2)-H",8043.59,0,950.9617,0,0,0,"5.13399242424242","5.43399242424242","191","","PS(37:2)-H",800.54535,0,224.06955,0,0,0,"5.13399242424242","5.43399242424242","191","","PS(37:2)-H","800.5448","713.51278","224.06881","152.99586","96.96964","78.95852","5.13399242424242","5.43399242424242","191"
"","PS(37:2)-H",1,0,0,0,0,0,"5.5910696969697","5.8910696969697","244","","PS(37:2)-H",5.76282,0,5.76282,0,0,0,"5.5910696969697","5.8910696969697","244","","PS(37:2)-H",2,0,1,0,0,0,"5.5910696969697","5.8910696969697","244","","PS(37:2)-H",7286.93,0,565.5018,0,0,0,"5.5910696969697","5.8910696969697","244","","PS(37:2)-H",800.54575,0,224.0692,0,0,0,"5.5910696969697","5.8910696969697","244","","PS(37:2)-H","800.5448","713.51278","224.06881","152.99586","96.96964","78.95852","5.5910696969697","5.8910696969697","244"
"","PS(37:3)-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","PS(37:3)-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","PS(37:3)-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","PS(37:3)-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","PS(37:3)-H",0,0,0,0,0,0,"4.7790303030303","5.0790303030303","844","","PS(37:3)-H","798.5292","711.49718","224.06881","152.99586","96.96964","78.95852","4.7790303030303","5.0790303030303","844"
"","PS(37:3)-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","PS(37:3)-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","PS(37:3)-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","PS(37:3)-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","PS(37:3)-H",0,0,0,0,0,0,"6.00865757575758","6.30865757575758","1893","","PS(37:3)-H","798.5292","711.49718","224.06881","152.99586","96.96964","78.95852","6.00865757575758","6.30865757575758","1893"
"","PS(37:4)-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","PS(37:4)-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","PS(37:4)-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","PS(37:4)-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","PS(37:4)-H",0,0,0,0,0,0,"5.74913636363636","6.04913636363636","976","","PS(37:4)-H","796.5135","709.48148","224.06881","152.99586","96.96964","78.95852","5.74913636363636","6.04913636363636","976"
"","PS(38:0)-H",0,0,0,0,0,0,"7.75165","8.05165","1796","","PS(38:0)-H",0,0,0,0,0,0,"7.75165","8.05165","1796","","PS(38:0)-H",0,0,0,0,0,0,"7.75165","8.05165","1796","","PS(38:0)-H",0,0,0,0,0,0,"7.75165","8.05165","1796","","PS(38:0)-H",0,0,0,0,0,0,"7.75165","8.05165","1796","","PS(38:0)-H","818.5917","731.55968","224.06881","152.99586","96.96964","78.95852","7.75165","8.05165","1796"
"","PS(38:1)-H",1,0,0,0,0,0,"6.82934393939394","7.12934393939394","684","","PS(38:1)-H",7.000907,0,0,0,0,0,"6.82934393939394","7.12934393939394","684","","PS(38:1)-H",1,0,0,0,0,0,"6.82934393939394","7.12934393939394","684","","PS(38:1)-H",7272.433,0,0,0,0,0,"6.82934393939394","7.12934393939394","684","","PS(38:1)-H",816.5781,0,0,0,0,0,"6.82934393939394","7.12934393939394","684","","PS(38:1)-H","816.5761","729.54408","224.06881","152.99586","96.96964","78.95852","6.82934393939394","7.12934393939394","684"
"","PS(38:1)-H",0,0,0,0,0,0,"6.67263333333333","6.97263333333333","969","","PS(38:1)-H",0,0,0,0,0,0,"6.67263333333333","6.97263333333333","969","","PS(38:1)-H",0,0,0,0,0,0,"6.67263333333333","6.97263333333333","969","","PS(38:1)-H",0,0,0,0,0,0,"6.67263333333333","6.97263333333333","969","","PS(38:1)-H",0,0,0,0,0,0,"6.67263333333333","6.97263333333333","969","","PS(38:1)-H","816.5761","729.54408","224.06881","152.99586","96.96964","78.95852","6.67263333333333","6.97263333333333","969"
"","PS(38:2)-H",0,0,0,0,0,0,"5.94582272727273","6.24582272727273","702","","PS(38:2)-H",0,0,0,0,0,0,"5.94582272727273","6.24582272727273","702","","PS(38:2)-H",0,0,0,0,0,0,"5.94582272727273","6.24582272727273","702","","PS(38:2)-H",0,0,0,0,0,0,"5.94582272727273","6.24582272727273","702","","PS(38:2)-H",0,0,0,0,0,0,"5.94582272727273","6.24582272727273","702","","PS(38:2)-H","814.5605","727.52848","224.06881","152.99586","96.96964","78.95852","5.94582272727273","6.24582272727273","702"
