"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment","RT at Max Intensity","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Number of Scans","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Max Intensity","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Average m/z","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment"
"","SM(36:2)+HCO2",0,0,1,"6.10300833333333","6.40300833333333","1230","","SM(36:2)+HCO2",6.211582,0,6.211582,"6.10300833333333","6.40300833333333","1230","","SM(36:2)+HCO2",1,0,1,"6.10300833333333","6.40300833333333","1230","","SM(36:2)+HCO2",652.2381,0,2860.728,"6.10300833333333","6.40300833333333","1230","","SM(36:2)+HCO2",773.5818,0,168.0432,"6.10300833333333","6.40300833333333","1230","","SM(36:2)+HCO2","773.5814","713.5556","168.0431","6.10300833333333","6.40300833333333","1230"
"","SM(36:3)+HCO2",0,0,0,"4.95939545454545","5.25939545454545","1066","","SM(36:3)+HCO2",0,0,0,"4.95939545454545","5.25939545454545","1066","","SM(36:3)+HCO2",0,0,0,"4.95939545454545","5.25939545454545","1066","","SM(36:3)+HCO2",0,0,0,"4.95939545454545","5.25939545454545","1066","","SM(36:3)+HCO2",0,0,0,"4.95939545454545","5.25939545454545","1066","","SM(36:3)+HCO2","771.5658","711.54","168.0431","4.95939545454545","5.25939545454545","1066"
"","SM(38:0)+HCO2",0,0,0,"8.62740151515151","8.92740151515151","1392","","SM(38:0)+HCO2",0,0,0,"8.62740151515151","8.92740151515151","1392","","SM(38:0)+HCO2",0,0,0,"8.62740151515151","8.92740151515151","1392","","SM(38:0)+HCO2",0,0,0,"8.62740151515151","8.92740151515151","1392","","SM(38:0)+HCO2",0,0,0,"8.62740151515151","8.92740151515151","1392","","SM(38:0)+HCO2","805.644","745.6182","168.0431","8.62740151515151","8.92740151515151","1392"
"","SM(38:1)+HCO2",1,0,1,"8.19060303030303","8.49060303030303","273","","SM(38:1)+HCO2",8.359391,0,8.359391,"8.19060303030303","8.49060303030303","273","","SM(38:1)+HCO2",1,0,1,"8.19060303030303","8.49060303030303","273","","SM(38:1)+HCO2",15213.41,0,39075.43,"8.19060303030303","8.49060303030303","273","","SM(38:1)+HCO2",803.6295,0,168.0431,"8.19060303030303","8.49060303030303","273","","SM(38:1)+HCO2","803.6284","743.6026","168.0431","8.19060303030303","8.49060303030303","273"
"","SM(38:2)+HCO2",0,0,0,"7.16355606060606","7.46355606060606","1527","","SM(38:2)+HCO2",0,0,0,"7.16355606060606","7.46355606060606","1527","","SM(38:2)+HCO2",0,0,0,"7.16355606060606","7.46355606060606","1527","","SM(38:2)+HCO2",0,0,0,"7.16355606060606","7.46355606060606","1527","","SM(38:2)+HCO2",0,0,0,"7.16355606060606","7.46355606060606","1527","","SM(38:2)+HCO2","801.6128","741.587","168.0431","7.16355606060606","7.46355606060606","1527"
"","SM(38:3)+HCO2",0,0,0,"5.97570454545455","6.27570454545455","3098","","SM(38:3)+HCO2",0,0,0,"5.97570454545455","6.27570454545455","3098","","SM(38:3)+HCO2",0,0,0,"5.97570454545455","6.27570454545455","3098","","SM(38:3)+HCO2",0,0,0,"5.97570454545455","6.27570454545455","3098","","SM(38:3)+HCO2",0,0,0,"5.97570454545455","6.27570454545455","3098","","SM(38:3)+HCO2","799.5971","739.5713","168.0431","5.97570454545455","6.27570454545455","3098"
"","SM(39:1)+HCO2",1,0,1,"8.75086515151515","9.05086515151515","235","","SM(39:1)+HCO2",8.90853,0,8.90853,"8.75086515151515","9.05086515151515","235","","SM(39:1)+HCO2",1,0,1,"8.75086515151515","9.05086515151515","235","","SM(39:1)+HCO2",10748.71,0,16443.98,"8.75086515151515","9.05086515151515","235","","SM(39:1)+HCO2",817.6455,0,168.0431,"8.75086515151515","9.05086515151515","235","","SM(39:1)+HCO2","817.6441","757.6183","168.0431","8.75086515151515","9.05086515151515","235"
"","SM(40:0)+HCO2",0,0,0,"9.65096666666667","9.95096666666667","611","","SM(40:0)+HCO2",0,0,0,"9.65096666666667","9.95096666666667","611","","SM(40:0)+HCO2",0,0,0,"9.65096666666667","9.95096666666667","611","","SM(40:0)+HCO2",0,0,0,"9.65096666666667","9.95096666666667","611","","SM(40:0)+HCO2",0,0,0,"9.65096666666667","9.95096666666667","611","","SM(40:0)+HCO2","833.6753","773.6495","168.0431","9.65096666666667","9.95096666666667","611"
"","SM(40:1)+HCO2",1,0,1,"9.26437575757576","9.56437575757576","103","","SM(40:1)+HCO2",9.404144,0,9.404144,"9.26437575757576","9.56437575757576","103","","SM(40:1)+HCO2",3,0,3,"9.26437575757576","9.56437575757576","103","","SM(40:1)+HCO2",47392.32,0,108312.7,"9.26437575757576","9.56437575757576","103","","SM(40:1)+HCO2",831.661,0,168.043133333333,"9.26437575757576","9.56437575757576","103","","SM(40:1)+HCO2","831.6597","771.6339","168.0431","9.26437575757576","9.56437575757576","103"
"","SM(40:1)+HCO2",1,0,1,"9.10172727272727","9.40172727272727","734","","SM(40:1)+HCO2",9.284525,0,9.284525,"9.10172727272727","9.40172727272727","734","","SM(40:1)+HCO2",1,0,1,"9.10172727272727","9.40172727272727","734","","SM(40:1)+HCO2",1896.261,0,2792.568,"9.10172727272727","9.40172727272727","734","","SM(40:1)+HCO2",831.6635,0,168.0432,"9.10172727272727","9.40172727272727","734","","SM(40:1)+HCO2","831.6597","771.6339","168.0431","9.10172727272727","9.40172727272727","734"
