"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Number of Scans","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Max Intensity","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Average m/z","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment"
"","PC(29:0)+H",0,0,0,"5.64302916666667","5.94302916666667","3402","","PC(29:0)+H",0,0,0,"5.64302916666667","5.94302916666667","3402","","PC(29:0)+H",0,0,0,"5.64302916666667","5.94302916666667","3402","","PC(29:0)+H",0,0,0,"5.64302916666667","5.94302916666667","3402","","PC(29:0)+H",0,0,0,"5.64302916666667","5.94302916666667","3402","","PC(29:0)+H","692.52254","509.4565","184.07332","5.64302916666667","5.94302916666667","3402"
"","PC(29:0)+H",0,0,0,"5.12018472222222","5.42018472222222","4596","","PC(29:0)+H",0,0,0,"5.12018472222222","5.42018472222222","4596","","PC(29:0)+H",0,0,0,"5.12018472222222","5.42018472222222","4596","","PC(29:0)+H",0,0,0,"5.12018472222222","5.42018472222222","4596","","PC(29:0)+H",0,0,0,"5.12018472222222","5.42018472222222","4596","","PC(29:0)+H","692.52254","509.4565","184.07332","5.12018472222222","5.42018472222222","4596"
"","PC(29:0)+H",0,0,0,"12.1199472222222","12.4199472222222","7285","","PC(29:0)+H",0,0,0,"12.1199472222222","12.4199472222222","7285","","PC(29:0)+H",0,0,0,"12.1199472222222","12.4199472222222","7285","","PC(29:0)+H",0,0,0,"12.1199472222222","12.4199472222222","7285","","PC(29:0)+H",0,0,0,"12.1199472222222","12.4199472222222","7285","","PC(29:0)+H","692.52254","509.4565","184.07332","12.1199472222222","12.4199472222222","7285"
"","PC(29:1)+H",0,0,0,"12.0874060606061","12.3874060606061","9023","","PC(29:1)+H",0,0,0,"12.0874060606061","12.3874060606061","9023","","PC(29:1)+H",0,0,0,"12.0874060606061","12.3874060606061","9023","","PC(29:1)+H",0,0,0,"12.0874060606061","12.3874060606061","9023","","PC(29:1)+H",0,0,0,"12.0874060606061","12.3874060606061","9023","","PC(29:1)+H","690.50684","507.4408","184.07332","12.0874060606061","12.3874060606061","9023"
"","PC(29:2)+H",0,0,0,"11.5169424242424","11.8169424242424","12384","","PC(29:2)+H",0,0,0,"11.5169424242424","11.8169424242424","12384","","PC(29:2)+H",0,0,0,"11.5169424242424","11.8169424242424","12384","","PC(29:2)+H",0,0,0,"11.5169424242424","11.8169424242424","12384","","PC(29:2)+H",0,0,0,"11.5169424242424","11.8169424242424","12384","","PC(29:2)+H","688.49124","505.4252","184.07332","11.5169424242424","11.8169424242424","12384"
"","PC(30:0)+H",1,1,1,"6.02765","6.32765","188","","PC(30:0)+H",6.168828,6.163639,6.168828,"6.02765","6.32765","188","","PC(30:0)+H",3,3,3,"6.02765","6.32765","188","","PC(30:0)+H",1563772,8754.005,18016530,"6.02765","6.32765","188","","PC(30:0)+H",706.538766666667,523.4733,184.073433333333,"6.02765","6.32765","188","","PC(30:0)+H","706.53814","523.4721","184.07332","6.02765","6.32765","188"
"","PC(30:1)+H",1,1,1,"4.889025","5.189025","340","","PC(30:1)+H",5.068664,5.068664,5.068664,"4.889025","5.189025","340","","PC(30:1)+H",2,2,2,"4.889025","5.189025","340","","PC(30:1)+H",570787,4017.501,5020189,"4.889025","5.189025","340","","PC(30:1)+H",704.5241,521.45725,184.07375,"4.889025","5.189025","340","","PC(30:1)+H","704.52254","521.4565","184.07332","4.889025","5.189025","340"
"","PC(30:1)+H",0,0,0,"5.52259444444444","5.82259444444444","9928","","PC(30:1)+H",0,0,0,"5.52259444444444","5.82259444444444","9928","","PC(30:1)+H",0,0,0,"5.52259444444444","5.82259444444444","9928","","PC(30:1)+H",0,0,0,"5.52259444444444","5.82259444444444","9928","","PC(30:1)+H",0,0,0,"5.52259444444444","5.82259444444444","9928","","PC(30:1)+H","704.52254","521.4565","184.07332","5.52259444444444","5.82259444444444","9928"
"","PC(30:1)+H",0,0,0,"7.02406805555556","7.32406805555556","16090","","PC(30:1)+H",0,0,0,"7.02406805555556","7.32406805555556","16090","","PC(30:1)+H",0,0,0,"7.02406805555556","7.32406805555556","16090","","PC(30:1)+H",0,0,0,"7.02406805555556","7.32406805555556","16090","","PC(30:1)+H",0,0,0,"7.02406805555556","7.32406805555556","16090","","PC(30:1)+H","704.52254","521.4565","184.07332","7.02406805555556","7.32406805555556","16090"
"","PC(30:1)+H",0,0,0,"6.90816111111111","7.20816111111111","18891","","PC(30:1)+H",0,0,0,"6.90816111111111","7.20816111111111","18891","","PC(30:1)+H",0,0,0,"6.90816111111111","7.20816111111111","18891","","PC(30:1)+H",0,0,0,"6.90816111111111","7.20816111111111","18891","","PC(30:1)+H",0,0,0,"6.90816111111111","7.20816111111111","18891","","PC(30:1)+H","704.52254","521.4565","184.07332","6.90816111111111","7.20816111111111","18891"
"","PC(30:2)+H",0,0,0,"3.73294305555556","4.03294305555556","4431","","PC(30:2)+H",0,0,0,"3.73294305555556","4.03294305555556","4431","","PC(30:2)+H",0,0,0,"3.73294305555556","4.03294305555556","4431","","PC(30:2)+H",0,0,0,"3.73294305555556","4.03294305555556","4431","","PC(30:2)+H",0,0,0,"3.73294305555556","4.03294305555556","4431","","PC(30:2)+H","702.50684","519.4408","184.07332","3.73294305555556","4.03294305555556","4431"
"","PC(30:3)+H",0,0,0,"4.70208611111111","5.00208611111111","6138","","PC(30:3)+H",0,0,0,"4.70208611111111","5.00208611111111","6138","","PC(30:3)+H",0,0,0,"4.70208611111111","5.00208611111111","6138","","PC(30:3)+H",0,0,0,"4.70208611111111","5.00208611111111","6138","","PC(30:3)+H",0,0,0,"4.70208611111111","5.00208611111111","6138","","PC(30:3)+H","700.49124","517.4252","184.07332","4.70208611111111","5.00208611111111","6138"
"","PC(31:0)+H",1,0,1,"8.64666527777777","8.94666527777777","95","","PC(31:0)+H",8.815608,0,8.815608,"8.64666527777777","8.94666527777777","95","","PC(31:0)+H",2,0,2,"8.64666527777777","8.94666527777777","95","","PC(31:0)+H",73318.2,0,24206.71,"8.64666527777777","8.94666527777777","95","","PC(31:0)+H",720.5545,0,184.07355,"8.64666527777777","8.94666527777777","95","","PC(31:0)+H","720.55384","537.4878","184.07332","8.64666527777777","8.94666527777777","95"
"","PC(31:0)+H",1,1,1,"6.63066666666667","6.93066666666667","518","","PC(31:0)+H",6.821414,6.821414,6.821414,"6.63066666666667","6.93066666666667","518","","PC(31:0)+H",1,1,1,"6.63066666666667","6.93066666666667","518","","PC(31:0)+H",360136.4,2813.272,2626446,"6.63066666666667","6.93066666666667","518","","PC(31:0)+H",720.5547,537.4888,184.0736,"6.63066666666667","6.93066666666667","518","","PC(31:0)+H","720.55384","537.4878","184.07332","6.63066666666667","6.93066666666667","518"
"","PC(31:0)+H",1,0,1,"6.43381527777778","6.73381527777778","1486","","PC(31:0)+H",6.58182,0,6.58182,"6.43381527777778","6.73381527777778","1486","","PC(31:0)+H",1,0,1,"6.43381527777778","6.73381527777778","1486","","PC(31:0)+H",89414.06,0,588656.8,"6.43381527777778","6.73381527777778","1486","","PC(31:0)+H",720.5549,0,184.0736,"6.43381527777778","6.73381527777778","1486","","PC(31:0)+H","720.55384","537.4878","184.07332","6.43381527777778","6.73381527777778","1486"
"","PC(31:1)+H",1,0,1,"7.62599583333333","7.92599583333333","802","","PC(31:1)+H",7.810819,0,7.872663,"7.62599583333333","7.92599583333333","802","","PC(31:1)+H",1,0,2,"7.62599583333333","7.92599583333333","802","","PC(31:1)+H",6364.684,0,6397098,"7.62599583333333","7.92599583333333","802","","PC(31:1)+H",718.5387,0,184.07355,"7.62599583333333","7.92599583333333","802","","PC(31:1)+H","718.53824","535.4722","184.07332","7.62599583333333","7.92599583333333","802"
"","PC(31:1)+H",1,0,1,"5.51697222222222","5.81697222222222","1575","","PC(31:1)+H",5.717829,5.717829,5.717829,"5.51697222222222","5.81697222222222","1575","","PC(31:1)+H",1,1,1,"5.51697222222222","5.81697222222222","1575","","PC(31:1)+H",54893.42,882.8192,369037.2,"5.51697222222222","5.81697222222222","1575","","PC(31:1)+H",718.5396,535.4733,184.0737,"5.51697222222222","5.81697222222222","1575","","PC(31:1)+H","718.53824","535.4722","184.07332","5.51697222222222","5.81697222222222","1575"
