"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PE","[M+H]+","MH-PC","head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PE","[M+H]+","MH-PC","head","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PE","[M+H]+","MH-PC","head","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PE","[M+H]+","MH-PC","head","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PE","[M+H]+","MH-PC","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PE","[M+H]+","MH-PC","head","RT_min","RT_max","Comment"
"","Plasmenyl-PE(34:1)+H",0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmenyl-PE(34:1)+H",0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmenyl-PE(34:1)+H",0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmenyl-PE(34:1)+H",0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmenyl-PE(34:1)+H",0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmenyl-PE(34:1)+H","702.54326","603.5710876","142.02639","7.41902083333333","7.71902083333333","15955"
"","Plasmenyl-PE(34:2)+H",1,0,0,"7.21744861111111","7.51744861111111","574","","Plasmenyl-PE(34:2)+H",7.404381,0,0,"7.21744861111111","7.51744861111111","574","","Plasmenyl-PE(34:2)+H",1,0,0,"7.21744861111111","7.51744861111111","574","","Plasmenyl-PE(34:2)+H",16014.32,0,0,"7.21744861111111","7.51744861111111","574","","Plasmenyl-PE(34:2)+H",700.5283,0,0,"7.21744861111111","7.51744861111111","574","","Plasmenyl-PE(34:2)+H","700.52756","601.5553876","142.02639","7.21744861111111","7.51744861111111","574"
"","Plasmenyl-PE(34:2)+H",0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmenyl-PE(34:2)+H",0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmenyl-PE(34:2)+H",0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmenyl-PE(34:2)+H",0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmenyl-PE(34:2)+H",0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmenyl-PE(34:2)+H","700.52756","601.5553876","142.02639","12.1304388888889","12.4304388888889","11033"
"","Plasmenyl-PE(34:3)+H",0,0,0,"12.2112083333333","12.5112083333333","6047","","Plasmenyl-PE(34:3)+H",0,0,0,"12.2112083333333","12.5112083333333","6047","","Plasmenyl-PE(34:3)+H",0,0,0,"12.2112083333333","12.5112083333333","6047","","Plasmenyl-PE(34:3)+H",0,0,0,"12.2112083333333","12.5112083333333","6047","","Plasmenyl-PE(34:3)+H",0,0,0,"12.2112083333333","12.5112083333333","6047","","Plasmenyl-PE(34:3)+H","698.51196","599.5397876","142.02639","12.2112083333333","12.5112083333333","6047"
"","Plasmenyl-PE(34:3)+H",0,0,0,"11.5428636363636","11.8428636363636","13801","","Plasmenyl-PE(34:3)+H",0,0,0,"11.5428636363636","11.8428636363636","13801","","Plasmenyl-PE(34:3)+H",0,0,0,"11.5428636363636","11.8428636363636","13801","","Plasmenyl-PE(34:3)+H",0,0,0,"11.5428636363636","11.8428636363636","13801","","Plasmenyl-PE(34:3)+H",0,0,0,"11.5428636363636","11.8428636363636","13801","","Plasmenyl-PE(34:3)+H","698.51196","599.5397876","142.02639","11.5428636363636","11.8428636363636","13801"
"","Plasmenyl-PE(35:0)+H",1,0,0,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PE(35:0)+H",7.872663,0,0,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PE(35:0)+H",2,0,0,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PE(35:0)+H",740660.8,0,0,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PE(35:0)+H",718.57525,0,0,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PE(35:0)+H","718.57456","619.6023876","142.02639","7.75862638888889","8.05862638888889","197"
"","Plasmenyl-PE(35:0)+H",1,0,0,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PE(35:0)+H",7.144014,0,0,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PE(35:0)+H",1,0,0,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PE(35:0)+H",178567.1,0,0,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PE(35:0)+H",718.576,0,0,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PE(35:0)+H","718.57456","619.6023876","142.02639","6.86943888888889","7.16943888888889","699"
"","Plasmenyl-PE(35:1)+H",1,0,0,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PE(35:1)+H",6.856732,0,0,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PE(35:1)+H",1,0,0,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PE(35:1)+H",73595.97,0,0,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PE(35:1)+H",716.5604,0,0,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PE(35:1)+H","716.55896","617.5867876","142.02639","6.66181805555556","6.96181805555556","1083"
"","Plasmenyl-PE(35:1)+H",0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PE(35:1)+H",0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PE(35:1)+H",0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PE(35:1)+H",0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PE(35:1)+H",0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PE(35:1)+H","716.55896","617.5867876","142.02639","5.83862777777778","6.13862777777778","2703"
"","Plasmenyl-PE(35:1)+H",1,0,0,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PE(35:1)+H",6.856732,0,0,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PE(35:1)+H",1,0,0,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PE(35:1)+H",73595.97,0,0,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PE(35:1)+H",716.5604,0,0,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PE(35:1)+H","716.55896","617.5867876","142.02639","6.64093611111111","6.94093611111111","9134"
"","Plasmenyl-PE(35:1)+H",0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PE(35:1)+H",0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PE(35:1)+H",0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PE(35:1)+H",0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PE(35:1)+H",0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PE(35:1)+H","716.55896","617.5867876","142.02639","8.7356962962963","9.0356962962963","10132"
"","Plasmenyl-PE(35:1)+H",1,0,0,"6.77170138888889","7.07170138888889","18325","","Plasmenyl-PE(35:1)+H",6.856732,0,0,"6.77170138888889","7.07170138888889","18325","","Plasmenyl-PE(35:1)+H",1,0,0,"6.77170138888889","7.07170138888889","18325","","Plasmenyl-PE(35:1)+H",73595.97,0,0,"6.77170138888889","7.07170138888889","18325","","Plasmenyl-PE(35:1)+H",716.5604,0,0,"6.77170138888889","7.07170138888889","18325","","Plasmenyl-PE(35:1)+H","716.55896","617.5867876","142.02639","6.77170138888889","7.07170138888889","18325"
"","Plasmenyl-PE(35:2)+H",0,0,0,"7.80099166666667","8.10099166666667","2941","","Plasmenyl-PE(35:2)+H",0,0,0,"7.80099166666667","8.10099166666667","2941","","Plasmenyl-PE(35:2)+H",0,0,0,"7.80099166666667","8.10099166666667","2941","","Plasmenyl-PE(35:2)+H",0,0,0,"7.80099166666667","8.10099166666667","2941","","Plasmenyl-PE(35:2)+H",0,0,0,"7.80099166666667","8.10099166666667","2941","","Plasmenyl-PE(35:2)+H","714.54326","615.5710876","142.02639","7.80099166666667","8.10099166666667","2941"
"","Plasmenyl-PE(35:2)+H",0,0,0,"5.64565277777778","5.94565277777778","6244","","Plasmenyl-PE(35:2)+H",0,0,0,"5.64565277777778","5.94565277777778","6244","","Plasmenyl-PE(35:2)+H",0,0,0,"5.64565277777778","5.94565277777778","6244","","Plasmenyl-PE(35:2)+H",0,0,0,"5.64565277777778","5.94565277777778","6244","","Plasmenyl-PE(35:2)+H",0,0,0,"5.64565277777778","5.94565277777778","6244","","Plasmenyl-PE(35:2)+H","714.54326","615.5710876","142.02639","5.64565277777778","5.94565277777778","6244"
"","Plasmenyl-PE(35:2)+H",0,0,0,"5.14956805555555","5.44956805555555","8139","","Plasmenyl-PE(35:2)+H",0,0,0,"5.14956805555555","5.44956805555555","8139","","Plasmenyl-PE(35:2)+H",0,0,0,"5.14956805555555","5.44956805555555","8139","","Plasmenyl-PE(35:2)+H",0,0,0,"5.14956805555555","5.44956805555555","8139","","Plasmenyl-PE(35:2)+H",0,0,0,"5.14956805555555","5.44956805555555","8139","","Plasmenyl-PE(35:2)+H","714.54326","615.5710876","142.02639","5.14956805555555","5.44956805555555","8139"
"","Plasmenyl-PE(35:2)+H",0,0,0,"5.46767777777778","5.76767777777778","8246","","Plasmenyl-PE(35:2)+H",0,0,0,"5.46767777777778","5.76767777777778","8246","","Plasmenyl-PE(35:2)+H",0,0,0,"5.46767777777778","5.76767777777778","8246","","Plasmenyl-PE(35:2)+H",0,0,0,"5.46767777777778","5.76767777777778","8246","","Plasmenyl-PE(35:2)+H",0,0,0,"5.46767777777778","5.76767777777778","8246","","Plasmenyl-PE(35:2)+H","714.54326","615.5710876","142.02639","5.46767777777778","5.76767777777778","8246"
"","Plasmenyl-PE(35:2)+H",0,0,0,"5.14429583333333","5.44429583333333","13871","","Plasmenyl-PE(35:2)+H",0,0,0,"5.14429583333333","5.44429583333333","13871","","Plasmenyl-PE(35:2)+H",0,0,0,"5.14429583333333","5.44429583333333","13871","","Plasmenyl-PE(35:2)+H",0,0,0,"5.14429583333333","5.44429583333333","13871","","Plasmenyl-PE(35:2)+H",0,0,0,"5.14429583333333","5.44429583333333","13871","","Plasmenyl-PE(35:2)+H","714.54326","615.5710876","142.02639","5.14429583333333","5.44429583333333","13871"
"","Plasmenyl-PE(36:0)+H",0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PE(36:0)+H",0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PE(36:0)+H",0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PE(36:0)+H",0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PE(36:0)+H",0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PE(36:0)+H","732.59016","633.6179876","142.02639","8.12406805555556","8.42406805555556","1753"
"","Plasmenyl-PE(36:0)+H",0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PE(36:0)+H",0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PE(36:0)+H",0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PE(36:0)+H",0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PE(36:0)+H",0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PE(36:0)+H","732.59016","633.6179876","142.02639","9.3638375","9.6638375","11656"
"","Plasmenyl-PE(36:0)+H",0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PE(36:0)+H",0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PE(36:0)+H",0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PE(36:0)+H",0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PE(36:0)+H",0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PE(36:0)+H","732.59016","633.6179876","142.02639","8.31044848484848","8.61044848484848","12846"
"","Plasmenyl-PE(36:1)+H",1,0,0,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PE(36:1)+H",9.37348,0,0,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PE(36:1)+H",1,0,0,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PE(36:1)+H",7793.215,0,0,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PE(36:1)+H",730.5742,0,0,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PE(36:1)+H","730.57456","631.6023876","142.02639","9.20176666666667","9.50176666666667","1235"
"","Plasmenyl-PE(36:1)+H",0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PE(36:1)+H",0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PE(36:1)+H",0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PE(36:1)+H",0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PE(36:1)+H",0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PE(36:1)+H","730.57456","631.6023876","142.02639","7.04608055555555","7.34608055555555","5546"
"","Plasmenyl-PE(36:1)+H",0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmenyl-PE(36:1)+H",0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmenyl-PE(36:1)+H",0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmenyl-PE(36:1)+H",0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmenyl-PE(36:1)+H",0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmenyl-PE(36:1)+H","730.57456","631.6023876","142.02639","7.23081805555556","7.53081805555556","9368"
"","Plasmenyl-PE(36:1)+H",0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmenyl-PE(36:1)+H",0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmenyl-PE(36:1)+H",0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmenyl-PE(36:1)+H",0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmenyl-PE(36:1)+H",0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmenyl-PE(36:1)+H","730.57456","631.6023876","142.02639","7.05109166666667","7.35109166666667","17349"
"","Plasmenyl-PE(36:2)+H",1,0,0,"8.35855694444444","8.65855694444444","381","","Plasmenyl-PE(36:2)+H",8.539091,0,0,"8.35855694444444","8.65855694444444","381","","Plasmenyl-PE(36:2)+H",1,0,0,"8.35855694444444","8.65855694444444","381","","Plasmenyl-PE(36:2)+H",33965.3,0,0,"8.35855694444444","8.65855694444444","381","","Plasmenyl-PE(36:2)+H",728.5604,0,0,"8.35855694444444","8.65855694444444","381","","Plasmenyl-PE(36:2)+H","728.55886","629.5866876","142.02639","8.35855694444444","8.65855694444444","381"
"","Plasmenyl-PE(36:3)+H",0,0,0,"7.24894027777778","7.54894027777778","813","","Plasmenyl-PE(36:3)+H",0,0,0,"7.24894027777778","7.54894027777778","813","","Plasmenyl-PE(36:3)+H",0,0,0,"7.24894027777778","7.54894027777778","813","","Plasmenyl-PE(36:3)+H",0,0,0,"7.24894027777778","7.54894027777778","813","","Plasmenyl-PE(36:3)+H",0,0,0,"7.24894027777778","7.54894027777778","813","","Plasmenyl-PE(36:3)+H","726.54326","627.5710876","142.02639","7.24894027777778","7.54894027777778","813"
"","Plasmenyl-PE(36:3)+H",0,0,0,"7.47321388888889","7.77321388888889","1207","","Plasmenyl-PE(36:3)+H",0,0,0,"7.47321388888889","7.77321388888889","1207","","Plasmenyl-PE(36:3)+H",0,0,0,"7.47321388888889","7.77321388888889","1207","","Plasmenyl-PE(36:3)+H",0,0,0,"7.47321388888889","7.77321388888889","1207","","Plasmenyl-PE(36:3)+H",0,0,0,"7.47321388888889","7.77321388888889","1207","","Plasmenyl-PE(36:3)+H","726.54326","627.5710876","142.02639","7.47321388888889","7.77321388888889","1207"
