"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","RT at Max Intensity","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Number of Scans","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Max Intensity","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Average m/z","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment"
"","PI(36:1)+NH4",0,0,"1.17231944444444","1.47231944444444","16662","","PI(36:1)+NH4",0,0,"1.17231944444444","1.47231944444444","16662","","PI(36:1)+NH4",0,0,"1.17231944444444","1.47231944444444","16662","","PI(36:1)+NH4",0,0,"1.17231944444444","1.47231944444444","16662","","PI(36:1)+NH4",0,0,"1.17231944444444","1.47231944444444","16662","","PI(36:1)+NH4","882.6067","605.5505","1.17231944444444","1.47231944444444","16662"
"","PI(36:2)+NH4",0,1,"6.77950277777778","7.07950277777778","243","","PI(36:2)+NH4",0,6.948798,"6.77950277777778","7.07950277777778","243","","PI(36:2)+NH4",0,1,"6.77950277777778","7.07950277777778","243","","PI(36:2)+NH4",0,7306930,"6.77950277777778","7.07950277777778","243","","PI(36:2)+NH4",0,603.5352,"6.77950277777778","7.07950277777778","243","","PI(36:2)+NH4","880.591","603.5348","6.77950277777778","7.07950277777778","243"
"","PI(36:2)+NH4",0,0,"6.60444305555556","6.90444305555556","12697","","PI(36:2)+NH4",0,0,"6.60444305555556","6.90444305555556","12697","","PI(36:2)+NH4",0,0,"6.60444305555556","6.90444305555556","12697","","PI(36:2)+NH4",0,0,"6.60444305555556","6.90444305555556","12697","","PI(36:2)+NH4",0,0,"6.60444305555556","6.90444305555556","12697","","PI(36:2)+NH4","880.591","603.5348","6.60444305555556","6.90444305555556","12697"
"","PI(36:3)+NH4",0,1,"5.670375","5.970375","1106","","PI(36:3)+NH4",0,5.817645,"5.670375","5.970375","1106","","PI(36:3)+NH4",0,1,"5.670375","5.970375","1106","","PI(36:3)+NH4",0,1248757,"5.670375","5.970375","1106","","PI(36:3)+NH4",0,601.5206,"5.670375","5.970375","1106","","PI(36:3)+NH4","878.5754","601.5192","5.670375","5.970375","1106"
"","PI(36:3)+NH4",0,1,"5.86812222222222","6.16812222222222","1395","","PI(36:3)+NH4",0,6.036028,"5.86812222222222","6.16812222222222","1395","","PI(36:3)+NH4",0,1,"5.86812222222222","6.16812222222222","1395","","PI(36:3)+NH4",0,644957.5,"5.86812222222222","6.16812222222222","1395","","PI(36:3)+NH4",0,601.5203,"5.86812222222222","6.16812222222222","1395","","PI(36:3)+NH4","878.5754","601.5192","5.86812222222222","6.16812222222222","1395"
"","PI(36:3)+NH4",0,0,"4.83493472222222","5.13493472222222","5726","","PI(36:3)+NH4",0,0,"4.83493472222222","5.13493472222222","5726","","PI(36:3)+NH4",0,0,"4.83493472222222","5.13493472222222","5726","","PI(36:3)+NH4",0,0,"4.83493472222222","5.13493472222222","5726","","PI(36:3)+NH4",0,0,"4.83493472222222","5.13493472222222","5726","","PI(36:3)+NH4","878.5754","601.5192","4.83493472222222","5.13493472222222","5726"
"","PI(36:4)+NH4",0,1,"5.40977777777778","5.70977777777778","592","","PI(36:4)+NH4",0,5.503373,"5.40977777777778","5.70977777777778","592","","PI(36:4)+NH4",0,2,"5.40977777777778","5.70977777777778","592","","PI(36:4)+NH4",0,790471.4,"5.40977777777778","5.70977777777778","592","","PI(36:4)+NH4",0,599.50455,"5.40977777777778","5.70977777777778","592","","PI(36:4)+NH4","876.5597","599.5035","5.40977777777778","5.70977777777778","592"
"","PI(36:4)+NH4",0,0,"4.90494444444445","5.20494444444445","4412","","PI(36:4)+NH4",0,0,"4.90494444444445","5.20494444444445","4412","","PI(36:4)+NH4",0,0,"4.90494444444445","5.20494444444445","4412","","PI(36:4)+NH4",0,0,"4.90494444444445","5.20494444444445","4412","","PI(36:4)+NH4",0,0,"4.90494444444445","5.20494444444445","4412","","PI(36:4)+NH4","876.5597","599.5035","4.90494444444445","5.20494444444445","4412"
"","PI(37:1)+NH4",0,0,"5.16965","5.46965","15016","","PI(37:1)+NH4",0,0,"5.16965","5.46965","15016","","PI(37:1)+NH4",0,0,"5.16965","5.46965","15016","","PI(37:1)+NH4",0,0,"5.16965","5.46965","15016","","PI(37:1)+NH4",0,0,"5.16965","5.46965","15016","","PI(37:1)+NH4","896.6224","619.5662","5.16965","5.46965","15016"
"","PI(37:4)+NH4",0,0,"6.02765","6.32765","3045","","PI(37:4)+NH4",0,0,"6.02765","6.32765","3045","","PI(37:4)+NH4",0,0,"6.02765","6.32765","3045","","PI(37:4)+NH4",0,0,"6.02765","6.32765","3045","","PI(37:4)+NH4",0,0,"6.02765","6.32765","3045","","PI(37:4)+NH4","890.5754","613.5192","6.02765","6.32765","3045"
"","PI(38:2)+NH4",0,0,"7.79029027777778","8.09029027777778","2915","","PI(38:2)+NH4",0,0,"7.79029027777778","8.09029027777778","2915","","PI(38:2)+NH4",0,0,"7.79029027777778","8.09029027777778","2915","","PI(38:2)+NH4",0,0,"7.79029027777778","8.09029027777778","2915","","PI(38:2)+NH4",0,0,"7.79029027777778","8.09029027777778","2915","","PI(38:2)+NH4","908.6224","631.5662","7.79029027777778","8.09029027777778","2915"
