"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment"
"","Plasmanyl-PC(31:0)+H",0,0,0,"7.13543472222222","7.43543472222222","15338","","Plasmanyl-PC(31:0)+H",0,0,0,"7.13543472222222","7.43543472222222","15338","","Plasmanyl-PC(31:0)+H",0,0,0,"7.13543472222222","7.43543472222222","15338","","Plasmanyl-PC(31:0)+H",0,0,0,"7.13543472222222","7.43543472222222","15338","","Plasmanyl-PC(31:0)+H",0,0,0,"7.13543472222222","7.43543472222222","15338","","Plasmanyl-PC(31:0)+H","706.5745576","523.5085176","184.07332","7.13543472222222","7.43543472222222","15338"
"","Plasmanyl-PC(31:1)+H",0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmanyl-PC(31:1)+H",0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmanyl-PC(31:1)+H",0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmanyl-PC(31:1)+H",0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmanyl-PC(31:1)+H",0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmanyl-PC(31:1)+H","704.5588576","521.4928176","184.07332","8.29211805555556","8.59211805555556","2770"
"","Plasmanyl-PC(31:1)+H",0,0,0,"7.151225","7.451225","11381","","Plasmanyl-PC(31:1)+H",0,0,0,"7.151225","7.451225","11381","","Plasmanyl-PC(31:1)+H",0,0,0,"7.151225","7.451225","11381","","Plasmanyl-PC(31:1)+H",0,0,0,"7.151225","7.451225","11381","","Plasmanyl-PC(31:1)+H",0,0,0,"7.151225","7.451225","11381","","Plasmanyl-PC(31:1)+H","704.5588576","521.4928176","184.07332","7.151225","7.451225","11381"
"","Plasmanyl-PC(31:1)+H",0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmanyl-PC(31:1)+H",0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmanyl-PC(31:1)+H",0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmanyl-PC(31:1)+H",0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmanyl-PC(31:1)+H",0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmanyl-PC(31:1)+H","704.5588576","521.4928176","184.07332","9.22618571428571","9.52618571428571","14373"
"","Plasmanyl-PC(31:2)+H",1,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmanyl-PC(31:2)+H",8.352914,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmanyl-PC(31:2)+H",1,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmanyl-PC(31:2)+H",6032.236,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmanyl-PC(31:2)+H",702.5429,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmanyl-PC(31:2)+H","702.5432576","519.4772176","184.07332","8.13996527777778","8.43996527777778","1023"
"","Plasmanyl-PC(31:2)+H",0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmanyl-PC(31:2)+H",0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmanyl-PC(31:2)+H",0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmanyl-PC(31:2)+H",0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmanyl-PC(31:2)+H",0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmanyl-PC(31:2)+H","702.5432576","519.4772176","184.07332","7.41902083333333","7.71902083333333","15955"
"","Plasmanyl-PC(32:0)+H",1,1,1,"7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(32:0)+H",8.125407,8.125407,8.125407,"7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(32:0)+H",1,1,1,"7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(32:0)+H",1267757,11510.74,10194120,"7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(32:0)+H",720.5903,537.5242,184.0733,"7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(32:0)+H","720.5901576","537.5241176","184.07332","7.93372916666667","8.23372916666667","168"
"","Plasmanyl-PC(32:1)+H",1,0,1,"7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(32:1)+H",7.872663,0,7.872663,"7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(32:1)+H",2,0,2,"7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(32:1)+H",740660.8,0,6397098,"7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(32:1)+H",718.57525,0,184.07355,"7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(32:1)+H","718.5745576","535.5085176","184.07332","7.75862638888889","8.05862638888889","197"
"","Plasmanyl-PC(32:1)+H",1,1,1,"6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(32:1)+H",7.144014,7.144014,7.144014,"6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(32:1)+H",1,1,1,"6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(32:1)+H",178567.1,1051.531,1337785,"6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(32:1)+H",718.576,535.5106,184.0737,"6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(32:1)+H","718.5745576","535.5085176","184.07332","6.86943888888889","7.16943888888889","699"
"","Plasmanyl-PC(32:2)+H",1,0,1,"6.66181805555556","6.96181805555556","1083","","Plasmanyl-PC(32:2)+H",6.856732,0,6.856732,"6.66181805555556","6.96181805555556","1083","","Plasmanyl-PC(32:2)+H",1,0,1,"6.66181805555556","6.96181805555556","1083","","Plasmanyl-PC(32:2)+H",73595.97,0,612662.8,"6.66181805555556","6.96181805555556","1083","","Plasmanyl-PC(32:2)+H",716.5604,0,184.0737,"6.66181805555556","6.96181805555556","1083","","Plasmanyl-PC(32:2)+H","716.5589576","533.4929176","184.07332","6.66181805555556","6.96181805555556","1083"
