"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PA","[M+H]+","NL_Head","RT_min","RT_max","Comment","RT at Max Intensity","PA","[M+H]+","NL_Head","RT_min","RT_max","Comment","Number of Scans","PA","[M+H]+","NL_Head","RT_min","RT_max","Comment","Max Intensity","PA","[M+H]+","NL_Head","RT_min","RT_max","Comment","Average m/z","PA","[M+H]+","NL_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PA","[M+H]+","NL_Head","RT_min","RT_max","Comment"
"","PA(20:0)+H",0,0,"7.80914444444445","8.10914444444445","17032","","PA(20:0)+H",0,0,"7.80914444444445","8.10914444444445","17032","","PA(20:0)+H",0,0,"7.80914444444445","8.10914444444445","17032","","PA(20:0)+H",0,0,"7.80914444444445","8.10914444444445","17032","","PA(20:0)+H",0,0,"7.80914444444445","8.10914444444445","17032","","PA(20:0)+H","481.2925","383.31559","7.80914444444445","8.10914444444445","17032"
"","PA(26:0)+H",0,0,"1.82040416666667","2.12040416666667","18712","","PA(26:0)+H",0,0,"1.82040416666667","2.12040416666667","18712","","PA(26:0)+H",0,0,"1.82040416666667","2.12040416666667","18712","","PA(26:0)+H",0,0,"1.82040416666667","2.12040416666667","18712","","PA(26:0)+H",0,0,"1.82040416666667","2.12040416666667","18712","","PA(26:0)+H","565.3864","467.40949","1.82040416666667","2.12040416666667","18712"
"","PA(29:0)+H",0,0,"2.39325","2.69325","8335","","PA(29:0)+H",0,0,"2.39325","2.69325","8335","","PA(29:0)+H",0,0,"2.39325","2.69325","8335","","PA(29:0)+H",0,0,"2.39325","2.69325","8335","","PA(29:0)+H",0,0,"2.39325","2.69325","8335","","PA(29:0)+H","607.4334","509.45649","2.39325","2.69325","8335"
"","PA(30:3)+H",0,0,"4.90855909090909","5.20855909090909","6945","","PA(30:3)+H",0,0,"4.90855909090909","5.20855909090909","6945","","PA(30:3)+H",0,0,"4.90855909090909","5.20855909090909","6945","","PA(30:3)+H",0,0,"4.90855909090909","5.20855909090909","6945","","PA(30:3)+H",0,0,"4.90855909090909","5.20855909090909","6945","","PA(30:3)+H","615.4021","517.42519","4.90855909090909","5.20855909090909","6945"
"","PA(30:5)+H",0,0,"0.356601388888889","0.656601388888889","2764","","PA(30:5)+H",0,0,"0.356601388888889","0.656601388888889","2764","","PA(30:5)+H",0,0,"0.356601388888889","0.656601388888889","2764","","PA(30:5)+H",0,0,"0.356601388888889","0.656601388888889","2764","","PA(30:5)+H",0,0,"0.356601388888889","0.656601388888889","2764","","PA(30:5)+H","611.3708","513.39389","0.356601388888889","0.656601388888889","2764"
"","PA(30:6)+H",0,0,"0.442522727272727","0.742522727272727","15658","","PA(30:6)+H",0,0,"0.442522727272727","0.742522727272727","15658","","PA(30:6)+H",0,0,"0.442522727272727","0.742522727272727","15658","","PA(30:6)+H",0,0,"0.442522727272727","0.742522727272727","15658","","PA(30:6)+H",0,0,"0.442522727272727","0.742522727272727","15658","","PA(30:6)+H","609.3551","511.37819","0.442522727272727","0.742522727272727","15658"
"","PA(32:6)+H",0,0,"0.439566666666667","0.739566666666667","14058","","PA(32:6)+H",0,0,"0.439566666666667","0.739566666666667","14058","","PA(32:6)+H",0,0,"0.439566666666667","0.739566666666667","14058","","PA(32:6)+H",0,0,"0.439566666666667","0.739566666666667","14058","","PA(32:6)+H",0,0,"0.439566666666667","0.739566666666667","14058","","PA(32:6)+H","637.3864","539.40949","0.439566666666667","0.739566666666667","14058"
"","PA(34:0)+H",0,0,"10.1530888888889","10.4530888888889","6085","","PA(34:0)+H",0,0,"10.1530888888889","10.4530888888889","6085","","PA(34:0)+H",0,0,"10.1530888888889","10.4530888888889","6085","","PA(34:0)+H",0,0,"10.1530888888889","10.4530888888889","6085","","PA(34:0)+H",0,0,"10.1530888888889","10.4530888888889","6085","","PA(34:0)+H","677.5116","579.53469","10.1530888888889","10.4530888888889","6085"
"","PA(34:0)+H",0,0,"2.40720151515152","2.70720151515152","11217","","PA(34:0)+H",0,0,"2.40720151515152","2.70720151515152","11217","","PA(34:0)+H",0,0,"2.40720151515152","2.70720151515152","11217","","PA(34:0)+H",0,0,"2.40720151515152","2.70720151515152","11217","","PA(34:0)+H",0,0,"2.40720151515152","2.70720151515152","11217","","PA(34:0)+H","677.5116","579.53469","2.40720151515152","2.70720151515152","11217"
"","PA(35:0)+H",0,0,"8.74575","9.04575","10989","","PA(35:0)+H",0,0,"8.74575","9.04575","10989","","PA(35:0)+H",0,0,"8.74575","9.04575","10989","","PA(35:0)+H",0,0,"8.74575","9.04575","10989","","PA(35:0)+H",0,0,"8.74575","9.04575","10989","","PA(35:0)+H","691.5273","593.55039","8.74575","9.04575","10989"
