"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Average m/z","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment"
"","MGDG(39:4)+NH4",0,0,0,"12.4779361111111","12.7779361111111","14948","","MGDG(39:4)+NH4",0,0,0,"12.4779361111111","12.7779361111111","14948","","MGDG(39:4)+NH4",0,0,0,"12.4779361111111","12.7779361111111","14948","","MGDG(39:4)+NH4",0,0,0,"12.4779361111111","12.7779361111111","14948","","MGDG(39:4)+NH4",0,0,0,"12.4779361111111","12.7779361111111","14948","","MGDG(39:4)+NH4","838.64027","659.56097","641.5504","12.4779361111111","12.7779361111111","14948"
"","MGDG(39:5)+NH4",0,0,0,"11.5485194444444","11.8485194444444","14846","","MGDG(39:5)+NH4",0,0,0,"11.5485194444444","11.8485194444444","14846","","MGDG(39:5)+NH4",0,0,0,"11.5485194444444","11.8485194444444","14846","","MGDG(39:5)+NH4",0,0,0,"11.5485194444444","11.8485194444444","14846","","MGDG(39:5)+NH4",0,0,0,"11.5485194444444","11.8485194444444","14846","","MGDG(39:5)+NH4","836.62462","657.54532","639.53475","11.5485194444444","11.8485194444444","14846"
"","MGDG(40:9)+NH4",0,0,0,"2.96222361111111","3.26222361111111","6824","","MGDG(40:9)+NH4",0,0,0,"2.96222361111111","3.26222361111111","6824","","MGDG(40:9)+NH4",0,0,0,"2.96222361111111","3.26222361111111","6824","","MGDG(40:9)+NH4",0,0,0,"2.96222361111111","3.26222361111111","6824","","MGDG(40:9)+NH4",0,0,0,"2.96222361111111","3.26222361111111","6824","","MGDG(40:9)+NH4","842.57762","663.49832","645.48775","2.96222361111111","3.26222361111111","6824"
"","MGDG(41:2)+NH4",0,0,0,"14.0441075757576","14.3441075757576","9776","","MGDG(41:2)+NH4",0,0,0,"14.0441075757576","14.3441075757576","9776","","MGDG(41:2)+NH4",0,0,0,"14.0441075757576","14.3441075757576","9776","","MGDG(41:2)+NH4",0,0,0,"14.0441075757576","14.3441075757576","9776","","MGDG(41:2)+NH4",0,0,0,"14.0441075757576","14.3441075757576","9776","","MGDG(41:2)+NH4","870.70289","691.62359","673.61302","14.0441075757576","14.3441075757576","9776"
"","MGDG(41:4)+NH4",0,0,0,"13.1419680555556","13.4419680555556","16794","","MGDG(41:4)+NH4",0,0,0,"13.1419680555556","13.4419680555556","16794","","MGDG(41:4)+NH4",0,0,0,"13.1419680555556","13.4419680555556","16794","","MGDG(41:4)+NH4",0,0,0,"13.1419680555556","13.4419680555556","16794","","MGDG(41:4)+NH4",0,0,0,"13.1419680555556","13.4419680555556","16794","","MGDG(41:4)+NH4","866.67158","687.59228","669.58171","13.1419680555556","13.4419680555556","16794"
"","MGDG(41:5)+NH4",0,0,0,"12.4753527777778","12.7753527777778","18901","","MGDG(41:5)+NH4",0,0,0,"12.4753527777778","12.7753527777778","18901","","MGDG(41:5)+NH4",0,0,0,"12.4753527777778","12.7753527777778","18901","","MGDG(41:5)+NH4",0,0,0,"12.4753527777778","12.7753527777778","18901","","MGDG(41:5)+NH4",0,0,0,"12.4753527777778","12.7753527777778","18901","","MGDG(41:5)+NH4","864.65592","685.57662","667.56605","12.4753527777778","12.7753527777778","18901"
"","MGDG(41:6)+NH4",0,0,0,"1.38814444444444","1.68814444444444","19055","","MGDG(41:6)+NH4",0,0,0,"1.38814444444444","1.68814444444444","19055","","MGDG(41:6)+NH4",0,0,0,"1.38814444444444","1.68814444444444","19055","","MGDG(41:6)+NH4",0,0,0,"1.38814444444444","1.68814444444444","19055","","MGDG(41:6)+NH4",0,0,0,"1.38814444444444","1.68814444444444","19055","","MGDG(41:6)+NH4","862.64027","683.56097","665.5504","1.38814444444444","1.68814444444444","19055"
"","MGDG(43:2)+NH4",0,0,0,"14.4402861111111","14.7402861111111","9234","","MGDG(43:2)+NH4",0,0,0,"14.4402861111111","14.7402861111111","9234","","MGDG(43:2)+NH4",0,0,0,"14.4402861111111","14.7402861111111","9234","","MGDG(43:2)+NH4",0,0,0,"14.4402861111111","14.7402861111111","9234","","MGDG(43:2)+NH4",0,0,0,"14.4402861111111","14.7402861111111","9234","","MGDG(43:2)+NH4","898.73422","719.65492","701.64435","14.4402861111111","14.7402861111111","9234"
"","MGDG(43:6)+NH4",0,0,0,"12.3099986111111","12.6099986111111","11582","","MGDG(43:6)+NH4",0,0,0,"12.3099986111111","12.6099986111111","11582","","MGDG(43:6)+NH4",0,0,0,"12.3099986111111","12.6099986111111","11582","","MGDG(43:6)+NH4",0,0,0,"12.3099986111111","12.6099986111111","11582","","MGDG(43:6)+NH4",0,0,0,"12.3099986111111","12.6099986111111","11582","","MGDG(43:6)+NH4","890.67158","711.59228","693.58171","12.3099986111111","12.6099986111111","11582"
"","MGDG(44:10)+NH4",0,0,0,"5.16965","5.46965","15016","","MGDG(44:10)+NH4",0,0,0,"5.16965","5.46965","15016","","MGDG(44:10)+NH4",0,0,0,"5.16965","5.46965","15016","","MGDG(44:10)+NH4",0,0,0,"5.16965","5.46965","15016","","MGDG(44:10)+NH4",0,0,0,"5.16965","5.46965","15016","","MGDG(44:10)+NH4","896.62462","717.54532","699.53475","5.16965","5.46965","15016"
"","MGDG(45:1)+NH4",0,0,0,"12.4415972222222","12.7415972222222","10710","","MGDG(45:1)+NH4",0,0,0,"12.4415972222222","12.7415972222222","10710","","MGDG(45:1)+NH4",0,0,0,"12.4415972222222","12.7415972222222","10710","","MGDG(45:1)+NH4",0,0,0,"12.4415972222222","12.7415972222222","10710","","MGDG(45:1)+NH4",0,0,0,"12.4415972222222","12.7415972222222","10710","","MGDG(45:1)+NH4","928.78112","749.70182","731.69125","12.4415972222222","12.7415972222222","10710"
"","MGDG(45:1)+NH4",0,0,0,"15.2132433333333","15.5132433333333","14376","","MGDG(45:1)+NH4",0,0,0,"15.2132433333333","15.5132433333333","14376","","MGDG(45:1)+NH4",0,0,0,"15.2132433333333","15.5132433333333","14376","","MGDG(45:1)+NH4",0,0,0,"15.2132433333333","15.5132433333333","14376","","MGDG(45:1)+NH4",0,0,0,"15.2132433333333","15.5132433333333","14376","","MGDG(45:1)+NH4","928.78112","749.70182","731.69125","15.2132433333333","15.5132433333333","14376"
"","MGDG(45:5)+NH4",0,0,0,"13.7536236111111","14.0536236111111","12774","","MGDG(45:5)+NH4",0,0,0,"13.7536236111111","14.0536236111111","12774","","MGDG(45:5)+NH4",0,0,0,"13.7536236111111","14.0536236111111","12774","","MGDG(45:5)+NH4",0,0,0,"13.7536236111111","14.0536236111111","12774","","MGDG(45:5)+NH4",0,0,0,"13.7536236111111","14.0536236111111","12774","","MGDG(45:5)+NH4","920.71852","741.63922","723.62865","13.7536236111111","14.0536236111111","12774"
"","MGDG(45:6)+NH4",0,0,0,"13.2333875","13.5333875","15949","","MGDG(45:6)+NH4",0,0,0,"13.2333875","13.5333875","15949","","MGDG(45:6)+NH4",0,0,0,"13.2333875","13.5333875","15949","","MGDG(45:6)+NH4",0,0,0,"13.2333875","13.5333875","15949","","MGDG(45:6)+NH4",0,0,0,"13.2333875","13.5333875","15949","","MGDG(45:6)+NH4","918.70289","739.62359","721.61302","13.2333875","13.5333875","15949"
"","MGDG(47:1)+NH4",0,0,0,"12.9664833333333","13.2664833333333","15450","","MGDG(47:1)+NH4",0,0,0,"12.9664833333333","13.2664833333333","15450","","MGDG(47:1)+NH4",0,0,0,"12.9664833333333","13.2664833333333","15450","","MGDG(47:1)+NH4",0,0,0,"12.9664833333333","13.2664833333333","15450","","MGDG(47:1)+NH4",0,0,0,"12.9664833333333","13.2664833333333","15450","","MGDG(47:1)+NH4","956.81242","777.73312","759.72255","12.9664833333333","13.2664833333333","15450"
"","MGDG(47:2)+NH4",0,0,0,"12.4143694444444","12.7143694444444","10635","","MGDG(47:2)+NH4",0,0,0,"12.4143694444444","12.7143694444444","10635","","MGDG(47:2)+NH4",0,0,0,"12.4143694444444","12.7143694444444","10635","","MGDG(47:2)+NH4",0,0,0,"12.4143694444444","12.7143694444444","10635","","MGDG(47:2)+NH4",0,0,0,"12.4143694444444","12.7143694444444","10635","","MGDG(47:2)+NH4","954.79676","775.71746","757.70689","12.4143694444444","12.7143694444444","10635"
"","MGDG(47:2)+NH4",0,0,0,"15.2115060606061","15.5115060606061","11897","","MGDG(47:2)+NH4",0,0,0,"15.2115060606061","15.5115060606061","11897","","MGDG(47:2)+NH4",0,0,0,"15.2115060606061","15.5115060606061","11897","","MGDG(47:2)+NH4",0,0,0,"15.2115060606061","15.5115060606061","11897","","MGDG(47:2)+NH4",0,0,0,"15.2115060606061","15.5115060606061","11897","","MGDG(47:2)+NH4","954.79676","775.71746","757.70689","15.2115060606061","15.5115060606061","11897"
"","MGDG(48:4)+NH4",0,0,0,"16.6896680555556","16.9896680555556","8994","","MGDG(48:4)+NH4",0,0,0,"16.6896680555556","16.9896680555556","8994","","MGDG(48:4)+NH4",0,0,0,"16.6896680555556","16.9896680555556","8994","","MGDG(48:4)+NH4",0,0,0,"16.6896680555556","16.9896680555556","8994","","MGDG(48:4)+NH4",0,0,0,"16.6896680555556","16.9896680555556","8994","","MGDG(48:4)+NH4","964.78112","785.70182","767.69125","16.6896680555556","16.9896680555556","8994"
"","MGDG(9:0)+NH4",1,0,0,"11.0467430555556","11.3467430555556","6200","","MGDG(9:0)+NH4",11.24137,0,0,"11.0467430555556","11.3467430555556","6200","","MGDG(9:0)+NH4",2,0,0,"11.0467430555556","11.3467430555556","6200","","MGDG(9:0)+NH4",18921.09,0,0,"11.0467430555556","11.3467430555556","6200","","MGDG(9:0)+NH4",426.23345,0,0,"11.0467430555556","11.3467430555556","6200","","MGDG(9:0)+NH4","426.23337","247.15407","229.1435","11.0467430555556","11.3467430555556","6200"
