"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment"
"","Plasmanyl-PS(33:0)+H",0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(33:0)+H",0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(33:0)+H",0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(33:0)+H",0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(33:0)+H",0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(33:0)+H","736.54882","551.53987","5.75925833333333","6.05925833333333","3186"
"","Plasmanyl-PS(33:0)+H",0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(33:0)+H",0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(33:0)+H",0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(33:0)+H",0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(33:0)+H",0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(33:0)+H","736.54882","551.53987","5.3107625","5.6107625","13747"
"","Plasmanyl-PS(34:0)+H",0,0,"9.17979722222222","9.47979722222222","691","","Plasmanyl-PS(34:0)+H",0,0,"9.17979722222222","9.47979722222222","691","","Plasmanyl-PS(34:0)+H",0,0,"9.17979722222222","9.47979722222222","691","","Plasmanyl-PS(34:0)+H",0,0,"9.17979722222222","9.47979722222222","691","","Plasmanyl-PS(34:0)+H",0,0,"9.17979722222222","9.47979722222222","691","","Plasmanyl-PS(34:0)+H","750.56442","565.55547","9.17979722222222","9.47979722222222","691"
"","Plasmanyl-PS(34:0)+H",0,0,"8.25990972222222","8.55990972222222","1138","","Plasmanyl-PS(34:0)+H",0,0,"8.25990972222222","8.55990972222222","1138","","Plasmanyl-PS(34:0)+H",0,0,"8.25990972222222","8.55990972222222","1138","","Plasmanyl-PS(34:0)+H",0,0,"8.25990972222222","8.55990972222222","1138","","Plasmanyl-PS(34:0)+H",0,0,"8.25990972222222","8.55990972222222","1138","","Plasmanyl-PS(34:0)+H","750.56442","565.55547","8.25990972222222","8.55990972222222","1138"
"","Plasmanyl-PS(34:0)+H",0,0,"14.0701236111111","14.3701236111111","1828","","Plasmanyl-PS(34:0)+H",0,0,"14.0701236111111","14.3701236111111","1828","","Plasmanyl-PS(34:0)+H",0,0,"14.0701236111111","14.3701236111111","1828","","Plasmanyl-PS(34:0)+H",0,0,"14.0701236111111","14.3701236111111","1828","","Plasmanyl-PS(34:0)+H",0,0,"14.0701236111111","14.3701236111111","1828","","Plasmanyl-PS(34:0)+H","750.56442","565.55547","14.0701236111111","14.3701236111111","1828"
"","Plasmanyl-PS(34:0)+H",0,0,"7.74827222222222","8.04827222222222","9121","","Plasmanyl-PS(34:0)+H",0,0,"7.74827222222222","8.04827222222222","9121","","Plasmanyl-PS(34:0)+H",0,0,"7.74827222222222","8.04827222222222","9121","","Plasmanyl-PS(34:0)+H",0,0,"7.74827222222222","8.04827222222222","9121","","Plasmanyl-PS(34:0)+H",0,0,"7.74827222222222","8.04827222222222","9121","","Plasmanyl-PS(34:0)+H","750.56442","565.55547","7.74827222222222","8.04827222222222","9121"
"","Plasmanyl-PS(34:0)+H",0,0,"13.2973222222222","13.5973222222222","12740","","Plasmanyl-PS(34:0)+H",0,0,"13.2973222222222","13.5973222222222","12740","","Plasmanyl-PS(34:0)+H",0,0,"13.2973222222222","13.5973222222222","12740","","Plasmanyl-PS(34:0)+H",0,0,"13.2973222222222","13.5973222222222","12740","","Plasmanyl-PS(34:0)+H",0,0,"13.2973222222222","13.5973222222222","12740","","Plasmanyl-PS(34:0)+H","750.56442","565.55547","13.2973222222222","13.5973222222222","12740"
"","Plasmanyl-PS(34:1)+H",0,0,"4.89981527777778","5.19981527777778","9166","","Plasmanyl-PS(34:1)+H",0,0,"4.89981527777778","5.19981527777778","9166","","Plasmanyl-PS(34:1)+H",0,0,"4.89981527777778","5.19981527777778","9166","","Plasmanyl-PS(34:1)+H",0,0,"4.89981527777778","5.19981527777778","9166","","Plasmanyl-PS(34:1)+H",0,0,"4.89981527777778","5.19981527777778","9166","","Plasmanyl-PS(34:1)+H","748.54882","563.53987","4.89981527777778","5.19981527777778","9166"
"","Plasmanyl-PS(34:1)+H",0,0,"5.33257777777778","5.63257777777778","12455","","Plasmanyl-PS(34:1)+H",0,0,"5.33257777777778","5.63257777777778","12455","","Plasmanyl-PS(34:1)+H",0,0,"5.33257777777778","5.63257777777778","12455","","Plasmanyl-PS(34:1)+H",0,0,"5.33257777777778","5.63257777777778","12455","","Plasmanyl-PS(34:1)+H",0,0,"5.33257777777778","5.63257777777778","12455","","Plasmanyl-PS(34:1)+H","748.54882","563.53987","5.33257777777778","5.63257777777778","12455"
"","Plasmanyl-PS(34:4)+H",0,0,"1.8882875","2.1882875","8974","","Plasmanyl-PS(34:4)+H",0,0,"1.8882875","2.1882875","8974","","Plasmanyl-PS(34:4)+H",0,0,"1.8882875","2.1882875","8974","","Plasmanyl-PS(34:4)+H",0,0,"1.8882875","2.1882875","8974","","Plasmanyl-PS(34:4)+H",0,0,"1.8882875","2.1882875","8974","","Plasmanyl-PS(34:4)+H","742.50182","557.49287","1.8882875","2.1882875","8974"
"","Plasmanyl-PS(35:1)+H",0,0,"5.44271805555556","5.74271805555556","3919","","Plasmanyl-PS(35:1)+H",0,0,"5.44271805555556","5.74271805555556","3919","","Plasmanyl-PS(35:1)+H",0,0,"5.44271805555556","5.74271805555556","3919","","Plasmanyl-PS(35:1)+H",0,0,"5.44271805555556","5.74271805555556","3919","","Plasmanyl-PS(35:1)+H",0,0,"5.44271805555556","5.74271805555556","3919","","Plasmanyl-PS(35:1)+H","762.56442","577.55547","5.44271805555556","5.74271805555556","3919"
"","Plasmanyl-PS(36:0)+H",0,0,"9.62520138888889","9.92520138888889","9584","","Plasmanyl-PS(36:0)+H",0,0,"9.62520138888889","9.92520138888889","9584","","Plasmanyl-PS(36:0)+H",0,0,"9.62520138888889","9.92520138888889","9584","","Plasmanyl-PS(36:0)+H",0,0,"9.62520138888889","9.92520138888889","9584","","Plasmanyl-PS(36:0)+H",0,0,"9.62520138888889","9.92520138888889","9584","","Plasmanyl-PS(36:0)+H","778.59572","593.58677","9.62520138888889","9.92520138888889","9584"
