"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","RT at Max Intensity","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Number of Scans","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Max Intensity","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Average m/z","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment"
"","DGDG(25:0)+NH4",0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(25:0)+NH4",0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(25:0)+NH4",0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(25:0)+NH4",0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(25:0)+NH4",0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(25:0)+NH4","812.53697","471.40447","453.3939","1.86782083333333","2.16782083333333","11159"
"","DGDG(26:0)+NH4",0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(26:0)+NH4",0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(26:0)+NH4",0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(26:0)+NH4",0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(26:0)+NH4",0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(26:0)+NH4","826.55262","485.42012","467.40955","1.55908055555556","1.85908055555556","18812"
"","DGDG(26:2)+NH4",0,0,0,"4.98809583333333","5.28809583333333","13691","","DGDG(26:2)+NH4",0,0,0,"4.98809583333333","5.28809583333333","13691","","DGDG(26:2)+NH4",0,0,0,"4.98809583333333","5.28809583333333","13691","","DGDG(26:2)+NH4",0,0,0,"4.98809583333333","5.28809583333333","13691","","DGDG(26:2)+NH4",0,0,0,"4.98809583333333","5.28809583333333","13691","","DGDG(26:2)+NH4","822.52132","481.38882","463.37825","4.98809583333333","5.28809583333333","13691"
"","DGDG(26:3)+NH4",0,0,0,"5.1377375","5.4377375","11246","","DGDG(26:3)+NH4",0,0,0,"5.1377375","5.4377375","11246","","DGDG(26:3)+NH4",0,0,0,"5.1377375","5.4377375","11246","","DGDG(26:3)+NH4",0,0,0,"5.1377375","5.4377375","11246","","DGDG(26:3)+NH4",0,0,0,"5.1377375","5.4377375","11246","","DGDG(26:3)+NH4","820.50566","479.37316","461.36259","5.1377375","5.4377375","11246"
"","DGDG(27:0)+NH4",0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(27:0)+NH4",0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(27:0)+NH4",0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(27:0)+NH4",0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(27:0)+NH4",0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(27:0)+NH4","840.56828","499.43578","481.42521","4.10132083333333","4.40132083333333","8692"
"","DGDG(28:0)+NH4",0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(28:0)+NH4",0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(28:0)+NH4",0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(28:0)+NH4",0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(28:0)+NH4",0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(28:0)+NH4","854.58392","513.45142","495.44085","0.539469444444444","0.839469444444444","4759"
"","DGDG(28:4)+NH4",0,0,0,"5.27234242424242","5.57234242424242","10434","","DGDG(28:4)+NH4",0,0,0,"5.27234242424242","5.57234242424242","10434","","DGDG(28:4)+NH4",0,0,0,"5.27234242424242","5.57234242424242","10434","","DGDG(28:4)+NH4",0,0,0,"5.27234242424242","5.57234242424242","10434","","DGDG(28:4)+NH4",0,0,0,"5.27234242424242","5.57234242424242","10434","","DGDG(28:4)+NH4","846.52132","505.38882","487.37825","5.27234242424242","5.57234242424242","10434"
"","DGDG(28:4)+NH4",0,0,0,"5.27234242424242","5.57234242424242","15493","","DGDG(28:4)+NH4",0,0,0,"5.27234242424242","5.57234242424242","15493","","DGDG(28:4)+NH4",0,0,0,"5.27234242424242","5.57234242424242","15493","","DGDG(28:4)+NH4",0,0,0,"5.27234242424242","5.57234242424242","15493","","DGDG(28:4)+NH4",0,0,0,"5.27234242424242","5.57234242424242","15493","","DGDG(28:4)+NH4","846.52132","505.38882","487.37825","5.27234242424242","5.57234242424242","15493"
"","DGDG(28:5)+NH4",0,0,0,"4.96850277777778","5.26850277777778","3486","","DGDG(28:5)+NH4",0,0,0,"4.96850277777778","5.26850277777778","3486","","DGDG(28:5)+NH4",0,0,0,"4.96850277777778","5.26850277777778","3486","","DGDG(28:5)+NH4",0,0,0,"4.96850277777778","5.26850277777778","3486","","DGDG(28:5)+NH4",0,0,0,"4.96850277777778","5.26850277777778","3486","","DGDG(28:5)+NH4","844.50566","503.37316","485.36259","4.96850277777778","5.26850277777778","3486"
"","DGDG(28:5)+NH4",0,0,0,"5.59221805555556","5.89221805555556","10244","","DGDG(28:5)+NH4",0,0,0,"5.59221805555556","5.89221805555556","10244","","DGDG(28:5)+NH4",0,0,0,"5.59221805555556","5.89221805555556","10244","","DGDG(28:5)+NH4",0,0,0,"5.59221805555556","5.89221805555556","10244","","DGDG(28:5)+NH4",0,0,0,"5.59221805555556","5.89221805555556","10244","","DGDG(28:5)+NH4","844.50566","503.37316","485.36259","5.59221805555556","5.89221805555556","10244"
