"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment"
"","Plasmenyl-PS(29:0)+H",0,0,"1.34024027777778","1.64024027777778","3050","","Plasmenyl-PS(29:0)+H",0,0,"1.34024027777778","1.64024027777778","3050","","Plasmenyl-PS(29:0)+H",0,0,"1.34024027777778","1.64024027777778","3050","","Plasmenyl-PS(29:0)+H",0,0,"1.34024027777778","1.64024027777778","3050","","Plasmenyl-PS(29:0)+H",0,0,"1.34024027777778","1.64024027777778","3050","","Plasmenyl-PS(29:0)+H","678.47053","493.46158","1.34024027777778","1.64024027777778","3050"
"","Plasmenyl-PS(29:0)+H",0,0,"8.17720416666667","8.47720416666667","13856","","Plasmenyl-PS(29:0)+H",0,0,"8.17720416666667","8.47720416666667","13856","","Plasmenyl-PS(29:0)+H",0,0,"8.17720416666667","8.47720416666667","13856","","Plasmenyl-PS(29:0)+H",0,0,"8.17720416666667","8.47720416666667","13856","","Plasmenyl-PS(29:0)+H",0,0,"8.17720416666667","8.47720416666667","13856","","Plasmenyl-PS(29:0)+H","678.47053","493.46158","8.17720416666667","8.47720416666667","13856"
"","Plasmenyl-PS(29:1)+H",0,0,"1.32215138888889","1.62215138888889","1981","","Plasmenyl-PS(29:1)+H",0,0,"1.32215138888889","1.62215138888889","1981","","Plasmenyl-PS(29:1)+H",0,0,"1.32215138888889","1.62215138888889","1981","","Plasmenyl-PS(29:1)+H",0,0,"1.32215138888889","1.62215138888889","1981","","Plasmenyl-PS(29:1)+H",0,0,"1.32215138888889","1.62215138888889","1981","","Plasmenyl-PS(29:1)+H","676.45493","491.44598","1.32215138888889","1.62215138888889","1981"
"","Plasmenyl-PS(30:1)+H",0,0,"1.50405972222222","1.80405972222222","3527","","Plasmenyl-PS(30:1)+H",0,0,"1.50405972222222","1.80405972222222","3527","","Plasmenyl-PS(30:1)+H",0,0,"1.50405972222222","1.80405972222222","3527","","Plasmenyl-PS(30:1)+H",0,0,"1.50405972222222","1.80405972222222","3527","","Plasmenyl-PS(30:1)+H",0,0,"1.50405972222222","1.80405972222222","3527","","Plasmenyl-PS(30:1)+H","690.47053","505.46158","1.50405972222222","1.80405972222222","3527"
"","Plasmenyl-PS(30:1)+H",0,0,"1.16705","1.46705","4441","","Plasmenyl-PS(30:1)+H",0,0,"1.16705","1.46705","4441","","Plasmenyl-PS(30:1)+H",0,0,"1.16705","1.46705","4441","","Plasmenyl-PS(30:1)+H",0,0,"1.16705","1.46705","4441","","Plasmenyl-PS(30:1)+H",0,0,"1.16705","1.46705","4441","","Plasmenyl-PS(30:1)+H","690.47053","505.46158","1.16705","1.46705","4441"
"","Plasmenyl-PS(30:1)+H",0,0,"1.75341666666667","2.05341666666667","7234","","Plasmenyl-PS(30:1)+H",0,0,"1.75341666666667","2.05341666666667","7234","","Plasmenyl-PS(30:1)+H",0,0,"1.75341666666667","2.05341666666667","7234","","Plasmenyl-PS(30:1)+H",0,0,"1.75341666666667","2.05341666666667","7234","","Plasmenyl-PS(30:1)+H",0,0,"1.75341666666667","2.05341666666667","7234","","Plasmenyl-PS(30:1)+H","690.47053","505.46158","1.75341666666667","2.05341666666667","7234"
"","Plasmenyl-PS(30:1)+H",0,0,"1.46909305555556","1.76909305555556","9420","","Plasmenyl-PS(30:1)+H",0,0,"1.46909305555556","1.76909305555556","9420","","Plasmenyl-PS(30:1)+H",0,0,"1.46909305555556","1.76909305555556","9420","","Plasmenyl-PS(30:1)+H",0,0,"1.46909305555556","1.76909305555556","9420","","Plasmenyl-PS(30:1)+H",0,0,"1.46909305555556","1.76909305555556","9420","","Plasmenyl-PS(30:1)+H","690.47053","505.46158","1.46909305555556","1.76909305555556","9420"
"","Plasmenyl-PS(30:2)+H",0,0,"1.37720555555556","1.67720555555556","11062","","Plasmenyl-PS(30:2)+H",0,0,"1.37720555555556","1.67720555555556","11062","","Plasmenyl-PS(30:2)+H",0,0,"1.37720555555556","1.67720555555556","11062","","Plasmenyl-PS(30:2)+H",0,0,"1.37720555555556","1.67720555555556","11062","","Plasmenyl-PS(30:2)+H",0,0,"1.37720555555556","1.67720555555556","11062","","Plasmenyl-PS(30:2)+H","688.45493","503.44598","1.37720555555556","1.67720555555556","11062"
"","Plasmenyl-PS(31:1)+H",0,0,"1.86114305555556","2.16114305555556","4236","","Plasmenyl-PS(31:1)+H",0,0,"1.86114305555556","2.16114305555556","4236","","Plasmenyl-PS(31:1)+H",0,0,"1.86114305555556","2.16114305555556","4236","","Plasmenyl-PS(31:1)+H",0,0,"1.86114305555556","2.16114305555556","4236","","Plasmenyl-PS(31:1)+H",0,0,"1.86114305555556","2.16114305555556","4236","","Plasmenyl-PS(31:1)+H","704.48613","519.47718","1.86114305555556","2.16114305555556","4236"
"","Plasmenyl-PS(31:1)+H",0,0,"1.55683194444444","1.85683194444444","13814","","Plasmenyl-PS(31:1)+H",0,0,"1.55683194444444","1.85683194444444","13814","","Plasmenyl-PS(31:1)+H",0,0,"1.55683194444444","1.85683194444444","13814","","Plasmenyl-PS(31:1)+H",0,0,"1.55683194444444","1.85683194444444","13814","","Plasmenyl-PS(31:1)+H",0,0,"1.55683194444444","1.85683194444444","13814","","Plasmenyl-PS(31:1)+H","704.48613","519.47718","1.55683194444444","1.85683194444444","13814"
"","Plasmenyl-PS(31:2)+H",0,0,"1.55704444444444","1.85704444444444","5884","","Plasmenyl-PS(31:2)+H",0,0,"1.55704444444444","1.85704444444444","5884","","Plasmenyl-PS(31:2)+H",0,0,"1.55704444444444","1.85704444444444","5884","","Plasmenyl-PS(31:2)+H",0,0,"1.55704444444444","1.85704444444444","5884","","Plasmenyl-PS(31:2)+H",0,0,"1.55704444444444","1.85704444444444","5884","","Plasmenyl-PS(31:2)+H","702.47053","517.46158","1.55704444444444","1.85704444444444","5884"
