"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","RT at Max Intensity","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Number of Scans","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Max Intensity","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Average m/z","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment"
"","OxPE(18:2(Ke))+H",0,0,0,"14.7625041666667","15.0625041666667","14021","","OxPE(18:2(Ke))+H",0,0,0,"14.7625041666667","15.0625041666667","14021","","OxPE(18:2(Ke))+H",0,0,0,"14.7625041666667","15.0625041666667","14021","","OxPE(18:2(Ke))+H",0,0,0,"14.7625041666667","15.0625041666667","14021","","OxPE(18:2(Ke))+H",0,0,0,"14.7625041666667","15.0625041666667","14021","","OxPE(18:2(Ke))+H","506.25139","365.23228","142.02639","14.7625041666667","15.0625041666667","14021"
"","OxPE(18:2(Ke))+H",0,0,0,"15.1443944444444","15.4443944444444","16406","","OxPE(18:2(Ke))+H",0,0,0,"15.1443944444444","15.4443944444444","16406","","OxPE(18:2(Ke))+H",0,0,0,"15.1443944444444","15.4443944444444","16406","","OxPE(18:2(Ke))+H",0,0,0,"15.1443944444444","15.4443944444444","16406","","OxPE(18:2(Ke))+H",0,0,0,"15.1443944444444","15.4443944444444","16406","","OxPE(18:2(Ke))+H","506.25139","365.23228","142.02639","15.1443944444444","15.4443944444444","16406"
"","OxPE(18:2(KeO))+H",0,0,0,"0.359147222222222","0.659147222222222","3006","","OxPE(18:2(KeO))+H",0,0,0,"0.359147222222222","0.659147222222222","3006","","OxPE(18:2(KeO))+H",0,0,0,"0.359147222222222","0.659147222222222","3006","","OxPE(18:2(KeO))+H",0,0,0,"0.359147222222222","0.659147222222222","3006","","OxPE(18:2(KeO))+H",0,0,0,"0.359147222222222","0.659147222222222","3006","","OxPE(18:2(KeO))+H","522.24631","381.2272","142.02639","0.359147222222222","0.659147222222222","3006"
"","OxPE(20:0(Ke))+H",0,0,0,"0.824581944444444","1.12458194444444","3582","","OxPE(20:0(Ke))+H",0,0,0,"0.824581944444444","1.12458194444444","3582","","OxPE(20:0(Ke))+H",0,0,0,"0.824581944444444","1.12458194444444","3582","","OxPE(20:0(Ke))+H",0,0,0,"0.824581944444444","1.12458194444444","3582","","OxPE(20:0(Ke))+H",0,0,0,"0.824581944444444","1.12458194444444","3582","","OxPE(20:0(Ke))+H","538.31398","397.29487","142.02639","0.824581944444444","1.12458194444444","3582"
"","OxPE(20:0(Ke))+H",0,0,0,"8.54689027777778","8.84689027777778","5114","","OxPE(20:0(Ke))+H",0,0,0,"8.54689027777778","8.84689027777778","5114","","OxPE(20:0(Ke))+H",0,0,0,"8.54689027777778","8.84689027777778","5114","","OxPE(20:0(Ke))+H",0,0,0,"8.54689027777778","8.84689027777778","5114","","OxPE(20:0(Ke))+H",0,0,0,"8.54689027777778","8.84689027777778","5114","","OxPE(20:0(Ke))+H","538.31398","397.29487","142.02639","8.54689027777778","8.84689027777778","5114"
"","OxPE(20:0(Ke))+H",0,0,0,"7.49432638888889","7.79432638888889","15255","","OxPE(20:0(Ke))+H",0,0,0,"7.49432638888889","7.79432638888889","15255","","OxPE(20:0(Ke))+H",0,0,0,"7.49432638888889","7.79432638888889","15255","","OxPE(20:0(Ke))+H",0,0,0,"7.49432638888889","7.79432638888889","15255","","OxPE(20:0(Ke))+H",0,0,0,"7.49432638888889","7.79432638888889","15255","","OxPE(20:0(Ke))+H","538.31398","397.29487","142.02639","7.49432638888889","7.79432638888889","15255"
"","OxPE(20:1(Ke))+H",1,0,0,"7.71418472222222","8.01418472222222","2196","","OxPE(20:1(Ke))+H",7.986544,0,0,"7.71418472222222","8.01418472222222","2196","","OxPE(20:1(Ke))+H",1,0,0,"7.71418472222222","8.01418472222222","2196","","OxPE(20:1(Ke))+H",2397.907,0,0,"7.71418472222222","8.01418472222222","2196","","OxPE(20:1(Ke))+H",536.2967,0,0,"7.71418472222222","8.01418472222222","2196","","OxPE(20:1(Ke))+H","536.29834","395.27923","142.02639","7.71418472222222","8.01418472222222","2196"
"","OxPE(20:1(Ke))+H",0,0,0,"0.558641666666667","0.858641666666667","2728","","OxPE(20:1(Ke))+H",0,0,0,"0.558641666666667","0.858641666666667","2728","","OxPE(20:1(Ke))+H",0,0,0,"0.558641666666667","0.858641666666667","2728","","OxPE(20:1(Ke))+H",0,0,0,"0.558641666666667","0.858641666666667","2728","","OxPE(20:1(Ke))+H",0,0,0,"0.558641666666667","0.858641666666667","2728","","OxPE(20:1(Ke))+H","536.29834","395.27923","142.02639","0.558641666666667","0.858641666666667","2728"
"","OxPE(20:1(Ke))+H",0,0,0,"6.60281944444444","6.90281944444444","2804","","OxPE(20:1(Ke))+H",0,0,0,"6.60281944444444","6.90281944444444","2804","","OxPE(20:1(Ke))+H",0,0,0,"6.60281944444444","6.90281944444444","2804","","OxPE(20:1(Ke))+H",0,0,0,"6.60281944444444","6.90281944444444","2804","","OxPE(20:1(Ke))+H",0,0,0,"6.60281944444444","6.90281944444444","2804","","OxPE(20:1(Ke))+H","536.29834","395.27923","142.02639","6.60281944444444","6.90281944444444","2804"
"","OxPE(20:1(Ke))+H",0,0,0,"8.11355277777778","8.41355277777778","15946","","OxPE(20:1(Ke))+H",0,0,0,"8.11355277777778","8.41355277777778","15946","","OxPE(20:1(Ke))+H",0,0,0,"8.11355277777778","8.41355277777778","15946","","OxPE(20:1(Ke))+H",0,0,0,"8.11355277777778","8.41355277777778","15946","","OxPE(20:1(Ke))+H",0,0,0,"8.11355277777778","8.41355277777778","15946","","OxPE(20:1(Ke))+H","536.29834","395.27923","142.02639","8.11355277777778","8.41355277777778","15946"
