"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","RT at Max Intensity","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Number of Scans","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Max Intensity","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Average m/z","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment"
"","SM(31:1)+H",1,0,0,0,0,1,1,"3.82235277777778","4.12235277777778","1858","","SM(31:1)+H",3.964678,0,0,0,3.964678,3.964678,3.964678,"3.82235277777778","4.12235277777778","1858","","SM(31:1)+H",1,0,0,0,1,1,1,"3.82235277777778","4.12235277777778","1858","","SM(31:1)+H",24125.56,0,0,0,743.7418,476743.7,3903.545,"3.82235277777778","4.12235277777778","1858","","SM(31:1)+H",661.5286,0,0,0,460.4518,184.0736,86.09654,"3.82235277777778","4.12235277777778","1858","","SM(31:1)+H","661.52797","478.46193","602.45443","478.46185","460.45127","184.07332","86.09648","3.82235277777778","4.12235277777778","1858"
"","SM(31:1)+H",0,0,0,0,0,0,0,"6.13966388888889","6.43966388888889","2236","","SM(31:1)+H",0,0,0,0,0,0,0,"6.13966388888889","6.43966388888889","2236","","SM(31:1)+H",0,0,0,0,0,0,0,"6.13966388888889","6.43966388888889","2236","","SM(31:1)+H",0,0,0,0,0,0,0,"6.13966388888889","6.43966388888889","2236","","SM(31:1)+H",0,0,0,0,0,0,0,"6.13966388888889","6.43966388888889","2236","","SM(31:1)+H","661.52797","478.46193","602.45443","478.46185","460.45127","184.07332","86.09648","6.13966388888889","6.43966388888889","2236"
"","SM(31:2)+H",0,0,0,0,0,0,0,"4.94034861111111","5.24034861111111","1482","","SM(31:2)+H",0,0,0,0,0,0,0,"4.94034861111111","5.24034861111111","1482","","SM(31:2)+H",0,0,0,0,0,0,0,"4.94034861111111","5.24034861111111","1482","","SM(31:2)+H",0,0,0,0,0,0,0,"4.94034861111111","5.24034861111111","1482","","SM(31:2)+H",0,0,0,0,0,0,0,"4.94034861111111","5.24034861111111","1482","","SM(31:2)+H","659.51227","476.44623","600.43873","476.44615","458.43557","184.07332","86.09648","4.94034861111111","5.24034861111111","1482"
"","SM(32:0)+H",1,0,0,0,0,1,1,"5.05521212121212","5.35521212121212","302","","SM(32:0)+H",5.167365,5.301676,0,5.301676,0,5.167365,5.167365,"5.05521212121212","5.35521212121212","302","","SM(32:0)+H",2,1,0,1,0,2,2,"5.05521212121212","5.35521212121212","302","","SM(32:0)+H",220517.2,937.0054,0,937.0054,0,3852737,30538.71,"5.05521212121212","5.35521212121212","302","","SM(32:0)+H",677.56135,494.4945,0,494.4945,0,184.0739,86.096705,"5.05521212121212","5.35521212121212","302","","SM(32:0)+H","677.55917","494.49313","618.48563","494.49305","476.48247","184.07332","86.09648","5.05521212121212","5.35521212121212","302"
"","SM(32:0)+H",1,0,0,0,0,1,1,"5.06377638888889","5.36377638888889","12650","","SM(32:0)+H",5.167365,5.301676,0,5.301676,0,5.167365,5.167365,"5.06377638888889","5.36377638888889","12650","","SM(32:0)+H",2,1,0,1,0,2,2,"5.06377638888889","5.36377638888889","12650","","SM(32:0)+H",220517.2,937.0054,0,937.0054,0,3852737,30538.71,"5.06377638888889","5.36377638888889","12650","","SM(32:0)+H",677.56135,494.4945,0,494.4945,0,184.0739,86.096705,"5.06377638888889","5.36377638888889","12650","","SM(32:0)+H","677.55917","494.49313","618.48563","494.49305","476.48247","184.07332","86.09648","5.06377638888889","5.36377638888889","12650"
"","SM(32:0)+H",0,0,0,0,0,0,0,"5.33290833333333","5.63290833333333","17351","","SM(32:0)+H",0,0,0,0,0,0,0,"5.33290833333333","5.63290833333333","17351","","SM(32:0)+H",0,0,0,0,0,0,0,"5.33290833333333","5.63290833333333","17351","","SM(32:0)+H",0,0,0,0,0,0,0,"5.33290833333333","5.63290833333333","17351","","SM(32:0)+H",0,0,0,0,0,0,0,"5.33290833333333","5.63290833333333","17351","","SM(32:0)+H","677.55917","494.49313","618.48563","494.49305","476.48247","184.07332","86.09648","5.33290833333333","5.63290833333333","17351"
"","SM(32:1)+H",1,1,0,1,1,1,1,"4.53772727272727","4.83772727272727","138","","SM(32:1)+H",4.682837,4.682837,0,4.682837,4.682837,4.682837,4.682837,"4.53772727272727","4.83772727272727","138","","SM(32:1)+H",3,1,0,1,1,3,3,"4.53772727272727","4.83772727272727","138","","SM(32:1)+H",744968.1,1271.831,0,1271.831,9799.317,20374930,170543.4,"4.53772727272727","4.83772727272727","138","","SM(32:1)+H",675.544666666667,492.4794,0,492.4794,474.4677,184.0736,86.0965666666667,"4.53772727272727","4.83772727272727","138","","SM(32:1)+H","675.54357","492.47753","616.47003","492.47745","474.46687","184.07332","86.09648","4.53772727272727","4.83772727272727","138"
"","SM(32:1)+H",1,0,0,0,1,1,1,"4.87822638888889","5.17822638888889","387","","SM(32:1)+H",5.099429,5.099429,0,5.099429,4.965143,5.099429,5.099429,"4.87822638888889","5.17822638888889","387","","SM(32:1)+H",2,1,0,1,2,2,2,"4.87822638888889","5.17822638888889","387","","SM(32:1)+H",119735.6,795.2728,0,795.2728,1021.187,2658142,20907.61,"4.87822638888889","5.17822638888889","387","","SM(32:1)+H",675.5455,492.4784,0,492.4784,474.4683,184.07385,86.096675,"4.87822638888889","5.17822638888889","387","","SM(32:1)+H","675.54357","492.47753","616.47003","492.47745","474.46687","184.07332","86.09648","4.87822638888889","5.17822638888889","387"
"","SM(32:1)+H",1,1,0,1,1,1,1,"4.53785138888889","4.83785138888889","12642","","SM(32:1)+H",4.682837,4.682837,0,4.682837,4.682837,4.682837,4.682837,"4.53785138888889","4.83785138888889","12642","","SM(32:1)+H",3,1,0,1,1,3,3,"4.53785138888889","4.83785138888889","12642","","SM(32:1)+H",744968.1,1271.831,0,1271.831,9799.317,20374930,170543.4,"4.53785138888889","4.83785138888889","12642","","SM(32:1)+H",675.544666666667,492.4794,0,492.4794,474.4677,184.0736,86.0965666666667,"4.53785138888889","4.83785138888889","12642","","SM(32:1)+H","675.54357","492.47753","616.47003","492.47745","474.46687","184.07332","86.09648","4.53785138888889","4.83785138888889","12642"
"","SM(32:2)+H",1,0,0,0,0,1,1,"3.34072638888889","3.64072638888889","923","","SM(32:2)+H",3.435009,0,0,0,3.435009,3.435009,3.435009,"3.34072638888889","3.64072638888889","923","","SM(32:2)+H",2,0,0,0,1,2,2,"3.34072638888889","3.64072638888889","923","","SM(32:2)+H",40661.13,0,0,0,605.0038,887153.3,7254.018,"3.34072638888889","3.64072638888889","923","","SM(32:2)+H",673.5286,0,0,0,472.4514,184.0735,86.096505,"3.34072638888889","3.64072638888889","923","","SM(32:2)+H","673.52787","490.46183","614.45433","490.46175","472.45117","184.07332","86.09648","3.34072638888889","3.64072638888889","923"
