"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment"
"","Plasmenyl-PC(31:2)+H",1,0,0,"7.21744861111111","7.51744861111111","574","","Plasmenyl-PC(31:2)+H",7.404381,0,0,"7.21744861111111","7.51744861111111","574","","Plasmenyl-PC(31:2)+H",1,0,0,"7.21744861111111","7.51744861111111","574","","Plasmenyl-PC(31:2)+H",16014.32,0,0,"7.21744861111111","7.51744861111111","574","","Plasmenyl-PC(31:2)+H",700.5283,0,0,"7.21744861111111","7.51744861111111","574","","Plasmenyl-PC(31:2)+H","700.5275976","517.4615576","184.07332","7.21744861111111","7.51744861111111","574"
"","Plasmenyl-PC(31:2)+H",0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmenyl-PC(31:2)+H",0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmenyl-PC(31:2)+H",0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmenyl-PC(31:2)+H",0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmenyl-PC(31:2)+H",0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmenyl-PC(31:2)+H","700.5275976","517.4615576","184.07332","12.1304388888889","12.4304388888889","11033"
"","Plasmenyl-PC(32:0)+H",1,0,1,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PC(32:0)+H",7.872663,0,7.872663,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PC(32:0)+H",2,0,2,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PC(32:0)+H",740660.8,0,6397098,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PC(32:0)+H",718.57525,0,184.07355,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PC(32:0)+H","718.5744976","535.5084576","184.07332","7.75862638888889","8.05862638888889","197"
"","Plasmenyl-PC(32:0)+H",1,1,1,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PC(32:0)+H",7.144014,7.144014,7.144014,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PC(32:0)+H",1,1,1,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PC(32:0)+H",178567.1,1051.531,1337785,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PC(32:0)+H",718.576,535.5106,184.0737,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PC(32:0)+H","718.5744976","535.5084576","184.07332","6.86943888888889","7.16943888888889","699"
"","Plasmenyl-PC(32:1)+H",1,0,1,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(32:1)+H",6.856732,0,6.856732,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(32:1)+H",1,0,1,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(32:1)+H",73595.97,0,612662.8,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(32:1)+H",716.5604,0,184.0737,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(32:1)+H","716.5588976","533.4928576","184.07332","6.66181805555556","6.96181805555556","1083"
"","Plasmenyl-PC(32:1)+H",0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PC(32:1)+H",0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PC(32:1)+H",0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PC(32:1)+H",0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PC(32:1)+H",0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PC(32:1)+H","716.5588976","533.4928576","184.07332","5.83862777777778","6.13862777777778","2703"
"","Plasmenyl-PC(32:1)+H",1,0,1,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(32:1)+H",6.856732,0,6.856732,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(32:1)+H",1,0,1,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(32:1)+H",73595.97,0,612662.8,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(32:1)+H",716.5604,0,184.0737,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(32:1)+H","716.5588976","533.4928576","184.07332","6.64093611111111","6.94093611111111","9134"
"","Plasmenyl-PC(32:1)+H",0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PC(32:1)+H",0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PC(32:1)+H",0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PC(32:1)+H",0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PC(32:1)+H",0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PC(32:1)+H","716.5588976","533.4928576","184.07332","8.7356962962963","9.0356962962963","10132"
"","Plasmenyl-PC(32:1)+H",1,0,1,"6.77170138888889","7.07170138888889","18325","","Plasmenyl-PC(32:1)+H",6.856732,0,6.856732,"6.77170138888889","7.07170138888889","18325","","Plasmenyl-PC(32:1)+H",1,0,1,"6.77170138888889","7.07170138888889","18325","","Plasmenyl-PC(32:1)+H",73595.97,0,612662.8,"6.77170138888889","7.07170138888889","18325","","Plasmenyl-PC(32:1)+H",716.5604,0,184.0737,"6.77170138888889","7.07170138888889","18325","","Plasmenyl-PC(32:1)+H","716.5588976","533.4928576","184.07332","6.77170138888889","7.07170138888889","18325"
"","Plasmenyl-PC(32:2)+H",0,0,0,"7.80099166666667","8.10099166666667","2941","","Plasmenyl-PC(32:2)+H",0,0,0,"7.80099166666667","8.10099166666667","2941","","Plasmenyl-PC(32:2)+H",0,0,0,"7.80099166666667","8.10099166666667","2941","","Plasmenyl-PC(32:2)+H",0,0,0,"7.80099166666667","8.10099166666667","2941","","Plasmenyl-PC(32:2)+H",0,0,0,"7.80099166666667","8.10099166666667","2941","","Plasmenyl-PC(32:2)+H","714.5432976","531.4772576","184.07332","7.80099166666667","8.10099166666667","2941"
"","Plasmenyl-PC(32:2)+H",0,0,0,"5.64565277777778","5.94565277777778","6244","","Plasmenyl-PC(32:2)+H",0,0,0,"5.64565277777778","5.94565277777778","6244","","Plasmenyl-PC(32:2)+H",0,0,0,"5.64565277777778","5.94565277777778","6244","","Plasmenyl-PC(32:2)+H",0,0,0,"5.64565277777778","5.94565277777778","6244","","Plasmenyl-PC(32:2)+H",0,0,0,"5.64565277777778","5.94565277777778","6244","","Plasmenyl-PC(32:2)+H","714.5432976","531.4772576","184.07332","5.64565277777778","5.94565277777778","6244"
"","Plasmenyl-PC(32:2)+H",0,0,0,"5.14956805555555","5.44956805555555","8139","","Plasmenyl-PC(32:2)+H",0,0,0,"5.14956805555555","5.44956805555555","8139","","Plasmenyl-PC(32:2)+H",0,0,0,"5.14956805555555","5.44956805555555","8139","","Plasmenyl-PC(32:2)+H",0,0,0,"5.14956805555555","5.44956805555555","8139","","Plasmenyl-PC(32:2)+H",0,0,0,"5.14956805555555","5.44956805555555","8139","","Plasmenyl-PC(32:2)+H","714.5432976","531.4772576","184.07332","5.14956805555555","5.44956805555555","8139"
"","Plasmenyl-PC(32:2)+H",0,0,0,"5.46767777777778","5.76767777777778","8246","","Plasmenyl-PC(32:2)+H",0,0,0,"5.46767777777778","5.76767777777778","8246","","Plasmenyl-PC(32:2)+H",0,0,0,"5.46767777777778","5.76767777777778","8246","","Plasmenyl-PC(32:2)+H",0,0,0,"5.46767777777778","5.76767777777778","8246","","Plasmenyl-PC(32:2)+H",0,0,0,"5.46767777777778","5.76767777777778","8246","","Plasmenyl-PC(32:2)+H","714.5432976","531.4772576","184.07332","5.46767777777778","5.76767777777778","8246"
"","Plasmenyl-PC(32:2)+H",0,0,0,"5.14429583333333","5.44429583333333","13871","","Plasmenyl-PC(32:2)+H",0,0,0,"5.14429583333333","5.44429583333333","13871","","Plasmenyl-PC(32:2)+H",0,0,0,"5.14429583333333","5.44429583333333","13871","","Plasmenyl-PC(32:2)+H",0,0,0,"5.14429583333333","5.44429583333333","13871","","Plasmenyl-PC(32:2)+H",0,0,0,"5.14429583333333","5.44429583333333","13871","","Plasmenyl-PC(32:2)+H","714.5432976","531.4772576","184.07332","5.14429583333333","5.44429583333333","13871"
"","Plasmenyl-PC(33:0)+H",0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PC(33:0)+H",0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PC(33:0)+H",0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PC(33:0)+H",0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PC(33:0)+H",0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PC(33:0)+H","732.5901976","549.5241576","184.07332","8.12406805555556","8.42406805555556","1753"
"","Plasmenyl-PC(33:0)+H",0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PC(33:0)+H",0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PC(33:0)+H",0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PC(33:0)+H",0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PC(33:0)+H",0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PC(33:0)+H","732.5901976","549.5241576","184.07332","9.3638375","9.6638375","11656"
"","Plasmenyl-PC(33:0)+H",0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PC(33:0)+H",0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PC(33:0)+H",0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PC(33:0)+H",0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PC(33:0)+H",0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PC(33:0)+H","732.5901976","549.5241576","184.07332","8.31044848484848","8.61044848484848","12846"
"","Plasmenyl-PC(33:1)+H",1,0,1,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PC(33:1)+H",9.37348,0,9.37348,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PC(33:1)+H",1,0,1,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PC(33:1)+H",7793.215,0,2778.627,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PC(33:1)+H",730.5742,0,184.0735,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PC(33:1)+H","730.5744976","547.5084576","184.07332","9.20176666666667","9.50176666666667","1235"
"","Plasmenyl-PC(33:1)+H",0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PC(33:1)+H",0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PC(33:1)+H",0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PC(33:1)+H",0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PC(33:1)+H",0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PC(33:1)+H","730.5744976","547.5084576","184.07332","7.04608055555555","7.34608055555555","5546"
"","Plasmenyl-PC(33:1)+H",0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmenyl-PC(33:1)+H",0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmenyl-PC(33:1)+H",0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmenyl-PC(33:1)+H",0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmenyl-PC(33:1)+H",0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmenyl-PC(33:1)+H","730.5744976","547.5084576","184.07332","7.23081805555556","7.53081805555556","9368"
"","Plasmenyl-PC(33:1)+H",0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmenyl-PC(33:1)+H",0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmenyl-PC(33:1)+H",0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmenyl-PC(33:1)+H",0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmenyl-PC(33:1)+H",0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmenyl-PC(33:1)+H","730.5744976","547.5084576","184.07332","7.05109166666667","7.35109166666667","17349"
"","Plasmenyl-PC(33:2)+H",1,0,0,"8.35855694444444","8.65855694444444","381","","Plasmenyl-PC(33:2)+H",8.539091,0,0,"8.35855694444444","8.65855694444444","381","","Plasmenyl-PC(33:2)+H",1,0,0,"8.35855694444444","8.65855694444444","381","","Plasmenyl-PC(33:2)+H",33965.3,0,0,"8.35855694444444","8.65855694444444","381","","Plasmenyl-PC(33:2)+H",728.5604,0,0,"8.35855694444444","8.65855694444444","381","","Plasmenyl-PC(33:2)+H","728.5588976","545.4928576","184.07332","8.35855694444444","8.65855694444444","381"
