"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","RT at Max Intensity","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Number of Scans","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Max Intensity","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Average m/z","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment"
"","PE(31:1)+H",0,0,0,"3.4817375","3.7817375","10871","","PE(31:1)+H",0,0,0,"3.4817375","3.7817375","10871","","PE(31:1)+H",0,0,0,"3.4817375","3.7817375","10871","","PE(31:1)+H",0,0,0,"3.4817375","3.7817375","10871","","PE(31:1)+H",0,0,0,"3.4817375","3.7817375","10871","","PE(31:1)+H","676.49128","535.47217","142.02639","3.4817375","3.7817375","10871"
"","PE(32:0)+H",0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(32:0)+H",0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(32:0)+H",0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(32:0)+H",0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(32:0)+H",0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(32:0)+H","692.52248","551.50337","142.02639","5.37767361111111","5.67767361111111","2266"
"","PE(32:0)+H",0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(32:0)+H",0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(32:0)+H",0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(32:0)+H",0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(32:0)+H",0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(32:0)+H","692.52248","551.50337","142.02639","5.64302916666667","5.94302916666667","3402"
"","PE(32:0)+H",0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(32:0)+H",0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(32:0)+H",0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(32:0)+H",0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(32:0)+H",0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(32:0)+H","692.52248","551.50337","142.02639","5.12018472222222","5.42018472222222","4596"
"","PE(32:0)+H",0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(32:0)+H",0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(32:0)+H",0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(32:0)+H",0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(32:0)+H",0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(32:0)+H","692.52248","551.50337","142.02639","12.1199472222222","12.4199472222222","7285"
"","PE(32:1)+H",0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(32:1)+H",0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(32:1)+H",0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(32:1)+H",0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(32:1)+H",0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(32:1)+H","690.50688","549.48777","142.02639","12.0874060606061","12.3874060606061","9023"
"","PE(32:2)+H",0,0,0,"11.5169424242424","11.8169424242424","12384","","PE(32:2)+H",0,0,0,"11.5169424242424","11.8169424242424","12384","","PE(32:2)+H",0,0,0,"11.5169424242424","11.8169424242424","12384","","PE(32:2)+H",0,0,0,"11.5169424242424","11.8169424242424","12384","","PE(32:2)+H",0,0,0,"11.5169424242424","11.8169424242424","12384","","PE(32:2)+H","688.49118","547.47207","142.02639","11.5169424242424","11.8169424242424","12384"
"","PE(32:3)+H",0,0,0,"6.29392361111111","6.59392361111111","12753","","PE(32:3)+H",0,0,0,"6.29392361111111","6.59392361111111","12753","","PE(32:3)+H",0,0,0,"6.29392361111111","6.59392361111111","12753","","PE(32:3)+H",0,0,0,"6.29392361111111","6.59392361111111","12753","","PE(32:3)+H",0,0,0,"6.29392361111111","6.59392361111111","12753","","PE(32:3)+H","686.47558","545.45647","142.02639","6.29392361111111","6.59392361111111","12753"
"","PE(33:0)+H",1,0,0,"6.02765","6.32765","188","","PE(33:0)+H",6.168828,0,0,"6.02765","6.32765","188","","PE(33:0)+H",3,0,0,"6.02765","6.32765","188","","PE(33:0)+H",1563772,0,0,"6.02765","6.32765","188","","PE(33:0)+H",706.538766666667,0,0,"6.02765","6.32765","188","","PE(33:0)+H","706.53818","565.51907","142.02639","6.02765","6.32765","188"
"","PE(33:1)+H",1,0,0,"4.889025","5.189025","340","","PE(33:1)+H",5.068664,0,0,"4.889025","5.189025","340","","PE(33:1)+H",2,0,0,"4.889025","5.189025","340","","PE(33:1)+H",570787,0,0,"4.889025","5.189025","340","","PE(33:1)+H",704.5241,0,0,"4.889025","5.189025","340","","PE(33:1)+H","704.52258","563.50347","142.02639","4.889025","5.189025","340"
"","PE(33:1)+H",0,0,0,"5.52259444444444","5.82259444444444","9928","","PE(33:1)+H",0,0,0,"5.52259444444444","5.82259444444444","9928","","PE(33:1)+H",0,0,0,"5.52259444444444","5.82259444444444","9928","","PE(33:1)+H",0,0,0,"5.52259444444444","5.82259444444444","9928","","PE(33:1)+H",0,0,0,"5.52259444444444","5.82259444444444","9928","","PE(33:1)+H","704.52258","563.50347","142.02639","5.52259444444444","5.82259444444444","9928"
"","PE(33:1)+H",0,0,0,"7.02406805555556","7.32406805555556","16090","","PE(33:1)+H",0,0,0,"7.02406805555556","7.32406805555556","16090","","PE(33:1)+H",0,0,0,"7.02406805555556","7.32406805555556","16090","","PE(33:1)+H",0,0,0,"7.02406805555556","7.32406805555556","16090","","PE(33:1)+H",0,0,0,"7.02406805555556","7.32406805555556","16090","","PE(33:1)+H","704.52258","563.50347","142.02639","7.02406805555556","7.32406805555556","16090"
"","PE(33:1)+H",0,0,0,"6.90816111111111","7.20816111111111","18891","","PE(33:1)+H",0,0,0,"6.90816111111111","7.20816111111111","18891","","PE(33:1)+H",0,0,0,"6.90816111111111","7.20816111111111","18891","","PE(33:1)+H",0,0,0,"6.90816111111111","7.20816111111111","18891","","PE(33:1)+H",0,0,0,"6.90816111111111","7.20816111111111","18891","","PE(33:1)+H","704.52258","563.50347","142.02639","6.90816111111111","7.20816111111111","18891"
"","PE(33:2)+H",0,0,0,"3.73294305555556","4.03294305555556","4431","","PE(33:2)+H",0,0,0,"3.73294305555556","4.03294305555556","4431","","PE(33:2)+H",0,0,0,"3.73294305555556","4.03294305555556","4431","","PE(33:2)+H",0,0,0,"3.73294305555556","4.03294305555556","4431","","PE(33:2)+H",0,0,0,"3.73294305555556","4.03294305555556","4431","","PE(33:2)+H","702.50688","561.48777","142.02639","3.73294305555556","4.03294305555556","4431"
"","PE(33:3)+H",0,0,0,"4.70208611111111","5.00208611111111","6138","","PE(33:3)+H",0,0,0,"4.70208611111111","5.00208611111111","6138","","PE(33:3)+H",0,0,0,"4.70208611111111","5.00208611111111","6138","","PE(33:3)+H",0,0,0,"4.70208611111111","5.00208611111111","6138","","PE(33:3)+H",0,0,0,"4.70208611111111","5.00208611111111","6138","","PE(33:3)+H","700.49128","559.47217","142.02639","4.70208611111111","5.00208611111111","6138"
"","PE(34:0)+H",1,1,1,"8.64666527777777","8.94666527777777","95","","PE(34:0)+H",8.815608,8.815608,8.815608,"8.64666527777777","8.94666527777777","95","","PE(34:0)+H",2,2,2,"8.64666527777777","8.94666527777777","95","","PE(34:0)+H",73318.2,17832860,6879.517,"8.64666527777777","8.94666527777777","95","","PE(34:0)+H",720.5545,579.5354,142.02665,"8.64666527777777","8.94666527777777","95","","PE(34:0)+H","720.55378","579.53467","142.02639","8.64666527777777","8.94666527777777","95"
"","PE(34:0)+H",1,0,0,"6.63066666666667","6.93066666666667","518","","PE(34:0)+H",6.821414,0,0,"6.63066666666667","6.93066666666667","518","","PE(34:0)+H",1,0,0,"6.63066666666667","6.93066666666667","518","","PE(34:0)+H",360136.4,0,0,"6.63066666666667","6.93066666666667","518","","PE(34:0)+H",720.5547,0,0,"6.63066666666667","6.93066666666667","518","","PE(34:0)+H","720.55378","579.53467","142.02639","6.63066666666667","6.93066666666667","518"
