"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment","Number of Scans","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment","Max Intensity","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment","Average m/z","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment"
"","PS(36:0)+Na",0,0,"3.39136944444444","3.69136944444444","8265","","PS(36:0)+Na",0,0,"3.39136944444444","3.69136944444444","8265","","PS(36:0)+Na",0,0,"3.39136944444444","3.69136944444444","8265","","PS(36:0)+Na",0,0,"3.39136944444444","3.69136944444444","8265","","PS(36:0)+Na",0,0,"3.39136944444444","3.69136944444444","8265","","PS(36:0)+Na","814.5568249","207.99872","3.39136944444444","3.69136944444444","8265"
"","PS(36:0)+Na",0,0,"4.12585277777778","4.42585277777778","13405","","PS(36:0)+Na",0,0,"4.12585277777778","4.42585277777778","13405","","PS(36:0)+Na",0,0,"4.12585277777778","4.42585277777778","13405","","PS(36:0)+Na",0,0,"4.12585277777778","4.42585277777778","13405","","PS(36:0)+Na",0,0,"4.12585277777778","4.42585277777778","13405","","PS(36:0)+Na","814.5568249","207.99872","4.12585277777778","4.42585277777778","13405"
"","PS(36:0)+Na",0,0,"1.83709444444444","2.13709444444444","15859","","PS(36:0)+Na",0,0,"1.83709444444444","2.13709444444444","15859","","PS(36:0)+Na",0,0,"1.83709444444444","2.13709444444444","15859","","PS(36:0)+Na",0,0,"1.83709444444444","2.13709444444444","15859","","PS(36:0)+Na",0,0,"1.83709444444444","2.13709444444444","15859","","PS(36:0)+Na","814.5568249","207.99872","1.83709444444444","2.13709444444444","15859"
"","PS(36:1)+Na",0,0,"1.86782083333333","2.16782083333333","11159","","PS(36:1)+Na",0,0,"1.86782083333333","2.16782083333333","11159","","PS(36:1)+Na",0,0,"1.86782083333333","2.16782083333333","11159","","PS(36:1)+Na",0,0,"1.86782083333333","2.16782083333333","11159","","PS(36:1)+Na",0,0,"1.86782083333333","2.16782083333333","11159","","PS(36:1)+Na","812.5412249","207.99872","1.86782083333333","2.16782083333333","11159"
"","PS(37:1)+Na",0,0,"7.04686805555556","7.34686805555556","2224","","PS(37:1)+Na",0,0,"7.04686805555556","7.34686805555556","2224","","PS(37:1)+Na",0,0,"7.04686805555556","7.34686805555556","2224","","PS(37:1)+Na",0,0,"7.04686805555556","7.34686805555556","2224","","PS(37:1)+Na",0,0,"7.04686805555556","7.34686805555556","2224","","PS(37:1)+Na","826.5569249","207.99872","7.04686805555556","7.34686805555556","2224"
"","PS(37:1)+Na",0,0,"1.55908055555556","1.85908055555556","18812","","PS(37:1)+Na",0,0,"1.55908055555556","1.85908055555556","18812","","PS(37:1)+Na",0,0,"1.55908055555556","1.85908055555556","18812","","PS(37:1)+Na",0,0,"1.55908055555556","1.85908055555556","18812","","PS(37:1)+Na",0,0,"1.55908055555556","1.85908055555556","18812","","PS(37:1)+Na","826.5569249","207.99872","1.55908055555556","1.85908055555556","18812"
"","PS(37:3)+Na",0,0,"4.98809583333333","5.28809583333333","13691","","PS(37:3)+Na",0,0,"4.98809583333333","5.28809583333333","13691","","PS(37:3)+Na",0,0,"4.98809583333333","5.28809583333333","13691","","PS(37:3)+Na",0,0,"4.98809583333333","5.28809583333333","13691","","PS(37:3)+Na",0,0,"4.98809583333333","5.28809583333333","13691","","PS(37:3)+Na","822.5256249","207.99872","4.98809583333333","5.28809583333333","13691"
"","PS(37:4)+Na",0,0,"5.1377375","5.4377375","11246","","PS(37:4)+Na",0,0,"5.1377375","5.4377375","11246","","PS(37:4)+Na",0,0,"5.1377375","5.4377375","11246","","PS(37:4)+Na",0,0,"5.1377375","5.4377375","11246","","PS(37:4)+Na",0,0,"5.1377375","5.4377375","11246","","PS(37:4)+Na","820.5099249","207.99872","5.1377375","5.4377375","11246"
"","PS(38:0)+Na",0,0,"5.47872777777778","5.77872777777778","5746","","PS(38:0)+Na",0,0,"5.47872777777778","5.77872777777778","5746","","PS(38:0)+Na",0,0,"5.47872777777778","5.77872777777778","5746","","PS(38:0)+Na",0,0,"5.47872777777778","5.77872777777778","5746","","PS(38:0)+Na",0,0,"5.47872777777778","5.77872777777778","5746","","PS(38:0)+Na","842.5881249","207.99872","5.47872777777778","5.77872777777778","5746"
"","PS(38:0)+Na",0,0,"4.97432083333333","5.27432083333333","9287","","PS(38:0)+Na",0,0,"4.97432083333333","5.27432083333333","9287","","PS(38:0)+Na",0,0,"4.97432083333333","5.27432083333333","9287","","PS(38:0)+Na",0,0,"4.97432083333333","5.27432083333333","9287","","PS(38:0)+Na",0,0,"4.97432083333333","5.27432083333333","9287","","PS(38:0)+Na","842.5881249","207.99872","4.97432083333333","5.27432083333333","9287"
