OxPE,[M+Na]+,PreCursor -43,PreCursor -141,M+Na-43-SN1-H acyl loss,M+Na-43-SN2-H acyl loss,phosphoethanolamine+Na
OxPE(8:0_6:1(COOH))+Na,490.1812978,447.1390978,349.1622035,303.0241978,303.0969578,164.00888
OxPE(8:0_7:1(COOH))+Na,504.1969478,461.1547478,363.1778535,317.0398478,303.0969578,164.00888
OxPE(8:0_8:1(COOH))+Na,518.2125978,475.1703978,377.1935035,331.0554978,303.0969578,164.00888
OxPE(8:0_9:1(COOH))+Na,532.2282478,489.1860478,391.2091535,345.0711478,303.0969578,164.00888
OxPE(8:0_9:2(COOH))+Na,530.2125978,487.1703978,389.1935035,343.0554978,303.0969578,164.00888
OxPE(8:0_10:1(COOH))+Na,546.2438978,503.2016978,405.2248035,359.0867978,303.0969578,164.00888
OxPE(8:0_10:2(COOH))+Na,544.2282478,501.1860478,403.2091535,357.0711478,303.0969578,164.00888
OxPE(8:0_11:1(COOH))+Na,560.2595478,517.2173478,419.2404535,373.1024478,303.0969578,164.00888
OxPE(8:0_11:2(COOH))+Na,558.2438978,515.2016978,417.2248035,371.0867978,303.0969578,164.00888
OxPE(8:0_12:1(COOH))+Na,574.2751978,531.2329978,433.2561035,387.1180978,303.0969578,164.00888
OxPE(8:0_12:2(COOH))+Na,572.2595478,529.2173478,431.2404535,385.1024478,303.0969578,164.00888
OxPE(8:0_12:3(COOH))+Na,570.2438978,527.2016978,429.2248035,383.0867978,303.0969578,164.00888
OxPE(8:0_13:1(COOH))+Na,588.2908478,545.2486478,447.2717535,401.1337478,303.0969578,164.00888
OxPE(8:0_13:2(COOH))+Na,586.2751978,543.2329978,445.2561035,399.1180978,303.0969578,164.00888
OxPE(8:0_13:3(COOH))+Na,584.2595478,541.2173478,443.2404535,397.1024478,303.0969578,164.00888
OxPE(8:0_14:1(COOH))+Na,602.3064978,559.2642978,461.2874035,415.1493978,303.0969578,164.00888
OxPE(8:0_14:2(COOH))+Na,600.2908478,557.2486478,459.2717535,413.1337478,303.0969578,164.00888
OxPE(8:0_14:3(COOH))+Na,598.2751978,555.2329978,457.2561035,411.1180978,303.0969578,164.00888
OxPE(8:0_15:1(COOH))+Na,616.3221478,573.2799478,475.3030535,429.1650478,303.0969578,164.00888
OxPE(8:0_15:2(COOH))+Na,614.3064978,571.2642978,473.2874035,427.1493978,303.0969578,164.00888
OxPE(8:0_15:3(COOH))+Na,612.2908478,569.2486478,471.2717535,425.1337478,303.0969578,164.00888
OxPE(8:0_15:4(COOH))+Na,610.2751978,567.2329978,469.2561035,423.1180978,303.0969578,164.00888
OxPE(8:0_16:1(COOH))+Na,630.3377978,587.2955978,489.3187035,443.1806978,303.0969578,164.00888
OxPE(8:0_16:2(COOH))+Na,628.3221478,585.2799478,487.3030535,441.1650478,303.0969578,164.00888
OxPE(8:0_16:3(COOH))+Na,626.3064978,583.2642978,485.2874035,439.1493978,303.0969578,164.00888
OxPE(8:0_16:4(COOH))+Na,624.2908478,581.2486478,483.2717535,437.1337478,303.0969578,164.00888
OxPE(8:0_17:4(COOH))+Na,638.3064978,595.2642978,497.2874035,451.1493978,303.0969578,164.00888
OxPE(8:0_18:4(COOH))+Na,652.3221478,609.2799478,511.3030535,465.1650478,303.0969578,164.00888
OxPE(8:0_18:5(COOH))+Na,650.3064978,607.2642978,509.2874035,463.1493978,303.0969578,164.00888
OxPE(8:0_19:4(COOH))+Na,666.3377978,623.2955978,525.3187035,479.1806978,303.0969578,164.00888
OxPE(8:0_19:5(COOH))+Na,664.3221478,621.2799478,523.3030535,477.1650478,303.0969578,164.00888
OxPE(8:0_3:0(CHO))+Na,434.1550678,391.1128678,293.1359735,246.9979678,303.0969578,164.00888
OxPE(8:0_4:0(CHO))+Na,448.1707178,405.1285178,307.1516235,261.0136178,303.0969578,164.00888
OxPE(10:0_5:0(CHO))+Na,490.2176678,447.1754678,349.1985735,275.0292678,331.1282578,164.00888
OxPE(10:0_6:0(CHO))+Na,504.2333178,461.1911178,363.2142235,289.0449178,331.1282578,164.00888
OxPE(10:0_7:0(CHO))+Na,518.2489678,475.2067678,377.2298735,303.0605678,331.1282578,164.00888
OxPE(10:0_8:0(CHO))+Na,532.2646178,489.2224178,391.2455235,317.0762178,331.1282578,164.00888
OxPE(10:0_9:0(CHO))+Na,546.2802678,503.2380678,405.2611735,331.0918678,331.1282578,164.00888
OxPE(10:0_10:0(CHO))+Na,560.2959178,517.2537178,419.2768235,345.1075178,331.1282578,164.00888
OxPE(10:0_11:0(CHO))+Na,574.3115678,531.2693678,433.2924735,359.1231678,331.1282578,164.00888
OxPE(10:0_12:0(CHO))+Na,588.3272178,545.2850178,447.3081235,373.1388178,331.1282578,164.00888
OxPE(10:0_13:0(CHO))+Na,602.3428678,559.3006678,461.3237735,387.1544678,331.1282578,164.00888
OxPE(10:0_14:0(CHO))+Na,616.3585178,573.3163178,475.3394235,401.1701178,331.1282578,164.00888
OxPE(10:0_15:0(CHO))+Na,630.3741678,587.3319678,489.3550735,415.1857678,331.1282578,164.00888
OxPE(10:0_6:1(CHO))+Na,502.2176778,459.1754778,361.1985835,287.0292778,331.1282578,164.00888
OxPE(10:0_7:1(CHO))+Na,516.2333278,473.1911278,375.2142335,301.0449278,331.1282578,164.00888
OxPE(10:0_8:1(CHO))+Na,530.2489778,487.2067778,389.2298835,315.0605778,331.1282578,164.00888
OxPE(10:0_9:1(CHO))+Na,544.2646278,501.2224278,403.2455335,329.0762278,331.1282578,164.00888
OxPE(10:0_9:2(CHO))+Na,542.2489778,499.2067778,401.2298835,327.0605778,331.1282578,164.00888
OxPE(10:0_10:1(CHO))+Na,558.2802778,515.2380778,417.2611835,343.0918778,331.1282578,164.00888
OxPE(10:0_10:2(CHO))+Na,556.2646278,513.2224278,415.2455335,341.0762278,331.1282578,164.00888
OxPE(10:0_11:1(CHO))+Na,572.2959278,529.2537278,431.2768335,357.1075278,331.1282578,164.00888
OxPE(10:0_11:2(CHO))+Na,570.2802778,527.2380778,429.2611835,355.0918778,331.1282578,164.00888
OxPE(10:0_12:1(CHO))+Na,586.3115778,543.2693778,445.2924835,371.1231778,331.1282578,164.00888
OxPE(10:0_12:2(CHO))+Na,584.2959278,541.2537278,443.2768335,369.1075278,331.1282578,164.00888
OxPE(10:0_12:3(CHO))+Na,582.2802778,539.2380778,441.2611835,367.0918778,331.1282578,164.00888
OxPE(10:0_13:1(CHO))+Na,600.3272278,557.2850278,459.3081335,385.1388278,331.1282578,164.00888
OxPE(10:0_13:2(CHO))+Na,598.3115778,555.2693778,457.2924835,383.1231778,331.1282578,164.00888
OxPE(10:0_13:3(CHO))+Na,596.2959278,553.2537278,455.2768335,381.1075278,331.1282578,164.00888
OxPE(10:0_14:1(CHO))+Na,614.3428778,571.3006778,473.3237835,399.1544778,331.1282578,164.00888
OxPE(10:0_14:2(CHO))+Na,612.3272278,569.2850278,471.3081335,397.1388278,331.1282578,164.00888
OxPE(10:0_14:3(CHO))+Na,610.3115778,567.2693778,469.2924835,395.1231778,331.1282578,164.00888
OxPE(10:0_15:1(CHO))+Na,628.3585278,585.3163278,487.3394335,413.1701278,331.1282578,164.00888
OxPE(10:0_15:2(CHO))+Na,626.3428778,583.3006778,485.3237835,411.1544778,331.1282578,164.00888
OxPE(10:0_15:3(CHO))+Na,624.3272278,581.2850278,483.3081335,409.1388278,331.1282578,164.00888
OxPE(10:0_15:4(CHO))+Na,622.3115778,579.2693778,481.2924835,407.1231778,331.1282578,164.00888
OxPE(10:0_16:1(CHO))+Na,642.3741778,599.3319778,501.3550835,427.1857778,331.1282578,164.00888
OxPE(10:0_16:2(CHO))+Na,640.3585278,597.3163278,499.3394335,425.1701278,331.1282578,164.00888
OxPE(10:0_16:3(CHO))+Na,638.3428778,595.3006778,497.3237835,423.1544778,331.1282578,164.00888
OxPE(10:0_16:4(CHO))+Na,636.3272278,593.2850278,495.3081335,421.1388278,331.1282578,164.00888
OxPE(10:0_17:4(CHO))+Na,650.3428778,607.3006778,509.3237835,435.1544778,331.1282578,164.00888
OxPE(10:0_18:4(CHO))+Na,664.3585278,621.3163278,523.3394335,449.1701278,331.1282578,164.00888
OxPE(10:0_18:5(CHO))+Na,662.3428778,619.3006778,521.3237835,447.1544778,331.1282578,164.00888
OxPE(10:0_19:4(CHO))+Na,678.3741778,635.3319778,537.3550835,463.1857778,331.1282578,164.00888
OxPE(10:0_19:5(CHO))+Na,676.3585278,633.3163278,535.3394335,461.1701278,331.1282578,164.00888
OxPE(10:0_3:0(COOH))+Na,478.1812878,435.1390878,337.1621935,262.9928878,331.1282578,164.00888
OxPE(10:0_4:0(COOH))+Na,492.1969378,449.1547378,351.1778435,277.0085378,331.1282578,164.00888
OxPE(10:0_5:0(COOH))+Na,506.2125878,463.1703878,365.1934935,291.0241878,331.1282578,164.00888
OxPE(10:0_6:0(COOH))+Na,520.2282378,477.1860378,379.2091435,305.0398378,331.1282578,164.00888
OxPE(10:0_7:0(COOH))+Na,534.2438878,491.2016878,393.2247935,319.0554878,331.1282578,164.00888
OxPE(10:0_8:0(COOH))+Na,548.2595378,505.2173378,407.2404435,333.0711378,331.1282578,164.00888
OxPE(10:0_9:0(COOH))+Na,562.2751878,519.2329878,421.2560935,347.0867878,331.1282578,164.00888
OxPE(10:0_10:0(COOH))+Na,576.2908378,533.2486378,435.2717435,361.1024378,331.1282578,164.00888
OxPE(10:0_11:0(COOH))+Na,590.3064878,547.2642878,449.2873935,375.1180878,331.1282578,164.00888
OxPE(10:0_12:0(COOH))+Na,604.3221378,561.2799378,463.3030435,389.1337378,331.1282578,164.00888
OxPE(10:0_13:0(COOH))+Na,618.3377878,575.2955878,477.3186935,403.1493878,331.1282578,164.00888
OxPE(10:0_14:0(COOH))+Na,632.3534378,589.3112378,491.3343435,417.1650378,331.1282578,164.00888
OxPE(10:0_15:0(COOH))+Na,646.3690878,603.3268878,505.3499935,431.1806878,331.1282578,164.00888
OxPE(10:0_6:1(COOH))+Na,518.2125978,475.1703978,377.1935035,303.0241978,331.1282578,164.00888
OxPE(10:0_7:1(COOH))+Na,532.2282478,489.1860478,391.2091535,317.0398478,331.1282578,164.00888
OxPE(10:0_8:1(COOH))+Na,546.2438978,503.2016978,405.2248035,331.0554978,331.1282578,164.00888
OxPE(10:0_9:1(COOH))+Na,560.2595478,517.2173478,419.2404535,345.0711478,331.1282578,164.00888
OxPE(10:0_9:2(COOH))+Na,558.2438978,515.2016978,417.2248035,343.0554978,331.1282578,164.00888
OxPE(10:0_10:1(COOH))+Na,574.2751978,531.2329978,433.2561035,359.0867978,331.1282578,164.00888
OxPE(10:0_10:2(COOH))+Na,572.2595478,529.2173478,431.2404535,357.0711478,331.1282578,164.00888
OxPE(10:0_11:1(COOH))+Na,588.2908478,545.2486478,447.2717535,373.1024478,331.1282578,164.00888
OxPE(10:0_11:2(COOH))+Na,586.2751978,543.2329978,445.2561035,371.0867978,331.1282578,164.00888
OxPE(10:0_12:1(COOH))+Na,602.3064978,559.2642978,461.2874035,387.1180978,331.1282578,164.00888
OxPE(10:0_12:2(COOH))+Na,600.2908478,557.2486478,459.2717535,385.1024478,331.1282578,164.00888
OxPE(10:0_12:3(COOH))+Na,598.2751978,555.2329978,457.2561035,383.0867978,331.1282578,164.00888
OxPE(10:0_13:1(COOH))+Na,616.3221478,573.2799478,475.3030535,401.1337478,331.1282578,164.00888
OxPE(10:0_13:2(COOH))+Na,614.3064978,571.2642978,473.2874035,399.1180978,331.1282578,164.00888
