HexCer-NS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
HexCer-NS(d18:2/40:2)+H,1030.901,868.8486,850.838,832.8274,280.2635,262.2529,588.6078,250.2529
HexCer-NS(d18:2/42:0)+H,1062.964,900.9111,882.9006,864.89,280.2635,262.2529,620.6704,250.2529
HexCer-NS(d18:2/42:1)+H,1060.948,898.8955,880.8849,862.8744,280.2635,262.2529,618.6547,250.2529
HexCer-NS(d18:2/42:2)+H,1058.933,896.8799,878.8693,860.8587,280.2635,262.2529,616.6391,250.2529
HexCer-NS(d18:3/12:0)+H,640.4788,478.426,460.4154,442.4049,278.2479,260.2373,200.2009,248.2373
HexCer-NS(d18:3/12:1)+H,638.4632,476.4103,458.3998,440.3892,278.2479,260.2373,198.1853,248.2373
HexCer-NS(d18:3/13:0)+H,654.4945,492.4417,474.4311,456.4205,278.2479,260.2373,214.2166,248.2373
HexCer-NS(d18:3/13:1)+H,652.4788,490.426,472.4154,454.4049,278.2479,260.2373,212.2009,248.2373
HexCer-NS(d18:3/14:0)+H,668.5101,506.4573,488.4467,470.4362,278.2479,260.2373,228.2322,248.2373
HexCer-NS(d18:3/14:1)+H,666.4945,504.4417,486.4311,468.4205,278.2479,260.2373,226.2166,248.2373
HexCer-NS(d18:3/15:0)+H,682.5258,520.473,502.4624,484.4518,278.2479,260.2373,242.2478,248.2373
HexCer-NS(d18:3/15:1)+H,680.5101,518.4573,500.4467,482.4362,278.2479,260.2373,240.2322,248.2373
HexCer-NS(d18:3/16:0)+H,696.5414,534.4886,516.478,498.4675,278.2479,260.2373,256.2635,248.2373
HexCer-NS(d18:3/16:1)+H,694.5258,532.473,514.4624,496.4518,278.2479,260.2373,254.2478,248.2373
HexCer-NS(d18:3/16:2)+H,692.5101,530.4573,512.4467,494.4362,278.2479,260.2373,252.2322,248.2373
HexCer-NS(d18:3/17:0)+H,710.5571,548.5043,530.4937,512.4831,278.2479,260.2373,270.2791,248.2373
HexCer-NS(d18:3/18:0)+H,724.5728,562.5199,544.5093,526.4988,278.2479,260.2373,284.2948,248.2373
HexCer-NS(d18:3/18:1)+H,722.5571,560.5043,542.4937,524.4831,278.2479,260.2373,282.2791,248.2373
HexCer-NS(d18:3/18:2)+H,720.5414,558.4886,540.478,522.4675,278.2479,260.2373,280.2635,248.2373
HexCer-NS(d18:3/19:0)+H,738.5884,576.5356,558.525,540.5144,278.2479,260.2373,298.3105,248.2373
HexCer-NS(d18:3/19:1)+H,736.5728,574.5199,556.5093,538.4988,278.2479,260.2373,296.2948,248.2373
HexCer-NS(d18:3/20:0)+H,752.6041,590.5512,572.5406,554.5301,278.2479,260.2373,312.3261,248.2373
HexCer-NS(d18:3/20:1)+H,750.5884,588.5356,570.525,552.5144,278.2479,260.2373,310.3105,248.2373
HexCer-NS(d18:3/20:2)+H,748.5728,586.5199,568.5093,550.4988,278.2479,260.2373,308.2948,248.2373
HexCer-NS(d18:3/21:0)+H,766.6197,604.5668,586.5563,568.5457,278.2479,260.2373,326.3417,248.2373
HexCer-NS(d18:3/21:1)+H,764.6041,602.5512,584.5406,566.5301,278.2479,260.2373,324.3261,248.2373
HexCer-NS(d18:3/22:0)+H,780.6353,618.5825,600.572,582.5613,278.2479,260.2373,340.3574,248.2373
HexCer-NS(d18:3/22:1)+H,778.6197,616.5668,598.5563,580.5457,278.2479,260.2373,338.3417,248.2373
HexCer-NS(d18:3/22:2)+H,776.6041,614.5512,596.5406,578.5301,278.2479,260.2373,336.3261,248.2373
HexCer-NS(d18:3/23:0)+H,794.651,632.5981,614.5876,596.577,278.2479,260.2373,354.373,248.2373
HexCer-NS(d18:3/23:1)+H,792.6353,630.5825,612.572,594.5613,278.2479,260.2373,352.3574,248.2373
HexCer-NS(d18:3/24:0)+H,808.6666,646.6138,628.6032,610.5927,278.2479,260.2373,368.3887,248.2373
HexCer-NS(d18:3/24:1)+H,806.651,644.5981,626.5876,608.577,278.2479,260.2373,366.373,248.2373
HexCer-NS(d18:3/24:2)+H,804.6353,642.5825,624.572,606.5613,278.2479,260.2373,364.3574,248.2373
HexCer-NS(d18:3/25:0)+H,822.6823,660.6295,642.6189,624.6083,278.2479,260.2373,382.4044,248.2373
HexCer-NS(d18:3/25:1)+H,820.6666,658.6138,640.6032,622.5927,278.2479,260.2373,380.3887,248.2373
HexCer-NS(d18:3/26:0)+H,836.6979,674.6451,656.6345,638.624,278.2479,260.2373,396.42,248.2373
HexCer-NS(d18:3/26:1)+H,834.6823,672.6295,654.6189,636.6083,278.2479,260.2373,394.4044,248.2373
HexCer-NS(d18:3/26:2)+H,832.6666,670.6138,652.6032,634.5927,278.2479,260.2373,392.3887,248.2373
HexCer-NS(d18:3/27:0)+H,850.7136,688.6608,670.6502,652.6396,278.2479,260.2373,410.4356,248.2373
HexCer-NS(d18:3/27:1)+H,848.6979,686.6451,668.6345,650.624,278.2479,260.2373,408.42,248.2373
HexCer-NS(d18:3/28:0)+H,864.7292,702.6764,684.6658,666.6553,278.2479,260.2373,424.4513,248.2373
HexCer-NS(d18:3/28:1)+H,862.7136,700.6608,682.6502,664.6396,278.2479,260.2373,422.4356,248.2373
HexCer-NS(d18:3/28:2)+H,860.6979,698.6451,680.6345,662.624,278.2479,260.2373,420.42,248.2373
HexCer-NS(d18:3/29:0)+H,878.7449,716.6921,698.6815,680.6709,278.2479,260.2373,438.4669,248.2373
HexCer-NS(d18:3/29:1)+H,876.7292,714.6764,696.6658,678.6553,278.2479,260.2373,436.4513,248.2373
HexCer-NS(d18:3/30:0)+H,892.7606,730.7077,712.6971,694.6866,278.2479,260.2373,452.4826,248.2373
HexCer-NS(d18:3/30:1)+H,890.7449,728.6921,710.6815,692.6709,278.2479,260.2373,450.4669,248.2373
HexCer-NS(d18:3/30:2)+H,888.7292,726.6764,708.6658,690.6553,278.2479,260.2373,448.4513,248.2373
HexCer-NS(d18:3/31:0)+H,906.7762,744.7234,726.7128,708.7022,278.2479,260.2373,466.4983,248.2373
HexCer-NS(d18:3/31:1)+H,904.7606,742.7077,724.6971,706.6866,278.2479,260.2373,464.4826,248.2373
HexCer-NS(d18:3/32:0)+H,920.7919,758.739,740.7285,722.7179,278.2479,260.2373,480.5139,248.2373
HexCer-NS(d18:3/32:1)+H,918.7762,756.7234,738.7128,720.7022,278.2479,260.2373,478.4983,248.2373
HexCer-NS(d18:3/32:2)+H,916.7606,754.7077,736.6971,718.6866,278.2479,260.2373,476.4826,248.2373
HexCer-NS(d18:3/33:0)+H,934.8075,772.7546,754.7441,736.7335,278.2479,260.2373,494.5295,248.2373
HexCer-NS(d18:3/33:1)+H,932.7919,770.739,752.7285,734.7179,278.2479,260.2373,492.5139,248.2373
HexCer-NS(d18:3/34:0)+H,948.8231,786.7703,768.7598,750.7491,278.2479,260.2373,508.5452,248.2373
HexCer-NS(d18:3/34:1)+H,946.8075,784.7546,766.7441,748.7335,278.2479,260.2373,506.5295,248.2373
HexCer-NS(d18:3/34:2)+H,944.7919,782.739,764.7285,746.7179,278.2479,260.2373,504.5139,248.2373
HexCer-NS(d18:3/35:0)+H,962.8388,800.7859,782.7754,764.7648,278.2479,260.2373,522.5609,248.2373
HexCer-NS(d18:3/35:1)+H,960.8231,798.7703,780.7598,762.7491,278.2479,260.2373,520.5452,248.2373
HexCer-NS(d18:3/36:0)+H,976.8544,814.8016,796.791,778.7805,278.2479,260.2373,536.5765,248.2373
HexCer-NS(d18:3/36:1)+H,974.8388,812.7859,794.7754,776.7648,278.2479,260.2373,534.5609,248.2373
HexCer-NS(d18:3/36:2)+H,972.8231,810.7703,792.7598,774.7491,278.2479,260.2373,532.5452,248.2373
HexCer-NS(d18:3/38:0)+H,1004.886,842.8329,824.8223,806.8118,278.2479,260.2373,564.6078,248.2373
HexCer-NS(d18:3/38:1)+H,1002.87,840.8173,822.8067,804.7961,278.2479,260.2373,562.5922,248.2373
HexCer-NS(d18:3/38:2)+H,1000.854,838.8016,820.791,802.7805,278.2479,260.2373,560.5765,248.2373
HexCer-NS(d18:3/40:0)+H,1032.917,870.8642,852.8536,834.8431,278.2479,260.2373,592.6391,248.2373
HexCer-NS(d18:3/40:1)+H,1030.901,868.8486,850.838,832.8274,278.2479,260.2373,590.6235,248.2373
HexCer-NS(d18:3/40:2)+H,1028.886,866.8329,848.8223,830.8118,278.2479,260.2373,588.6078,248.2373
HexCer-NS(d18:3/42:0)+H,1060.948,898.8955,880.8849,862.8744,278.2479,260.2373,620.6704,248.2373
HexCer-NS(d18:3/42:1)+H,1058.933,896.8799,878.8693,860.8587,278.2479,260.2373,618.6547,248.2373
HexCer-NS(d18:3/42:2)+H,1056.917,894.8642,876.8536,858.8431,278.2479,260.2373,616.6391,248.2373
HexCer-NS(d19:1/12:0)+H,658.5258,496.473,478.4624,460.4518,296.2948,278.2842,200.2009,266.2842
HexCer-NS(d19:1/12:1)+H,656.5101,494.4573,476.4467,458.4362,296.2948,278.2842,198.1853,266.2842
HexCer-NS(d19:1/13:0)+H,672.5414,510.4886,492.478,474.4675,296.2948,278.2842,214.2166,266.2842
HexCer-NS(d19:1/13:1)+H,670.5258,508.473,490.4624,472.4518,296.2948,278.2842,212.2009,266.2842
HexCer-NS(d19:1/14:0)+H,686.5571,524.5043,506.4937,488.4831,296.2948,278.2842,228.2322,266.2842
HexCer-NS(d19:1/14:1)+H,684.5414,522.4886,504.478,486.4675,296.2948,278.2842,226.2166,266.2842
HexCer-NS(d19:1/15:0)+H,700.5728,538.5199,520.5093,502.4988,296.2948,278.2842,242.2478,266.2842
HexCer-NS(d19:1/15:1)+H,698.5571,536.5043,518.4937,500.4831,296.2948,278.2842,240.2322,266.2842
HexCer-NS(d19:1/16:0)+H,714.5884,552.5356,534.525,516.5144,296.2948,278.2842,256.2635,266.2842
HexCer-NS(d19:1/16:1)+H,712.5728,550.5199,532.5093,514.4988,296.2948,278.2842,254.2478,266.2842
HexCer-NS(d19:1/16:2)+H,710.5571,548.5043,530.4937,512.4831,296.2948,278.2842,252.2322,266.2842
HexCer-NS(d19:1/17:0)+H,728.6041,566.5512,548.5406,530.5301,296.2948,278.2842,270.2791,266.2842
HexCer-NS(d19:1/18:0)+H,742.6197,580.5668,562.5563,544.5457,296.2948,278.2842,284.2948,266.2842
HexCer-NS(d19:1/18:1)+H,740.6041,578.5512,560.5406,542.5301,296.2948,278.2842,282.2791,266.2842
HexCer-NS(d19:1/18:2)+H,738.5884,576.5356,558.525,540.5144,296.2948,278.2842,280.2635,266.2842
HexCer-NS(d19:1/19:0)+H,756.6353,594.5825,576.572,558.5613,296.2948,278.2842,298.3105,266.2842
HexCer-NS(d19:1/19:1)+H,754.6197,592.5668,574.5563,556.5457,296.2948,278.2842,296.2948,266.2842
HexCer-NS(d19:1/20:0)+H,770.651,608.5981,590.5876,572.577,296.2948,278.2842,312.3261,266.2842
HexCer-NS(d19:1/20:1)+H,768.6353,606.5825,588.572,570.5613,296.2948,278.2842,310.3105,266.2842
HexCer-NS(d19:1/20:2)+H,766.6197,604.5668,586.5563,568.5457,296.2948,278.2842,308.2948,266.2842
HexCer-NS(d19:1/21:0)+H,784.6666,622.6138,604.6032,586.5927,296.2948,278.2842,326.3417,266.2842
HexCer-NS(d19:1/21:1)+H,782.651,620.5981,602.5876,584.577,296.2948,278.2842,324.3261,266.2842
HexCer-NS(d19:1/22:0)+H,798.6823,636.6295,618.6189,600.6083,296.2948,278.2842,340.3574,266.2842
HexCer-NS(d19:1/22:1)+H,796.6666,634.6138,616.6032,598.5927,296.2948,278.2842,338.3417,266.2842
HexCer-NS(d19:1/22:2)+H,794.651,632.5981,614.5876,596.577,296.2948,278.2842,336.3261,266.2842
HexCer-NS(d19:1/23:0)+H,812.6979,650.6451,632.6345,614.624,296.2948,278.2842,354.373,266.2842
HexCer-NS(d19:1/23:1)+H,810.6823,648.6295,630.6189,612.6083,296.2948,278.2842,352.3574,266.2842
HexCer-NS(d19:1/24:0)+H,826.7136,664.6608,646.6502,628.6396,296.2948,278.2842,368.3887,266.2842
HexCer-NS(d19:1/24:1)+H,824.6979,662.6451,644.6345,626.624,296.2948,278.2842,366.373,266.2842
HexCer-NS(d19:1/24:2)+H,822.6823,660.6295,642.6189,624.6083,296.2948,278.2842,364.3574,266.2842
HexCer-NS(d19:1/25:0)+H,840.7292,678.6764,660.6658,642.6553,296.2948,278.2842,382.4044,266.2842
HexCer-NS(d19:1/25:1)+H,838.7136,676.6608,658.6502,640.6396,296.2948,278.2842,380.3887,266.2842
HexCer-NS(d19:1/26:0)+H,854.7449,692.6921,674.6815,656.6709,296.2948,278.2842,396.42,266.2842
HexCer-NS(d19:1/26:1)+H,852.7292,690.6764,672.6658,654.6553,296.2948,278.2842,394.4044,266.2842
HexCer-NS(d19:1/26:2)+H,850.7136,688.6608,670.6502,652.6396,296.2948,278.2842,392.3887,266.2842
HexCer-NS(d19:1/27:0)+H,868.7606,706.7077,688.6971,670.6866,296.2948,278.2842,410.4356,266.2842
HexCer-NS(d19:1/27:1)+H,866.7449,704.6921,686.6815,668.6709,296.2948,278.2842,408.42,266.2842
HexCer-NS(d19:1/28:0)+H,882.7762,720.7234,702.7128,684.7022,296.2948,278.2842,424.4513,266.2842
HexCer-NS(d19:1/28:1)+H,880.7606,718.7077,700.6971,682.6866,296.2948,278.2842,422.4356,266.2842
HexCer-NS(d19:1/28:2)+H,878.7449,716.6921,698.6815,680.6709,296.2948,278.2842,420.42,266.2842
HexCer-NS(d19:1/29:0)+H,896.7919,734.739,716.7285,698.7179,296.2948,278.2842,438.4669,266.2842
HexCer-NS(d19:1/29:1)+H,894.7762,732.7234,714.7128,696.7022,296.2948,278.2842,436.4513,266.2842
HexCer-NS(d19:1/30:0)+H,910.8075,748.7546,730.7441,712.7335,296.2948,278.2842,452.4826,266.2842
HexCer-NS(d19:1/30:1)+H,908.7919,746.739,728.7285,710.7179,296.2948,278.2842,450.4669,266.2842
HexCer-NS(d19:1/30:2)+H,906.7762,744.7234,726.7128,708.7022,296.2948,278.2842,448.4513,266.2842
HexCer-NS(d19:1/31:0)+H,924.8231,762.7703,744.7598,726.7491,296.2948,278.2842,466.4983,266.2842
HexCer-NS(d19:1/31:1)+H,922.8075,760.7546,742.7441,724.7335,296.2948,278.2842,464.4826,266.2842
HexCer-NS(d19:1/32:0)+H,938.8388,776.7859,758.7754,740.7648,296.2948,278.2842,480.5139,266.2842
HexCer-NS(d19:1/32:1)+H,936.8231,774.7703,756.7598,738.7491,296.2948,278.2842,478.4983,266.2842
HexCer-NS(d19:1/32:2)+H,934.8075,772.7546,754.7441,736.7335,296.2948,278.2842,476.4826,266.2842
HexCer-NS(d19:1/33:0)+H,952.8544,790.8016,772.791,754.7805,296.2948,278.2842,494.5295,266.2842
HexCer-NS(d19:1/33:1)+H,950.8388,788.7859,770.7754,752.7648,296.2948,278.2842,492.5139,266.2842
HexCer-NS(d19:1/34:0)+H,966.8701,804.8173,786.8067,768.7961,296.2948,278.2842,508.5452,266.2842
HexCer-NS(d19:1/34:1)+H,964.8544,802.8016,784.791,766.7805,296.2948,278.2842,506.5295,266.2842
HexCer-NS(d19:1/34:2)+H,962.8388,800.7859,782.7754,764.7648,296.2948,278.2842,504.5139,266.2842
HexCer-NS(d19:1/35:0)+H,980.8857,818.8329,800.8223,782.8118,296.2948,278.2842,522.5609,266.2842
HexCer-NS(d19:1/35:1)+H,978.8701,816.8173,798.8067,780.7961,296.2948,278.2842,520.5452,266.2842
HexCer-NS(d19:1/36:0)+H,994.9014,832.8486,814.838,796.8274,296.2948,278.2842,536.5765,266.2842
HexCer-NS(d19:1/36:1)+H,992.8857,830.8329,812.8223,794.8118,296.2948,278.2842,534.5609,266.2842
HexCer-NS(d19:1/36:2)+H,990.8701,828.8173,810.8067,792.7961,296.2948,278.2842,532.5452,266.2842
HexCer-NS(d19:1/38:0)+H,1022.933,860.8799,842.8693,824.8587,296.2948,278.2842,564.6078,266.2842
HexCer-NS(d19:1/38:1)+H,1020.917,858.8642,840.8536,822.8431,296.2948,278.2842,562.5922,266.2842
HexCer-NS(d19:1/38:2)+H,1018.901,856.8486,838.838,820.8274,296.2948,278.2842,560.5765,266.2842
HexCer-NS(d19:1/40:0)+H,1050.964,888.9111,870.9006,852.89,296.2948,278.2842,592.6391,266.2842
HexCer-NS(d19:1/40:1)+H,1048.948,886.8955,868.8849,850.8744,296.2948,278.2842,590.6235,266.2842
HexCer-NS(d19:1/40:2)+H,1046.933,884.8799,866.8693,848.8587,296.2948,278.2842,588.6078,266.2842
HexCer-NS(d19:1/42:0)+H,1078.995,916.9424,898.9319,880.9213,296.2948,278.2842,620.6704,266.2842
HexCer-NS(d19:1/42:1)+H,1076.98,914.9268,896.9163,878.9056,296.2948,278.2842,618.6547,266.2842
HexCer-NS(d19:1/42:2)+H,1074.964,912.9111,894.9006,876.89,296.2948,278.2842,616.6391,266.2842
HexCer-NS(d19:2/12:0)+H,656.5101,494.4573,476.4467,458.4362,294.2791,276.2686,200.2009,264.2686
HexCer-NS(d19:2/12:1)+H,654.4945,492.4417,474.4311,456.4205,294.2791,276.2686,198.1853,264.2686
HexCer-NS(d19:2/13:0)+H,670.5258,508.473,490.4624,472.4518,294.2791,276.2686,214.2166,264.2686
HexCer-NS(d19:2/13:1)+H,668.5101,506.4573,488.4467,470.4362,294.2791,276.2686,212.2009,264.2686
HexCer-NS(d19:2/14:0)+H,684.5414,522.4886,504.478,486.4675,294.2791,276.2686,228.2322,264.2686
HexCer-NS(d19:2/14:1)+H,682.5258,520.473,502.4624,484.4518,294.2791,276.2686,226.2166,264.2686
HexCer-NS(d19:2/15:0)+H,698.5571,536.5043,518.4937,500.4831,294.2791,276.2686,242.2478,264.2686
HexCer-NS(d19:2/15:1)+H,696.5414,534.4886,516.478,498.4675,294.2791,276.2686,240.2322,264.2686
HexCer-NS(d19:2/16:0)+H,712.5728,550.5199,532.5093,514.4988,294.2791,276.2686,256.2635,264.2686
HexCer-NS(d19:2/16:1)+H,710.5571,548.5043,530.4937,512.4831,294.2791,276.2686,254.2478,264.2686
HexCer-NS(d19:2/16:2)+H,708.5414,546.4886,528.478,510.4675,294.2791,276.2686,252.2322,264.2686
HexCer-NS(d19:2/17:0)+H,726.5884,564.5356,546.525,528.5144,294.2791,276.2686,270.2791,264.2686
HexCer-NS(d19:2/18:0)+H,740.6041,578.5512,560.5406,542.5301,294.2791,276.2686,284.2948,264.2686
HexCer-NS(d19:2/18:1)+H,738.5884,576.5356,558.525,540.5144,294.2791,276.2686,282.2791,264.2686
HexCer-NS(d19:2/18:2)+H,736.5728,574.5199,556.5093,538.4988,294.2791,276.2686,280.2635,264.2686
HexCer-NS(d19:2/19:0)+H,754.6197,592.5668,574.5563,556.5457,294.2791,276.2686,298.3105,264.2686
HexCer-NS(d19:2/19:1)+H,752.6041,590.5512,572.5406,554.5301,294.2791,276.2686,296.2948,264.2686
HexCer-NS(d19:2/20:0)+H,768.6353,606.5825,588.572,570.5613,294.2791,276.2686,312.3261,264.2686
HexCer-NS(d19:2/20:1)+H,766.6197,604.5668,586.5563,568.5457,294.2791,276.2686,310.3105,264.2686
HexCer-NS(d19:2/20:2)+H,764.6041,602.5512,584.5406,566.5301,294.2791,276.2686,308.2948,264.2686
HexCer-NS(d19:2/21:0)+H,782.651,620.5981,602.5876,584.577,294.2791,276.2686,326.3417,264.2686
HexCer-NS(d19:2/21:1)+H,780.6353,618.5825,600.572,582.5613,294.2791,276.2686,324.3261,264.2686
HexCer-NS(d19:2/22:0)+H,796.6666,634.6138,616.6032,598.5927,294.2791,276.2686,340.3574,264.2686
HexCer-NS(d19:2/22:1)+H,794.651,632.5981,614.5876,596.577,294.2791,276.2686,338.3417,264.2686
HexCer-NS(d19:2/22:2)+H,792.6353,630.5825,612.572,594.5613,294.2791,276.2686,336.3261,264.2686
HexCer-NS(d19:2/23:0)+H,810.6823,648.6295,630.6189,612.6083,294.2791,276.2686,354.373,264.2686
HexCer-NS(d19:2/23:1)+H,808.6666,646.6138,628.6032,610.5927,294.2791,276.2686,352.3574,264.2686
HexCer-NS(d19:2/24:0)+H,824.6979,662.6451,644.6345,626.624,294.2791,276.2686,368.3887,264.2686
HexCer-NS(d19:2/24:1)+H,822.6823,660.6295,642.6189,624.6083,294.2791,276.2686,366.373,264.2686
HexCer-NS(d19:2/24:2)+H,820.6666,658.6138,640.6032,622.5927,294.2791,276.2686,364.3574,264.2686
HexCer-NS(d19:2/25:0)+H,838.7136,676.6608,658.6502,640.6396,294.2791,276.2686,382.4044,264.2686
HexCer-NS(d19:2/25:1)+H,836.6979,674.6451,656.6345,638.624,294.2791,276.2686,380.3887,264.2686
HexCer-NS(d19:2/26:0)+H,852.7292,690.6764,672.6658,654.6553,294.2791,276.2686,396.42,264.2686
HexCer-NS(d19:2/26:1)+H,850.7136,688.6608,670.6502,652.6396,294.2791,276.2686,394.4044,264.2686
HexCer-NS(d19:2/26:2)+H,848.6979,686.6451,668.6345,650.624,294.2791,276.2686,392.3887,264.2686
HexCer-NS(d19:2/27:0)+H,866.7449,704.6921,686.6815,668.6709,294.2791,276.2686,410.4356,264.2686
HexCer-NS(d19:2/27:1)+H,864.7292,702.6764,684.6658,666.6553,294.2791,276.2686,408.42,264.2686
HexCer-NS(d19:2/28:0)+H,880.7606,718.7077,700.6971,682.6866,294.2791,276.2686,424.4513,264.2686
HexCer-NS(d19:2/28:1)+H,878.7449,716.6921,698.6815,680.6709,294.2791,276.2686,422.4356,264.2686
HexCer-NS(d19:2/28:2)+H,876.7292,714.6764,696.6658,678.6553,294.2791,276.2686,420.42,264.2686
HexCer-NS(d19:2/29:0)+H,894.7762,732.7234,714.7128,696.7022,294.2791,276.2686,438.4669,264.2686
HexCer-NS(d19:2/29:1)+H,892.7606,730.7077,712.6971,694.6866,294.2791,276.2686,436.4513,264.2686
HexCer-NS(d19:2/30:0)+H,908.7919,746.739,728.7285,710.7179,294.2791,276.2686,452.4826,264.2686
HexCer-NS(d19:2/30:1)+H,906.7762,744.7234,726.7128,708.7022,294.2791,276.2686,450.4669,264.2686
HexCer-NS(d19:2/30:2)+H,904.7606,742.7077,724.6971,706.6866,294.2791,276.2686,448.4513,264.2686
HexCer-NS(d19:2/31:0)+H,922.8075,760.7546,742.7441,724.7335,294.2791,276.2686,466.4983,264.2686
HexCer-NS(d19:2/31:1)+H,920.7919,758.739,740.7285,722.7179,294.2791,276.2686,464.4826,264.2686
HexCer-NS(d19:2/32:0)+H,936.8231,774.7703,756.7598,738.7491,294.2791,276.2686,480.5139,264.2686
HexCer-NS(d19:2/32:1)+H,934.8075,772.7546,754.7441,736.7335,294.2791,276.2686,478.4983,264.2686
HexCer-NS(d19:2/32:2)+H,932.7919,770.739,752.7285,734.7179,294.2791,276.2686,476.4826,264.2686
HexCer-NS(d19:2/33:0)+H,950.8388,788.7859,770.7754,752.7648,294.2791,276.2686,494.5295,264.2686
HexCer-NS(d19:2/33:1)+H,948.8231,786.7703,768.7598,750.7491,294.2791,276.2686,492.5139,264.2686
HexCer-NS(d19:2/34:0)+H,964.8544,802.8016,784.791,766.7805,294.2791,276.2686,508.5452,264.2686
HexCer-NS(d19:2/34:1)+H,962.8388,800.7859,782.7754,764.7648,294.2791,276.2686,506.5295,264.2686
HexCer-NS(d19:2/34:2)+H,960.8231,798.7703,780.7598,762.7491,294.2791,276.2686,504.5139,264.2686
HexCer-NS(d19:2/35:0)+H,978.8701,816.8173,798.8067,780.7961,294.2791,276.2686,522.5609,264.2686
HexCer-NS(d19:2/35:1)+H,976.8544,814.8016,796.791,778.7805,294.2791,276.2686,520.5452,264.2686
HexCer-NS(d19:2/36:0)+H,992.8857,830.8329,812.8223,794.8118,294.2791,276.2686,536.5765,264.2686
HexCer-NS(d19:2/36:1)+H,990.8701,828.8173,810.8067,792.7961,294.2791,276.2686,534.5609,264.2686
HexCer-NS(d19:2/36:2)+H,988.8544,826.8016,808.791,790.7805,294.2791,276.2686,532.5452,264.2686
HexCer-NS(d19:2/38:0)+H,1020.917,858.8642,840.8536,822.8431,294.2791,276.2686,564.6078,264.2686
HexCer-NS(d19:2/38:1)+H,1018.901,856.8486,838.838,820.8274,294.2791,276.2686,562.5922,264.2686
HexCer-NS(d19:2/38:2)+H,1016.886,854.8329,836.8223,818.8118,294.2791,276.2686,560.5765,264.2686
HexCer-NS(d19:2/40:0)+H,1048.948,886.8955,868.8849,850.8744,294.2791,276.2686,592.6391,264.2686
HexCer-NS(d19:2/40:1)+H,1046.933,884.8799,866.8693,848.8587,294.2791,276.2686,590.6235,264.2686
HexCer-NS(d19:2/40:2)+H,1044.917,882.8642,864.8536,846.8431,294.2791,276.2686,588.6078,264.2686
HexCer-NS(d19:2/42:0)+H,1076.98,914.9268,896.9163,878.9056,294.2791,276.2686,620.6704,264.2686
HexCer-NS(d19:2/42:1)+H,1074.964,912.9111,894.9006,876.89,294.2791,276.2686,618.6547,264.2686
HexCer-NS(d19:2/42:2)+H,1072.948,910.8955,892.8849,874.8744,294.2791,276.2686,616.6391,264.2686
HexCer-NS(d19:3/12:0)+H,654.4945,492.4417,474.4311,456.4205,292.2635,274.2529,200.2009,262.2529
HexCer-NS(d19:3/12:1)+H,652.4788,490.426,472.4154,454.4049,292.2635,274.2529,198.1853,262.2529
HexCer-NS(d19:3/13:0)+H,668.5101,506.4573,488.4467,470.4362,292.2635,274.2529,214.2166,262.2529
HexCer-NS(d19:3/13:1)+H,666.4945,504.4417,486.4311,468.4205,292.2635,274.2529,212.2009,262.2529
HexCer-NS(d19:3/14:0)+H,682.5258,520.473,502.4624,484.4518,292.2635,274.2529,228.2322,262.2529
HexCer-NS(d19:3/14:1)+H,680.5101,518.4573,500.4467,482.4362,292.2635,274.2529,226.2166,262.2529
HexCer-NS(d19:3/15:0)+H,696.5414,534.4886,516.478,498.4675,292.2635,274.2529,242.2478,262.2529
HexCer-NS(d19:3/15:1)+H,694.5258,532.473,514.4624,496.4518,292.2635,274.2529,240.2322,262.2529
HexCer-NS(d19:3/16:0)+H,710.5571,548.5043,530.4937,512.4831,292.2635,274.2529,256.2635,262.2529
HexCer-NS(d19:3/16:1)+H,708.5414,546.4886,528.478,510.4675,292.2635,274.2529,254.2478,262.2529
HexCer-NS(d19:3/16:2)+H,706.5258,544.473,526.4624,508.4518,292.2635,274.2529,252.2322,262.2529
HexCer-NS(d19:3/17:0)+H,724.5728,562.5199,544.5093,526.4988,292.2635,274.2529,270.2791,262.2529
HexCer-NS(d19:3/18:0)+H,738.5884,576.5356,558.525,540.5144,292.2635,274.2529,284.2948,262.2529
HexCer-NS(d19:3/18:1)+H,736.5728,574.5199,556.5093,538.4988,292.2635,274.2529,282.2791,262.2529
HexCer-NS(d19:3/18:2)+H,734.5571,572.5043,554.4937,536.4831,292.2635,274.2529,280.2635,262.2529
HexCer-NS(d19:3/19:0)+H,752.6041,590.5512,572.5406,554.5301,292.2635,274.2529,298.3105,262.2529
HexCer-NS(d19:3/19:1)+H,750.5884,588.5356,570.525,552.5144,292.2635,274.2529,296.2948,262.2529
HexCer-NS(d19:3/20:0)+H,766.6197,604.5668,586.5563,568.5457,292.2635,274.2529,312.3261,262.2529
HexCer-NS(d19:3/20:1)+H,764.6041,602.5512,584.5406,566.5301,292.2635,274.2529,310.3105,262.2529
HexCer-NS(d19:3/20:2)+H,762.5884,600.5356,582.525,564.5144,292.2635,274.2529,308.2948,262.2529
HexCer-NS(d19:3/21:0)+H,780.6353,618.5825,600.572,582.5613,292.2635,274.2529,326.3417,262.2529
HexCer-NS(d19:3/21:1)+H,778.6197,616.5668,598.5563,580.5457,292.2635,274.2529,324.3261,262.2529
