HexCer-NS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
HexCer-NS(d14:1/31:1)+H,852.7292,690.6764,672.6658,654.6553,226.2166,208.206,464.4826,196.206
HexCer-NS(d14:1/32:0)+H,868.7606,706.7077,688.6971,670.6866,226.2166,208.206,480.5139,196.206
HexCer-NS(d14:1/32:1)+H,866.7449,704.6921,686.6815,668.6709,226.2166,208.206,478.4983,196.206
HexCer-NS(d14:1/32:2)+H,864.7292,702.6764,684.6658,666.6553,226.2166,208.206,476.4826,196.206
HexCer-NS(d14:1/33:0)+H,882.7762,720.7234,702.7128,684.7022,226.2166,208.206,494.5295,196.206
HexCer-NS(d14:1/33:1)+H,880.7606,718.7077,700.6971,682.6866,226.2166,208.206,492.5139,196.206
HexCer-NS(d14:1/34:0)+H,896.7919,734.739,716.7285,698.7179,226.2166,208.206,508.5452,196.206
HexCer-NS(d14:1/34:1)+H,894.7762,732.7234,714.7128,696.7022,226.2166,208.206,506.5295,196.206
HexCer-NS(d14:1/34:2)+H,892.7606,730.7077,712.6971,694.6866,226.2166,208.206,504.5139,196.206
HexCer-NS(d14:1/35:0)+H,910.8075,748.7546,730.7441,712.7335,226.2166,208.206,522.5609,196.206
HexCer-NS(d14:1/35:1)+H,908.7919,746.739,728.7285,710.7179,226.2166,208.206,520.5452,196.206
HexCer-NS(d14:1/36:0)+H,924.8231,762.7703,744.7598,726.7491,226.2166,208.206,536.5765,196.206
HexCer-NS(d14:1/36:1)+H,922.8075,760.7546,742.7441,724.7335,226.2166,208.206,534.5609,196.206
HexCer-NS(d14:1/36:2)+H,920.7919,758.739,740.7285,722.7179,226.2166,208.206,532.5452,196.206
HexCer-NS(d14:1/38:0)+H,952.8544,790.8016,772.791,754.7805,226.2166,208.206,564.6078,196.206
HexCer-NS(d14:1/38:1)+H,950.8388,788.7859,770.7754,752.7648,226.2166,208.206,562.5922,196.206
HexCer-NS(d14:1/38:2)+H,948.8231,786.7703,768.7598,750.7491,226.2166,208.206,560.5765,196.206
HexCer-NS(d14:1/40:0)+H,980.8857,818.8329,800.8223,782.8118,226.2166,208.206,592.6391,196.206
HexCer-NS(d14:1/40:1)+H,978.8701,816.8173,798.8067,780.7961,226.2166,208.206,590.6235,196.206
HexCer-NS(d14:1/40:2)+H,976.8544,814.8016,796.791,778.7805,226.2166,208.206,588.6078,196.206
HexCer-NS(d14:1/42:0)+H,1008.917,846.8642,828.8536,810.8431,226.2166,208.206,620.6704,196.206
HexCer-NS(d14:1/42:1)+H,1006.901,844.8486,826.838,808.8274,226.2166,208.206,618.6547,196.206
HexCer-NS(d14:1/42:2)+H,1004.886,842.8329,824.8223,806.8118,226.2166,208.206,616.6391,196.206
HexCer-NS(d14:2/12:0)+H,586.4319,424.3791,406.3685,388.3579,224.2009,206.1903,200.2009,194.1903
HexCer-NS(d14:2/12:1)+H,584.4163,422.3634,404.3528,386.3423,224.2009,206.1903,198.1853,194.1903
