So,[M+H]+,NL_2H2O,NL_H2O,NL_H2O&CH2O
So(d14:0)+H,246.2428,210.22149,228.23206,198.22149
So(d14:1)+H,244.22715,208.20585,226.21642,196.20585
So(d15:0)+H,260.25845,224.23713,242.2477,212.23713
So(d15:1)+H,258.2428,222.22149,240.23206,210.22149
So(d16:0)+H,274.2741,238.25277,256.26334,226.25277
So(d16:1)+H,272.25845,236.23713,254.2477,224.23713
So(d17:0)+H,288.28975,252.26841,270.27898,240.26841
So(d17:1)+H,286.2741,250.25277,268.26334,238.25277
So(d18:0)+H,302.3054,266.28405,284.29462,254.28405
So(d18:1)+H,300.28975,264.26841,282.27898,252.26841
So(d18:2)+H,298.2741,262.25276,280.26333,250.25276
So(d19:0)+H,316.32105,280.29969,298.31026,268.29969
So(d19:1)+H,314.3054,278.28405,296.29462,266.28405
