CL,[M-2H]2-,Prec-SN1_monolyso2-,Prec-SN1+SN2_dilyso2-,Prec-SN3_monolyso2-,Prec-SN3+SN4_dilyso2-,SN1+C3H6PO4,SN2+C3H6PO4,SN3+C3H6PO4,SN4+C3H6PO4,SN1_FA,SN2_FA,SN3_FA,SN4_FA
CL(14:0_14:0_14:0_20:4)-2H,657.4318929,552.3333229,447.2342029,552.3333229,409.2185629,363.19408,363.19408,363.19408,439.22536,227.20153,227.20153,227.20153,303.23281
CL(14:0_14:0_14:0_22:0)-2H,675.4788431,570.3802731,465.2811531,570.3802731,409.2185931,363.19408,363.19408,363.19408,475.3192,227.20153,227.20153,227.20153,339.32665
CL(14:0_14:0_14:0_22:5)-2H,670.4397179,565.3411479,460.2420279,565.3411479,409.2185679,363.19408,363.19408,363.19408,465.241,227.20153,227.20153,227.20153,329.24845
CL(14:0_14:0_14:0_22:6)-2H,669.4318929,564.3333229,459.2342029,564.3333229,409.2185629,363.19408,363.19408,363.19408,463.22536,227.20153,227.20153,227.20153,327.23281
CL(14:0_14:0_16:0_16:0)-2H,647.4475429,542.3489729,437.2498529,528.3333329,409.2185729,363.19408,363.19408,391.22536,391.22536,227.20153,227.20153,255.23281,255.23281
CL(14:0_14:0_16:0_16:1)-2H,646.4397179,541.3411479,436.2420279,527.3255079,409.2185679,363.19408,363.19408,391.22536,389.20972,227.20153,227.20153,255.23281,253.21717
CL(14:0_14:0_16:0_18:0)-2H,661.463193,556.364623,451.265503,542.348983,409.218583,363.19408,363.19408,391.22536,419.25664,227.20153,227.20153,255.23281,283.26409
CL(14:0_14:0_16:0_18:1)-2H,660.455368,555.356798,450.257678,541.341158,409.218578,363.19408,363.19408,391.22536,417.241,227.20153,227.20153,255.23281,281.24845
CL(14:0_14:0_16:0_18:2)-2H,659.4475429,554.3489729,449.2498529,540.3333329,409.2185729,363.19408,363.19408,391.22536,415.22536,227.20153,227.20153,255.23281,279.23281
CL(14:0_14:0_16:0_18:3)-2H,658.4397179,553.3411479,448.2420279,539.3255079,409.2185679,363.19408,363.19408,391.22536,413.20972,227.20153,227.20153,255.23281,277.21717
CL(14:0_14:0_16:0_20:0)-2H,675.4788431,570.3802731,465.2811531,556.3646331,409.2185931,363.19408,363.19408,391.22536,447.28792,227.20153,227.20153,255.23281,311.29537
CL(14:0_14:0_16:0_20:1)-2H,674.471018,569.372448,464.273328,555.356808,409.218588,363.19408,363.19408,391.22536,445.27228,227.20153,227.20153,255.23281,309.27973
CL(14:0_14:0_16:0_20:2)-2H,673.463193,568.364623,463.265503,554.348983,409.218583,363.19408,363.19408,391.22536,443.25664,227.20153,227.20153,255.23281,307.26409
CL(14:0_14:0_16:0_20:3)-2H,672.455368,567.356798,462.257678,553.341158,409.218578,363.19408,363.19408,391.22536,441.241,227.20153,227.20153,255.23281,305.24845
CL(14:0_14:0_16:0_20:4)-2H,671.4475429,566.3489729,461.2498529,552.3333329,409.2185729,363.19408,363.19408,391.22536,439.22536,227.20153,227.20153,255.23281,303.23281
CL(14:0_14:0_16:0_22:0)-2H,689.4944931,584.3959231,479.2968031,570.3802831,409.2186031,363.19408,363.19408,391.22536,475.3192,227.20153,227.20153,255.23281,339.32665
CL(14:0_14:0_16:0_22:5)-2H,684.455368,579.356798,474.257678,565.341158,409.218578,363.19408,363.19408,391.22536,465.241,227.20153,227.20153,255.23281,329.24845
CL(14:0_14:0_16:0_22:6)-2H,683.4475429,578.3489729,473.2498529,564.3333329,409.2185729,363.19408,363.19408,391.22536,463.22536,227.20153,227.20153,255.23281,327.23281
CL(14:0_14:0_16:1_16:1)-2H,645.4318929,540.3333229,435.2342029,527.3255029,409.2185629,363.19408,363.19408,389.20972,389.20972,227.20153,227.20153,253.21717,253.21717
CL(14:0_14:0_16:1_18:0)-2H,660.455368,555.356798,450.257678,542.348978,409.218578,363.19408,363.19408,389.20972,419.25664,227.20153,227.20153,253.21717,283.26409
CL(14:0_14:0_16:1_18:1)-2H,659.4475429,554.3489729,449.2498529,541.3411529,409.2185729,363.19408,363.19408,389.20972,417.241,227.20153,227.20153,253.21717,281.24845
CL(14:0_14:0_16:1_18:2)-2H,658.4397179,553.3411479,448.2420279,540.3333279,409.2185679,363.19408,363.19408,389.20972,415.22536,227.20153,227.20153,253.21717,279.23281
CL(14:0_14:0_16:1_18:3)-2H,657.4318929,552.3333229,447.2342029,539.3255029,409.2185629,363.19408,363.19408,389.20972,413.20972,227.20153,227.20153,253.21717,277.21717
CL(14:0_14:0_16:1_20:0)-2H,674.471018,569.372448,464.273328,556.364628,409.218588,363.19408,363.19408,389.20972,447.28792,227.20153,227.20153,253.21717,311.29537
CL(14:0_14:0_16:1_20:1)-2H,673.463193,568.364623,463.265503,555.356803,409.218583,363.19408,363.19408,389.20972,445.27228,227.20153,227.20153,253.21717,309.27973
CL(14:0_14:0_16:1_20:2)-2H,672.455368,567.356798,462.257678,554.348978,409.218578,363.19408,363.19408,389.20972,443.25664,227.20153,227.20153,253.21717,307.26409
CL(14:0_14:0_16:1_20:3)-2H,671.4475429,566.3489729,461.2498529,553.3411529,409.2185729,363.19408,363.19408,389.20972,441.241,227.20153,227.20153,253.21717,305.24845
CL(14:0_14:0_16:1_20:4)-2H,670.4397179,565.3411479,460.2420279,552.3333279,409.2185679,363.19408,363.19408,389.20972,439.22536,227.20153,227.20153,253.21717,303.23281
CL(14:0_14:0_16:1_22:0)-2H,688.4866681,583.3880981,478.2889781,570.3802781,409.2185981,363.19408,363.19408,389.20972,475.3192,227.20153,227.20153,253.21717,339.32665
CL(14:0_14:0_16:1_22:5)-2H,683.4475429,578.3489729,473.2498529,565.3411529,409.2185729,363.19408,363.19408,389.20972,465.241,227.20153,227.20153,253.21717,329.24845
CL(14:0_14:0_16:1_22:6)-2H,682.4397179,577.3411479,472.2420279,564.3333279,409.2185679,363.19408,363.19408,389.20972,463.22536,227.20153,227.20153,253.21717,327.23281
CL(14:0_14:0_18:0_18:0)-2H,675.4788431,570.3802731,465.2811531,542.3489931,409.2185931,363.19408,363.19408,419.25664,419.25664,227.20153,227.20153,283.26409,283.26409
CL(14:0_14:0_18:0_18:1)-2H,674.471018,569.372448,464.273328,541.341168,409.218588,363.19408,363.19408,419.25664,417.241,227.20153,227.20153,283.26409,281.24845
CL(14:0_14:0_18:0_18:2)-2H,673.463193,568.364623,463.265503,540.333343,409.218583,363.19408,363.19408,419.25664,415.22536,227.20153,227.20153,283.26409,279.23281
CL(14:0_14:0_18:0_18:3)-2H,672.455368,567.356798,462.257678,539.325518,409.218578,363.19408,363.19408,419.25664,413.20972,227.20153,227.20153,283.26409,277.21717
CL(14:0_14:0_18:0_20:0)-2H,689.4944931,584.3959231,479.2968031,556.3646431,409.2186031,363.19408,363.19408,419.25664,447.28792,227.20153,227.20153,283.26409,311.29537
CL(14:0_14:0_18:0_20:1)-2H,688.4866681,583.3880981,478.2889781,555.3568181,409.2185981,363.19408,363.19408,419.25664,445.27228,227.20153,227.20153,283.26409,309.27973
CL(14:0_14:0_18:0_20:2)-2H,687.4788431,582.3802731,477.2811531,554.3489931,409.2185931,363.19408,363.19408,419.25664,443.25664,227.20153,227.20153,283.26409,307.26409
CL(14:0_14:0_18:0_20:3)-2H,686.471018,581.372448,476.273328,553.341168,409.218588,363.19408,363.19408,419.25664,441.241,227.20153,227.20153,283.26409,305.24845
CL(14:0_14:0_18:0_20:4)-2H,685.463193,580.364623,475.265503,552.333343,409.218583,363.19408,363.19408,419.25664,439.22536,227.20153,227.20153,283.26409,303.23281
CL(14:0_14:0_18:0_22:0)-2H,703.5101432,598.4115732,493.3124532,570.3802932,409.2186132,363.19408,363.19408,419.25664,475.3192,227.20153,227.20153,283.26409,339.32665
CL(14:0_14:0_18:0_22:5)-2H,698.471018,593.372448,488.273328,565.341168,409.218588,363.19408,363.19408,419.25664,465.241,227.20153,227.20153,283.26409,329.24845
CL(14:0_14:0_18:0_22:6)-2H,697.463193,592.364623,487.265503,564.333343,409.218583,363.19408,363.19408,419.25664,463.22536,227.20153,227.20153,283.26409,327.23281
CL(14:0_14:0_18:1_18:1)-2H,673.463193,568.364623,463.265503,541.341163,409.218583,363.19408,363.19408,417.241,417.241,227.20153,227.20153,281.24845,281.24845
CL(14:0_14:0_18:1_18:2)-2H,672.455368,567.356798,462.257678,540.333338,409.218578,363.19408,363.19408,417.241,415.22536,227.20153,227.20153,281.24845,279.23281
CL(14:0_14:0_18:1_18:3)-2H,671.4475429,566.3489729,461.2498529,539.3255129,409.2185729,363.19408,363.19408,417.241,413.20972,227.20153,227.20153,281.24845,277.21717
CL(14:0_14:0_18:1_20:0)-2H,688.4866681,583.3880981,478.2889781,556.3646381,409.2185981,363.19408,363.19408,417.241,447.28792,227.20153,227.20153,281.24845,311.29537
CL(14:0_14:0_18:1_20:1)-2H,687.4788431,582.3802731,477.2811531,555.3568131,409.2185931,363.19408,363.19408,417.241,445.27228,227.20153,227.20153,281.24845,309.27973
CL(14:0_14:0_18:1_20:2)-2H,686.471018,581.372448,476.273328,554.348988,409.218588,363.19408,363.19408,417.241,443.25664,227.20153,227.20153,281.24845,307.26409
CL(14:0_14:0_18:1_20:3)-2H,685.463193,580.364623,475.265503,553.341163,409.218583,363.19408,363.19408,417.241,441.241,227.20153,227.20153,281.24845,305.24845
CL(14:0_14:0_18:1_20:4)-2H,684.455368,579.356798,474.257678,552.333338,409.218578,363.19408,363.19408,417.241,439.22536,227.20153,227.20153,281.24845,303.23281
CL(14:0_14:0_18:1_22:0)-2H,702.5023182,597.4037482,492.3046282,570.3802882,409.2186082,363.19408,363.19408,417.241,475.3192,227.20153,227.20153,281.24845,339.32665
CL(14:0_14:0_18:1_22:5)-2H,697.463193,592.364623,487.265503,565.341163,409.218583,363.19408,363.19408,417.241,465.241,227.20153,227.20153,281.24845,329.24845
CL(14:0_14:0_18:1_22:6)-2H,696.455368,591.356798,486.257678,564.333338,409.218578,363.19408,363.19408,417.241,463.22536,227.20153,227.20153,281.24845,327.23281
CL(14:0_14:0_18:2_18:2)-2H,671.4475429,566.3489729,461.2498529,540.3333329,409.2185729,363.19408,363.19408,415.22536,415.22536,227.20153,227.20153,279.23281,279.23281
CL(14:0_14:0_18:2_18:3)-2H,670.4397179,565.3411479,460.2420279,539.3255079,409.2185679,363.19408,363.19408,415.22536,413.20972,227.20153,227.20153,279.23281,277.21717
CL(14:0_14:0_18:2_20:0)-2H,687.4788431,582.3802731,477.2811531,556.3646331,409.2185931,363.19408,363.19408,415.22536,447.28792,227.20153,227.20153,279.23281,311.29537
CL(14:0_14:0_18:2_20:1)-2H,686.471018,581.372448,476.273328,555.356808,409.218588,363.19408,363.19408,415.22536,445.27228,227.20153,227.20153,279.23281,309.27973
CL(14:0_14:0_18:2_20:2)-2H,685.463193,580.364623,475.265503,554.348983,409.218583,363.19408,363.19408,415.22536,443.25664,227.20153,227.20153,279.23281,307.26409
CL(14:0_14:0_18:2_20:3)-2H,684.455368,579.356798,474.257678,553.341158,409.218578,363.19408,363.19408,415.22536,441.241,227.20153,227.20153,279.23281,305.24845
CL(14:0_14:0_18:2_20:4)-2H,683.4475429,578.3489729,473.2498529,552.3333329,409.2185729,363.19408,363.19408,415.22536,439.22536,227.20153,227.20153,279.23281,303.23281
