OxLPC,[M+Na]+,Mna-PC,Mna-TrimethylAmine,Mna-NaPC,Mna-tail1&TrimethylAmine,PC Head
OxLPC(12:1(COOH))+Na,490.21714,307.15114,431.14364,285.16914,76.866585,184.07332
OxLPC(12:2(COOH))+Na,488.20149,305.13549,429.12799,283.15349,76.866585,184.07332
OxLPC(12:3(COOH))+Na,486.18584,303.11984,427.11234,281.13784,76.866585,184.07332
OxLPC(13:1(COOH))+Na,504.23279,321.16679,445.15929,299.18479,76.866585,184.07332
OxLPC(13:2(COOH))+Na,502.21714,319.15114,443.14364,297.16914,76.866585,184.07332
OxLPC(13:3(COOH))+Na,500.20149,317.13549,441.12799,295.15349,76.866585,184.07332
OxLPC(14:1(COOH))+Na,518.24844,335.18244,459.17494,313.20044,76.866585,184.07332
OxLPC(14:2(COOH))+Na,516.23279,333.16679,457.15929,311.18479,76.866585,184.07332
OxLPC(14:3(COOH))+Na,514.21714,331.15114,455.14364,309.16914,76.866585,184.07332
OxLPC(15:1(COOH))+Na,532.26409,349.19809,473.19059,327.21609,76.866585,184.07332
OxLPC(15:2(COOH))+Na,530.24844,347.18244,471.17494,325.20044,76.866585,184.07332
OxLPC(15:3(COOH))+Na,528.23279,345.16679,469.15929,323.18479,76.866585,184.07332
OxLPC(15:4(COOH))+Na,526.21714,343.15114,467.14364,321.16914,76.866585,184.07332
OxLPC(16:1(COOH))+Na,546.27974,363.21374,487.20624,341.23174,76.866585,184.07332
OxLPC(16:2(COOH))+Na,544.26409,361.19809,485.19059,339.21609,76.866585,184.07332
OxLPC(16:3(COOH))+Na,542.24844,359.18244,483.17494,337.20044,76.866585,184.07332
OxLPC(16:4(COOH))+Na,540.23279,357.16679,481.15929,335.18479,76.866585,184.07332
OxLPC(17:4(COOH))+Na,554.24844,371.18244,495.17494,349.20044,76.866585,184.07332
OxLPC(18:4(COOH))+Na,568.26409,385.19809,509.19059,363.21609,76.866585,184.07332
OxLPC(18:5(COOH))+Na,566.24844,383.18244,507.17494,361.20044,76.866585,184.07332
OxLPC(19:4(COOH))+Na,582.27974,399.21374,523.20624,377.23174,76.866585,184.07332
OxLPC(19:5(COOH))+Na,580.26409,397.19809,521.19059,375.21609,76.866585,184.07332
OxLPC(20:4(Ke))+Na,580.30046,397.23446,521.22696,375.25246,76.866585,184.07332
OxLPC(20:4(OOH))+Na,598.31104,415.24504,539.23754,393.26304,76.866585,184.07332
OxLPC(20:4(OH))+Na,582.31612,399.25012,523.24262,377.26812,76.866585,184.07332
OxLPC(18:2(OOH))+Na,574.31104,391.24504,515.23754,369.26304,76.866585,184.07332
OxLPC(18:2(OH))+Na,558.31612,375.25012,499.24262,353.26812,76.866585,184.07332
OxLPC(14:1(OH))+Na,504.2692,321.2032,445.1957,299.2212,76.866585,184.07332
