PEG,[M+?]+,fragment 1,fragment 2
PEG(n=13_NH4+_CH2=15_DBE=1_(4-OH)),880.584,89.0602,133.0859
PEG(n=15_NH4+_CH2=14_DBE=6_(1-NH3)),880.586,89.0602,133.0859
PEG(n=18_NH4+_CH2=4_DBE=2_(2-NH3)),880.595,89.0602,133.0859
PEG(n=13_NH4+_CH2=19_DBE=4_(1=O)),880.598,89.0602,133.0859
PEG(n=14_NH4+_CH2=17_DBE=5_),880.599,89.0602,133.0859
PEG(n=17_NH4+_CH2=7_DBE=1_(1-NH3)),880.608,89.0602,133.0859
PEG(n=15_NH4+_CH2=14_DBE=6_(2-NH3)),880.610,89.0602,133.0859
PEG(n=12_NH4+_CH2=18_DBE=0_(4-OH)),880.620,89.0602,133.0859
PEG(n=14_NH4+_CH2=17_DBE=5_(1-NH3)),880.622,89.0602,133.0859
PEG(n=17_NH4+_CH2=7_DBE=1_(2-NH3)),880.632,89.0602,133.0859
PEG(n=16_NH4+_CH2=10_DBE=0_(1-NH3)),880.644,89.0602,133.0859
PEG(n=14_NH4+_CH2=17_DBE=5_(2-NH3)),880.646,89.0602,133.0859
PEG(n=16_NH4+_CH2=10_DBE=0_(2-NH3)),880.668,89.0602,133.0859
PEG(n=16_Na+_CH2=6_DBE=6_(4-OH)),881.399,89.0602,133.0859
PEG(n=18_H+_CH2=1_DBE=4_(4-OH)),881.422,89.0602,133.0859
PEG(n=15_Na+_CH2=9_DBE=5_(4-OH)),881.435,89.0602,133.0859
PEG(n=17_H+_CH2=7_DBE=6_(2=O)),881.437,89.0602,133.0859
PEG(n=17_Na+_CH2=2_DBE=0_(4-OH)),881.457,89.0602,133.0859
PEG(n=17_H+_CH2=4_DBE=3_(4-OH)),881.459,89.0602,133.0859
PEG(n=15_Na+_CH2=10_DBE=4_(3-OH)),881.471,89.0602,133.0859
PEG(n=17_Na+_CH2=6_DBE=3_(1=O)),881.472,89.0602,133.0859
PEG(n=16_H+_CH2=10_DBE=5_(2=O)),881.474,89.0602,133.0859
PEG(n=19_Na+_CH2=1_DBE=5_(2-NH3)),881.483,89.0602,133.0859
PEG(n=13_Na+_CH2=18_DBE=6_(2=O)),881.486,89.0602,133.0859
PEG(n=16_H+_CH2=7_DBE=2_(4-OH)),881.495,89.0602,133.0859
PEG(n=13_Na+_CH2=15_DBE=3_(4-OH)),881.508,89.0602,133.0859
PEG(n=13_H+_CH2=17_DBE=6_(4-OH)),881.510,89.0602,133.0859
PEG(n=18_Na+_CH2=4_DBE=4_(2-NH3)),881.519,89.0602,133.0859
PEG(n=13_Na+_CH2=19_DBE=6_(1=O)),881.522,89.0602,133.0859
PEG(n=15_H+_CH2=10_DBE=1_(4-OH)),881.531,89.0602,133.0859
PEG(n=17_H+_CH2=6_DBE=1_(2-OH)),881.532,89.0602,133.0859
PEG(n=17_H+_CH2=9_DBE=6_(1-NH3)),881.534,89.0602,133.0859
PEG(n=12_Na+_CH2=18_DBE=2_(4-OH)),881.544,89.0602,133.0859
PEG(n=13_H+_CH2=18_DBE=5_(3-OH)),881.546,89.0602,133.0859
PEG(n=17_Na+_CH2=7_DBE=3_(2-NH3)),881.556,89.0602,133.0859
PEG(n=17_H+_CH2=9_DBE=6_(2-NH3)),881.558,89.0602,133.0859
PEG(n=14_H+_CH2=13_DBE=0_(4-OH)),881.568,89.0602,133.0859
PEG(n=19_H+_CH2=2_DBE=1_(2-NH3)),881.579,89.0602,133.0859
PEG(n=12_Na+_CH2=19_DBE=1_(3-OH)),881.580,89.0602,133.0859
PEG(n=15_Na+_CH2=13_DBE=1_),881.581,89.0602,133.0859
PEG(n=13_H+_CH2=19_DBE=2_(2=O)),881.582,89.0602,133.0859
PEG(n=14_H+_CH2=17_DBE=3_(1=O)),881.583,89.0602,133.0859
PEG(n=16_Na+_CH2=10_DBE=2_(2-NH3)),881.592,89.0602,133.0859
PEG(n=15_Na+_CH2=13_DBE=1_(1-NH3)),881.604,89.0602,133.0859
PEG(n=15_H+_CH2=15_DBE=4_(1-NH3)),881.606,89.0602,133.0859
PEG(n=18_H+_CH2=5_DBE=0_(2-NH3)),881.616,89.0602,133.0859
PEG(n=13_Na+_CH2=18_DBE=0_(1-OH)),881.617,89.0602,133.0859
PEG(n=14_H+_CH2=18_DBE=3_),881.619,89.0602,133.0859
PEG(n=15_Na+_CH2=13_DBE=1_(2-NH3)),881.628,89.0602,133.0859
PEG(n=15_H+_CH2=15_DBE=4_(2-NH3)),881.630,89.0602,133.0859
PEG(n=14_Na+_CH2=16_DBE=0_(1-NH3)),881.641,89.0602,133.0859
PEG(n=14_H+_CH2=18_DBE=3_(1-NH3)),881.643,89.0602,133.0859
PEG(n=14_Na+_CH2=16_DBE=0_(2-NH3)),881.664,89.0602,133.0859
PEG(n=14_H+_CH2=18_DBE=3_(2-NH3)),881.667,89.0602,133.0859
PEG(n=18_NH4+_CH2=0_DBE=5_(4-OH)),882.418,89.0602,133.0859
PEG(n=17_NH4+_CH2=3_DBE=4_(4-OH)),882.454,89.0602,133.0859
PEG(n=16_NH4+_CH2=9_DBE=6_(2=O)),882.469,89.0602,133.0859
PEG(n=16_NH4+_CH2=6_DBE=3_(4-OH)),882.490,89.0602,133.0859
PEG(n=18_NH4+_CH2=2_DBE=1_(2=O)),882.491,89.0602,133.0859
PEG(n=16_NH4+_CH2=10_DBE=6_(1=O)),882.505,89.0602,133.0859
PEG(n=15_NH4+_CH2=9_DBE=2_(4-OH)),882.527,89.0602,133.0859
PEG(n=12_NH4+_CH2=19_DBE=6_(4-OH)),882.541,89.0602,133.0859
PEG(n=15_NH4+_CH2=13_DBE=5_(1=O)),882.542,89.0602,133.0859
PEG(n=19_NH4+_CH2=1_DBE=2_(1-NH3)),882.551,89.0602,133.0859
PEG(n=15_NH4+_CH2=10_DBE=1_(3-OH)),882.563,89.0602,133.0859
PEG(n=16_NH4+_CH2=11_DBE=6_(1-NH3)),882.565,89.0602,133.0859
PEG(n=19_NH4+_CH2=1_DBE=2_(2-NH3)),882.575,89.0602,133.0859
PEG(n=13_NH4+_CH2=18_DBE=3_(2=O)),882.578,89.0602,133.0859
PEG(n=18_NH4+_CH2=4_DBE=1_(1-NH3)),882.587,89.0602,133.0859
PEG(n=16_NH4+_CH2=11_DBE=6_(2-NH3)),882.589,89.0602,133.0859
PEG(n=13_NH4+_CH2=15_DBE=0_(4-OH)),882.599,89.0602,133.0859
PEG(n=16_NH4+_CH2=9_DBE=0_(1-OH)),882.600,89.0602,133.0859
PEG(n=15_NH4+_CH2=14_DBE=5_(1-NH3)),882.602,89.0602,133.0859
PEG(n=18_NH4+_CH2=4_DBE=1_(2-NH3)),882.611,89.0602,133.0859
PEG(n=13_NH4+_CH2=19_DBE=3_(1=O)),882.614,89.0602,133.0859
PEG(n=17_NH4+_CH2=7_DBE=0_(1-NH3)),882.623,89.0602,133.0859
PEG(n=15_NH4+_CH2=14_DBE=5_(2-NH3)),882.626,89.0602,133.0859
PEG(n=14_NH4+_CH2=17_DBE=4_(1-NH3)),882.638,89.0602,133.0859
PEG(n=17_NH4+_CH2=7_DBE=0_(2-NH3)),882.647,89.0602,133.0859
PEG(n=14_NH4+_CH2=17_DBE=4_(2-NH3)),882.662,89.0602,133.0859
PEG(n=17_Na+_CH2=3_DBE=6_(4-OH)),883.378,89.0602,133.0859
PEG(n=16_Na+_CH2=6_DBE=5_(4-OH)),883.414,89.0602,133.0859
PEG(n=18_Na+_CH2=2_DBE=3_(2=O)),883.415,89.0602,133.0859
PEG(n=18_H+_CH2=4_DBE=6_(2=O)),883.417,89.0602,133.0859
PEG(n=18_H+_CH2=1_DBE=3_(4-OH)),883.438,89.0602,133.0859
PEG(n=15_Na+_CH2=9_DBE=4_(4-OH)),883.451,89.0602,133.0859
PEG(n=17_H+_CH2=7_DBE=5_(2=O)),883.453,89.0602,133.0859
PEG(n=14_Na+_CH2=15_DBE=6_(2=O)),883.465,89.0602,133.0859
PEG(n=17_H+_CH2=4_DBE=2_(4-OH)),883.474,89.0602,133.0859
PEG(n=18_H+_CH2=2_DBE=2_(3-OH)),883.475,89.0602,133.0859
PEG(n=15_Na+_CH2=10_DBE=3_(3-OH)),883.487,89.0602,133.0859
PEG(n=14_H+_CH2=14_DBE=6_(4-OH)),883.489,89.0602,133.0859
PEG(n=19_Na+_CH2=1_DBE=4_(2-NH3)),883.499,89.0602,133.0859
PEG(n=13_Na+_CH2=18_DBE=5_(2=O)),883.502,89.0602,133.0859
PEG(n=16_H+_CH2=7_DBE=1_(4-OH)),883.511,89.0602,133.0859
PEG(n=18_H+_CH2=6_DBE=6_(1-NH3)),883.513,89.0602,133.0859
PEG(n=13_Na+_CH2=15_DBE=2_(4-OH)),883.523,89.0602,133.0859
PEG(n=16_Na+_CH2=9_DBE=1_(1=O)),883.524,89.0602,133.0859
PEG(n=13_H+_CH2=17_DBE=5_(4-OH)),883.525,89.0602,133.0859
PEG(n=15_H+_CH2=13_DBE=3_(2=O)),883.526,89.0602,133.0859
PEG(n=18_Na+_CH2=4_DBE=3_(2-NH3)),883.535,89.0602,133.0859
PEG(n=18_H+_CH2=6_DBE=6_(2-NH3)),883.537,89.0602,133.0859
PEG(n=13_Na+_CH2=19_DBE=5_(1=O)),883.538,89.0602,133.0859
PEG(n=15_H+_CH2=10_DBE=0_(4-OH)),883.547,89.0602,133.0859
PEG(n=17_H+_CH2=9_DBE=5_(1-NH3)),883.550,89.0602,133.0859
PEG(n=12_Na+_CH2=18_DBE=1_(4-OH)),883.560,89.0602,133.0859
PEG(n=13_H+_CH2=18_DBE=4_(3-OH)),883.562,89.0602,133.0859
PEG(n=17_Na+_CH2=7_DBE=2_(2-NH3)),883.571,89.0602,133.0859
PEG(n=17_H+_CH2=9_DBE=5_(2-NH3)),883.573,89.0602,133.0859
PEG(n=16_Na+_CH2=10_DBE=1_(1-NH3)),883.584,89.0602,133.0859
PEG(n=14_Na+_CH2=17_DBE=6_(2-NH3)),883.586,89.0602,133.0859
PEG(n=19_H+_CH2=2_DBE=0_(2-NH3)),883.595,89.0602,133.0859
PEG(n=12_Na+_CH2=19_DBE=0_(3-OH)),883.596,89.0602,133.0859
PEG(n=13_H+_CH2=19_DBE=1_(2=O)),883.598,89.0602,133.0859
PEG(n=16_Na+_CH2=10_DBE=1_(2-NH3)),883.608,89.0602,133.0859
PEG(n=15_Na+_CH2=13_DBE=0_(1-NH3)),883.620,89.0602,133.0859
PEG(n=15_H+_CH2=15_DBE=3_(1-NH3)),883.622,89.0602,133.0859
PEG(n=14_H+_CH2=18_DBE=2_),883.635,89.0602,133.0859
PEG(n=15_Na+_CH2=13_DBE=0_(2-NH3)),883.644,89.0602,133.0859
PEG(n=15_H+_CH2=15_DBE=3_(2-NH3)),883.646,89.0602,133.0859
PEG(n=14_H+_CH2=18_DBE=2_(1-NH3)),883.658,89.0602,133.0859
PEG(n=14_H+_CH2=18_DBE=2_(2-NH3)),883.682,89.0602,133.0859
PEG(n=18_NH4+_CH2=0_DBE=4_(4-OH)),884.433,89.0602,133.0859
PEG(n=17_NH4+_CH2=6_DBE=6_(2=O)),884.448,89.0602,133.0859
PEG(n=17_NH4+_CH2=3_DBE=3_(4-OH)),884.470,89.0602,133.0859
PEG(n=16_NH4+_CH2=9_DBE=5_(2=O)),884.485,89.0602,133.0859
PEG(n=16_NH4+_CH2=6_DBE=2_(4-OH)),884.506,89.0602,133.0859
PEG(n=13_NH4+_CH2=16_DBE=6_(4-OH)),884.521,89.0602,133.0859
PEG(n=15_NH4+_CH2=9_DBE=1_(4-OH)),884.542,89.0602,133.0859
PEG(n=17_NH4+_CH2=5_DBE=1_(2-OH)),884.543,89.0602,133.0859
PEG(n=17_NH4+_CH2=8_DBE=6_(1-NH3)),884.545,89.0602,133.0859
PEG(n=12_NH4+_CH2=19_DBE=5_(4-OH)),884.557,89.0602,133.0859
PEG(n=19_NH4+_CH2=1_DBE=1_(1-NH3)),884.567,89.0602,133.0859
PEG(n=17_NH4+_CH2=8_DBE=6_(2-NH3)),884.569,89.0602,133.0859
PEG(n=15_NH4+_CH2=10_DBE=0_(3-OH)),884.579,89.0602,133.0859
PEG(n=16_NH4+_CH2=11_DBE=5_(1-NH3)),884.581,89.0602,133.0859
PEG(n=19_NH4+_CH2=1_DBE=1_(2-NH3)),884.590,89.0602,133.0859
PEG(n=13_NH4+_CH2=18_DBE=2_(2=O)),884.593,89.0602,133.0859
PEG(n=14_NH4+_CH2=16_DBE=3_(1=O)),884.594,89.0602,133.0859
PEG(n=18_NH4+_CH2=4_DBE=0_(1-NH3)),884.603,89.0602,133.0859
PEG(n=16_NH4+_CH2=11_DBE=5_(2-NH3)),884.605,89.0602,133.0859
PEG(n=15_NH4+_CH2=14_DBE=4_(1-NH3)),884.617,89.0602,133.0859
PEG(n=18_NH4+_CH2=4_DBE=0_(2-NH3)),884.627,89.0602,133.0859
PEG(n=13_NH4+_CH2=19_DBE=2_(1=O)),884.630,89.0602,133.0859
PEG(n=15_NH4+_CH2=14_DBE=4_(2-NH3)),884.641,89.0602,133.0859
PEG(n=14_NH4+_CH2=17_DBE=3_(1-NH3)),884.654,89.0602,133.0859
PEG(n=14_NH4+_CH2=17_DBE=3_(2-NH3)),884.678,89.0602,133.0859
PEG(n=18_Na+_CH2=0_DBE=6_(4-OH)),885.357,89.0602,133.0859
PEG(n=17_Na+_CH2=3_DBE=5_(4-OH)),885.394,89.0602,133.0859
PEG(n=19_H+_CH2=1_DBE=6_(2=O)),885.396,89.0602,133.0859
PEG(n=16_Na+_CH2=6_DBE=4_(4-OH)),885.430,89.0602,133.0859
PEG(n=18_H+_CH2=4_DBE=5_(2=O)),885.432,89.0602,133.0859
PEG(n=18_H+_CH2=1_DBE=2_(4-OH)),885.454,89.0602,133.0859
PEG(n=15_Na+_CH2=9_DBE=3_(4-OH)),885.466,89.0602,133.0859
PEG(n=17_Na+_CH2=5_DBE=1_(2=O)),885.467,89.0602,133.0859
PEG(n=15_H+_CH2=11_DBE=6_(4-OH)),885.468,89.0602,133.0859
PEG(n=16_H+_CH2=9_DBE=6_(3-OH)),885.469,89.0602,133.0859
PEG(n=14_Na+_CH2=15_DBE=5_(2=O)),885.481,89.0602,133.0859
PEG(n=17_H+_CH2=4_DBE=1_(4-OH)),885.490,89.0602,133.0859
PEG(n=19_Na+_CH2=1_DBE=3_(1-NH3)),885.491,89.0602,133.0859
PEG(n=19_H+_CH2=3_DBE=6_(1-NH3)),885.493,89.0602,133.0859
PEG(n=15_Na+_CH2=10_DBE=2_(3-OH)),885.503,89.0602,133.0859
PEG(n=14_H+_CH2=14_DBE=5_(4-OH)),885.505,89.0602,133.0859
PEG(n=19_Na+_CH2=1_DBE=3_(2-NH3)),885.514,89.0602,133.0859
PEG(n=19_H+_CH2=3_DBE=6_(2-NH3)),885.516,89.0602,133.0859
PEG(n=13_Na+_CH2=18_DBE=4_(2=O)),885.517,89.0602,133.0859
PEG(n=14_Na+_CH2=16_DBE=5_(1=O)),885.518,89.0602,133.0859
PEG(n=16_H+_CH2=7_DBE=0_(4-OH)),885.526,89.0602,133.0859
PEG(n=17_H+_CH2=5_DBE=0_(3-OH)),885.527,89.0602,133.0859
PEG(n=18_H+_CH2=6_DBE=5_(1-NH3)),885.529,89.0602,133.0859
PEG(n=13_Na+_CH2=15_DBE=1_(4-OH)),885.539,89.0602,133.0859
PEG(n=13_H+_CH2=17_DBE=4_(4-OH)),885.541,89.0602,133.0859
PEG(n=18_Na+_CH2=4_DBE=2_(2-NH3)),885.551,89.0602,133.0859
PEG(n=18_H+_CH2=6_DBE=5_(2-NH3)),885.553,89.0602,133.0859
PEG(n=13_Na+_CH2=19_DBE=4_(1=O)),885.554,89.0602,133.0859
PEG(n=17_Na+_CH2=7_DBE=1_(1-NH3)),885.563,89.0602,133.0859
PEG(n=15_Na+_CH2=14_DBE=6_(2-NH3)),885.565,89.0602,133.0859
PEG(n=12_Na+_CH2=18_DBE=0_(4-OH)),885.575,89.0602,133.0859
PEG(n=16_Na+_CH2=10_DBE=0_),885.576,89.0602,133.0859
PEG(n=13_H+_CH2=18_DBE=3_(3-OH)),885.577,89.0602,133.0859
PEG(n=14_H+_CH2=16_DBE=1_(2=O)),885.578,89.0602,133.0859
PEG(n=17_Na+_CH2=7_DBE=1_(2-NH3)),885.587,89.0602,133.0859
PEG(n=17_H+_CH2=9_DBE=4_(2-NH3)),885.589,89.0602,133.0859
PEG(n=16_Na+_CH2=10_DBE=0_(1-NH3)),885.599,89.0602,133.0859
PEG(n=14_Na+_CH2=17_DBE=5_(2-NH3)),885.602,89.0602,133.0859
PEG(n=13_H+_CH2=19_DBE=0_(2=O)),885.614,89.0602,133.0859
PEG(n=16_Na+_CH2=10_DBE=0_(2-NH3)),885.623,89.0602,133.0859
PEG(n=15_H+_CH2=15_DBE=2_(1-NH3)),885.638,89.0602,133.0859
PEG(n=14_H+_CH2=18_DBE=1_),885.650,89.0602,133.0859
PEG(n=15_H+_CH2=15_DBE=2_(2-NH3)),885.662,89.0602,133.0859
PEG(n=14_H+_CH2=18_DBE=1_(1-NH3)),885.674,89.0602,133.0859
PEG(n=14_H+_CH2=18_DBE=1_(2-NH3)),885.698,89.0602,133.0859
PEG(n=18_NH4+_CH2=3_DBE=6_(2=O)),886.428,89.0602,133.0859
PEG(n=18_NH4+_CH2=0_DBE=3_(4-OH)),886.449,89.0602,133.0859
PEG(n=17_NH4+_CH2=6_DBE=5_(2=O)),886.464,89.0602,133.0859
PEG(n=17_NH4+_CH2=3_DBE=2_(4-OH)),886.485,89.0602,133.0859
PEG(n=18_NH4+_CH2=1_DBE=2_(3-OH)),886.486,89.0602,133.0859
PEG(n=14_NH4+_CH2=13_DBE=6_(4-OH)),886.500,89.0602,133.0859
PEG(n=16_NH4+_CH2=6_DBE=1_(4-OH)),886.522,89.0602,133.0859
PEG(n=18_NH4+_CH2=5_DBE=6_(1-NH3)),886.524,89.0602,133.0859
PEG(n=13_NH4+_CH2=16_DBE=5_(4-OH)),886.536,89.0602,133.0859
PEG(n=16_NH4+_CH2=10_DBE=4_(1=O)),886.537,89.0602,133.0859
PEG(n=18_NH4+_CH2=5_DBE=6_(2-NH3)),886.548,89.0602,133.0859
PEG(n=15_NH4+_CH2=9_DBE=0_(4-OH)),886.558,89.0602,133.0859
PEG(n=17_NH4+_CH2=8_DBE=5_(1-NH3)),886.561,89.0602,133.0859
PEG(n=12_NH4+_CH2=19_DBE=4_(4-OH)),886.573,89.0602,133.0859
PEG(n=19_NH4+_CH2=1_DBE=0_(1-NH3)),886.582,89.0602,133.0859
PEG(n=17_NH4+_CH2=8_DBE=5_(2-NH3)),886.584,89.0602,133.0859
PEG(n=16_NH4+_CH2=11_DBE=4_(1-NH3)),886.597,89.0602,133.0859
PEG(n=19_NH4+_CH2=1_DBE=0_(2-NH3)),886.606,89.0602,133.0859
PEG(n=13_NH4+_CH2=18_DBE=1_(2=O)),886.609,89.0602,133.0859
PEG(n=16_NH4+_CH2=11_DBE=4_(2-NH3)),886.621,89.0602,133.0859
PEG(n=15_NH4+_CH2=14_DBE=3_(1-NH3)),886.633,89.0602,133.0859
PEG(n=13_NH4+_CH2=19_DBE=1_(1=O)),886.646,89.0602,133.0859
PEG(n=15_NH4+_CH2=14_DBE=3_(2-NH3)),886.657,89.0602,133.0859
PEG(n=14_NH4+_CH2=17_DBE=2_(1-NH3)),886.669,89.0602,133.0859
PEG(n=14_NH4+_CH2=17_DBE=2_(2-NH3)),886.693,89.0602,133.0859
PEG(n=18_Na+_CH2=0_DBE=5_(4-OH)),887.373,89.0602,133.0859
PEG(n=17_Na+_CH2=3_DBE=4_(4-OH)),887.409,89.0602,133.0859
PEG(n=18_Na+_CH2=1_DBE=4_(3-OH)),887.410,89.0602,133.0859
PEG(n=19_H+_CH2=1_DBE=5_(2=O)),887.412,89.0602,133.0859
PEG(n=16_Na+_CH2=9_DBE=6_(2=O)),887.424,89.0602,133.0859
PEG(n=16_Na+_CH2=6_DBE=3_(4-OH)),887.446,89.0602,133.0859
PEG(n=16_H+_CH2=8_DBE=6_(4-OH)),887.448,89.0602,133.0859
PEG(n=16_Na+_CH2=10_DBE=6_(1=O)),887.461,89.0602,133.0859
PEG(n=18_H+_CH2=1_DBE=1_(4-OH)),887.470,89.0602,133.0859
PEG(n=20_H+_CH2=0_DBE=6_(1-NH3)),887.472,89.0602,133.0859
PEG(n=15_Na+_CH2=9_DBE=2_(4-OH)),887.482,89.0602,133.0859
PEG(n=15_H+_CH2=11_DBE=5_(4-OH)),887.484,89.0602,133.0859
PEG(n=19_H+_CH2=3_DBE=5_),887.485,89.0602,133.0859
PEG(n=20_H+_CH2=0_DBE=6_(2-NH3)),887.496,89.0602,133.0859
PEG(n=12_Na+_CH2=19_DBE=6_(4-OH)),887.497,89.0602,133.0859
PEG(n=17_H+_CH2=4_DBE=0_(4-OH)),887.506,89.0602,133.0859
PEG(n=19_H+_CH2=3_DBE=5_(1-NH3)),887.508,89.0602,133.0859
PEG(n=15_Na+_CH2=10_DBE=1_(3-OH)),887.518,89.0602,133.0859
PEG(n=16_Na+_CH2=8_DBE=1_(2-OH)),887.519,89.0602,133.0859
PEG(n=14_H+_CH2=14_DBE=4_(4-OH)),887.520,89.0602,133.0859
PEG(n=16_H+_CH2=10_DBE=2_(2=O)),887.521,89.0602,133.0859
PEG(n=19_Na+_CH2=1_DBE=2_(2-NH3)),887.530,89.0602,133.0859
PEG(n=19_H+_CH2=3_DBE=5_(2-NH3)),887.532,89.0602,133.0859
PEG(n=13_Na+_CH2=18_DBE=3_(2=O)),887.533,89.0602,133.0859
PEG(n=18_Na+_CH2=4_DBE=1_(1-NH3)),887.543,89.0602,133.0859
PEG(n=16_Na+_CH2=11_DBE=6_(2-NH3)),887.545,89.0602,133.0859
PEG(n=13_Na+_CH2=15_DBE=0_(4-OH)),887.555,89.0602,133.0859
PEG(n=13_H+_CH2=17_DBE=3_(4-OH)),887.557,89.0602,133.0859
PEG(n=18_Na+_CH2=4_DBE=1_(2-NH3)),887.566,89.0602,133.0859
PEG(n=18_H+_CH2=6_DBE=4_(2-NH3)),887.568,89.0602,133.0859
PEG(n=13_Na+_CH2=19_DBE=3_(1=O)),887.570,89.0602,133.0859
PEG(n=17_Na+_CH2=7_DBE=0_(1-NH3)),887.579,89.0602,133.0859
PEG(n=15_Na+_CH2=14_DBE=5_(2-NH3)),887.581,89.0602,133.0859
PEG(n=13_H+_CH2=18_DBE=2_(3-OH)),887.593,89.0602,133.0859
PEG(n=17_Na+_CH2=7_DBE=0_(2-NH3)),887.603,89.0602,133.0859
PEG(n=17_H+_CH2=9_DBE=3_(2-NH3)),887.605,89.0602,133.0859
PEG(n=14_Na+_CH2=17_DBE=4_(2-NH3)),887.617,89.0602,133.0859
PEG(n=13_H+_CH2=19_DBE=1_(2-OH)),887.630,89.0602,133.0859
PEG(n=15_H+_CH2=15_DBE=1_(1-NH3)),887.654,89.0602,133.0859
PEG(n=14_H+_CH2=18_DBE=0_),887.666,89.0602,133.0859
PEG(n=15_H+_CH2=15_DBE=1_(2-NH3)),887.677,89.0602,133.0859
PEG(n=14_H+_CH2=18_DBE=0_(1-NH3)),887.690,89.0602,133.0859
PEG(n=14_H+_CH2=18_DBE=0_(2-NH3)),887.714,89.0602,133.0859
PEG(n=19_NH4+_CH2=0_DBE=6_(2=O)),888.407,89.0602,133.0859
PEG(n=18_NH4+_CH2=3_DBE=5_(2=O)),888.443,89.0602,133.0859
PEG(n=18_NH4+_CH2=0_DBE=2_(4-OH)),888.465,89.0602,133.0859
PEG(n=15_NH4+_CH2=10_DBE=6_(4-OH)),888.479,89.0602,133.0859
PEG(n=16_NH4+_CH2=8_DBE=6_(3-OH)),888.480,89.0602,133.0859
PEG(n=17_NH4+_CH2=3_DBE=1_(4-OH)),888.501,89.0602,133.0859
PEG(n=19_NH4+_CH2=2_DBE=6_(1-NH3)),888.504,89.0602,133.0859
PEG(n=14_NH4+_CH2=13_DBE=5_(4-OH)),888.516,89.0602,133.0859
PEG(n=19_NH4+_CH2=2_DBE=6_(2-NH3)),888.527,89.0602,133.0859
PEG(n=16_NH4+_CH2=6_DBE=0_(4-OH)),888.537,89.0602,133.0859
PEG(n=17_NH4+_CH2=4_DBE=0_(3-OH)),888.538,89.0602,133.0859
PEG(n=18_NH4+_CH2=5_DBE=5_(1-NH3)),888.540,89.0602,133.0859
PEG(n=13_NH4+_CH2=16_DBE=4_(4-OH)),888.552,89.0602,133.0859
PEG(n=18_NH4+_CH2=5_DBE=5_(2-NH3)),888.564,89.0602,133.0859
PEG(n=17_NH4+_CH2=8_DBE=4_(1-NH3)),888.576,89.0602,133.0859
PEG(n=12_NH4+_CH2=19_DBE=3_(4-OH)),888.588,89.0602,133.0859
PEG(n=14_NH4+_CH2=15_DBE=1_(2=O)),888.589,89.0602,133.0859
PEG(n=17_NH4+_CH2=8_DBE=4_(2-NH3)),888.600,89.0602,133.0859
PEG(n=16_NH4+_CH2=11_DBE=3_(1-NH3)),888.613,89.0602,133.0859
PEG(n=13_NH4+_CH2=18_DBE=0_(2=O)),888.625,89.0602,133.0859
PEG(n=16_NH4+_CH2=11_DBE=3_(2-NH3)),888.636,89.0602,133.0859
PEG(n=15_NH4+_CH2=14_DBE=2_(1-NH3)),888.649,89.0602,133.0859
PEG(n=13_NH4+_CH2=19_DBE=0_(1=O)),888.661,89.0602,133.0859
PEG(n=15_NH4+_CH2=14_DBE=2_(2-NH3)),888.673,89.0602,133.0859
PEG(n=14_NH4+_CH2=17_DBE=1_(1-NH3)),888.685,89.0602,133.0859
PEG(n=14_NH4+_CH2=17_DBE=1_(2-NH3)),888.709,89.0602,133.0859
PEG(n=18_Na+_CH2=0_DBE=4_(4-OH)),889.389,89.0602,133.0859
PEG(n=17_Na+_CH2=6_DBE=6_(2=O)),889.404,89.0602,133.0859
PEG(n=17_Na+_CH2=3_DBE=3_(4-OH)),889.425,89.0602,133.0859
PEG(n=17_H+_CH2=5_DBE=6_(4-OH)),889.427,89.0602,133.0859
PEG(n=16_Na+_CH2=9_DBE=5_(2=O)),889.440,89.0602,133.0859
PEG(n=16_Na+_CH2=6_DBE=2_(4-OH)),889.461,89.0602,133.0859
PEG(n=17_Na+_CH2=4_DBE=2_(3-OH)),889.462,89.0602,133.0859
PEG(n=16_H+_CH2=8_DBE=5_(4-OH)),889.464,89.0602,133.0859
PEG(n=13_Na+_CH2=16_DBE=6_(4-OH)),889.476,89.0602,133.0859
PEG(n=18_H+_CH2=1_DBE=0_(4-OH)),889.485,89.0602,133.0859
PEG(n=20_H+_CH2=0_DBE=5_(1-NH3)),889.488,89.0602,133.0859
PEG(n=15_Na+_CH2=9_DBE=1_(4-OH)),889.498,89.0602,133.0859
PEG(n=15_H+_CH2=11_DBE=4_(4-OH)),889.500,89.0602,133.0859
PEG(n=20_H+_CH2=0_DBE=5_(2-NH3)),889.512,89.0602,133.0859
PEG(n=14_Na+_CH2=15_DBE=3_(2=O)),889.513,89.0602,133.0859
PEG(n=14_H+_CH2=17_DBE=6_(2=O)),889.515,89.0602,133.0859
PEG(n=19_Na+_CH2=1_DBE=1_(1-NH3)),889.522,89.0602,133.0859
PEG(n=17_Na+_CH2=8_DBE=6_(2-NH3)),889.524,89.0602,133.0859
PEG(n=15_Na+_CH2=10_DBE=0_(3-OH)),889.534,89.0602,133.0859
PEG(n=14_H+_CH2=14_DBE=3_(4-OH)),889.536,89.0602,133.0859
PEG(n=16_Na+_CH2=11_DBE=5_(1-NH3)),889.537,89.0602,133.0859
PEG(n=19_Na+_CH2=1_DBE=1_(2-NH3)),889.546,89.0602,133.0859
PEG(n=19_H+_CH2=3_DBE=4_(2-NH3)),889.548,89.0602,133.0859
