PEG,[M+?]+,fragment 1,fragment 2
PEG(n=3_NH4+_CH2=0_DBE=1_),166.108,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=1_(1-NH3)),166.132,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=1_(2-NH3)),166.156,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=6_(2=O)),166.961,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=6_(1=O)),166.998,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=3_),167.032,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=6_),167.034,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=3_(1-NH3)),167.056,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=6_(1-NH3)),167.058,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=3_(2-NH3)),167.080,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=6_(2-NH3)),167.082,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=0_(1-OH)),167.092,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=0_),168.124,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=0_(1-NH3)),168.147,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=0_(2-NH3)),168.171,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=5_(2=O)),168.977,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=5_(1=O)),169.013,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=2_),169.048,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=5_),169.050,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=2_(1-NH3)),169.071,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=5_(1-NH3)),169.074,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=2_(2-NH3)),169.095,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=5_(2-NH3)),169.097,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=6_(1=O)),170.009,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=6_),170.045,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=6_(1-NH3)),170.069,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=6_(2-NH3)),170.093,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=4_(2=O)),170.993,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=4_(1=O)),171.029,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=1_),171.063,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=4_),171.065,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=1_(1-NH3)),171.087,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=4_(1-NH3)),171.089,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=1_(2-NH3)),171.111,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=4_(2-NH3)),171.113,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=5_(1=O)),172.024,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=5_),172.061,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=5_(1-NH3)),172.085,89.0602,133.0859
