Sulfatide,[M+H]+,So(dFA)+H-2H2O,So(dFA)+H-H2O,So(dFA)+H-H2O-CH2O,"NL[H2SO4,C6H10O5,H2O]","NL[H2SO4,C6H10O5]","NL[H2SO4,C6H10O6]","NL[H2SO4,C7H10O5,H2O]",NL[H2SO4],Amide(FA)+H
Sulfatide(d18:1_24:1(2OH))+H,906.6334734,264.26841,282.27898,252.26841,628.6026534,646.6132234,630.6183034,616.6026534,808.6660734,382.3679734
Sulfatide(d18:1_24:4(2OH))+H,900.5865233,264.26841,282.27898,252.26841,622.5557033,640.5662733,624.5713533,610.5557033,802.6191233,376.3210233
Sulfatide(d18:1_26:0(2OH))+H,936.6804236,264.26841,282.27898,252.26841,658.6496036,676.6601736,660.6652536,646.6496036,838.7130236,412.4149236
Sulfatide(d18:1_26:1(2OH))+H,934.6647736,264.26841,282.27898,252.26841,656.6339536,674.6445236,658.6496036,644.6339536,836.6973736,410.3992736
Sulfatide(d18:2_2:0)+H,582.2942521,262.25276,280.26333,250.25276,304.2634321,322.2740021,306.2790821,292.2634321,484.3268521,60.0444021
Sulfatide(d18:2_10:0)+H,694.4194526,262.25276,280.26333,250.25276,416.3886326,434.3992026,418.4042826,404.3886326,596.4520526,172.1696026
Sulfatide(d18:2_12:0)+H,722.4507527,262.25276,280.26333,250.25276,444.4199327,462.4305027,446.4355827,432.4199327,624.4833527,200.2009027
Sulfatide(d18:2_14:0)+H,750.4820529,262.25276,280.26333,250.25276,472.4512329,490.4618029,474.4668829,460.4512329,652.5146529,228.2322029
Sulfatide(d18:2_16:0)+H,778.513353,262.25276,280.26333,250.25276,500.482533,518.493103,502.498183,488.482533,680.545953,256.263503
Sulfatide(d18:2_18:0)+H,806.5446531,262.25276,280.26333,250.25276,528.5138331,546.5244031,530.5294831,516.5138331,708.5772531,284.2948031
Sulfatide(d18:2_18:2)+H,804.5290031,262.25276,280.26333,250.25276,526.4981831,544.5087531,528.5138331,514.4981831,706.5616031,282.2791531
Sulfatide(d18:2_20:0)+H,834.5759533,262.25276,280.26333,250.25276,556.5451333,574.5557033,558.5607833,544.5451333,736.6085533,312.3261033
Sulfatide(d18:2_22:0)+H,862.6072534,262.25276,280.26333,250.25276,584.5764334,602.5870034,586.5920834,572.5764334,764.6398534,340.3574034
Sulfatide(d18:2_24:0)+H,890.6385535,262.25276,280.26333,250.25276,612.6077335,630.6183035,614.6233835,600.6077335,792.6711535,368.3887035
Sulfatide(d18:2_24:1)+H,888.6229034,262.25276,280.26333,250.25276,610.5920834,628.6026534,612.6077334,598.5920834,790.6555034,366.3730534
Sulfatide(d18:2_24:4)+H,882.5759533,262.25276,280.26333,250.25276,604.5451333,622.5557033,606.5607833,592.5451333,784.6085533,360.3261033
Sulfatide(d18:2_26:0)+H,918.6698536,262.25276,280.26333,250.25276,640.6390336,658.6496036,642.6546836,628.6390336,820.7024536,396.4200036
Sulfatide(d18:2_26:1)+H,916.6542036,262.25276,280.26333,250.25276,638.6233836,656.6339536,640.6390336,626.6233836,818.6868036,394.4043536
