Sulfatide,[M+H]+,So(dFA)+H-2H2O,So(dFA)+H-H2O,So(dFA)+H-H2O-CH2O,"NL[H2SO4,C6H10O5,H2O]","NL[H2SO4,C6H10O5]","NL[H2SO4,C6H10O6]","NL[H2SO4,C7H10O5,H2O]",NL[H2SO4],Amide(FA)+H
Sulfatide(d15:0_20:0)+H,796.5603031,224.23713,242.2477,212.23713,518.5294831,536.5400531,520.5451331,506.5294831,698.5929031,312.3260831
Sulfatide(d15:0_22:0)+H,824.5916033,224.23713,242.2477,212.23713,546.5607833,564.5713533,548.5764333,534.5607833,726.6242033,340.3573833
Sulfatide(d15:0_24:0)+H,852.6229034,224.23713,242.2477,212.23713,574.5920834,592.6026534,576.6077334,562.5920834,754.6555034,368.3886834
Sulfatide(d15:0_24:1)+H,850.6072533,224.23713,242.2477,212.23713,572.5764333,590.5870033,574.5920833,560.5764333,752.6398533,366.3730333
Sulfatide(d15:0_24:4)+H,844.5603031,224.23713,242.2477,212.23713,566.5294831,584.5400531,568.5451331,554.5294831,746.5929031,360.3260831
Sulfatide(d15:0_26:0)+H,880.6542035,224.23713,242.2477,212.23713,602.6233835,620.6339535,604.6390335,590.6233835,782.6868035,396.4199835
Sulfatide(d15:0_26:1)+H,878.6385534,224.23713,242.2477,212.23713,600.6077334,618.6183034,602.6233834,588.6077334,780.6711534,394.4043334
Sulfatide(d15:1_2:0)+H,542.2629519,222.22149,240.23206,210.22149,264.2321319,282.2427019,266.2477819,252.2321319,444.2955519,60.04437191
Sulfatide(d15:1_10:0)+H,654.3881524,222.22149,240.23206,210.22149,376.3573324,394.3679024,378.3729824,364.3573324,556.4207524,172.1695724
Sulfatide(d15:1_12:0)+H,682.4194526,222.22149,240.23206,210.22149,404.3886326,422.3992026,406.4042826,392.3886326,584.4520526,200.2008726
Sulfatide(d15:1_14:0)+H,710.4507527,222.22149,240.23206,210.22149,432.4199327,450.4305027,434.4355827,420.4199327,612.4833527,228.2321727
Sulfatide(d15:1_16:0)+H,738.4820528,222.22149,240.23206,210.22149,460.4512328,478.4618028,462.4668828,448.4512328,640.5146528,256.2634728
Sulfatide(d15:1_18:0)+H,766.5133529,222.22149,240.23206,210.22149,488.4825329,506.4931029,490.4981829,476.4825329,668.5459529,284.2947729
Sulfatide(d15:1_18:1)+H,764.4977029,222.22149,240.23206,210.22149,486.4668829,504.4774529,488.4825329,474.4668829,666.5303029,282.2791229
Sulfatide(d15:1_20:0)+H,794.5446531,222.22149,240.23206,210.22149,516.5138331,534.5244031,518.5294831,504.5138331,696.5772531,312.3260731
Sulfatide(d15:1_22:0)+H,822.5759532,222.22149,240.23206,210.22149,544.5451332,562.5557032,546.5607832,532.5451332,724.6085532,340.3573732
Sulfatide(d15:1_24:0)+H,850.6072533,222.22149,240.23206,210.22149,572.5764333,590.5870033,574.5920833,560.5764333,752.6398533,368.3886733
Sulfatide(d15:1_24:1)+H,848.5916033,222.22149,240.23206,210.22149,570.5607833,588.5713533,572.5764333,558.5607833,750.6242033,366.3730233
Sulfatide(d15:1_24:4)+H,842.5446531,222.22149,240.23206,210.22149,564.5138331,582.5244031,566.5294831,552.5138331,744.5772531,360.3260731
Sulfatide(d15:1_26:0)+H,878.6385534,222.22149,240.23206,210.22149,600.6077334,618.6183034,602.6233834,588.6077334,780.6711534,396.4199734
Sulfatide(d15:1_26:1)+H,876.6229034,222.22149,240.23206,210.22149,598.5920834,616.6026534,600.6077334,586.5920834,778.6555034,394.4043234
Sulfatide(d16:0_2:0)+H,558.294252,238.25277,256.26334,226.25277,280.263432,298.274002,282.279082,268.263432,460.326852,60.04439204
Sulfatide(d16:0_10:0)+H,670.4194526,238.25277,256.26334,226.25277,392.3886326,410.3992026,394.4042826,380.3886326,572.4520526,172.1695926
Sulfatide(d16:0_12:0)+H,698.4507527,238.25277,256.26334,226.25277,420.4199327,438.4305027,422.4355827,408.4199327,600.4833527,200.2008927
Sulfatide(d16:0_14:0)+H,726.4820528,238.25277,256.26334,226.25277,448.4512328,466.4618028,450.4668828,436.4512328,628.5146528,228.2321928
Sulfatide(d16:0_16:0)+H,754.5133529,238.25277,256.26334,226.25277,476.4825329,494.4931029,478.4981829,464.4825329,656.5459529,256.2634929
Sulfatide(d16:0_18:0)+H,782.5446531,238.25277,256.26334,226.25277,504.5138331,522.5244031,506.5294831,492.5138331,684.5772531,284.2947931
Sulfatide(d16:0_18:1)+H,780.529003,238.25277,256.26334,226.25277,502.498183,520.508753,504.513833,490.498183,682.561603,282.279143
Sulfatide(d16:0_20:0)+H,810.5759532,238.25277,256.26334,226.25277,532.5451332,550.5557032,534.5607832,520.5451332,712.6085532,312.3260932
Sulfatide(d16:0_22:0)+H,838.6072533,238.25277,256.26334,226.25277,560.5764333,578.5870033,562.5920833,548.5764333,740.6398533,340.3573933
Sulfatide(d16:0_24:0)+H,866.6385534,238.25277,256.26334,226.25277,588.6077334,606.6183034,590.6233834,576.6077334,768.6711534,368.3886934
Sulfatide(d16:0_24:1)+H,864.6229034,238.25277,256.26334,226.25277,586.5920834,604.6026534,588.6077334,574.5920834,766.6555034,366.3730434
Sulfatide(d16:0_24:4)+H,858.5759532,238.25277,256.26334,226.25277,580.5451332,598.5557032,582.5607832,568.5451332,760.6085532,360.3260932
Sulfatide(d16:0_26:0)+H,894.6698536,238.25277,256.26334,226.25277,616.6390336,634.6496036,618.6546836,604.6390336,796.7024536,396.4199936
Sulfatide(d16:0_26:1)+H,892.6542035,238.25277,256.26334,226.25277,614.6233835,632.6339535,616.6390335,602.6233835,794.6868035,394.4043435
Sulfatide(d16:1_2:0)+H,556.278602,236.23713,254.2477,224.23713,278.247782,296.258352,280.263432,266.247782,458.311202,60.04438198
Sulfatide(d16:1_10:0)+H,668.4038025,236.23713,254.2477,224.23713,390.3729825,408.3835525,392.3886325,378.3729825,570.4364025,172.1695825
Sulfatide(d16:1_12:0)+H,696.4351026,236.23713,254.2477,224.23713,418.4042826,436.4148526,420.4199326,406.4042826,598.4677026,200.2008826
Sulfatide(d16:1_14:0)+H,724.4664027,236.23713,254.2477,224.23713,446.4355827,464.4461527,448.4512327,434.4355827,626.4990027,228.2321827
Sulfatide(d16:1_16:0)+H,752.4977029,236.23713,254.2477,224.23713,474.4668829,492.4774529,476.4825329,462.4668829,654.5303029,256.2634829
Sulfatide(d16:1_18:0)+H,780.529003,236.23713,254.2477,224.23713,502.498183,520.508753,504.513833,490.498183,682.561603,284.294783
Sulfatide(d16:1_18:1)+H,778.5133529,236.23713,254.2477,224.23713,500.4825329,518.4931029,502.4981829,488.4825329,680.5459529,282.2791329
Sulfatide(d16:1_20:0)+H,808.5603031,236.23713,254.2477,224.23713,530.5294831,548.5400531,532.5451331,518.5294831,710.5929031,312.3260831
Sulfatide(d16:1_22:0)+H,836.5916033,236.23713,254.2477,224.23713,558.5607833,576.5713533,560.5764333,546.5607833,738.6242033,340.3573833
Sulfatide(d16:1_24:0)+H,864.6229034,236.23713,254.2477,224.23713,586.5920834,604.6026534,588.6077334,574.5920834,766.6555034,368.3886834
Sulfatide(d16:1_24:1)+H,862.6072533,236.23713,254.2477,224.23713,584.5764333,602.5870033,586.5920833,572.5764333,764.6398533,366.3730333
Sulfatide(d16:1_24:4)+H,856.5603031,236.23713,254.2477,224.23713,578.5294831,596.5400531,580.5451331,566.5294831,758.5929031,360.3260831
Sulfatide(d16:1_26:0)+H,892.6542035,236.23713,254.2477,224.23713,614.6233835,632.6339535,616.6390335,602.6233835,794.6868035,396.4199835
Sulfatide(d16:1_26:1)+H,890.6385534,236.23713,254.2477,224.23713,612.6077334,630.6183034,614.6233834,600.6077334,792.6711534,394.4043334
Sulfatide(d17:0_2:0)+H,572.3099021,252.26841,270.27898,240.26841,294.2790821,312.2896521,296.2947321,282.2790821,474.3425021,60.04440211
Sulfatide(d17:0_10:0)+H,684.4351026,252.26841,270.27898,240.26841,406.4042826,424.4148526,408.4199326,394.4042826,586.4677026,172.1696026
Sulfatide(d17:0_12:0)+H,712.4664027,252.26841,270.27898,240.26841,434.4355827,452.4461527,436.4512327,422.4355827,614.4990027,200.2009027
