PMeOH,[M+NH4]+,[M-CH5O4P+H]+,[C4H9O5P+H]+
PMeOH(40:11)+NH4,770.47552,641.4564,169.026
PMeOH(40:2)+NH4,788.61652,659.5974,169.026
PMeOH(40:3)+NH4,786.60072,657.5816,169.026
PMeOH(40:4)+NH4,784.58512,655.566,169.026
PMeOH(40:5)+NH4,782.56952,653.5504,169.026
PMeOH(40:6)+NH4,780.55382,651.5347,169.026
PMeOH(40:7)+NH4,778.53812,649.519,169.026
PMeOH(40:8)+NH4,776.52252,647.5034,169.026
PMeOH(40:9)+NH4,774.50682,645.4877,169.026
PMeOH(41:0)+NH4,806.66332,677.6442,169.026
PMeOH(41:1)+NH4,804.64762,675.6285,169.026
PMeOH(41:2)+NH4,802.63202,673.6129,169.026
PMeOH(41:3)+NH4,800.61652,671.5974,169.026
PMeOH(41:4)+NH4,798.60072,669.5816,169.026
PMeOH(41:5)+NH4,796.58512,667.566,169.026
PMeOH(41:6)+NH4,794.56952,665.5504,169.026
PMeOH(41:7)+NH4,792.55382,663.5347,169.026
PMeOH(41:8)+NH4,790.53812,661.519,169.026
PMeOH(42:0)+NH4,820.67902,691.6599,169.026
PMeOH(42:1)+NH4,818.66332,689.6442,169.026
PMeOH(42:10)+NH4,800.52252,671.5034,169.026
PMeOH(42:11)+NH4,798.50682,669.4877,169.026
PMeOH(42:2)+NH4,816.64762,687.6285,169.026
PMeOH(42:3)+NH4,814.63202,685.6129,169.026
PMeOH(42:4)+NH4,812.61652,683.5974,169.026
PMeOH(42:5)+NH4,810.60072,681.5816,169.026
PMeOH(42:6)+NH4,808.58512,679.566,169.026
PMeOH(42:7)+NH4,806.56952,677.5504,169.026
PMeOH(42:8)+NH4,804.55382,675.5347,169.026
PMeOH(42:9)+NH4,802.53812,673.519,169.026
PMeOH(43:0)+NH4,834.69462,705.6755,169.026
PMeOH(43:1)+NH4,832.67902,703.6599,169.026
PMeOH(43:2)+NH4,830.66332,701.6442,169.026
PMeOH(43:3)+NH4,828.64762,699.6285,169.026
PMeOH(43:4)+NH4,826.63202,697.6129,169.026
PMeOH(43:5)+NH4,824.61652,695.5974,169.026
PMeOH(43:6)+NH4,822.60072,693.5816,169.026
PMeOH(43:7)+NH4,820.58512,691.566,169.026
PMeOH(43:8)+NH4,818.56952,689.5504,169.026
PMeOH(44:0)+NH4,848.71032,719.6912,169.026
PMeOH(44:1)+NH4,846.69462,717.6755,169.026
PMeOH(44:10)+NH4,828.55382,699.5347,169.026
PMeOH(44:11)+NH4,826.53812,697.519,169.026
PMeOH(44:12)+NH4,824.52252,695.5034,169.026
PMeOH(44:2)+NH4,844.67902,715.6599,169.026
PMeOH(44:3)+NH4,842.66332,713.6442,169.026
PMeOH(44:4)+NH4,840.64762,711.6285,169.026
PMeOH(44:5)+NH4,838.63202,709.6129,169.026
PMeOH(44:6)+NH4,836.61652,707.5974,169.026
PMeOH(44:7)+NH4,834.60072,705.5816,169.026
PMeOH(44:8)+NH4,832.58512,703.566,169.026
PMeOH(44:9)+NH4,830.56952,701.5504,169.026
PMeOH(45:0)+NH4,862.72592,733.7068,169.026
PMeOH(45:1)+NH4,860.71032,731.6912,169.026
PMeOH(45:2)+NH4,858.69462,729.6755,169.026
PMeOH(45:3)+NH4,856.67902,727.6599,169.026
PMeOH(45:4)+NH4,854.66332,725.6442,169.026
PMeOH(45:5)+NH4,852.64762,723.6285,169.026
PMeOH(45:6)+NH4,850.63202,721.6129,169.026
PMeOH(46:0)+NH4,876.74162,747.7225,169.026
PMeOH(46:1)+NH4,874.72592,745.7068,169.026
PMeOH(46:10)+NH4,856.58512,727.566,169.026
PMeOH(46:2)+NH4,872.71032,743.6912,169.026
PMeOH(46:3)+NH4,870.69462,741.6755,169.026
PMeOH(46:4)+NH4,868.67902,739.6599,169.026
PMeOH(46:5)+NH4,866.66332,737.6442,169.026
PMeOH(46:6)+NH4,864.64762,735.6285,169.026
PMeOH(46:7)+NH4,862.63202,733.6129,169.026
PMeOH(46:8)+NH4,860.61652,731.5974,169.026
PMeOH(46:9)+NH4,858.60072,729.5816,169.026
PMeOH(47:0)+NH4,890.75732,761.7382,169.026
PMeOH(47:1)+NH4,888.74162,759.7225,169.026
PMeOH(47:2)+NH4,886.72592,757.7068,169.026
PMeOH(47:3)+NH4,884.71032,755.6912,169.026
PMeOH(47:4)+NH4,882.69462,753.6755,169.026
PMeOH(47:5)+NH4,880.67902,751.6599,169.026
PMeOH(47:6)+NH4,878.66332,749.6442,169.026
PMeOH(48:0)+NH4,904.77292,775.7538,169.026
PMeOH(48:1)+NH4,902.75732,773.7382,169.026
PMeOH(48:10)+NH4,884.61652,755.5974,169.026
PMeOH(48:2)+NH4,900.74162,771.7225,169.026
PMeOH(48:3)+NH4,898.72592,769.7068,169.026
PMeOH(48:4)+NH4,896.71032,767.6912,169.026
PMeOH(48:5)+NH4,894.69462,765.6755,169.026
PMeOH(48:6)+NH4,892.67902,763.6599,169.026
PMeOH(48:7)+NH4,890.66332,761.6442,169.026
PMeOH(48:8)+NH4,888.64762,759.6285,169.026
PMeOH(48:9)+NH4,886.63202,757.6129,169.026
PMeOH(49:0)+NH4,918.78852,789.7694,169.026
PMeOH(49:1)+NH4,916.77292,787.7538,169.026
PMeOH(49:2)+NH4,914.75732,785.7382,169.026
PMeOH(49:3)+NH4,912.74162,783.7225,169.026
PMeOH(49:4)+NH4,910.72592,781.7068,169.026
PMeOH(49:5)+NH4,908.71032,779.6912,169.026
PMeOH(49:6)+NH4,906.69462,777.6755,169.026
PMeOH(50:0)+NH4,932.80432,803.7852,169.026
PMeOH(50:1)+NH4,930.78852,801.7694,169.026
PMeOH(50:2)+NH4,928.77292,799.7538,169.026
PMeOH(50:3)+NH4,926.75732,797.7382,169.026
PMeOH(50:4)+NH4,924.74162,795.7225,169.026
PMeOH(50:5)+NH4,922.72592,793.7068,169.026
PMeOH(50:6)+NH4,920.71032,791.6912,169.026
PMeOH(50:8)+NH4,916.67902,787.6599,169.026
PMeOH(51:0)+NH4,946.81982,817.8007,169.026
PMeOH(51:1)+NH4,944.80432,815.7852,169.026
PMeOH(51:2)+NH4,942.78852,813.7694,169.026
PMeOH(51:4)+NH4,938.75732,809.7382,169.026
PMeOH(52:0)+NH4,960.83542,831.8163,169.026
PMeOH(52:1)+NH4,958.81982,829.8007,169.026
PMeOH(52:2)+NH4,956.80432,827.7852,169.026
PMeOH(52:3)+NH4,954.78852,825.7694,169.026
PMeOH(52:4)+NH4,952.77292,823.7538,169.026
PMeOH(52:5)+NH4,950.75732,821.7382,169.026
PMeOH(52:6)+NH4,948.74162,819.7225,169.026
PMeOH(52:8)+NH4,944.71032,815.6912,169.026
PMeOH(53:0)+NH4,974.85112,845.832,169.026
PMeOH(53:1)+NH4,972.83542,843.8163,169.026
PMeOH(53:2)+NH4,970.81982,841.8007,169.026
PMeOH(53:4)+NH4,966.78852,837.7694,169.026
PMeOH(54:0)+NH4,988.86682,859.8477,169.026
