zymosteryl,[M+NH4]+,[M+H]-H2O,Sterol Fragments,C13H19,C12H17,C11H15,C10H15
zymosteryl palmitoleate +NH4,638.58705,620.55265,409.38285,175.14815,161.13245,147.11685,135.11685
zymosteryl oleate +NH4,666.61835,648.58395,409.38285,175.14815,161.13245,147.11685,135.11685
