Plasmanyl-PC,[M+H]+,MH-PC,PC_Head
Plasmanyl-PC(46:1)+H,914.7936576,731.7276176,184.07332
Plasmanyl-PC(46:2)+H,912.7780576,729.7120176,184.07332
Plasmanyl-PC(46:3)+H,910.7623576,727.6963176,184.07332
Plasmanyl-PC(46:4)+H,908.7466576,725.6806176,184.07332
Plasmanyl-PC(46:5)+H,906.7310576,723.6650176,184.07332
Plasmanyl-PC(46:6)+H,904.7153576,721.6493176,184.07332
Plasmanyl-PC(46:7)+H,902.6997576,719.6337176,184.07332
Plasmanyl-PC(46:8)+H,900.6841576,717.6181176,184.07332
Plasmanyl-PC(47:0)+H,930.8249576,747.7589176,184.07332
Plasmanyl-PC(47:1)+H,928.8093576,745.7433176,184.07332
Plasmanyl-PC(47:2)+H,926.7937576,743.7277176,184.07332
Plasmanyl-PC(48:0)+H,944.8405576,761.7745176,184.07332
Plasmanyl-PC(48:1)+H,942.8249576,759.7589176,184.07332
Plasmanyl-PC(48:2)+H,940.8093576,757.7433176,184.07332
Plasmanyl-PC(48:3)+H,938.7937576,755.7277176,184.07332
Plasmanyl-PC(49:0)+H,958.8562576,775.7902176,184.07332
Plasmanyl-PC(49:1)+H,956.8406576,773.7746176,184.07332
Plasmanyl-PC(49:2)+H,954.8250576,771.7590176,184.07332
Plasmanyl-PC(50:0)+H,972.8718576,789.8058176,184.07332
Plasmanyl-PC(50:1)+H,970.8562576,787.7902176,184.07332
Plasmanyl-PC(50:2)+H,968.8406576,785.7746176,184.07332
