HBMP,[M-H]-,[M-FA3-H]-,[FA3+C3H6O4P-H]-,[FA2-H]-,[FA3-H]-,[FA1-H]-
HBMP(12:0_14:1_20:4)-H,921.6226,617.3824,439.2261,225.186,303.233,199.1704
HBMP(12:0_14:1_20:5)-H,919.607,617.3824,437.2104,225.186,301.2173,199.1704
HBMP(12:0_14:1_22:0)-H,957.7166,617.3824,475.3199,225.186,339.3269,199.1704
HBMP(12:0_14:1_22:1)-H,955.7009,617.3824,473.3043,225.186,337.3112,199.1704
HBMP(12:0_14:1_22:2)-H,953.6852,617.3824,471.2887,225.186,335.2956,199.1704
HBMP(12:0_14:1_22:3)-H,951.6696,617.3824,469.273,225.186,333.2799,199.1704
HBMP(12:0_14:1_22:4)-H,949.6539,617.3824,467.2574,225.186,331.2643,199.1704
HBMP(12:0_14:1_22:5)-H,947.6382,617.3824,465.2417,225.186,329.2486,199.1704
HBMP(12:0_14:1_22:6)-H,945.6226,617.3824,463.2261,225.186,327.233,199.1704
HBMP(12:0_16:0_12:0)-H,847.607,647.4293,335.1635,255.233,199.1704,199.1704
HBMP(12:0_16:0_14:0)-H,875.6382,647.4293,363.1948,255.233,227.2017,199.1704
HBMP(12:0_16:0_14:1)-H,873.6226,647.4293,361.1791,255.233,225.186,199.1704
HBMP(12:0_16:0_16:0)-H,903.6696,647.4293,391.2261,255.233,255.233,199.1704
HBMP(12:0_16:0_16:1)-H,901.6539,647.4293,389.2104,255.233,253.2173,199.1704
HBMP(12:0_16:0_16:2)-H,899.6382,647.4293,387.1948,255.233,251.2017,199.1704
HBMP(12:0_16:0_16:3)-H,897.6226,647.4293,385.1791,255.233,249.186,199.1704
HBMP(12:0_16:0_16:4)-H,895.607,647.4293,383.1635,255.233,247.1704,199.1704
HBMP(12:0_16:0_18:0)-H,931.7009,647.4293,419.2574,255.233,283.2643,199.1704
HBMP(12:0_16:0_18:1)-H,929.6852,647.4293,417.2417,255.233,281.2486,199.1704
HBMP(12:0_16:0_18:2)-H,927.6696,647.4293,415.2261,255.233,279.233,199.1704
HBMP(12:0_16:0_18:3)-H,925.6539,647.4293,413.2104,255.233,277.2173,199.1704
HBMP(12:0_16:0_18:4)-H,923.6382,647.4293,411.1948,255.233,275.2017,199.1704
HBMP(12:0_16:0_18:5)-H,921.6226,647.4293,409.1791,255.233,273.186,199.1704
HBMP(12:0_16:0_20:0)-H,959.7322,647.4293,447.2887,255.233,311.2956,199.1704
HBMP(12:0_16:0_20:1)-H,957.7166,647.4293,445.273,255.233,309.2799,199.1704
HBMP(12:0_16:0_20:2)-H,955.7009,647.4293,443.2574,255.233,307.2643,199.1704
HBMP(12:0_16:0_20:3)-H,953.6852,647.4293,441.2417,255.233,305.2486,199.1704
HBMP(12:0_16:0_20:4)-H,951.6696,647.4293,439.2261,255.233,303.233,199.1704
HBMP(12:0_16:0_20:5)-H,949.6539,647.4293,437.2104,255.233,301.2173,199.1704
HBMP(12:0_16:0_22:0)-H,987.7635,647.4293,475.3199,255.233,339.3269,199.1704
HBMP(12:0_16:0_22:1)-H,985.7478,647.4293,473.3043,255.233,337.3112,199.1704
HBMP(12:0_16:0_22:2)-H,983.7322,647.4293,471.2887,255.233,335.2956,199.1704
HBMP(12:0_16:0_22:3)-H,981.7166,647.4293,469.273,255.233,333.2799,199.1704
HBMP(12:0_16:0_22:4)-H,979.7009,647.4293,467.2574,255.233,331.2643,199.1704
HBMP(12:0_16:0_22:5)-H,977.6852,647.4293,465.2417,255.233,329.2486,199.1704
HBMP(12:0_16:0_22:6)-H,975.6696,647.4293,463.2261,255.233,327.233,199.1704
HBMP(12:0_16:1_12:0)-H,845.5913,645.4137,335.1635,253.2173,199.1704,199.1704
HBMP(12:0_16:1_14:0)-H,873.6226,645.4137,363.1948,253.2173,227.2017,199.1704
HBMP(12:0_16:1_14:1)-H,871.607,645.4137,361.1791,253.2173,225.186,199.1704
HBMP(12:0_16:1_16:0)-H,901.6539,645.4137,391.2261,253.2173,255.233,199.1704
HBMP(12:0_16:1_16:1)-H,899.6382,645.4137,389.2104,253.2173,253.2173,199.1704
HBMP(12:0_16:1_16:2)-H,897.6226,645.4137,387.1948,253.2173,251.2017,199.1704
HBMP(12:0_16:1_16:3)-H,895.607,645.4137,385.1791,253.2173,249.186,199.1704
HBMP(12:0_16:1_16:4)-H,893.5913,645.4137,383.1635,253.2173,247.1704,199.1704
HBMP(12:0_16:1_18:0)-H,929.6852,645.4137,419.2574,253.2173,283.2643,199.1704
HBMP(12:0_16:1_18:1)-H,927.6696,645.4137,417.2417,253.2173,281.2486,199.1704
HBMP(12:0_16:1_18:2)-H,925.6539,645.4137,415.2261,253.2173,279.233,199.1704
HBMP(12:0_16:1_18:3)-H,923.6382,645.4137,413.2104,253.2173,277.2173,199.1704
HBMP(12:0_16:1_18:4)-H,921.6226,645.4137,411.1948,253.2173,275.2017,199.1704
HBMP(12:0_16:1_18:5)-H,919.607,645.4137,409.1791,253.2173,273.186,199.1704
HBMP(12:0_16:1_20:0)-H,957.7166,645.4137,447.2887,253.2173,311.2956,199.1704
HBMP(12:0_16:1_20:1)-H,955.7009,645.4137,445.273,253.2173,309.2799,199.1704
HBMP(12:0_16:1_20:2)-H,953.6852,645.4137,443.2574,253.2173,307.2643,199.1704
HBMP(12:0_16:1_20:3)-H,951.6696,645.4137,441.2417,253.2173,305.2486,199.1704
HBMP(12:0_16:1_20:4)-H,949.6539,645.4137,439.2261,253.2173,303.233,199.1704
HBMP(12:0_16:1_20:5)-H,947.6382,645.4137,437.2104,253.2173,301.2173,199.1704
