HBMP,[M-H]-,[M-FA3-H]-,[FA3+C3H6O4P-H]-,[FA2-H]-,[FA3-H]-,[FA1-H]-
HBMP(16:0_22:6_18:4)-H,1051.701,775.4919,411.1948,327.233,275.2017,255.233
HBMP(16:0_22:6_18:5)-H,1049.685,775.4919,409.1791,327.233,273.186,255.233
HBMP(16:0_22:6_20:0)-H,1087.795,775.4919,447.2887,327.233,311.2956,255.233
HBMP(16:0_22:6_20:1)-H,1085.779,775.4919,445.273,327.233,309.2799,255.233
HBMP(16:0_22:6_20:2)-H,1083.763,775.4919,443.2574,327.233,307.2643,255.233
HBMP(16:0_22:6_20:3)-H,1081.748,775.4919,441.2417,327.233,305.2486,255.233
HBMP(16:0_22:6_20:4)-H,1079.732,775.4919,439.2261,327.233,303.233,255.233
HBMP(16:0_22:6_20:5)-H,1077.717,775.4919,437.2104,327.233,301.2173,255.233
HBMP(16:0_22:6_22:0)-H,1115.826,775.4919,475.3199,327.233,339.3269,255.233
HBMP(16:0_22:6_22:1)-H,1113.81,775.4919,473.3043,327.233,337.3112,255.233
HBMP(16:0_22:6_22:2)-H,1111.795,775.4919,471.2887,327.233,335.2956,255.233
HBMP(16:0_22:6_22:3)-H,1109.779,775.4919,469.273,327.233,333.2799,255.233
HBMP(16:0_22:6_22:4)-H,1107.763,775.4919,467.2574,327.233,331.2643,255.233
HBMP(16:0_22:6_22:5)-H,1105.748,775.4919,465.2417,327.233,329.2486,255.233
HBMP(16:0_22:6_22:6)-H,1103.732,775.4919,463.2261,327.233,327.233,255.233
HBMP(16:1_16:1_12:0)-H,899.6382,699.4606,335.1635,253.2173,199.1704,253.2173
HBMP(16:1_16:1_14:0)-H,927.6696,699.4606,363.1948,253.2173,227.2017,253.2173
HBMP(16:1_16:1_14:1)-H,925.6539,699.4606,361.1791,253.2173,225.186,253.2173
HBMP(16:1_16:1_16:0)-H,955.7009,699.4606,391.2261,253.2173,255.233,253.2173
HBMP(16:1_16:1_16:1)-H,953.6852,699.4606,389.2104,253.2173,253.2173,253.2173
HBMP(16:1_16:1_16:2)-H,951.6696,699.4606,387.1948,253.2173,251.2017,253.2173
HBMP(16:1_16:1_16:3)-H,949.6539,699.4606,385.1791,253.2173,249.186,253.2173
HBMP(16:1_16:1_16:4)-H,947.6382,699.4606,383.1635,253.2173,247.1704,253.2173
HBMP(16:1_16:1_18:0)-H,983.7322,699.4606,419.2574,253.2173,283.2643,253.2173
HBMP(16:1_16:1_18:1)-H,981.7166,699.4606,417.2417,253.2173,281.2486,253.2173
HBMP(16:1_16:1_18:2)-H,979.7009,699.4606,415.2261,253.2173,279.233,253.2173
HBMP(16:1_16:1_18:3)-H,977.6852,699.4606,413.2104,253.2173,277.2173,253.2173
HBMP(16:1_16:1_18:4)-H,975.6696,699.4606,411.1948,253.2173,275.2017,253.2173
HBMP(16:1_16:1_18:5)-H,973.6539,699.4606,409.1791,253.2173,273.186,253.2173
HBMP(16:1_16:1_20:0)-H,1011.763,699.4606,447.2887,253.2173,311.2956,253.2173
HBMP(16:1_16:1_20:1)-H,1009.748,699.4606,445.273,253.2173,309.2799,253.2173
HBMP(16:1_16:1_20:2)-H,1007.732,699.4606,443.2574,253.2173,307.2643,253.2173
HBMP(16:1_16:1_20:3)-H,1005.717,699.4606,441.2417,253.2173,305.2486,253.2173
HBMP(16:1_16:1_20:4)-H,1003.701,699.4606,439.2261,253.2173,303.233,253.2173
HBMP(16:1_16:1_20:5)-H,1001.685,699.4606,437.2104,253.2173,301.2173,253.2173
HBMP(16:1_16:1_22:0)-H,1039.795,699.4606,475.3199,253.2173,339.3269,253.2173
HBMP(16:1_16:1_22:1)-H,1037.779,699.4606,473.3043,253.2173,337.3112,253.2173
HBMP(16:1_16:1_22:2)-H,1035.763,699.4606,471.2887,253.2173,335.2956,253.2173
HBMP(16:1_16:1_22:3)-H,1033.748,699.4606,469.273,253.2173,333.2799,253.2173
HBMP(16:1_16:1_22:4)-H,1031.732,699.4606,467.2574,253.2173,331.2643,253.2173
HBMP(16:1_16:1_22:5)-H,1029.717,699.4606,465.2417,253.2173,329.2486,253.2173
HBMP(16:1_16:1_22:6)-H,1027.701,699.4606,463.2261,253.2173,327.233,253.2173
HBMP(16:1_16:2_12:0)-H,897.6226,697.445,335.1635,251.2017,199.1704,253.2173
HBMP(16:1_16:2_14:0)-H,925.6539,697.445,363.1948,251.2017,227.2017,253.2173
HBMP(16:1_16:2_14:1)-H,923.6382,697.445,361.1791,251.2017,225.186,253.2173
HBMP(16:1_16:2_16:0)-H,953.6852,697.445,391.2261,251.2017,255.233,253.2173
HBMP(16:1_16:2_16:1)-H,951.6696,697.445,389.2104,251.2017,253.2173,253.2173
HBMP(16:1_16:2_16:2)-H,949.6539,697.445,387.1948,251.2017,251.2017,253.2173
HBMP(16:1_16:2_16:3)-H,947.6382,697.445,385.1791,251.2017,249.186,253.2173
HBMP(16:1_16:2_16:4)-H,945.6226,697.445,383.1635,251.2017,247.1704,253.2173
HBMP(16:1_16:2_18:0)-H,981.7166,697.445,419.2574,251.2017,283.2643,253.2173
HBMP(16:1_16:2_18:1)-H,979.7009,697.445,417.2417,251.2017,281.2486,253.2173
HBMP(16:1_16:2_18:2)-H,977.6852,697.445,415.2261,251.2017,279.233,253.2173
HBMP(16:1_16:2_18:3)-H,975.6696,697.445,413.2104,251.2017,277.2173,253.2173
HBMP(16:1_16:2_18:4)-H,973.6539,697.445,411.1948,251.2017,275.2017,253.2173
HBMP(16:1_16:2_18:5)-H,971.6382,697.445,409.1791,251.2017,273.186,253.2173
HBMP(16:1_16:2_20:0)-H,1009.748,697.445,447.2887,251.2017,311.2956,253.2173
HBMP(16:1_16:2_20:1)-H,1007.732,697.445,445.273,251.2017,309.2799,253.2173
HBMP(16:1_16:2_20:2)-H,1005.717,697.445,443.2574,251.2017,307.2643,253.2173
HBMP(16:1_16:2_20:3)-H,1003.701,697.445,441.2417,251.2017,305.2486,253.2173
HBMP(16:1_16:2_20:4)-H,1001.685,697.445,439.2261,251.2017,303.233,253.2173
HBMP(16:1_16:2_20:5)-H,999.6696,697.445,437.2104,251.2017,301.2173,253.2173
HBMP(16:1_16:2_22:0)-H,1037.779,697.445,475.3199,251.2017,339.3269,253.2173
HBMP(16:1_16:2_22:1)-H,1035.763,697.445,473.3043,251.2017,337.3112,253.2173
HBMP(16:1_16:2_22:2)-H,1033.748,697.445,471.2887,251.2017,335.2956,253.2173
HBMP(16:1_16:2_22:3)-H,1031.732,697.445,469.273,251.2017,333.2799,253.2173
HBMP(16:1_16:2_22:4)-H,1029.717,697.445,467.2574,251.2017,331.2643,253.2173
HBMP(16:1_16:2_22:5)-H,1027.701,697.445,465.2417,251.2017,329.2486,253.2173
HBMP(16:1_16:2_22:6)-H,1025.685,697.445,463.2261,251.2017,327.233,253.2173
HBMP(16:1_16:3_12:0)-H,895.607,695.4293,335.1635,249.186,199.1704,253.2173
HBMP(16:1_16:3_14:0)-H,923.6382,695.4293,363.1948,249.186,227.2017,253.2173
HBMP(16:1_16:3_14:1)-H,921.6226,695.4293,361.1791,249.186,225.186,253.2173
HBMP(16:1_16:3_16:0)-H,951.6696,695.4293,391.2261,249.186,255.233,253.2173
HBMP(16:1_16:3_16:1)-H,949.6539,695.4293,389.2104,249.186,253.2173,253.2173
HBMP(16:1_16:3_16:2)-H,947.6382,695.4293,387.1948,249.186,251.2017,253.2173
HBMP(16:1_16:3_16:3)-H,945.6226,695.4293,385.1791,249.186,249.186,253.2173
HBMP(16:1_16:3_16:4)-H,943.607,695.4293,383.1635,249.186,247.1704,253.2173
HBMP(16:1_16:3_18:0)-H,979.7009,695.4293,419.2574,249.186,283.2643,253.2173
HBMP(16:1_16:3_18:1)-H,977.6852,695.4293,417.2417,249.186,281.2486,253.2173
HBMP(16:1_16:3_18:2)-H,975.6696,695.4293,415.2261,249.186,279.233,253.2173
HBMP(16:1_16:3_18:3)-H,973.6539,695.4293,413.2104,249.186,277.2173,253.2173
HBMP(16:1_16:3_18:4)-H,971.6382,695.4293,411.1948,249.186,275.2017,253.2173
HBMP(16:1_16:3_18:5)-H,969.6226,695.4293,409.1791,249.186,273.186,253.2173
HBMP(16:1_16:3_20:0)-H,1007.732,695.4293,447.2887,249.186,311.2956,253.2173
HBMP(16:1_16:3_20:1)-H,1005.717,695.4293,445.273,249.186,309.2799,253.2173
HBMP(16:1_16:3_20:2)-H,1003.701,695.4293,443.2574,249.186,307.2643,253.2173
HBMP(16:1_16:3_20:3)-H,1001.685,695.4293,441.2417,249.186,305.2486,253.2173
HBMP(16:1_16:3_20:4)-H,999.6696,695.4293,439.2261,249.186,303.233,253.2173
HBMP(16:1_16:3_20:5)-H,997.6539,695.4293,437.2104,249.186,301.2173,253.2173
HBMP(16:1_16:3_22:0)-H,1035.763,695.4293,475.3199,249.186,339.3269,253.2173
HBMP(16:1_16:3_22:1)-H,1033.748,695.4293,473.3043,249.186,337.3112,253.2173
HBMP(16:1_16:3_22:2)-H,1031.732,695.4293,471.2887,249.186,335.2956,253.2173
HBMP(16:1_16:3_22:3)-H,1029.717,695.4293,469.273,249.186,333.2799,253.2173
HBMP(16:1_16:3_22:4)-H,1027.701,695.4293,467.2574,249.186,331.2643,253.2173
HBMP(16:1_16:3_22:5)-H,1025.685,695.4293,465.2417,249.186,329.2486,253.2173
HBMP(16:1_16:3_22:6)-H,1023.67,695.4293,463.2261,249.186,327.233,253.2173
HBMP(16:1_16:4_12:0)-H,893.5913,693.4137,335.1635,247.1704,199.1704,253.2173
HBMP(16:1_16:4_14:0)-H,921.6226,693.4137,363.1948,247.1704,227.2017,253.2173
HBMP(16:1_16:4_14:1)-H,919.607,693.4137,361.1791,247.1704,225.186,253.2173
HBMP(16:1_16:4_16:0)-H,949.6539,693.4137,391.2261,247.1704,255.233,253.2173
HBMP(16:1_16:4_16:1)-H,947.6382,693.4137,389.2104,247.1704,253.2173,253.2173
HBMP(16:1_16:4_16:2)-H,945.6226,693.4137,387.1948,247.1704,251.2017,253.2173
HBMP(16:1_16:4_16:3)-H,943.607,693.4137,385.1791,247.1704,249.186,253.2173
HBMP(16:1_16:4_16:4)-H,941.5913,693.4137,383.1635,247.1704,247.1704,253.2173
HBMP(16:1_16:4_18:0)-H,977.6852,693.4137,419.2574,247.1704,283.2643,253.2173
HBMP(16:1_16:4_18:1)-H,975.6696,693.4137,417.2417,247.1704,281.2486,253.2173
HBMP(16:1_16:4_18:2)-H,973.6539,693.4137,415.2261,247.1704,279.233,253.2173
HBMP(16:1_16:4_18:3)-H,971.6382,693.4137,413.2104,247.1704,277.2173,253.2173
HBMP(16:1_16:4_18:4)-H,969.6226,693.4137,411.1948,247.1704,275.2017,253.2173
HBMP(16:1_16:4_18:5)-H,967.607,693.4137,409.1791,247.1704,273.186,253.2173
HBMP(16:1_16:4_20:0)-H,1005.717,693.4137,447.2887,247.1704,311.2956,253.2173
HBMP(16:1_16:4_20:1)-H,1003.701,693.4137,445.273,247.1704,309.2799,253.2173
HBMP(16:1_16:4_20:2)-H,1001.685,693.4137,443.2574,247.1704,307.2643,253.2173
HBMP(16:1_16:4_20:3)-H,999.6696,693.4137,441.2417,247.1704,305.2486,253.2173
HBMP(16:1_16:4_20:4)-H,997.6539,693.4137,439.2261,247.1704,303.233,253.2173
HBMP(16:1_16:4_20:5)-H,995.6382,693.4137,437.2104,247.1704,301.2173,253.2173
HBMP(16:1_16:4_22:0)-H,1033.748,693.4137,475.3199,247.1704,339.3269,253.2173
HBMP(16:1_16:4_22:1)-H,1031.732,693.4137,473.3043,247.1704,337.3112,253.2173
HBMP(16:1_16:4_22:2)-H,1029.717,693.4137,471.2887,247.1704,335.2956,253.2173
HBMP(16:1_16:4_22:3)-H,1027.701,693.4137,469.273,247.1704,333.2799,253.2173
HBMP(16:1_16:4_22:4)-H,1025.685,693.4137,467.2574,247.1704,331.2643,253.2173
HBMP(16:1_16:4_22:5)-H,1023.67,693.4137,465.2417,247.1704,329.2486,253.2173
HBMP(16:1_16:4_22:6)-H,1021.654,693.4137,463.2261,247.1704,327.233,253.2173
HBMP(16:1_18:0_12:0)-H,929.6852,729.5076,335.1635,283.2643,199.1704,253.2173
HBMP(16:1_18:0_14:0)-H,957.7166,729.5076,363.1948,283.2643,227.2017,253.2173
HBMP(16:1_18:0_14:1)-H,955.7009,729.5076,361.1791,283.2643,225.186,253.2173
HBMP(16:1_18:0_16:0)-H,985.7478,729.5076,391.2261,283.2643,255.233,253.2173
HBMP(16:1_18:0_16:1)-H,983.7322,729.5076,389.2104,283.2643,253.2173,253.2173
HBMP(16:1_18:0_16:2)-H,981.7166,729.5076,387.1948,283.2643,251.2017,253.2173
HBMP(16:1_18:0_16:3)-H,979.7009,729.5076,385.1791,283.2643,249.186,253.2173
HBMP(16:1_18:0_16:4)-H,977.6852,729.5076,383.1635,283.2643,247.1704,253.2173
HBMP(16:1_18:0_18:0)-H,1013.779,729.5076,419.2574,283.2643,283.2643,253.2173
HBMP(16:1_18:0_18:1)-H,1011.763,729.5076,417.2417,283.2643,281.2486,253.2173
HBMP(16:1_18:0_18:2)-H,1009.748,729.5076,415.2261,283.2643,279.233,253.2173
HBMP(16:1_18:0_18:3)-H,1007.732,729.5076,413.2104,283.2643,277.2173,253.2173
HBMP(16:1_18:0_18:4)-H,1005.717,729.5076,411.1948,283.2643,275.2017,253.2173
HBMP(16:1_18:0_18:5)-H,1003.701,729.5076,409.1791,283.2643,273.186,253.2173
HBMP(16:1_18:0_20:0)-H,1041.81,729.5076,447.2887,283.2643,311.2956,253.2173
HBMP(16:1_18:0_20:1)-H,1039.795,729.5076,445.273,283.2643,309.2799,253.2173
HBMP(16:1_18:0_20:2)-H,1037.779,729.5076,443.2574,283.2643,307.2643,253.2173
HBMP(16:1_18:0_20:3)-H,1035.763,729.5076,441.2417,283.2643,305.2486,253.2173
HBMP(16:1_18:0_20:4)-H,1033.748,729.5076,439.2261,283.2643,303.233,253.2173
HBMP(16:1_18:0_20:5)-H,1031.732,729.5076,437.2104,283.2643,301.2173,253.2173
HBMP(16:1_18:0_22:0)-H,1069.842,729.5076,475.3199,283.2643,339.3269,253.2173
HBMP(16:1_18:0_22:1)-H,1067.826,729.5076,473.3043,283.2643,337.3112,253.2173
HBMP(16:1_18:0_22:2)-H,1065.81,729.5076,471.2887,283.2643,335.2956,253.2173
HBMP(16:1_18:0_22:3)-H,1063.795,729.5076,469.273,283.2643,333.2799,253.2173
HBMP(16:1_18:0_22:4)-H,1061.779,729.5076,467.2574,283.2643,331.2643,253.2173
HBMP(16:1_18:0_22:5)-H,1059.763,729.5076,465.2417,283.2643,329.2486,253.2173
HBMP(16:1_18:0_22:6)-H,1057.748,729.5076,463.2261,283.2643,327.233,253.2173
HBMP(16:1_18:1_12:0)-H,927.6696,727.4919,335.1635,281.2486,199.1704,253.2173
HBMP(16:1_18:1_14:0)-H,955.7009,727.4919,363.1948,281.2486,227.2017,253.2173
HBMP(16:1_18:1_14:1)-H,953.6852,727.4919,361.1791,281.2486,225.186,253.2173
HBMP(16:1_18:1_16:0)-H,983.7322,727.4919,391.2261,281.2486,255.233,253.2173
HBMP(16:1_18:1_16:1)-H,981.7166,727.4919,389.2104,281.2486,253.2173,253.2173
HBMP(16:1_18:1_16:2)-H,979.7009,727.4919,387.1948,281.2486,251.2017,253.2173
HBMP(16:1_18:1_16:3)-H,977.6852,727.4919,385.1791,281.2486,249.186,253.2173
HBMP(16:1_18:1_16:4)-H,975.6696,727.4919,383.1635,281.2486,247.1704,253.2173
HBMP(16:1_18:1_18:0)-H,1011.763,727.4919,419.2574,281.2486,283.2643,253.2173
HBMP(16:1_18:1_18:1)-H,1009.748,727.4919,417.2417,281.2486,281.2486,253.2173
HBMP(16:1_18:1_18:2)-H,1007.732,727.4919,415.2261,281.2486,279.233,253.2173
HBMP(16:1_18:1_18:3)-H,1005.717,727.4919,413.2104,281.2486,277.2173,253.2173
HBMP(16:1_18:1_18:4)-H,1003.701,727.4919,411.1948,281.2486,275.2017,253.2173
HBMP(16:1_18:1_18:5)-H,1001.685,727.4919,409.1791,281.2486,273.186,253.2173
HBMP(16:1_18:1_20:0)-H,1039.795,727.4919,447.2887,281.2486,311.2956,253.2173
HBMP(16:1_18:1_20:1)-H,1037.779,727.4919,445.273,281.2486,309.2799,253.2173
HBMP(16:1_18:1_20:2)-H,1035.763,727.4919,443.2574,281.2486,307.2643,253.2173
HBMP(16:1_18:1_20:3)-H,1033.748,727.4919,441.2417,281.2486,305.2486,253.2173
HBMP(16:1_18:1_20:4)-H,1031.732,727.4919,439.2261,281.2486,303.233,253.2173
HBMP(16:1_18:1_20:5)-H,1029.717,727.4919,437.2104,281.2486,301.2173,253.2173
HBMP(16:1_18:1_22:0)-H,1067.826,727.4919,475.3199,281.2486,339.3269,253.2173
HBMP(16:1_18:1_22:1)-H,1065.81,727.4919,473.3043,281.2486,337.3112,253.2173
HBMP(16:1_18:1_22:2)-H,1063.795,727.4919,471.2887,281.2486,335.2956,253.2173
HBMP(16:1_18:1_22:3)-H,1061.779,727.4919,469.273,281.2486,333.2799,253.2173
HBMP(16:1_18:1_22:4)-H,1059.763,727.4919,467.2574,281.2486,331.2643,253.2173
HBMP(16:1_18:1_22:5)-H,1057.748,727.4919,465.2417,281.2486,329.2486,253.2173
HBMP(16:1_18:1_22:6)-H,1055.732,727.4919,463.2261,281.2486,327.233,253.2173
HBMP(16:1_18:2_12:0)-H,925.6539,725.4763,335.1635,279.233,199.1704,253.2173
HBMP(16:1_18:2_14:0)-H,953.6852,725.4763,363.1948,279.233,227.2017,253.2173
HBMP(16:1_18:2_14:1)-H,951.6696,725.4763,361.1791,279.233,225.186,253.2173
HBMP(16:1_18:2_16:0)-H,981.7166,725.4763,391.2261,279.233,255.233,253.2173
HBMP(16:1_18:2_16:1)-H,979.7009,725.4763,389.2104,279.233,253.2173,253.2173
HBMP(16:1_18:2_16:2)-H,977.6852,725.4763,387.1948,279.233,251.2017,253.2173
HBMP(16:1_18:2_16:3)-H,975.6696,725.4763,385.1791,279.233,249.186,253.2173
HBMP(16:1_18:2_16:4)-H,973.6539,725.4763,383.1635,279.233,247.1704,253.2173
HBMP(16:1_18:2_18:0)-H,1009.748,725.4763,419.2574,279.233,283.2643,253.2173
HBMP(16:1_18:2_18:1)-H,1007.732,725.4763,417.2417,279.233,281.2486,253.2173
HBMP(16:1_18:2_18:2)-H,1005.717,725.4763,415.2261,279.233,279.233,253.2173
HBMP(16:1_18:2_18:3)-H,1003.701,725.4763,413.2104,279.233,277.2173,253.2173
HBMP(16:1_18:2_18:4)-H,1001.685,725.4763,411.1948,279.233,275.2017,253.2173
HBMP(16:1_18:2_18:5)-H,999.6696,725.4763,409.1791,279.233,273.186,253.2173
HBMP(16:1_18:2_20:0)-H,1037.779,725.4763,447.2887,279.233,311.2956,253.2173
HBMP(16:1_18:2_20:1)-H,1035.763,725.4763,445.273,279.233,309.2799,253.2173
HBMP(16:1_18:2_20:2)-H,1033.748,725.4763,443.2574,279.233,307.2643,253.2173
HBMP(16:1_18:2_20:3)-H,1031.732,725.4763,441.2417,279.233,305.2486,253.2173
HBMP(16:1_18:2_20:4)-H,1029.717,725.4763,439.2261,279.233,303.233,253.2173
HBMP(16:1_18:2_20:5)-H,1027.701,725.4763,437.2104,279.233,301.2173,253.2173
HBMP(16:1_18:2_22:0)-H,1065.81,725.4763,475.3199,279.233,339.3269,253.2173
HBMP(16:1_18:2_22:1)-H,1063.795,725.4763,473.3043,279.233,337.3112,253.2173
HBMP(16:1_18:2_22:2)-H,1061.779,725.4763,471.2887,279.233,335.2956,253.2173
HBMP(16:1_18:2_22:3)-H,1059.763,725.4763,469.273,279.233,333.2799,253.2173
HBMP(16:1_18:2_22:4)-H,1057.748,725.4763,467.2574,279.233,331.2643,253.2173
HBMP(16:1_18:2_22:5)-H,1055.732,725.4763,465.2417,279.233,329.2486,253.2173
HBMP(16:1_18:2_22:6)-H,1053.717,725.4763,463.2261,279.233,327.233,253.2173
HBMP(16:1_18:3_12:0)-H,923.6382,723.4606,335.1635,277.2173,199.1704,253.2173
HBMP(16:1_18:3_14:0)-H,951.6696,723.4606,363.1948,277.2173,227.2017,253.2173
HBMP(16:1_18:3_14:1)-H,949.6539,723.4606,361.1791,277.2173,225.186,253.2173
HBMP(16:1_18:3_16:0)-H,979.7009,723.4606,391.2261,277.2173,255.233,253.2173
HBMP(16:1_18:3_16:1)-H,977.6852,723.4606,389.2104,277.2173,253.2173,253.2173
HBMP(16:1_18:3_16:2)-H,975.6696,723.4606,387.1948,277.2173,251.2017,253.2173
HBMP(16:1_18:3_16:3)-H,973.6539,723.4606,385.1791,277.2173,249.186,253.2173
HBMP(16:1_18:3_16:4)-H,971.6382,723.4606,383.1635,277.2173,247.1704,253.2173
HBMP(16:1_18:3_18:0)-H,1007.732,723.4606,419.2574,277.2173,283.2643,253.2173
HBMP(16:1_18:3_18:1)-H,1005.717,723.4606,417.2417,277.2173,281.2486,253.2173
HBMP(16:1_18:3_18:2)-H,1003.701,723.4606,415.2261,277.2173,279.233,253.2173
HBMP(16:1_18:3_18:3)-H,1001.685,723.4606,413.2104,277.2173,277.2173,253.2173
HBMP(16:1_18:3_18:4)-H,999.6696,723.4606,411.1948,277.2173,275.2017,253.2173
HBMP(16:1_18:3_18:5)-H,997.6539,723.4606,409.1791,277.2173,273.186,253.2173
HBMP(16:1_18:3_20:0)-H,1035.763,723.4606,447.2887,277.2173,311.2956,253.2173
HBMP(16:1_18:3_20:1)-H,1033.748,723.4606,445.273,277.2173,309.2799,253.2173
HBMP(16:1_18:3_20:2)-H,1031.732,723.4606,443.2574,277.2173,307.2643,253.2173
HBMP(16:1_18:3_20:3)-H,1029.717,723.4606,441.2417,277.2173,305.2486,253.2173
HBMP(16:1_18:3_20:4)-H,1027.701,723.4606,439.2261,277.2173,303.233,253.2173
HBMP(16:1_18:3_20:5)-H,1025.685,723.4606,437.2104,277.2173,301.2173,253.2173
HBMP(16:1_18:3_22:0)-H,1063.795,723.4606,475.3199,277.2173,339.3269,253.2173
HBMP(16:1_18:3_22:1)-H,1061.779,723.4606,473.3043,277.2173,337.3112,253.2173
HBMP(16:1_18:3_22:2)-H,1059.763,723.4606,471.2887,277.2173,335.2956,253.2173
HBMP(16:1_18:3_22:3)-H,1057.748,723.4606,469.273,277.2173,333.2799,253.2173
HBMP(16:1_18:3_22:4)-H,1055.732,723.4606,467.2574,277.2173,331.2643,253.2173
HBMP(16:1_18:3_22:5)-H,1053.717,723.4606,465.2417,277.2173,329.2486,253.2173
HBMP(16:1_18:3_22:6)-H,1051.701,723.4606,463.2261,277.2173,327.233,253.2173
HBMP(16:1_18:4_12:0)-H,921.6226,721.445,335.1635,275.2017,199.1704,253.2173
HBMP(16:1_18:4_14:0)-H,949.6539,721.445,363.1948,275.2017,227.2017,253.2173
HBMP(16:1_18:4_14:1)-H,947.6382,721.445,361.1791,275.2017,225.186,253.2173
HBMP(16:1_18:4_16:0)-H,977.6852,721.445,391.2261,275.2017,255.233,253.2173
HBMP(16:1_18:4_16:1)-H,975.6696,721.445,389.2104,275.2017,253.2173,253.2173
HBMP(16:1_18:4_16:2)-H,973.6539,721.445,387.1948,275.2017,251.2017,253.2173
HBMP(16:1_18:4_16:3)-H,971.6382,721.445,385.1791,275.2017,249.186,253.2173
HBMP(16:1_18:4_16:4)-H,969.6226,721.445,383.1635,275.2017,247.1704,253.2173
HBMP(16:1_18:4_18:0)-H,1005.717,721.445,419.2574,275.2017,283.2643,253.2173
HBMP(16:1_18:4_18:1)-H,1003.701,721.445,417.2417,275.2017,281.2486,253.2173
HBMP(16:1_18:4_18:2)-H,1001.685,721.445,415.2261,275.2017,279.233,253.2173
HBMP(16:1_18:4_18:3)-H,999.6696,721.445,413.2104,275.2017,277.2173,253.2173
HBMP(16:1_18:4_18:4)-H,997.6539,721.445,411.1948,275.2017,275.2017,253.2173
HBMP(16:1_18:4_18:5)-H,995.6382,721.445,409.1791,275.2017,273.186,253.2173
HBMP(16:1_18:4_20:0)-H,1033.748,721.445,447.2887,275.2017,311.2956,253.2173
HBMP(16:1_18:4_20:1)-H,1031.732,721.445,445.273,275.2017,309.2799,253.2173
HBMP(16:1_18:4_20:2)-H,1029.717,721.445,443.2574,275.2017,307.2643,253.2173
HBMP(16:1_18:4_20:3)-H,1027.701,721.445,441.2417,275.2017,305.2486,253.2173
HBMP(16:1_18:4_20:4)-H,1025.685,721.445,439.2261,275.2017,303.233,253.2173
HBMP(16:1_18:4_20:5)-H,1023.67,721.445,437.2104,275.2017,301.2173,253.2173
HBMP(16:1_18:4_22:0)-H,1061.779,721.445,475.3199,275.2017,339.3269,253.2173
HBMP(16:1_18:4_22:1)-H,1059.763,721.445,473.3043,275.2017,337.3112,253.2173
HBMP(16:1_18:4_22:2)-H,1057.748,721.445,471.2887,275.2017,335.2956,253.2173
HBMP(16:1_18:4_22:3)-H,1055.732,721.445,469.273,275.2017,333.2799,253.2173
HBMP(16:1_18:4_22:4)-H,1053.717,721.445,467.2574,275.2017,331.2643,253.2173
HBMP(16:1_18:4_22:5)-H,1051.701,721.445,465.2417,275.2017,329.2486,253.2173
HBMP(16:1_18:4_22:6)-H,1049.685,721.445,463.2261,275.2017,327.233,253.2173
HBMP(16:1_18:5_12:0)-H,919.607,719.4293,335.1635,273.186,199.1704,253.2173
HBMP(16:1_18:5_14:0)-H,947.6382,719.4293,363.1948,273.186,227.2017,253.2173
HBMP(16:1_18:5_14:1)-H,945.6226,719.4293,361.1791,273.186,225.186,253.2173
HBMP(16:1_18:5_16:0)-H,975.6696,719.4293,391.2261,273.186,255.233,253.2173
HBMP(16:1_18:5_16:1)-H,973.6539,719.4293,389.2104,273.186,253.2173,253.2173
HBMP(16:1_18:5_16:2)-H,971.6382,719.4293,387.1948,273.186,251.2017,253.2173
HBMP(16:1_18:5_16:3)-H,969.6226,719.4293,385.1791,273.186,249.186,253.2173
HBMP(16:1_18:5_16:4)-H,967.607,719.4293,383.1635,273.186,247.1704,253.2173
HBMP(16:1_18:5_18:0)-H,1003.701,719.4293,419.2574,273.186,283.2643,253.2173
HBMP(16:1_18:5_18:1)-H,1001.685,719.4293,417.2417,273.186,281.2486,253.2173
HBMP(16:1_18:5_18:2)-H,999.6696,719.4293,415.2261,273.186,279.233,253.2173
HBMP(16:1_18:5_18:3)-H,997.6539,719.4293,413.2104,273.186,277.2173,253.2173
HBMP(16:1_18:5_18:4)-H,995.6382,719.4293,411.1948,273.186,275.2017,253.2173
HBMP(16:1_18:5_18:5)-H,993.6226,719.4293,409.1791,273.186,273.186,253.2173
HBMP(16:1_18:5_20:0)-H,1031.732,719.4293,447.2887,273.186,311.2956,253.2173
HBMP(16:1_18:5_20:1)-H,1029.717,719.4293,445.273,273.186,309.2799,253.2173
HBMP(16:1_18:5_20:2)-H,1027.701,719.4293,443.2574,273.186,307.2643,253.2173
HBMP(16:1_18:5_20:3)-H,1025.685,719.4293,441.2417,273.186,305.2486,253.2173
HBMP(16:1_18:5_20:4)-H,1023.67,719.4293,439.2261,273.186,303.233,253.2173
HBMP(16:1_18:5_20:5)-H,1021.654,719.4293,437.2104,273.186,301.2173,253.2173
HBMP(16:1_18:5_22:0)-H,1059.763,719.4293,475.3199,273.186,339.3269,253.2173
HBMP(16:1_18:5_22:1)-H,1057.748,719.4293,473.3043,273.186,337.3112,253.2173
HBMP(16:1_18:5_22:2)-H,1055.732,719.4293,471.2887,273.186,335.2956,253.2173
HBMP(16:1_18:5_22:3)-H,1053.717,719.4293,469.273,273.186,333.2799,253.2173
HBMP(16:1_18:5_22:4)-H,1051.701,719.4293,467.2574,273.186,331.2643,253.2173
