CL,[M-2H+3Na]+,SN1 acyl loss,SN2 acyl loss,SN3 acyl loss,SN4 acyl loss
CL(14:0_18:2_20:4_22:6)-2H+3Na,1535.894596,1307.685796,1255.654516,1231.654516,1207.654516
CL(14:0_18:2_22:0_22:0)-2H+3Na,1584.082397,1355.873597,1303.842317,1243.748477,1243.748477
CL(14:0_18:2_22:0_22:5)-2H+3Na,1574.004146,1345.795346,1293.764066,1233.670226,1243.748426
CL(14:0_18:2_22:0_22:6)-2H+3Na,1571.988496,1343.779696,1291.748416,1231.654576,1243.748416
CL(14:0_18:2_22:5_22:5)-2H+3Na,1563.925896,1335.717096,1283.685816,1233.670176,1233.670176
CL(14:0_18:2_22:5_22:6)-2H+3Na,1561.910246,1333.701446,1281.670166,1231.654526,1233.670166
CL(14:0_18:2_22:6_22:6)-2H+3Na,1559.894596,1331.685796,1279.654516,1231.654516,1231.654516
CL(14:0_18:3_18:3_18:3)-2H+3Na,1457.847646,1229.638846,1179.623206,1179.623206,1179.623206
CL(14:0_18:3_18:3_20:0)-2H+3Na,1491.925896,1263.717096,1213.701456,1213.701456,1179.623256
CL(14:0_18:3_18:3_20:1)-2H+3Na,1489.910246,1261.701446,1211.685806,1211.685806,1179.623246
CL(14:0_18:3_18:3_20:2)-2H+3Na,1487.894596,1259.685796,1209.670156,1209.670156,1179.623236
CL(14:0_18:3_18:3_20:3)-2H+3Na,1485.878946,1257.670146,1207.654506,1207.654506,1179.623226
CL(14:0_18:3_18:3_20:4)-2H+3Na,1483.863296,1255.654496,1205.638856,1205.638856,1179.623216
CL(14:0_18:3_18:3_22:0)-2H+3Na,1519.957196,1291.748396,1241.732756,1241.732756,1179.623276
CL(14:0_18:3_18:3_22:5)-2H+3Na,1509.878946,1281.670146,1231.654506,1231.654506,1179.623226
CL(14:0_18:3_18:3_22:6)-2H+3Na,1507.863296,1279.654496,1229.638856,1229.638856,1179.623216
CL(14:0_18:3_20:0_20:0)-2H+3Na,1526.004146,1297.795346,1247.779706,1213.701506,1213.701506
CL(14:0_18:3_20:0_20:1)-2H+3Na,1523.988496,1295.779696,1245.764056,1211.685856,1213.701496
CL(14:0_18:3_20:0_20:2)-2H+3Na,1521.972846,1293.764046,1243.748406,1209.670206,1213.701486
CL(14:0_18:3_20:0_20:3)-2H+3Na,1519.957196,1291.748396,1241.732756,1207.654556,1213.701476
CL(14:0_18:3_20:0_20:4)-2H+3Na,1517.941546,1289.732746,1239.717106,1205.638906,1213.701466
CL(14:0_18:3_20:0_22:0)-2H+3Na,1554.035447,1325.826647,1275.811007,1241.732807,1213.701527
CL(14:0_18:3_20:0_22:5)-2H+3Na,1543.957196,1315.748396,1265.732756,1231.654556,1213.701476
CL(14:0_18:3_20:0_22:6)-2H+3Na,1541.941546,1313.732746,1263.717106,1229.638906,1213.701466
CL(14:0_18:3_20:1_20:1)-2H+3Na,1521.972846,1293.764046,1243.748406,1211.685846,1211.685846
CL(14:0_18:3_20:1_20:2)-2H+3Na,1519.957196,1291.748396,1241.732756,1209.670196,1211.685836
CL(14:0_18:3_20:1_20:3)-2H+3Na,1517.941546,1289.732746,1239.717106,1207.654546,1211.685826
CL(14:0_18:3_20:1_20:4)-2H+3Na,1515.925896,1287.717096,1237.701456,1205.638896,1211.685816
CL(14:0_18:3_20:1_22:0)-2H+3Na,1552.019797,1323.810997,1273.795357,1241.732797,1211.685877
CL(14:0_18:3_20:1_22:5)-2H+3Na,1541.941546,1313.732746,1263.717106,1231.654546,1211.685826
CL(14:0_18:3_20:1_22:6)-2H+3Na,1539.925896,1311.717096,1261.701456,1229.638896,1211.685816
CL(14:0_18:3_20:2_20:2)-2H+3Na,1517.941546,1289.732746,1239.717106,1209.670186,1209.670186
CL(14:0_18:3_20:2_20:3)-2H+3Na,1515.925896,1287.717096,1237.701456,1207.654536,1209.670176
CL(14:0_18:3_20:2_20:4)-2H+3Na,1513.910246,1285.701446,1235.685806,1205.638886,1209.670166
CL(14:0_18:3_20:2_22:0)-2H+3Na,1550.004146,1321.795346,1271.779706,1241.732786,1209.670226
CL(14:0_18:3_20:2_22:5)-2H+3Na,1539.925896,1311.717096,1261.701456,1231.654536,1209.670176
CL(14:0_18:3_20:2_22:6)-2H+3Na,1537.910246,1309.701446,1259.685806,1229.638886,1209.670166
CL(14:0_18:3_20:3_20:3)-2H+3Na,1513.910246,1285.701446,1235.685806,1207.654526,1207.654526
CL(14:0_18:3_20:3_20:4)-2H+3Na,1511.894596,1283.685796,1233.670156,1205.638876,1207.654516
CL(14:0_18:3_20:3_22:0)-2H+3Na,1547.988496,1319.779696,1269.764056,1241.732776,1207.654576
CL(14:0_18:3_20:3_22:5)-2H+3Na,1537.910246,1309.701446,1259.685806,1231.654526,1207.654526
CL(14:0_18:3_20:3_22:6)-2H+3Na,1535.894596,1307.685796,1257.670156,1229.638876,1207.654516
CL(14:0_18:3_20:4_20:4)-2H+3Na,1509.878946,1281.670146,1231.654506,1205.638866,1205.638866
CL(14:0_18:3_20:4_22:0)-2H+3Na,1545.972846,1317.764046,1267.748406,1241.732766,1205.638926
CL(14:0_18:3_20:4_22:5)-2H+3Na,1535.894596,1307.685796,1257.670156,1231.654516,1205.638876
CL(14:0_18:3_20:4_22:6)-2H+3Na,1533.878946,1305.670146,1255.654506,1229.638866,1205.638866
CL(14:0_18:3_22:0_22:0)-2H+3Na,1582.066747,1353.857947,1303.842307,1241.732827,1241.732827
CL(14:0_18:3_22:0_22:5)-2H+3Na,1571.988496,1343.779696,1293.764056,1231.654576,1241.732776
CL(14:0_18:3_22:0_22:6)-2H+3Na,1569.972846,1341.764046,1291.748406,1229.638926,1241.732766
CL(14:0_18:3_22:5_22:5)-2H+3Na,1561.910246,1333.701446,1283.685806,1231.654526,1231.654526
CL(14:0_18:3_22:5_22:6)-2H+3Na,1559.894596,1331.685796,1281.670156,1229.638876,1231.654516
CL(14:0_18:3_22:6_22:6)-2H+3Na,1557.878946,1329.670146,1279.654506,1229.638866,1229.638866
CL(14:0_20:0_20:0_20:0)-2H+3Na,1560.082397,1331.873597,1247.779757,1247.779757,1247.779757
CL(14:0_20:0_20:0_20:1)-2H+3Na,1558.066747,1329.857947,1245.764107,1245.764107,1247.779747
CL(14:0_20:0_20:0_20:2)-2H+3Na,1556.051097,1327.842297,1243.748457,1243.748457,1247.779737
CL(14:0_20:0_20:0_20:3)-2H+3Na,1554.035447,1325.826647,1241.732807,1241.732807,1247.779727
CL(14:0_20:0_20:0_20:4)-2H+3Na,1552.019797,1323.810997,1239.717157,1239.717157,1247.779717
CL(14:0_20:0_20:0_22:0)-2H+3Na,1588.113697,1359.904897,1275.811057,1275.811057,1247.779777
CL(14:0_20:0_20:0_22:5)-2H+3Na,1578.035447,1349.826647,1265.732807,1265.732807,1247.779727
CL(14:0_20:0_20:0_22:6)-2H+3Na,1576.019797,1347.810997,1263.717157,1263.717157,1247.779717
CL(14:0_20:0_20:1_20:1)-2H+3Na,1556.051097,1327.842297,1243.748457,1245.764097,1245.764097
CL(14:0_20:0_20:1_20:2)-2H+3Na,1554.035447,1325.826647,1241.732807,1243.748447,1245.764087
CL(14:0_20:0_20:1_20:3)-2H+3Na,1552.019797,1323.810997,1239.717157,1241.732797,1245.764077
CL(14:0_20:0_20:1_20:4)-2H+3Na,1550.004146,1321.795346,1237.701506,1239.717146,1245.764066
CL(14:0_20:0_20:1_22:0)-2H+3Na,1586.098047,1357.889247,1273.795407,1275.811047,1245.764127
CL(14:0_20:0_20:1_22:5)-2H+3Na,1576.019797,1347.810997,1263.717157,1265.732797,1245.764077
CL(14:0_20:0_20:1_22:6)-2H+3Na,1574.004146,1345.795346,1261.701506,1263.717146,1245.764066
CL(14:0_20:0_20:2_20:2)-2H+3Na,1552.019797,1323.810997,1239.717157,1243.748437,1243.748437
CL(14:0_20:0_20:2_20:3)-2H+3Na,1550.004146,1321.795346,1237.701506,1241.732786,1243.748426
CL(14:0_20:0_20:2_20:4)-2H+3Na,1547.988496,1319.779696,1235.685856,1239.717136,1243.748416
CL(14:0_20:0_20:2_22:0)-2H+3Na,1584.082397,1355.873597,1271.779757,1275.811037,1243.748477
CL(14:0_20:0_20:2_22:5)-2H+3Na,1574.004146,1345.795346,1261.701506,1265.732786,1243.748426
CL(14:0_20:0_20:2_22:6)-2H+3Na,1571.988496,1343.779696,1259.685856,1263.717136,1243.748416
CL(14:0_20:0_20:3_20:3)-2H+3Na,1547.988496,1319.779696,1235.685856,1241.732776,1241.732776
CL(14:0_20:0_20:3_20:4)-2H+3Na,1545.972846,1317.764046,1233.670206,1239.717126,1241.732766
CL(14:0_20:0_20:3_22:0)-2H+3Na,1582.066747,1353.857947,1269.764107,1275.811027,1241.732827
CL(14:0_20:0_20:3_22:5)-2H+3Na,1571.988496,1343.779696,1259.685856,1265.732776,1241.732776
CL(14:0_20:0_20:3_22:6)-2H+3Na,1569.972846,1341.764046,1257.670206,1263.717126,1241.732766
CL(14:0_20:0_20:4_20:4)-2H+3Na,1543.957196,1315.748396,1231.654556,1239.717116,1239.717116
CL(14:0_20:0_20:4_22:0)-2H+3Na,1580.051097,1351.842297,1267.748457,1275.811017,1239.717177
CL(14:0_20:0_20:4_22:5)-2H+3Na,1569.972846,1341.764046,1257.670206,1265.732766,1239.717126
CL(14:0_20:0_20:4_22:6)-2H+3Na,1567.957196,1339.748396,1255.654556,1263.717116,1239.717116
CL(14:0_20:0_22:0_22:0)-2H+3Na,1616.144997,1387.936197,1303.842357,1275.811077,1275.811077
CL(14:0_20:0_22:0_22:5)-2H+3Na,1606.066747,1377.857947,1293.764107,1265.732827,1275.811027
CL(14:0_20:0_22:0_22:6)-2H+3Na,1604.051097,1375.842297,1291.748457,1263.717177,1275.811017
CL(14:0_20:0_22:5_22:5)-2H+3Na,1595.988496,1367.779696,1283.685856,1265.732776,1265.732776
CL(14:0_20:0_22:5_22:6)-2H+3Na,1593.972846,1365.764046,1281.670206,1263.717126,1265.732766
CL(14:0_20:0_22:6_22:6)-2H+3Na,1591.957196,1363.748396,1279.654556,1263.717116,1263.717116
CL(14:0_20:1_20:1_20:1)-2H+3Na,1554.035447,1325.826647,1243.748447,1243.748447,1243.748447
CL(14:0_20:1_20:1_20:2)-2H+3Na,1552.019797,1323.810997,1241.732797,1241.732797,1243.748437
CL(14:0_20:1_20:1_20:3)-2H+3Na,1550.004146,1321.795346,1239.717146,1239.717146,1243.748426
CL(14:0_20:1_20:1_20:4)-2H+3Na,1547.988496,1319.779696,1237.701496,1237.701496,1243.748416
CL(14:0_20:1_20:1_22:0)-2H+3Na,1584.082397,1355.873597,1273.795397,1273.795397,1243.748477
CL(14:0_20:1_20:1_22:5)-2H+3Na,1574.004146,1345.795346,1263.717146,1263.717146,1243.748426
CL(14:0_20:1_20:1_22:6)-2H+3Na,1571.988496,1343.779696,1261.701496,1261.701496,1243.748416
CL(14:0_20:1_20:2_20:2)-2H+3Na,1550.004146,1321.795346,1239.717146,1241.732786,1241.732786
CL(14:0_20:1_20:2_20:3)-2H+3Na,1547.988496,1319.779696,1237.701496,1239.717136,1241.732776
CL(14:0_20:1_20:2_20:4)-2H+3Na,1545.972846,1317.764046,1235.685846,1237.701486,1241.732766
CL(14:0_20:1_20:2_22:0)-2H+3Na,1582.066747,1353.857947,1271.779747,1273.795387,1241.732827
CL(14:0_20:1_20:2_22:5)-2H+3Na,1571.988496,1343.779696,1261.701496,1263.717136,1241.732776
CL(14:0_20:1_20:2_22:6)-2H+3Na,1569.972846,1341.764046,1259.685846,1261.701486,1241.732766
CL(14:0_20:1_20:3_20:3)-2H+3Na,1545.972846,1317.764046,1235.685846,1239.717126,1239.717126
CL(14:0_20:1_20:3_20:4)-2H+3Na,1543.957196,1315.748396,1233.670196,1237.701476,1239.717116
CL(14:0_20:1_20:3_22:0)-2H+3Na,1580.051097,1351.842297,1269.764097,1273.795377,1239.717177
CL(14:0_20:1_20:3_22:5)-2H+3Na,1569.972846,1341.764046,1259.685846,1263.717126,1239.717126
CL(14:0_20:1_20:3_22:6)-2H+3Na,1567.957196,1339.748396,1257.670196,1261.701476,1239.717116
CL(14:0_20:1_20:4_20:4)-2H+3Na,1541.941546,1313.732746,1231.654546,1237.701466,1237.701466
CL(14:0_20:1_20:4_22:0)-2H+3Na,1578.035447,1349.826647,1267.748447,1273.795367,1237.701527
CL(14:0_20:1_20:4_22:5)-2H+3Na,1567.957196,1339.748396,1257.670196,1263.717116,1237.701476
CL(14:0_20:1_20:4_22:6)-2H+3Na,1565.941546,1337.732746,1255.654546,1261.701466,1237.701466
CL(14:0_20:1_22:0_22:0)-2H+3Na,1614.129347,1385.920547,1303.842347,1273.795427,1273.795427
CL(14:0_20:1_22:0_22:5)-2H+3Na,1604.051097,1375.842297,1293.764097,1263.717177,1273.795377
CL(14:0_20:1_22:0_22:6)-2H+3Na,1602.035447,1373.826647,1291.748447,1261.701527,1273.795367
CL(14:0_20:1_22:5_22:5)-2H+3Na,1593.972846,1365.764046,1283.685846,1263.717126,1263.717126
CL(14:0_20:1_22:5_22:6)-2H+3Na,1591.957196,1363.748396,1281.670196,1261.701476,1263.717116
CL(14:0_20:1_22:6_22:6)-2H+3Na,1589.941546,1361.732746,1279.654546,1261.701466,1261.701466
CL(14:0_20:2_20:2_20:2)-2H+3Na,1547.988496,1319.779696,1239.717136,1239.717136,1239.717136
CL(14:0_20:2_20:2_20:3)-2H+3Na,1545.972846,1317.764046,1237.701486,1237.701486,1239.717126
CL(14:0_20:2_20:2_20:4)-2H+3Na,1543.957196,1315.748396,1235.685836,1235.685836,1239.717116
CL(14:0_20:2_20:2_22:0)-2H+3Na,1580.051097,1351.842297,1271.779737,1271.779737,1239.717177
CL(14:0_20:2_20:2_22:5)-2H+3Na,1569.972846,1341.764046,1261.701486,1261.701486,1239.717126
CL(14:0_20:2_20:2_22:6)-2H+3Na,1567.957196,1339.748396,1259.685836,1259.685836,1239.717116
CL(14:0_20:2_20:3_20:3)-2H+3Na,1543.957196,1315.748396,1235.685836,1237.701476,1237.701476
CL(14:0_20:2_20:3_20:4)-2H+3Na,1541.941546,1313.732746,1233.670186,1235.685826,1237.701466
CL(14:0_20:2_20:3_22:0)-2H+3Na,1578.035447,1349.826647,1269.764087,1271.779727,1237.701527
CL(14:0_20:2_20:3_22:5)-2H+3Na,1567.957196,1339.748396,1259.685836,1261.701476,1237.701476
CL(14:0_20:2_20:3_22:6)-2H+3Na,1565.941546,1337.732746,1257.670186,1259.685826,1237.701466
CL(14:0_20:2_20:4_20:4)-2H+3Na,1539.925896,1311.717096,1231.654536,1235.685816,1235.685816
CL(14:0_20:2_20:4_22:0)-2H+3Na,1576.019797,1347.810997,1267.748437,1271.779717,1235.685877
CL(14:0_20:2_20:4_22:5)-2H+3Na,1565.941546,1337.732746,1257.670186,1261.701466,1235.685826
CL(14:0_20:2_20:4_22:6)-2H+3Na,1563.925896,1335.717096,1255.654536,1259.685816,1235.685816
CL(14:0_20:2_22:0_22:0)-2H+3Na,1612.113697,1383.904897,1303.842337,1271.779777,1271.779777
CL(14:0_20:2_22:0_22:5)-2H+3Na,1602.035447,1373.826647,1293.764087,1261.701527,1271.779727
CL(14:0_20:2_22:0_22:6)-2H+3Na,1600.019797,1371.810997,1291.748437,1259.685877,1271.779717
CL(14:0_20:2_22:5_22:5)-2H+3Na,1591.957196,1363.748396,1283.685836,1261.701476,1261.701476
CL(14:0_20:2_22:5_22:6)-2H+3Na,1589.941546,1361.732746,1281.670186,1259.685826,1261.701466
CL(14:0_20:2_22:6_22:6)-2H+3Na,1587.925896,1359.717096,1279.654536,1259.685816,1259.685816
CL(14:0_20:3_20:3_20:3)-2H+3Na,1541.941546,1313.732746,1235.685826,1235.685826,1235.685826
CL(14:0_20:3_20:3_20:4)-2H+3Na,1539.925896,1311.717096,1233.670176,1233.670176,1235.685816
CL(14:0_20:3_20:3_22:0)-2H+3Na,1576.019797,1347.810997,1269.764077,1269.764077,1235.685877
CL(14:0_20:3_20:3_22:5)-2H+3Na,1565.941546,1337.732746,1259.685826,1259.685826,1235.685826
CL(14:0_20:3_20:3_22:6)-2H+3Na,1563.925896,1335.717096,1257.670176,1257.670176,1235.685816
CL(14:0_20:3_20:4_20:4)-2H+3Na,1537.910246,1309.701446,1231.654526,1233.670166,1233.670166
CL(14:0_20:3_20:4_22:0)-2H+3Na,1574.004146,1345.795346,1267.748426,1269.764066,1233.670226
CL(14:0_20:3_20:4_22:5)-2H+3Na,1563.925896,1335.717096,1257.670176,1259.685816,1233.670176
CL(14:0_20:3_20:4_22:6)-2H+3Na,1561.910246,1333.701446,1255.654526,1257.670166,1233.670166
CL(14:0_20:3_22:0_22:0)-2H+3Na,1610.098047,1381.889247,1303.842327,1269.764127,1269.764127
CL(14:0_20:3_22:0_22:5)-2H+3Na,1600.019797,1371.810997,1293.764077,1259.685877,1269.764077
CL(14:0_20:3_22:0_22:6)-2H+3Na,1598.004146,1369.795346,1291.748426,1257.670226,1269.764066
CL(14:0_20:3_22:5_22:5)-2H+3Na,1589.941546,1361.732746,1283.685826,1259.685826,1259.685826
CL(14:0_20:3_22:5_22:6)-2H+3Na,1587.925896,1359.717096,1281.670176,1257.670176,1259.685816
CL(14:0_20:3_22:6_22:6)-2H+3Na,1585.910246,1357.701446,1279.654526,1257.670166,1257.670166
CL(14:0_20:4_20:4_20:4)-2H+3Na,1535.894596,1307.685796,1231.654516,1231.654516,1231.654516
CL(14:0_20:4_20:4_22:0)-2H+3Na,1571.988496,1343.779696,1267.748416,1267.748416,1231.654576
CL(14:0_20:4_20:4_22:5)-2H+3Na,1561.910246,1333.701446,1257.670166,1257.670166,1231.654526
CL(14:0_20:4_20:4_22:6)-2H+3Na,1559.894596,1331.685796,1255.654516,1255.654516,1231.654516
CL(14:0_20:4_22:0_22:0)-2H+3Na,1608.082397,1379.873597,1303.842317,1267.748477,1267.748477
CL(14:0_20:4_22:0_22:5)-2H+3Na,1598.004146,1369.795346,1293.764066,1257.670226,1267.748426
CL(14:0_20:4_22:0_22:6)-2H+3Na,1595.988496,1367.779696,1291.748416,1255.654576,1267.748416
CL(14:0_20:4_22:5_22:5)-2H+3Na,1587.925896,1359.717096,1283.685816,1257.670176,1257.670176
CL(14:0_20:4_22:5_22:6)-2H+3Na,1585.910246,1357.701446,1281.670166,1255.654526,1257.670166
CL(14:0_20:4_22:6_22:6)-2H+3Na,1583.894596,1355.685796,1279.654516,1255.654516,1255.654516
CL(14:0_22:0_22:0_22:0)-2H+3Na,1644.176297,1415.967497,1303.842377,1303.842377,1303.842377
CL(14:0_22:0_22:0_22:5)-2H+3Na,1634.098047,1405.889247,1293.764127,1293.764127,1303.842327
CL(14:0_22:0_22:0_22:6)-2H+3Na,1632.082397,1403.873597,1291.748477,1291.748477,1303.842317
CL(14:0_22:0_22:5_22:5)-2H+3Na,1624.019797,1395.810997,1283.685877,1293.764077,1293.764077
CL(14:0_22:0_22:5_22:6)-2H+3Na,1622.004146,1393.795346,1281.670226,1291.748426,1293.764066
CL(14:0_22:0_22:6_22:6)-2H+3Na,1619.988496,1391.779696,1279.654576,1291.748416,1291.748416
CL(14:0_22:5_22:5_22:5)-2H+3Na,1613.941546,1385.732746,1283.685826,1283.685826,1283.685826
CL(14:0_22:5_22:5_22:6)-2H+3Na,1611.925896,1383.717096,1281.670176,1281.670176,1283.685816
CL(14:0_22:5_22:6_22:6)-2H+3Na,1609.910246,1381.701446,1279.654526,1281.670166,1281.670166
CL(14:0_22:6_22:6_22:6)-2H+3Na,1607.894596,1379.685796,1279.654516,1279.654516,1279.654516
CL(16:0_16:0_16:0_16:0)-2H+3Na,1419.925896,1163.685816,1163.685816,1163.685816,1163.685816
CL(16:0_16:0_16:0_16:1)-2H+3Na,1417.910246,1161.670166,1161.670166,1161.670166,1163.685806
CL(16:0_16:0_16:0_18:0)-2H+3Na,1447.957196,1191.717116,1191.717116,1191.717116,1163.685836
CL(16:0_16:0_16:0_18:1)-2H+3Na,1445.941546,1189.701466,1189.701466,1189.701466,1163.685826
CL(16:0_16:0_16:0_18:2)-2H+3Na,1443.925896,1187.685816,1187.685816,1187.685816,1163.685816
CL(16:0_16:0_16:0_18:3)-2H+3Na,1441.910246,1185.670166,1185.670166,1185.670166,1163.685806
CL(16:0_16:0_16:0_20:0)-2H+3Na,1475.988496,1219.748416,1219.748416,1219.748416,1163.685856
CL(16:0_16:0_16:0_20:1)-2H+3Na,1473.972846,1217.732766,1217.732766,1217.732766,1163.685846
CL(16:0_16:0_16:0_20:2)-2H+3Na,1471.957196,1215.717116,1215.717116,1215.717116,1163.685836
CL(16:0_16:0_16:0_20:3)-2H+3Na,1469.941546,1213.701466,1213.701466,1213.701466,1163.685826
CL(16:0_16:0_16:0_20:4)-2H+3Na,1467.925896,1211.685816,1211.685816,1211.685816,1163.685816
CL(16:0_16:0_16:0_22:0)-2H+3Na,1504.019797,1247.779717,1247.779717,1247.779717,1163.685877
CL(16:0_16:0_16:0_22:5)-2H+3Na,1493.941546,1237.701466,1237.701466,1237.701466,1163.685826
CL(16:0_16:0_16:0_22:6)-2H+3Na,1491.925896,1235.685816,1235.685816,1235.685816,1163.685816
CL(16:0_16:0_16:1_16:1)-2H+3Na,1415.894596,1159.654516,1159.654516,1161.670156,1161.670156
CL(16:0_16:0_16:1_18:0)-2H+3Na,1445.941546,1189.701466,1189.701466,1191.717106,1161.670186
CL(16:0_16:0_16:1_18:1)-2H+3Na,1443.925896,1187.685816,1187.685816,1189.701456,1161.670176
CL(16:0_16:0_16:1_18:2)-2H+3Na,1441.910246,1185.670166,1185.670166,1187.685806,1161.670166
CL(16:0_16:0_16:1_18:3)-2H+3Na,1439.894596,1183.654516,1183.654516,1185.670156,1161.670156
CL(16:0_16:0_16:1_20:0)-2H+3Na,1473.972846,1217.732766,1217.732766,1219.748406,1161.670206
CL(16:0_16:0_16:1_20:1)-2H+3Na,1471.957196,1215.717116,1215.717116,1217.732756,1161.670196
CL(16:0_16:0_16:1_20:2)-2H+3Na,1469.941546,1213.701466,1213.701466,1215.717106,1161.670186
CL(16:0_16:0_16:1_20:3)-2H+3Na,1467.925896,1211.685816,1211.685816,1213.701456,1161.670176
CL(16:0_16:0_16:1_20:4)-2H+3Na,1465.910246,1209.670166,1209.670166,1211.685806,1161.670166
CL(16:0_16:0_16:1_22:0)-2H+3Na,1502.004146,1245.764066,1245.764066,1247.779706,1161.670226
CL(16:0_16:0_16:1_22:5)-2H+3Na,1491.925896,1235.685816,1235.685816,1237.701456,1161.670176
CL(16:0_16:0_16:1_22:6)-2H+3Na,1489.910246,1233.670166,1233.670166,1235.685806,1161.670166
CL(16:0_16:0_18:0_18:0)-2H+3Na,1475.988496,1219.748416,1219.748416,1191.717136,1191.717136
CL(16:0_16:0_18:0_18:1)-2H+3Na,1473.972846,1217.732766,1217.732766,1189.701486,1191.717126
CL(16:0_16:0_18:0_18:2)-2H+3Na,1471.957196,1215.717116,1215.717116,1187.685836,1191.717116
CL(16:0_16:0_18:0_18:3)-2H+3Na,1469.941546,1213.701466,1213.701466,1185.670186,1191.717106
CL(16:0_16:0_18:0_20:0)-2H+3Na,1504.019797,1247.779717,1247.779717,1219.748437,1191.717157
CL(16:0_16:0_18:0_20:1)-2H+3Na,1502.004146,1245.764066,1245.764066,1217.732786,1191.717146
CL(16:0_16:0_18:0_20:2)-2H+3Na,1499.988496,1243.748416,1243.748416,1215.717136,1191.717136
CL(16:0_16:0_18:0_20:3)-2H+3Na,1497.972846,1241.732766,1241.732766,1213.701486,1191.717126
CL(16:0_16:0_18:0_20:4)-2H+3Na,1495.957196,1239.717116,1239.717116,1211.685836,1191.717116
CL(16:0_16:0_18:0_22:0)-2H+3Na,1532.051097,1275.811017,1275.811017,1247.779737,1191.717177
CL(16:0_16:0_18:0_22:5)-2H+3Na,1521.972846,1265.732766,1265.732766,1237.701486,1191.717126
CL(16:0_16:0_18:0_22:6)-2H+3Na,1519.957196,1263.717116,1263.717116,1235.685836,1191.717116
CL(16:0_16:0_18:1_18:1)-2H+3Na,1471.957196,1215.717116,1215.717116,1189.701476,1189.701476
CL(16:0_16:0_18:1_18:2)-2H+3Na,1469.941546,1213.701466,1213.701466,1187.685826,1189.701466
CL(16:0_16:0_18:1_18:3)-2H+3Na,1467.925896,1211.685816,1211.685816,1185.670176,1189.701456
CL(16:0_16:0_18:1_20:0)-2H+3Na,1502.004146,1245.764066,1245.764066,1219.748426,1189.701506
CL(16:0_16:0_18:1_20:1)-2H+3Na,1499.988496,1243.748416,1243.748416,1217.732776,1189.701496
CL(16:0_16:0_18:1_20:2)-2H+3Na,1497.972846,1241.732766,1241.732766,1215.717126,1189.701486
CL(16:0_16:0_18:1_20:3)-2H+3Na,1495.957196,1239.717116,1239.717116,1213.701476,1189.701476
CL(16:0_16:0_18:1_20:4)-2H+3Na,1493.941546,1237.701466,1237.701466,1211.685826,1189.701466
CL(16:0_16:0_18:1_22:0)-2H+3Na,1530.035447,1273.795367,1273.795367,1247.779727,1189.701527
CL(16:0_16:0_18:1_22:5)-2H+3Na,1519.957196,1263.717116,1263.717116,1237.701476,1189.701476
CL(16:0_16:0_18:1_22:6)-2H+3Na,1517.941546,1261.701466,1261.701466,1235.685826,1189.701466
CL(16:0_16:0_18:2_18:2)-2H+3Na,1467.925896,1211.685816,1211.685816,1187.685816,1187.685816
CL(16:0_16:0_18:2_18:3)-2H+3Na,1465.910246,1209.670166,1209.670166,1185.670166,1187.685806
CL(16:0_16:0_18:2_20:0)-2H+3Na,1499.988496,1243.748416,1243.748416,1219.748416,1187.685856
CL(16:0_16:0_18:2_20:1)-2H+3Na,1497.972846,1241.732766,1241.732766,1217.732766,1187.685846
CL(16:0_16:0_18:2_20:2)-2H+3Na,1495.957196,1239.717116,1239.717116,1215.717116,1187.685836
CL(16:0_16:0_18:2_20:3)-2H+3Na,1493.941546,1237.701466,1237.701466,1213.701466,1187.685826
CL(16:0_16:0_18:2_20:4)-2H+3Na,1491.925896,1235.685816,1235.685816,1211.685816,1187.685816
CL(16:0_16:0_18:2_22:0)-2H+3Na,1528.019797,1271.779717,1271.779717,1247.779717,1187.685877
CL(16:0_16:0_18:2_22:5)-2H+3Na,1517.941546,1261.701466,1261.701466,1237.701466,1187.685826
CL(16:0_16:0_18:2_22:6)-2H+3Na,1515.925896,1259.685816,1259.685816,1235.685816,1187.685816
CL(16:0_16:0_18:3_18:3)-2H+3Na,1463.894596,1207.654516,1207.654516,1185.670156,1185.670156
CL(16:0_16:0_18:3_20:0)-2H+3Na,1497.972846,1241.732766,1241.732766,1219.748406,1185.670206
CL(16:0_16:0_18:3_20:1)-2H+3Na,1495.957196,1239.717116,1239.717116,1217.732756,1185.670196
CL(16:0_16:0_18:3_20:2)-2H+3Na,1493.941546,1237.701466,1237.701466,1215.717106,1185.670186
CL(16:0_16:0_18:3_20:3)-2H+3Na,1491.925896,1235.685816,1235.685816,1213.701456,1185.670176
CL(16:0_16:0_18:3_20:4)-2H+3Na,1489.910246,1233.670166,1233.670166,1211.685806,1185.670166
CL(16:0_16:0_18:3_22:0)-2H+3Na,1526.004146,1269.764066,1269.764066,1247.779706,1185.670226
CL(16:0_16:0_18:3_22:5)-2H+3Na,1515.925896,1259.685816,1259.685816,1237.701456,1185.670176
CL(16:0_16:0_18:3_22:6)-2H+3Na,1513.910246,1257.670166,1257.670166,1235.685806,1185.670166
CL(16:0_16:0_20:0_20:0)-2H+3Na,1532.051097,1275.811017,1275.811017,1219.748457,1219.748457
CL(16:0_16:0_20:0_20:1)-2H+3Na,1530.035447,1273.795367,1273.795367,1217.732807,1219.748447
CL(16:0_16:0_20:0_20:2)-2H+3Na,1528.019797,1271.779717,1271.779717,1215.717157,1219.748437
