CL,[M-2H+3Na]+,SN1 acyl loss,SN2 acyl loss,SN3 acyl loss,SN4 acyl loss
CL(14:0_14:0_18:1_18:2)-2H+3Na,1413.878946,1185.670146,1185.670146,1131.623226,1133.638866
CL(14:0_14:0_18:1_18:3)-2H+3Na,1411.863296,1183.654496,1183.654496,1129.607576,1133.638856
CL(14:0_14:0_18:1_20:0)-2H+3Na,1445.941546,1217.732746,1217.732746,1163.685826,1133.638906
CL(14:0_14:0_18:1_20:1)-2H+3Na,1443.925896,1215.717096,1215.717096,1161.670176,1133.638896
CL(14:0_14:0_18:1_20:2)-2H+3Na,1441.910246,1213.701446,1213.701446,1159.654526,1133.638886
CL(14:0_14:0_18:1_20:3)-2H+3Na,1439.894596,1211.685796,1211.685796,1157.638876,1133.638876
CL(14:0_14:0_18:1_20:4)-2H+3Na,1437.878946,1209.670146,1209.670146,1155.623226,1133.638866
CL(14:0_14:0_18:1_22:0)-2H+3Na,1473.972846,1245.764046,1245.764046,1191.717126,1133.638926
CL(14:0_14:0_18:1_22:5)-2H+3Na,1463.894596,1235.685796,1235.685796,1181.638876,1133.638876
CL(14:0_14:0_18:1_22:6)-2H+3Na,1461.878946,1233.670146,1233.670146,1179.623226,1133.638866
CL(14:0_14:0_18:2_18:2)-2H+3Na,1411.863296,1183.654496,1183.654496,1131.623216,1131.623216
CL(14:0_14:0_18:2_18:3)-2H+3Na,1409.847646,1181.638846,1181.638846,1129.607566,1131.623206
CL(14:0_14:0_18:2_20:0)-2H+3Na,1443.925896,1215.717096,1215.717096,1163.685816,1131.623256
CL(14:0_14:0_18:2_20:1)-2H+3Na,1441.910246,1213.701446,1213.701446,1161.670166,1131.623246
CL(14:0_14:0_18:2_20:2)-2H+3Na,1439.894596,1211.685796,1211.685796,1159.654516,1131.623236
CL(14:0_14:0_18:2_20:3)-2H+3Na,1437.878946,1209.670146,1209.670146,1157.638866,1131.623226
CL(14:0_14:0_18:2_20:4)-2H+3Na,1435.863296,1207.654496,1207.654496,1155.623216,1131.623216
CL(14:0_14:0_18:2_22:0)-2H+3Na,1471.957196,1243.748396,1243.748396,1191.717116,1131.623276
CL(14:0_14:0_18:2_22:5)-2H+3Na,1461.878946,1233.670146,1233.670146,1181.638866,1131.623226
CL(14:0_14:0_18:2_22:6)-2H+3Na,1459.863296,1231.654496,1231.654496,1179.623216,1131.623216
CL(14:0_14:0_18:3_18:3)-2H+3Na,1407.831996,1179.623196,1179.623196,1129.607556,1129.607556
CL(14:0_14:0_18:3_20:0)-2H+3Na,1441.910246,1213.701446,1213.701446,1163.685806,1129.607606
CL(14:0_14:0_18:3_20:1)-2H+3Na,1439.894596,1211.685796,1211.685796,1161.670156,1129.607596
CL(14:0_14:0_18:3_20:2)-2H+3Na,1437.878946,1209.670146,1209.670146,1159.654506,1129.607586
CL(14:0_14:0_18:3_20:3)-2H+3Na,1435.863296,1207.654496,1207.654496,1157.638856,1129.607576
CL(14:0_14:0_18:3_20:4)-2H+3Na,1433.847646,1205.638846,1205.638846,1155.623206,1129.607566
CL(14:0_14:0_18:3_22:0)-2H+3Na,1469.941546,1241.732746,1241.732746,1191.717106,1129.607626
CL(14:0_14:0_18:3_22:5)-2H+3Na,1459.863296,1231.654496,1231.654496,1181.638856,1129.607576
CL(14:0_14:0_18:3_22:6)-2H+3Na,1457.847646,1229.638846,1229.638846,1179.623206,1129.607566
CL(14:0_14:0_20:0_20:0)-2H+3Na,1475.988496,1247.779696,1247.779696,1163.685856,1163.685856
CL(14:0_14:0_20:0_20:1)-2H+3Na,1473.972846,1245.764046,1245.764046,1161.670206,1163.685846
CL(14:0_14:0_20:0_20:2)-2H+3Na,1471.957196,1243.748396,1243.748396,1159.654556,1163.685836
CL(14:0_14:0_20:0_20:3)-2H+3Na,1469.941546,1241.732746,1241.732746,1157.638906,1163.685826
CL(14:0_14:0_20:0_20:4)-2H+3Na,1467.925896,1239.717096,1239.717096,1155.623256,1163.685816
CL(14:0_14:0_20:0_22:0)-2H+3Na,1504.019797,1275.810997,1275.810997,1191.717157,1163.685877
CL(14:0_14:0_20:0_22:5)-2H+3Na,1493.941546,1265.732746,1265.732746,1181.638906,1163.685826
CL(14:0_14:0_20:0_22:6)-2H+3Na,1491.925896,1263.717096,1263.717096,1179.623256,1163.685816
CL(14:0_14:0_20:1_20:1)-2H+3Na,1471.957196,1243.748396,1243.748396,1161.670196,1161.670196
CL(14:0_14:0_20:1_20:2)-2H+3Na,1469.941546,1241.732746,1241.732746,1159.654546,1161.670186
CL(14:0_14:0_20:1_20:3)-2H+3Na,1467.925896,1239.717096,1239.717096,1157.638896,1161.670176
CL(14:0_14:0_20:1_20:4)-2H+3Na,1465.910246,1237.701446,1237.701446,1155.623246,1161.670166
CL(14:0_14:0_20:1_22:0)-2H+3Na,1502.004146,1273.795346,1273.795346,1191.717146,1161.670226
CL(14:0_14:0_20:1_22:5)-2H+3Na,1491.925896,1263.717096,1263.717096,1181.638896,1161.670176
CL(14:0_14:0_20:1_22:6)-2H+3Na,1489.910246,1261.701446,1261.701446,1179.623246,1161.670166
CL(14:0_14:0_20:2_20:2)-2H+3Na,1467.925896,1239.717096,1239.717096,1159.654536,1159.654536
CL(14:0_14:0_20:2_20:3)-2H+3Na,1465.910246,1237.701446,1237.701446,1157.638886,1159.654526
CL(14:0_14:0_20:2_20:4)-2H+3Na,1463.894596,1235.685796,1235.685796,1155.623236,1159.654516
CL(14:0_14:0_20:2_22:0)-2H+3Na,1499.988496,1271.779696,1271.779696,1191.717136,1159.654576
CL(14:0_14:0_20:2_22:5)-2H+3Na,1489.910246,1261.701446,1261.701446,1181.638886,1159.654526
CL(14:0_14:0_20:2_22:6)-2H+3Na,1487.894596,1259.685796,1259.685796,1179.623236,1159.654516
CL(14:0_14:0_20:3_20:3)-2H+3Na,1463.894596,1235.685796,1235.685796,1157.638876,1157.638876
CL(14:0_14:0_20:3_20:4)-2H+3Na,1461.878946,1233.670146,1233.670146,1155.623226,1157.638866
CL(14:0_14:0_20:3_22:0)-2H+3Na,1497.972846,1269.764046,1269.764046,1191.717126,1157.638926
CL(14:0_14:0_20:3_22:5)-2H+3Na,1487.894596,1259.685796,1259.685796,1181.638876,1157.638876
CL(14:0_14:0_20:3_22:6)-2H+3Na,1485.878946,1257.670146,1257.670146,1179.623226,1157.638866
CL(14:0_14:0_20:4_20:4)-2H+3Na,1459.863296,1231.654496,1231.654496,1155.623216,1155.623216
CL(14:0_14:0_20:4_22:0)-2H+3Na,1495.957196,1267.748396,1267.748396,1191.717116,1155.623276
CL(14:0_14:0_20:4_22:5)-2H+3Na,1485.878946,1257.670146,1257.670146,1181.638866,1155.623226
CL(14:0_14:0_20:4_22:6)-2H+3Na,1483.863296,1255.654496,1255.654496,1179.623216,1155.623216
CL(14:0_14:0_22:0_22:0)-2H+3Na,1532.051097,1303.842297,1303.842297,1191.717177,1191.717177
CL(14:0_14:0_22:0_22:5)-2H+3Na,1521.972846,1293.764046,1293.764046,1181.638926,1191.717126
CL(14:0_14:0_22:0_22:6)-2H+3Na,1519.957196,1291.748396,1291.748396,1179.623276,1191.717116
CL(14:0_14:0_22:5_22:5)-2H+3Na,1511.894596,1283.685796,1283.685796,1181.638876,1181.638876
CL(14:0_14:0_22:5_22:6)-2H+3Na,1509.878946,1281.670146,1281.670146,1179.623226,1181.638866
CL(14:0_14:0_22:6_22:6)-2H+3Na,1507.863296,1279.654496,1279.654496,1179.623216,1179.623216
CL(14:0_16:0_16:0_16:0)-2H+3Na,1391.894596,1163.685796,1135.654516,1135.654516,1135.654516
CL(14:0_16:0_16:0_16:1)-2H+3Na,1389.878946,1161.670146,1133.638866,1133.638866,1135.654506
CL(14:0_16:0_16:0_18:0)-2H+3Na,1419.925896,1191.717096,1163.685816,1163.685816,1135.654536
CL(14:0_16:0_16:0_18:1)-2H+3Na,1417.910246,1189.701446,1161.670166,1161.670166,1135.654526
CL(14:0_16:0_16:0_18:2)-2H+3Na,1415.894596,1187.685796,1159.654516,1159.654516,1135.654516
CL(14:0_16:0_16:0_18:3)-2H+3Na,1413.878946,1185.670146,1157.638866,1157.638866,1135.654506
CL(14:0_16:0_16:0_20:0)-2H+3Na,1447.957196,1219.748396,1191.717116,1191.717116,1135.654556
CL(14:0_16:0_16:0_20:1)-2H+3Na,1445.941546,1217.732746,1189.701466,1189.701466,1135.654546
CL(14:0_16:0_16:0_20:2)-2H+3Na,1443.925896,1215.717096,1187.685816,1187.685816,1135.654536
CL(14:0_16:0_16:0_20:3)-2H+3Na,1441.910246,1213.701446,1185.670166,1185.670166,1135.654526
CL(14:0_16:0_16:0_20:4)-2H+3Na,1439.894596,1211.685796,1183.654516,1183.654516,1135.654516
CL(14:0_16:0_16:0_22:0)-2H+3Na,1475.988496,1247.779696,1219.748416,1219.748416,1135.654576
CL(14:0_16:0_16:0_22:5)-2H+3Na,1465.910246,1237.701446,1209.670166,1209.670166,1135.654526
CL(14:0_16:0_16:0_22:6)-2H+3Na,1463.894596,1235.685796,1207.654516,1207.654516,1135.654516
CL(14:0_16:0_16:1_16:1)-2H+3Na,1387.863296,1159.654496,1131.623216,1133.638856,1133.638856
CL(14:0_16:0_16:1_18:0)-2H+3Na,1417.910246,1189.701446,1161.670166,1163.685806,1133.638886
CL(14:0_16:0_16:1_18:1)-2H+3Na,1415.894596,1187.685796,1159.654516,1161.670156,1133.638876
CL(14:0_16:0_16:1_18:2)-2H+3Na,1413.878946,1185.670146,1157.638866,1159.654506,1133.638866
CL(14:0_16:0_16:1_18:3)-2H+3Na,1411.863296,1183.654496,1155.623216,1157.638856,1133.638856
CL(14:0_16:0_16:1_20:0)-2H+3Na,1445.941546,1217.732746,1189.701466,1191.717106,1133.638906
CL(14:0_16:0_16:1_20:1)-2H+3Na,1443.925896,1215.717096,1187.685816,1189.701456,1133.638896
