MGDG,[M+NH4]+,DG [M+H]+,DG [M+H-H2O]+ 
MGDG(34:4)+NH4,768.56202,589.48272,571.47215
MGDG(34:5)+NH4,766.54642,587.46712,569.45655
MGDG(34:6)+NH4,764.53072,585.45142,567.44085
MGDG(35:0)+NH4,790.64027,611.56097,593.5504
MGDG(35:1)+NH4,788.62462,609.54532,591.53475
MGDG(35:2)+NH4,786.60895,607.52965,589.51908
MGDG(35:3)+NH4,784.59332,605.51402,587.50345
MGDG(35:4)+NH4,782.57762,603.49832,585.48775
MGDG(35:5)+NH4,780.56202,601.48272,583.47215
MGDG(35:6)+NH4,778.54642,599.46712,581.45655
MGDG(36:0)+NH4,804.65592,625.57662,607.56605
MGDG(36:1)+NH4,802.64027,623.56097,605.5504
MGDG(36:2)+NH4,800.62462,621.54532,603.53475
MGDG(36:3)+NH4,798.60895,619.52965,601.51908
MGDG(36:4)+NH4,796.59332,617.51402,599.50345
MGDG(36:5)+NH4,794.57762,615.49832,597.48775
MGDG(36:6)+NH4,792.56202,613.48272,595.47215
MGDG(36:7)+NH4,790.54642,611.46712,593.45655
MGDG(36:8)+NH4,788.53072,609.45142,591.44085
MGDG(37:0)+NH4,818.67158,639.59228,621.58171
MGDG(37:1)+NH4,816.65592,637.57662,619.56605
MGDG(37:2)+NH4,814.64027,635.56097,617.5504
MGDG(37:3)+NH4,812.62462,633.54532,615.53475
MGDG(37:4)+NH4,810.60895,631.52965,613.51908
MGDG(37:5)+NH4,808.59332,629.51402,611.50345
MGDG(37:6)+NH4,806.57762,627.49832,609.48775
MGDG(37:7)+NH4,804.56202,625.48272,607.47215
MGDG(38:0)+NH4,832.68722,653.60792,635.59735
MGDG(38:1)+NH4,830.67158,651.59228,633.58171
MGDG(38:2)+NH4,828.65592,649.57662,631.56605
MGDG(38:3)+NH4,826.64027,647.56097,629.5504
MGDG(38:4)+NH4,824.62462,645.54532,627.53475
MGDG(38:5)+NH4,822.60895,643.52965,625.51908
MGDG(38:6)+NH4,820.59332,641.51402,623.50345
MGDG(38:7)+NH4,818.57762,639.49832,621.48775
MGDG(38:8)+NH4,816.56202,637.48272,619.47215
MGDG(38:9)+NH4,814.54642,635.46712,617.45655
MGDG(39:0)+NH4,846.70289,667.62359,649.61302
MGDG(39:1)+NH4,844.68722,665.60792,647.59735
MGDG(39:2)+NH4,842.67158,663.59228,645.58171
MGDG(39:3)+NH4,840.65592,661.57662,643.56605
MGDG(39:4)+NH4,838.64027,659.56097,641.5504
MGDG(39:5)+NH4,836.62462,657.54532,639.53475
MGDG(39:6)+NH4,834.60895,655.52965,637.51908
MGDG(39:7)+NH4,832.59332,653.51402,635.50345
MGDG(39:8)+NH4,830.57762,651.49832,633.48775
MGDG(4:0)+NH4,356.15512,177.07582,159.06525
MGDG(40:0)+NH4,860.71852,681.63922,663.62865
MGDG(40:1)+NH4,858.70289,679.62359,661.61302
MGDG(40:10)+NH4,840.56202,661.48272,643.47215
MGDG(40:2)+NH4,856.68722,677.60792,659.59735
MGDG(40:3)+NH4,854.67158,675.59228,657.58171
MGDG(40:4)+NH4,852.65592,673.57662,655.56605
MGDG(40:5)+NH4,850.64027,671.56097,653.5504
MGDG(40:6)+NH4,848.62462,669.54532,651.53475
MGDG(40:7)+NH4,846.60895,667.52965,649.51908
MGDG(40:8)+NH4,844.59332,665.51402,647.50345
MGDG(40:9)+NH4,842.57762,663.49832,645.48775
MGDG(41:0)+NH4,874.73422,695.65492,677.64435
MGDG(41:1)+NH4,872.71852,693.63922,675.62865
MGDG(41:2)+NH4,870.70289,691.62359,673.61302
MGDG(41:3)+NH4,868.68722,689.60792,671.59735
MGDG(41:4)+NH4,866.67158,687.59228,669.58171
MGDG(41:5)+NH4,864.65592,685.57662,667.56605
MGDG(41:6)+NH4,862.64027,683.56097,665.5504
MGDG(42:0)+NH4,888.74982,709.67052,691.65995
MGDG(42:1)+NH4,886.73422,707.65492,689.64435
MGDG(42:10)+NH4,868.59332,689.51402,671.50345
MGDG(42:11)+NH4,866.57762,687.49832,669.48775
MGDG(42:2)+NH4,884.71852,705.63922,687.62865
MGDG(42:3)+NH4,882.70289,703.62359,685.61302
MGDG(42:4)+NH4,880.68722,701.60792,683.59735
MGDG(42:5)+NH4,878.67158,699.59228,681.58171
MGDG(42:6)+NH4,876.65592,697.57662,679.56605
MGDG(42:7)+NH4,874.64027,695.56097,677.5504
MGDG(42:8)+NH4,872.62462,693.54532,675.53475
MGDG(42:9)+NH4,870.60895,691.52965,673.51908
MGDG(43:0)+NH4,902.76542,723.68612,705.67555
MGDG(43:1)+NH4,900.74982,721.67052,703.65995
MGDG(43:2)+NH4,898.73422,719.65492,701.64435
MGDG(43:3)+NH4,896.71852,717.63922,699.62865
MGDG(43:4)+NH4,894.70289,715.62359,697.61302
MGDG(43:5)+NH4,892.68722,713.60792,695.59735
MGDG(43:6)+NH4,890.67158,711.59228,693.58171
MGDG(44:0)+NH4,916.78112,737.70182,719.69125
MGDG(44:1)+NH4,914.76542,735.68612,717.67555
MGDG(44:10)+NH4,896.62462,717.54532,699.53475
MGDG(44:11)+NH4,894.60895,715.52965,697.51908
MGDG(44:12)+NH4,892.59332,713.51402,695.50345
MGDG(44:2)+NH4,912.74982,733.67052,715.65995
MGDG(44:3)+NH4,910.73422,731.65492,713.64435
MGDG(44:4)+NH4,908.71852,729.63922,711.62865
MGDG(44:5)+NH4,906.70289,727.62359,709.61302
MGDG(44:6)+NH4,904.68722,725.60792,707.59735
MGDG(44:7)+NH4,902.67158,723.59228,705.58171
MGDG(44:8)+NH4,900.65592,721.57662,703.56605
MGDG(44:9)+NH4,898.64027,719.56097,701.5504
MGDG(45:0)+NH4,930.79676,751.71746,733.70689
MGDG(45:1)+NH4,928.78112,749.70182,731.69125
MGDG(45:2)+NH4,926.76542,747.68612,729.67555
MGDG(45:3)+NH4,924.74982,745.67052,727.65995
MGDG(45:4)+NH4,922.73422,743.65492,725.64435
MGDG(45:5)+NH4,920.71852,741.63922,723.62865
MGDG(45:6)+NH4,918.70289,739.62359,721.61302
MGDG(46:0)+NH4,944.81242,765.73312,747.72255
MGDG(46:1)+NH4,942.79676,763.71746,745.70689
MGDG(46:10)+NH4,924.65592,745.57662,727.56605
MGDG(46:2)+NH4,940.78112,761.70182,743.69125
MGDG(46:3)+NH4,938.76542,759.68612,741.67555
MGDG(46:4)+NH4,936.74982,757.67052,739.65995
MGDG(46:5)+NH4,934.73422,755.65492,737.64435
MGDG(46:6)+NH4,932.71852,753.63922,735.62865
MGDG(46:7)+NH4,930.70289,751.62359,733.61302
MGDG(46:8)+NH4,928.68722,749.60792,731.59735
MGDG(46:9)+NH4,926.67158,747.59228,729.58171
MGDG(47:0)+NH4,958.82807,779.74877,761.7382
MGDG(47:1)+NH4,956.81242,777.73312,759.72255
MGDG(47:2)+NH4,954.79676,775.71746,757.70689
MGDG(47:4)+NH4,950.76542,771.68612,753.67555
MGDG(47:5)+NH4,948.74982,769.67052,751.65995
MGDG(47:6)+NH4,946.73422,767.65492,749.64435
MGDG(48:0)+NH4,972.84372,793.76442,775.75385
MGDG(48:1)+NH4,970.82807,791.74877,773.7382
MGDG(48:2)+NH4,968.81242,789.73312,771.72255
MGDG(48:3)+NH4,966.79676,787.71746,769.70689
MGDG(48:4)+NH4,964.78112,785.70182,767.69125
MGDG(48:5)+NH4,962.76542,783.68612,765.67555
MGDG(48:6)+NH4,960.74982,781.67052,763.65995
MGDG(48:7)+NH4,958.73422,779.65492,761.64435
MGDG(48:8)+NH4,956.71852,777.63922,759.62865
MGDG(49:0)+NH4,986.85938,807.78008,789.76951
MGDG(49:1)+NH4,984.84372,805.76442,787.75385
MGDG(49:2)+NH4,982.82807,803.74877,785.7382
MGDG(49:4)+NH4,978.79676,799.71746,781.70689
MGDG(5:0)+NH4,370.17075,191.09145,173.08088
MGDG(50:0)+NH4,1000.87502,821.79572,803.78515
MGDG(50:1)+NH4,998.85938,819.78008,801.76951
MGDG(50:2)+NH4,996.84372,817.76442,799.75385
MGDG(50:3)+NH4,994.82807,815.74877,797.7382
MGDG(50:4)+NH4,992.81242,813.73312,795.72255
MGDG(50:5)+NH4,990.79676,811.71746,793.70689
MGDG(50:6)+NH4,988.78112,809.70182,791.69125
MGDG(51:0)+NH4,1014.89072,835.81142,817.80085
MGDG(51:1)+NH4,1012.87502,833.79572,815.78515
MGDG(51:2)+NH4,1010.85938,831.78008,813.76951
MGDG(52:0)+NH4,1028.90632,849.82702,831.81645
MGDG(52:1)+NH4,1026.89072,847.81142,829.80085
MGDG(52:2)+NH4,1024.87502,845.79572,827.78515
MGDG(52:3)+NH4,1022.85938,843.78008,825.76951
MGDG(52:4)+NH4,1020.84372,841.76442,823.75385
MGDG(6:0)+NH4,384.18642,205.10712,187.09655
MGDG(7:0)+NH4,398.20206,219.12276,201.11219
MGDG(8:0)+NH4,412.21772,233.13842,215.12785
MGDG(9:0)+NH4,426.23337,247.15407,229.1435
