Cer-NS,[M+HCO2]-,[M-H]-,[M-CO-H]-,[M-CO-3H]-,[M-CO-O-3H]-,[FA+NCCO-3H]-,[FA+NCCO-O-3H]-,[Sph-N-O-5H]-,[FA+N-H]-,[Sph-NCC-3H]-,[FA-3H]-
Cer-NS(d14:1/12:0)+HCO2,470.3846,424.3791,394.3685,392.3528,376.3579,240.1964,224.2014,207.1754,198.1863,181.1598,181.1598
Cer-NS(d14:1/12:1)+HCO2,468.3689,422.3634,392.3528,390.3372,374.3423,238.1807,222.1858,207.1754,196.1707,181.1598,179.1441
Cer-NS(d14:1/13:0)+HCO2,484.4002,438.3947,408.3842,406.3685,390.3736,254.212,238.2171,207.1754,212.202,181.1598,195.1754
Cer-NS(d14:1/13:1)+HCO2,482.3846,436.3791,406.3685,404.3528,388.3579,252.1964,236.2014,207.1754,210.1863,181.1598,193.1598
Cer-NS(d14:1/14:0)+HCO2,498.4159,452.4104,422.3998,420.3842,404.3892,268.2277,252.2328,207.1754,226.2176,181.1598,209.1911
Cer-NS(d14:1/14:1)+HCO2,496.4002,450.3947,420.3842,418.3685,402.3736,266.212,250.2171,207.1754,224.202,181.1598,207.1754
Cer-NS(d14:1/15:0)+HCO2,512.4315,466.426,436.4154,434.3998,418.4049,282.2433,266.2484,207.1754,240.2333,181.1598,223.2067
Cer-NS(d14:1/15:1)+HCO2,510.4159,464.4104,434.3998,432.3842,416.3892,280.2277,264.2328,207.1754,238.2176,181.1598,221.1911
Cer-NS(d14:1/16:0)+HCO2,526.4471,480.4417,450.4311,448.4154,432.4205,296.259,280.264,207.1754,254.2489,181.1598,237.2224
Cer-NS(d14:1/16:1)+HCO2,524.4315,478.426,448.4154,446.3998,430.4049,294.2433,278.2484,207.1754,252.2333,181.1598,235.2067
Cer-NS(d14:1/16:2)+HCO2,522.4158,476.4104,446.3998,444.3842,428.3892,292.2277,276.2328,207.1754,250.2176,181.1598,233.1911
Cer-NS(d14:1/17:0)+HCO2,540.4628,494.4573,464.4467,462.4311,446.4362,310.2746,294.2797,207.1754,268.2646,181.1598,251.238
Cer-NS(d14:1/18:0)+HCO2,554.4785,508.473,478.4624,476.4467,460.4518,324.2903,308.2953,207.1754,282.2802,181.1598,265.2537
Cer-NS(d14:1/18:1)+HCO2,552.4628,506.4573,476.4467,474.4311,458.4362,322.2746,306.2797,207.1754,280.2646,181.1598,263.238
Cer-NS(d14:1/18:2)+HCO2,550.4471,504.4417,474.4311,472.4154,456.4205,320.259,304.264,207.1754,278.2489,181.1598,261.2224
Cer-NS(d14:1/19:0)+HCO2,568.4941,522.4886,492.4781,490.4624,474.4675,338.3059,322.311,207.1754,296.2959,181.1598,279.2693
Cer-NS(d14:1/19:1)+HCO2,566.4785,520.473,490.4624,488.4467,472.4518,336.2903,320.2953,207.1754,294.2802,181.1598,277.2537
Cer-NS(d14:1/20:0)+HCO2,582.5098,536.5043,506.4937,504.4781,488.4832,352.3216,336.3267,207.1754,310.3116,181.1598,293.285
Cer-NS(d14:1/20:1)+HCO2,580.4941,534.4886,504.4781,502.4624,486.4675,350.3059,334.311,207.1754,308.2959,181.1598,291.2693
Cer-NS(d14:1/20:2)+HCO2,578.4785,532.473,502.4624,500.4467,484.4518,348.2903,332.2953,207.1754,306.2802,181.1598,289.2537
Cer-NS(d14:1/21:0)+HCO2,596.5254,550.52,520.5093,518.4937,502.4988,366.3372,350.3423,207.1754,324.3272,181.1598,307.3006
Cer-NS(d14:1/21:1)+HCO2,594.5098,548.5043,518.4937,516.4781,500.4832,364.3216,348.3267,207.1754,322.3116,181.1598,305.285
Cer-NS(d14:1/22:0)+HCO2,610.5411,564.5356,534.525,532.5093,516.5145,380.3529,364.3579,207.1754,338.3428,181.1598,321.3163
Cer-NS(d14:1/22:1)+HCO2,608.5254,562.52,532.5093,530.4937,514.4988,378.3372,362.3423,207.1754,336.3272,181.1598,319.3006
Cer-NS(d14:1/22:2)+HCO2,606.5098,560.5043,530.4937,528.4781,512.4832,376.3216,360.3267,207.1754,334.3116,181.1598,317.285
Cer-NS(d14:1/23:0)+HCO2,624.5567,578.5512,548.5406,546.525,530.5301,394.3685,378.3736,207.1754,352.3585,181.1598,335.3319
Cer-NS(d14:1/23:1)+HCO2,622.5411,576.5356,546.525,544.5093,528.5145,392.3529,376.3579,207.1754,350.3428,181.1598,333.3163
Cer-NS(d14:1/24:0)+HCO2,638.5723,592.5669,562.5563,560.5406,544.5457,408.3842,392.3893,207.1754,366.3741,181.1598,349.3476
Cer-NS(d14:1/24:1)+HCO2,636.5567,590.5512,560.5406,558.525,542.5301,406.3685,390.3736,207.1754,364.3585,181.1598,347.3319
Cer-NS(d14:1/24:2)+HCO2,634.5411,588.5356,558.525,556.5093,540.5145,404.3529,388.3579,207.1754,362.3428,181.1598,345.3163
Cer-NS(d14:1/25:0)+HCO2,652.588,606.5825,576.572,574.5563,558.5614,422.3998,406.4049,207.1754,380.3898,181.1598,363.3633
Cer-NS(d14:1/25:1)+HCO2,650.5723,604.5669,574.5563,572.5406,556.5457,420.3842,404.3893,207.1754,378.3741,181.1598,361.3476
Cer-NS(d14:1/26:0)+HCO2,666.6036,620.5982,590.5876,588.572,572.577,436.4155,420.4206,207.1754,394.4054,181.1598,377.3789
Cer-NS(d14:1/26:1)+HCO2,664.588,618.5825,588.572,586.5563,570.5614,434.3998,418.4049,207.1754,392.3898,181.1598,375.3633
Cer-NS(d14:1/26:2)+HCO2,662.5723,616.5669,586.5563,584.5406,568.5457,432.3842,416.3893,207.1754,390.3741,181.1598,373.3476
Cer-NS(d14:1/27:0)+HCO2,680.6193,634.6138,604.6033,602.5876,586.5927,450.4311,434.4362,207.1754,408.4211,181.1598,391.3945
Cer-NS(d14:1/27:1)+HCO2,678.6036,632.5982,602.5876,600.572,584.577,448.4155,432.4206,207.1754,406.4054,181.1598,389.3789
Cer-NS(d14:1/28:0)+HCO2,694.6349,648.6295,618.6189,616.6033,600.6083,464.4468,448.4518,207.1754,422.4367,181.1598,405.4102
Cer-NS(d14:1/28:1)+HCO2,692.6193,646.6138,616.6033,614.5876,598.5927,462.4311,446.4362,207.1754,420.4211,181.1598,403.3945
Cer-NS(d14:1/28:2)+HCO2,690.6036,644.5982,614.5876,612.572,596.577,460.4155,444.4206,207.1754,418.4054,181.1598,401.3789
Cer-NS(d14:1/29:0)+HCO2,708.6506,662.6451,632.6346,630.6189,614.624,478.4624,462.4675,207.1754,436.4524,181.1598,419.4258
Cer-NS(d14:1/29:1)+HCO2,706.6349,660.6295,630.6189,628.6033,612.6083,476.4468,460.4518,207.1754,434.4367,181.1598,417.4102
Cer-NS(d14:1/30:0)+HCO2,722.6663,676.6608,646.6502,644.6346,628.6396,492.4781,476.4832,207.1754,450.468,181.1598,433.4415
Cer-NS(d14:1/30:1)+HCO2,720.6506,674.6451,644.6346,642.6189,626.624,490.4624,474.4675,207.1754,448.4524,181.1598,431.4258
Cer-NS(d14:1/30:2)+HCO2,718.6349,672.6295,642.6189,640.6033,624.6083,488.4468,472.4518,207.1754,446.4367,181.1598,429.4102
Cer-NS(d14:1/31:0)+HCO2,736.6819,690.6765,660.6658,658.6502,642.6553,506.4937,490.4988,207.1754,464.4837,181.1598,447.4572
Cer-NS(d14:1/31:1)+HCO2,734.6663,688.6608,658.6502,656.6346,640.6396,504.4781,488.4832,207.1754,462.468,181.1598,445.4415
Cer-NS(d14:1/32:0)+HCO2,750.6976,704.6921,674.6815,672.6658,656.671,520.5094,504.5144,207.1754,478.4993,181.1598,461.4728
Cer-NS(d14:1/32:1)+HCO2,748.6819,702.6765,672.6658,670.6502,654.6553,518.4937,502.4988,207.1754,476.4837,181.1598,459.4572
Cer-NS(d14:1/32:2)+HCO2,746.6663,700.6608,670.6502,668.6346,652.6396,516.4781,500.4832,207.1754,474.468,181.1598,457.4415
Cer-NS(d14:1/33:0)+HCO2,764.7132,718.7077,688.6971,686.6815,670.6866,534.525,518.5301,207.1754,492.515,181.1598,475.4884
Cer-NS(d14:1/33:1)+HCO2,762.6976,716.6921,686.6815,684.6658,668.671,532.5094,516.5145,207.1754,490.4993,181.1598,473.4728
Cer-NS(d14:1/34:0)+HCO2,778.7288,732.7234,702.7128,700.6971,684.7023,548.5406,532.5458,207.1754,506.5306,181.1598,489.5041
Cer-NS(d14:1/34:1)+HCO2,776.7132,730.7077,700.6971,698.6815,682.6866,546.525,530.5301,207.1754,504.515,181.1598,487.4884
Cer-NS(d14:1/34:2)+HCO2,774.6976,728.6921,698.6815,696.6658,680.671,544.5094,528.5145,207.1754,502.4993,181.1598,485.4728
Cer-NS(d14:1/35:0)+HCO2,792.7445,746.739,716.7285,714.7128,698.7179,562.5563,546.5614,207.1754,520.5463,181.1598,503.5197
Cer-NS(d14:1/35:1)+HCO2,790.7288,744.7234,714.7128,712.6971,696.7023,560.5406,544.5458,207.1754,518.5306,181.1598,501.5041
Cer-NS(d14:1/36:0)+HCO2,806.7601,760.7547,730.7441,728.7285,712.7335,576.572,560.577,207.1754,534.562,181.1598,517.5354
Cer-NS(d14:1/36:1)+HCO2,804.7445,758.739,728.7285,726.7128,710.7179,574.5563,558.5614,207.1754,532.5463,181.1598,515.5197
Cer-NS(d14:1/36:2)+HCO2,802.7288,756.7234,726.7128,724.6971,708.7023,572.5406,556.5458,207.1754,530.5306,181.1598,513.5041
Cer-NS(d14:1/38:0)+HCO2,834.7914,788.7859,758.7754,756.7598,740.7648,604.6033,588.6083,207.1754,562.5933,181.1598,545.5667
Cer-NS(d14:1/38:1)+HCO2,832.7758,786.7703,756.7598,754.7441,738.7492,602.5876,586.5927,207.1754,560.5776,181.1598,543.551
Cer-NS(d14:1/38:2)+HCO2,830.7601,784.7547,754.7441,752.7285,736.7335,600.572,584.577,207.1754,558.562,181.1598,541.5354
Cer-NS(d14:1/40:0)+HCO2,862.8228,816.8173,786.8067,784.7911,768.7961,632.6346,616.6396,207.1754,590.6245,181.1598,573.598
Cer-NS(d14:1/40:1)+HCO2,860.8071,814.8016,784.7911,782.7754,766.7805,630.6189,614.624,207.1754,588.6089,181.1598,571.5823
Cer-NS(d14:1/40:2)+HCO2,858.7914,812.7859,782.7754,780.7598,764.7648,628.6033,612.6083,207.1754,586.5933,181.1598,569.5667
Cer-NS(d14:1/42:0)+HCO2,890.8541,844.8486,814.838,812.8224,796.8275,660.6659,644.671,207.1754,618.6558,181.1598,601.6293
Cer-NS(d14:1/42:1)+HCO2,888.8384,842.8329,812.8224,810.8067,794.8118,658.6502,642.6553,207.1754,616.6402,181.1598,599.6136
Cer-NS(d14:1/42:2)+HCO2,886.8228,840.8173,810.8067,808.7911,792.7961,656.6346,640.6396,207.1754,614.6245,181.1598,597.598
Cer-NS(d14:2/12:0)+HCO2,468.3689,422.3634,392.3528,390.3372,374.3423,240.1964,224.2014,205.1598,198.1863,179.1441,181.1598
Cer-NS(d14:2/12:1)+HCO2,466.3532,420.3478,390.3372,388.3216,372.3266,238.1807,222.1858,205.1598,196.1707,179.1441,179.1441
Cer-NS(d14:2/13:0)+HCO2,482.3846,436.3791,406.3685,404.3528,388.3579,254.212,238.2171,205.1598,212.202,179.1441,195.1754
Cer-NS(d14:2/13:1)+HCO2,480.3689,434.3634,404.3528,402.3372,386.3423,252.1964,236.2014,205.1598,210.1863,179.1441,193.1598
Cer-NS(d14:2/14:0)+HCO2,496.4002,450.3947,420.3842,418.3685,402.3736,268.2277,252.2328,205.1598,226.2176,179.1441,209.1911
Cer-NS(d14:2/14:1)+HCO2,494.3846,448.3791,418.3685,416.3528,400.3579,266.212,250.2171,205.1598,224.202,179.1441,207.1754
Cer-NS(d14:2/15:0)+HCO2,510.4159,464.4104,434.3998,432.3842,416.3892,282.2433,266.2484,205.1598,240.2333,179.1441,223.2067
Cer-NS(d14:2/15:1)+HCO2,508.4002,462.3947,432.3842,430.3685,414.3736,280.2277,264.2328,205.1598,238.2176,179.1441,221.1911
Cer-NS(d14:2/16:0)+HCO2,524.4315,478.426,448.4154,446.3998,430.4049,296.259,280.264,205.1598,254.2489,179.1441,237.2224
Cer-NS(d14:2/16:1)+HCO2,522.4158,476.4104,446.3998,444.3842,428.3892,294.2433,278.2484,205.1598,252.2333,179.1441,235.2067
Cer-NS(d14:2/16:2)+HCO2,520.4002,474.3947,444.3842,442.3685,426.3736,292.2277,276.2328,205.1598,250.2176,179.1441,233.1911
Cer-NS(d14:2/17:0)+HCO2,538.4471,492.4417,462.4311,460.4154,444.4205,310.2746,294.2797,205.1598,268.2646,179.1441,251.238
Cer-NS(d14:2/18:0)+HCO2,552.4628,506.4573,476.4467,474.4311,458.4362,324.2903,308.2953,205.1598,282.2802,179.1441,265.2537
Cer-NS(d14:2/18:1)+HCO2,550.4471,504.4417,474.4311,472.4154,456.4205,322.2746,306.2797,205.1598,280.2646,179.1441,263.238
Cer-NS(d14:2/18:2)+HCO2,548.4315,502.426,472.4154,470.3998,454.4049,320.259,304.264,205.1598,278.2489,179.1441,261.2224
Cer-NS(d14:2/19:0)+HCO2,566.4785,520.473,490.4624,488.4467,472.4518,338.3059,322.311,205.1598,296.2959,179.1441,279.2693
Cer-NS(d14:2/19:1)+HCO2,564.4628,518.4573,488.4467,486.4311,470.4362,336.2903,320.2953,205.1598,294.2802,179.1441,277.2537
Cer-NS(d14:2/20:0)+HCO2,580.4941,534.4886,504.4781,502.4624,486.4675,352.3216,336.3267,205.1598,310.3116,179.1441,293.285
Cer-NS(d14:2/20:1)+HCO2,578.4785,532.473,502.4624,500.4467,484.4518,350.3059,334.311,205.1598,308.2959,179.1441,291.2693
Cer-NS(d14:2/20:2)+HCO2,576.4628,530.4573,500.4467,498.4311,482.4362,348.2903,332.2953,205.1598,306.2802,179.1441,289.2537
Cer-NS(d14:2/21:0)+HCO2,594.5098,548.5043,518.4937,516.4781,500.4832,366.3372,350.3423,205.1598,324.3272,179.1441,307.3006
Cer-NS(d14:2/21:1)+HCO2,592.4941,546.4886,516.478,514.4624,498.4675,364.3216,348.3267,205.1598,322.3116,179.1441,305.285
Cer-NS(d14:2/22:0)+HCO2,608.5254,562.52,532.5093,530.4937,514.4988,380.3529,364.3579,205.1598,338.3428,179.1441,321.3163
Cer-NS(d14:2/22:1)+HCO2,606.5098,560.5043,530.4937,528.4781,512.4832,378.3372,362.3423,205.1598,336.3272,179.1441,319.3006
Cer-NS(d14:2/22:2)+HCO2,604.4941,558.4886,528.478,526.4624,510.4675,376.3216,360.3267,205.1598,334.3116,179.1441,317.285
Cer-NS(d14:2/23:0)+HCO2,622.5411,576.5356,546.525,544.5093,528.5145,394.3685,378.3736,205.1598,352.3585,179.1441,335.3319
Cer-NS(d14:2/23:1)+HCO2,620.5254,574.52,544.5093,542.4937,526.4988,392.3529,376.3579,205.1598,350.3428,179.1441,333.3163
Cer-NS(d14:2/24:0)+HCO2,636.5567,590.5512,560.5406,558.525,542.5301,408.3842,392.3893,205.1598,366.3741,179.1441,349.3476
Cer-NS(d14:2/24:1)+HCO2,634.5411,588.5356,558.525,556.5093,540.5145,406.3685,390.3736,205.1598,364.3585,179.1441,347.3319
Cer-NS(d14:2/24:2)+HCO2,632.5254,586.52,556.5093,554.4937,538.4988,404.3529,388.3579,205.1598,362.3428,179.1441,345.3163
Cer-NS(d14:2/25:0)+HCO2,650.5723,604.5669,574.5563,572.5406,556.5457,422.3998,406.4049,205.1598,380.3898,179.1441,363.3633
Cer-NS(d14:2/25:1)+HCO2,648.5567,602.5512,572.5406,570.525,554.5301,420.3842,404.3893,205.1598,378.3741,179.1441,361.3476
Cer-NS(d14:2/26:0)+HCO2,664.588,618.5825,588.572,586.5563,570.5614,436.4155,420.4206,205.1598,394.4054,179.1441,377.3789
Cer-NS(d14:2/26:1)+HCO2,662.5723,616.5669,586.5563,584.5406,568.5457,434.3998,418.4049,205.1598,392.3898,179.1441,375.3633
Cer-NS(d14:2/26:2)+HCO2,660.5567,614.5512,584.5406,582.525,566.5301,432.3842,416.3893,205.1598,390.3741,179.1441,373.3476
Cer-NS(d14:2/27:0)+HCO2,678.6036,632.5982,602.5876,600.572,584.577,450.4311,434.4362,205.1598,408.4211,179.1441,391.3945
Cer-NS(d14:2/27:1)+HCO2,676.588,630.5825,600.572,598.5563,582.5614,448.4155,432.4206,205.1598,406.4054,179.1441,389.3789
Cer-NS(d14:2/28:0)+HCO2,692.6193,646.6138,616.6033,614.5876,598.5927,464.4468,448.4518,205.1598,422.4367,179.1441,405.4102
Cer-NS(d14:2/28:1)+HCO2,690.6036,644.5982,614.5876,612.572,596.577,462.4311,446.4362,205.1598,420.4211,179.1441,403.3945
Cer-NS(d14:2/28:2)+HCO2,688.588,642.5825,612.572,610.5563,594.5614,460.4155,444.4206,205.1598,418.4054,179.1441,401.3789
Cer-NS(d14:2/29:0)+HCO2,706.6349,660.6295,630.6189,628.6033,612.6083,478.4624,462.4675,205.1598,436.4524,179.1441,419.4258
Cer-NS(d14:2/29:1)+HCO2,704.6193,658.6138,628.6033,626.5876,610.5927,476.4468,460.4518,205.1598,434.4367,179.1441,417.4102
Cer-NS(d14:2/30:0)+HCO2,720.6506,674.6451,644.6346,642.6189,626.624,492.4781,476.4832,205.1598,450.468,179.1441,433.4415
Cer-NS(d14:2/30:1)+HCO2,718.6349,672.6295,642.6189,640.6033,624.6083,490.4624,474.4675,205.1598,448.4524,179.1441,431.4258
Cer-NS(d14:2/30:2)+HCO2,716.6193,670.6138,640.6033,638.5876,622.5927,488.4468,472.4518,205.1598,446.4367,179.1441,429.4102
Cer-NS(d14:2/31:0)+HCO2,734.6663,688.6608,658.6502,656.6346,640.6396,506.4937,490.4988,205.1598,464.4837,179.1441,447.4572
Cer-NS(d14:2/31:1)+HCO2,732.6506,686.6451,656.6346,654.6189,638.624,504.4781,488.4832,205.1598,462.468,179.1441,445.4415
Cer-NS(d14:2/32:0)+HCO2,748.6819,702.6765,672.6658,670.6502,654.6553,520.5094,504.5144,205.1598,478.4993,179.1441,461.4728
Cer-NS(d14:2/32:1)+HCO2,746.6663,700.6608,670.6502,668.6346,652.6396,518.4937,502.4988,205.1598,476.4837,179.1441,459.4572
Cer-NS(d14:2/32:2)+HCO2,744.6506,698.6451,668.6346,666.6189,650.624,516.4781,500.4832,205.1598,474.468,179.1441,457.4415
Cer-NS(d14:2/33:0)+HCO2,762.6976,716.6921,686.6815,684.6658,668.671,534.525,518.5301,205.1598,492.515,179.1441,475.4884
Cer-NS(d14:2/33:1)+HCO2,760.6819,714.6765,684.6658,682.6502,666.6553,532.5094,516.5145,205.1598,490.4993,179.1441,473.4728
Cer-NS(d14:2/34:0)+HCO2,776.7132,730.7077,700.6971,698.6815,682.6866,548.5406,532.5458,205.1598,506.5306,179.1441,489.5041
Cer-NS(d14:2/34:1)+HCO2,774.6976,728.6921,698.6815,696.6658,680.671,546.525,530.5301,205.1598,504.515,179.1441,487.4884
Cer-NS(d14:2/34:2)+HCO2,772.6819,726.6765,696.6658,694.6502,678.6553,544.5094,528.5145,205.1598,502.4993,179.1441,485.4728
Cer-NS(d14:2/35:0)+HCO2,790.7288,744.7234,714.7128,712.6971,696.7023,562.5563,546.5614,205.1598,520.5463,179.1441,503.5197
Cer-NS(d14:2/35:1)+HCO2,788.7132,742.7077,712.6971,710.6815,694.6866,560.5406,544.5458,205.1598,518.5306,179.1441,501.5041
Cer-NS(d14:2/36:0)+HCO2,804.7445,758.739,728.7285,726.7128,710.7179,576.572,560.577,205.1598,534.562,179.1441,517.5354
Cer-NS(d14:2/36:1)+HCO2,802.7288,756.7234,726.7128,724.6971,708.7023,574.5563,558.5614,205.1598,532.5463,179.1441,515.5197
Cer-NS(d14:2/36:2)+HCO2,800.7132,754.7077,724.6971,722.6815,706.6866,572.5406,556.5458,205.1598,530.5306,179.1441,513.5041
Cer-NS(d14:2/38:0)+HCO2,832.7758,786.7703,756.7598,754.7441,738.7492,604.6033,588.6083,205.1598,562.5933,179.1441,545.5667
Cer-NS(d14:2/38:1)+HCO2,830.7601,784.7547,754.7441,752.7285,736.7335,602.5876,586.5927,205.1598,560.5776,179.1441,543.551
Cer-NS(d14:2/38:2)+HCO2,828.7445,782.739,752.7285,750.7128,734.7179,600.572,584.577,205.1598,558.562,179.1441,541.5354
Cer-NS(d14:2/40:0)+HCO2,860.8071,814.8016,784.7911,782.7754,766.7805,632.6346,616.6396,205.1598,590.6245,179.1441,573.598
Cer-NS(d14:2/40:1)+HCO2,858.7914,812.7859,782.7754,780.7598,764.7648,630.6189,614.624,205.1598,588.6089,179.1441,571.5823
Cer-NS(d14:2/40:2)+HCO2,856.7758,810.7703,780.7598,778.7441,762.7492,628.6033,612.6083,205.1598,586.5933,179.1441,569.5667
Cer-NS(d14:2/42:0)+HCO2,888.8384,842.8329,812.8224,810.8067,794.8118,660.6659,644.671,205.1598,618.6558,179.1441,601.6293
Cer-NS(d14:2/42:1)+HCO2,886.8228,840.8173,810.8067,808.7911,792.7961,658.6502,642.6553,205.1598,616.6402,179.1441,599.6136
Cer-NS(d14:2/42:2)+HCO2,884.8071,838.8016,808.7911,806.7754,790.7805,656.6346,640.6396,205.1598,614.6245,179.1441,597.598
Cer-NS(d14:3/12:0)+HCO2,466.3532,420.3478,390.3372,388.3216,372.3266,240.1964,224.2014,203.1441,198.1863,177.1285,181.1598
Cer-NS(d14:3/12:1)+HCO2,464.3376,418.3321,388.3216,386.3059,370.311,238.1807,222.1858,203.1441,196.1707,177.1285,179.1441
Cer-NS(d14:3/13:0)+HCO2,480.3689,434.3634,404.3528,402.3372,386.3423,254.212,238.2171,203.1441,212.202,177.1285,195.1754
Cer-NS(d14:3/13:1)+HCO2,478.3532,432.3478,402.3372,400.3216,384.3266,252.1964,236.2014,203.1441,210.1863,177.1285,193.1598
Cer-NS(d14:3/14:0)+HCO2,494.3846,448.3791,418.3685,416.3528,400.3579,268.2277,252.2328,203.1441,226.2176,177.1285,209.1911
Cer-NS(d14:3/14:1)+HCO2,492.3689,446.3634,416.3528,414.3372,398.3423,266.212,250.2171,203.1441,224.202,177.1285,207.1754
Cer-NS(d14:3/15:0)+HCO2,508.4002,462.3947,432.3842,430.3685,414.3736,282.2433,266.2484,203.1441,240.2333,177.1285,223.2067
Cer-NS(d14:3/15:1)+HCO2,506.3846,460.3791,430.3685,428.3528,412.3579,280.2277,264.2328,203.1441,238.2176,177.1285,221.1911
Cer-NS(d14:3/16:0)+HCO2,522.4158,476.4104,446.3998,444.3842,428.3892,296.259,280.264,203.1441,254.2489,177.1285,237.2224
Cer-NS(d14:3/16:1)+HCO2,520.4002,474.3947,444.3842,442.3685,426.3736,294.2433,278.2484,203.1441,252.2333,177.1285,235.2067
Cer-NS(d14:3/16:2)+HCO2,518.3845,472.3791,442.3685,440.3528,424.3579,292.2277,276.2328,203.1441,250.2176,177.1285,233.1911
Cer-NS(d14:3/17:0)+HCO2,536.4315,490.426,460.4154,458.3998,442.4049,310.2746,294.2797,203.1441,268.2646,177.1285,251.238
Cer-NS(d14:3/18:0)+HCO2,550.4471,504.4417,474.4311,472.4154,456.4205,324.2903,308.2953,203.1441,282.2802,177.1285,265.2537
Cer-NS(d14:3/18:1)+HCO2,548.4315,502.426,472.4154,470.3998,454.4049,322.2746,306.2797,203.1441,280.2646,177.1285,263.238
Cer-NS(d14:3/18:2)+HCO2,546.4158,500.4104,470.3998,468.3842,452.3892,320.259,304.264,203.1441,278.2489,177.1285,261.2224
Cer-NS(d14:3/19:0)+HCO2,564.4628,518.4573,488.4467,486.4311,470.4362,338.3059,322.311,203.1441,296.2959,177.1285,279.2693
Cer-NS(d14:3/19:1)+HCO2,562.4471,516.4417,486.4311,484.4154,468.4205,336.2903,320.2953,203.1441,294.2802,177.1285,277.2537
Cer-NS(d14:3/20:0)+HCO2,578.4785,532.473,502.4624,500.4467,484.4518,352.3216,336.3267,203.1441,310.3116,177.1285,293.285
Cer-NS(d14:3/20:1)+HCO2,576.4628,530.4573,500.4467,498.4311,482.4362,350.3059,334.311,203.1441,308.2959,177.1285,291.2693
Cer-NS(d14:3/20:2)+HCO2,574.4471,528.4417,498.4311,496.4154,480.4205,348.2903,332.2953,203.1441,306.2802,177.1285,289.2537
Cer-NS(d14:3/21:0)+HCO2,592.4941,546.4886,516.478,514.4624,498.4675,366.3372,350.3423,203.1441,324.3272,177.1285,307.3006
Cer-NS(d14:3/21:1)+HCO2,590.4785,544.473,514.4624,512.4468,496.4518,364.3216,348.3267,203.1441,322.3116,177.1285,305.285
Cer-NS(d14:3/22:0)+HCO2,606.5098,560.5043,530.4937,528.4781,512.4832,380.3529,364.3579,203.1441,338.3428,177.1285,321.3163
Cer-NS(d14:3/22:1)+HCO2,604.4941,558.4886,528.478,526.4624,510.4675,378.3372,362.3423,203.1441,336.3272,177.1285,319.3006
Cer-NS(d14:3/22:2)+HCO2,602.4785,556.473,526.4624,524.4468,508.4518,376.3216,360.3267,203.1441,334.3116,177.1285,317.285
Cer-NS(d14:3/23:0)+HCO2,620.5254,574.52,544.5093,542.4937,526.4988,394.3685,378.3736,203.1441,352.3585,177.1285,335.3319
Cer-NS(d14:3/23:1)+HCO2,618.5098,572.5043,542.4937,540.4781,524.4832,392.3529,376.3579,203.1441,350.3428,177.1285,333.3163
Cer-NS(d14:3/24:0)+HCO2,634.5411,588.5356,558.525,556.5093,540.5145,408.3842,392.3893,203.1441,366.3741,177.1285,349.3476
Cer-NS(d14:3/24:1)+HCO2,632.5254,586.52,556.5093,554.4937,538.4988,406.3685,390.3736,203.1441,364.3585,177.1285,347.3319
Cer-NS(d14:3/24:2)+HCO2,630.5098,584.5043,554.4937,552.4781,536.4832,404.3529,388.3579,203.1441,362.3428,177.1285,345.3163
Cer-NS(d14:3/25:0)+HCO2,648.5567,602.5512,572.5406,570.525,554.5301,422.3998,406.4049,203.1441,380.3898,177.1285,363.3633
Cer-NS(d14:3/25:1)+HCO2,646.5411,600.5356,570.525,568.5093,552.5145,420.3842,404.3893,203.1441,378.3741,177.1285,361.3476
Cer-NS(d14:3/26:0)+HCO2,662.5723,616.5669,586.5563,584.5406,568.5457,436.4155,420.4206,203.1441,394.4054,177.1285,377.3789
Cer-NS(d14:3/26:1)+HCO2,660.5567,614.5512,584.5406,582.525,566.5301,434.3998,418.4049,203.1441,392.3898,177.1285,375.3633
Cer-NS(d14:3/26:2)+HCO2,658.5411,612.5356,582.525,580.5093,564.5145,432.3842,416.3893,203.1441,390.3741,177.1285,373.3476
Cer-NS(d14:3/27:0)+HCO2,676.588,630.5825,600.572,598.5563,582.5614,450.4311,434.4362,203.1441,408.4211,177.1285,391.3945
Cer-NS(d14:3/27:1)+HCO2,674.5723,628.5669,598.5563,596.5406,580.5457,448.4155,432.4206,203.1441,406.4054,177.1285,389.3789
Cer-NS(d14:3/28:0)+HCO2,690.6036,644.5982,614.5876,612.572,596.577,464.4468,448.4518,203.1441,422.4367,177.1285,405.4102
Cer-NS(d14:3/28:1)+HCO2,688.588,642.5825,612.572,610.5563,594.5614,462.4311,446.4362,203.1441,420.4211,177.1285,403.3945
Cer-NS(d14:3/28:2)+HCO2,686.5723,640.5669,610.5563,608.5406,592.5457,460.4155,444.4206,203.1441,418.4054,177.1285,401.3789
Cer-NS(d14:3/29:0)+HCO2,704.6193,658.6138,628.6033,626.5876,610.5927,478.4624,462.4675,203.1441,436.4524,177.1285,419.4258
Cer-NS(d14:3/29:1)+HCO2,702.6036,656.5982,626.5876,624.572,608.577,476.4468,460.4518,203.1441,434.4367,177.1285,417.4102
Cer-NS(d14:3/30:0)+HCO2,718.6349,672.6295,642.6189,640.6033,624.6083,492.4781,476.4832,203.1441,450.468,177.1285,433.4415
Cer-NS(d14:3/30:1)+HCO2,716.6193,670.6138,640.6033,638.5876,622.5927,490.4624,474.4675,203.1441,448.4524,177.1285,431.4258
