Cer-EOS,[M-H]-,NL of EFA,[FAA+C2H2-H]-,[EFA-H]-,[FAA-H]-,[Sph-C2H8NO]-
Cer-EOS(d14:1/12:0-O-14:0)-H,650.5723,440.374,240.1969,227.2017,214.1813,181.1598
Cer-EOS(d14:1/12:1-O-14:0)-H,648.5567,438.3583,238.1813,227.2017,212.1656,181.1598
Cer-EOS(d14:1/13:0-O-14:0)-H,664.588,454.3896,254.2126,227.2017,228.1969,181.1598
Cer-EOS(d14:1/13:1-O-14:0)-H,662.5723,452.374,252.1969,227.2017,226.1813,181.1598
Cer-EOS(d14:1/14:0-O-14:0)-H,678.6036,468.4053,268.2282,227.2017,242.2126,181.1598
Cer-EOS(d14:1/14:1-O-14:0)-H,676.588,466.3896,266.2126,227.2017,240.1969,181.1598
Cer-EOS(d14:1/15:0-O-14:0)-H,692.6193,482.4209,282.2439,227.2017,256.2282,181.1598
Cer-EOS(d14:1/15:1-O-14:0)-H,690.6036,480.4053,280.2282,227.2017,254.2126,181.1598
Cer-EOS(d14:1/16:0-O-14:0)-H,706.6349,496.4366,296.2595,227.2017,270.2439,181.1598
Cer-EOS(d14:1/16:1-O-14:0)-H,704.6193,494.4209,294.2439,227.2017,268.2282,181.1598
Cer-EOS(d14:1/16:2-O-14:0)-H,702.6036,492.4053,292.2282,227.2017,266.2126,181.1598
Cer-EOS(d14:1/17:0-O-14:0)-H,720.6506,510.4522,310.2751,227.2017,284.2595,181.1598
Cer-EOS(d14:1/18:0-O-14:0)-H,734.6663,524.4679,324.2908,227.2017,298.2751,181.1598
Cer-EOS(d14:1/18:1-O-14:0)-H,732.6506,522.4522,322.2751,227.2017,296.2595,181.1598
Cer-EOS(d14:1/18:2-O-14:0)-H,730.6349,520.4366,320.2595,227.2017,294.2439,181.1598
Cer-EOS(d14:1/19:0-O-14:0)-H,748.6819,538.4835,338.3065,227.2017,312.2908,181.1598
Cer-EOS(d14:1/19:1-O-14:0)-H,746.6663,536.4679,336.2908,227.2017,310.2751,181.1598
Cer-EOS(d14:1/20:0-O-14:0)-H,762.6976,552.4992,352.3221,227.2017,326.3065,181.1598
Cer-EOS(d14:1/20:1-O-14:0)-H,760.6819,550.4835,350.3065,227.2017,324.2908,181.1598
Cer-EOS(d14:1/20:2-O-14:0)-H,758.6663,548.4679,348.2908,227.2017,322.2751,181.1598
Cer-EOS(d14:1/21:0-O-14:0)-H,776.7132,566.5148,366.3378,227.2017,340.3221,181.1598
Cer-EOS(d14:1/21:1-O-14:0)-H,774.6976,564.4992,364.3221,227.2017,338.3065,181.1598
Cer-EOS(d14:1/22:0-O-14:0)-H,790.7289,580.5305,380.3534,227.2017,354.3378,181.1598
Cer-EOS(d14:1/22:1-O-14:0)-H,788.7132,578.5148,378.3378,227.2017,352.3221,181.1598
Cer-EOS(d14:1/22:2-O-14:0)-H,786.6976,576.4992,376.3221,227.2017,350.3065,181.1598
Cer-EOS(d14:1/23:0-O-14:0)-H,804.7445,594.5461,394.369,227.2017,368.3534,181.1598
Cer-EOS(d14:1/23:1-O-14:0)-H,802.7289,592.5305,392.3534,227.2017,366.3378,181.1598
Cer-EOS(d14:1/24:0-O-14:0)-H,818.7601,608.5618,408.3847,227.2017,382.369,181.1598
Cer-EOS(d14:1/24:1-O-14:0)-H,816.7445,606.5461,406.369,227.2017,380.3534,181.1598
