Cer-ADS,[M+C2H3O2]-,[M-H]-,[M-O-H]-,[M-CO-H]-,[M-CO-O-H]-,[Sph-H]-,[Sph+C=O-3H]-,[Sph-O-H]-,[Sph+C=O-O-3H]-,[Sph-CO-H]-,[FA-3H]-,[Sph-NCCO-3H]-,[FA-CO-3H]-
Cer-ADS(d25:0/32:2)+C2H3O2,932.8646,872.8435,854.8329,840.8173,824.8223,398.4004,516.4781,380.3898,498.4675,366.3741,473.4364,337.3476,445.4415
Cer-ADS(d25:0/33:0)+C2H3O2,950.9116,890.8904,872.8799,858.8642,842.8693,398.4004,534.525,380.3898,516.5145,366.3741,491.4834,337.3476,463.4884
Cer-ADS(d25:0/33:1)+C2H3O2,948.8959,888.8748,870.8642,856.8486,840.8536,398.4004,532.5094,380.3898,514.4988,366.3741,489.4677,337.3476,461.4728
Cer-ADS(d25:0/34:0)+C2H3O2,964.9272,904.9061,886.8955,872.8799,856.8849,398.4004,548.5406,380.3898,530.5301,366.3741,505.499,337.3476,477.5041
Cer-ADS(d25:0/34:1)+C2H3O2,962.9116,902.8904,884.8799,870.8642,854.8693,398.4004,546.525,380.3898,528.5145,366.3741,503.4834,337.3476,475.4884
Cer-ADS(d25:0/34:2)+C2H3O2,960.8959,900.8748,882.8642,868.8486,852.8536,398.4004,544.5094,380.3898,526.4988,366.3741,501.4677,337.3476,473.4728
Cer-ADS(d25:0/35:0)+C2H3O2,978.9429,918.9218,900.9112,886.8955,870.9006,398.4004,562.5563,380.3898,544.5458,366.3741,519.5146,337.3476,491.5197
Cer-ADS(d25:0/35:1)+C2H3O2,976.9272,916.9061,898.8955,884.8799,868.8849,398.4004,560.5406,380.3898,542.5301,366.3741,517.499,337.3476,489.5041
Cer-ADS(d25:0/36:0)+C2H3O2,992.9585,932.9374,914.9268,900.9112,884.9163,398.4004,576.572,380.3898,558.5614,366.3741,533.5303,337.3476,505.5354
Cer-ADS(d25:0/36:1)+C2H3O2,990.9429,930.9218,912.9112,898.8955,882.9006,398.4004,574.5563,380.3898,556.5458,366.3741,531.5146,337.3476,503.5197
Cer-ADS(d25:0/36:2)+C2H3O2,988.9272,928.9061,910.8955,896.8799,880.8849,398.4004,572.5406,380.3898,554.5301,366.3741,529.499,337.3476,501.5041
Cer-ADS(d25:0/38:0)+C2H3O2,1020.99,960.9687,942.9581,928.9424,912.9476,398.4004,604.6033,380.3898,586.5927,366.3741,561.5616,337.3476,533.5667
Cer-ADS(d25:0/38:1)+C2H3O2,1018.974,958.9531,940.9424,926.9268,910.9319,398.4004,602.5876,380.3898,584.577,366.3741,559.546,337.3476,531.551
Cer-ADS(d25:0/38:2)+C2H3O2,1016.958,956.9374,938.9268,924.9112,908.9163,398.4004,600.572,380.3898,582.5614,366.3741,557.5303,337.3476,529.5354
Cer-ADS(d25:0/40:0)+C2H3O2,1049.021,989,970.9894,956.9738,940.9788,398.4004,632.6346,380.3898,614.624,366.3741,589.5929,337.3476,561.598
Cer-ADS(d25:0/40:1)+C2H3O2,1047.005,986.9843,968.9738,954.9581,938.9632,398.4004,630.6189,380.3898,612.6083,366.3741,587.5773,337.3476,559.5823
Cer-ADS(d25:0/40:2)+C2H3O2,1044.99,984.9687,966.9581,952.9424,936.9476,398.4004,628.6033,380.3898,610.5927,366.3741,585.5616,337.3476,557.5667
Cer-ADS(d25:0/42:0)+C2H3O2,1077.052,1017.031,999.0207,985.0051,969.0101,398.4004,660.6659,380.3898,642.6553,366.3741,617.6242,337.3476,589.6293
Cer-ADS(d25:0/42:1)+C2H3O2,1075.037,1015.016,997.0051,982.9894,966.9945,398.4004,658.6502,380.3898,640.6396,366.3741,615.6086,337.3476,587.6136
Cer-ADS(d25:0/42:2)+C2H3O2,1073.021,1013,994.9894,980.9738,964.9788,398.4004,656.6346,380.3898,638.624,366.3741,613.5929,337.3476,585.598
Cer-ADS(d26:0/12:0)+C2H3O2,670.5986,610.5775,592.5669,578.5512,562.5563,412.416,240.1964,394.4054,222.1858,380.3898,197.1547,351.3633,169.1598
Cer-ADS(d26:0/12:1)+C2H3O2,668.5829,608.5618,590.5512,576.5356,560.5406,412.416,238.1807,394.4054,220.1702,380.3898,195.1391,351.3633,167.1441
Cer-ADS(d26:0/13:0)+C2H3O2,684.6142,624.5931,606.5825,592.5669,576.572,412.416,254.212,394.4054,236.2014,380.3898,211.1704,351.3633,183.1754
Cer-ADS(d26:0/13:1)+C2H3O2,682.5986,622.5775,604.5669,590.5512,574.5563,412.416,252.1964,394.4054,234.1858,380.3898,209.1547,351.3633,181.1598
Cer-ADS(d26:0/14:0)+C2H3O2,698.6299,638.6088,620.5981,606.5825,590.5876,412.416,268.2277,394.4054,250.2171,380.3898,225.186,351.3633,197.1911
Cer-ADS(d26:0/14:1)+C2H3O2,696.6142,636.5931,618.5825,604.5669,588.572,412.416,266.212,394.4054,248.2014,380.3898,223.1704,351.3633,195.1754
Cer-ADS(d26:0/15:0)+C2H3O2,712.6455,652.6244,634.6138,620.5981,604.6033,412.416,282.2433,394.4054,264.2328,380.3898,239.2017,351.3633,211.2067
Cer-ADS(d26:0/15:1)+C2H3O2,710.6299,650.6088,632.5981,618.5825,602.5876,412.416,280.2277,394.4054,262.2171,380.3898,237.186,351.3633,209.1911
Cer-ADS(d26:0/16:0)+C2H3O2,726.6612,666.64,648.6295,634.6138,618.6189,412.416,296.259,394.4054,278.2484,380.3898,253.2173,351.3633,225.2224
Cer-ADS(d26:0/16:1)+C2H3O2,724.6455,664.6244,646.6138,632.5981,616.6033,412.416,294.2433,394.4054,276.2328,380.3898,251.2017,351.3633,223.2067
Cer-ADS(d26:0/16:2)+C2H3O2,722.6299,662.6088,644.5981,630.5825,614.5876,412.416,292.2277,394.4054,274.2171,380.3898,249.186,351.3633,221.1911
Cer-ADS(d26:0/17:0)+C2H3O2,740.6768,680.6557,662.6451,648.6295,632.6345,412.416,310.2746,394.4054,292.264,380.3898,267.233,351.3633,239.238
Cer-ADS(d26:0/18:0)+C2H3O2,754.6924,694.6713,676.6608,662.6451,646.6502,412.416,324.2903,394.4054,306.2797,380.3898,281.2486,351.3633,253.2537
Cer-ADS(d26:0/18:1)+C2H3O2,752.6768,692.6557,674.6451,660.6295,644.6345,412.416,322.2746,394.4054,304.264,380.3898,279.233,351.3633,251.238
Cer-ADS(d26:0/18:2)+C2H3O2,750.6612,690.64,672.6295,658.6138,642.6189,412.416,320.259,394.4054,302.2484,380.3898,277.2173,351.3633,249.2224
Cer-ADS(d26:0/19:0)+C2H3O2,768.7081,708.687,690.6764,676.6608,660.6658,412.416,338.3059,394.4054,320.2953,380.3898,295.2643,351.3633,267.2693
Cer-ADS(d26:0/19:1)+C2H3O2,766.6924,706.6713,688.6608,674.6451,658.6502,412.416,336.2903,394.4054,318.2797,380.3898,293.2486,351.3633,265.2537
Cer-ADS(d26:0/20:0)+C2H3O2,782.7238,722.7026,704.6921,690.6764,674.6815,412.416,352.3216,394.4054,334.311,380.3898,309.2799,351.3633,281.285
Cer-ADS(d26:0/20:1)+C2H3O2,780.7081,720.687,702.6764,688.6608,672.6658,412.416,350.3059,394.4054,332.2953,380.3898,307.2643,351.3633,279.2693
Cer-ADS(d26:0/20:2)+C2H3O2,778.6924,718.6713,700.6608,686.6451,670.6502,412.416,348.2903,394.4054,330.2797,380.3898,305.2486,351.3633,277.2537
Cer-ADS(d26:0/21:0)+C2H3O2,796.7394,736.7183,718.7077,704.6921,688.6971,412.416,366.3372,394.4054,348.3267,380.3898,323.2956,351.3633,295.3006
Cer-ADS(d26:0/21:1)+C2H3O2,794.7238,734.7026,716.6921,702.6764,686.6815,412.416,364.3216,394.4054,346.311,380.3898,321.2799,351.3633,293.285
Cer-ADS(d26:0/22:0)+C2H3O2,810.7551,750.7339,732.7234,718.7077,702.7128,412.416,380.3529,394.4054,362.3423,380.3898,337.3112,351.3633,309.3163
Cer-ADS(d26:0/22:1)+C2H3O2,808.7394,748.7183,730.7077,716.6921,700.6971,412.416,378.3372,394.4054,360.3267,380.3898,335.2956,351.3633,307.3006
Cer-ADS(d26:0/22:2)+C2H3O2,806.7238,746.7026,728.6921,714.6764,698.6815,412.416,376.3216,394.4054,358.311,380.3898,333.2799,351.3633,305.285
Cer-ADS(d26:0/23:0)+C2H3O2,824.7707,764.7496,746.739,732.7234,716.7285,412.416,394.3685,394.4054,376.3579,380.3898,351.3269,351.3633,323.3319
Cer-ADS(d26:0/23:1)+C2H3O2,822.7551,762.7339,744.7234,730.7077,714.7128,412.416,392.3529,394.4054,374.3423,380.3898,349.3112,351.3633,321.3163
Cer-ADS(d26:0/24:0)+C2H3O2,838.7864,778.7653,760.7547,746.739,730.7441,412.416,408.3842,394.4054,390.3736,380.3898,365.3425,351.3633,337.3476
Cer-ADS(d26:0/24:1)+C2H3O2,836.7707,776.7496,758.739,744.7234,728.7285,412.416,406.3685,394.4054,388.3579,380.3898,363.3269,351.3633,335.3319
Cer-ADS(d26:0/24:2)+C2H3O2,834.7551,774.7339,756.7234,742.7077,726.7128,412.416,404.3529,394.4054,386.3423,380.3898,361.3112,351.3633,333.3163
Cer-ADS(d26:0/25:0)+C2H3O2,852.802,792.7809,774.7703,760.7547,744.7598,412.416,422.3998,394.4054,404.3893,380.3898,379.3582,351.3633,351.3633
Cer-ADS(d26:0/25:1)+C2H3O2,850.7864,790.7653,772.7547,758.739,742.7441,412.416,420.3842,394.4054,402.3736,380.3898,377.3425,351.3633,349.3476
Cer-ADS(d26:0/26:0)+C2H3O2,866.8177,806.7966,788.7859,774.7703,758.7754,412.416,436.4155,394.4054,418.4049,380.3898,393.3738,351.3633,365.3789
Cer-ADS(d26:0/26:1)+C2H3O2,864.802,804.7809,786.7703,772.7547,756.7598,412.416,434.3998,394.4054,416.3893,380.3898,391.3582,351.3633,363.3633
Cer-ADS(d26:0/26:2)+C2H3O2,862.7864,802.7653,784.7547,770.739,754.7441,412.416,432.3842,394.4054,414.3736,380.3898,389.3425,351.3633,361.3476
Cer-ADS(d26:0/27:0)+C2H3O2,880.8333,820.8122,802.8016,788.7859,772.7911,412.416,450.4311,394.4054,432.4206,380.3898,407.3895,351.3633,379.3945
Cer-ADS(d26:0/27:1)+C2H3O2,878.8177,818.7966,800.7859,786.7703,770.7754,412.416,448.4155,394.4054,430.4049,380.3898,405.3738,351.3633,377.3789
Cer-ADS(d26:0/28:0)+C2H3O2,894.849,834.8278,816.8173,802.8016,786.8067,412.416,464.4468,394.4054,446.4362,380.3898,421.4051,351.3633,393.4102
Cer-ADS(d26:0/28:1)+C2H3O2,892.8333,832.8122,814.8016,800.7859,784.7911,412.416,462.4311,394.4054,444.4206,380.3898,419.3895,351.3633,391.3945
Cer-ADS(d26:0/28:2)+C2H3O2,890.8177,830.7966,812.7859,798.7703,782.7754,412.416,460.4155,394.4054,442.4049,380.3898,417.3738,351.3633,389.3789
Cer-ADS(d26:0/29:0)+C2H3O2,908.8646,848.8435,830.8329,816.8173,800.8223,412.416,478.4624,394.4054,460.4518,380.3898,435.4207,351.3633,407.4258
Cer-ADS(d26:0/29:1)+C2H3O2,906.849,846.8278,828.8173,814.8016,798.8067,412.416,476.4468,394.4054,458.4362,380.3898,433.4051,351.3633,405.4102
Cer-ADS(d26:0/30:0)+C2H3O2,922.8802,862.8591,844.8486,830.8329,814.838,412.416,492.4781,394.4054,474.4675,380.3898,449.4364,351.3633,421.4415
Cer-ADS(d26:0/30:1)+C2H3O2,920.8646,860.8435,842.8329,828.8173,812.8223,412.416,490.4624,394.4054,472.4518,380.3898,447.4207,351.3633,419.4258
Cer-ADS(d26:0/30:2)+C2H3O2,918.849,858.8278,840.8173,826.8016,810.8067,412.416,488.4468,394.4054,470.4362,380.3898,445.4051,351.3633,417.4102
Cer-ADS(d26:0/31:0)+C2H3O2,936.8959,876.8748,858.8642,844.8486,828.8536,412.416,506.4937,394.4054,488.4832,380.3898,463.4521,351.3633,435.4572
Cer-ADS(d26:0/31:1)+C2H3O2,934.8802,874.8591,856.8486,842.8329,826.838,412.416,504.4781,394.4054,486.4675,380.3898,461.4364,351.3633,433.4415
Cer-ADS(d26:0/32:0)+C2H3O2,950.9116,890.8904,872.8799,858.8642,842.8693,412.416,520.5094,394.4054,502.4988,380.3898,477.4677,351.3633,449.4728
Cer-ADS(d26:0/32:1)+C2H3O2,948.8959,888.8748,870.8642,856.8486,840.8536,412.416,518.4937,394.4054,500.4832,380.3898,475.4521,351.3633,447.4572
Cer-ADS(d26:0/32:2)+C2H3O2,946.8802,886.8591,868.8486,854.8329,838.838,412.416,516.4781,394.4054,498.4675,380.3898,473.4364,351.3633,445.4415
Cer-ADS(d26:0/33:0)+C2H3O2,964.9272,904.9061,886.8955,872.8799,856.8849,412.416,534.525,394.4054,516.5145,380.3898,491.4834,351.3633,463.4884
Cer-ADS(d26:0/33:1)+C2H3O2,962.9116,902.8904,884.8799,870.8642,854.8693,412.416,532.5094,394.4054,514.4988,380.3898,489.4677,351.3633,461.4728
Cer-ADS(d26:0/34:0)+C2H3O2,978.9429,918.9218,900.9112,886.8955,870.9006,412.416,548.5406,394.4054,530.5301,380.3898,505.499,351.3633,477.5041
Cer-ADS(d26:0/34:1)+C2H3O2,976.9272,916.9061,898.8955,884.8799,868.8849,412.416,546.525,394.4054,528.5145,380.3898,503.4834,351.3633,475.4884
Cer-ADS(d26:0/34:2)+C2H3O2,974.9116,914.8904,896.8799,882.8642,866.8693,412.416,544.5094,394.4054,526.4988,380.3898,501.4677,351.3633,473.4728
Cer-ADS(d26:0/35:0)+C2H3O2,992.9585,932.9374,914.9268,900.9112,884.9163,412.416,562.5563,394.4054,544.5458,380.3898,519.5146,351.3633,491.5197
Cer-ADS(d26:0/35:1)+C2H3O2,990.9429,930.9218,912.9112,898.8955,882.9006,412.416,560.5406,394.4054,542.5301,380.3898,517.499,351.3633,489.5041
Cer-ADS(d26:0/36:0)+C2H3O2,1006.974,946.9531,928.9424,914.9268,898.9319,412.416,576.572,394.4054,558.5614,380.3898,533.5303,351.3633,505.5354
Cer-ADS(d26:0/36:1)+C2H3O2,1004.958,944.9374,926.9268,912.9112,896.9163,412.416,574.5563,394.4054,556.5458,380.3898,531.5146,351.3633,503.5197
Cer-ADS(d26:0/36:2)+C2H3O2,1002.943,942.9218,924.9112,910.8955,894.9006,412.416,572.5406,394.4054,554.5301,380.3898,529.499,351.3633,501.5041
Cer-ADS(d26:0/38:0)+C2H3O2,1035.005,974.9843,956.9738,942.9581,926.9632,412.416,604.6033,394.4054,586.5927,380.3898,561.5616,351.3633,533.5667
Cer-ADS(d26:0/38:1)+C2H3O2,1032.99,972.9687,954.9581,940.9424,924.9476,412.416,602.5876,394.4054,584.577,380.3898,559.546,351.3633,531.551
Cer-ADS(d26:0/38:2)+C2H3O2,1030.974,970.9531,952.9424,938.9268,922.9319,412.416,600.572,394.4054,582.5614,380.3898,557.5303,351.3633,529.5354
Cer-ADS(d26:0/40:0)+C2H3O2,1063.037,1003.016,985.0051,970.9894,954.9945,412.416,632.6346,394.4054,614.624,380.3898,589.5929,351.3633,561.598
Cer-ADS(d26:0/40:1)+C2H3O2,1061.021,1001,982.9894,968.9738,952.9788,412.416,630.6189,394.4054,612.6083,380.3898,587.5773,351.3633,559.5823
Cer-ADS(d26:0/40:2)+C2H3O2,1059.005,998.9843,980.9738,966.9581,950.9632,412.416,628.6033,394.4054,610.5927,380.3898,585.5616,351.3633,557.5667
Cer-ADS(d26:0/42:0)+C2H3O2,1091.068,1031.047,1013.036,999.0207,983.0258,412.416,660.6659,394.4054,642.6553,380.3898,617.6242,351.3633,589.6293
Cer-ADS(d26:0/42:1)+C2H3O2,1089.052,1029.031,1011.021,997.0051,981.0101,412.416,658.6502,394.4054,640.6396,380.3898,615.6086,351.3633,587.6136
Cer-ADS(d26:0/42:2)+C2H3O2,1087.037,1027.016,1009.005,994.9894,978.9945,412.416,656.6346,394.4054,638.624,380.3898,613.5929,351.3633,585.598
Cer-ADS(d27:0/12:0)+C2H3O2,684.6142,624.5931,606.5825,592.5669,576.572,426.4317,240.1964,408.4211,222.1858,394.4054,197.1547,365.3789,169.1598
Cer-ADS(d27:0/12:1)+C2H3O2,682.5986,622.5775,604.5669,590.5512,574.5563,426.4317,238.1807,408.4211,220.1702,394.4054,195.1391,365.3789,167.1441
Cer-ADS(d27:0/13:0)+C2H3O2,698.6299,638.6088,620.5981,606.5825,590.5876,426.4317,254.212,408.4211,236.2014,394.4054,211.1704,365.3789,183.1754
Cer-ADS(d27:0/13:1)+C2H3O2,696.6142,636.5931,618.5825,604.5669,588.572,426.4317,252.1964,408.4211,234.1858,394.4054,209.1547,365.3789,181.1598
Cer-ADS(d27:0/14:0)+C2H3O2,712.6455,652.6244,634.6138,620.5981,604.6033,426.4317,268.2277,408.4211,250.2171,394.4054,225.186,365.3789,197.1911
Cer-ADS(d27:0/14:1)+C2H3O2,710.6299,650.6088,632.5981,618.5825,602.5876,426.4317,266.212,408.4211,248.2014,394.4054,223.1704,365.3789,195.1754
Cer-ADS(d27:0/15:0)+C2H3O2,726.6612,666.64,648.6295,634.6138,618.6189,426.4317,282.2433,408.4211,264.2328,394.4054,239.2017,365.3789,211.2067
Cer-ADS(d27:0/15:1)+C2H3O2,724.6455,664.6244,646.6138,632.5981,616.6033,426.4317,280.2277,408.4211,262.2171,394.4054,237.186,365.3789,209.1911
Cer-ADS(d27:0/16:0)+C2H3O2,740.6768,680.6557,662.6451,648.6295,632.6345,426.4317,296.259,408.4211,278.2484,394.4054,253.2173,365.3789,225.2224
Cer-ADS(d27:0/16:1)+C2H3O2,738.6612,678.64,660.6295,646.6138,630.6189,426.4317,294.2433,408.4211,276.2328,394.4054,251.2017,365.3789,223.2067
Cer-ADS(d27:0/16:2)+C2H3O2,736.6455,676.6244,658.6138,644.5981,628.6033,426.4317,292.2277,408.4211,274.2171,394.4054,249.186,365.3789,221.1911
Cer-ADS(d27:0/17:0)+C2H3O2,754.6924,694.6713,676.6608,662.6451,646.6502,426.4317,310.2746,408.4211,292.264,394.4054,267.233,365.3789,239.238
Cer-ADS(d27:0/18:0)+C2H3O2,768.7081,708.687,690.6764,676.6608,660.6658,426.4317,324.2903,408.4211,306.2797,394.4054,281.2486,365.3789,253.2537
Cer-ADS(d27:0/18:1)+C2H3O2,766.6924,706.6713,688.6608,674.6451,658.6502,426.4317,322.2746,408.4211,304.264,394.4054,279.233,365.3789,251.238
Cer-ADS(d27:0/18:2)+C2H3O2,764.6768,704.6557,686.6451,672.6295,656.6345,426.4317,320.259,408.4211,302.2484,394.4054,277.2173,365.3789,249.2224
Cer-ADS(d27:0/19:0)+C2H3O2,782.7238,722.7026,704.6921,690.6764,674.6815,426.4317,338.3059,408.4211,320.2953,394.4054,295.2643,365.3789,267.2693
Cer-ADS(d27:0/19:1)+C2H3O2,780.7081,720.687,702.6764,688.6608,672.6658,426.4317,336.2903,408.4211,318.2797,394.4054,293.2486,365.3789,265.2537
Cer-ADS(d27:0/20:0)+C2H3O2,796.7394,736.7183,718.7077,704.6921,688.6971,426.4317,352.3216,408.4211,334.311,394.4054,309.2799,365.3789,281.285
Cer-ADS(d27:0/20:1)+C2H3O2,794.7238,734.7026,716.6921,702.6764,686.6815,426.4317,350.3059,408.4211,332.2953,394.4054,307.2643,365.3789,279.2693
Cer-ADS(d27:0/20:2)+C2H3O2,792.7081,732.687,714.6764,700.6608,684.6658,426.4317,348.2903,408.4211,330.2797,394.4054,305.2486,365.3789,277.2537
Cer-ADS(d27:0/21:0)+C2H3O2,810.7551,750.7339,732.7234,718.7077,702.7128,426.4317,366.3372,408.4211,348.3267,394.4054,323.2956,365.3789,295.3006
Cer-ADS(d27:0/21:1)+C2H3O2,808.7394,748.7183,730.7077,716.6921,700.6971,426.4317,364.3216,408.4211,346.311,394.4054,321.2799,365.3789,293.285
Cer-ADS(d27:0/22:0)+C2H3O2,824.7707,764.7496,746.739,732.7234,716.7285,426.4317,380.3529,408.4211,362.3423,394.4054,337.3112,365.3789,309.3163
Cer-ADS(d27:0/22:1)+C2H3O2,822.7551,762.7339,744.7234,730.7077,714.7128,426.4317,378.3372,408.4211,360.3267,394.4054,335.2956,365.3789,307.3006
Cer-ADS(d27:0/22:2)+C2H3O2,820.7394,760.7183,742.7077,728.6921,712.6971,426.4317,376.3216,408.4211,358.311,394.4054,333.2799,365.3789,305.285
Cer-ADS(d27:0/23:0)+C2H3O2,838.7864,778.7653,760.7547,746.739,730.7441,426.4317,394.3685,408.4211,376.3579,394.4054,351.3269,365.3789,323.3319
Cer-ADS(d27:0/23:1)+C2H3O2,836.7707,776.7496,758.739,744.7234,728.7285,426.4317,392.3529,408.4211,374.3423,394.4054,349.3112,365.3789,321.3163
Cer-ADS(d27:0/24:0)+C2H3O2,852.802,792.7809,774.7703,760.7547,744.7598,426.4317,408.3842,408.4211,390.3736,394.4054,365.3425,365.3789,337.3476
Cer-ADS(d27:0/24:1)+C2H3O2,850.7864,790.7653,772.7547,758.739,742.7441,426.4317,406.3685,408.4211,388.3579,394.4054,363.3269,365.3789,335.3319
Cer-ADS(d27:0/24:2)+C2H3O2,848.7707,788.7496,770.739,756.7234,740.7285,426.4317,404.3529,408.4211,386.3423,394.4054,361.3112,365.3789,333.3163
Cer-ADS(d27:0/25:0)+C2H3O2,866.8177,806.7966,788.7859,774.7703,758.7754,426.4317,422.3998,408.4211,404.3893,394.4054,379.3582,365.3789,351.3633
Cer-ADS(d27:0/25:1)+C2H3O2,864.802,804.7809,786.7703,772.7547,756.7598,426.4317,420.3842,408.4211,402.3736,394.4054,377.3425,365.3789,349.3476
Cer-ADS(d27:0/26:0)+C2H3O2,880.8333,820.8122,802.8016,788.7859,772.7911,426.4317,436.4155,408.4211,418.4049,394.4054,393.3738,365.3789,365.3789
Cer-ADS(d27:0/26:1)+C2H3O2,878.8177,818.7966,800.7859,786.7703,770.7754,426.4317,434.3998,408.4211,416.3893,394.4054,391.3582,365.3789,363.3633
Cer-ADS(d27:0/26:2)+C2H3O2,876.802,816.7809,798.7703,784.7547,768.7598,426.4317,432.3842,408.4211,414.3736,394.4054,389.3425,365.3789,361.3476
Cer-ADS(d27:0/27:0)+C2H3O2,894.849,834.8278,816.8173,802.8016,786.8067,426.4317,450.4311,408.4211,432.4206,394.4054,407.3895,365.3789,379.3945
Cer-ADS(d27:0/27:1)+C2H3O2,892.8333,832.8122,814.8016,800.7859,784.7911,426.4317,448.4155,408.4211,430.4049,394.4054,405.3738,365.3789,377.3789
Cer-ADS(d27:0/28:0)+C2H3O2,908.8646,848.8435,830.8329,816.8173,800.8223,426.4317,464.4468,408.4211,446.4362,394.4054,421.4051,365.3789,393.4102
Cer-ADS(d27:0/28:1)+C2H3O2,906.849,846.8278,828.8173,814.8016,798.8067,426.4317,462.4311,408.4211,444.4206,394.4054,419.3895,365.3789,391.3945
Cer-ADS(d27:0/28:2)+C2H3O2,904.8333,844.8122,826.8016,812.7859,796.7911,426.4317,460.4155,408.4211,442.4049,394.4054,417.3738,365.3789,389.3789
Cer-ADS(d27:0/29:0)+C2H3O2,922.8802,862.8591,844.8486,830.8329,814.838,426.4317,478.4624,408.4211,460.4518,394.4054,435.4207,365.3789,407.4258
Cer-ADS(d27:0/29:1)+C2H3O2,920.8646,860.8435,842.8329,828.8173,812.8223,426.4317,476.4468,408.4211,458.4362,394.4054,433.4051,365.3789,405.4102
Cer-ADS(d27:0/30:0)+C2H3O2,936.8959,876.8748,858.8642,844.8486,828.8536,426.4317,492.4781,408.4211,474.4675,394.4054,449.4364,365.3789,421.4415
Cer-ADS(d27:0/30:1)+C2H3O2,934.8802,874.8591,856.8486,842.8329,826.838,426.4317,490.4624,408.4211,472.4518,394.4054,447.4207,365.3789,419.4258
Cer-ADS(d27:0/30:2)+C2H3O2,932.8646,872.8435,854.8329,840.8173,824.8223,426.4317,488.4468,408.4211,470.4362,394.4054,445.4051,365.3789,417.4102
Cer-ADS(d27:0/31:0)+C2H3O2,950.9116,890.8904,872.8799,858.8642,842.8693,426.4317,506.4937,408.4211,488.4832,394.4054,463.4521,365.3789,435.4572
Cer-ADS(d27:0/31:1)+C2H3O2,948.8959,888.8748,870.8642,856.8486,840.8536,426.4317,504.4781,408.4211,486.4675,394.4054,461.4364,365.3789,433.4415
Cer-ADS(d27:0/32:0)+C2H3O2,964.9272,904.9061,886.8955,872.8799,856.8849,426.4317,520.5094,408.4211,502.4988,394.4054,477.4677,365.3789,449.4728
Cer-ADS(d27:0/32:1)+C2H3O2,962.9116,902.8904,884.8799,870.8642,854.8693,426.4317,518.4937,408.4211,500.4832,394.4054,475.4521,365.3789,447.4572
Cer-ADS(d27:0/32:2)+C2H3O2,960.8959,900.8748,882.8642,868.8486,852.8536,426.4317,516.4781,408.4211,498.4675,394.4054,473.4364,365.3789,445.4415
Cer-ADS(d27:0/33:0)+C2H3O2,978.9429,918.9218,900.9112,886.8955,870.9006,426.4317,534.525,408.4211,516.5145,394.4054,491.4834,365.3789,463.4884
Cer-ADS(d27:0/33:1)+C2H3O2,976.9272,916.9061,898.8955,884.8799,868.8849,426.4317,532.5094,408.4211,514.4988,394.4054,489.4677,365.3789,461.4728
Cer-ADS(d27:0/34:0)+C2H3O2,992.9585,932.9374,914.9268,900.9112,884.9163,426.4317,548.5406,408.4211,530.5301,394.4054,505.499,365.3789,477.5041
Cer-ADS(d27:0/34:1)+C2H3O2,990.9429,930.9218,912.9112,898.8955,882.9006,426.4317,546.525,408.4211,528.5145,394.4054,503.4834,365.3789,475.4884
Cer-ADS(d27:0/34:2)+C2H3O2,988.9272,928.9061,910.8955,896.8799,880.8849,426.4317,544.5094,408.4211,526.4988,394.4054,501.4677,365.3789,473.4728
Cer-ADS(d27:0/35:0)+C2H3O2,1006.974,946.9531,928.9424,914.9268,898.9319,426.4317,562.5563,408.4211,544.5458,394.4054,519.5146,365.3789,491.5197
Cer-ADS(d27:0/35:1)+C2H3O2,1004.958,944.9374,926.9268,912.9112,896.9163,426.4317,560.5406,408.4211,542.5301,394.4054,517.499,365.3789,489.5041
Cer-ADS(d27:0/36:0)+C2H3O2,1020.99,960.9687,942.9581,928.9424,912.9476,426.4317,576.572,408.4211,558.5614,394.4054,533.5303,365.3789,505.5354
Cer-ADS(d27:0/36:1)+C2H3O2,1018.974,958.9531,940.9424,926.9268,910.9319,426.4317,574.5563,408.4211,556.5458,394.4054,531.5146,365.3789,503.5197
Cer-ADS(d27:0/36:2)+C2H3O2,1016.958,956.9374,938.9268,924.9112,908.9163,426.4317,572.5406,408.4211,554.5301,394.4054,529.499,365.3789,501.5041
Cer-ADS(d27:0/38:0)+C2H3O2,1049.021,989,970.9894,956.9738,940.9788,426.4317,604.6033,408.4211,586.5927,394.4054,561.5616,365.3789,533.5667
Cer-ADS(d27:0/38:1)+C2H3O2,1047.005,986.9843,968.9738,954.9581,938.9632,426.4317,602.5876,408.4211,584.577,394.4054,559.546,365.3789,531.551
Cer-ADS(d27:0/38:2)+C2H3O2,1044.99,984.9687,966.9581,952.9424,936.9476,426.4317,600.572,408.4211,582.5614,394.4054,557.5303,365.3789,529.5354
Cer-ADS(d27:0/40:0)+C2H3O2,1077.052,1017.031,999.0207,985.0051,969.0101,426.4317,632.6346,408.4211,614.624,394.4054,589.5929,365.3789,561.598
Cer-ADS(d27:0/40:1)+C2H3O2,1075.037,1015.016,997.0051,982.9894,966.9945,426.4317,630.6189,408.4211,612.6083,394.4054,587.5773,365.3789,559.5823
Cer-ADS(d27:0/40:2)+C2H3O2,1073.021,1013,994.9894,980.9738,964.9788,426.4317,628.6033,408.4211,610.5927,394.4054,585.5616,365.3789,557.5667
Cer-ADS(d27:0/42:0)+C2H3O2,1105.084,1045.063,1027.052,1013.036,997.0414,426.4317,660.6659,408.4211,642.6553,394.4054,617.6242,365.3789,589.6293
