MGDG,[M+NH4-CO]+,M-sn1,M-sn2,sn1,sn2,M-sn1-C6H12O6,M-sn2-C6H12O6
MGDG(3:0_16:0)+NH4-CO,538.3949,464.35814,282.15482,73.02839,255.23171,284.29475,102.09143
MGDG(3:0_16:1)+NH4-CO,536.3793,462.34254,282.15486,73.02839,253.21607,282.27915,102.09147
MGDG(3:0_17:0)+NH4-CO,552.4106,478.37384,282.15488,73.02839,269.24735,298.31045,102.09149
MGDG(3:0_17:1)+NH4-CO,550.3949,476.35814,282.15482,73.02839,267.23171,296.29475,102.09143
MGDG(3:0_17:2)+NH4-CO,548.3793,474.34254,282.15486,73.02839,265.21607,294.27915,102.09147
MGDG(3:0_18:0)+NH4-CO,566.4262,492.38944,282.15484,73.02839,283.26299,312.32605,102.09145
MGDG(3:0_18:1)+NH4-CO,564.4106,490.37384,282.15488,73.02839,281.24735,310.31045,102.09149
MGDG(3:0_18:2)+NH4-CO,562.3949,488.35814,282.15482,73.02839,279.23171,308.29475,102.09143
MGDG(3:0_18:3)+NH4-CO,560.3793,486.34254,282.15486,73.02839,277.21607,306.27915,102.09147
MGDG(3:0_18:4)+NH4-CO,558.36367,484.32691,282.15487,73.02839,275.20043,304.26352,102.09148
MGDG(3:0_19:0)+NH4-CO,580.4419,506.40514,282.1549,73.02839,297.27863,326.34175,102.09151
MGDG(3:0_20:0)+NH4-CO,594.45754,520.42078,282.1549,73.02839,311.29427,340.35739,102.09151
MGDG(3:0_20:1)+NH4-CO,592.4419,518.40514,282.1549,73.02839,309.27863,338.34175,102.09151
MGDG(3:0_20:2)+NH4-CO,590.4262,516.38944,282.15484,73.02839,307.26299,336.32605,102.09145
MGDG(3:0_20:3)+NH4-CO,588.4106,514.37384,282.15488,73.02839,305.24735,334.31045,102.09149
MGDG(3:0_20:4)+NH4-CO,586.3949,512.35814,282.15482,73.02839,303.23171,332.29475,102.09143
MGDG(3:0_20:5)+NH4-CO,584.3793,510.34254,282.15486,73.02839,301.21607,330.27915,102.09147
MGDG(3:0_21:0)+NH4-CO,608.4732,534.43644,282.15492,73.02839,325.30991,354.37305,102.09153
MGDG(3:0_22:0)+NH4-CO,622.48885,548.45209,282.15493,73.02839,339.32555,368.3887,102.09154
MGDG(3:0_22:1)+NH4-CO,620.4732,546.43644,282.15492,73.02839,337.30991,366.37305,102.09153
MGDG(3:0_22:2)+NH4-CO,618.45754,544.42078,282.1549,73.02839,335.29427,364.35739,102.09151
MGDG(3:0_22:4)+NH4-CO,614.4262,540.38944,282.15484,73.02839,331.26299,360.32605,102.09145
MGDG(3:0_22:5)+NH4-CO,612.4106,538.37384,282.15488,73.02839,329.24735,358.31045,102.09149
MGDG(3:0_22:6)+NH4-CO,610.3949,536.35814,282.15482,73.02839,327.23171,356.29475,102.09143
MGDG(3:0_23:0)+NH4-CO,636.5045,562.46774,282.15494,73.02839,353.34119,382.40435,102.09155
MGDG(3:0_24:0)+NH4-CO,650.52016,576.4834,282.15496,73.02839,367.35683,396.42001,102.09157
MGDG(3:0_24:1)+NH4-CO,648.5045,574.46774,282.15494,73.02839,365.34119,394.40435,102.09155
MGDG(3:0_24:4)+NH4-CO,642.45754,568.42078,282.1549,73.02839,359.29427,388.35739,102.09151
MGDG(3:0_25:0)+NH4-CO,664.5358,590.49904,282.15496,73.02839,381.37247,410.43565,102.09157
MGDG(3:0_26:0)+NH4-CO,678.5515,604.51474,282.15502,73.02839,395.38811,424.45135,102.09163
MGDG(3:0_26:1)+NH4-CO,676.5358,602.49904,282.15496,73.02839,393.37247,422.43565,102.09157
MGDG(3:0_26:2)+NH4-CO,674.52016,600.4834,282.15496,73.02839,391.35683,420.42001,102.09157
MGDG(4:0_2:0)+NH4-CO,356.1915,268.1391,296.17038,87.04403,59.01275,88.07571,116.10699
MGDG(4:0_3:0)+NH4-CO,370.20714,282.15474,296.17038,87.04403,73.02839,102.09135,116.10699
MGDG(4:0_4:0)+NH4-CO,384.2228,296.1704,296.1704,87.04403,87.04403,116.10701,116.10701
MGDG(4:0_5:0)+NH4-CO,398.23845,310.18605,296.17041,87.04403,101.05967,130.12266,116.10702
MGDG(4:0_6:0)+NH4-CO,412.2541,324.2017,296.17042,87.04403,115.07531,144.13831,116.10703
MGDG(4:0_7:0)+NH4-CO,426.26973,338.21733,296.17041,87.04403,129.09095,158.15394,116.10702
MGDG(4:0_8:0)+NH4-CO,440.2854,352.233,296.17044,87.04403,143.10659,172.16961,116.10705
MGDG(4:0_9:0)+NH4-CO,454.30105,366.24865,296.17045,87.04403,157.12223,186.18526,116.10706
MGDG(4:0_10:0)+NH4-CO,468.3167,380.2643,296.17046,87.04403,171.13787,200.20091,116.10707
MGDG(4:0_11:0)+NH4-CO,482.33236,394.27996,296.17048,87.04403,185.15351,214.21657,116.10709
MGDG(4:0_12:0)+NH4-CO,496.348,408.2956,296.17048,87.04403,199.16915,228.23221,116.10709
MGDG(4:0_13:0)+NH4-CO,510.36367,422.31127,296.17051,87.04403,213.18479,242.24788,116.10712
MGDG(4:0_14:0)+NH4-CO,524.3793,436.3269,296.1705,87.04403,227.20043,256.26351,116.10711
MGDG(4:0_14:1)+NH4-CO,522.36367,434.31127,296.17051,87.04403,225.18479,254.24788,116.10712
MGDG(4:0_15:0)+NH4-CO,538.3949,450.3425,296.17046,87.04403,241.21607,270.27911,116.10707
MGDG(4:0_15:1)+NH4-CO,536.3793,448.3269,296.1705,87.04403,239.20043,268.26351,116.10711
MGDG(4:0_16:0)+NH4-CO,552.4106,464.3582,296.17052,87.04403,255.23171,284.29481,116.10713
MGDG(4:0_16:1)+NH4-CO,550.3949,462.3425,296.17046,87.04403,253.21607,282.27911,116.10707
MGDG(4:0_17:0)+NH4-CO,566.4262,478.3738,296.17048,87.04403,269.24735,298.31041,116.10709
MGDG(4:0_17:1)+NH4-CO,564.4106,476.3582,296.17052,87.04403,267.23171,296.29481,116.10713
MGDG(4:0_17:2)+NH4-CO,562.3949,474.3425,296.17046,87.04403,265.21607,294.27911,116.10707
MGDG(4:0_18:0)+NH4-CO,580.4419,492.3895,296.17054,87.04403,283.26299,312.32611,116.10715
MGDG(4:0_18:1)+NH4-CO,578.4262,490.3738,296.17048,87.04403,281.24735,310.31041,116.10709
MGDG(4:0_18:2)+NH4-CO,576.4106,488.3582,296.17052,87.04403,279.23171,308.29481,116.10713
MGDG(4:0_18:3)+NH4-CO,574.3949,486.3425,296.17046,87.04403,277.21607,306.27911,116.10707
MGDG(4:0_18:4)+NH4-CO,572.3793,484.3269,296.1705,87.04403,275.20043,304.26351,116.10711
MGDG(4:0_19:0)+NH4-CO,594.45754,506.40514,296.17054,87.04403,297.27863,326.34175,116.10715
MGDG(4:0_20:0)+NH4-CO,608.4732,520.4208,296.17056,87.04403,311.29427,340.35741,116.10717
MGDG(4:0_20:1)+NH4-CO,606.45754,518.40514,296.17054,87.04403,309.27863,338.34175,116.10715
MGDG(4:0_20:2)+NH4-CO,604.4419,516.3895,296.17054,87.04403,307.26299,336.32611,116.10715
MGDG(4:0_20:3)+NH4-CO,602.4262,514.3738,296.17048,87.04403,305.24735,334.31041,116.10709
