MGDG,[M+NH4-CO]+,M-sn1,M-sn2,sn1,sn2,M-sn1-C6H12O6,M-sn2-C6H12O6
MGDG(12:0_22:6)+NH4-CO,736.5358,536.35828,408.29572,199.16915,327.23171,356.29489,228.23233
MGDG(12:0_23:0)+NH4-CO,762.64535,562.46783,408.29579,199.16915,353.34119,382.40444,228.2324
MGDG(12:0_24:0)+NH4-CO,776.661,576.48348,408.2958,199.16915,367.35683,396.42009,228.23241
MGDG(12:0_24:1)+NH4-CO,774.64535,574.46783,408.29579,199.16915,365.34119,394.40444,228.2324
MGDG(12:0_24:4)+NH4-CO,768.5984,568.42088,408.29576,199.16915,359.29427,388.35749,228.23237
MGDG(12:0_25:0)+NH4-CO,790.67666,590.49914,408.29582,199.16915,381.37247,410.43575,228.23243
MGDG(12:0_26:0)+NH4-CO,804.6923,604.51478,408.29582,199.16915,395.38811,424.45139,228.23243
MGDG(12:0_26:1)+NH4-CO,802.67666,602.49914,408.29582,199.16915,393.37247,422.43575,228.23243
MGDG(12:0_26:2)+NH4-CO,800.661,600.48348,408.2958,199.16915,391.35683,420.42009,228.23241
MGDG(13:0_2:0)+NH4-CO,482.33236,268.1392,422.31124,213.18479,59.01275,88.07581,242.24785
MGDG(13:0_3:0)+NH4-CO,496.348,282.15484,422.31124,213.18479,73.02839,102.09145,242.24785
MGDG(13:0_4:0)+NH4-CO,510.36367,296.17051,422.31127,213.18479,87.04403,116.10712,242.24788
MGDG(13:0_5:0)+NH4-CO,524.3793,310.18614,422.31126,213.18479,101.05967,130.12275,242.24787
MGDG(13:0_6:0)+NH4-CO,538.3949,324.20174,422.31122,213.18479,115.07531,144.13835,242.24783
MGDG(13:0_7:0)+NH4-CO,552.4106,338.21744,422.31128,213.18479,129.09095,158.15405,242.24789
MGDG(13:0_8:0)+NH4-CO,566.4262,352.23304,422.31124,213.18479,143.10659,172.16965,242.24785
MGDG(13:0_9:0)+NH4-CO,580.4419,366.24874,422.3113,213.18479,157.12223,186.18535,242.24791
MGDG(13:0_10:0)+NH4-CO,594.45754,380.26438,422.3113,213.18479,171.13787,200.20099,242.24791
MGDG(13:0_11:0)+NH4-CO,608.4732,394.28004,422.31132,213.18479,185.15351,214.21665,242.24793
MGDG(13:0_12:0)+NH4-CO,622.48885,408.29569,422.31133,213.18479,199.16915,228.2323,242.24794
MGDG(13:0_13:0)+NH4-CO,636.5045,422.31134,422.31134,213.18479,213.18479,242.24795,242.24795
MGDG(13:0_14:0)+NH4-CO,650.52016,436.327,422.31136,213.18479,227.20043,256.26361,242.24797
MGDG(13:0_14:1)+NH4-CO,648.5045,434.31134,422.31134,213.18479,225.18479,254.24795,242.24795
MGDG(13:0_15:0)+NH4-CO,664.5358,450.34264,422.31136,213.18479,241.21607,270.27925,242.24797
MGDG(13:0_15:1)+NH4-CO,662.52016,448.327,422.31136,213.18479,239.20043,268.26361,242.24797
MGDG(13:0_16:0)+NH4-CO,678.5515,464.35834,422.31142,213.18479,255.23171,284.29495,242.24803
MGDG(13:0_16:1)+NH4-CO,676.5358,462.34264,422.31136,213.18479,253.21607,282.27925,242.24797
MGDG(13:0_17:0)+NH4-CO,692.5671,478.37394,422.31138,213.18479,269.24735,298.31055,242.24799
MGDG(13:0_17:1)+NH4-CO,690.5515,476.35834,422.31142,213.18479,267.23171,296.29495,242.24803
MGDG(13:0_17:2)+NH4-CO,688.5358,474.34264,422.31136,213.18479,265.21607,294.27925,242.24797
MGDG(13:0_18:0)+NH4-CO,706.5827,492.38954,422.31134,213.18479,283.26299,312.32615,242.24795
MGDG(13:0_18:1)+NH4-CO,704.5671,490.37394,422.31138,213.18479,281.24735,310.31055,242.24799
MGDG(13:0_18:2)+NH4-CO,702.5515,488.35834,422.31142,213.18479,279.23171,308.29495,242.24803
MGDG(13:0_18:3)+NH4-CO,700.5358,486.34264,422.31136,213.18479,277.21607,306.27925,242.24797
MGDG(13:0_18:4)+NH4-CO,698.52016,484.327,422.31136,213.18479,275.20043,304.26361,242.24797
MGDG(13:0_19:0)+NH4-CO,720.5984,506.40524,422.3114,213.18479,297.27863,326.34185,242.24801
MGDG(13:0_20:0)+NH4-CO,734.61403,520.42087,422.31139,213.18479,311.29427,340.35748,242.248
MGDG(13:0_20:1)+NH4-CO,732.5984,518.40524,422.3114,213.18479,309.27863,338.34185,242.24801
MGDG(13:0_20:2)+NH4-CO,730.5827,516.38954,422.31134,213.18479,307.26299,336.32615,242.24795
MGDG(13:0_20:3)+NH4-CO,728.5671,514.37394,422.31138,213.18479,305.24735,334.31055,242.24799
MGDG(13:0_20:4)+NH4-CO,726.5515,512.35834,422.31142,213.18479,303.23171,332.29495,242.24803
MGDG(13:0_20:5)+NH4-CO,724.5358,510.34264,422.31136,213.18479,301.21607,330.27925,242.24797
MGDG(13:0_21:0)+NH4-CO,748.6297,534.43654,422.31142,213.18479,325.30991,354.37315,242.24803
MGDG(13:0_22:0)+NH4-CO,762.64535,548.45219,422.31143,213.18479,339.32555,368.3888,242.24804
MGDG(13:0_22:1)+NH4-CO,760.6297,546.43654,422.31142,213.18479,337.30991,366.37315,242.24803
MGDG(13:0_22:2)+NH4-CO,758.61403,544.42087,422.31139,213.18479,335.29427,364.35748,242.248
MGDG(13:0_22:4)+NH4-CO,754.5827,540.38954,422.31134,213.18479,331.26299,360.32615,242.24795
MGDG(13:0_22:5)+NH4-CO,752.5671,538.37394,422.31138,213.18479,329.24735,358.31055,242.24799
MGDG(13:0_22:6)+NH4-CO,750.5515,536.35834,422.31142,213.18479,327.23171,356.29495,242.24803
MGDG(13:0_23:0)+NH4-CO,776.661,562.46784,422.31144,213.18479,353.34119,382.40445,242.24805
MGDG(13:0_24:0)+NH4-CO,790.67666,576.4835,422.31146,213.18479,367.35683,396.42011,242.24807
MGDG(13:0_24:1)+NH4-CO,788.661,574.46784,422.31144,213.18479,365.34119,394.40445,242.24805
MGDG(13:0_24:4)+NH4-CO,782.61403,568.42087,422.31139,213.18479,359.29427,388.35748,242.248
MGDG(13:0_25:0)+NH4-CO,804.6923,590.49914,422.31146,213.18479,381.37247,410.43575,242.24807
MGDG(13:0_26:0)+NH4-CO,818.70797,604.51481,422.31149,213.18479,395.38811,424.45142,242.2481
MGDG(13:0_26:1)+NH4-CO,816.6923,602.49914,422.31146,213.18479,393.37247,422.43575,242.24807
MGDG(13:0_26:2)+NH4-CO,814.67666,600.4835,422.31146,213.18479,391.35683,420.42011,242.24807
MGDG(14:0_2:0)+NH4-CO,496.348,268.1392,436.32688,227.20043,59.01275,88.07581,256.26349
MGDG(14:0_3:0)+NH4-CO,510.36367,282.15487,436.32691,227.20043,73.02839,102.09148,256.26352
MGDG(14:0_4:0)+NH4-CO,524.3793,296.1705,436.3269,227.20043,87.04403,116.10711,256.26351
MGDG(14:0_5:0)+NH4-CO,538.3949,310.1861,436.32686,227.20043,101.05967,130.12271,256.26347
MGDG(14:0_6:0)+NH4-CO,552.4106,324.2018,436.32692,227.20043,115.07531,144.13841,256.26353
MGDG(14:0_7:0)+NH4-CO,566.4262,338.2174,436.32688,227.20043,129.09095,158.15401,256.26349
MGDG(14:0_8:0)+NH4-CO,580.4419,352.2331,436.32694,227.20043,143.10659,172.16971,256.26355
MGDG(14:0_9:0)+NH4-CO,594.45754,366.24874,436.32694,227.20043,157.12223,186.18535,256.26355
MGDG(14:0_10:0)+NH4-CO,608.4732,380.2644,436.32696,227.20043,171.13787,200.20101,256.26357
MGDG(14:0_11:0)+NH4-CO,622.48885,394.28005,436.32697,227.20043,185.15351,214.21666,256.26358
MGDG(14:0_12:0)+NH4-CO,636.5045,408.2957,436.32698,227.20043,199.16915,228.23231,256.26359
MGDG(14:0_13:0)+NH4-CO,650.52016,422.31136,436.327,227.20043,213.18479,242.24797,256.26361
MGDG(14:0_14:0)+NH4-CO,664.5358,436.327,436.327,227.20043,227.20043,256.26361,256.26361
MGDG(14:0_14:1)+NH4-CO,662.52016,434.31136,436.327,227.20043,225.18479,254.24797,256.26361
MGDG(14:0_15:0)+NH4-CO,678.5515,450.3427,436.32706,227.20043,241.21607,270.27931,256.26367
MGDG(14:0_15:1)+NH4-CO,676.5358,448.327,436.327,227.20043,239.20043,268.26361,256.26361
MGDG(14:0_16:0)+NH4-CO,692.5671,464.3583,436.32702,227.20043,255.23171,284.29491,256.26363
MGDG(14:0_16:1)+NH4-CO,690.5515,462.3427,436.32706,227.20043,253.21607,282.27931,256.26367
MGDG(14:0_17:0)+NH4-CO,706.5827,478.3739,436.32698,227.20043,269.24735,298.31051,256.26359
MGDG(14:0_17:1)+NH4-CO,704.5671,476.3583,436.32702,227.20043,267.23171,296.29491,256.26363
MGDG(14:0_17:2)+NH4-CO,702.5515,474.3427,436.32706,227.20043,265.21607,294.27931,256.26367
MGDG(14:0_18:0)+NH4-CO,720.5984,492.3896,436.32704,227.20043,283.26299,312.32621,256.26365
MGDG(14:0_18:1)+NH4-CO,718.5827,490.3739,436.32698,227.20043,281.24735,310.31051,256.26359
MGDG(14:0_18:2)+NH4-CO,716.5671,488.3583,436.32702,227.20043,279.23171,308.29491,256.26363
MGDG(14:0_18:3)+NH4-CO,714.5515,486.3427,436.32706,227.20043,277.21607,306.27931,256.26367
MGDG(14:0_18:4)+NH4-CO,712.5358,484.327,436.327,227.20043,275.20043,304.26361,256.26361
MGDG(14:0_19:0)+NH4-CO,734.61403,506.40523,436.32703,227.20043,297.27863,326.34184,256.26364
MGDG(14:0_20:0)+NH4-CO,748.6297,520.4209,436.32706,227.20043,311.29427,340.35751,256.26367
MGDG(14:0_20:1)+NH4-CO,746.61403,518.40523,436.32703,227.20043,309.27863,338.34184,256.26364
MGDG(14:0_20:2)+NH4-CO,744.5984,516.3896,436.32704,227.20043,307.26299,336.32621,256.26365
MGDG(14:0_20:3)+NH4-CO,742.5827,514.3739,436.32698,227.20043,305.24735,334.31051,256.26359
MGDG(14:0_20:4)+NH4-CO,740.5671,512.3583,436.32702,227.20043,303.23171,332.29491,256.26363
MGDG(14:0_20:5)+NH4-CO,738.5515,510.3427,436.32706,227.20043,301.21607,330.27931,256.26367
MGDG(14:0_21:0)+NH4-CO,762.64535,534.43655,436.32707,227.20043,325.30991,354.37316,256.26368
MGDG(14:0_22:0)+NH4-CO,776.661,548.4522,436.32708,227.20043,339.32555,368.38881,256.26369
MGDG(14:0_22:1)+NH4-CO,774.64535,546.43655,436.32707,227.20043,337.30991,366.37316,256.26368
MGDG(14:0_22:2)+NH4-CO,772.6297,544.4209,436.32706,227.20043,335.29427,364.35751,256.26367
MGDG(14:0_22:4)+NH4-CO,768.5984,540.3896,436.32704,227.20043,331.26299,360.32621,256.26365
MGDG(14:0_22:5)+NH4-CO,766.5827,538.3739,436.32698,227.20043,329.24735,358.31051,256.26359
MGDG(14:0_22:6)+NH4-CO,764.5671,536.3583,436.32702,227.20043,327.23171,356.29491,256.26363
MGDG(14:0_23:0)+NH4-CO,790.67666,562.46786,436.3271,227.20043,353.34119,382.40447,256.26371
MGDG(14:0_24:0)+NH4-CO,804.6923,576.4835,436.3271,227.20043,367.35683,396.42011,256.26371
MGDG(14:0_24:1)+NH4-CO,802.67666,574.46786,436.3271,227.20043,365.34119,394.40447,256.26371
MGDG(14:0_24:4)+NH4-CO,796.6297,568.4209,436.32706,227.20043,359.29427,388.35751,256.26367
MGDG(14:0_25:0)+NH4-CO,818.70797,590.49917,436.32713,227.20043,381.37247,410.43578,256.26374
MGDG(14:0_26:0)+NH4-CO,832.7236,604.5148,436.32712,227.20043,395.38811,424.45141,256.26373
MGDG(14:0_26:1)+NH4-CO,830.70797,602.49917,436.32713,227.20043,393.37247,422.43578,256.26374
MGDG(14:0_26:2)+NH4-CO,828.6923,600.4835,436.3271,227.20043,391.35683,420.42011,256.26371
MGDG(14:1_2:0)+NH4-CO,494.33236,268.1392,434.31124,225.18479,59.01275,88.07581,254.24785
MGDG(14:1_3:0)+NH4-CO,508.348,282.15484,434.31124,225.18479,73.02839,102.09145,254.24785
MGDG(14:1_4:0)+NH4-CO,522.36367,296.17051,434.31127,225.18479,87.04403,116.10712,254.24788
MGDG(14:1_5:0)+NH4-CO,536.3793,310.18614,434.31126,225.18479,101.05967,130.12275,254.24787
MGDG(14:1_6:0)+NH4-CO,550.3949,324.20174,434.31122,225.18479,115.07531,144.13835,254.24783
MGDG(14:1_7:0)+NH4-CO,564.4106,338.21744,434.31128,225.18479,129.09095,158.15405,254.24789
MGDG(14:1_8:0)+NH4-CO,578.4262,352.23304,434.31124,225.18479,143.10659,172.16965,254.24785
MGDG(14:1_9:0)+NH4-CO,592.4419,366.24874,434.3113,225.18479,157.12223,186.18535,254.24791
MGDG(14:1_10:0)+NH4-CO,606.45754,380.26438,434.3113,225.18479,171.13787,200.20099,254.24791
MGDG(14:1_11:0)+NH4-CO,620.4732,394.28004,434.31132,225.18479,185.15351,214.21665,254.24793
MGDG(14:1_12:0)+NH4-CO,634.48885,408.29569,434.31133,225.18479,199.16915,228.2323,254.24794
MGDG(14:1_13:0)+NH4-CO,648.5045,422.31134,434.31134,225.18479,213.18479,242.24795,254.24795
MGDG(14:1_14:0)+NH4-CO,662.52016,436.327,434.31136,225.18479,227.20043,256.26361,254.24797
MGDG(14:1_14:1)+NH4-CO,660.5045,434.31134,434.31134,225.18479,225.18479,254.24795,254.24795
MGDG(14:1_15:0)+NH4-CO,676.5358,450.34264,434.31136,225.18479,241.21607,270.27925,254.24797
MGDG(14:1_15:1)+NH4-CO,674.52016,448.327,434.31136,225.18479,239.20043,268.26361,254.24797
MGDG(14:1_16:0)+NH4-CO,690.5515,464.35834,434.31142,225.18479,255.23171,284.29495,254.24803
MGDG(14:1_16:1)+NH4-CO,688.5358,462.34264,434.31136,225.18479,253.21607,282.27925,254.24797
MGDG(14:1_17:0)+NH4-CO,704.5671,478.37394,434.31138,225.18479,269.24735,298.31055,254.24799
MGDG(14:1_17:1)+NH4-CO,702.5515,476.35834,434.31142,225.18479,267.23171,296.29495,254.24803
MGDG(14:1_17:2)+NH4-CO,700.5358,474.34264,434.31136,225.18479,265.21607,294.27925,254.24797
MGDG(14:1_18:0)+NH4-CO,718.5827,492.38954,434.31134,225.18479,283.26299,312.32615,254.24795
MGDG(14:1_18:1)+NH4-CO,716.5671,490.37394,434.31138,225.18479,281.24735,310.31055,254.24799
MGDG(14:1_18:2)+NH4-CO,714.5515,488.35834,434.31142,225.18479,279.23171,308.29495,254.24803
MGDG(14:1_18:3)+NH4-CO,712.5358,486.34264,434.31136,225.18479,277.21607,306.27925,254.24797
MGDG(14:1_18:4)+NH4-CO,710.52016,484.327,434.31136,225.18479,275.20043,304.26361,254.24797
MGDG(14:1_19:0)+NH4-CO,732.5984,506.40524,434.3114,225.18479,297.27863,326.34185,254.24801
MGDG(14:1_20:0)+NH4-CO,746.61403,520.42087,434.31139,225.18479,311.29427,340.35748,254.248
MGDG(14:1_20:1)+NH4-CO,744.5984,518.40524,434.3114,225.18479,309.27863,338.34185,254.24801
MGDG(14:1_20:2)+NH4-CO,742.5827,516.38954,434.31134,225.18479,307.26299,336.32615,254.24795
MGDG(14:1_20:3)+NH4-CO,740.5671,514.37394,434.31138,225.18479,305.24735,334.31055,254.24799
MGDG(14:1_20:4)+NH4-CO,738.5515,512.35834,434.31142,225.18479,303.23171,332.29495,254.24803
MGDG(14:1_20:5)+NH4-CO,736.5358,510.34264,434.31136,225.18479,301.21607,330.27925,254.24797
MGDG(14:1_21:0)+NH4-CO,760.6297,534.43654,434.31142,225.18479,325.30991,354.37315,254.24803
MGDG(14:1_22:0)+NH4-CO,774.64535,548.45219,434.31143,225.18479,339.32555,368.3888,254.24804
MGDG(14:1_22:1)+NH4-CO,772.6297,546.43654,434.31142,225.18479,337.30991,366.37315,254.24803
MGDG(14:1_22:2)+NH4-CO,770.61403,544.42087,434.31139,225.18479,335.29427,364.35748,254.248
MGDG(14:1_22:4)+NH4-CO,766.5827,540.38954,434.31134,225.18479,331.26299,360.32615,254.24795
MGDG(14:1_22:5)+NH4-CO,764.5671,538.37394,434.31138,225.18479,329.24735,358.31055,254.24799
MGDG(14:1_22:6)+NH4-CO,762.5515,536.35834,434.31142,225.18479,327.23171,356.29495,254.24803
MGDG(14:1_23:0)+NH4-CO,788.661,562.46784,434.31144,225.18479,353.34119,382.40445,254.24805
MGDG(14:1_24:0)+NH4-CO,802.67666,576.4835,434.31146,225.18479,367.35683,396.42011,254.24807
MGDG(14:1_24:1)+NH4-CO,800.661,574.46784,434.31144,225.18479,365.34119,394.40445,254.24805
MGDG(14:1_24:4)+NH4-CO,794.61403,568.42087,434.31139,225.18479,359.29427,388.35748,254.248
MGDG(14:1_25:0)+NH4-CO,816.6923,590.49914,434.31146,225.18479,381.37247,410.43575,254.24807
MGDG(14:1_26:0)+NH4-CO,830.70797,604.51481,434.31149,225.18479,395.38811,424.45142,254.2481
MGDG(14:1_26:1)+NH4-CO,828.6923,602.49914,434.31146,225.18479,393.37247,422.43575,254.24807
MGDG(14:1_26:2)+NH4-CO,826.67666,600.4835,434.31146,225.18479,391.35683,420.42011,254.24807
MGDG(15:0_2:0)+NH4-CO,510.36367,268.13923,450.34255,241.21607,59.01275,88.07584,270.27916
MGDG(15:0_3:0)+NH4-CO,524.3793,282.15486,450.34254,241.21607,73.02839,102.09147,270.27915
MGDG(15:0_4:0)+NH4-CO,538.3949,296.17046,450.3425,241.21607,87.04403,116.10707,270.27911
MGDG(15:0_5:0)+NH4-CO,552.4106,310.18616,450.34256,241.21607,101.05967,130.12277,270.27917
MGDG(15:0_6:0)+NH4-CO,566.4262,324.20176,450.34252,241.21607,115.07531,144.13837,270.27913
MGDG(15:0_7:0)+NH4-CO,580.4419,338.21746,450.34258,241.21607,129.09095,158.15407,270.27919
MGDG(15:0_8:0)+NH4-CO,594.45754,352.2331,450.34258,241.21607,143.10659,172.16971,270.27919
MGDG(15:0_9:0)+NH4-CO,608.4732,366.24876,450.3426,241.21607,157.12223,186.18537,270.27921
MGDG(15:0_10:0)+NH4-CO,622.48885,380.26441,450.34261,241.21607,171.13787,200.20102,270.27922
MGDG(15:0_11:0)+NH4-CO,636.5045,394.28006,450.34262,241.21607,185.15351,214.21667,270.27923
MGDG(15:0_12:0)+NH4-CO,650.52016,408.29572,450.34264,241.21607,199.16915,228.23233,270.27925
MGDG(15:0_13:0)+NH4-CO,664.5358,422.31136,450.34264,241.21607,213.18479,242.24797,270.27925
MGDG(15:0_14:0)+NH4-CO,678.5515,436.32706,450.3427,241.21607,227.20043,256.26367,270.27931
MGDG(15:0_14:1)+NH4-CO,676.5358,434.31136,450.34264,241.21607,225.18479,254.24797,270.27925
MGDG(15:0_15:0)+NH4-CO,692.5671,450.34266,450.34266,241.21607,241.21607,270.27927,270.27927
MGDG(15:0_15:1)+NH4-CO,690.5515,448.32706,450.3427,241.21607,239.20043,268.26367,270.27931
MGDG(15:0_16:0)+NH4-CO,706.5827,464.35826,450.34262,241.21607,255.23171,284.29487,270.27923
MGDG(15:0_16:1)+NH4-CO,704.5671,462.34266,450.34266,241.21607,253.21607,282.27927,270.27927
MGDG(15:0_17:0)+NH4-CO,720.5984,478.37396,450.34268,241.21607,269.24735,298.31057,270.27929
MGDG(15:0_17:1)+NH4-CO,718.5827,476.35826,450.34262,241.21607,267.23171,296.29487,270.27923
MGDG(15:0_17:2)+NH4-CO,716.5671,474.34266,450.34266,241.21607,265.21607,294.27927,270.27927
MGDG(15:0_18:0)+NH4-CO,734.61403,492.38959,450.34267,241.21607,283.26299,312.3262,270.27928
MGDG(15:0_18:1)+NH4-CO,732.5984,490.37396,450.34268,241.21607,281.24735,310.31057,270.27929
MGDG(15:0_18:2)+NH4-CO,730.5827,488.35826,450.34262,241.21607,279.23171,308.29487,270.27923
MGDG(15:0_18:3)+NH4-CO,728.5671,486.34266,450.34266,241.21607,277.21607,306.27927,270.27927
MGDG(15:0_18:4)+NH4-CO,726.5515,484.32706,450.3427,241.21607,275.20043,304.26367,270.27931
MGDG(15:0_19:0)+NH4-CO,748.6297,506.40526,450.3427,241.21607,297.27863,326.34187,270.27931
MGDG(15:0_20:0)+NH4-CO,762.64535,520.42091,450.34271,241.21607,311.29427,340.35752,270.27932
MGDG(15:0_20:1)+NH4-CO,760.6297,518.40526,450.3427,241.21607,309.27863,338.34187,270.27931
MGDG(15:0_20:2)+NH4-CO,758.61403,516.38959,450.34267,241.21607,307.26299,336.3262,270.27928
MGDG(15:0_20:3)+NH4-CO,756.5984,514.37396,450.34268,241.21607,305.24735,334.31057,270.27929
MGDG(15:0_20:4)+NH4-CO,754.5827,512.35826,450.34262,241.21607,303.23171,332.29487,270.27923
MGDG(15:0_20:5)+NH4-CO,752.5671,510.34266,450.34266,241.21607,301.21607,330.27927,270.27927
MGDG(15:0_21:0)+NH4-CO,776.661,534.43656,450.34272,241.21607,325.30991,354.37317,270.27933
MGDG(15:0_22:0)+NH4-CO,790.67666,548.45222,450.34274,241.21607,339.32555,368.38883,270.27935
MGDG(15:0_22:1)+NH4-CO,788.661,546.43656,450.34272,241.21607,337.30991,366.37317,270.27933
MGDG(15:0_22:2)+NH4-CO,786.64535,544.42091,450.34271,241.21607,335.29427,364.35752,270.27932
MGDG(15:0_22:4)+NH4-CO,782.61403,540.38959,450.34267,241.21607,331.26299,360.3262,270.27928
MGDG(15:0_22:5)+NH4-CO,780.5984,538.37396,450.34268,241.21607,329.24735,358.31057,270.27929
MGDG(15:0_22:6)+NH4-CO,778.5827,536.35826,450.34262,241.21607,327.23171,356.29487,270.27923
MGDG(15:0_23:0)+NH4-CO,804.6923,562.46786,450.34274,241.21607,353.34119,382.40447,270.27935
MGDG(15:0_24:0)+NH4-CO,818.70797,576.48353,450.34277,241.21607,367.35683,396.42014,270.27938
MGDG(15:0_24:1)+NH4-CO,816.6923,574.46786,450.34274,241.21607,365.34119,394.40447,270.27935
MGDG(15:0_24:4)+NH4-CO,810.64535,568.42091,450.34271,241.21607,359.29427,388.35752,270.27932
MGDG(15:0_25:0)+NH4-CO,832.7236,590.49916,450.34276,241.21607,381.37247,410.43577,270.27937
MGDG(15:0_26:0)+NH4-CO,846.7393,604.51486,450.34282,241.21607,395.38811,424.45147,270.27943
MGDG(15:0_26:1)+NH4-CO,844.7236,602.49916,450.34276,241.21607,393.37247,422.43577,270.27937
MGDG(15:0_26:2)+NH4-CO,842.70797,600.48353,450.34277,241.21607,391.35683,420.42014,270.27938
MGDG(15:1_2:0)+NH4-CO,508.348,268.1392,448.32688,239.20043,59.01275,88.07581,268.26349
MGDG(15:1_3:0)+NH4-CO,522.36367,282.15487,448.32691,239.20043,73.02839,102.09148,268.26352
MGDG(15:1_4:0)+NH4-CO,536.3793,296.1705,448.3269,239.20043,87.04403,116.10711,268.26351
MGDG(15:1_5:0)+NH4-CO,550.3949,310.1861,448.32686,239.20043,101.05967,130.12271,268.26347
MGDG(15:1_6:0)+NH4-CO,564.4106,324.2018,448.32692,239.20043,115.07531,144.13841,268.26353
MGDG(15:1_7:0)+NH4-CO,578.4262,338.2174,448.32688,239.20043,129.09095,158.15401,268.26349
MGDG(15:1_8:0)+NH4-CO,592.4419,352.2331,448.32694,239.20043,143.10659,172.16971,268.26355
MGDG(15:1_9:0)+NH4-CO,606.45754,366.24874,448.32694,239.20043,157.12223,186.18535,268.26355
MGDG(15:1_10:0)+NH4-CO,620.4732,380.2644,448.32696,239.20043,171.13787,200.20101,268.26357
MGDG(15:1_11:0)+NH4-CO,634.48885,394.28005,448.32697,239.20043,185.15351,214.21666,268.26358
MGDG(15:1_12:0)+NH4-CO,648.5045,408.2957,448.32698,239.20043,199.16915,228.23231,268.26359
MGDG(15:1_13:0)+NH4-CO,662.52016,422.31136,448.327,239.20043,213.18479,242.24797,268.26361
MGDG(15:1_14:0)+NH4-CO,676.5358,436.327,448.327,239.20043,227.20043,256.26361,268.26361
MGDG(15:1_14:1)+NH4-CO,674.52016,434.31136,448.327,239.20043,225.18479,254.24797,268.26361
MGDG(15:1_15:0)+NH4-CO,690.5515,450.3427,448.32706,239.20043,241.21607,270.27931,268.26367
MGDG(15:1_15:1)+NH4-CO,688.5358,448.327,448.327,239.20043,239.20043,268.26361,268.26361
MGDG(15:1_16:0)+NH4-CO,704.5671,464.3583,448.32702,239.20043,255.23171,284.29491,268.26363
MGDG(15:1_16:1)+NH4-CO,702.5515,462.3427,448.32706,239.20043,253.21607,282.27931,268.26367
MGDG(15:1_17:0)+NH4-CO,718.5827,478.3739,448.32698,239.20043,269.24735,298.31051,268.26359
MGDG(15:1_17:1)+NH4-CO,716.5671,476.3583,448.32702,239.20043,267.23171,296.29491,268.26363
MGDG(15:1_17:2)+NH4-CO,714.5515,474.3427,448.32706,239.20043,265.21607,294.27931,268.26367
MGDG(15:1_18:0)+NH4-CO,732.5984,492.3896,448.32704,239.20043,283.26299,312.32621,268.26365
MGDG(15:1_18:1)+NH4-CO,730.5827,490.3739,448.32698,239.20043,281.24735,310.31051,268.26359
MGDG(15:1_18:2)+NH4-CO,728.5671,488.3583,448.32702,239.20043,279.23171,308.29491,268.26363
MGDG(15:1_18:3)+NH4-CO,726.5515,486.3427,448.32706,239.20043,277.21607,306.27931,268.26367
MGDG(15:1_18:4)+NH4-CO,724.5358,484.327,448.327,239.20043,275.20043,304.26361,268.26361
MGDG(15:1_19:0)+NH4-CO,746.61403,506.40523,448.32703,239.20043,297.27863,326.34184,268.26364
MGDG(15:1_20:0)+NH4-CO,760.6297,520.4209,448.32706,239.20043,311.29427,340.35751,268.26367
MGDG(15:1_20:1)+NH4-CO,758.61403,518.40523,448.32703,239.20043,309.27863,338.34184,268.26364
MGDG(15:1_20:2)+NH4-CO,756.5984,516.3896,448.32704,239.20043,307.26299,336.32621,268.26365
MGDG(15:1_20:3)+NH4-CO,754.5827,514.3739,448.32698,239.20043,305.24735,334.31051,268.26359
MGDG(15:1_20:4)+NH4-CO,752.5671,512.3583,448.32702,239.20043,303.23171,332.29491,268.26363
MGDG(15:1_20:5)+NH4-CO,750.5515,510.3427,448.32706,239.20043,301.21607,330.27931,268.26367
MGDG(15:1_21:0)+NH4-CO,774.64535,534.43655,448.32707,239.20043,325.30991,354.37316,268.26368
MGDG(15:1_22:0)+NH4-CO,788.661,548.4522,448.32708,239.20043,339.32555,368.38881,268.26369
MGDG(15:1_22:1)+NH4-CO,786.64535,546.43655,448.32707,239.20043,337.30991,366.37316,268.26368
MGDG(15:1_22:2)+NH4-CO,784.6297,544.4209,448.32706,239.20043,335.29427,364.35751,268.26367
MGDG(15:1_22:4)+NH4-CO,780.5984,540.3896,448.32704,239.20043,331.26299,360.32621,268.26365
MGDG(15:1_22:5)+NH4-CO,778.5827,538.3739,448.32698,239.20043,329.24735,358.31051,268.26359
MGDG(15:1_22:6)+NH4-CO,776.5671,536.3583,448.32702,239.20043,327.23171,356.29491,268.26363
MGDG(15:1_23:0)+NH4-CO,802.67666,562.46786,448.3271,239.20043,353.34119,382.40447,268.26371
MGDG(15:1_24:0)+NH4-CO,816.6923,576.4835,448.3271,239.20043,367.35683,396.42011,268.26371
MGDG(15:1_24:1)+NH4-CO,814.67666,574.46786,448.3271,239.20043,365.34119,394.40447,268.26371
MGDG(15:1_24:4)+NH4-CO,808.6297,568.4209,448.32706,239.20043,359.29427,388.35751,268.26367
MGDG(15:1_25:0)+NH4-CO,830.70797,590.49917,448.32713,239.20043,381.37247,410.43578,268.26374
MGDG(15:1_26:0)+NH4-CO,844.7236,604.5148,448.32712,239.20043,395.38811,424.45141,268.26373
MGDG(15:1_26:1)+NH4-CO,842.70797,602.49917,448.32713,239.20043,393.37247,422.43578,268.26374
MGDG(15:1_26:2)+NH4-CO,840.6923,600.4835,448.3271,239.20043,391.35683,420.42011,268.26371
