Cer-EODS,[M+C2H3O2]-,[M-H]-,NL of EFA,[FAA+C2H2-H]-,[EFA-H]-,[FAA-H]-,[Sph-C2H8NO]-
Cer-EODS(d14:0/12:0-O-14:0)+C2H3O2,712.6091,652.588,442.3896,240.1969,227.2017,214.1813,183.1754
Cer-EODS(d14:0/12:1-O-14:0)+C2H3O2,710.5935,650.5723,440.374,238.1813,227.2017,212.1656,183.1754
Cer-EODS(d14:0/13:0-O-14:0)+C2H3O2,726.6248,666.6036,456.4053,254.2126,227.2017,228.1969,183.1754
Cer-EODS(d14:0/13:1-O-14:0)+C2H3O2,724.6091,664.588,454.3896,252.1969,227.2017,226.1813,183.1754
Cer-EODS(d14:0/14:0-O-14:0)+C2H3O2,740.6404,680.6193,470.4209,268.2282,227.2017,242.2126,183.1754
Cer-EODS(d14:0/14:1-O-14:0)+C2H3O2,738.6248,678.6036,468.4053,266.2126,227.2017,240.1969,183.1754
Cer-EODS(d14:0/15:0-O-14:0)+C2H3O2,754.6561,694.6349,484.4366,282.2439,227.2017,256.2282,183.1754
Cer-EODS(d14:0/15:1-O-14:0)+C2H3O2,752.6404,692.6193,482.4209,280.2282,227.2017,254.2126,183.1754
Cer-EODS(d14:0/16:0-O-14:0)+C2H3O2,768.6718,708.6506,498.4522,296.2595,227.2017,270.2439,183.1754
Cer-EODS(d14:0/16:1-O-14:0)+C2H3O2,766.6561,706.6349,496.4366,294.2439,227.2017,268.2282,183.1754
Cer-EODS(d14:0/16:2-O-14:0)+C2H3O2,764.6404,704.6193,494.4209,292.2282,227.2017,266.2126,183.1754
Cer-EODS(d14:0/17:0-O-14:0)+C2H3O2,782.6874,722.6663,512.4679,310.2751,227.2017,284.2595,183.1754
Cer-EODS(d14:0/18:0-O-14:0)+C2H3O2,796.7031,736.6819,526.4835,324.2908,227.2017,298.2751,183.1754
Cer-EODS(d14:0/18:1-O-14:0)+C2H3O2,794.6874,734.6663,524.4679,322.2751,227.2017,296.2595,183.1754
Cer-EODS(d14:0/18:2-O-14:0)+C2H3O2,792.6718,732.6506,522.4522,320.2595,227.2017,294.2439,183.1754
Cer-EODS(d14:0/19:0-O-14:0)+C2H3O2,810.7187,750.6976,540.4992,338.3065,227.2017,312.2908,183.1754
Cer-EODS(d14:0/19:1-O-14:0)+C2H3O2,808.7031,748.6819,538.4835,336.2908,227.2017,310.2751,183.1754
Cer-EODS(d14:0/20:0-O-14:0)+C2H3O2,824.7343,764.7132,554.5148,352.3221,227.2017,326.3065,183.1754
Cer-EODS(d14:0/20:1-O-14:0)+C2H3O2,822.7187,762.6976,552.4992,350.3065,227.2017,324.2908,183.1754
Cer-EODS(d14:0/20:2-O-14:0)+C2H3O2,820.7031,760.6819,550.4835,348.2908,227.2017,322.2751,183.1754
Cer-EODS(d14:0/21:0-O-14:0)+C2H3O2,838.75,778.7289,568.5305,366.3378,227.2017,340.3221,183.1754
Cer-EODS(d14:0/21:1-O-14:0)+C2H3O2,836.7343,776.7132,566.5148,364.3221,227.2017,338.3065,183.1754
Cer-EODS(d14:0/22:0-O-14:0)+C2H3O2,852.7656,792.7445,582.5461,380.3534,227.2017,354.3378,183.1754
Cer-EODS(d14:0/22:1-O-14:0)+C2H3O2,850.75,790.7289,580.5305,378.3378,227.2017,352.3221,183.1754
Cer-EODS(d14:0/22:2-O-14:0)+C2H3O2,848.7343,788.7132,578.5148,376.3221,227.2017,350.3065,183.1754
Cer-EODS(d14:0/23:0-O-14:0)+C2H3O2,866.7813,806.7601,596.5618,394.369,227.2017,368.3534,183.1754
Cer-EODS(d14:0/23:1-O-14:0)+C2H3O2,864.7656,804.7445,594.5461,392.3534,227.2017,366.3378,183.1754
Cer-EODS(d14:0/24:0-O-14:0)+C2H3O2,880.7969,820.7758,610.5775,408.3847,227.2017,382.369,183.1754
Cer-EODS(d14:0/24:1-O-14:0)+C2H3O2,878.7813,818.7601,608.5618,406.369,227.2017,380.3534,183.1754
Cer-EODS(d14:0/24:2-O-14:0)+C2H3O2,876.7656,816.7445,606.5461,404.3534,227.2017,378.3378,183.1754
Cer-EODS(d14:0/25:0-O-14:0)+C2H3O2,894.8126,834.7914,624.5931,422.4004,227.2017,396.3847,183.1754
Cer-EODS(d14:0/25:1-O-14:0)+C2H3O2,892.7969,832.7758,622.5775,420.3847,227.2017,394.369,183.1754
Cer-EODS(d14:0/26:0-O-14:0)+C2H3O2,908.8282,848.8071,638.6088,436.416,227.2017,410.4004,183.1754
Cer-EODS(d14:0/26:1-O-14:0)+C2H3O2,906.8126,846.7914,636.5931,434.4004,227.2017,408.3847,183.1754
Cer-EODS(d14:0/26:2-O-14:0)+C2H3O2,904.7969,844.7758,634.5775,432.3847,227.2017,406.369,183.1754
Cer-EODS(d14:0/27:0-O-14:0)+C2H3O2,922.8439,862.8228,652.6244,450.4317,227.2017,424.416,183.1754
Cer-EODS(d14:0/27:1-O-14:0)+C2H3O2,920.8282,860.8071,650.6088,448.416,227.2017,422.4004,183.1754
Cer-EODS(d14:0/28:0-O-14:0)+C2H3O2,936.8596,876.8384,666.64,464.4473,227.2017,438.4317,183.1754
Cer-EODS(d14:0/28:1-O-14:0)+C2H3O2,934.8439,874.8228,664.6244,462.4317,227.2017,436.416,183.1754
Cer-EODS(d14:0/28:2-O-14:0)+C2H3O2,932.8282,872.8071,662.6088,460.416,227.2017,434.4004,183.1754
Cer-EODS(d14:0/29:0-O-14:0)+C2H3O2,950.8752,890.8541,680.6557,478.463,227.2017,452.4473,183.1754
Cer-EODS(d14:0/29:1-O-14:0)+C2H3O2,948.8596,888.8384,678.64,476.4473,227.2017,450.4317,183.1754
Cer-EODS(d14:0/30:0-O-14:0)+C2H3O2,964.8909,904.8697,694.6713,492.4786,227.2017,466.463,183.1754
Cer-EODS(d14:0/30:1-O-14:0)+C2H3O2,962.8752,902.8541,692.6557,490.463,227.2017,464.4473,183.1754
Cer-EODS(d14:0/30:2-O-14:0)+C2H3O2,960.8596,900.8384,690.64,488.4473,227.2017,462.4317,183.1754
Cer-EODS(d14:0/31:0-O-14:0)+C2H3O2,978.9065,918.8854,708.687,506.4943,227.2017,480.4786,183.1754
Cer-EODS(d14:0/31:1-O-14:0)+C2H3O2,976.8909,916.8697,706.6713,504.4786,227.2017,478.463,183.1754
Cer-EODS(d14:0/32:0-O-14:0)+C2H3O2,992.9221,932.901,722.7026,520.5099,227.2017,494.4943,183.1754
Cer-EODS(d14:0/32:1-O-14:0)+C2H3O2,990.9065,930.8854,720.687,518.4943,227.2017,492.4786,183.1754
Cer-EODS(d14:0/32:2-O-14:0)+C2H3O2,988.8909,928.8697,718.6713,516.4786,227.2017,490.463,183.1754
Cer-EODS(d14:0/33:0-O-14:0)+C2H3O2,1006.938,946.9167,736.7183,534.5256,227.2017,508.5099,183.1754
Cer-EODS(d14:0/33:1-O-14:0)+C2H3O2,1004.922,944.901,734.7026,532.5099,227.2017,506.4943,183.1754
Cer-EODS(d14:0/34:0-O-14:0)+C2H3O2,1020.953,960.9323,750.7339,548.5412,227.2017,522.5256,183.1754
Cer-EODS(d14:0/34:1-O-14:0)+C2H3O2,1018.938,958.9167,748.7183,546.5256,227.2017,520.5099,183.1754
Cer-EODS(d14:0/34:2-O-14:0)+C2H3O2,1016.922,956.901,746.7026,544.5099,227.2017,518.4943,183.1754
Cer-EODS(d14:0/35:0-O-14:0)+C2H3O2,1034.969,974.9479,764.7496,562.5569,227.2017,536.5412,183.1754
Cer-EODS(d14:0/35:1-O-14:0)+C2H3O2,1032.953,972.9323,762.7339,560.5412,227.2017,534.5256,183.1754
Cer-EODS(d14:0/36:0-O-14:0)+C2H3O2,1048.985,988.9636,778.7653,576.5725,227.2017,550.5569,183.1754
Cer-EODS(d14:0/36:1-O-14:0)+C2H3O2,1046.969,986.9479,776.7496,574.5569,227.2017,548.5412,183.1754
Cer-EODS(d14:0/36:2-O-14:0)+C2H3O2,1044.953,984.9323,774.7339,572.5412,227.2017,546.5256,183.1754
Cer-EODS(d14:0/38:0-O-14:0)+C2H3O2,1077.016,1016.995,806.7966,604.6038,227.2017,578.5881,183.1754
Cer-EODS(d14:0/38:1-O-14:0)+C2H3O2,1075,1014.979,804.7809,602.5881,227.2017,576.5725,183.1754
Cer-EODS(d14:0/38:2-O-14:0)+C2H3O2,1072.985,1012.964,802.7653,600.5725,227.2017,574.5569,183.1754
Cer-EODS(d14:0/40:0-O-14:0)+C2H3O2,1105.047,1045.026,834.8278,632.6351,227.2017,606.6194,183.1754
Cer-EODS(d14:0/40:1-O-14:0)+C2H3O2,1103.032,1043.011,832.8122,630.6194,227.2017,604.6038,183.1754
Cer-EODS(d14:0/40:2-O-14:0)+C2H3O2,1101.016,1040.995,830.7966,628.6038,227.2017,602.5881,183.1754
Cer-EODS(d14:0/42:0-O-14:0)+C2H3O2,1133.079,1073.057,862.8591,660.6664,227.2017,634.6508,183.1754
Cer-EODS(d14:0/42:1-O-14:0)+C2H3O2,1131.063,1071.042,860.8435,658.6508,227.2017,632.6351,183.1754
Cer-EODS(d14:0/42:2-O-14:0)+C2H3O2,1129.047,1069.026,858.8278,656.6351,227.2017,630.6194,183.1754
Cer-EODS(d14:0/12:0-O-14:1)+C2H3O2,710.5935,650.5723,442.3896,240.1969,225.186,214.1813,183.1754
Cer-EODS(d14:0/12:1-O-14:1)+C2H3O2,708.5778,648.5567,440.374,238.1813,225.186,212.1656,183.1754
Cer-EODS(d14:0/13:0-O-14:1)+C2H3O2,724.6091,664.588,456.4053,254.2126,225.186,228.1969,183.1754
Cer-EODS(d14:0/13:1-O-14:1)+C2H3O2,722.5935,662.5723,454.3896,252.1969,225.186,226.1813,183.1754
Cer-EODS(d14:0/14:0-O-14:1)+C2H3O2,738.6248,678.6036,470.4209,268.2282,225.186,242.2126,183.1754
Cer-EODS(d14:0/14:1-O-14:1)+C2H3O2,736.6091,676.588,468.4053,266.2126,225.186,240.1969,183.1754
Cer-EODS(d14:0/15:0-O-14:1)+C2H3O2,752.6404,692.6193,484.4366,282.2439,225.186,256.2282,183.1754
Cer-EODS(d14:0/15:1-O-14:1)+C2H3O2,750.6248,690.6036,482.4209,280.2282,225.186,254.2126,183.1754
Cer-EODS(d14:0/16:0-O-14:1)+C2H3O2,766.6561,706.6349,498.4522,296.2595,225.186,270.2439,183.1754
Cer-EODS(d14:0/16:1-O-14:1)+C2H3O2,764.6404,704.6193,496.4366,294.2439,225.186,268.2282,183.1754
Cer-EODS(d14:0/16:2-O-14:1)+C2H3O2,762.6248,702.6036,494.4209,292.2282,225.186,266.2126,183.1754
Cer-EODS(d14:0/17:0-O-14:1)+C2H3O2,780.6718,720.6506,512.4679,310.2751,225.186,284.2595,183.1754
Cer-EODS(d14:0/18:0-O-14:1)+C2H3O2,794.6874,734.6663,526.4835,324.2908,225.186,298.2751,183.1754
Cer-EODS(d14:0/18:1-O-14:1)+C2H3O2,792.6718,732.6506,524.4679,322.2751,225.186,296.2595,183.1754
Cer-EODS(d14:0/18:2-O-14:1)+C2H3O2,790.6561,730.6349,522.4522,320.2595,225.186,294.2439,183.1754
Cer-EODS(d14:0/19:0-O-14:1)+C2H3O2,808.7031,748.6819,540.4992,338.3065,225.186,312.2908,183.1754
Cer-EODS(d14:0/19:1-O-14:1)+C2H3O2,806.6874,746.6663,538.4835,336.2908,225.186,310.2751,183.1754
Cer-EODS(d14:0/20:0-O-14:1)+C2H3O2,822.7187,762.6976,554.5148,352.3221,225.186,326.3065,183.1754
Cer-EODS(d14:0/20:1-O-14:1)+C2H3O2,820.7031,760.6819,552.4992,350.3065,225.186,324.2908,183.1754
Cer-EODS(d14:0/20:2-O-14:1)+C2H3O2,818.6874,758.6663,550.4835,348.2908,225.186,322.2751,183.1754
Cer-EODS(d14:0/21:0-O-14:1)+C2H3O2,836.7343,776.7132,568.5305,366.3378,225.186,340.3221,183.1754
Cer-EODS(d14:0/21:1-O-14:1)+C2H3O2,834.7187,774.6976,566.5148,364.3221,225.186,338.3065,183.1754
Cer-EODS(d14:0/22:0-O-14:1)+C2H3O2,850.75,790.7289,582.5461,380.3534,225.186,354.3378,183.1754
Cer-EODS(d14:0/22:1-O-14:1)+C2H3O2,848.7343,788.7132,580.5305,378.3378,225.186,352.3221,183.1754
Cer-EODS(d14:0/22:2-O-14:1)+C2H3O2,846.7187,786.6976,578.5148,376.3221,225.186,350.3065,183.1754
Cer-EODS(d14:0/23:0-O-14:1)+C2H3O2,864.7656,804.7445,596.5618,394.369,225.186,368.3534,183.1754
Cer-EODS(d14:0/23:1-O-14:1)+C2H3O2,862.75,802.7289,594.5461,392.3534,225.186,366.3378,183.1754
Cer-EODS(d14:0/24:0-O-14:1)+C2H3O2,878.7813,818.7601,610.5775,408.3847,225.186,382.369,183.1754
Cer-EODS(d14:0/24:1-O-14:1)+C2H3O2,876.7656,816.7445,608.5618,406.369,225.186,380.3534,183.1754
Cer-EODS(d14:0/24:2-O-14:1)+C2H3O2,874.75,814.7289,606.5461,404.3534,225.186,378.3378,183.1754
Cer-EODS(d14:0/25:0-O-14:1)+C2H3O2,892.7969,832.7758,624.5931,422.4004,225.186,396.3847,183.1754
Cer-EODS(d14:0/25:1-O-14:1)+C2H3O2,890.7813,830.7601,622.5775,420.3847,225.186,394.369,183.1754
Cer-EODS(d14:0/26:0-O-14:1)+C2H3O2,906.8126,846.7914,638.6088,436.416,225.186,410.4004,183.1754
Cer-EODS(d14:0/26:1-O-14:1)+C2H3O2,904.7969,844.7758,636.5931,434.4004,225.186,408.3847,183.1754
Cer-EODS(d14:0/26:2-O-14:1)+C2H3O2,902.7813,842.7601,634.5775,432.3847,225.186,406.369,183.1754
Cer-EODS(d14:0/27:0-O-14:1)+C2H3O2,920.8282,860.8071,652.6244,450.4317,225.186,424.416,183.1754
Cer-EODS(d14:0/27:1-O-14:1)+C2H3O2,918.8126,858.7914,650.6088,448.416,225.186,422.4004,183.1754
Cer-EODS(d14:0/28:0-O-14:1)+C2H3O2,934.8439,874.8228,666.64,464.4473,225.186,438.4317,183.1754
Cer-EODS(d14:0/28:1-O-14:1)+C2H3O2,932.8282,872.8071,664.6244,462.4317,225.186,436.416,183.1754
Cer-EODS(d14:0/28:2-O-14:1)+C2H3O2,930.8126,870.7914,662.6088,460.416,225.186,434.4004,183.1754
Cer-EODS(d14:0/29:0-O-14:1)+C2H3O2,948.8596,888.8384,680.6557,478.463,225.186,452.4473,183.1754
Cer-EODS(d14:0/29:1-O-14:1)+C2H3O2,946.8439,886.8228,678.64,476.4473,225.186,450.4317,183.1754
Cer-EODS(d14:0/30:0-O-14:1)+C2H3O2,962.8752,902.8541,694.6713,492.4786,225.186,466.463,183.1754
Cer-EODS(d14:0/30:1-O-14:1)+C2H3O2,960.8596,900.8384,692.6557,490.463,225.186,464.4473,183.1754
Cer-EODS(d14:0/30:2-O-14:1)+C2H3O2,958.8439,898.8228,690.64,488.4473,225.186,462.4317,183.1754
Cer-EODS(d14:0/31:0-O-14:1)+C2H3O2,976.8909,916.8697,708.687,506.4943,225.186,480.4786,183.1754
Cer-EODS(d14:0/31:1-O-14:1)+C2H3O2,974.8752,914.8541,706.6713,504.4786,225.186,478.463,183.1754
Cer-EODS(d14:0/32:0-O-14:1)+C2H3O2,990.9065,930.8854,722.7026,520.5099,225.186,494.4943,183.1754
Cer-EODS(d14:0/32:1-O-14:1)+C2H3O2,988.8909,928.8697,720.687,518.4943,225.186,492.4786,183.1754
Cer-EODS(d14:0/32:2-O-14:1)+C2H3O2,986.8752,926.8541,718.6713,516.4786,225.186,490.463,183.1754
Cer-EODS(d14:0/33:0-O-14:1)+C2H3O2,1004.922,944.901,736.7183,534.5256,225.186,508.5099,183.1754
Cer-EODS(d14:0/33:1-O-14:1)+C2H3O2,1002.906,942.8854,734.7026,532.5099,225.186,506.4943,183.1754
Cer-EODS(d14:0/34:0-O-14:1)+C2H3O2,1018.938,958.9167,750.7339,548.5412,225.186,522.5256,183.1754
Cer-EODS(d14:0/34:1-O-14:1)+C2H3O2,1016.922,956.901,748.7183,546.5256,225.186,520.5099,183.1754
Cer-EODS(d14:0/34:2-O-14:1)+C2H3O2,1014.906,954.8854,746.7026,544.5099,225.186,518.4943,183.1754
Cer-EODS(d14:0/35:0-O-14:1)+C2H3O2,1032.953,972.9323,764.7496,562.5569,225.186,536.5412,183.1754
Cer-EODS(d14:0/35:1-O-14:1)+C2H3O2,1030.938,970.9167,762.7339,560.5412,225.186,534.5256,183.1754
Cer-EODS(d14:0/36:0-O-14:1)+C2H3O2,1046.969,986.9479,778.7653,576.5725,225.186,550.5569,183.1754
Cer-EODS(d14:0/36:1-O-14:1)+C2H3O2,1044.953,984.9323,776.7496,574.5569,225.186,548.5412,183.1754
Cer-EODS(d14:0/36:2-O-14:1)+C2H3O2,1042.938,982.9167,774.7339,572.5412,225.186,546.5256,183.1754
Cer-EODS(d14:0/38:0-O-14:1)+C2H3O2,1075,1014.979,806.7966,604.6038,225.186,578.5881,183.1754
Cer-EODS(d14:0/38:1-O-14:1)+C2H3O2,1072.985,1012.964,804.7809,602.5881,225.186,576.5725,183.1754
Cer-EODS(d14:0/38:2-O-14:1)+C2H3O2,1070.969,1010.948,802.7653,600.5725,225.186,574.5569,183.1754
Cer-EODS(d14:0/40:0-O-14:1)+C2H3O2,1103.032,1043.011,834.8278,632.6351,225.186,606.6194,183.1754
Cer-EODS(d14:0/40:1-O-14:1)+C2H3O2,1101.016,1040.995,832.8122,630.6194,225.186,604.6038,183.1754
Cer-EODS(d14:0/40:2-O-14:1)+C2H3O2,1099,1038.979,830.7966,628.6038,225.186,602.5881,183.1754
Cer-EODS(d14:0/42:0-O-14:1)+C2H3O2,1131.063,1071.042,862.8591,660.6664,225.186,634.6508,183.1754
Cer-EODS(d14:0/42:1-O-14:1)+C2H3O2,1129.047,1069.026,860.8435,658.6508,225.186,632.6351,183.1754
Cer-EODS(d14:0/42:2-O-14:1)+C2H3O2,1127.032,1067.011,858.8278,656.6351,225.186,630.6194,183.1754
Cer-EODS(d14:0/12:0-O-15:0)+C2H3O2,726.6248,666.6036,442.3896,240.1969,241.2173,214.1813,183.1754
Cer-EODS(d14:0/12:1-O-15:0)+C2H3O2,724.6091,664.588,440.374,238.1813,241.2173,212.1656,183.1754
Cer-EODS(d14:0/13:0-O-15:0)+C2H3O2,740.6404,680.6193,456.4053,254.2126,241.2173,228.1969,183.1754
Cer-EODS(d14:0/13:1-O-15:0)+C2H3O2,738.6248,678.6036,454.3896,252.1969,241.2173,226.1813,183.1754
Cer-EODS(d14:0/14:0-O-15:0)+C2H3O2,754.6561,694.6349,470.4209,268.2282,241.2173,242.2126,183.1754
Cer-EODS(d14:0/14:1-O-15:0)+C2H3O2,752.6404,692.6193,468.4053,266.2126,241.2173,240.1969,183.1754
Cer-EODS(d14:0/15:0-O-15:0)+C2H3O2,768.6718,708.6506,484.4366,282.2439,241.2173,256.2282,183.1754
Cer-EODS(d14:0/15:1-O-15:0)+C2H3O2,766.6561,706.6349,482.4209,280.2282,241.2173,254.2126,183.1754
Cer-EODS(d14:0/16:0-O-15:0)+C2H3O2,782.6874,722.6663,498.4522,296.2595,241.2173,270.2439,183.1754
Cer-EODS(d14:0/16:1-O-15:0)+C2H3O2,780.6718,720.6506,496.4366,294.2439,241.2173,268.2282,183.1754
Cer-EODS(d14:0/16:2-O-15:0)+C2H3O2,778.6561,718.6349,494.4209,292.2282,241.2173,266.2126,183.1754
Cer-EODS(d14:0/17:0-O-15:0)+C2H3O2,796.7031,736.6819,512.4679,310.2751,241.2173,284.2595,183.1754
Cer-EODS(d14:0/18:0-O-15:0)+C2H3O2,810.7187,750.6976,526.4835,324.2908,241.2173,298.2751,183.1754
Cer-EODS(d14:0/18:1-O-15:0)+C2H3O2,808.7031,748.6819,524.4679,322.2751,241.2173,296.2595,183.1754
Cer-EODS(d14:0/18:2-O-15:0)+C2H3O2,806.6874,746.6663,522.4522,320.2595,241.2173,294.2439,183.1754
Cer-EODS(d14:0/19:0-O-15:0)+C2H3O2,824.7343,764.7132,540.4992,338.3065,241.2173,312.2908,183.1754
Cer-EODS(d14:0/19:1-O-15:0)+C2H3O2,822.7187,762.6976,538.4835,336.2908,241.2173,310.2751,183.1754
Cer-EODS(d14:0/20:0-O-15:0)+C2H3O2,838.75,778.7289,554.5148,352.3221,241.2173,326.3065,183.1754
Cer-EODS(d14:0/20:1-O-15:0)+C2H3O2,836.7343,776.7132,552.4992,350.3065,241.2173,324.2908,183.1754
Cer-EODS(d14:0/20:2-O-15:0)+C2H3O2,834.7187,774.6976,550.4835,348.2908,241.2173,322.2751,183.1754
Cer-EODS(d14:0/21:0-O-15:0)+C2H3O2,852.7656,792.7445,568.5305,366.3378,241.2173,340.3221,183.1754
Cer-EODS(d14:0/21:1-O-15:0)+C2H3O2,850.75,790.7289,566.5148,364.3221,241.2173,338.3065,183.1754
Cer-EODS(d14:0/22:0-O-15:0)+C2H3O2,866.7813,806.7601,582.5461,380.3534,241.2173,354.3378,183.1754
Cer-EODS(d14:0/22:1-O-15:0)+C2H3O2,864.7656,804.7445,580.5305,378.3378,241.2173,352.3221,183.1754
Cer-EODS(d14:0/22:2-O-15:0)+C2H3O2,862.75,802.7289,578.5148,376.3221,241.2173,350.3065,183.1754
Cer-EODS(d14:0/23:0-O-15:0)+C2H3O2,880.7969,820.7758,596.5618,394.369,241.2173,368.3534,183.1754
Cer-EODS(d14:0/23:1-O-15:0)+C2H3O2,878.7813,818.7601,594.5461,392.3534,241.2173,366.3378,183.1754
Cer-EODS(d14:0/24:0-O-15:0)+C2H3O2,894.8126,834.7914,610.5775,408.3847,241.2173,382.369,183.1754
Cer-EODS(d14:0/24:1-O-15:0)+C2H3O2,892.7969,832.7758,608.5618,406.369,241.2173,380.3534,183.1754
Cer-EODS(d14:0/24:2-O-15:0)+C2H3O2,890.7813,830.7601,606.5461,404.3534,241.2173,378.3378,183.1754
Cer-EODS(d14:0/25:0-O-15:0)+C2H3O2,908.8282,848.8071,624.5931,422.4004,241.2173,396.3847,183.1754
Cer-EODS(d14:0/25:1-O-15:0)+C2H3O2,906.8126,846.7914,622.5775,420.3847,241.2173,394.369,183.1754
Cer-EODS(d14:0/26:0-O-15:0)+C2H3O2,922.8439,862.8228,638.6088,436.416,241.2173,410.4004,183.1754
Cer-EODS(d14:0/26:1-O-15:0)+C2H3O2,920.8282,860.8071,636.5931,434.4004,241.2173,408.3847,183.1754
Cer-EODS(d14:0/26:2-O-15:0)+C2H3O2,918.8126,858.7914,634.5775,432.3847,241.2173,406.369,183.1754
Cer-EODS(d14:0/27:0-O-15:0)+C2H3O2,936.8596,876.8384,652.6244,450.4317,241.2173,424.416,183.1754
Cer-EODS(d14:0/27:1-O-15:0)+C2H3O2,934.8439,874.8228,650.6088,448.416,241.2173,422.4004,183.1754
Cer-EODS(d14:0/28:0-O-15:0)+C2H3O2,950.8752,890.8541,666.64,464.4473,241.2173,438.4317,183.1754
Cer-EODS(d14:0/28:1-O-15:0)+C2H3O2,948.8596,888.8384,664.6244,462.4317,241.2173,436.416,183.1754
Cer-EODS(d14:0/28:2-O-15:0)+C2H3O2,946.8439,886.8228,662.6088,460.416,241.2173,434.4004,183.1754
Cer-EODS(d14:0/29:0-O-15:0)+C2H3O2,964.8909,904.8697,680.6557,478.463,241.2173,452.4473,183.1754
Cer-EODS(d14:0/29:1-O-15:0)+C2H3O2,962.8752,902.8541,678.64,476.4473,241.2173,450.4317,183.1754
Cer-EODS(d14:0/30:0-O-15:0)+C2H3O2,978.9065,918.8854,694.6713,492.4786,241.2173,466.463,183.1754
Cer-EODS(d14:0/30:1-O-15:0)+C2H3O2,976.8909,916.8697,692.6557,490.463,241.2173,464.4473,183.1754
Cer-EODS(d14:0/30:2-O-15:0)+C2H3O2,974.8752,914.8541,690.64,488.4473,241.2173,462.4317,183.1754
Cer-EODS(d14:0/31:0-O-15:0)+C2H3O2,992.9221,932.901,708.687,506.4943,241.2173,480.4786,183.1754
Cer-EODS(d14:0/31:1-O-15:0)+C2H3O2,990.9065,930.8854,706.6713,504.4786,241.2173,478.463,183.1754
Cer-EODS(d14:0/32:0-O-15:0)+C2H3O2,1006.938,946.9167,722.7026,520.5099,241.2173,494.4943,183.1754
Cer-EODS(d14:0/32:1-O-15:0)+C2H3O2,1004.922,944.901,720.687,518.4943,241.2173,492.4786,183.1754
Cer-EODS(d14:0/32:2-O-15:0)+C2H3O2,1002.906,942.8854,718.6713,516.4786,241.2173,490.463,183.1754
Cer-EODS(d14:0/33:0-O-15:0)+C2H3O2,1020.953,960.9323,736.7183,534.5256,241.2173,508.5099,183.1754
Cer-EODS(d14:0/33:1-O-15:0)+C2H3O2,1018.938,958.9167,734.7026,532.5099,241.2173,506.4943,183.1754
Cer-EODS(d14:0/34:0-O-15:0)+C2H3O2,1034.969,974.9479,750.7339,548.5412,241.2173,522.5256,183.1754
Cer-EODS(d14:0/34:1-O-15:0)+C2H3O2,1032.953,972.9323,748.7183,546.5256,241.2173,520.5099,183.1754
Cer-EODS(d14:0/34:2-O-15:0)+C2H3O2,1030.938,970.9167,746.7026,544.5099,241.2173,518.4943,183.1754
Cer-EODS(d14:0/35:0-O-15:0)+C2H3O2,1048.985,988.9636,764.7496,562.5569,241.2173,536.5412,183.1754
Cer-EODS(d14:0/35:1-O-15:0)+C2H3O2,1046.969,986.9479,762.7339,560.5412,241.2173,534.5256,183.1754
Cer-EODS(d14:0/36:0-O-15:0)+C2H3O2,1063,1002.979,778.7653,576.5725,241.2173,550.5569,183.1754
Cer-EODS(d14:0/36:1-O-15:0)+C2H3O2,1060.985,1000.964,776.7496,574.5569,241.2173,548.5412,183.1754
Cer-EODS(d14:0/36:2-O-15:0)+C2H3O2,1058.969,998.9479,774.7339,572.5412,241.2173,546.5256,183.1754
Cer-EODS(d14:0/38:0-O-15:0)+C2H3O2,1091.032,1031.011,806.7966,604.6038,241.2173,578.5881,183.1754
Cer-EODS(d14:0/38:1-O-15:0)+C2H3O2,1089.016,1028.995,804.7809,602.5881,241.2173,576.5725,183.1754
Cer-EODS(d14:0/38:2-O-15:0)+C2H3O2,1087,1026.979,802.7653,600.5725,241.2173,574.5569,183.1754
Cer-EODS(d14:0/40:0-O-15:0)+C2H3O2,1119.063,1059.042,834.8278,632.6351,241.2173,606.6194,183.1754
Cer-EODS(d14:0/40:1-O-15:0)+C2H3O2,1117.047,1057.026,832.8122,630.6194,241.2173,604.6038,183.1754
Cer-EODS(d14:0/40:2-O-15:0)+C2H3O2,1115.032,1055.011,830.7966,628.6038,241.2173,602.5881,183.1754
Cer-EODS(d14:0/42:0-O-15:0)+C2H3O2,1147.094,1087.073,862.8591,660.6664,241.2173,634.6508,183.1754
Cer-EODS(d14:0/42:1-O-15:0)+C2H3O2,1145.079,1085.057,860.8435,658.6508,241.2173,632.6351,183.1754
Cer-EODS(d14:0/42:2-O-15:0)+C2H3O2,1143.063,1083.042,858.8278,656.6351,241.2173,630.6194,183.1754
Cer-EODS(d14:0/12:0-O-15:1)+C2H3O2,724.6091,664.588,442.3896,240.1969,239.2017,214.1813,183.1754
Cer-EODS(d14:0/12:1-O-15:1)+C2H3O2,722.5935,662.5723,440.374,238.1813,239.2017,212.1656,183.1754
Cer-EODS(d14:0/13:0-O-15:1)+C2H3O2,738.6248,678.6036,456.4053,254.2126,239.2017,228.1969,183.1754
Cer-EODS(d14:0/13:1-O-15:1)+C2H3O2,736.6091,676.588,454.3896,252.1969,239.2017,226.1813,183.1754
Cer-EODS(d14:0/14:0-O-15:1)+C2H3O2,752.6404,692.6193,470.4209,268.2282,239.2017,242.2126,183.1754
Cer-EODS(d14:0/14:1-O-15:1)+C2H3O2,750.6248,690.6036,468.4053,266.2126,239.2017,240.1969,183.1754
