HexCer-NDS,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[Sph-C2H7NO-H]-,[FAA-OH-H]-,[C6H11O6]-
HexCer-NDS(d14:0/12:0)-H,588.4476,426.3947,224.2014,183.1754,181.1836,179.0556
HexCer-NDS(d14:0/12:1)-H,586.4319,424.3791,222.1858,183.1754,179.168,179.0556
HexCer-NDS(d14:0/13:0)-H,602.4632,440.4104,238.2171,183.1754,195.1992,179.0556
HexCer-NDS(d14:0/13:1)-H,600.4476,438.3947,236.2014,183.1754,193.1836,179.0556
HexCer-NDS(d14:0/14:0)-H,616.4788,454.426,252.2328,183.1754,209.2149,179.0556
HexCer-NDS(d14:0/14:1)-H,614.4632,452.4104,250.2171,183.1754,207.1992,179.0556
HexCer-NDS(d14:0/15:0)-H,630.4945,468.4417,266.2484,183.1754,223.2305,179.0556
HexCer-NDS(d14:0/15:1)-H,628.4788,466.426,264.2328,183.1754,221.2149,179.0556
HexCer-NDS(d14:0/16:0)-H,644.5101,482.4573,280.264,183.1754,237.2462,179.0556
HexCer-NDS(d14:0/16:1)-H,642.4945,480.4417,278.2484,183.1754,235.2305,179.0556
HexCer-NDS(d14:0/16:2)-H,640.4788,478.426,276.2328,183.1754,233.2149,179.0556
HexCer-NDS(d14:0/17:0)-H,658.5258,496.473,294.2797,183.1754,251.2619,179.0556
HexCer-NDS(d14:0/18:0)-H,672.5414,510.4886,308.2953,183.1754,265.2775,179.0556
HexCer-NDS(d14:0/18:1)-H,670.5258,508.473,306.2797,183.1754,263.2618,179.0556
HexCer-NDS(d14:0/18:2)-H,668.5101,506.4573,304.264,183.1754,261.2462,179.0556
HexCer-NDS(d14:0/19:0)-H,686.5571,524.5043,322.311,183.1754,279.2932,179.0556
HexCer-NDS(d14:0/19:1)-H,684.5414,522.4886,320.2953,183.1754,277.2775,179.0556
HexCer-NDS(d14:0/20:0)-H,700.5728,538.5199,336.3267,183.1754,293.3088,179.0556
HexCer-NDS(d14:0/20:1)-H,698.5571,536.5043,334.311,183.1754,291.2932,179.0556
HexCer-NDS(d14:0/20:2)-H,696.5414,534.4886,332.2953,183.1754,289.2775,179.0556
HexCer-NDS(d14:0/21:0)-H,714.5884,552.5356,350.3423,183.1754,307.3245,179.0556
HexCer-NDS(d14:0/21:1)-H,712.5728,550.5199,348.3267,183.1754,305.3088,179.0556
HexCer-NDS(d14:0/22:0)-H,728.6041,566.5512,364.3579,183.1754,321.3401,179.0556
HexCer-NDS(d14:0/22:1)-H,726.5884,564.5356,362.3423,183.1754,319.3245,179.0556
HexCer-NDS(d14:0/22:2)-H,724.5728,562.5199,360.3267,183.1754,317.3088,179.0556
HexCer-NDS(d14:0/23:0)-H,742.6197,580.5669,378.3736,183.1754,335.3557,179.0556
HexCer-NDS(d14:0/23:1)-H,740.6041,578.5512,376.3579,183.1754,333.3401,179.0556
HexCer-NDS(d14:0/24:0)-H,756.6354,594.5825,392.3893,183.1754,349.3714,179.0556
HexCer-NDS(d14:0/24:1)-H,754.6197,592.5669,390.3736,183.1754,347.3557,179.0556
HexCer-NDS(d14:0/24:2)-H,752.6041,590.5512,388.3579,183.1754,345.3401,179.0556
HexCer-NDS(d14:0/25:0)-H,770.651,608.5981,406.4049,183.1754,363.3871,179.0556
HexCer-NDS(d14:0/25:1)-H,768.6354,606.5825,404.3893,183.1754,361.3714,179.0556
HexCer-NDS(d14:0/26:0)-H,784.6666,622.6138,420.4206,183.1754,377.4027,179.0556
HexCer-NDS(d14:0/26:1)-H,782.651,620.5981,418.4049,183.1754,375.3871,179.0556
HexCer-NDS(d14:0/26:2)-H,780.6354,618.5825,416.3893,183.1754,373.3714,179.0556
HexCer-NDS(d14:0/27:0)-H,798.6823,636.6295,434.4362,183.1754,391.4183,179.0556
HexCer-NDS(d14:0/27:1)-H,796.6666,634.6138,432.4206,183.1754,389.4027,179.0556
HexCer-NDS(d14:0/28:0)-H,812.6979,650.6451,448.4518,183.1754,405.434,179.0556
HexCer-NDS(d14:0/28:1)-H,810.6823,648.6295,446.4362,183.1754,403.4183,179.0556
HexCer-NDS(d14:0/28:2)-H,808.6666,646.6138,444.4206,183.1754,401.4027,179.0556
HexCer-NDS(d14:0/29:0)-H,826.7136,664.6608,462.4675,183.1754,419.4496,179.0556
HexCer-NDS(d14:0/29:1)-H,824.6979,662.6451,460.4518,183.1754,417.434,179.0556
HexCer-NDS(d14:0/30:0)-H,840.7292,678.6764,476.4832,183.1754,433.4653,179.0556
HexCer-NDS(d14:0/30:1)-H,838.7136,676.6608,474.4675,183.1754,431.4496,179.0556
HexCer-NDS(d14:0/30:2)-H,836.6979,674.6451,472.4518,183.1754,429.434,179.0556
HexCer-NDS(d14:0/31:0)-H,854.7449,692.6921,490.4988,183.1754,447.481,179.0556
HexCer-NDS(d14:0/31:1)-H,852.7292,690.6764,488.4832,183.1754,445.4653,179.0556
HexCer-NDS(d14:0/32:0)-H,868.7606,706.7077,504.5144,183.1754,461.4966,179.0556
HexCer-NDS(d14:0/32:1)-H,866.7449,704.6921,502.4988,183.1754,459.481,179.0556
HexCer-NDS(d14:0/32:2)-H,864.7292,702.6764,500.4832,183.1754,457.4653,179.0556
HexCer-NDS(d14:0/33:0)-H,882.7762,720.7234,518.5301,183.1754,475.5122,179.0556
HexCer-NDS(d14:0/33:1)-H,880.7606,718.7077,516.5145,183.1754,473.4966,179.0556
HexCer-NDS(d14:0/34:0)-H,896.7919,734.739,532.5458,183.1754,489.5279,179.0556
HexCer-NDS(d14:0/34:1)-H,894.7762,732.7234,530.5301,183.1754,487.5122,179.0556
HexCer-NDS(d14:0/34:2)-H,892.7606,730.7077,528.5145,183.1754,485.4966,179.0556
HexCer-NDS(d14:0/35:0)-H,910.8075,748.7547,546.5614,183.1754,503.5435,179.0556
HexCer-NDS(d14:0/35:1)-H,908.7919,746.739,544.5458,183.1754,501.5279,179.0556
HexCer-NDS(d14:0/36:0)-H,924.8231,762.7703,560.577,183.1754,517.5592,179.0556
HexCer-NDS(d14:0/36:1)-H,922.8075,760.7547,558.5614,183.1754,515.5436,179.0556
HexCer-NDS(d14:0/36:2)-H,920.7919,758.739,556.5458,183.1754,513.5279,179.0556
HexCer-NDS(d14:0/38:0)-H,952.8544,790.8016,588.6083,183.1754,545.5905,179.0556
HexCer-NDS(d14:0/38:1)-H,950.8388,788.7859,586.5927,183.1754,543.5748,179.0556
HexCer-NDS(d14:0/38:2)-H,948.8231,786.7703,584.577,183.1754,541.5592,179.0556
HexCer-NDS(d14:0/40:0)-H,980.8857,818.8329,616.6396,183.1754,573.6218,179.0556
HexCer-NDS(d14:0/40:1)-H,978.8701,816.8173,614.624,183.1754,571.6061,179.0556
