HexCer-NDS,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[Sph-C2H7NO-H]-,[FAA-OH-H]-,[C6H11O6]-
HexCer-NDS(d14:0/40:2)-H,976.8544,814.8016,612.6083,183.1754,569.5905,179.0556
HexCer-NDS(d14:0/42:0)-H,1008.917,846.8642,644.671,183.1754,601.6531,179.0556
HexCer-NDS(d14:0/42:1)-H,1006.901,844.8486,642.6553,183.1754,599.6375,179.0556
HexCer-NDS(d14:0/42:2)-H,1004.886,842.8329,640.6396,183.1754,597.6218,179.0556
HexCer-NDS(d15:0/12:0)-H,602.4632,440.4104,224.2014,197.1911,181.1836,179.0556
HexCer-NDS(d15:0/12:1)-H,600.4476,438.3947,222.1858,197.1911,179.168,179.0556
HexCer-NDS(d15:0/13:0)-H,616.4788,454.426,238.2171,197.1911,195.1992,179.0556
HexCer-NDS(d15:0/13:1)-H,614.4632,452.4104,236.2014,197.1911,193.1836,179.0556
HexCer-NDS(d15:0/14:0)-H,630.4945,468.4417,252.2328,197.1911,209.2149,179.0556
HexCer-NDS(d15:0/14:1)-H,628.4788,466.426,250.2171,197.1911,207.1992,179.0556
HexCer-NDS(d15:0/15:0)-H,644.5101,482.4573,266.2484,197.1911,223.2305,179.0556
HexCer-NDS(d15:0/15:1)-H,642.4945,480.4417,264.2328,197.1911,221.2149,179.0556
HexCer-NDS(d15:0/16:0)-H,658.5258,496.473,280.264,197.1911,237.2462,179.0556
HexCer-NDS(d15:0/16:1)-H,656.5101,494.4573,278.2484,197.1911,235.2305,179.0556
HexCer-NDS(d15:0/16:2)-H,654.4945,492.4417,276.2328,197.1911,233.2149,179.0556
HexCer-NDS(d15:0/17:0)-H,672.5414,510.4886,294.2797,197.1911,251.2619,179.0556
HexCer-NDS(d15:0/18:0)-H,686.5571,524.5043,308.2953,197.1911,265.2775,179.0556
HexCer-NDS(d15:0/18:1)-H,684.5414,522.4886,306.2797,197.1911,263.2618,179.0556
HexCer-NDS(d15:0/18:2)-H,682.5258,520.473,304.264,197.1911,261.2462,179.0556
HexCer-NDS(d15:0/19:0)-H,700.5728,538.5199,322.311,197.1911,279.2932,179.0556
HexCer-NDS(d15:0/19:1)-H,698.5571,536.5043,320.2953,197.1911,277.2775,179.0556
HexCer-NDS(d15:0/20:0)-H,714.5884,552.5356,336.3267,197.1911,293.3088,179.0556
HexCer-NDS(d15:0/20:1)-H,712.5728,550.5199,334.311,197.1911,291.2932,179.0556
HexCer-NDS(d15:0/20:2)-H,710.5571,548.5043,332.2953,197.1911,289.2775,179.0556
HexCer-NDS(d15:0/21:0)-H,728.6041,566.5512,350.3423,197.1911,307.3245,179.0556
HexCer-NDS(d15:0/21:1)-H,726.5884,564.5356,348.3267,197.1911,305.3088,179.0556
HexCer-NDS(d15:0/22:0)-H,742.6197,580.5669,364.3579,197.1911,321.3401,179.0556
HexCer-NDS(d15:0/22:1)-H,740.6041,578.5512,362.3423,197.1911,319.3245,179.0556
HexCer-NDS(d15:0/22:2)-H,738.5884,576.5356,360.3267,197.1911,317.3088,179.0556
HexCer-NDS(d15:0/23:0)-H,756.6354,594.5825,378.3736,197.1911,335.3557,179.0556
HexCer-NDS(d15:0/23:1)-H,754.6197,592.5669,376.3579,197.1911,333.3401,179.0556
HexCer-NDS(d15:0/24:0)-H,770.651,608.5981,392.3893,197.1911,349.3714,179.0556
HexCer-NDS(d15:0/24:1)-H,768.6354,606.5825,390.3736,197.1911,347.3557,179.0556
HexCer-NDS(d15:0/24:2)-H,766.6197,604.5669,388.3579,197.1911,345.3401,179.0556
HexCer-NDS(d15:0/25:0)-H,784.6666,622.6138,406.4049,197.1911,363.3871,179.0556
HexCer-NDS(d15:0/25:1)-H,782.651,620.5981,404.3893,197.1911,361.3714,179.0556
HexCer-NDS(d15:0/26:0)-H,798.6823,636.6295,420.4206,197.1911,377.4027,179.0556
HexCer-NDS(d15:0/26:1)-H,796.6666,634.6138,418.4049,197.1911,375.3871,179.0556
HexCer-NDS(d15:0/26:2)-H,794.651,632.5981,416.3893,197.1911,373.3714,179.0556
HexCer-NDS(d15:0/27:0)-H,812.6979,650.6451,434.4362,197.1911,391.4183,179.0556
HexCer-NDS(d15:0/27:1)-H,810.6823,648.6295,432.4206,197.1911,389.4027,179.0556
HexCer-NDS(d15:0/28:0)-H,826.7136,664.6608,448.4518,197.1911,405.434,179.0556
HexCer-NDS(d15:0/28:1)-H,824.6979,662.6451,446.4362,197.1911,403.4183,179.0556
HexCer-NDS(d15:0/28:2)-H,822.6823,660.6295,444.4206,197.1911,401.4027,179.0556
HexCer-NDS(d15:0/29:0)-H,840.7292,678.6764,462.4675,197.1911,419.4496,179.0556
HexCer-NDS(d15:0/29:1)-H,838.7136,676.6608,460.4518,197.1911,417.434,179.0556
HexCer-NDS(d15:0/30:0)-H,854.7449,692.6921,476.4832,197.1911,433.4653,179.0556
HexCer-NDS(d15:0/30:1)-H,852.7292,690.6764,474.4675,197.1911,431.4496,179.0556
HexCer-NDS(d15:0/30:2)-H,850.7136,688.6608,472.4518,197.1911,429.434,179.0556
HexCer-NDS(d15:0/31:0)-H,868.7606,706.7077,490.4988,197.1911,447.481,179.0556
HexCer-NDS(d15:0/31:1)-H,866.7449,704.6921,488.4832,197.1911,445.4653,179.0556
HexCer-NDS(d15:0/32:0)-H,882.7762,720.7234,504.5144,197.1911,461.4966,179.0556
HexCer-NDS(d15:0/32:1)-H,880.7606,718.7077,502.4988,197.1911,459.481,179.0556
HexCer-NDS(d15:0/32:2)-H,878.7449,716.6921,500.4832,197.1911,457.4653,179.0556
HexCer-NDS(d15:0/33:0)-H,896.7919,734.739,518.5301,197.1911,475.5122,179.0556
HexCer-NDS(d15:0/33:1)-H,894.7762,732.7234,516.5145,197.1911,473.4966,179.0556
HexCer-NDS(d15:0/34:0)-H,910.8075,748.7547,532.5458,197.1911,489.5279,179.0556
HexCer-NDS(d15:0/34:1)-H,908.7919,746.739,530.5301,197.1911,487.5122,179.0556
HexCer-NDS(d15:0/34:2)-H,906.7762,744.7234,528.5145,197.1911,485.4966,179.0556
HexCer-NDS(d15:0/35:0)-H,924.8231,762.7703,546.5614,197.1911,503.5435,179.0556
HexCer-NDS(d15:0/35:1)-H,922.8075,760.7547,544.5458,197.1911,501.5279,179.0556
HexCer-NDS(d15:0/36:0)-H,938.8388,776.7859,560.577,197.1911,517.5592,179.0556
HexCer-NDS(d15:0/36:1)-H,936.8231,774.7703,558.5614,197.1911,515.5436,179.0556
HexCer-NDS(d15:0/36:2)-H,934.8075,772.7547,556.5458,197.1911,513.5279,179.0556
HexCer-NDS(d15:0/38:0)-H,966.8701,804.8173,588.6083,197.1911,545.5905,179.0556
HexCer-NDS(d15:0/38:1)-H,964.8544,802.8016,586.5927,197.1911,543.5748,179.0556
HexCer-NDS(d15:0/38:2)-H,962.8388,800.7859,584.577,197.1911,541.5592,179.0556
HexCer-NDS(d15:0/40:0)-H,994.9014,832.8486,616.6396,197.1911,573.6218,179.0556
HexCer-NDS(d15:0/40:1)-H,992.8857,830.8329,614.624,197.1911,571.6061,179.0556
HexCer-NDS(d15:0/40:2)-H,990.8701,828.8173,612.6083,197.1911,569.5905,179.0556
HexCer-NDS(d15:0/42:0)-H,1022.933,860.8799,644.671,197.1911,601.6531,179.0556
HexCer-NDS(d15:0/42:1)-H,1020.917,858.8642,642.6553,197.1911,599.6375,179.0556
HexCer-NDS(d15:0/42:2)-H,1018.901,856.8486,640.6396,197.1911,597.6218,179.0556
HexCer-NDS(d16:0/12:0)-H,616.4788,454.426,224.2014,211.2067,181.1836,179.0556
HexCer-NDS(d16:0/12:1)-H,614.4632,452.4104,222.1858,211.2067,179.168,179.0556
HexCer-NDS(d16:0/13:0)-H,630.4945,468.4417,238.2171,211.2067,195.1992,179.0556
HexCer-NDS(d16:0/13:1)-H,628.4788,466.426,236.2014,211.2067,193.1836,179.0556
HexCer-NDS(d16:0/14:0)-H,644.5101,482.4573,252.2328,211.2067,209.2149,179.0556
HexCer-NDS(d16:0/14:1)-H,642.4945,480.4417,250.2171,211.2067,207.1992,179.0556
HexCer-NDS(d16:0/15:0)-H,658.5258,496.473,266.2484,211.2067,223.2305,179.0556
HexCer-NDS(d16:0/15:1)-H,656.5101,494.4573,264.2328,211.2067,221.2149,179.0556
HexCer-NDS(d16:0/16:0)-H,672.5414,510.4886,280.264,211.2067,237.2462,179.0556
HexCer-NDS(d16:0/16:1)-H,670.5258,508.473,278.2484,211.2067,235.2305,179.0556
HexCer-NDS(d16:0/16:2)-H,668.5101,506.4573,276.2328,211.2067,233.2149,179.0556
HexCer-NDS(d16:0/17:0)-H,686.5571,524.5043,294.2797,211.2067,251.2619,179.0556
HexCer-NDS(d16:0/18:0)-H,700.5728,538.5199,308.2953,211.2067,265.2775,179.0556
HexCer-NDS(d16:0/18:1)-H,698.5571,536.5043,306.2797,211.2067,263.2618,179.0556
HexCer-NDS(d16:0/18:2)-H,696.5414,534.4886,304.264,211.2067,261.2462,179.0556
HexCer-NDS(d16:0/19:0)-H,714.5884,552.5356,322.311,211.2067,279.2932,179.0556
HexCer-NDS(d16:0/19:1)-H,712.5728,550.5199,320.2953,211.2067,277.2775,179.0556
HexCer-NDS(d16:0/20:0)-H,728.6041,566.5512,336.3267,211.2067,293.3088,179.0556
HexCer-NDS(d16:0/20:1)-H,726.5884,564.5356,334.311,211.2067,291.2932,179.0556
HexCer-NDS(d16:0/20:2)-H,724.5728,562.5199,332.2953,211.2067,289.2775,179.0556
HexCer-NDS(d16:0/21:0)-H,742.6197,580.5669,350.3423,211.2067,307.3245,179.0556
HexCer-NDS(d16:0/21:1)-H,740.6041,578.5512,348.3267,211.2067,305.3088,179.0556
HexCer-NDS(d16:0/22:0)-H,756.6354,594.5825,364.3579,211.2067,321.3401,179.0556
HexCer-NDS(d16:0/22:1)-H,754.6197,592.5669,362.3423,211.2067,319.3245,179.0556
HexCer-NDS(d16:0/22:2)-H,752.6041,590.5512,360.3267,211.2067,317.3088,179.0556
HexCer-NDS(d16:0/23:0)-H,770.651,608.5981,378.3736,211.2067,335.3557,179.0556
HexCer-NDS(d16:0/23:1)-H,768.6354,606.5825,376.3579,211.2067,333.3401,179.0556
HexCer-NDS(d16:0/24:0)-H,784.6666,622.6138,392.3893,211.2067,349.3714,179.0556
HexCer-NDS(d16:0/24:1)-H,782.651,620.5981,390.3736,211.2067,347.3557,179.0556
HexCer-NDS(d16:0/24:2)-H,780.6354,618.5825,388.3579,211.2067,345.3401,179.0556
HexCer-NDS(d16:0/25:0)-H,798.6823,636.6295,406.4049,211.2067,363.3871,179.0556
HexCer-NDS(d16:0/25:1)-H,796.6666,634.6138,404.3893,211.2067,361.3714,179.0556
HexCer-NDS(d16:0/26:0)-H,812.6979,650.6451,420.4206,211.2067,377.4027,179.0556
HexCer-NDS(d16:0/26:1)-H,810.6823,648.6295,418.4049,211.2067,375.3871,179.0556
HexCer-NDS(d16:0/26:2)-H,808.6666,646.6138,416.3893,211.2067,373.3714,179.0556
HexCer-NDS(d16:0/27:0)-H,826.7136,664.6608,434.4362,211.2067,391.4183,179.0556
HexCer-NDS(d16:0/27:1)-H,824.6979,662.6451,432.4206,211.2067,389.4027,179.0556
HexCer-NDS(d16:0/28:0)-H,840.7292,678.6764,448.4518,211.2067,405.434,179.0556
HexCer-NDS(d16:0/28:1)-H,838.7136,676.6608,446.4362,211.2067,403.4183,179.0556
HexCer-NDS(d16:0/28:2)-H,836.6979,674.6451,444.4206,211.2067,401.4027,179.0556
HexCer-NDS(d16:0/29:0)-H,854.7449,692.6921,462.4675,211.2067,419.4496,179.0556
HexCer-NDS(d16:0/29:1)-H,852.7292,690.6764,460.4518,211.2067,417.434,179.0556
HexCer-NDS(d16:0/30:0)-H,868.7606,706.7077,476.4832,211.2067,433.4653,179.0556
HexCer-NDS(d16:0/30:1)-H,866.7449,704.6921,474.4675,211.2067,431.4496,179.0556
HexCer-NDS(d16:0/30:2)-H,864.7292,702.6764,472.4518,211.2067,429.434,179.0556
HexCer-NDS(d16:0/31:0)-H,882.7762,720.7234,490.4988,211.2067,447.481,179.0556
HexCer-NDS(d16:0/31:1)-H,880.7606,718.7077,488.4832,211.2067,445.4653,179.0556
HexCer-NDS(d16:0/32:0)-H,896.7919,734.739,504.5144,211.2067,461.4966,179.0556
HexCer-NDS(d16:0/32:1)-H,894.7762,732.7234,502.4988,211.2067,459.481,179.0556
HexCer-NDS(d16:0/32:2)-H,892.7606,730.7077,500.4832,211.2067,457.4653,179.0556
HexCer-NDS(d16:0/33:0)-H,910.8075,748.7547,518.5301,211.2067,475.5122,179.0556
HexCer-NDS(d16:0/33:1)-H,908.7919,746.739,516.5145,211.2067,473.4966,179.0556
HexCer-NDS(d16:0/34:0)-H,924.8231,762.7703,532.5458,211.2067,489.5279,179.0556
HexCer-NDS(d16:0/34:1)-H,922.8075,760.7547,530.5301,211.2067,487.5122,179.0556
HexCer-NDS(d16:0/34:2)-H,920.7919,758.739,528.5145,211.2067,485.4966,179.0556
HexCer-NDS(d16:0/35:0)-H,938.8388,776.7859,546.5614,211.2067,503.5435,179.0556
HexCer-NDS(d16:0/35:1)-H,936.8231,774.7703,544.5458,211.2067,501.5279,179.0556
HexCer-NDS(d16:0/36:0)-H,952.8544,790.8016,560.577,211.2067,517.5592,179.0556
HexCer-NDS(d16:0/36:1)-H,950.8388,788.7859,558.5614,211.2067,515.5436,179.0556
HexCer-NDS(d16:0/36:2)-H,948.8231,786.7703,556.5458,211.2067,513.5279,179.0556
HexCer-NDS(d16:0/38:0)-H,980.8857,818.8329,588.6083,211.2067,545.5905,179.0556
HexCer-NDS(d16:0/38:1)-H,978.8701,816.8173,586.5927,211.2067,543.5748,179.0556
HexCer-NDS(d16:0/38:2)-H,976.8544,814.8016,584.577,211.2067,541.5592,179.0556
HexCer-NDS(d16:0/40:0)-H,1008.917,846.8642,616.6396,211.2067,573.6218,179.0556
HexCer-NDS(d16:0/40:1)-H,1006.901,844.8486,614.624,211.2067,571.6061,179.0556
HexCer-NDS(d16:0/40:2)-H,1004.886,842.8329,612.6083,211.2067,569.5905,179.0556
HexCer-NDS(d16:0/42:0)-H,1036.948,874.8955,644.671,211.2067,601.6531,179.0556
HexCer-NDS(d16:0/42:1)-H,1034.933,872.8799,642.6553,211.2067,599.6375,179.0556
HexCer-NDS(d16:0/42:2)-H,1032.917,870.8642,640.6396,211.2067,597.6218,179.0556
HexCer-NDS(d17:0/12:0)-H,630.4945,468.4417,224.2014,225.2224,181.1836,179.0556
HexCer-NDS(d17:0/12:1)-H,628.4788,466.426,222.1858,225.2224,179.168,179.0556
HexCer-NDS(d17:0/13:0)-H,644.5101,482.4573,238.2171,225.2224,195.1992,179.0556
HexCer-NDS(d17:0/13:1)-H,642.4945,480.4417,236.2014,225.2224,193.1836,179.0556
HexCer-NDS(d17:0/14:0)-H,658.5258,496.473,252.2328,225.2224,209.2149,179.0556
HexCer-NDS(d17:0/14:1)-H,656.5101,494.4573,250.2171,225.2224,207.1992,179.0556
HexCer-NDS(d17:0/15:0)-H,672.5414,510.4886,266.2484,225.2224,223.2305,179.0556
HexCer-NDS(d17:0/15:1)-H,670.5258,508.473,264.2328,225.2224,221.2149,179.0556
HexCer-NDS(d17:0/16:0)-H,686.5571,524.5043,280.264,225.2224,237.2462,179.0556
HexCer-NDS(d17:0/16:1)-H,684.5414,522.4886,278.2484,225.2224,235.2305,179.0556
HexCer-NDS(d17:0/16:2)-H,682.5258,520.473,276.2328,225.2224,233.2149,179.0556
HexCer-NDS(d17:0/17:0)-H,700.5728,538.5199,294.2797,225.2224,251.2619,179.0556
HexCer-NDS(d17:0/18:0)-H,714.5884,552.5356,308.2953,225.2224,265.2775,179.0556
HexCer-NDS(d17:0/18:1)-H,712.5728,550.5199,306.2797,225.2224,263.2618,179.0556
HexCer-NDS(d17:0/18:2)-H,710.5571,548.5043,304.264,225.2224,261.2462,179.0556
HexCer-NDS(d17:0/19:0)-H,728.6041,566.5512,322.311,225.2224,279.2932,179.0556
HexCer-NDS(d17:0/19:1)-H,726.5884,564.5356,320.2953,225.2224,277.2775,179.0556
HexCer-NDS(d17:0/20:0)-H,742.6197,580.5669,336.3267,225.2224,293.3088,179.0556
HexCer-NDS(d17:0/20:1)-H,740.6041,578.5512,334.311,225.2224,291.2932,179.0556
HexCer-NDS(d17:0/20:2)-H,738.5884,576.5356,332.2953,225.2224,289.2775,179.0556
HexCer-NDS(d17:0/21:0)-H,756.6354,594.5825,350.3423,225.2224,307.3245,179.0556
HexCer-NDS(d17:0/21:1)-H,754.6197,592.5669,348.3267,225.2224,305.3088,179.0556
HexCer-NDS(d17:0/22:0)-H,770.651,608.5981,364.3579,225.2224,321.3401,179.0556
HexCer-NDS(d17:0/22:1)-H,768.6354,606.5825,362.3423,225.2224,319.3245,179.0556
HexCer-NDS(d17:0/22:2)-H,766.6197,604.5669,360.3267,225.2224,317.3088,179.0556
HexCer-NDS(d17:0/23:0)-H,784.6666,622.6138,378.3736,225.2224,335.3557,179.0556
HexCer-NDS(d17:0/23:1)-H,782.651,620.5981,376.3579,225.2224,333.3401,179.0556
HexCer-NDS(d17:0/24:0)-H,798.6823,636.6295,392.3893,225.2224,349.3714,179.0556
HexCer-NDS(d17:0/24:1)-H,796.6666,634.6138,390.3736,225.2224,347.3557,179.0556
HexCer-NDS(d17:0/24:2)-H,794.651,632.5981,388.3579,225.2224,345.3401,179.0556
HexCer-NDS(d17:0/25:0)-H,812.6979,650.6451,406.4049,225.2224,363.3871,179.0556
HexCer-NDS(d17:0/25:1)-H,810.6823,648.6295,404.3893,225.2224,361.3714,179.0556
HexCer-NDS(d17:0/26:0)-H,826.7136,664.6608,420.4206,225.2224,377.4027,179.0556
HexCer-NDS(d17:0/26:1)-H,824.6979,662.6451,418.4049,225.2224,375.3871,179.0556
HexCer-NDS(d17:0/26:2)-H,822.6823,660.6295,416.3893,225.2224,373.3714,179.0556
HexCer-NDS(d17:0/27:0)-H,840.7292,678.6764,434.4362,225.2224,391.4183,179.0556
HexCer-NDS(d17:0/27:1)-H,838.7136,676.6608,432.4206,225.2224,389.4027,179.0556
HexCer-NDS(d17:0/28:0)-H,854.7449,692.6921,448.4518,225.2224,405.434,179.0556
HexCer-NDS(d17:0/28:1)-H,852.7292,690.6764,446.4362,225.2224,403.4183,179.0556
HexCer-NDS(d17:0/28:2)-H,850.7136,688.6608,444.4206,225.2224,401.4027,179.0556
HexCer-NDS(d17:0/29:0)-H,868.7606,706.7077,462.4675,225.2224,419.4496,179.0556
HexCer-NDS(d17:0/29:1)-H,866.7449,704.6921,460.4518,225.2224,417.434,179.0556
HexCer-NDS(d17:0/30:0)-H,882.7762,720.7234,476.4832,225.2224,433.4653,179.0556
HexCer-NDS(d17:0/30:1)-H,880.7606,718.7077,474.4675,225.2224,431.4496,179.0556
HexCer-NDS(d17:0/30:2)-H,878.7449,716.6921,472.4518,225.2224,429.434,179.0556
HexCer-NDS(d17:0/31:0)-H,896.7919,734.739,490.4988,225.2224,447.481,179.0556
HexCer-NDS(d17:0/31:1)-H,894.7762,732.7234,488.4832,225.2224,445.4653,179.0556
HexCer-NDS(d17:0/32:0)-H,910.8075,748.7547,504.5144,225.2224,461.4966,179.0556
HexCer-NDS(d17:0/32:1)-H,908.7919,746.739,502.4988,225.2224,459.481,179.0556
HexCer-NDS(d17:0/32:2)-H,906.7762,744.7234,500.4832,225.2224,457.4653,179.0556
HexCer-NDS(d17:0/33:0)-H,924.8231,762.7703,518.5301,225.2224,475.5122,179.0556
HexCer-NDS(d17:0/33:1)-H,922.8075,760.7547,516.5145,225.2224,473.4966,179.0556
HexCer-NDS(d17:0/34:0)-H,938.8388,776.7859,532.5458,225.2224,489.5279,179.0556
HexCer-NDS(d17:0/34:1)-H,936.8231,774.7703,530.5301,225.2224,487.5122,179.0556
HexCer-NDS(d17:0/34:2)-H,934.8075,772.7547,528.5145,225.2224,485.4966,179.0556
HexCer-NDS(d17:0/35:0)-H,952.8544,790.8016,546.5614,225.2224,503.5435,179.0556
HexCer-NDS(d17:0/35:1)-H,950.8388,788.7859,544.5458,225.2224,501.5279,179.0556
HexCer-NDS(d17:0/36:0)-H,966.8701,804.8173,560.577,225.2224,517.5592,179.0556
HexCer-NDS(d17:0/36:1)-H,964.8544,802.8016,558.5614,225.2224,515.5436,179.0556
HexCer-NDS(d17:0/36:2)-H,962.8388,800.7859,556.5458,225.2224,513.5279,179.0556
HexCer-NDS(d17:0/38:0)-H,994.9014,832.8486,588.6083,225.2224,545.5905,179.0556
HexCer-NDS(d17:0/38:1)-H,992.8857,830.8329,586.5927,225.2224,543.5748,179.0556
HexCer-NDS(d17:0/38:2)-H,990.8701,828.8173,584.577,225.2224,541.5592,179.0556
HexCer-NDS(d17:0/40:0)-H,1022.933,860.8799,616.6396,225.2224,573.6218,179.0556
HexCer-NDS(d17:0/40:1)-H,1020.917,858.8642,614.624,225.2224,571.6061,179.0556
HexCer-NDS(d17:0/40:2)-H,1018.901,856.8486,612.6083,225.2224,569.5905,179.0556
