OxLPC,[M+HCO2]-,NL_CH3&HCO2,NL_choline&HCO2,NL_R1C2HO,NL_R1COOH&CH3&HCO2,Phosphocholine_NL_CH3,Glycerol-3-phosphate_NL_H2O,R1COO-,H2PO4-,PO3-
OxLPC(10:1(CHO))+HCO2,468.200435,408.179335,337.105835,242.0799,224.0693,168.0431,152.9958,183.10269,96.9696,78.9591
OxLPC(10:2(CHO))+HCO2,466.184785,406.163685,335.090185,242.0799,224.0693,168.0431,152.9958,181.08704,96.9696,78.9591
OxLPC(11:1(CHO))+HCO2,482.216085,422.194985,351.121485,242.0799,224.0693,168.0431,152.9958,197.11834,96.9696,78.9591
OxLPC(11:2(CHO))+HCO2,480.200435,420.179335,349.105835,242.0799,224.0693,168.0431,152.9958,195.10269,96.9696,78.9591
OxLPC(12:1(CHO))+HCO2,496.231735,436.210635,365.137135,242.0799,224.0693,168.0431,152.9958,211.13399,96.9696,78.9591
OxLPC(12:2(CHO))+HCO2,494.216085,434.194985,363.121485,242.0799,224.0693,168.0431,152.9958,209.11834,96.9696,78.9591
OxLPC(12:3(CHO))+HCO2,492.200435,432.179335,361.105835,242.0799,224.0693,168.0431,152.9958,207.10269,96.9696,78.9591
OxLPC(13:1(CHO))+HCO2,510.247385,450.226285,379.152785,242.0799,224.0693,168.0431,152.9958,225.14964,96.9696,78.9591
OxLPC(13:2(CHO))+HCO2,508.231735,448.210635,377.137135,242.0799,224.0693,168.0431,152.9958,223.13399,96.9696,78.9591
OxLPC(13:3(CHO))+HCO2,506.216085,446.194985,375.121485,242.0799,224.0693,168.0431,152.9958,221.11834,96.9696,78.9591
OxLPC(14:1(CHO))+HCO2,524.263035,464.241935,393.168435,242.0799,224.0693,168.0431,152.9958,239.16529,96.9696,78.9591
OxLPC(14:2(CHO))+HCO2,522.247385,462.226285,391.152785,242.0799,224.0693,168.0431,152.9958,237.14964,96.9696,78.9591
OxLPC(14:3(CHO))+HCO2,520.231735,460.210635,389.137135,242.0799,224.0693,168.0431,152.9958,235.13399,96.9696,78.9591
OxLPC(15:1(CHO))+HCO2,538.278685,478.257585,407.184085,242.0799,224.0693,168.0431,152.9958,253.18094,96.9696,78.9591
OxLPC(15:2(CHO))+HCO2,536.263035,476.241935,405.168435,242.0799,224.0693,168.0431,152.9958,251.16529,96.9696,78.9591
OxLPC(15:3(CHO))+HCO2,534.247385,474.226285,403.152785,242.0799,224.0693,168.0431,152.9958,249.14964,96.9696,78.9591
OxLPC(15:4(CHO))+HCO2,532.231735,472.210635,401.137135,242.0799,224.0693,168.0431,152.9958,247.13399,96.9696,78.9591
OxLPC(16:1(CHO))+HCO2,552.294335,492.273235,421.199735,242.0799,224.0693,168.0431,152.9958,267.19659,96.9696,78.9591
OxLPC(16:2(CHO))+HCO2,550.278685,490.257585,419.184085,242.0799,224.0693,168.0431,152.9958,265.18094,96.9696,78.9591
OxLPC(16:3(CHO))+HCO2,548.263035,488.241935,417.168435,242.0799,224.0693,168.0431,152.9958,263.16529,96.9696,78.9591
OxLPC(16:4(CHO))+HCO2,546.247385,486.226285,415.152785,242.0799,224.0693,168.0431,152.9958,261.14964,96.9696,78.9591
OxLPC(17:4(CHO))+HCO2,560.263035,500.241935,429.168435,242.0799,224.0693,168.0431,152.9958,275.16529,96.9696,78.9591
OxLPC(18:4(CHO))+HCO2,574.278685,514.257585,443.184085,242.0799,224.0693,168.0431,152.9958,289.18094,96.9696,78.9591
OxLPC(18:5(CHO))+HCO2,572.263035,512.241935,441.168435,242.0799,224.0693,168.0431,152.9958,287.16529,96.9696,78.9591
OxLPC(19:4(CHO))+HCO2,588.294335,528.273235,457.199735,242.0799,224.0693,168.0431,152.9958,303.19659,96.9696,78.9591
OxLPC(19:5(CHO))+HCO2,586.278685,526.257585,455.184085,242.0799,224.0693,168.0431,152.9958,301.18094,96.9696,78.9591
OxLPC(3:0(COOH))+HCO2,388.101445,328.080345,257.006845,242.0799,224.0693,168.0431,152.9958,103.0037,96.9696,78.9591
OxLPC(4:0(COOH))+HCO2,402.117095,342.095995,271.022495,242.0799,224.0693,168.0431,152.9958,117.01935,96.9696,78.9591
OxLPC(5:0(COOH))+HCO2,416.132745,356.111645,285.038145,242.0799,224.0693,168.0431,152.9958,131.035,96.9696,78.9591
OxLPC(6:0(COOH))+HCO2,430.148395,370.127295,299.053795,242.0799,224.0693,168.0431,152.9958,145.05065,96.9696,78.9591
OxLPC(7:0(COOH))+HCO2,444.164045,384.142945,313.069445,242.0799,224.0693,168.0431,152.9958,159.0663,96.9696,78.9591
OxLPC(8:0(COOH))+HCO2,458.179695,398.158595,327.085095,242.0799,224.0693,168.0431,152.9958,173.08195,96.9696,78.9591
OxLPC(9:0(COOH))+HCO2,472.195345,412.174245,341.100745,242.0799,224.0693,168.0431,152.9958,187.0976,96.9696,78.9591
OxLPC(10:0(COOH))+HCO2,486.210995,426.189895,355.116395,242.0799,224.0693,168.0431,152.9958,201.11325,96.9696,78.9591
OxLPC(11:0(COOH))+HCO2,500.226645,440.205545,369.132045,242.0799,224.0693,168.0431,152.9958,215.1289,96.9696,78.9591
OxLPC(12:0(COOH))+HCO2,514.242295,454.221195,383.147695,242.0799,224.0693,168.0431,152.9958,229.14455,96.9696,78.9591
OxLPC(13:0(COOH))+HCO2,528.257945,468.236845,397.163345,242.0799,224.0693,168.0431,152.9958,243.1602,96.9696,78.9591
OxLPC(14:0(COOH))+HCO2,542.273595,482.252495,411.178995,242.0799,224.0693,168.0431,152.9958,257.17585,96.9696,78.9591
OxLPC(15:0(COOH))+HCO2,556.289245,496.268145,425.194645,242.0799,224.0693,168.0431,152.9958,271.1915,96.9696,78.9591
OxLPC(6:1(COOH))+HCO2,428.132755,368.111655,297.038155,242.0799,224.0693,168.0431,152.9958,143.03501,96.9696,78.9591
OxLPC(7:1(COOH))+HCO2,442.148405,382.127305,311.053805,242.0799,224.0693,168.0431,152.9958,157.05066,96.9696,78.9591
OxLPC(8:1(COOH))+HCO2,456.164055,396.142955,325.069455,242.0799,224.0693,168.0431,152.9958,171.06631,96.9696,78.9591
OxLPC(9:1(COOH))+HCO2,470.179705,410.158605,339.085105,242.0799,224.0693,168.0431,152.9958,185.08196,96.9696,78.9591
OxLPC(9:2(COOH))+HCO2,468.164055,408.142955,337.069455,242.0799,224.0693,168.0431,152.9958,183.06631,96.9696,78.9591
OxLPC(10:1(COOH))+HCO2,484.195355,424.174255,353.100755,242.0799,224.0693,168.0431,152.9958,199.09761,96.9696,78.9591
