OxLPC,[M+HCO2]-,NL_CH3&HCO2,NL_choline&HCO2,NL_R1C2HO,NL_R1COOH&CH3&HCO2,Phosphocholine_NL_CH3,Glycerol-3-phosphate_NL_H2O,R1COO-,H2PO4-,PO3-
OxLPC(22:4(Ke))+HCO2,630.341255,570.320155,499.246655,242.0799,224.0693,168.0431,152.9958,345.24351,96.9696,78.9591
OxLPC(22:5(Ke))+HCO2,628.325655,568.304555,497.231055,242.0799,224.0693,168.0431,152.9958,343.22791,96.9696,78.9591
OxLPC(22:6(Ke))+HCO2,626.309955,566.288855,495.215355,242.0799,224.0693,168.0431,152.9958,341.21221,96.9696,78.9591
OxLPC(24:1(Ke))+HCO2,664.419555,604.398455,533.324955,242.0799,224.0693,168.0431,152.9958,379.32181,96.9696,78.9591
"OxLPC(14:1(Ke,OH))+HCO2",540.257975,480.236875,409.163375,242.0799,224.0693,168.0431,152.9958,255.16023,96.9696,78.9591
"OxLPC(15:1(Ke,OH))+HCO2",554.273575,494.252475,423.178975,242.0799,224.0693,168.0431,152.9958,269.17583,96.9696,78.9591
"OxLPC(16:1(Ke,OH))+HCO2",568.289275,508.268175,437.194675,242.0799,224.0693,168.0431,152.9958,283.19153,96.9696,78.9591
"OxLPC(17:1(Ke,OH))+HCO2",582.304875,522.283775,451.210275,242.0799,224.0693,168.0431,152.9958,297.20713,96.9696,78.9591
"OxLPC(17:2(Ke,OH))+HCO2",580.289275,520.268175,449.194675,242.0799,224.0693,168.0431,152.9958,295.19153,96.9696,78.9591
"OxLPC(18:1(Ke,OH))+HCO2",596.320575,536.299475,465.225975,242.0799,224.0693,168.0431,152.9958,311.22283,96.9696,78.9591
"OxLPC(18:2(Ke,OH))+HCO2",594.304875,534.283775,463.210275,242.0799,224.0693,168.0431,152.9958,309.20713,96.9696,78.9591
"OxLPC(18:3(Ke,OH))+HCO2",592.289275,532.268175,461.194675,242.0799,224.0693,168.0431,152.9958,307.19153,96.9696,78.9591
"OxLPC(18:4(Ke,OH))+HCO2",590.273575,530.252475,459.178975,242.0799,224.0693,168.0431,152.9958,305.17583,96.9696,78.9591
"OxLPC(20:1(Ke,OH))+HCO2",624.351875,564.330775,493.257275,242.0799,224.0693,168.0431,152.9958,339.25413,96.9696,78.9591
"OxLPC(20:2(Ke,OH))+HCO2",622.336175,562.315075,491.241575,242.0799,224.0693,168.0431,152.9958,337.23843,96.9696,78.9591
"OxLPC(20:3(Ke,OH))+HCO2",620.320575,560.299475,489.225975,242.0799,224.0693,168.0431,152.9958,335.22283,96.9696,78.9591
"OxLPC(20:4(Ke,OH))+HCO2",618.304875,558.283775,487.210275,242.0799,224.0693,168.0431,152.9958,333.20713,96.9696,78.9591
"OxLPC(20:5(Ke,OH))+HCO2",616.289275,556.268175,485.194675,242.0799,224.0693,168.0431,152.9958,331.19153,96.9696,78.9591
"OxLPC(22:1(Ke,OH))+HCO2",652.383175,592.362075,521.288575,242.0799,224.0693,168.0431,152.9958,367.28543,96.9696,78.9591
"OxLPC(22:2(Ke,OH))+HCO2",650.367475,590.346375,519.272875,242.0799,224.0693,168.0431,152.9958,365.26973,96.9696,78.9591
"OxLPC(22:3(Ke,OH))+HCO2",648.351875,588.330775,517.257275,242.0799,224.0693,168.0431,152.9958,363.25413,96.9696,78.9591
"OxLPC(22:4(Ke,OH))+HCO2",646.336175,586.315075,515.241575,242.0799,224.0693,168.0431,152.9958,361.23843,96.9696,78.9591
"OxLPC(22:5(Ke,OH))+HCO2",644.320575,584.299475,513.225975,242.0799,224.0693,168.0431,152.9958,359.22283,96.9696,78.9591
"OxLPC(22:6(Ke,OH))+HCO2",642.304875,582.283775,511.210275,242.0799,224.0693,168.0431,152.9958,357.20713,96.9696,78.9591
"OxLPC(24:1(Ke,OH))+HCO2",680.414475,620.393375,549.319875,242.0799,224.0693,168.0431,152.9958,395.31673,96.9696,78.9591
