MGDG,[M+H]+,SN1_acyl_loss,SN1-H2O,SN2_acyl_loss,SN2-H2O
MGDG(14:0_20:1)+H,757.5824,546.37634,528.36578,464.29814,446.28758
MGDG(14:0_20:2)+H,755.56677,544.36071,526.35015,464.29815,446.28759
MGDG(14:0_20:3)+H,753.55107,542.34501,524.33445,464.29809,446.28753
MGDG(14:0_20:4)+H,751.53547,540.32941,522.31885,464.29813,446.28757
MGDG(14:0_20:5)+H,749.51987,538.31381,520.30325,464.29817,446.28761
MGDG(14:0_21:0)+H,773.61372,562.40766,544.3971,464.29818,446.28762
MGDG(14:0_22:0)+H,787.62937,576.42331,558.41275,464.29819,446.28763
MGDG(14:0_22:1)+H,785.61372,574.40766,556.3971,464.29818,446.28762
MGDG(14:0_22:2)+H,783.59807,572.39201,554.38145,464.29817,446.28761
MGDG(14:0_22:4)+H,779.56677,568.36071,550.35015,464.29815,446.28759
MGDG(14:0_22:5)+H,777.55107,566.34501,548.33445,464.29809,446.28753
MGDG(14:0_22:6)+H,775.53547,564.32941,546.31885,464.29813,446.28757
MGDG(14:0_23:0)+H,801.64503,590.43897,572.42841,464.29821,446.28765
MGDG(14:0_24:0)+H,815.66067,604.45461,586.44405,464.29821,446.28765
MGDG(14:0_24:1)+H,813.64503,602.43897,584.42841,464.29821,446.28765
MGDG(14:0_24:4)+H,807.59807,596.39201,578.38145,464.29817,446.28761
MGDG(14:0_25:0)+H,829.67634,618.47028,600.45972,464.29824,446.28768
MGDG(14:0_26:0)+H,843.69197,632.48591,614.47535,464.29823,446.28767
MGDG(14:0_26:1)+H,841.67634,630.47028,612.45972,464.29824,446.28768
MGDG(14:0_26:2)+H,839.66067,628.45461,610.44405,464.29821,446.28765
MGDG(14:1_2:0)+H,505.30073,296.11031,278.09975,462.28235,444.27179
MGDG(14:1_3:0)+H,519.31637,310.12595,292.11539,462.28235,444.27179
MGDG(14:1_4:0)+H,533.33204,324.14162,306.13106,462.28238,444.27182
MGDG(14:1_5:0)+H,547.34767,338.15725,320.14669,462.28237,444.27181
MGDG(14:1_6:0)+H,561.36327,352.17285,334.16229,462.28233,444.27177
MGDG(14:1_7:0)+H,575.37897,366.18855,348.17799,462.28239,444.27183
MGDG(14:1_8:0)+H,589.39457,380.20415,362.19359,462.28235,444.27179
MGDG(14:1_9:0)+H,603.41027,394.21985,376.20929,462.28241,444.27185
MGDG(14:1_10:0)+H,617.42591,408.23549,390.22493,462.28241,444.27185
MGDG(14:1_11:0)+H,631.44157,422.25115,404.24059,462.28243,444.27187
MGDG(14:1_12:0)+H,645.45722,436.2668,418.25624,462.28244,444.27188
MGDG(14:1_13:0)+H,659.47287,450.28245,432.27189,462.28245,444.27189
MGDG(14:1_14:0)+H,673.48853,464.29811,446.28755,462.28247,444.27191
MGDG(14:1_14:1)+H,671.47287,462.28245,444.27189,462.28245,444.27189
MGDG(14:1_15:0)+H,687.50417,478.31375,460.30319,462.28247,444.27191
MGDG(14:1_15:1)+H,685.48853,476.29811,458.28755,462.28247,444.27191
MGDG(14:1_16:0)+H,701.51987,492.32945,474.31889,462.28253,444.27197
MGDG(14:1_16:1)+H,699.50417,490.31375,472.30319,462.28247,444.27191
MGDG(14:1_17:0)+H,715.53547,506.34505,488.33449,462.28249,444.27193
MGDG(14:1_17:1)+H,713.51987,504.32945,486.31889,462.28253,444.27197
MGDG(14:1_17:2)+H,711.50417,502.31375,484.30319,462.28247,444.27191
MGDG(14:1_18:0)+H,729.55107,520.36065,502.35009,462.28245,444.27189
MGDG(14:1_18:1)+H,727.53547,518.34505,500.33449,462.28249,444.27193
MGDG(14:1_18:2)+H,725.51987,516.32945,498.31889,462.28253,444.27197
MGDG(14:1_18:3)+H,723.50417,514.31375,496.30319,462.28247,444.27191
MGDG(14:1_18:4)+H,721.48853,512.29811,494.28755,462.28247,444.27191
MGDG(14:1_19:0)+H,743.56677,534.37635,516.36579,462.28251,444.27195
MGDG(14:1_20:0)+H,757.5824,548.39198,530.38142,462.2825,444.27194
MGDG(14:1_20:1)+H,755.56677,546.37635,528.36579,462.28251,444.27195
MGDG(14:1_20:2)+H,753.55107,544.36065,526.35009,462.28245,444.27189
MGDG(14:1_20:3)+H,751.53547,542.34505,524.33449,462.28249,444.27193
MGDG(14:1_20:4)+H,749.51987,540.32945,522.31889,462.28253,444.27197
MGDG(14:1_20:5)+H,747.50417,538.31375,520.30319,462.28247,444.27191
MGDG(14:1_21:0)+H,771.59807,562.40765,544.39709,462.28253,444.27197
MGDG(14:1_22:0)+H,785.61372,576.4233,558.41274,462.28254,444.27198
MGDG(14:1_22:1)+H,783.59807,574.40765,556.39709,462.28253,444.27197
MGDG(14:1_22:2)+H,781.5824,572.39198,554.38142,462.2825,444.27194
MGDG(14:1_22:4)+H,777.55107,568.36065,550.35009,462.28245,444.27189
MGDG(14:1_22:5)+H,775.53547,566.34505,548.33449,462.28249,444.27193
MGDG(14:1_22:6)+H,773.51987,564.32945,546.31889,462.28253,444.27197
MGDG(14:1_23:0)+H,799.62937,590.43895,572.42839,462.28255,444.27199
MGDG(14:1_24:0)+H,813.64503,604.45461,586.44405,462.28257,444.27201
MGDG(14:1_24:1)+H,811.62937,602.43895,584.42839,462.28255,444.27199
MGDG(14:1_24:4)+H,805.5824,596.39198,578.38142,462.2825,444.27194
MGDG(14:1_25:0)+H,827.66067,618.47025,600.45969,462.28257,444.27201
MGDG(14:1_26:0)+H,841.67634,632.48592,614.47536,462.2826,444.27204
MGDG(14:1_26:1)+H,839.66067,630.47025,612.45969,462.28257,444.27201
MGDG(14:1_26:2)+H,837.64503,628.45461,610.44405,462.28257,444.27201
MGDG(15:0_2:0)+H,521.33204,296.11034,278.09978,478.31366,460.3031
MGDG(15:0_3:0)+H,535.34767,310.12597,292.11541,478.31365,460.30309
MGDG(15:0_4:0)+H,549.36327,324.14157,306.13101,478.31361,460.30305
MGDG(15:0_5:0)+H,563.37897,338.15727,320.14671,478.31367,460.30311
MGDG(15:0_6:0)+H,577.39457,352.17287,334.16231,478.31363,460.30307
MGDG(15:0_7:0)+H,591.41027,366.18857,348.17801,478.31369,460.30313
MGDG(15:0_8:0)+H,605.42591,380.20421,362.19365,478.31369,460.30313
MGDG(15:0_9:0)+H,619.44157,394.21987,376.20931,478.31371,460.30315
MGDG(15:0_10:0)+H,633.45722,408.23552,390.22496,478.31372,460.30316
MGDG(15:0_11:0)+H,647.47287,422.25117,404.24061,478.31373,460.30317
MGDG(15:0_12:0)+H,661.48853,436.26683,418.25627,478.31375,460.30319
MGDG(15:0_13:0)+H,675.50417,450.28247,432.27191,478.31375,460.30319
MGDG(15:0_14:0)+H,689.51987,464.29817,446.28761,478.31381,460.30325
MGDG(15:0_14:1)+H,687.50417,462.28247,444.27191,478.31375,460.30319
MGDG(15:0_15:0)+H,703.53547,478.31377,460.30321,478.31377,460.30321
MGDG(15:0_15:1)+H,701.51987,476.29817,458.28761,478.31381,460.30325
MGDG(15:0_16:0)+H,717.55107,492.32937,474.31881,478.31373,460.30317
MGDG(15:0_16:1)+H,715.53547,490.31377,472.30321,478.31377,460.30321
MGDG(15:0_17:0)+H,731.56677,506.34507,488.33451,478.31379,460.30323
MGDG(15:0_17:1)+H,729.55107,504.32937,486.31881,478.31373,460.30317
MGDG(15:0_17:2)+H,727.53547,502.31377,484.30321,478.31377,460.30321
MGDG(15:0_18:0)+H,745.5824,520.3607,502.35014,478.31378,460.30322
MGDG(15:0_18:1)+H,743.56677,518.34507,500.33451,478.31379,460.30323
MGDG(15:0_18:2)+H,741.55107,516.32937,498.31881,478.31373,460.30317
