MGDG,[M+H]+,SN1_acyl_loss,SN1-H2O,SN2_acyl_loss,SN2-H2O
MGDG(16:1_16:0)+H,729.55107,492.32937,474.31881,490.31373,472.30317
MGDG(16:1_16:1)+H,727.53547,490.31377,472.30321,490.31377,472.30321
MGDG(16:1_17:0)+H,743.56677,506.34507,488.33451,490.31379,472.30323
MGDG(16:1_17:1)+H,741.55107,504.32937,486.31881,490.31373,472.30317
MGDG(16:1_17:2)+H,739.53547,502.31377,484.30321,490.31377,472.30321
MGDG(16:1_18:0)+H,757.5824,520.3607,502.35014,490.31378,472.30322
MGDG(16:1_18:1)+H,755.56677,518.34507,500.33451,490.31379,472.30323
MGDG(16:1_18:2)+H,753.55107,516.32937,498.31881,490.31373,472.30317
MGDG(16:1_18:3)+H,751.53547,514.31377,496.30321,490.31377,472.30321
MGDG(16:1_18:4)+H,749.51987,512.29817,494.28761,490.31381,472.30325
MGDG(16:1_19:0)+H,771.59807,534.37637,516.36581,490.31381,472.30325
MGDG(16:1_20:0)+H,785.61372,548.39202,530.38146,490.31382,472.30326
MGDG(16:1_20:1)+H,783.59807,546.37637,528.36581,490.31381,472.30325
MGDG(16:1_20:2)+H,781.5824,544.3607,526.35014,490.31378,472.30322
MGDG(16:1_20:3)+H,779.56677,542.34507,524.33451,490.31379,472.30323
MGDG(16:1_20:4)+H,777.55107,540.32937,522.31881,490.31373,472.30317
MGDG(16:1_20:5)+H,775.53547,538.31377,520.30321,490.31377,472.30321
MGDG(16:1_21:0)+H,799.62937,562.40767,544.39711,490.31383,472.30327
MGDG(16:1_22:0)+H,813.64503,576.42333,558.41277,490.31385,472.30329
MGDG(16:1_22:1)+H,811.62937,574.40767,556.39711,490.31383,472.30327
MGDG(16:1_22:2)+H,809.61372,572.39202,554.38146,490.31382,472.30326
MGDG(16:1_22:4)+H,805.5824,568.3607,550.35014,490.31378,472.30322
MGDG(16:1_22:5)+H,803.56677,566.34507,548.33451,490.31379,472.30323
MGDG(16:1_22:6)+H,801.55107,564.32937,546.31881,490.31373,472.30317
MGDG(16:1_23:0)+H,827.66067,590.43897,572.42841,490.31385,472.30329
MGDG(16:1_24:0)+H,841.67634,604.45464,586.44408,490.31388,472.30332
MGDG(16:1_24:1)+H,839.66067,602.43897,584.42841,490.31385,472.30329
MGDG(16:1_24:4)+H,833.61372,596.39202,578.38146,490.31382,472.30326
MGDG(16:1_25:0)+H,855.69197,618.47027,600.45971,490.31387,472.30331
MGDG(16:1_26:0)+H,869.70767,632.48597,614.47541,490.31393,472.30337
MGDG(16:1_26:1)+H,867.69197,630.47027,612.45971,490.31387,472.30331
MGDG(16:1_26:2)+H,865.67634,628.45464,610.44408,490.31388,472.30332
MGDG(17:0_2:0)+H,549.36327,296.11029,278.09973,506.34489,488.33433
MGDG(17:0_3:0)+H,563.37897,310.12599,292.11543,506.34495,488.33439
MGDG(17:0_4:0)+H,577.39457,324.14159,306.13103,506.34491,488.33435
MGDG(17:0_5:0)+H,591.41027,338.15729,320.14673,506.34497,488.33441
MGDG(17:0_6:0)+H,605.42591,352.17293,334.16237,506.34497,488.33441
MGDG(17:0_7:0)+H,619.44157,366.18859,348.17803,506.34499,488.33443
MGDG(17:0_8:0)+H,633.45722,380.20424,362.19368,506.345,488.33444
MGDG(17:0_9:0)+H,647.47287,394.21989,376.20933,506.34501,488.33445
MGDG(17:0_10:0)+H,661.48853,408.23555,390.22499,506.34503,488.33447
MGDG(17:0_11:0)+H,675.50417,422.25119,404.24063,506.34503,488.33447
MGDG(17:0_12:0)+H,689.51987,436.26689,418.25633,506.34509,488.33453
MGDG(17:0_13:0)+H,703.53547,450.28249,432.27193,506.34505,488.33449
MGDG(17:0_14:0)+H,717.55107,464.29809,446.28753,506.34501,488.33445
MGDG(17:0_14:1)+H,715.53547,462.28249,444.27193,506.34505,488.33449
MGDG(17:0_15:0)+H,731.56677,478.31379,460.30323,506.34507,488.33451
MGDG(17:0_15:1)+H,729.55107,476.29809,458.28753,506.34501,488.33445
MGDG(17:0_16:0)+H,745.5824,492.32942,474.31886,506.34506,488.3345
MGDG(17:0_16:1)+H,743.56677,490.31379,472.30323,506.34507,488.33451
MGDG(17:0_17:0)+H,759.59807,506.34509,488.33453,506.34509,488.33453
MGDG(17:0_17:1)+H,757.5824,504.32942,486.31886,506.34506,488.3345
MGDG(17:0_17:2)+H,755.56677,502.31379,484.30323,506.34507,488.33451
MGDG(17:0_18:0)+H,773.61372,520.36074,502.35018,506.3451,488.33454
MGDG(17:0_18:1)+H,771.59807,518.34509,500.33453,506.34509,488.33453
MGDG(17:0_18:2)+H,769.5824,516.32942,498.31886,506.34506,488.3345
MGDG(17:0_18:3)+H,767.56677,514.31379,496.30323,506.34507,488.33451
MGDG(17:0_18:4)+H,765.55107,512.29809,494.28753,506.34501,488.33445
MGDG(17:0_19:0)+H,787.62937,534.37639,516.36583,506.34511,488.33455
MGDG(17:0_20:0)+H,801.64503,548.39205,530.38149,506.34513,488.33457
MGDG(17:0_20:1)+H,799.62937,546.37639,528.36583,506.34511,488.33455
MGDG(17:0_20:2)+H,797.61372,544.36074,526.35018,506.3451,488.33454
MGDG(17:0_20:3)+H,795.59807,542.34509,524.33453,506.34509,488.33453
MGDG(17:0_20:4)+H,793.5824,540.32942,522.31886,506.34506,488.3345
MGDG(17:0_20:5)+H,791.56677,538.31379,520.30323,506.34507,488.33451
MGDG(17:0_21:0)+H,815.66067,562.40769,544.39713,506.34513,488.33457
MGDG(17:0_22:0)+H,829.67634,576.42336,558.4128,506.34516,488.3346
MGDG(17:0_22:1)+H,827.66067,574.40769,556.39713,506.34513,488.33457
MGDG(17:0_22:2)+H,825.64503,572.39205,554.38149,506.34513,488.33457
MGDG(17:0_22:4)+H,821.61372,568.36074,550.35018,506.3451,488.33454
MGDG(17:0_22:5)+H,819.59807,566.34509,548.33453,506.34509,488.33453
MGDG(17:0_22:6)+H,817.5824,564.32942,546.31886,506.34506,488.3345
MGDG(17:0_23:0)+H,843.69197,590.43899,572.42843,506.34515,488.33459
MGDG(17:0_24:0)+H,857.70767,604.45469,586.44413,506.34521,488.33465
MGDG(17:0_24:1)+H,855.69197,602.43899,584.42843,506.34515,488.33459
MGDG(17:0_24:4)+H,849.64503,596.39205,578.38149,506.34513,488.33457
MGDG(17:0_25:0)+H,871.72327,618.47029,600.45973,506.34517,488.33461
MGDG(17:0_26:0)+H,885.73887,632.48589,614.47533,506.34513,488.33457
MGDG(17:0_26:1)+H,883.72327,630.47029,612.45973,506.34517,488.33461
MGDG(17:0_26:2)+H,881.70767,628.45469,610.44413,506.34521,488.33465
MGDG(17:1_2:0)+H,547.34767,296.11033,278.09977,504.32929,486.31873
MGDG(17:1_3:0)+H,561.36327,310.12593,292.11537,504.32925,486.31869
MGDG(17:1_4:0)+H,575.37897,324.14163,306.13107,504.32931,486.31875
MGDG(17:1_5:0)+H,589.39457,338.15723,320.14667,504.32927,486.31871
MGDG(17:1_6:0)+H,603.41027,352.17293,334.16237,504.32933,486.31877
MGDG(17:1_7:0)+H,617.42591,366.18857,348.17801,504.32933,486.31877
MGDG(17:1_8:0)+H,631.44157,380.20423,362.19367,504.32935,486.31879
MGDG(17:1_9:0)+H,645.45722,394.21988,376.20932,504.32936,486.3188
MGDG(17:1_10:0)+H,659.47287,408.23553,390.22497,504.32937,486.31881
MGDG(17:1_11:0)+H,673.48853,422.25119,404.24063,504.32939,486.31883
MGDG(17:1_12:0)+H,687.50417,436.26683,418.25627,504.32939,486.31883
MGDG(17:1_13:0)+H,701.51987,450.28253,432.27197,504.32945,486.31889
MGDG(17:1_14:0)+H,715.53547,464.29813,446.28757,504.32941,486.31885
MGDG(17:1_14:1)+H,713.51987,462.28253,444.27197,504.32945,486.31889
MGDG(17:1_15:0)+H,729.55107,478.31373,460.30317,504.32937,486.31881
MGDG(17:1_15:1)+H,727.53547,476.29813,458.28757,504.32941,486.31885
MGDG(17:1_16:0)+H,743.56677,492.32943,474.31887,504.32943,486.31887
MGDG(17:1_16:1)+H,741.55107,490.31373,472.30317,504.32937,486.31881
MGDG(17:1_17:0)+H,757.5824,506.34506,488.3345,504.32942,486.31886
MGDG(17:1_17:1)+H,755.56677,504.32943,486.31887,504.32943,486.31887
MGDG(17:1_17:2)+H,753.55107,502.31373,484.30317,504.32937,486.31881
MGDG(17:1_18:0)+H,771.59807,520.36073,502.35017,504.32945,486.31889
MGDG(17:1_18:1)+H,769.5824,518.34506,500.3345,504.32942,486.31886
MGDG(17:1_18:2)+H,767.56677,516.32943,498.31887,504.32943,486.31887
MGDG(17:1_18:3)+H,765.55107,514.31373,496.30317,504.32937,486.31881
MGDG(17:1_18:4)+H,763.53547,512.29813,494.28757,504.32941,486.31885
MGDG(17:1_19:0)+H,785.61372,534.37638,516.36582,504.32946,486.3189
MGDG(17:1_20:0)+H,799.62937,548.39203,530.38147,504.32947,486.31891
MGDG(17:1_20:1)+H,797.61372,546.37638,528.36582,504.32946,486.3189
MGDG(17:1_20:2)+H,795.59807,544.36073,526.35017,504.32945,486.31889
MGDG(17:1_20:3)+H,793.5824,542.34506,524.3345,504.32942,486.31886
MGDG(17:1_20:4)+H,791.56677,540.32943,522.31887,504.32943,486.31887
MGDG(17:1_20:5)+H,789.55107,538.31373,520.30317,504.32937,486.31881
MGDG(17:1_21:0)+H,813.64503,562.40769,544.39713,504.32949,486.31893
MGDG(17:1_22:0)+H,827.66067,576.42333,558.41277,504.32949,486.31893
MGDG(17:1_22:1)+H,825.64503,574.40769,556.39713,504.32949,486.31893
MGDG(17:1_22:2)+H,823.62937,572.39203,554.38147,504.32947,486.31891
MGDG(17:1_22:4)+H,819.59807,568.36073,550.35017,504.32945,486.31889
MGDG(17:1_22:5)+H,817.5824,566.34506,548.3345,504.32942,486.31886
MGDG(17:1_22:6)+H,815.56677,564.32943,546.31887,504.32943,486.31887
MGDG(17:1_23:0)+H,841.67634,590.439,572.42844,504.32952,486.31896
MGDG(17:1_24:0)+H,855.69197,604.45463,586.44407,504.32951,486.31895
MGDG(17:1_24:1)+H,853.67634,602.439,584.42844,504.32952,486.31896
MGDG(17:1_24:4)+H,847.62937,596.39203,578.38147,504.32947,486.31891
MGDG(17:1_25:0)+H,869.70767,618.47033,600.45977,504.32957,486.31901
MGDG(17:1_26:0)+H,883.72327,632.48593,614.47537,504.32953,486.31897
MGDG(17:1_26:1)+H,881.70767,630.47033,612.45977,504.32957,486.31901
MGDG(17:1_26:2)+H,879.69197,628.45463,610.44407,504.32951,486.31895
MGDG(17:2_2:0)+H,545.33204,296.11034,278.09978,502.31366,484.3031
MGDG(17:2_3:0)+H,559.34767,310.12597,292.11541,502.31365,484.30309
MGDG(17:2_4:0)+H,573.36327,324.14157,306.13101,502.31361,484.30305
MGDG(17:2_5:0)+H,587.37897,338.15727,320.14671,502.31367,484.30311
MGDG(17:2_6:0)+H,601.39457,352.17287,334.16231,502.31363,484.30307
MGDG(17:2_7:0)+H,615.41027,366.18857,348.17801,502.31369,484.30313
MGDG(17:2_8:0)+H,629.42591,380.20421,362.19365,502.31369,484.30313
MGDG(17:2_9:0)+H,643.44157,394.21987,376.20931,502.31371,484.30315
MGDG(17:2_10:0)+H,657.45722,408.23552,390.22496,502.31372,484.30316
MGDG(17:2_11:0)+H,671.47287,422.25117,404.24061,502.31373,484.30317
MGDG(17:2_12:0)+H,685.48853,436.26683,418.25627,502.31375,484.30319
MGDG(17:2_13:0)+H,699.50417,450.28247,432.27191,502.31375,484.30319
MGDG(17:2_14:0)+H,713.51987,464.29817,446.28761,502.31381,484.30325
MGDG(17:2_14:1)+H,711.50417,462.28247,444.27191,502.31375,484.30319
MGDG(17:2_15:0)+H,727.53547,478.31377,460.30321,502.31377,484.30321
MGDG(17:2_15:1)+H,725.51987,476.29817,458.28761,502.31381,484.30325
MGDG(17:2_16:0)+H,741.55107,492.32937,474.31881,502.31373,484.30317
MGDG(17:2_16:1)+H,739.53547,490.31377,472.30321,502.31377,484.30321
MGDG(17:2_17:0)+H,755.56677,506.34507,488.33451,502.31379,484.30323
MGDG(17:2_17:1)+H,753.55107,504.32937,486.31881,502.31373,484.30317
MGDG(17:2_17:2)+H,751.53547,502.31377,484.30321,502.31377,484.30321
MGDG(17:2_18:0)+H,769.5824,520.3607,502.35014,502.31378,484.30322
MGDG(17:2_18:1)+H,767.56677,518.34507,500.33451,502.31379,484.30323
MGDG(17:2_18:2)+H,765.55107,516.32937,498.31881,502.31373,484.30317
MGDG(17:2_18:3)+H,763.53547,514.31377,496.30321,502.31377,484.30321
MGDG(17:2_18:4)+H,761.51987,512.29817,494.28761,502.31381,484.30325
MGDG(17:2_19:0)+H,783.59807,534.37637,516.36581,502.31381,484.30325
MGDG(17:2_20:0)+H,797.61372,548.39202,530.38146,502.31382,484.30326
MGDG(17:2_20:1)+H,795.59807,546.37637,528.36581,502.31381,484.30325
MGDG(17:2_20:2)+H,793.5824,544.3607,526.35014,502.31378,484.30322
MGDG(17:2_20:3)+H,791.56677,542.34507,524.33451,502.31379,484.30323
MGDG(17:2_20:4)+H,789.55107,540.32937,522.31881,502.31373,484.30317
MGDG(17:2_20:5)+H,787.53547,538.31377,520.30321,502.31377,484.30321
MGDG(17:2_21:0)+H,811.62937,562.40767,544.39711,502.31383,484.30327
MGDG(17:2_22:0)+H,825.64503,576.42333,558.41277,502.31385,484.30329
MGDG(17:2_22:1)+H,823.62937,574.40767,556.39711,502.31383,484.30327
MGDG(17:2_22:2)+H,821.61372,572.39202,554.38146,502.31382,484.30326
MGDG(17:2_22:4)+H,817.5824,568.3607,550.35014,502.31378,484.30322
MGDG(17:2_22:5)+H,815.56677,566.34507,548.33451,502.31379,484.30323
MGDG(17:2_22:6)+H,813.55107,564.32937,546.31881,502.31373,484.30317
MGDG(17:2_23:0)+H,839.66067,590.43897,572.42841,502.31385,484.30329
MGDG(17:2_24:0)+H,853.67634,604.45464,586.44408,502.31388,484.30332
MGDG(17:2_24:1)+H,851.66067,602.43897,584.42841,502.31385,484.30329
MGDG(17:2_24:4)+H,845.61372,596.39202,578.38146,502.31382,484.30326
MGDG(17:2_25:0)+H,867.69197,618.47027,600.45971,502.31387,484.30331
MGDG(17:2_26:0)+H,881.70767,632.48597,614.47541,502.31393,484.30337
MGDG(17:2_26:1)+H,879.69197,630.47027,612.45971,502.31387,484.30331
MGDG(17:2_26:2)+H,877.67634,628.45464,610.44408,502.31388,484.30332
MGDG(18:0_2:0)+H,563.37897,296.11035,278.09979,520.36059,502.35003
MGDG(18:0_3:0)+H,577.39457,310.12595,292.11539,520.36055,502.34999
MGDG(18:0_4:0)+H,591.41027,324.14165,306.13109,520.36061,502.35005
MGDG(18:0_5:0)+H,605.42591,338.15729,320.14673,520.36061,502.35005
MGDG(18:0_6:0)+H,619.44157,352.17295,334.16239,520.36063,502.35007
MGDG(18:0_7:0)+H,633.45722,366.1886,348.17804,520.36064,502.35008
MGDG(18:0_8:0)+H,647.47287,380.20425,362.19369,520.36065,502.35009
MGDG(18:0_9:0)+H,661.48853,394.21991,376.20935,520.36067,502.35011
MGDG(18:0_10:0)+H,675.50417,408.23555,390.22499,520.36067,502.35011
MGDG(18:0_11:0)+H,689.51987,422.25125,404.24069,520.36073,502.35017
MGDG(18:0_12:0)+H,703.53547,436.26685,418.25629,520.36069,502.35013
MGDG(18:0_13:0)+H,717.55107,450.28245,432.27189,520.36065,502.35009
MGDG(18:0_14:0)+H,731.56677,464.29815,446.28759,520.36071,502.35015
MGDG(18:0_14:1)+H,729.55107,462.28245,444.27189,520.36065,502.35009
MGDG(18:0_15:0)+H,745.5824,478.31378,460.30322,520.3607,502.35014
MGDG(18:0_15:1)+H,743.56677,476.29815,458.28759,520.36071,502.35015
MGDG(18:0_16:0)+H,759.59807,492.32945,474.31889,520.36073,502.35017
MGDG(18:0_16:1)+H,757.5824,490.31378,472.30322,520.3607,502.35014
MGDG(18:0_17:0)+H,773.61372,506.3451,488.33454,520.36074,502.35018
MGDG(18:0_17:1)+H,771.59807,504.32945,486.31889,520.36073,502.35017
MGDG(18:0_17:2)+H,769.5824,502.31378,484.30322,520.3607,502.35014
MGDG(18:0_18:0)+H,787.62937,520.36075,502.35019,520.36075,502.35019
MGDG(18:0_18:1)+H,785.61372,518.3451,500.33454,520.36074,502.35018
MGDG(18:0_18:2)+H,783.59807,516.32945,498.31889,520.36073,502.35017
MGDG(18:0_18:3)+H,781.5824,514.31378,496.30322,520.3607,502.35014
MGDG(18:0_18:4)+H,779.56677,512.29815,494.28759,520.36071,502.35015
MGDG(18:0_19:0)+H,801.64503,534.37641,516.36585,520.36077,502.35021
MGDG(18:0_20:0)+H,815.66067,548.39205,530.38149,520.36077,502.35021
MGDG(18:0_20:1)+H,813.64503,546.37641,528.36585,520.36077,502.35021
MGDG(18:0_20:2)+H,811.62937,544.36075,526.35019,520.36075,502.35019
MGDG(18:0_20:3)+H,809.61372,542.3451,524.33454,520.36074,502.35018
MGDG(18:0_20:4)+H,807.59807,540.32945,522.31889,520.36073,502.35017
MGDG(18:0_20:5)+H,805.5824,538.31378,520.30322,520.3607,502.35014
MGDG(18:0_21:0)+H,829.67634,562.40772,544.39716,520.3608,502.35024
MGDG(18:0_22:0)+H,843.69197,576.42335,558.41279,520.36079,502.35023
MGDG(18:0_22:1)+H,841.67634,574.40772,556.39716,520.3608,502.35024
MGDG(18:0_22:2)+H,839.66067,572.39205,554.38149,520.36077,502.35021
MGDG(18:0_22:4)+H,835.62937,568.36075,550.35019,520.36075,502.35019
MGDG(18:0_22:5)+H,833.61372,566.3451,548.33454,520.36074,502.35018
MGDG(18:0_22:6)+H,831.59807,564.32945,546.31889,520.36073,502.35017
MGDG(18:0_23:0)+H,857.70767,590.43905,572.42849,520.36085,502.35029
MGDG(18:0_24:0)+H,871.72327,604.45465,586.44409,520.36081,502.35025
MGDG(18:0_24:1)+H,869.70767,602.43905,584.42849,520.36085,502.35029
MGDG(18:0_24:4)+H,863.66067,596.39205,578.38149,520.36077,502.35021
MGDG(18:0_25:0)+H,885.73887,618.47025,600.45969,520.36077,502.35021
MGDG(18:0_26:0)+H,899.75457,632.48595,614.47539,520.36083,502.35027
MGDG(18:0_26:1)+H,897.73887,630.47025,612.45969,520.36077,502.35021
MGDG(18:0_26:2)+H,895.72327,628.45465,610.44409,520.36081,502.35025
MGDG(18:1_2:0)+H,561.36327,296.11029,278.09973,518.34489,500.33433
MGDG(18:1_3:0)+H,575.37897,310.12599,292.11543,518.34495,500.33439
MGDG(18:1_4:0)+H,589.39457,324.14159,306.13103,518.34491,500.33435
MGDG(18:1_5:0)+H,603.41027,338.15729,320.14673,518.34497,500.33441
MGDG(18:1_6:0)+H,617.42591,352.17293,334.16237,518.34497,500.33441
MGDG(18:1_7:0)+H,631.44157,366.18859,348.17803,518.34499,500.33443
MGDG(18:1_8:0)+H,645.45722,380.20424,362.19368,518.345,500.33444
MGDG(18:1_9:0)+H,659.47287,394.21989,376.20933,518.34501,500.33445
MGDG(18:1_10:0)+H,673.48853,408.23555,390.22499,518.34503,500.33447
MGDG(18:1_11:0)+H,687.50417,422.25119,404.24063,518.34503,500.33447
MGDG(18:1_12:0)+H,701.51987,436.26689,418.25633,518.34509,500.33453
MGDG(18:1_13:0)+H,715.53547,450.28249,432.27193,518.34505,500.33449
MGDG(18:1_14:0)+H,729.55107,464.29809,446.28753,518.34501,500.33445
MGDG(18:1_14:1)+H,727.53547,462.28249,444.27193,518.34505,500.33449
MGDG(18:1_15:0)+H,743.56677,478.31379,460.30323,518.34507,500.33451
MGDG(18:1_15:1)+H,741.55107,476.29809,458.28753,518.34501,500.33445
MGDG(18:1_16:0)+H,757.5824,492.32942,474.31886,518.34506,500.3345
MGDG(18:1_16:1)+H,755.56677,490.31379,472.30323,518.34507,500.33451
MGDG(18:1_17:0)+H,771.59807,506.34509,488.33453,518.34509,500.33453
MGDG(18:1_17:1)+H,769.5824,504.32942,486.31886,518.34506,500.3345
MGDG(18:1_17:2)+H,767.56677,502.31379,484.30323,518.34507,500.33451
MGDG(18:1_18:0)+H,785.61372,520.36074,502.35018,518.3451,500.33454
MGDG(18:1_18:1)+H,783.59807,518.34509,500.33453,518.34509,500.33453
MGDG(18:1_18:2)+H,781.5824,516.32942,498.31886,518.34506,500.3345
MGDG(18:1_18:3)+H,779.56677,514.31379,496.30323,518.34507,500.33451
MGDG(18:1_18:4)+H,777.55107,512.29809,494.28753,518.34501,500.33445
MGDG(18:1_19:0)+H,799.62937,534.37639,516.36583,518.34511,500.33455
MGDG(18:1_20:0)+H,813.64503,548.39205,530.38149,518.34513,500.33457
MGDG(18:1_20:1)+H,811.62937,546.37639,528.36583,518.34511,500.33455
MGDG(18:1_20:2)+H,809.61372,544.36074,526.35018,518.3451,500.33454
MGDG(18:1_20:3)+H,807.59807,542.34509,524.33453,518.34509,500.33453
MGDG(18:1_20:4)+H,805.5824,540.32942,522.31886,518.34506,500.3345
MGDG(18:1_20:5)+H,803.56677,538.31379,520.30323,518.34507,500.33451
MGDG(18:1_21:0)+H,827.66067,562.40769,544.39713,518.34513,500.33457
MGDG(18:1_22:0)+H,841.67634,576.42336,558.4128,518.34516,500.3346
MGDG(18:1_22:1)+H,839.66067,574.40769,556.39713,518.34513,500.33457
MGDG(18:1_22:2)+H,837.64503,572.39205,554.38149,518.34513,500.33457
MGDG(18:1_22:4)+H,833.61372,568.36074,550.35018,518.3451,500.33454
MGDG(18:1_22:5)+H,831.59807,566.34509,548.33453,518.34509,500.33453
MGDG(18:1_22:6)+H,829.5824,564.32942,546.31886,518.34506,500.3345
MGDG(18:1_23:0)+H,855.69197,590.43899,572.42843,518.34515,500.33459
MGDG(18:1_24:0)+H,869.70767,604.45469,586.44413,518.34521,500.33465
MGDG(18:1_24:1)+H,867.69197,602.43899,584.42843,518.34515,500.33459
MGDG(18:1_24:4)+H,861.64503,596.39205,578.38149,518.34513,500.33457
MGDG(18:1_25:0)+H,883.72327,618.47029,600.45973,518.34517,500.33461
MGDG(18:1_26:0)+H,897.73887,632.48589,614.47533,518.34513,500.33457
MGDG(18:1_26:1)+H,895.72327,630.47029,612.45973,518.34517,500.33461
MGDG(18:1_26:2)+H,893.70767,628.45469,610.44413,518.34521,500.33465
MGDG(18:2_2:0)+H,559.34767,296.11033,278.09977,516.32929,498.31873
MGDG(18:2_3:0)+H,573.36327,310.12593,292.11537,516.32925,498.31869
MGDG(18:2_4:0)+H,587.37897,324.14163,306.13107,516.32931,498.31875
MGDG(18:2_5:0)+H,601.39457,338.15723,320.14667,516.32927,498.31871
MGDG(18:2_6:0)+H,615.41027,352.17293,334.16237,516.32933,498.31877
MGDG(18:2_7:0)+H,629.42591,366.18857,348.17801,516.32933,498.31877
MGDG(18:2_8:0)+H,643.44157,380.20423,362.19367,516.32935,498.31879
MGDG(18:2_9:0)+H,657.45722,394.21988,376.20932,516.32936,498.3188
MGDG(18:2_10:0)+H,671.47287,408.23553,390.22497,516.32937,498.31881
MGDG(18:2_11:0)+H,685.48853,422.25119,404.24063,516.32939,498.31883
MGDG(18:2_12:0)+H,699.50417,436.26683,418.25627,516.32939,498.31883
MGDG(18:2_13:0)+H,713.51987,450.28253,432.27197,516.32945,498.31889
MGDG(18:2_14:0)+H,727.53547,464.29813,446.28757,516.32941,498.31885
MGDG(18:2_14:1)+H,725.51987,462.28253,444.27197,516.32945,498.31889
MGDG(18:2_15:0)+H,741.55107,478.31373,460.30317,516.32937,498.31881
MGDG(18:2_15:1)+H,739.53547,476.29813,458.28757,516.32941,498.31885
MGDG(18:2_16:0)+H,755.56677,492.32943,474.31887,516.32943,498.31887
MGDG(18:2_16:1)+H,753.55107,490.31373,472.30317,516.32937,498.31881
MGDG(18:2_17:0)+H,769.5824,506.34506,488.3345,516.32942,498.31886
MGDG(18:2_17:1)+H,767.56677,504.32943,486.31887,516.32943,498.31887
MGDG(18:2_17:2)+H,765.55107,502.31373,484.30317,516.32937,498.31881
MGDG(18:2_18:0)+H,783.59807,520.36073,502.35017,516.32945,498.31889
MGDG(18:2_18:1)+H,781.5824,518.34506,500.3345,516.32942,498.31886
MGDG(18:2_18:2)+H,779.56677,516.32943,498.31887,516.32943,498.31887
MGDG(18:2_18:3)+H,777.55107,514.31373,496.30317,516.32937,498.31881
MGDG(18:2_18:4)+H,775.53547,512.29813,494.28757,516.32941,498.31885
MGDG(18:2_19:0)+H,797.61372,534.37638,516.36582,516.32946,498.3189
MGDG(18:2_20:0)+H,811.62937,548.39203,530.38147,516.32947,498.31891
MGDG(18:2_20:1)+H,809.61372,546.37638,528.36582,516.32946,498.3189
MGDG(18:2_20:2)+H,807.59807,544.36073,526.35017,516.32945,498.31889
MGDG(18:2_20:3)+H,805.5824,542.34506,524.3345,516.32942,498.31886
MGDG(18:2_20:4)+H,803.56677,540.32943,522.31887,516.32943,498.31887
MGDG(18:2_20:5)+H,801.55107,538.31373,520.30317,516.32937,498.31881
MGDG(18:2_21:0)+H,825.64503,562.40769,544.39713,516.32949,498.31893
MGDG(18:2_22:0)+H,839.66067,576.42333,558.41277,516.32949,498.31893
MGDG(18:2_22:1)+H,837.64503,574.40769,556.39713,516.32949,498.31893
MGDG(18:2_22:2)+H,835.62937,572.39203,554.38147,516.32947,498.31891
MGDG(18:2_22:4)+H,831.59807,568.36073,550.35017,516.32945,498.31889
MGDG(18:2_22:5)+H,829.5824,566.34506,548.3345,516.32942,498.31886
MGDG(18:2_22:6)+H,827.56677,564.32943,546.31887,516.32943,498.31887
MGDG(18:2_23:0)+H,853.67634,590.439,572.42844,516.32952,498.31896
MGDG(18:2_24:0)+H,867.69197,604.45463,586.44407,516.32951,498.31895
MGDG(18:2_24:1)+H,865.67634,602.439,584.42844,516.32952,498.31896
MGDG(18:2_24:4)+H,859.62937,596.39203,578.38147,516.32947,498.31891
MGDG(18:2_25:0)+H,881.70767,618.47033,600.45977,516.32957,498.31901
MGDG(18:2_26:0)+H,895.72327,632.48593,614.47537,516.32953,498.31897
MGDG(18:2_26:1)+H,893.70767,630.47033,612.45977,516.32957,498.31901
MGDG(18:2_26:2)+H,891.69197,628.45463,610.44407,516.32951,498.31895
MGDG(18:3_2:0)+H,557.33204,296.11034,278.09978,514.31366,496.3031
MGDG(18:3_3:0)+H,571.34767,310.12597,292.11541,514.31365,496.30309
MGDG(18:3_4:0)+H,585.36327,324.14157,306.13101,514.31361,496.30305
MGDG(18:3_5:0)+H,599.37897,338.15727,320.14671,514.31367,496.30311
MGDG(18:3_6:0)+H,613.39457,352.17287,334.16231,514.31363,496.30307
MGDG(18:3_7:0)+H,627.41027,366.18857,348.17801,514.31369,496.30313
MGDG(18:3_8:0)+H,641.42591,380.20421,362.19365,514.31369,496.30313
MGDG(18:3_9:0)+H,655.44157,394.21987,376.20931,514.31371,496.30315
MGDG(18:3_10:0)+H,669.45722,408.23552,390.22496,514.31372,496.30316
MGDG(18:3_11:0)+H,683.47287,422.25117,404.24061,514.31373,496.30317
MGDG(18:3_12:0)+H,697.48853,436.26683,418.25627,514.31375,496.30319
MGDG(18:3_13:0)+H,711.50417,450.28247,432.27191,514.31375,496.30319
MGDG(18:3_14:0)+H,725.51987,464.29817,446.28761,514.31381,496.30325
MGDG(18:3_14:1)+H,723.50417,462.28247,444.27191,514.31375,496.30319
MGDG(18:3_15:0)+H,739.53547,478.31377,460.30321,514.31377,496.30321
MGDG(18:3_15:1)+H,737.51987,476.29817,458.28761,514.31381,496.30325
MGDG(18:3_16:0)+H,753.55107,492.32937,474.31881,514.31373,496.30317
MGDG(18:3_16:1)+H,751.53547,490.31377,472.30321,514.31377,496.30321
MGDG(18:3_17:0)+H,767.56677,506.34507,488.33451,514.31379,496.30323
MGDG(18:3_17:1)+H,765.55107,504.32937,486.31881,514.31373,496.30317
