LDGTS,[M+H]+,[M-H20]+,FA acyl loss,[M-H20]-FA,C7H14NO2
LDGTS(41:1/0:0),822.75451,804.7439457,236.1496345,218.1390745,144.1024
LDGTS(42:0/0:0),838.78581,820.7752458,236.1496546,218.1390946,144.1024
LDGTS(42:1/0:0),836.77016,818.7595958,236.1496446,218.1390846,144.1024
LDGTS(43:0/0:0),852.80146,834.7908959,236.1496647,218.1391047,144.1024
LDGTS(43:1/0:0),850.78581,832.7752458,236.1496546,218.1390946,144.1024
LDGTS(44:0/0:0),866.81711,848.806546,236.1496748,218.1391148,144.1024
LDGTS(44:1/0:0),864.80146,846.7908959,236.1496647,218.1391047,144.1024
LDGTS(45:0/0:0),880.83276,862.822196,236.1496848,218.1391248,144.1024
LDGTS(45:1/0:0),878.81711,860.806546,236.1496748,218.1391148,144.1024
LDGTS(46:0/0:0),894.84841,876.8378461,236.1496949,218.1391349,144.1024
LDGTS(46:1/0:0),892.83276,874.822196,236.1496848,218.1391248,144.1024
LDGTS(47:0/0:0),908.86406,890.8534962,236.149705,218.139145,144.1024
LDGTS(47:1/0:0),906.84841,888.8378461,236.1496949,218.1391349,144.1024
LDGTS(48:0/0:0),922.87971,904.8691462,236.149715,218.139155,144.1024
LDGTS(48:1/0:0),920.86406,902.8534962,236.149705,218.139145,144.1024
LDGTS(49:0/0:0),936.89536,918.8847963,236.1497251,218.1391651,144.1024
LDGTS(49:1/0:0),934.87971,916.8691462,236.149715,218.139155,144.1024
LDGTS(50:0/0:0),950.911011,932.9004463,236.1497352,218.1391752,144.1024
