ether-PC,[M+HCO2]-,NL_CH3&HCO2,NL_Choline&HCO2,NL_T2Ketene&CH3&HCO3,NL_T2RCOOH&CH3&HCO3,NL_T2RCOOH_Choline_HCO3*,GlyceroPC_NLCH3&H2O,T2_RCOO-,PC_NLCH3, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
Plasmanyl-PC(O-16:0/10:0)+HCO2,680.48722,620.46608,549.39258,466.33031,448.31975,377.24626,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/12:0)+HCO2,708.51852,648.49738,577.42388,466.33031,448.31975,377.24626,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/13:0)+HCO2,722.53422,662.51308,591.43958,466.33031,448.31975,377.24626,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/14:0)+HCO2,736.54982,676.52868,605.45518,466.33031,448.31975,377.24626,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/14:1)+HCO2,734.53422,674.51308,603.43958,466.33031,448.31975,377.24626,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/15:0)+HCO2,750.56552,690.54438,619.47088,466.33031,448.31975,377.24626,224.06881,241.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/15:1)+HCO2,748.54982,688.52868,617.45518,466.33031,448.31975,377.24626,224.06881,239.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/16:0)+HCO2,764.58112,704.55998,633.48648,466.33031,448.31975,377.24626,224.06881,255.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/16:1)+HCO2,762.56552,702.54438,631.47088,466.33031,448.31975,377.24626,224.06881,253.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/17:0)+HCO2,778.59682,718.57568,647.50218,466.33031,448.31975,377.24626,224.06881,269.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/17:1)+HCO2,776.58112,716.55998,645.48648,466.33031,448.31975,377.24626,224.06881,267.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/17:2)+HCO2,774.56552,714.54438,643.47088,466.33031,448.31975,377.24626,224.06881,265.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/18:0)+HCO2,792.61242,732.59128,661.51778,466.33031,448.31975,377.24626,224.06881,283.26425,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/18:1)+HCO2,790.59682,730.57568,659.50218,466.33031,448.31975,377.24626,224.06881,281.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/18:2)+HCO2,788.58112,728.55998,657.48648,466.33031,448.31975,377.24626,224.06881,279.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/18:3)+HCO2,786.56552,726.54438,655.47088,466.33031,448.31975,377.24626,224.06881,277.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/18:4)+HCO2,784.54982,724.52868,653.45518,466.33031,448.31975,377.24626,224.06881,275.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/19:0)+HCO2,806.62812,746.60698,675.53348,466.33031,448.31975,377.24626,224.06881,297.27995,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/20:0)+HCO2,820.64372,760.62258,689.54908,466.33031,448.31975,377.24626,224.06881,311.29555,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/20:1)+HCO2,818.62812,758.60698,687.53348,466.33031,448.31975,377.24626,224.06881,309.27995,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/20:2)+HCO2,816.61242,756.59128,685.51778,466.33031,448.31975,377.24626,224.06881,307.26425,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/20:3)+HCO2,814.59682,754.57568,683.50218,466.33031,448.31975,377.24626,224.06881,305.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/20:4)+HCO2,812.58112,752.55998,681.48648,466.33031,448.31975,377.24626,224.06881,303.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/20:5)+HCO2,810.56552,750.54438,679.47088,466.33031,448.31975,377.24626,224.06881,301.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/21:0)+HCO2,834.65942,774.63828,703.56478,466.33031,448.31975,377.24626,224.06881,325.31125,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/22:0)+HCO2,848.67502,788.65388,717.58038,466.33031,448.31975,377.24626,224.06881,339.32685,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/22:1)+HCO2,846.65942,786.63828,715.56478,466.33031,448.31975,377.24626,224.06881,337.31125,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/22:2)+HCO2,844.64372,784.62258,713.54908,466.33031,448.31975,377.24626,224.06881,335.29555,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/22:3)+HCO2,842.62812,782.60698,711.53348,466.33031,448.31975,377.24626,224.06881,333.27995,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/22:4)+HCO2,840.61242,780.59128,709.51778,466.33031,448.31975,377.24626,224.06881,331.26425,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/22:5)+HCO2,838.59682,778.57568,707.50218,466.33031,448.31975,377.24626,224.06881,329.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/22:6)+HCO2,836.58112,776.55998,705.48648,466.33031,448.31975,377.24626,224.06881,327.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/23:0)+HCO2,862.69072,802.66958,731.59608,466.33031,448.31975,377.24626,224.06881,353.34255,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/24:0)+HCO2,876.70632,816.68518,745.61168,466.33031,448.31975,377.24626,224.06881,367.35815,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/24:1)+HCO2,874.69072,814.66958,743.59608,466.33031,448.31975,377.24626,224.06881,365.34255,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/25:0)+HCO2,890.72202,830.70088,759.62738,466.33031,448.31975,377.24626,224.06881,381.37385,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/26:0)+HCO2,904.73762,844.71648,773.64298,466.33031,448.31975,377.24626,224.06881,395.38945,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:0/8:0)+HCO2,652.45592,592.43478,521.36128,466.33031,448.31975,377.24626,224.06881,143.10775,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/10:0)+HCO2,678.47162,618.45048,547.37698,464.31471,446.30415,375.23066,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/12:0)+HCO2,706.50292,646.48178,575.40828,464.31471,446.30415,375.23066,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/13:0)+HCO2,720.51862,660.49748,589.42398,464.31471,446.30415,375.23066,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/14:0)+HCO2,734.53422,674.51308,603.43958,464.31471,446.30415,375.23066,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/14:1)+HCO2,732.51862,672.49748,601.42398,464.31471,446.30415,375.23066,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/15:0)+HCO2,748.54992,688.52878,617.45528,464.31471,446.30415,375.23066,224.06881,241.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/15:1)+HCO2,746.53422,686.51308,615.43958,464.31471,446.30415,375.23066,224.06881,239.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/16:0)+HCO2,762.56552,702.54438,631.47088,464.31471,446.30415,375.23066,224.06881,255.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/16:1)+HCO2,760.54992,700.52878,629.45528,464.31471,446.30415,375.23066,224.06881,253.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/17:0)+HCO2,776.58122,716.56008,645.48658,464.31471,446.30415,375.23066,224.06881,269.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/17:1)+HCO2,774.56552,714.54438,643.47088,464.31471,446.30415,375.23066,224.06881,267.23295,168.04314,152.99586,96.96964,78.95852
