Cer,[M+HCO2]-,NL_H2CO2,M-H-H2CO,NL_H2O&SN1,NL_H2O&SN2amide,SN2amide
Cer(d14:1/12:0)+HCO2,470.385,424.37951,394.369,224.202,207.1752,198.1863
Cer(d14:1/13:0)+HCO2,484.4007,438.39521,408.3847,238.2177,207.1752,212.202
Cer(d14:1/14:0)+HCO2,498.4163,452.41081,422.4003,252.2333,207.1752,226.2176
Cer(d14:1/14:1)+HCO2,496.4007,450.39521,420.3847,250.2177,207.1752,224.202
Cer(d14:1/15:0)+HCO2,512.432,466.42651,436.416,266.249,207.1752,240.2333
Cer(d14:1/15:1)+HCO2,510.4163,464.41081,434.4003,264.2333,207.1752,238.2176
Cer(d14:1/16:0)+HCO2,526.4476,480.44211,450.4316,280.2646,207.1752,254.2489
Cer(d14:1/16:1)+HCO2,524.432,478.42651,448.416,278.249,207.1752,252.2333
Cer(d14:1/17:0)+HCO2,540.4633,494.45781,464.4473,294.2803,207.1752,268.2646
Cer(d14:1/17:1)+HCO2,538.4476,492.44211,462.4316,292.2646,207.1752,266.2489
Cer(d14:1/17:2)+HCO2,536.432,490.42651,460.416,290.249,207.1752,264.2333
Cer(d14:1/18:0)+HCO2,554.4789,508.47341,478.4629,308.2959,207.1752,282.2802
Cer(d14:1/18:1)+HCO2,552.4633,506.45781,476.4473,306.2803,207.1752,280.2646
Cer(d14:1/18:2)+HCO2,550.4476,504.44211,474.4316,304.2646,207.1752,278.2489
Cer(d14:1/18:3)+HCO2,548.432,502.42651,472.416,302.249,207.1752,276.2333
Cer(d14:1/18:4)+HCO2,546.4163,500.41081,470.4003,300.2333,207.1752,274.2176
Cer(d14:1/19:0)+HCO2,568.4946,522.48911,492.4786,322.3116,207.1752,296.2959
Cer(d14:1/20:0)+HCO2,582.5102,536.50471,506.4942,336.3272,207.1752,310.3115
Cer(d14:1/20:1)+HCO2,580.4946,534.48911,504.4786,334.3116,207.1752,308.2959
Cer(d14:1/20:2)+HCO2,578.4789,532.47341,502.4629,332.2959,207.1752,306.2802
Cer(d14:1/20:3)+HCO2,576.4633,530.45781,500.4473,330.2803,207.1752,304.2646
Cer(d14:1/20:4)+HCO2,574.4476,528.44211,498.4316,328.2646,207.1752,302.2489
Cer(d14:1/20:5)+HCO2,572.432,526.42651,496.416,326.249,207.1752,300.2333
Cer(d14:1/21:0)+HCO2,596.5259,550.52041,520.5099,350.3429,207.1752,324.3272
Cer(d14:1/22:0)+HCO2,610.5415,564.53601,534.5255,364.3585,207.1752,338.3428
Cer(d14:1/22:1)+HCO2,608.5259,562.52041,532.5099,362.3429,207.1752,336.3272
Cer(d14:1/22:2)+HCO2,606.5102,560.50471,530.4942,360.3272,207.1752,334.3115
Cer(d14:1/22:3)+HCO2,604.4946,558.48911,528.4786,358.3116,207.1752,332.2959
Cer(d14:1/22:4)+HCO2,602.4789,556.47341,526.4629,356.2959,207.1752,330.2802
Cer(d14:1/22:5)+HCO2,600.4633,554.45781,524.4473,354.2803,207.1752,328.2646
Cer(d14:1/22:6)+HCO2,598.4476,552.44211,522.4316,352.2646,207.1752,326.2489
Cer(d14:1/23:0)+HCO2,624.5572,578.55171,548.5412,378.3742,207.1752,352.3585
Cer(d14:1/24:0)+HCO2,638.5728,592.56731,562.5568,392.3898,207.1752,366.3741
Cer(d14:1/24:1)+HCO2,636.5572,590.55171,560.5412,390.3742,207.1752,364.3585
Cer(d14:1/25:0)+HCO2,652.5885,606.58301,576.5725,406.4055,207.1752,380.3898
Cer(d14:1/26:0)+HCO2,666.6041,620.59861,590.5881,420.4211,207.1752,394.4054
Cer(d14:1/8:0)+HCO2,414.3224,368.31691,338.3064,168.1394,207.1752,142.1237
Cer(d15:0/10:0)+HCO2,458.385,412.37951,382.369,196.1707,223.2065,170.155
Cer(d15:0/12:0)+HCO2,486.4163,440.41081,410.4003,224.202,223.2065,198.1863
Cer(d15:0/13:0)+HCO2,500.432,454.42651,424.416,238.2177,223.2065,212.202
Cer(d15:0/14:0)+HCO2,514.4476,468.44211,438.4316,252.2333,223.2065,226.2176
Cer(d15:0/14:1)+HCO2,512.432,466.42651,436.416,250.2177,223.2065,224.202
Cer(d15:0/15:0)+HCO2,528.4633,482.45781,452.4473,266.249,223.2065,240.2333
Cer(d15:0/15:1)+HCO2,526.4476,480.44211,450.4316,264.2333,223.2065,238.2176
Cer(d15:0/16:0)+HCO2,542.4789,496.47341,466.4629,280.2646,223.2065,254.2489
Cer(d15:0/16:1)+HCO2,540.4633,494.45781,464.4473,278.249,223.2065,252.2333
Cer(d15:0/17:0)+HCO2,556.4946,510.48911,480.4786,294.2803,223.2065,268.2646
Cer(d15:0/17:1)+HCO2,554.4789,508.47341,478.4629,292.2646,223.2065,266.2489
Cer(d15:0/17:2)+HCO2,552.4633,506.45781,476.4473,290.249,223.2065,264.2333
Cer(d15:0/18:0)+HCO2,570.5102,524.50471,494.4942,308.2959,223.2065,282.2802
Cer(d15:0/18:1)+HCO2,568.4946,522.48911,492.4786,306.2803,223.2065,280.2646
Cer(d15:0/18:2)+HCO2,566.4789,520.47341,490.4629,304.2646,223.2065,278.2489
Cer(d15:0/18:3)+HCO2,564.4633,518.45781,488.4473,302.249,223.2065,276.2333
Cer(d15:0/18:4)+HCO2,562.4476,516.44211,486.4316,300.2333,223.2065,274.2176
Cer(d15:0/19:0)+HCO2,584.5259,538.52041,508.5099,322.3116,223.2065,296.2959
Cer(d15:0/20:0)+HCO2,598.5415,552.53601,522.5255,336.3272,223.2065,310.3115
Cer(d15:0/20:1)+HCO2,596.5259,550.52041,520.5099,334.3116,223.2065,308.2959
Cer(d15:0/20:2)+HCO2,594.5102,548.50471,518.4942,332.2959,223.2065,306.2802
Cer(d15:0/20:3)+HCO2,592.4946,546.48911,516.4786,330.2803,223.2065,304.2646
Cer(d15:0/20:4)+HCO2,590.4789,544.47341,514.4629,328.2646,223.2065,302.2489
Cer(d15:0/20:5)+HCO2,588.4633,542.45781,512.4473,326.249,223.2065,300.2333
Cer(d15:0/21:0)+HCO2,612.5572,566.55171,536.5412,350.3429,223.2065,324.3272
Cer(d15:0/22:0)+HCO2,626.5728,580.56731,550.5568,364.3585,223.2065,338.3428
Cer(d15:0/22:1)+HCO2,624.5572,578.55171,548.5412,362.3429,223.2065,336.3272
Cer(d15:0/22:2)+HCO2,622.5415,576.53601,546.5255,360.3272,223.2065,334.3115
Cer(d15:0/22:3)+HCO2,620.5259,574.52041,544.5099,358.3116,223.2065,332.2959
Cer(d15:0/22:4)+HCO2,618.5102,572.50471,542.4942,356.2959,223.2065,330.2802
Cer(d15:0/22:5)+HCO2,616.4946,570.48911,540.4786,354.2803,223.2065,328.2646
Cer(d15:0/22:6)+HCO2,614.4789,568.47341,538.4629,352.2646,223.2065,326.2489
Cer(d15:0/23:0)+HCO2,640.5885,594.58301,564.5725,378.3742,223.2065,352.3585
Cer(d15:0/24:0)+HCO2,654.6041,608.59861,578.5881,392.3898,223.2065,366.3741
Cer(d15:0/24:1)+HCO2,652.5885,606.58301,576.5725,390.3742,223.2065,364.3585
Cer(d15:0/25:0)+HCO2,668.6198,622.61431,592.6038,406.4055,223.2065,380.3898
Cer(d15:0/26:0)+HCO2,682.6354,636.62991,606.6194,420.4211,223.2065,394.4054
Cer(d15:0/8:0)+HCO2,430.3537,384.34821,354.3377,168.1394,223.2065,142.1237
Cer(d15:1/10:0)+HCO2,456.3693,410.36381,380.3533,196.1707,221.1908,170.155
Cer(d15:1/12:0)+HCO2,484.4006,438.39511,408.3846,224.202,221.1908,198.1863
Cer(d15:1/13:0)+HCO2,498.4163,452.41081,422.4003,238.2177,221.1908,212.202
Cer(d15:1/14:0)+HCO2,512.4319,466.42641,436.4159,252.2333,221.1908,226.2176
Cer(d15:1/14:1)+HCO2,510.4163,464.41081,434.4003,250.2177,221.1908,224.202
Cer(d15:1/15:0)+HCO2,526.4476,480.44211,450.4316,266.249,221.1908,240.2333
Cer(d15:1/15:1)+HCO2,524.4319,478.42641,448.4159,264.2333,221.1908,238.2176
Cer(d15:1/16:0)+HCO2,540.4632,494.45771,464.4472,280.2646,221.1908,254.2489
Cer(d15:1/16:1)+HCO2,538.4476,492.44211,462.4316,278.249,221.1908,252.2333
Cer(d15:1/17:0)+HCO2,554.4789,508.47341,478.4629,294.2803,221.1908,268.2646
Cer(d15:1/17:1)+HCO2,552.4632,506.45771,476.4472,292.2646,221.1908,266.2489
Cer(d15:1/17:2)+HCO2,550.4476,504.44211,474.4316,290.249,221.1908,264.2333
Cer(d15:1/18:0)+HCO2,568.4945,522.48901,492.4785,308.2959,221.1908,282.2802
Cer(d15:1/18:1)+HCO2,566.4789,520.47341,490.4629,306.2803,221.1908,280.2646
Cer(d15:1/18:2)+HCO2,564.4632,518.45771,488.4472,304.2646,221.1908,278.2489
Cer(d15:1/18:3)+HCO2,562.4476,516.44211,486.4316,302.249,221.1908,276.2333
Cer(d15:1/18:4)+HCO2,560.4319,514.42641,484.4159,300.2333,221.1908,274.2176
Cer(d15:1/19:0)+HCO2,582.5102,536.50471,506.4942,322.3116,221.1908,296.2959
Cer(d15:1/20:0)+HCO2,596.5258,550.52031,520.5098,336.3272,221.1908,310.3115
Cer(d15:1/20:1)+HCO2,594.5102,548.50471,518.4942,334.3116,221.1908,308.2959
Cer(d15:1/20:2)+HCO2,592.4945,546.48901,516.4785,332.2959,221.1908,306.2802
Cer(d15:1/20:3)+HCO2,590.4789,544.47341,514.4629,330.2803,221.1908,304.2646
Cer(d15:1/20:4)+HCO2,588.4632,542.45771,512.4472,328.2646,221.1908,302.2489
Cer(d15:1/20:5)+HCO2,586.4476,540.44211,510.4316,326.249,221.1908,300.2333
Cer(d15:1/21:0)+HCO2,610.5415,564.53601,534.5255,350.3429,221.1908,324.3272
Cer(d15:1/22:0)+HCO2,624.5571,578.55161,548.5411,364.3585,221.1908,338.3428
Cer(d15:1/22:1)+HCO2,622.5415,576.53601,546.5255,362.3429,221.1908,336.3272
Cer(d15:1/22:2)+HCO2,620.5258,574.52031,544.5098,360.3272,221.1908,334.3115
Cer(d15:1/22:3)+HCO2,618.5102,572.50471,542.4942,358.3116,221.1908,332.2959
Cer(d15:1/22:4)+HCO2,616.4945,570.48901,540.4785,356.2959,221.1908,330.2802
Cer(d15:1/22:5)+HCO2,614.4789,568.47341,538.4629,354.2803,221.1908,328.2646
Cer(d15:1/22:6)+HCO2,612.4632,566.45771,536.4472,352.2646,221.1908,326.2489
Cer(d15:1/23:0)+HCO2,638.5728,592.56731,562.5568,378.3742,221.1908,352.3585
Cer(d15:1/24:0)+HCO2,652.5884,606.58291,576.5724,392.3898,221.1908,366.3741
Cer(d15:1/24:1)+HCO2,650.5728,604.56731,574.5568,390.3742,221.1908,364.3585
Cer(d15:1/25:0)+HCO2,666.6041,620.59861,590.5881,406.4055,221.1908,380.3898
Cer(d15:1/26:0)+HCO2,680.6197,634.61421,604.6037,420.4211,221.1908,394.4054
Cer(d15:1/8:0)+HCO2,428.338,382.33251,352.322,168.1394,221.1908,142.1237
Cer(d16:0/10:0)+HCO2,472.4006,426.39511,396.3846,196.1707,237.2221,170.155
Cer(d16:0/12:0)+HCO2,500.4319,454.42641,424.4159,224.202,237.2221,198.1863
Cer(d16:0/13:0)+HCO2,514.4476,468.44211,438.4316,238.2177,237.2221,212.202
Cer(d16:0/14:0)+HCO2,528.4632,482.45771,452.4472,252.2333,237.2221,226.2176
Cer(d16:0/14:1)+HCO2,526.4476,480.44211,450.4316,250.2177,237.2221,224.202
Cer(d16:0/15:0)+HCO2,542.4789,496.47341,466.4629,266.249,237.2221,240.2333
Cer(d16:0/15:1)+HCO2,540.4632,494.45771,464.4472,264.2333,237.2221,238.2176
Cer(d16:0/16:0)+HCO2,556.4945,510.48901,480.4785,280.2646,237.2221,254.2489
Cer(d16:0/16:1)+HCO2,554.4789,508.47341,478.4629,278.249,237.2221,252.2333
Cer(d16:0/17:0)+HCO2,570.5102,524.50471,494.4942,294.2803,237.2221,268.2646
Cer(d16:0/17:1)+HCO2,568.4945,522.48901,492.4785,292.2646,237.2221,266.2489
Cer(d16:0/17:2)+HCO2,566.4789,520.47341,490.4629,290.249,237.2221,264.2333
Cer(d16:0/18:0)+HCO2,584.5258,538.52031,508.5098,308.2959,237.2221,282.2802
Cer(d16:0/18:1)+HCO2,582.5102,536.50471,506.4942,306.2803,237.2221,280.2646
Cer(d16:0/18:2)+HCO2,580.4945,534.48901,504.4785,304.2646,237.2221,278.2489
Cer(d16:0/18:3)+HCO2,578.4789,532.47341,502.4629,302.249,237.2221,276.2333
Cer(d16:0/18:4)+HCO2,576.4632,530.45771,500.4472,300.2333,237.2221,274.2176
Cer(d16:0/19:0)+HCO2,598.5415,552.53601,522.5255,322.3116,237.2221,296.2959
Cer(d16:0/20:0)+HCO2,612.5571,566.55161,536.5411,336.3272,237.2221,310.3115
