Cer-BS,[M-H]-,[M-H2O-H]-,[Sph+C2H2O-H]-,[Sph+C-H]-,[Sph-H5NO-H]-,[Sph-C2H7NO-H]-
Cer-BS(d14:2/21:0)-H,564.4992,546.4886,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/21:1)-H,562.4835,544.473,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/22:0)-H,578.5148,560.5043,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/22:1)-H,576.4992,558.4886,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/22:2)-H,574.4835,556.473,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/23:0)-H,592.5305,574.5199,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/23:1)-H,590.5148,572.5043,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/24:0)-H,606.5461,588.5356,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/24:1)-H,604.5305,586.5199,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/24:2)-H,602.5148,584.5043,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/25:0)-H,620.5618,602.5512,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/25:1)-H,618.5461,600.5356,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/26:0)-H,634.5775,616.5669,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/26:1)-H,632.5618,614.5512,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/26:2)-H,630.5461,612.5356,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/27:0)-H,648.5931,630.5825,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/27:1)-H,646.5775,628.5669,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/28:0)-H,662.6088,644.5981,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/28:1)-H,660.5931,642.5825,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/28:2)-H,658.5775,640.5669,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/29:0)-H,676.6244,658.6138,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/29:1)-H,674.6088,656.5981,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/30:0)-H,690.64,672.6295,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/30:1)-H,688.6244,670.6138,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/30:2)-H,686.6088,668.5981,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/31:0)-H,704.6557,686.6451,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/31:1)-H,702.64,684.6295,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/32:0)-H,718.6713,700.6608,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/32:1)-H,716.6557,698.6451,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/32:2)-H,714.64,696.6295,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/33:0)-H,732.687,714.6764,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/33:1)-H,730.6713,712.6608,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/34:0)-H,746.7026,728.6921,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/34:1)-H,744.687,726.6764,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/34:2)-H,742.6713,724.6608,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/35:0)-H,760.7183,742.7077,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/35:1)-H,758.7026,740.6921,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/36:0)-H,774.7339,756.7234,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/36:1)-H,772.7183,754.7077,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/36:2)-H,770.7026,752.6921,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/38:0)-H,802.7653,784.7547,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/38:1)-H,800.7496,782.739,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/38:2)-H,798.7339,780.7234,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/40:0)-H,830.7966,812.7859,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/40:1)-H,828.7809,810.7703,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/40:2)-H,826.7653,808.7547,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/42:0)-H,858.8278,840.8173,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/42:1)-H,856.8122,838.8016,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:2/42:2)-H,854.7966,836.7859,282.2075,252.1969,205.1598,179.1441
Cer-BS(d14:3/12:0)-H,436.3427,418.3321,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/12:1)-H,434.327,416.3165,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/13:0)-H,450.3583,432.3478,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/13:1)-H,448.3427,430.3321,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/14:0)-H,464.374,446.3634,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/14:1)-H,462.3583,444.3478,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/15:0)-H,478.3896,460.3791,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/15:1)-H,476.374,458.3634,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/16:0)-H,492.4053,474.3947,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/16:1)-H,490.3896,472.3791,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/16:2)-H,488.374,470.3634,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/17:0)-H,506.4209,488.4104,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/18:0)-H,520.4366,502.426,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/18:1)-H,518.421,500.4104,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/18:2)-H,516.4053,498.3947,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/19:0)-H,534.4523,516.4417,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/19:1)-H,532.4366,514.426,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/20:0)-H,548.4679,530.4573,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/20:1)-H,546.4523,528.4417,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/20:2)-H,544.4366,526.426,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/21:0)-H,562.4835,544.473,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/21:1)-H,560.4679,542.4573,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/22:0)-H,576.4992,558.4886,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/22:1)-H,574.4835,556.473,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/22:2)-H,572.4679,554.4573,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/23:0)-H,590.5148,572.5043,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/23:1)-H,588.4992,570.4886,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/24:0)-H,604.5305,586.5199,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/24:1)-H,602.5148,584.5043,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/24:2)-H,600.4992,582.4886,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/25:0)-H,618.5461,600.5356,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/25:1)-H,616.5305,598.5199,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/26:0)-H,632.5618,614.5512,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/26:1)-H,630.5461,612.5356,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/26:2)-H,628.5305,610.5199,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/27:0)-H,646.5775,628.5669,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/27:1)-H,644.5618,626.5512,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/28:0)-H,660.5931,642.5825,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/28:1)-H,658.5775,640.5669,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/28:2)-H,656.5618,638.5512,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/29:0)-H,674.6088,656.5981,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/29:1)-H,672.5931,654.5825,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/30:0)-H,688.6244,670.6138,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/30:1)-H,686.6088,668.5981,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/30:2)-H,684.5931,666.5825,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/31:0)-H,702.64,684.6295,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/31:1)-H,700.6244,682.6138,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/32:0)-H,716.6557,698.6451,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/32:1)-H,714.64,696.6295,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/32:2)-H,712.6244,694.6138,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/33:0)-H,730.6713,712.6608,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/33:1)-H,728.6557,710.6451,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/34:0)-H,744.687,726.6764,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/34:1)-H,742.6713,724.6608,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/34:2)-H,740.6557,722.6451,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/35:0)-H,758.7026,740.6921,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/35:1)-H,756.687,738.6764,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/36:0)-H,772.7183,754.7077,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/36:1)-H,770.7026,752.6921,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/36:2)-H,768.687,750.6764,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/38:0)-H,800.7496,782.739,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/38:1)-H,798.7339,780.7234,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/38:2)-H,796.7183,778.7077,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/40:0)-H,828.7809,810.7703,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/40:1)-H,826.7653,808.7547,280.1918,250.1813,203.1441,177.1285
