GlcADG,[M-H]-,M-sn1,M-sn2,[M-H-sn1+H20]-,[M-H-sn2+H20]-,[M-H-sn1-H20]-,[M-H-sn2-H20]-,SN1,SN2
GlcADG(10:0_7:0)-H,533.2961923,361.1499523,403.1968723,379.1605165,421.2074365,343.1393881,385.1863081,171.13842,129.0915
GlcADG(10:0_8:0)-H,547.3118424,375.1656024,403.1968824,393.1761666,421.2074466,357.1550382,385.1863182,171.13842,143.10714
GlcADG(10:0_9:0)-H,561.3274924,389.1812524,403.1968924,407.1918166,421.2074566,371.1706882,385.1863282,171.13842,157.12278
GlcADG(11:0_11:0)-H,603.3744426,417.2125626,417.2125626,435.2231268,435.2231268,399.2019984,399.2019984,185.15406,185.15406
GlcADG(11:0_12:0)-H,617.3900927,431.2282127,417.2125727,449.2387769,435.2231369,413.2176485,399.2020085,185.15406,199.1697
GlcADG(11:0_13:0)-H,631.4057428,445.2438628,417.2125828,463.254427,435.223147,427.2332986,399.2020186,185.15406,213.18534
GlcADG(11:0_14:0)-H,645.4213928,459.2595128,417.2125928,477.270077,435.223157,441.2489486,399.2020286,185.15406,227.20098
GlcADG(11:0_14:1)-H,643.4057428,457.2438628,417.2125828,475.254427,435.223147,439.2332986,399.2020186,185.15406,225.18534
GlcADG(11:0_15:0)-H,659.4370429,473.2751629,417.2126029,491.2857271,435.2231671,455.2645987,399.2020387,185.15406,241.21662
GlcADG(11:0_15:1)-H,657.4213928,471.2595128,417.2125928,489.270077,435.223157,453.2489486,399.2020286,185.15406,239.20098
GlcADG(11:0_16:0)-H,673.452693,487.290813,417.212613,505.3013772,435.2231772,469.2802488,399.2020488,185.15406,255.23226
GlcADG(11:0_16:1)-H,671.4370429,485.2751629,417.2126029,503.2857271,435.2231671,467.2645987,399.2020387,185.15406,253.21662
GlcADG(11:0_17:0)-H,687.468343,501.306463,417.212623,519.3170272,435.2231872,483.2958988,399.2020588,185.15406,269.2479
GlcADG(11:0_17:1)-H,685.452693,499.290813,417.212613,517.3013772,435.2231772,481.2802488,399.2020488,185.15406,267.23226
GlcADG(11:0_17:2)-H,683.4370429,497.2751629,417.2126029,515.2857271,435.2231671,479.2645987,399.2020387,185.15406,265.21662
GlcADG(11:0_18:0)-H,701.4839931,515.3221131,417.2126331,533.3326773,435.2231973,497.3115489,399.2020689,185.15406,283.26354
GlcADG(11:0_18:1)-H,699.468343,513.306463,417.212623,531.3170272,435.2231872,495.2958988,399.2020588,185.15406,281.2479
GlcADG(11:0_18:2)-H,697.452693,511.290813,417.212613,529.3013772,435.2231772,493.2802488,399.2020488,185.15406,279.23226
GlcADG(11:0_18:3)-H,695.4370429,509.2751629,417.2126029,527.2857271,435.2231671,491.2645987,399.2020387,185.15406,277.21662
GlcADG(11:0_18:4)-H,693.4213928,507.2595128,417.2125928,525.270077,435.223157,489.2489486,399.2020286,185.15406,275.20098
GlcADG(11:0_19:0)-H,715.4996431,529.3377631,417.2126431,547.3483273,435.2232073,511.3271989,399.2020789,185.15406,297.27918
GlcADG(11:0_2:0)-H,477.2335921,291.0717121,417.2124721,309.0822763,435.2230363,273.0611479,399.2019079,185.15406,59.0133
GlcADG(11:0_20:0)-H,729.5152932,543.3534132,417.2126532,561.3639774,435.2232174,525.342849,399.202089,185.15406,311.29482
GlcADG(11:0_20:1)-H,727.4996431,541.3377631,417.2126431,559.3483273,435.2232073,523.3271989,399.2020789,185.15406,309.27918
GlcADG(11:0_20:2)-H,725.4839931,539.3221131,417.2126331,557.3326773,435.2231973,521.3115489,399.2020689,185.15406,307.26354
GlcADG(11:0_20:3)-H,723.468343,537.306463,417.212623,555.3170272,435.2231872,519.2958988,399.2020588,185.15406,305.2479
GlcADG(11:0_20:4)-H,721.452693,535.290813,417.212613,553.3013772,435.2231772,517.2802488,399.2020488,185.15406,303.23226
GlcADG(11:0_20:5)-H,719.4370429,533.2751629,417.2126029,551.2857271,435.2231671,515.2645987,399.2020387,185.15406,301.21662
GlcADG(11:0_21:0)-H,743.5309433,557.3690633,417.2126633,575.3796275,435.2232275,539.3584991,399.2020991,185.15406,325.31046
GlcADG(11:0_22:0)-H,757.5465933,571.3847133,417.2126733,589.3952775,435.2232375,553.3741491,399.2021091,185.15406,339.3261
GlcADG(11:0_22:1)-H,755.5309433,569.3690633,417.2126633,587.3796275,435.2232275,551.3584991,399.2020991,185.15406,337.31046
GlcADG(11:0_22:2)-H,753.5152932,567.3534132,417.2126532,585.3639774,435.2232174,549.342849,399.202089,185.15406,335.29482
GlcADG(11:0_22:4)-H,749.4839931,563.3221131,417.2126331,581.3326773,435.2231973,545.3115489,399.2020689,185.15406,331.26354
GlcADG(11:0_22:5)-H,747.468343,561.306463,417.212623,579.3170272,435.2231872,543.2958988,399.2020588,185.15406,329.2479
GlcADG(11:0_22:6)-H,745.452693,559.290813,417.212613,577.3013772,435.2231772,541.2802488,399.2020488,185.15406,327.23226
GlcADG(11:0_23:0)-H,771.5622434,585.4003634,417.2126834,603.4109276,435.2232476,567.3897992,399.2021192,185.15406,353.34174
GlcADG(11:0_24:0)-H,785.5778935,599.4160135,417.2126935,617.4265777,435.2232577,581.4054493,399.2021293,185.15406,367.35738
