PEtOH,[M+NH4]+,[M-C2H7O4P+H]+,NL of SN1+H2O,NL of SN2+H2O,[M-SN1-126+H]+,[M-SN2-126+H]+,SN2-H2O,SN1-H2O,[C5H11O5P+H]+
PEtOH(12:0_26:2)+NH4,774.60077,631.566,557.3967,365.209,449.399,257.2113,375.3619,183.1742,183.0417
PEtOH(12:0_26:4)+NH4,770.56947,627.5347,553.3654,365.209,445.3677,257.2113,371.3306,183.1742,183.0417
PEtOH(12:0_27:0)+NH4,792.64767,649.6129,575.4435,365.209,467.4459,257.2113,393.4088,183.1742,183.0417
PEtOH(13:0_13:0)+NH4,610.44427,467.4095,379.2245,379.2245,271.2269,271.2269,197.1899,197.1899,183.0417
PEtOH(13:0_13:1)+NH4,608.42867,465.3939,377.2089,379.2245,269.2113,271.2269,195.1742,197.1899,183.0417
PEtOH(13:0_14:0)+NH4,624.45997,481.4252,393.2402,379.2246,285.2426,271.2269,211.2055,197.1899,183.0417
PEtOH(13:0_14:1)+NH4,622.44427,479.4095,391.2245,379.2245,283.2269,271.2269,209.1899,197.1899,183.0417
PEtOH(13:0_15:0)+NH4,638.47557,495.4408,407.2558,379.2245,299.2582,271.2269,225.2211,197.1899,183.0417
PEtOH(13:0_15:1)+NH4,636.45997,493.4252,405.2402,379.2246,297.2426,271.2269,223.2055,197.1899,183.0417
PEtOH(13:0_16:0)+NH4,652.49117,509.4564,421.2714,379.2245,313.2738,271.2269,239.2368,197.1899,183.0417
PEtOH(13:0_16:1)+NH4,650.47557,507.4408,419.2558,379.2245,311.2582,271.2269,237.2211,197.1899,183.0417
PEtOH(13:0_16:2)+NH4,648.45997,505.4252,417.2402,379.2246,309.2426,271.2269,235.2055,197.1899,183.0417
PEtOH(13:0_16:3)+NH4,646.44427,503.4095,415.2245,379.2245,307.2269,271.2269,233.1899,197.1899,183.0417
PEtOH(13:0_16:4)+NH4,644.42867,501.3939,413.2089,379.2245,305.2113,271.2269,231.1742,197.1899,183.0417
PEtOH(13:0_17:0)+NH4,666.50687,523.4721,435.2871,379.2245,327.2895,271.2269,253.2524,197.1899,183.0417
PEtOH(13:0_17:1)+NH4,664.49117,521.4564,433.2714,379.2245,325.2738,271.2269,251.2368,197.1899,183.0417
PEtOH(13:0_17:2)+NH4,662.47557,519.4408,431.2558,379.2245,323.2582,271.2269,249.2211,197.1899,183.0417
PEtOH(13:0_18:0)+NH4,680.52247,537.4877,449.3027,379.2245,341.3051,271.2269,267.2681,197.1899,183.0417
PEtOH(13:0_18:1)+NH4,678.50687,535.4721,447.2871,379.2245,339.2895,271.2269,265.2524,197.1899,183.0417
PEtOH(13:0_18:2)+NH4,676.49117,533.4564,445.2714,379.2245,337.2738,271.2269,263.2368,197.1899,183.0417
PEtOH(13:0_18:3)+NH4,674.47557,531.4408,443.2558,379.2245,335.2582,271.2269,261.2212,197.1899,183.0417
PEtOH(13:0_18:4)+NH4,672.45997,529.4252,441.2402,379.2246,333.2426,271.2269,259.2055,197.1899,183.0417
PEtOH(13:0_18:5)+NH4,670.44427,527.4095,439.2245,379.2245,331.2269,271.2269,257.1899,197.1899,183.0417
PEtOH(13:0_19:0)+NH4,694.53817,551.5034,463.3184,379.2246,355.3208,271.2269,281.2837,197.1899,183.0417
PEtOH(13:0_19:1)+NH4,692.52247,549.4877,461.3027,379.2245,353.3051,271.2269,279.2681,197.1899,183.0417
PEtOH(13:0_19:2)+NH4,690.50687,547.4721,459.2871,379.2245,351.2895,271.2269,277.2524,197.1899,183.0417
PEtOH(13:0_20:0)+NH4,708.55387,565.5191,477.3341,379.2246,369.3365,271.227,295.2993,197.1899,183.0417
PEtOH(13:0_20:1)+NH4,706.53817,563.5034,475.3184,379.2246,367.3208,271.2269,293.2837,197.1899,183.0417
PEtOH(13:0_20:2)+NH4,704.52247,561.4877,473.3027,379.2245,365.3051,271.2269,291.2681,197.1899,183.0417
PEtOH(13:0_20:3)+NH4,702.50687,559.4721,471.2871,379.2245,363.2895,271.2269,289.2524,197.1899,183.0417
PEtOH(13:0_20:4)+NH4,700.49117,557.4564,469.2714,379.2245,361.2738,271.2269,287.2368,197.1899,183.0417
PEtOH(13:0_20:5)+NH4,698.47557,555.4408,467.2558,379.2245,359.2582,271.2269,285.2212,197.1899,183.0417
PEtOH(13:0_21:0)+NH4,722.56947,579.5347,491.3497,379.2246,383.3521,271.227,309.315,197.1899,183.0417
PEtOH(13:0_21:1)+NH4,720.55387,577.5191,489.3341,379.2246,381.3365,271.227,307.2993,197.1899,183.0417
PEtOH(13:0_21:2)+NH4,718.53817,575.5034,487.3184,379.2246,379.3208,271.2269,305.2837,197.1899,183.0417
PEtOH(13:0_22:0)+NH4,736.58517,593.5504,505.3654,379.2246,397.3678,271.227,323.3306,197.1899,183.0417
PEtOH(13:0_22:1)+NH4,734.56947,591.5347,503.3497,379.2246,395.3521,271.227,321.315,197.1899,183.0417
PEtOH(13:0_22:2)+NH4,732.55387,589.5191,501.3341,379.2246,393.3365,271.227,319.2993,197.1899,183.0417
PEtOH(13:0_22:3)+NH4,730.53817,587.5034,499.3184,379.2246,391.3208,271.2269,317.2837,197.1899,183.0417
PEtOH(13:0_22:4)+NH4,728.52247,585.4877,497.3027,379.2245,389.3051,271.2269,315.2681,197.1899,183.0417
PEtOH(13:0_22:5)+NH4,726.50687,583.4721,495.2871,379.2245,387.2895,271.2269,313.2524,197.1899,183.0417
PEtOH(13:0_22:6)+NH4,724.49117,581.4564,493.2714,379.2245,385.2738,271.2269,311.2368,197.1899,183.0417
PEtOH(13:0_23:0)+NH4,750.60077,607.566,519.381,379.2246,411.3834,271.227,337.3463,197.1899,183.0417
PEtOH(13:0_24:0)+NH4,764.61647,621.5817,533.3967,379.2247,425.3991,271.2271,351.3619,197.1899,183.0417
PEtOH(13:0_24:1)+NH4,762.60077,619.566,531.381,379.2246,423.3834,271.227,349.3463,197.1899,183.0417
PEtOH(13:0_24:2)+NH4,760.58517,617.5504,529.3654,379.2246,421.3678,271.227,347.3306,197.1899,183.0417
PEtOH(13:0_24:4)+NH4,756.55387,613.5191,525.3341,379.2246,417.3365,271.227,343.2993,197.1899,183.0417
PEtOH(13:0_25:0)+NH4,778.63207,635.5973,547.4123,379.2246,439.4147,271.227,365.3776,197.1899,183.0417
PEtOH(13:0_26:0)+NH4,792.64767,649.6129,561.4279,379.2246,453.4303,271.227,379.3932,197.1899,183.0417
PEtOH(13:0_26:1)+NH4,790.63207,647.5973,559.4123,379.2246,451.4147,271.227,377.3776,197.1899,183.0417
PEtOH(13:0_26:2)+NH4,788.61647,645.5817,557.3967,379.2247,449.3991,271.2271,375.3619,197.1899,183.0417
PEtOH(13:0_26:4)+NH4,784.58517,641.5504,553.3654,379.2246,445.3678,271.227,371.3306,197.1899,183.0417
PEtOH(13:0_27:0)+NH4,806.66337,663.6286,575.4436,379.2246,467.446,271.227,393.4088,197.1899,183.0417
PEtOH(13:1_13:1)+NH4,606.41297,463.3782,377.2089,377.2089,269.2112,269.2112,195.1742,195.1742,183.0417
PEtOH(14:0_13:1)+NH4,622.44427,479.4095,377.2089,393.2401,269.2112,285.2425,195.1742,211.2055,183.0417
PEtOH(13:1_14:1)+NH4,620.42867,477.3939,391.2245,377.2089,283.2269,269.2113,209.1899,195.1742,183.0417
PEtOH(15:0_13:1)+NH4,636.45997,493.4252,377.2089,407.2559,269.2113,299.2582,195.1742,225.2211,183.0417
PEtOH(13:1_15:1)+NH4,634.44427,491.4095,405.2401,377.2089,297.2425,269.2112,223.2055,195.1742,183.0417
PEtOH(16:0_13:1)+NH4,650.47557,507.4408,377.2089,421.2715,269.2113,313.2738,195.1742,239.2368,183.0417
PEtOH(13:1_16:1)+NH4,648.45997,505.4252,419.2559,377.2089,311.2582,269.2113,237.2211,195.1742,183.0417
PEtOH(13:1_16:2)+NH4,646.44427,503.4095,417.2401,377.2089,309.2425,269.2112,235.2055,195.1742,183.0417
PEtOH(13:1_16:3)+NH4,644.42867,501.3939,415.2245,377.2089,307.2269,269.2113,233.1899,195.1742,183.0417
PEtOH(13:1_16:4)+NH4,642.41297,499.3782,413.2089,377.2089,305.2112,269.2112,231.1742,195.1742,183.0417
PEtOH(17:0_13:1)+NH4,664.49117,521.4564,377.2089,435.287,269.2112,327.2894,195.1742,253.2524,183.0417
PEtOH(13:1_17:1)+NH4,662.47557,519.4408,433.2715,377.2089,325.2738,269.2113,251.2368,195.1742,183.0417
PEtOH(13:1_17:2)+NH4,660.45997,517.4252,431.2559,377.2089,323.2582,269.2113,249.2211,195.1742,183.0417
PEtOH(18:0_13:1)+NH4,678.50687,535.4721,377.2089,449.3028,269.2113,341.3051,195.1742,267.2681,183.0417
PEtOH(13:1_18:1)+NH4,676.49117,533.4564,447.287,377.2089,339.2894,269.2112,265.2524,195.1742,183.0417
PEtOH(13:1_18:2)+NH4,674.47557,531.4408,445.2715,377.2089,337.2738,269.2113,263.2368,195.1742,183.0417
PEtOH(13:1_18:3)+NH4,672.45997,529.4252,443.2559,377.2089,335.2582,269.2113,261.2212,195.1742,183.0417
PEtOH(13:1_18:4)+NH4,670.44427,527.4095,441.2401,377.2089,333.2425,269.2112,259.2055,195.1742,183.0417
PEtOH(13:1_18:5)+NH4,668.42867,525.3939,439.2245,377.2089,331.2269,269.2113,257.1899,195.1742,183.0417
PEtOH(19:0_13:1)+NH4,692.52247,549.4877,377.2089,463.3184,269.2112,355.3207,195.1742,281.2837,183.0417
