PEtOH,[M+NH4]+,[M-C2H7O4P+H]+,NL of SN1+H2O,NL of SN2+H2O,[M-SN1-126+H]+,[M-SN2-126+H]+,SN2-H2O,SN1-H2O,[C5H11O5P+H]+
PEtOH(14:1_18:2)+NH4,688.49117,545.4564,445.2714,391.2245,337.2738,283.2269,263.2368,209.1899,183.0417
PEtOH(14:1_18:3)+NH4,686.47557,543.4408,443.2558,391.2245,335.2582,283.2269,261.2212,209.1899,183.0417
PEtOH(14:1_18:4)+NH4,684.45997,541.4252,441.2402,391.2246,333.2426,283.2269,259.2055,209.1899,183.0417
PEtOH(14:1_18:5)+NH4,682.44427,539.4095,439.2245,391.2245,331.2269,283.2269,257.1899,209.1899,183.0417
PEtOH(19:0_14:1)+NH4,706.53817,563.5034,391.2246,463.3184,283.2269,355.3208,209.1899,281.2837,183.0417
PEtOH(14:1_19:1)+NH4,704.52247,561.4877,461.3027,391.2245,353.3051,283.2269,279.2681,209.1899,183.0417
PEtOH(14:1_19:2)+NH4,702.50687,559.4721,459.2871,391.2245,351.2895,283.2269,277.2524,209.1899,183.0417
PEtOH(20:0_14:1)+NH4,720.55387,577.5191,391.2246,477.3341,283.227,369.3365,209.1899,295.2993,183.0417
PEtOH(14:1_20:1)+NH4,718.53817,575.5034,475.3184,391.2246,367.3208,283.2269,293.2837,209.1899,183.0417
PEtOH(14:1_20:2)+NH4,716.52247,573.4877,473.3027,391.2245,365.3051,283.2269,291.2681,209.1899,183.0417
PEtOH(14:1_20:3)+NH4,714.50687,571.4721,471.2871,391.2245,363.2895,283.2269,289.2524,209.1899,183.0417
PEtOH(14:1_20:4)+NH4,712.49117,569.4564,469.2714,391.2245,361.2738,283.2269,287.2368,209.1899,183.0417
PEtOH(14:1_20:5)+NH4,710.47557,567.4408,467.2558,391.2245,359.2582,283.2269,285.2212,209.1899,183.0417
PEtOH(21:0_14:1)+NH4,734.56947,591.5347,391.2246,491.3497,283.227,383.3521,209.1899,309.315,183.0417
PEtOH(14:1_21:1)+NH4,732.55387,589.5191,489.3341,391.2246,381.3365,283.227,307.2993,209.1899,183.0417
PEtOH(14:1_21:2)+NH4,730.53817,587.5034,487.3184,391.2246,379.3208,283.2269,305.2837,209.1899,183.0417
PEtOH(22:0_14:1)+NH4,748.58517,605.5504,391.2246,505.3654,283.227,397.3678,209.1899,323.3306,183.0417
PEtOH(14:1_22:1)+NH4,746.56947,603.5347,503.3497,391.2246,395.3521,283.227,321.315,209.1899,183.0417
PEtOH(14:1_22:2)+NH4,744.55387,601.5191,501.3341,391.2246,393.3365,283.227,319.2993,209.1899,183.0417
PEtOH(14:1_22:3)+NH4,742.53817,599.5034,499.3184,391.2246,391.3208,283.2269,317.2837,209.1899,183.0417
PEtOH(14:1_22:4)+NH4,740.52247,597.4877,497.3027,391.2245,389.3051,283.2269,315.2681,209.1899,183.0417
PEtOH(14:1_22:5)+NH4,738.50687,595.4721,495.2871,391.2245,387.2895,283.2269,313.2524,209.1899,183.0417
PEtOH(14:1_22:6)+NH4,736.49117,593.4564,493.2714,391.2245,385.2738,283.2269,311.2368,209.1899,183.0417
PEtOH(23:0_14:1)+NH4,762.60077,619.566,391.2246,519.381,283.227,411.3834,209.1899,337.3463,183.0417
PEtOH(24:0_14:1)+NH4,776.61647,633.5817,391.2247,533.3967,283.2271,425.3991,209.1899,351.3619,183.0417
PEtOH(14:1_24:1)+NH4,774.60077,631.566,531.381,391.2246,423.3834,283.227,349.3463,209.1899,183.0417
PEtOH(14:1_24:2)+NH4,772.58517,629.5504,529.3654,391.2246,421.3678,283.227,347.3306,209.1899,183.0417
PEtOH(14:1_24:4)+NH4,768.55387,625.5191,525.3341,391.2246,417.3365,283.227,343.2993,209.1899,183.0417
PEtOH(25:0_14:1)+NH4,790.63207,647.5973,391.2246,547.4123,283.227,439.4147,209.1899,365.3776,183.0417
PEtOH(26:0_14:1)+NH4,804.64767,661.6129,391.2246,561.4279,283.227,453.4303,209.1899,379.3932,183.0417
PEtOH(14:1_26:1)+NH4,802.63207,659.5973,559.4123,391.2246,451.4147,283.227,377.3776,209.1899,183.0417
PEtOH(14:1_26:2)+NH4,800.61647,657.5817,557.3967,391.2247,449.3991,283.2271,375.3619,209.1899,183.0417
PEtOH(14:1_26:4)+NH4,796.58517,653.5504,553.3654,391.2246,445.3678,283.227,371.3306,209.1899,183.0417
PEtOH(27:0_14:1)+NH4,818.66337,675.6286,391.2246,575.4436,283.227,467.446,209.1899,393.4088,183.0417
PEtOH(15:0_15:0)+NH4,666.50687,523.4721,407.2558,407.2558,299.2582,299.2582,225.2211,225.2211,183.0417
PEtOH(15:0_15:1)+NH4,664.49117,521.4564,405.2401,407.2558,297.2425,299.2581,223.2055,225.2211,183.0417
PEtOH(15:0_16:0)+NH4,680.52247,537.4877,421.2714,407.2558,313.2738,299.2581,239.2368,225.2211,183.0417
PEtOH(15:0_16:1)+NH4,678.50687,535.4721,419.2558,407.2558,311.2582,299.2582,237.2211,225.2211,183.0417
PEtOH(15:0_16:2)+NH4,676.49117,533.4564,417.2401,407.2558,309.2425,299.2581,235.2055,225.2211,183.0417
PEtOH(15:0_16:3)+NH4,674.47557,531.4408,415.2245,407.2558,307.2269,299.2582,233.1899,225.2211,183.0417
PEtOH(15:0_16:4)+NH4,672.45997,529.4252,413.2089,407.2559,305.2113,299.2582,231.1742,225.2211,183.0417
PEtOH(15:0_17:0)+NH4,694.53817,551.5034,435.2871,407.2559,327.2895,299.2582,253.2524,225.2211,183.0417
PEtOH(15:0_17:1)+NH4,692.52247,549.4877,433.2714,407.2558,325.2738,299.2581,251.2368,225.2211,183.0417
PEtOH(15:0_17:2)+NH4,690.50687,547.4721,431.2558,407.2558,323.2582,299.2582,249.2211,225.2211,183.0417
PEtOH(15:0_18:0)+NH4,708.55387,565.5191,449.3028,407.2559,341.3052,299.2583,267.2681,225.2211,183.0417
PEtOH(15:0_18:1)+NH4,706.53817,563.5034,447.2871,407.2559,339.2895,299.2582,265.2524,225.2211,183.0417
PEtOH(15:0_18:2)+NH4,704.52247,561.4877,445.2714,407.2558,337.2738,299.2581,263.2368,225.2211,183.0417
PEtOH(15:0_18:3)+NH4,702.50687,559.4721,443.2558,407.2558,335.2582,299.2582,261.2212,225.2211,183.0417
PEtOH(15:0_18:4)+NH4,700.49117,557.4564,441.2401,407.2558,333.2425,299.2581,259.2055,225.2211,183.0417
PEtOH(15:0_18:5)+NH4,698.47557,555.4408,439.2245,407.2558,331.2269,299.2582,257.1899,225.2211,183.0417
PEtOH(15:0_19:0)+NH4,722.56947,579.5347,463.3184,407.2559,355.3208,299.2582,281.2837,225.2211,183.0417
PEtOH(15:0_19:1)+NH4,720.55387,577.5191,461.3028,407.2559,353.3052,299.2583,279.2681,225.2211,183.0417
PEtOH(15:0_19:2)+NH4,718.53817,575.5034,459.2871,407.2559,351.2895,299.2582,277.2524,225.2211,183.0417
PEtOH(15:0_20:0)+NH4,736.58517,593.5504,477.3341,407.2559,369.3365,299.2583,295.2993,225.2211,183.0417
PEtOH(15:0_20:1)+NH4,734.56947,591.5347,475.3184,407.2559,367.3208,299.2582,293.2837,225.2211,183.0417
PEtOH(15:0_20:2)+NH4,732.55387,589.5191,473.3028,407.2559,365.3052,299.2583,291.2681,225.2211,183.0417
PEtOH(15:0_20:3)+NH4,730.53817,587.5034,471.2871,407.2559,363.2895,299.2582,289.2524,225.2211,183.0417
PEtOH(15:0_20:4)+NH4,728.52247,585.4877,469.2714,407.2558,361.2738,299.2581,287.2368,225.2211,183.0417
PEtOH(15:0_20:5)+NH4,726.50687,583.4721,467.2558,407.2558,359.2582,299.2582,285.2212,225.2211,183.0417
PEtOH(15:0_21:0)+NH4,750.60077,607.566,491.3497,407.2559,383.3521,299.2583,309.315,225.2211,183.0417
PEtOH(15:0_21:1)+NH4,748.58517,605.5504,489.3341,407.2559,381.3365,299.2583,307.2993,225.2211,183.0417
PEtOH(15:0_21:2)+NH4,746.56947,603.5347,487.3184,407.2559,379.3208,299.2582,305.2837,225.2211,183.0417
PEtOH(15:0_22:0)+NH4,764.61647,621.5817,505.3654,407.256,397.3678,299.2583,323.3306,225.2211,183.0417
PEtOH(15:0_22:1)+NH4,762.60077,619.566,503.3497,407.2559,395.3521,299.2583,321.315,225.2211,183.0417
PEtOH(15:0_22:2)+NH4,760.58517,617.5504,501.3341,407.2559,393.3365,299.2583,319.2993,225.2211,183.0417
PEtOH(15:0_22:3)+NH4,758.56947,615.5347,499.3184,407.2559,391.3208,299.2582,317.2837,225.2211,183.0417
PEtOH(15:0_22:4)+NH4,756.55387,613.5191,497.3028,407.2559,389.3052,299.2583,315.2681,225.2211,183.0417
PEtOH(15:0_22:5)+NH4,754.53817,611.5034,495.2871,407.2559,387.2895,299.2582,313.2524,225.2211,183.0417
PEtOH(15:0_22:6)+NH4,752.52247,609.4877,493.2714,407.2558,385.2738,299.2581,311.2368,225.2211,183.0417
PEtOH(15:0_23:0)+NH4,778.63207,635.5973,519.381,407.2559,411.3834,299.2583,337.3463,225.2211,183.0417
PEtOH(15:0_24:0)+NH4,792.64767,649.6129,533.3966,407.2559,425.399,299.2582,351.3619,225.2211,183.0417
PEtOH(15:0_24:1)+NH4,790.63207,647.5973,531.381,407.2559,423.3834,299.2583,349.3463,225.2211,183.0417
PEtOH(15:0_24:2)+NH4,788.61647,645.5817,529.3654,407.256,421.3678,299.2583,347.3306,225.2211,183.0417
PEtOH(15:0_24:4)+NH4,784.58517,641.5504,525.3341,407.2559,417.3365,299.2583,343.2993,225.2211,183.0417
PEtOH(15:0_25:0)+NH4,806.66337,663.6286,547.4124,407.2559,439.4147,299.2583,365.3776,225.2211,183.0417
PEtOH(15:0_26:0)+NH4,820.67897,677.6442,561.4279,407.2559,453.4303,299.2583,379.3932,225.2211,183.0417
PEtOH(15:0_26:1)+NH4,818.66337,675.6286,559.4124,407.2559,451.4147,299.2583,377.3776,225.2211,183.0417
PEtOH(15:0_26:2)+NH4,816.64767,673.6129,557.3966,407.2559,449.399,299.2582,375.3619,225.2211,183.0417
PEtOH(15:0_26:4)+NH4,812.61647,669.5817,553.3654,407.256,445.3678,299.2583,371.3306,225.2211,183.0417
PEtOH(15:0_27:0)+NH4,834.69467,691.6599,575.4436,407.256,467.446,299.2583,393.4088,225.2211,183.0417
PEtOH(15:1_15:1)+NH4,662.47557,519.4408,405.2402,405.2402,297.2426,297.2426,223.2055,223.2055,183.0417
PEtOH(16:0_15:1)+NH4,678.50687,535.4721,405.2402,421.2715,297.2426,313.2738,223.2055,239.2368,183.0417
PEtOH(15:1_16:1)+NH4,676.49117,533.4564,419.2558,405.2401,311.2581,297.2425,237.2211,223.2055,183.0417
PEtOH(15:1_16:2)+NH4,674.47557,531.4408,417.2402,405.2402,309.2426,297.2426,235.2055,223.2055,183.0417
PEtOH(15:1_16:3)+NH4,672.45997,529.4252,415.2246,405.2402,307.2269,297.2426,233.1899,223.2055,183.0417
PEtOH(15:1_16:4)+NH4,670.44427,527.4095,413.2089,405.2401,305.2112,297.2425,231.1742,223.2055,183.0417
PEtOH(17:0_15:1)+NH4,692.52247,549.4877,405.2401,435.2871,297.2425,327.2894,223.2055,253.2524,183.0417
PEtOH(15:1_17:1)+NH4,690.50687,547.4721,433.2715,405.2402,325.2738,297.2426,251.2368,223.2055,183.0417
PEtOH(15:1_17:2)+NH4,688.49117,545.4564,431.2558,405.2401,323.2581,297.2425,249.2211,223.2055,183.0417
PEtOH(18:0_15:1)+NH4,706.53817,563.5034,405.2402,449.3028,297.2426,341.3051,223.2055,267.2681,183.0417
PEtOH(15:1_18:1)+NH4,704.52247,561.4877,447.2871,405.2401,339.2894,297.2425,265.2524,223.2055,183.0417
PEtOH(15:1_18:2)+NH4,702.50687,559.4721,445.2715,405.2402,337.2738,297.2426,263.2368,223.2055,183.0417
PEtOH(15:1_18:3)+NH4,700.49117,557.4564,443.2558,405.2401,335.2581,297.2425,261.2212,223.2055,183.0417
PEtOH(15:1_18:4)+NH4,698.47557,555.4408,441.2402,405.2402,333.2426,297.2426,259.2055,223.2055,183.0417
PEtOH(15:1_18:5)+NH4,696.45997,553.4252,439.2246,405.2402,331.2269,297.2426,257.1899,223.2055,183.0417
PEtOH(19:0_15:1)+NH4,720.55387,577.5191,405.2403,463.3185,297.2426,355.3208,223.2055,281.2837,183.0417
PEtOH(15:1_19:1)+NH4,718.53817,575.5034,461.3028,405.2402,353.3051,297.2426,279.2681,223.2055,183.0417
PEtOH(15:1_19:2)+NH4,716.52247,573.4877,459.2871,405.2401,351.2894,297.2425,277.2524,223.2055,183.0417
PEtOH(20:0_15:1)+NH4,734.56947,591.5347,405.2402,477.3341,297.2426,369.3364,223.2055,295.2993,183.0417
PEtOH(15:1_20:1)+NH4,732.55387,589.5191,475.3185,405.2403,367.3208,297.2426,293.2837,223.2055,183.0417
PEtOH(15:1_20:2)+NH4,730.53817,587.5034,473.3028,405.2402,365.3051,297.2426,291.2681,223.2055,183.0417
PEtOH(15:1_20:3)+NH4,728.52247,585.4877,471.2871,405.2401,363.2894,297.2425,289.2524,223.2055,183.0417
PEtOH(15:1_20:4)+NH4,726.50687,583.4721,469.2715,405.2402,361.2738,297.2426,287.2368,223.2055,183.0417
PEtOH(15:1_20:5)+NH4,724.49117,581.4564,467.2558,405.2401,359.2581,297.2425,285.2212,223.2055,183.0417
PEtOH(21:0_15:1)+NH4,748.58517,605.5504,405.2403,491.3498,297.2426,383.3521,223.2055,309.315,183.0417
PEtOH(15:1_21:1)+NH4,746.56947,603.5347,489.3341,405.2402,381.3364,297.2426,307.2993,223.2055,183.0417
PEtOH(15:1_21:2)+NH4,744.55387,601.5191,487.3185,405.2403,379.3208,297.2426,305.2837,223.2055,183.0417
PEtOH(22:0_15:1)+NH4,762.60077,619.566,405.2403,505.3654,297.2426,397.3677,223.2055,323.3306,183.0417
PEtOH(15:1_22:1)+NH4,760.58517,617.5504,503.3498,405.2403,395.3521,297.2426,321.315,223.2055,183.0417
PEtOH(15:1_22:2)+NH4,758.56947,615.5347,501.3341,405.2402,393.3364,297.2426,319.2993,223.2055,183.0417
PEtOH(15:1_22:3)+NH4,756.55387,613.5191,499.3185,405.2403,391.3208,297.2426,317.2837,223.2055,183.0417
PEtOH(15:1_22:4)+NH4,754.53817,611.5034,497.3028,405.2402,389.3051,297.2426,315.2681,223.2055,183.0417
PEtOH(15:1_22:5)+NH4,752.52247,609.4877,495.2871,405.2401,387.2894,297.2425,313.2524,223.2055,183.0417
PEtOH(15:1_22:6)+NH4,750.50687,607.4721,493.2715,405.2402,385.2738,297.2426,311.2368,223.2055,183.0417
PEtOH(23:0_15:1)+NH4,776.61647,633.5817,405.2403,519.381,297.2427,411.3835,223.2055,337.3463,183.0417
PEtOH(24:0_15:1)+NH4,790.63207,647.5973,405.2403,533.3967,297.2426,425.399,223.2055,351.3619,183.0417
PEtOH(15:1_24:1)+NH4,788.61647,645.5817,531.381,405.2403,423.3835,297.2427,349.3463,223.2055,183.0417
PEtOH(15:1_24:2)+NH4,786.60077,643.566,529.3654,405.2403,421.3677,297.2426,347.3306,223.2055,183.0417
PEtOH(15:1_24:4)+NH4,782.56947,639.5347,525.334,405.2402,417.3364,297.2426,343.2993,223.2055,183.0417
PEtOH(25:0_15:1)+NH4,804.64767,661.6129,405.2402,547.4123,297.2426,439.4146,223.2055,365.3776,183.0417
PEtOH(26:0_15:1)+NH4,818.66337,675.6286,405.2403,561.428,297.2426,453.4303,223.2055,379.3932,183.0417
PEtOH(15:1_26:1)+NH4,816.64767,673.6129,559.4123,405.2402,451.4146,297.2426,377.3776,223.2055,183.0417
PEtOH(15:1_26:2)+NH4,814.63207,671.5973,557.3967,405.2403,449.399,297.2426,375.3619,223.2055,183.0417
PEtOH(15:1_26:4)+NH4,810.60077,667.566,553.3654,405.2403,445.3677,297.2426,371.3306,223.2055,183.0417
PEtOH(27:0_15:1)+NH4,832.67897,689.6442,405.2403,575.4435,297.2426,467.446,223.2055,393.4088,183.0417
PEtOH(16:0_16:0)+NH4,694.53817,551.5034,421.2715,421.2715,313.2739,313.2739,239.2368,239.2368,183.0417
PEtOH(16:0_16:1)+NH4,692.52247,549.4877,419.2558,421.2714,311.2581,313.2738,237.2211,239.2368,183.0417
PEtOH(16:0_16:2)+NH4,690.50687,547.4721,417.2402,421.2715,309.2426,313.2738,235.2055,239.2368,183.0417
PEtOH(16:0_16:3)+NH4,688.49117,545.4564,415.2245,421.2714,307.2269,313.2738,233.1899,239.2368,183.0417
PEtOH(16:0_16:4)+NH4,686.47557,543.4408,413.2089,421.2715,305.2113,313.2738,231.1742,239.2368,183.0417
PEtOH(16:0_17:0)+NH4,708.55387,565.5191,435.2872,421.2715,327.2896,313.2739,253.2524,239.2368,183.0417
PEtOH(16:0_17:1)+NH4,706.53817,563.5034,433.2715,421.2715,325.2739,313.2739,251.2368,239.2368,183.0417
PEtOH(16:0_17:2)+NH4,704.52247,561.4877,431.2558,421.2714,323.2581,313.2738,249.2211,239.2368,183.0417
PEtOH(16:0_18:0)+NH4,722.56947,579.5347,449.3028,421.2715,341.3051,313.2739,267.2681,239.2368,183.0417
PEtOH(16:0_18:1)+NH4,720.55387,577.5191,447.2872,421.2715,339.2896,313.2739,265.2524,239.2368,183.0417
PEtOH(16:0_18:2)+NH4,718.53817,575.5034,445.2715,421.2715,337.2739,313.2739,263.2368,239.2368,183.0417
PEtOH(16:0_18:3)+NH4,716.52247,573.4877,443.2558,421.2714,335.2581,313.2738,261.2212,239.2368,183.0417
PEtOH(16:0_18:4)+NH4,714.50687,571.4721,441.2402,421.2715,333.2426,313.2738,259.2055,239.2368,183.0417
PEtOH(16:0_18:5)+NH4,712.49117,569.4564,439.2245,421.2714,331.2269,313.2738,257.1899,239.2368,183.0417
PEtOH(16:0_19:0)+NH4,736.58517,593.5504,463.3185,421.2716,355.3209,313.2739,281.2837,239.2368,183.0417
PEtOH(16:0_19:1)+NH4,734.56947,591.5347,461.3028,421.2715,353.3051,313.2739,279.2681,239.2368,183.0417
PEtOH(16:0_19:2)+NH4,732.55387,589.5191,459.2872,421.2715,351.2896,313.2739,277.2524,239.2368,183.0417
PEtOH(16:0_20:0)+NH4,750.60077,607.566,477.3341,421.2715,369.3365,313.2739,295.2993,239.2368,183.0417
PEtOH(16:0_20:1)+NH4,748.58517,605.5504,475.3185,421.2716,367.3209,313.2739,293.2837,239.2368,183.0417
PEtOH(16:0_20:2)+NH4,746.56947,603.5347,473.3028,421.2715,365.3051,313.2739,291.2681,239.2368,183.0417
PEtOH(16:0_20:3)+NH4,744.55387,601.5191,471.2872,421.2715,363.2896,313.2739,289.2524,239.2368,183.0417
PEtOH(16:0_20:4)+NH4,742.53817,599.5034,469.2715,421.2715,361.2739,313.2739,287.2368,239.2368,183.0417
PEtOH(16:0_20:5)+NH4,740.52247,597.4877,467.2558,421.2714,359.2581,313.2738,285.2212,239.2368,183.0417
PEtOH(16:0_21:0)+NH4,764.61647,621.5817,491.3498,421.2716,383.3522,313.274,309.315,239.2368,183.0417
PEtOH(16:0_21:1)+NH4,762.60077,619.566,489.3341,421.2715,381.3365,313.2739,307.2993,239.2368,183.0417
PEtOH(16:0_21:2)+NH4,760.58517,617.5504,487.3185,421.2716,379.3209,313.2739,305.2837,239.2368,183.0417
PEtOH(16:0_22:0)+NH4,778.63207,635.5973,505.3654,421.2715,397.3678,313.2739,323.3306,239.2368,183.0417
PEtOH(16:0_22:1)+NH4,776.61647,633.5817,503.3498,421.2716,395.3522,313.274,321.315,239.2368,183.0417
PEtOH(16:0_22:2)+NH4,774.60077,631.566,501.3341,421.2715,393.3365,313.2739,319.2993,239.2368,183.0417
PEtOH(16:0_22:3)+NH4,772.58517,629.5504,499.3185,421.2716,391.3209,313.2739,317.2837,239.2368,183.0417
PEtOH(16:0_22:4)+NH4,770.56947,627.5347,497.3028,421.2715,389.3051,313.2739,315.2681,239.2368,183.0417
PEtOH(16:0_22:5)+NH4,768.55387,625.5191,495.2872,421.2715,387.2896,313.2739,313.2524,239.2368,183.0417
PEtOH(16:0_22:6)+NH4,766.53817,623.5034,493.2715,421.2715,385.2739,313.2739,311.2368,239.2368,183.0417
PEtOH(16:0_23:0)+NH4,792.64767,649.6129,519.381,421.2715,411.3834,313.2739,337.3463,239.2368,183.0417
PEtOH(16:0_24:0)+NH4,806.66337,663.6286,533.3967,421.2716,425.399,313.2739,351.3619,239.2368,183.0417
PEtOH(16:0_24:1)+NH4,804.64767,661.6129,531.381,421.2715,423.3834,313.2739,349.3463,239.2368,183.0417
PEtOH(16:0_24:2)+NH4,802.63207,659.5973,529.3654,421.2715,421.3678,313.2739,347.3306,239.2368,183.0417
PEtOH(16:0_24:4)+NH4,798.60077,655.566,525.3341,421.2715,417.3365,313.2739,343.2993,239.2368,183.0417
PEtOH(16:0_25:0)+NH4,820.67897,677.6442,547.4123,421.2715,439.4147,313.2739,365.3776,239.2368,183.0417
PEtOH(16:0_26:0)+NH4,834.69467,691.6599,561.428,421.2716,453.4304,313.274,379.3932,239.2368,183.0417
PEtOH(16:0_26:1)+NH4,832.67897,689.6442,559.4123,421.2715,451.4147,313.2739,377.3776,239.2368,183.0417
PEtOH(16:0_26:2)+NH4,830.66337,687.6286,557.3967,421.2716,449.399,313.2739,375.3619,239.2368,183.0417
PEtOH(16:0_26:4)+NH4,826.63207,683.5973,553.3654,421.2715,445.3678,313.2739,371.3306,239.2368,183.0417
PEtOH(16:0_27:0)+NH4,848.71037,705.6756,575.4437,421.2716,467.446,313.274,393.4088,239.2368,183.0417
PEtOH(16:1_16:1)+NH4,690.50687,547.4721,419.2558,419.2558,311.2582,311.2582,237.2211,237.2211,183.0417
PEtOH(16:1_16:2)+NH4,688.49117,545.4564,417.2401,419.2558,309.2425,311.2581,235.2055,237.2211,183.0417
PEtOH(16:1_16:3)+NH4,686.47557,543.4408,415.2245,419.2558,307.2269,311.2582,233.1899,237.2211,183.0417
PEtOH(16:1_16:4)+NH4,684.45997,541.4252,413.2089,419.2559,305.2113,311.2582,231.1742,237.2211,183.0417
PEtOH(17:0_16:1)+NH4,706.53817,563.5034,419.2559,435.2871,311.2582,327.2895,237.2211,253.2524,183.0417
PEtOH(16:1_17:1)+NH4,704.52247,561.4877,433.2714,419.2558,325.2738,311.2581,251.2368,237.2211,183.0417
PEtOH(16:1_17:2)+NH4,702.50687,559.4721,431.2558,419.2558,323.2582,311.2582,249.2211,237.2211,183.0417
PEtOH(18:0_16:1)+NH4,720.55387,577.5191,419.2559,449.3028,311.2583,341.3052,237.2211,267.2681,183.0417
PEtOH(16:1_18:1)+NH4,718.53817,575.5034,447.2871,419.2559,339.2895,311.2582,265.2524,237.2211,183.0417
PEtOH(16:1_18:2)+NH4,716.52247,573.4877,445.2714,419.2558,337.2738,311.2581,263.2368,237.2211,183.0417
PEtOH(16:1_18:3)+NH4,714.50687,571.4721,443.2558,419.2558,335.2582,311.2582,261.2212,237.2211,183.0417
PEtOH(16:1_18:4)+NH4,712.49117,569.4564,441.2401,419.2558,333.2425,311.2581,259.2055,237.2211,183.0417
PEtOH(16:1_18:5)+NH4,710.47557,567.4408,439.2245,419.2558,331.2269,311.2582,257.1899,237.2211,183.0417
PEtOH(19:0_16:1)+NH4,734.56947,591.5347,419.2559,463.3184,311.2582,355.3208,237.2211,281.2837,183.0417
PEtOH(16:1_19:1)+NH4,732.55387,589.5191,461.3028,419.2559,353.3052,311.2583,279.2681,237.2211,183.0417
PEtOH(16:1_19:2)+NH4,730.53817,587.5034,459.2871,419.2559,351.2895,311.2582,277.2524,237.2211,183.0417
PEtOH(20:0_16:1)+NH4,748.58517,605.5504,419.2559,477.3341,311.2583,369.3365,237.2211,295.2993,183.0417
PEtOH(16:1_20:1)+NH4,746.56947,603.5347,475.3184,419.2559,367.3208,311.2582,293.2837,237.2211,183.0417
PEtOH(16:1_20:2)+NH4,744.55387,601.5191,473.3028,419.2559,365.3052,311.2583,291.2681,237.2211,183.0417
PEtOH(16:1_20:3)+NH4,742.53817,599.5034,471.2871,419.2559,363.2895,311.2582,289.2524,237.2211,183.0417
PEtOH(16:1_20:4)+NH4,740.52247,597.4877,469.2714,419.2558,361.2738,311.2581,287.2368,237.2211,183.0417
PEtOH(16:1_20:5)+NH4,738.50687,595.4721,467.2558,419.2558,359.2582,311.2582,285.2212,237.2211,183.0417
PEtOH(21:0_16:1)+NH4,762.60077,619.566,419.2559,491.3497,311.2583,383.3521,237.2211,309.315,183.0417
PEtOH(16:1_21:1)+NH4,760.58517,617.5504,489.3341,419.2559,381.3365,311.2583,307.2993,237.2211,183.0417
PEtOH(16:1_21:2)+NH4,758.56947,615.5347,487.3184,419.2559,379.3208,311.2582,305.2837,237.2211,183.0417
PEtOH(22:0_16:1)+NH4,776.61647,633.5817,419.256,505.3654,311.2583,397.3678,237.2211,323.3306,183.0417
PEtOH(16:1_22:1)+NH4,774.60077,631.566,503.3497,419.2559,395.3521,311.2583,321.315,237.2211,183.0417
PEtOH(16:1_22:2)+NH4,772.58517,629.5504,501.3341,419.2559,393.3365,311.2583,319.2993,237.2211,183.0417
PEtOH(16:1_22:3)+NH4,770.56947,627.5347,499.3184,419.2559,391.3208,311.2582,317.2837,237.2211,183.0417
PEtOH(16:1_22:4)+NH4,768.55387,625.5191,497.3028,419.2559,389.3052,311.2583,315.2681,237.2211,183.0417
PEtOH(16:1_22:5)+NH4,766.53817,623.5034,495.2871,419.2559,387.2895,311.2582,313.2524,237.2211,183.0417
PEtOH(16:1_22:6)+NH4,764.52247,621.4877,493.2714,419.2558,385.2738,311.2581,311.2368,237.2211,183.0417
PEtOH(23:0_16:1)+NH4,790.63207,647.5973,419.2559,519.381,311.2583,411.3834,237.2211,337.3463,183.0417
PEtOH(24:0_16:1)+NH4,804.64767,661.6129,419.2559,533.3966,311.2582,425.399,237.2211,351.3619,183.0417
PEtOH(16:1_24:1)+NH4,802.63207,659.5973,531.381,419.2559,423.3834,311.2583,349.3463,237.2211,183.0417
PEtOH(16:1_24:2)+NH4,800.61647,657.5817,529.3654,419.256,421.3678,311.2583,347.3306,237.2211,183.0417
PEtOH(16:1_24:4)+NH4,796.58517,653.5504,525.3341,419.2559,417.3365,311.2583,343.2993,237.2211,183.0417
PEtOH(25:0_16:1)+NH4,818.66337,675.6286,419.2559,547.4124,311.2583,439.4147,237.2211,365.3776,183.0417
PEtOH(26:0_16:1)+NH4,832.67897,689.6442,419.2559,561.4279,311.2583,453.4303,237.2211,379.3932,183.0417
PEtOH(16:1_26:1)+NH4,830.66337,687.6286,559.4124,419.2559,451.4147,311.2583,377.3776,237.2211,183.0417
PEtOH(16:1_26:2)+NH4,828.64767,685.6129,557.3966,419.2559,449.399,311.2582,375.3619,237.2211,183.0417
PEtOH(16:1_26:4)+NH4,824.61647,681.5817,553.3654,419.256,445.3678,311.2583,371.3306,237.2211,183.0417
PEtOH(27:0_16:1)+NH4,846.69467,703.6599,419.256,575.4436,311.2583,467.446,237.2211,393.4088,183.0417
PEtOH(16:2_16:2)+NH4,686.47557,543.4408,417.2402,417.2402,309.2426,309.2426,235.2055,235.2055,183.0417
PEtOH(16:2_16:3)+NH4,684.45997,541.4252,415.2246,417.2402,307.2269,309.2426,233.1899,235.2055,183.0417
PEtOH(16:2_16:4)+NH4,682.44427,539.4095,413.2089,417.2401,305.2112,309.2425,231.1742,235.2055,183.0417
PEtOH(17:0_16:2)+NH4,704.52247,561.4877,417.2401,435.2871,309.2425,327.2894,235.2055,253.2524,183.0417
PEtOH(17:1_16:2)+NH4,702.50687,559.4721,417.2402,433.2715,309.2426,325.2738,235.2055,251.2368,183.0417
PEtOH(16:2_17:2)+NH4,700.49117,557.4564,431.2558,417.2401,323.2581,309.2425,249.2211,235.2055,183.0417
