Cer-AP,[M+HCO2]-,[M-H]-,[FA+NC(C)CO-H]-,[FA+O-H]-,[FA-CO-3H]-,[Sph-NC(CO)CO-H]-
Cer-AP(t18:1/38:2)+HCO2,918.8126,872.8071,630.582,575.5409,529.5354,223.2056
Cer-AP(t18:1/40:0)+HCO2,950.8752,904.8697,662.6446,607.6035,561.598,223.2056
Cer-AP(t18:1/40:1)+HCO2,948.8596,902.8541,660.629,605.5878,559.5823,223.2056
Cer-AP(t18:1/40:2)+HCO2,946.8439,900.8384,658.6133,603.5722,557.5667,223.2056
Cer-AP(t18:1/42:0)+HCO2,978.9065,932.901,690.6759,635.6348,589.6293,223.2056
Cer-AP(t18:1/42:1)+HCO2,976.8908,930.8854,688.6602,633.6191,587.6136,223.2056
Cer-AP(t18:1/42:2)+HCO2,974.8752,928.8697,686.6446,631.6035,585.598,223.2056
Cer-AP(t18:2/12:0)+HCO2,556.4213,510.4159,270.2064,215.1653,169.1598,221.19
Cer-AP(t18:2/12:1)+HCO2,554.4057,508.4002,268.1907,213.1496,167.1441,221.19
Cer-AP(t18:2/13:0)+HCO2,570.437,524.4315,284.222,229.1809,183.1754,221.19
Cer-AP(t18:2/13:1)+HCO2,568.4213,522.4158,282.2064,227.1653,181.1598,221.19
Cer-AP(t18:2/14:0)+HCO2,584.4526,538.4471,298.2377,243.1966,197.1911,221.19
Cer-AP(t18:2/14:1)+HCO2,582.437,536.4315,296.222,241.1809,195.1754,221.19
Cer-AP(t18:2/15:0)+HCO2,598.4683,552.4628,312.2533,257.2122,211.2067,221.19
Cer-AP(t18:2/15:1)+HCO2,596.4526,550.4471,310.2377,255.1966,209.1911,221.19
Cer-AP(t18:2/16:0)+HCO2,612.4839,566.4785,326.269,271.2279,225.2224,221.19
Cer-AP(t18:2/16:1)+HCO2,610.4683,564.4628,324.2533,269.2122,223.2067,221.19
Cer-AP(t18:2/16:2)+HCO2,608.4526,562.4471,322.2377,267.1966,221.1911,221.19
Cer-AP(t18:2/17:0)+HCO2,626.4996,580.4941,340.2846,285.2435,239.238,221.19
Cer-AP(t18:2/18:0)+HCO2,640.5153,594.5098,354.3003,299.2592,253.2537,221.19
Cer-AP(t18:2/18:1)+HCO2,638.4996,592.4941,352.2846,297.2435,251.238,221.19
Cer-AP(t18:2/18:2)+HCO2,636.4839,590.4785,350.269,295.2279,249.2224,221.19
Cer-AP(t18:2/19:0)+HCO2,654.5309,608.5254,368.3159,313.2748,267.2693,221.19
Cer-AP(t18:2/19:1)+HCO2,652.5153,606.5098,366.3003,311.2592,265.2537,221.19
Cer-AP(t18:2/20:0)+HCO2,668.5465,622.5411,382.3316,327.2905,281.285,221.19
Cer-AP(t18:2/20:1)+HCO2,666.5309,620.5254,380.3159,325.2748,279.2693,221.19
Cer-AP(t18:2/20:2)+HCO2,664.5153,618.5098,378.3003,323.2592,277.2537,221.19
Cer-AP(t18:2/21:0)+HCO2,682.5622,636.5567,396.3472,341.3061,295.3006,221.19
Cer-AP(t18:2/21:1)+HCO2,680.5465,634.5411,394.3316,339.2905,293.285,221.19
Cer-AP(t18:2/22:0)+HCO2,696.5778,650.5723,410.3629,355.3218,309.3163,221.19
Cer-AP(t18:2/22:1)+HCO2,694.5622,648.5567,408.3472,353.3061,307.3006,221.19
Cer-AP(t18:2/22:2)+HCO2,692.5465,646.5411,406.3316,351.2905,305.285,221.19
Cer-AP(t18:2/23:0)+HCO2,710.5935,664.588,424.3785,369.3374,323.3319,221.19
Cer-AP(t18:2/23:1)+HCO2,708.5778,662.5723,422.3629,367.3218,321.3163,221.19
Cer-AP(t18:2/24:0)+HCO2,724.6091,678.6036,438.3942,383.3531,337.3476,221.19
Cer-AP(t18:2/24:1)+HCO2,722.5935,676.588,436.3785,381.3374,335.3319,221.19
Cer-AP(t18:2/24:2)+HCO2,720.5778,674.5723,434.3629,379.3218,333.3163,221.19
Cer-AP(t18:2/25:0)+HCO2,738.6248,692.6193,452.4099,397.3687,351.3633,221.19
Cer-AP(t18:2/25:1)+HCO2,736.6091,690.6036,450.3942,395.3531,349.3476,221.19
Cer-AP(t18:2/26:0)+HCO2,752.6404,706.6349,466.4255,411.3844,365.3789,221.19
Cer-AP(t18:2/26:1)+HCO2,750.6248,704.6193,464.4099,409.3687,363.3633,221.19
Cer-AP(t18:2/26:2)+HCO2,748.6091,702.6036,462.3942,407.3531,361.3476,221.19
Cer-AP(t18:2/27:0)+HCO2,766.6561,720.6506,480.4411,425.4,379.3945,221.19
Cer-AP(t18:2/27:1)+HCO2,764.6404,718.6349,478.4255,423.3844,377.3789,221.19
Cer-AP(t18:2/28:0)+HCO2,780.6718,734.6663,494.4568,439.4157,393.4102,221.19
Cer-AP(t18:2/28:1)+HCO2,778.6561,732.6506,492.4411,437.4,391.3945,221.19
Cer-AP(t18:2/28:2)+HCO2,776.6404,730.6349,490.4255,435.3844,389.3789,221.19
Cer-AP(t18:2/29:0)+HCO2,794.6874,748.6819,508.4724,453.4313,407.4258,221.19
Cer-AP(t18:2/29:1)+HCO2,792.6718,746.6663,506.4568,451.4157,405.4102,221.19
Cer-AP(t18:2/30:0)+HCO2,808.703,762.6976,522.4881,467.447,421.4415,221.19
Cer-AP(t18:2/30:1)+HCO2,806.6874,760.6819,520.4724,465.4313,419.4258,221.19
Cer-AP(t18:2/30:2)+HCO2,804.6718,758.6663,518.4568,463.4157,417.4102,221.19
Cer-AP(t18:2/31:0)+HCO2,822.7187,776.7132,536.5037,481.4626,435.4572,221.19
Cer-AP(t18:2/31:1)+HCO2,820.703,774.6976,534.4881,479.447,433.4415,221.19
Cer-AP(t18:2/32:0)+HCO2,836.7343,790.7289,550.5194,495.4783,449.4728,221.19
Cer-AP(t18:2/32:1)+HCO2,834.7187,788.7132,548.5037,493.4626,447.4572,221.19
Cer-AP(t18:2/32:2)+HCO2,832.703,786.6976,546.4881,491.447,445.4415,221.19
Cer-AP(t18:2/33:0)+HCO2,850.75,804.7445,564.535,509.4939,463.4884,221.19
Cer-AP(t18:2/33:1)+HCO2,848.7343,802.7289,562.5194,507.4783,461.4728,221.19
Cer-AP(t18:2/34:0)+HCO2,864.7656,818.7601,578.5507,523.5096,477.5041,221.19
Cer-AP(t18:2/34:1)+HCO2,862.75,816.7445,576.535,521.494,475.4884,221.19
Cer-AP(t18:2/34:2)+HCO2,860.7343,814.7289,574.5194,519.4783,473.4728,221.19
Cer-AP(t18:2/35:0)+HCO2,878.7813,832.7758,592.5663,537.5252,491.5197,221.19
Cer-AP(t18:2/35:1)+HCO2,876.7656,830.7601,590.5507,535.5096,489.5041,221.19
Cer-AP(t18:2/36:0)+HCO2,892.7969,846.7914,606.582,551.5409,505.5354,221.19
Cer-AP(t18:2/36:1)+HCO2,890.7813,844.7758,604.5663,549.5252,503.5197,221.19
Cer-AP(t18:2/36:2)+HCO2,888.7656,842.7601,602.5507,547.5096,501.5041,221.19
Cer-AP(t18:2/38:0)+HCO2,920.8282,874.8228,634.6133,579.5722,533.5667,221.19
Cer-AP(t18:2/38:1)+HCO2,918.8126,872.8071,632.5977,577.5565,531.551,221.19
Cer-AP(t18:2/38:2)+HCO2,916.7969,870.7914,630.582,575.5409,529.5354,221.19
Cer-AP(t18:2/40:0)+HCO2,948.8596,902.8541,662.6446,607.6035,561.598,221.19
Cer-AP(t18:2/40:1)+HCO2,946.8439,900.8384,660.629,605.5878,559.5823,221.19
Cer-AP(t18:2/40:2)+HCO2,944.8282,898.8228,658.6133,603.5722,557.5667,221.19
Cer-AP(t18:2/42:0)+HCO2,976.8908,930.8854,690.6759,635.6348,589.6293,221.19
Cer-AP(t18:2/42:1)+HCO2,974.8752,928.8697,688.6602,633.6191,587.6136,221.19
Cer-AP(t18:2/42:2)+HCO2,972.8596,926.8541,686.6446,631.6035,585.598,221.19
Cer-AP(t19:0/12:0)+HCO2,574.4683,528.4628,270.2064,215.1653,169.1598,239.237
Cer-AP(t19:0/12:1)+HCO2,572.4526,526.4471,268.1907,213.1496,167.1441,239.237
Cer-AP(t19:0/13:0)+HCO2,588.4839,542.4785,284.222,229.1809,183.1754,239.237
Cer-AP(t19:0/13:1)+HCO2,586.4683,540.4628,282.2064,227.1653,181.1598,239.237
Cer-AP(t19:0/14:0)+HCO2,602.4996,556.4941,298.2377,243.1966,197.1911,239.237
Cer-AP(t19:0/14:1)+HCO2,600.4839,554.4785,296.222,241.1809,195.1754,239.237
Cer-AP(t19:0/15:0)+HCO2,616.5153,570.5098,312.2533,257.2122,211.2067,239.237
Cer-AP(t19:0/15:1)+HCO2,614.4996,568.4941,310.2377,255.1966,209.1911,239.237
Cer-AP(t19:0/16:0)+HCO2,630.5309,584.5254,326.269,271.2279,225.2224,239.237
Cer-AP(t19:0/16:1)+HCO2,628.5153,582.5098,324.2533,269.2122,223.2067,239.237
Cer-AP(t19:0/16:2)+HCO2,626.4996,580.4941,322.2377,267.1966,221.1911,239.237
Cer-AP(t19:0/17:0)+HCO2,644.5465,598.5411,340.2846,285.2435,239.238,239.237
Cer-AP(t19:0/18:0)+HCO2,658.5622,612.5567,354.3003,299.2592,253.2537,239.237
Cer-AP(t19:0/18:1)+HCO2,656.5465,610.5411,352.2846,297.2435,251.238,239.237
Cer-AP(t19:0/18:2)+HCO2,654.5309,608.5254,350.269,295.2279,249.2224,239.237
Cer-AP(t19:0/19:0)+HCO2,672.5778,626.5723,368.3159,313.2748,267.2693,239.237
Cer-AP(t19:0/19:1)+HCO2,670.5622,624.5567,366.3003,311.2592,265.2537,239.237
Cer-AP(t19:0/20:0)+HCO2,686.5935,640.588,382.3316,327.2905,281.285,239.237
Cer-AP(t19:0/20:1)+HCO2,684.5778,638.5723,380.3159,325.2748,279.2693,239.237
Cer-AP(t19:0/20:2)+HCO2,682.5622,636.5567,378.3003,323.2592,277.2537,239.237
Cer-AP(t19:0/21:0)+HCO2,700.6091,654.6036,396.3472,341.3061,295.3006,239.237
Cer-AP(t19:0/21:1)+HCO2,698.5935,652.588,394.3316,339.2905,293.285,239.237
Cer-AP(t19:0/22:0)+HCO2,714.6248,668.6193,410.3629,355.3218,309.3163,239.237
Cer-AP(t19:0/22:1)+HCO2,712.6091,666.6036,408.3472,353.3061,307.3006,239.237
Cer-AP(t19:0/22:2)+HCO2,710.5935,664.588,406.3316,351.2905,305.285,239.237
Cer-AP(t19:0/23:0)+HCO2,728.6404,682.6349,424.3785,369.3374,323.3319,239.237
Cer-AP(t19:0/23:1)+HCO2,726.6248,680.6193,422.3629,367.3218,321.3163,239.237
Cer-AP(t19:0/24:0)+HCO2,742.6561,696.6506,438.3942,383.3531,337.3476,239.237
Cer-AP(t19:0/24:1)+HCO2,740.6404,694.6349,436.3785,381.3374,335.3319,239.237
Cer-AP(t19:0/24:2)+HCO2,738.6248,692.6193,434.3629,379.3218,333.3163,239.237
Cer-AP(t19:0/25:0)+HCO2,756.6718,710.6663,452.4099,397.3687,351.3633,239.237
Cer-AP(t19:0/25:1)+HCO2,754.6561,708.6506,450.3942,395.3531,349.3476,239.237
Cer-AP(t19:0/26:0)+HCO2,770.6874,724.6819,466.4255,411.3844,365.3789,239.237
Cer-AP(t19:0/26:1)+HCO2,768.6718,722.6663,464.4099,409.3687,363.3633,239.237
Cer-AP(t19:0/26:2)+HCO2,766.6561,720.6506,462.3942,407.3531,361.3476,239.237
Cer-AP(t19:0/27:0)+HCO2,784.703,738.6976,480.4411,425.4,379.3945,239.237
Cer-AP(t19:0/27:1)+HCO2,782.6874,736.6819,478.4255,423.3844,377.3789,239.237
Cer-AP(t19:0/28:0)+HCO2,798.7187,752.7132,494.4568,439.4157,393.4102,239.237
Cer-AP(t19:0/28:1)+HCO2,796.703,750.6976,492.4411,437.4,391.3945,239.237
Cer-AP(t19:0/28:2)+HCO2,794.6874,748.6819,490.4255,435.3844,389.3789,239.237
Cer-AP(t19:0/29:0)+HCO2,812.7343,766.7289,508.4724,453.4313,407.4258,239.237
Cer-AP(t19:0/29:1)+HCO2,810.7187,764.7132,506.4568,451.4157,405.4102,239.237
Cer-AP(t19:0/30:0)+HCO2,826.75,780.7445,522.4881,467.447,421.4415,239.237
Cer-AP(t19:0/30:1)+HCO2,824.7343,778.7289,520.4724,465.4313,419.4258,239.237
Cer-AP(t19:0/30:2)+HCO2,822.7187,776.7132,518.4568,463.4157,417.4102,239.237
Cer-AP(t19:0/31:0)+HCO2,840.7656,794.7601,536.5037,481.4626,435.4572,239.237
Cer-AP(t19:0/31:1)+HCO2,838.75,792.7445,534.4881,479.447,433.4415,239.237
Cer-AP(t19:0/32:0)+HCO2,854.7813,808.7758,550.5194,495.4783,449.4728,239.237
Cer-AP(t19:0/32:1)+HCO2,852.7656,806.7601,548.5037,493.4626,447.4572,239.237
Cer-AP(t19:0/32:2)+HCO2,850.75,804.7445,546.4881,491.447,445.4415,239.237
Cer-AP(t19:0/33:0)+HCO2,868.7969,822.7914,564.535,509.4939,463.4884,239.237
Cer-AP(t19:0/33:1)+HCO2,866.7813,820.7758,562.5194,507.4783,461.4728,239.237
Cer-AP(t19:0/34:0)+HCO2,882.8126,836.8071,578.5507,523.5096,477.5041,239.237
Cer-AP(t19:0/34:1)+HCO2,880.7969,834.7914,576.535,521.494,475.4884,239.237
Cer-AP(t19:0/34:2)+HCO2,878.7813,832.7758,574.5194,519.4783,473.4728,239.237
Cer-AP(t19:0/35:0)+HCO2,896.8282,850.8228,592.5663,537.5252,491.5197,239.237
Cer-AP(t19:0/35:1)+HCO2,894.8126,848.8071,590.5507,535.5096,489.5041,239.237
Cer-AP(t19:0/36:0)+HCO2,910.8439,864.8384,606.582,551.5409,505.5354,239.237
Cer-AP(t19:0/36:1)+HCO2,908.8282,862.8228,604.5663,549.5252,503.5197,239.237
Cer-AP(t19:0/36:2)+HCO2,906.8126,860.8071,602.5507,547.5096,501.5041,239.237
Cer-AP(t19:0/38:0)+HCO2,938.8752,892.8697,634.6133,579.5722,533.5667,239.237
Cer-AP(t19:0/38:1)+HCO2,936.8596,890.8541,632.5977,577.5565,531.551,239.237
Cer-AP(t19:0/38:2)+HCO2,934.8439,888.8384,630.582,575.5409,529.5354,239.237
Cer-AP(t19:0/40:0)+HCO2,966.9065,920.901,662.6446,607.6035,561.598,239.237
Cer-AP(t19:0/40:1)+HCO2,964.8908,918.8854,660.629,605.5878,559.5823,239.237
Cer-AP(t19:0/40:2)+HCO2,962.8752,916.8697,658.6133,603.5722,557.5667,239.237
Cer-AP(t19:0/42:0)+HCO2,994.9378,948.9323,690.6759,635.6348,589.6293,239.237
Cer-AP(t19:0/42:1)+HCO2,992.9221,946.9167,688.6602,633.6191,587.6136,239.237
Cer-AP(t19:0/42:2)+HCO2,990.9065,944.901,686.6446,631.6035,585.598,239.237
Cer-AP(t19:1/12:0)+HCO2,572.4526,526.4471,270.2064,215.1653,169.1598,237.2213
Cer-AP(t19:1/12:1)+HCO2,570.437,524.4315,268.1907,213.1496,167.1441,237.2213
Cer-AP(t19:1/13:0)+HCO2,586.4683,540.4628,284.222,229.1809,183.1754,237.2213
Cer-AP(t19:1/13:1)+HCO2,584.4526,538.4471,282.2064,227.1653,181.1598,237.2213
Cer-AP(t19:1/14:0)+HCO2,600.4839,554.4785,298.2377,243.1966,197.1911,237.2213
Cer-AP(t19:1/14:1)+HCO2,598.4683,552.4628,296.222,241.1809,195.1754,237.2213
Cer-AP(t19:1/15:0)+HCO2,614.4996,568.4941,312.2533,257.2122,211.2067,237.2213
Cer-AP(t19:1/15:1)+HCO2,612.4839,566.4785,310.2377,255.1966,209.1911,237.2213
Cer-AP(t19:1/16:0)+HCO2,628.5153,582.5098,326.269,271.2279,225.2224,237.2213
Cer-AP(t19:1/16:1)+HCO2,626.4996,580.4941,324.2533,269.2122,223.2067,237.2213
Cer-AP(t19:1/16:2)+HCO2,624.4839,578.4785,322.2377,267.1966,221.1911,237.2213
Cer-AP(t19:1/17:0)+HCO2,642.5309,596.5254,340.2846,285.2435,239.238,237.2213
Cer-AP(t19:1/18:0)+HCO2,656.5465,610.5411,354.3003,299.2592,253.2537,237.2213
Cer-AP(t19:1/18:1)+HCO2,654.5309,608.5254,352.2846,297.2435,251.238,237.2213
Cer-AP(t19:1/18:2)+HCO2,652.5153,606.5098,350.269,295.2279,249.2224,237.2213
Cer-AP(t19:1/19:0)+HCO2,670.5622,624.5567,368.3159,313.2748,267.2693,237.2213
Cer-AP(t19:1/19:1)+HCO2,668.5465,622.5411,366.3003,311.2592,265.2537,237.2213
Cer-AP(t19:1/20:0)+HCO2,684.5778,638.5723,382.3316,327.2905,281.285,237.2213
Cer-AP(t19:1/20:1)+HCO2,682.5622,636.5567,380.3159,325.2748,279.2693,237.2213
Cer-AP(t19:1/20:2)+HCO2,680.5465,634.5411,378.3003,323.2592,277.2537,237.2213
Cer-AP(t19:1/21:0)+HCO2,698.5935,652.588,396.3472,341.3061,295.3006,237.2213
Cer-AP(t19:1/21:1)+HCO2,696.5778,650.5723,394.3316,339.2905,293.285,237.2213
Cer-AP(t19:1/22:0)+HCO2,712.6091,666.6036,410.3629,355.3218,309.3163,237.2213
Cer-AP(t19:1/22:1)+HCO2,710.5935,664.588,408.3472,353.3061,307.3006,237.2213
Cer-AP(t19:1/22:2)+HCO2,708.5778,662.5723,406.3316,351.2905,305.285,237.2213
Cer-AP(t19:1/23:0)+HCO2,726.6248,680.6193,424.3785,369.3374,323.3319,237.2213
Cer-AP(t19:1/23:1)+HCO2,724.6091,678.6036,422.3629,367.3218,321.3163,237.2213
Cer-AP(t19:1/24:0)+HCO2,740.6404,694.6349,438.3942,383.3531,337.3476,237.2213
Cer-AP(t19:1/24:1)+HCO2,738.6248,692.6193,436.3785,381.3374,335.3319,237.2213
Cer-AP(t19:1/24:2)+HCO2,736.6091,690.6036,434.3629,379.3218,333.3163,237.2213
Cer-AP(t19:1/25:0)+HCO2,754.6561,708.6506,452.4099,397.3687,351.3633,237.2213
Cer-AP(t19:1/25:1)+HCO2,752.6404,706.6349,450.3942,395.3531,349.3476,237.2213
Cer-AP(t19:1/26:0)+HCO2,768.6718,722.6663,466.4255,411.3844,365.3789,237.2213
Cer-AP(t19:1/26:1)+HCO2,766.6561,720.6506,464.4099,409.3687,363.3633,237.2213
Cer-AP(t19:1/26:2)+HCO2,764.6404,718.6349,462.3942,407.3531,361.3476,237.2213
Cer-AP(t19:1/27:0)+HCO2,782.6874,736.6819,480.4411,425.4,379.3945,237.2213
Cer-AP(t19:1/27:1)+HCO2,780.6718,734.6663,478.4255,423.3844,377.3789,237.2213
Cer-AP(t19:1/28:0)+HCO2,796.703,750.6976,494.4568,439.4157,393.4102,237.2213
Cer-AP(t19:1/28:1)+HCO2,794.6874,748.6819,492.4411,437.4,391.3945,237.2213
Cer-AP(t19:1/28:2)+HCO2,792.6718,746.6663,490.4255,435.3844,389.3789,237.2213
Cer-AP(t19:1/29:0)+HCO2,810.7187,764.7132,508.4724,453.4313,407.4258,237.2213
Cer-AP(t19:1/29:1)+HCO2,808.703,762.6976,506.4568,451.4157,405.4102,237.2213
Cer-AP(t19:1/30:0)+HCO2,824.7343,778.7289,522.4881,467.447,421.4415,237.2213
Cer-AP(t19:1/30:1)+HCO2,822.7187,776.7132,520.4724,465.4313,419.4258,237.2213
Cer-AP(t19:1/30:2)+HCO2,820.703,774.6976,518.4568,463.4157,417.4102,237.2213
Cer-AP(t19:1/31:0)+HCO2,838.75,792.7445,536.5037,481.4626,435.4572,237.2213
Cer-AP(t19:1/31:1)+HCO2,836.7343,790.7289,534.4881,479.447,433.4415,237.2213
Cer-AP(t19:1/32:0)+HCO2,852.7656,806.7601,550.5194,495.4783,449.4728,237.2213
Cer-AP(t19:1/32:1)+HCO2,850.75,804.7445,548.5037,493.4626,447.4572,237.2213
Cer-AP(t19:1/32:2)+HCO2,848.7343,802.7289,546.4881,491.447,445.4415,237.2213
Cer-AP(t19:1/33:0)+HCO2,866.7813,820.7758,564.535,509.4939,463.4884,237.2213
Cer-AP(t19:1/33:1)+HCO2,864.7656,818.7601,562.5194,507.4783,461.4728,237.2213
Cer-AP(t19:1/34:0)+HCO2,880.7969,834.7914,578.5507,523.5096,477.5041,237.2213
Cer-AP(t19:1/34:1)+HCO2,878.7813,832.7758,576.535,521.494,475.4884,237.2213
Cer-AP(t19:1/34:2)+HCO2,876.7656,830.7601,574.5194,519.4783,473.4728,237.2213
Cer-AP(t19:1/35:0)+HCO2,894.8126,848.8071,592.5663,537.5252,491.5197,237.2213
Cer-AP(t19:1/35:1)+HCO2,892.7969,846.7914,590.5507,535.5096,489.5041,237.2213
Cer-AP(t19:1/36:0)+HCO2,908.8282,862.8228,606.582,551.5409,505.5354,237.2213
Cer-AP(t19:1/36:1)+HCO2,906.8126,860.8071,604.5663,549.5252,503.5197,237.2213
Cer-AP(t19:1/36:2)+HCO2,904.7969,858.7914,602.5507,547.5096,501.5041,237.2213
Cer-AP(t19:1/38:0)+HCO2,936.8596,890.8541,634.6133,579.5722,533.5667,237.2213
Cer-AP(t19:1/38:1)+HCO2,934.8439,888.8384,632.5977,577.5565,531.551,237.2213
Cer-AP(t19:1/38:2)+HCO2,932.8282,886.8228,630.582,575.5409,529.5354,237.2213
Cer-AP(t19:1/40:0)+HCO2,964.8908,918.8854,662.6446,607.6035,561.598,237.2213
Cer-AP(t19:1/40:1)+HCO2,962.8752,916.8697,660.629,605.5878,559.5823,237.2213
Cer-AP(t19:1/40:2)+HCO2,960.8596,914.8541,658.6133,603.5722,557.5667,237.2213
Cer-AP(t19:1/42:0)+HCO2,992.9221,946.9167,690.6759,635.6348,589.6293,237.2213
Cer-AP(t19:1/42:1)+HCO2,990.9065,944.901,688.6602,633.6191,587.6136,237.2213
Cer-AP(t19:1/42:2)+HCO2,988.8908,942.8854,686.6446,631.6035,585.598,237.2213
Cer-AP(t19:2/12:0)+HCO2,570.437,524.4315,270.2064,215.1653,169.1598,235.2056
Cer-AP(t19:2/12:1)+HCO2,568.4213,522.4158,268.1907,213.1496,167.1441,235.2056
Cer-AP(t19:2/13:0)+HCO2,584.4526,538.4471,284.222,229.1809,183.1754,235.2056
Cer-AP(t19:2/13:1)+HCO2,582.437,536.4315,282.2064,227.1653,181.1598,235.2056
Cer-AP(t19:2/14:0)+HCO2,598.4683,552.4628,298.2377,243.1966,197.1911,235.2056
Cer-AP(t19:2/14:1)+HCO2,596.4526,550.4471,296.222,241.1809,195.1754,235.2056
Cer-AP(t19:2/15:0)+HCO2,612.4839,566.4785,312.2533,257.2122,211.2067,235.2056
Cer-AP(t19:2/15:1)+HCO2,610.4683,564.4628,310.2377,255.1966,209.1911,235.2056
Cer-AP(t19:2/16:0)+HCO2,626.4996,580.4941,326.269,271.2279,225.2224,235.2056
Cer-AP(t19:2/16:1)+HCO2,624.4839,578.4785,324.2533,269.2122,223.2067,235.2056
Cer-AP(t19:2/16:2)+HCO2,622.4683,576.4628,322.2377,267.1966,221.1911,235.2056
Cer-AP(t19:2/17:0)+HCO2,640.5153,594.5098,340.2846,285.2435,239.238,235.2056
Cer-AP(t19:2/18:0)+HCO2,654.5309,608.5254,354.3003,299.2592,253.2537,235.2056
Cer-AP(t19:2/18:1)+HCO2,652.5153,606.5098,352.2846,297.2435,251.238,235.2056
Cer-AP(t19:2/18:2)+HCO2,650.4996,604.4941,350.269,295.2279,249.2224,235.2056
Cer-AP(t19:2/19:0)+HCO2,668.5465,622.5411,368.3159,313.2748,267.2693,235.2056
Cer-AP(t19:2/19:1)+HCO2,666.5309,620.5254,366.3003,311.2592,265.2537,235.2056
Cer-AP(t19:2/20:0)+HCO2,682.5622,636.5567,382.3316,327.2905,281.285,235.2056
Cer-AP(t19:2/20:1)+HCO2,680.5465,634.5411,380.3159,325.2748,279.2693,235.2056
Cer-AP(t19:2/20:2)+HCO2,678.5309,632.5254,378.3003,323.2592,277.2537,235.2056
Cer-AP(t19:2/21:0)+HCO2,696.5778,650.5723,396.3472,341.3061,295.3006,235.2056
Cer-AP(t19:2/21:1)+HCO2,694.5622,648.5567,394.3316,339.2905,293.285,235.2056
Cer-AP(t19:2/22:0)+HCO2,710.5935,664.588,410.3629,355.3218,309.3163,235.2056
Cer-AP(t19:2/22:1)+HCO2,708.5778,662.5723,408.3472,353.3061,307.3006,235.2056
Cer-AP(t19:2/22:2)+HCO2,706.5622,660.5567,406.3316,351.2905,305.285,235.2056
Cer-AP(t19:2/23:0)+HCO2,724.6091,678.6036,424.3785,369.3374,323.3319,235.2056
Cer-AP(t19:2/23:1)+HCO2,722.5935,676.588,422.3629,367.3218,321.3163,235.2056
Cer-AP(t19:2/24:0)+HCO2,738.6248,692.6193,438.3942,383.3531,337.3476,235.2056
Cer-AP(t19:2/24:1)+HCO2,736.6091,690.6036,436.3785,381.3374,335.3319,235.2056
Cer-AP(t19:2/24:2)+HCO2,734.5935,688.588,434.3629,379.3218,333.3163,235.2056
Cer-AP(t19:2/25:0)+HCO2,752.6404,706.6349,452.4099,397.3687,351.3633,235.2056
Cer-AP(t19:2/25:1)+HCO2,750.6248,704.6193,450.3942,395.3531,349.3476,235.2056
Cer-AP(t19:2/26:0)+HCO2,766.6561,720.6506,466.4255,411.3844,365.3789,235.2056
Cer-AP(t19:2/26:1)+HCO2,764.6404,718.6349,464.4099,409.3687,363.3633,235.2056
Cer-AP(t19:2/26:2)+HCO2,762.6248,716.6193,462.3942,407.3531,361.3476,235.2056
Cer-AP(t19:2/27:0)+HCO2,780.6718,734.6663,480.4411,425.4,379.3945,235.2056
Cer-AP(t19:2/27:1)+HCO2,778.6561,732.6506,478.4255,423.3844,377.3789,235.2056
Cer-AP(t19:2/28:0)+HCO2,794.6874,748.6819,494.4568,439.4157,393.4102,235.2056
Cer-AP(t19:2/28:1)+HCO2,792.6718,746.6663,492.4411,437.4,391.3945,235.2056
Cer-AP(t19:2/28:2)+HCO2,790.6561,744.6506,490.4255,435.3844,389.3789,235.2056
Cer-AP(t19:2/29:0)+HCO2,808.703,762.6976,508.4724,453.4313,407.4258,235.2056
Cer-AP(t19:2/29:1)+HCO2,806.6874,760.6819,506.4568,451.4157,405.4102,235.2056
Cer-AP(t19:2/30:0)+HCO2,822.7187,776.7132,522.4881,467.447,421.4415,235.2056
Cer-AP(t19:2/30:1)+HCO2,820.703,774.6976,520.4724,465.4313,419.4258,235.2056
Cer-AP(t19:2/30:2)+HCO2,818.6874,772.6819,518.4568,463.4157,417.4102,235.2056
Cer-AP(t19:2/31:0)+HCO2,836.7343,790.7289,536.5037,481.4626,435.4572,235.2056
Cer-AP(t19:2/31:1)+HCO2,834.7187,788.7132,534.4881,479.447,433.4415,235.2056
Cer-AP(t19:2/32:0)+HCO2,850.75,804.7445,550.5194,495.4783,449.4728,235.2056
Cer-AP(t19:2/32:1)+HCO2,848.7343,802.7289,548.5037,493.4626,447.4572,235.2056
Cer-AP(t19:2/32:2)+HCO2,846.7187,800.7132,546.4881,491.447,445.4415,235.2056
Cer-AP(t19:2/33:0)+HCO2,864.7656,818.7601,564.535,509.4939,463.4884,235.2056
Cer-AP(t19:2/33:1)+HCO2,862.75,816.7445,562.5194,507.4783,461.4728,235.2056
Cer-AP(t19:2/34:0)+HCO2,878.7813,832.7758,578.5507,523.5096,477.5041,235.2056
Cer-AP(t19:2/34:1)+HCO2,876.7656,830.7601,576.535,521.494,475.4884,235.2056
Cer-AP(t19:2/34:2)+HCO2,874.75,828.7445,574.5194,519.4783,473.4728,235.2056
Cer-AP(t19:2/35:0)+HCO2,892.7969,846.7914,592.5663,537.5252,491.5197,235.2056
Cer-AP(t19:2/35:1)+HCO2,890.7813,844.7758,590.5507,535.5096,489.5041,235.2056
Cer-AP(t19:2/36:0)+HCO2,906.8126,860.8071,606.582,551.5409,505.5354,235.2056
