Cer-AP,[M+HCO2]-,[M-H]-,[FA+NC(C)CO-H]-,[FA+O-H]-,[FA-CO-3H]-,[Sph-NC(CO)CO-H]-
Cer-AP(t14:0/38:0)+HCO2,868.7969,822.7914,634.6133,579.5722,533.5667,169.1587
Cer-AP(t14:0/38:1)+HCO2,866.7813,820.7758,632.5977,577.5565,531.551,169.1587
Cer-AP(t14:0/38:2)+HCO2,864.7656,818.7601,630.582,575.5409,529.5354,169.1587
Cer-AP(t14:0/40:0)+HCO2,896.8282,850.8228,662.6446,607.6035,561.598,169.1587
Cer-AP(t14:0/40:1)+HCO2,894.8126,848.8071,660.629,605.5878,559.5823,169.1587
Cer-AP(t14:0/40:2)+HCO2,892.7969,846.7914,658.6133,603.5722,557.5667,169.1587
Cer-AP(t14:0/42:0)+HCO2,924.8596,878.8541,690.6759,635.6348,589.6293,169.1587
Cer-AP(t14:0/42:1)+HCO2,922.8439,876.8384,688.6602,633.6191,587.6136,169.1587
Cer-AP(t14:0/42:2)+HCO2,920.8282,874.8228,686.6446,631.6035,585.598,169.1587
Cer-AP(t14:1/12:0)+HCO2,502.3744,456.3689,270.2064,215.1653,169.1598,167.1431
Cer-AP(t14:1/12:1)+HCO2,500.3587,454.3532,268.1907,213.1496,167.1441,167.1431
Cer-AP(t14:1/13:0)+HCO2,516.39,470.3846,284.222,229.1809,183.1754,167.1431
Cer-AP(t14:1/13:1)+HCO2,514.3744,468.3689,282.2064,227.1653,181.1598,167.1431
Cer-AP(t14:1/14:0)+HCO2,530.4057,484.4002,298.2377,243.1966,197.1911,167.1431
Cer-AP(t14:1/14:1)+HCO2,528.39,482.3846,296.222,241.1809,195.1754,167.1431
Cer-AP(t14:1/15:0)+HCO2,544.4213,498.4159,312.2533,257.2122,211.2067,167.1431
Cer-AP(t14:1/15:1)+HCO2,542.4057,496.4002,310.2377,255.1966,209.1911,167.1431
Cer-AP(t14:1/16:0)+HCO2,558.437,512.4315,326.269,271.2279,225.2224,167.1431
Cer-AP(t14:1/16:1)+HCO2,556.4213,510.4159,324.2533,269.2122,223.2067,167.1431
Cer-AP(t14:1/16:2)+HCO2,554.4057,508.4002,322.2377,267.1966,221.1911,167.1431
Cer-AP(t14:1/17:0)+HCO2,572.4526,526.4471,340.2846,285.2435,239.238,167.1431
Cer-AP(t14:1/18:0)+HCO2,586.4683,540.4628,354.3003,299.2592,253.2537,167.1431
Cer-AP(t14:1/18:1)+HCO2,584.4526,538.4471,352.2846,297.2435,251.238,167.1431
Cer-AP(t14:1/18:2)+HCO2,582.437,536.4315,350.269,295.2279,249.2224,167.1431
Cer-AP(t14:1/19:0)+HCO2,600.4839,554.4785,368.3159,313.2748,267.2693,167.1431
Cer-AP(t14:1/19:1)+HCO2,598.4683,552.4628,366.3003,311.2592,265.2537,167.1431
Cer-AP(t14:1/20:0)+HCO2,614.4996,568.4941,382.3316,327.2905,281.285,167.1431
Cer-AP(t14:1/20:1)+HCO2,612.4839,566.4785,380.3159,325.2748,279.2693,167.1431
Cer-AP(t14:1/20:2)+HCO2,610.4683,564.4628,378.3003,323.2592,277.2537,167.1431
Cer-AP(t14:1/21:0)+HCO2,628.5153,582.5098,396.3472,341.3061,295.3006,167.1431
Cer-AP(t14:1/21:1)+HCO2,626.4996,580.4941,394.3316,339.2905,293.285,167.1431
Cer-AP(t14:1/22:0)+HCO2,642.5309,596.5254,410.3629,355.3218,309.3163,167.1431
Cer-AP(t14:1/22:1)+HCO2,640.5153,594.5098,408.3472,353.3061,307.3006,167.1431
Cer-AP(t14:1/22:2)+HCO2,638.4996,592.4941,406.3316,351.2905,305.285,167.1431
Cer-AP(t14:1/23:0)+HCO2,656.5465,610.5411,424.3785,369.3374,323.3319,167.1431
Cer-AP(t14:1/23:1)+HCO2,654.5309,608.5254,422.3629,367.3218,321.3163,167.1431
Cer-AP(t14:1/24:0)+HCO2,670.5622,624.5567,438.3942,383.3531,337.3476,167.1431
Cer-AP(t14:1/24:1)+HCO2,668.5465,622.5411,436.3785,381.3374,335.3319,167.1431
Cer-AP(t14:1/24:2)+HCO2,666.5309,620.5254,434.3629,379.3218,333.3163,167.1431
Cer-AP(t14:1/25:0)+HCO2,684.5778,638.5723,452.4099,397.3687,351.3633,167.1431
Cer-AP(t14:1/25:1)+HCO2,682.5622,636.5567,450.3942,395.3531,349.3476,167.1431
Cer-AP(t14:1/26:0)+HCO2,698.5935,652.588,466.4255,411.3844,365.3789,167.1431
Cer-AP(t14:1/26:1)+HCO2,696.5778,650.5723,464.4099,409.3687,363.3633,167.1431
Cer-AP(t14:1/26:2)+HCO2,694.5622,648.5567,462.3942,407.3531,361.3476,167.1431
Cer-AP(t14:1/27:0)+HCO2,712.6091,666.6036,480.4411,425.4,379.3945,167.1431
Cer-AP(t14:1/27:1)+HCO2,710.5935,664.588,478.4255,423.3844,377.3789,167.1431
Cer-AP(t14:1/28:0)+HCO2,726.6248,680.6193,494.4568,439.4157,393.4102,167.1431
Cer-AP(t14:1/28:1)+HCO2,724.6091,678.6036,492.4411,437.4,391.3945,167.1431
Cer-AP(t14:1/28:2)+HCO2,722.5935,676.588,490.4255,435.3844,389.3789,167.1431
Cer-AP(t14:1/29:0)+HCO2,740.6404,694.6349,508.4724,453.4313,407.4258,167.1431
Cer-AP(t14:1/29:1)+HCO2,738.6248,692.6193,506.4568,451.4157,405.4102,167.1431
Cer-AP(t14:1/30:0)+HCO2,754.6561,708.6506,522.4881,467.447,421.4415,167.1431
Cer-AP(t14:1/30:1)+HCO2,752.6404,706.6349,520.4724,465.4313,419.4258,167.1431
Cer-AP(t14:1/30:2)+HCO2,750.6248,704.6193,518.4568,463.4157,417.4102,167.1431
Cer-AP(t14:1/31:0)+HCO2,768.6718,722.6663,536.5037,481.4626,435.4572,167.1431
Cer-AP(t14:1/31:1)+HCO2,766.6561,720.6506,534.4881,479.447,433.4415,167.1431
Cer-AP(t14:1/32:0)+HCO2,782.6874,736.6819,550.5194,495.4783,449.4728,167.1431
Cer-AP(t14:1/32:1)+HCO2,780.6718,734.6663,548.5037,493.4626,447.4572,167.1431
Cer-AP(t14:1/32:2)+HCO2,778.6561,732.6506,546.4881,491.447,445.4415,167.1431
Cer-AP(t14:1/33:0)+HCO2,796.703,750.6976,564.535,509.4939,463.4884,167.1431
Cer-AP(t14:1/33:1)+HCO2,794.6874,748.6819,562.5194,507.4783,461.4728,167.1431
Cer-AP(t14:1/34:0)+HCO2,810.7187,764.7132,578.5507,523.5096,477.5041,167.1431
Cer-AP(t14:1/34:1)+HCO2,808.703,762.6976,576.535,521.494,475.4884,167.1431
Cer-AP(t14:1/34:2)+HCO2,806.6874,760.6819,574.5194,519.4783,473.4728,167.1431
Cer-AP(t14:1/35:0)+HCO2,824.7343,778.7289,592.5663,537.5252,491.5197,167.1431
Cer-AP(t14:1/35:1)+HCO2,822.7187,776.7132,590.5507,535.5096,489.5041,167.1431
Cer-AP(t14:1/36:0)+HCO2,838.75,792.7445,606.582,551.5409,505.5354,167.1431
Cer-AP(t14:1/36:1)+HCO2,836.7343,790.7289,604.5663,549.5252,503.5197,167.1431
Cer-AP(t14:1/36:2)+HCO2,834.7187,788.7132,602.5507,547.5096,501.5041,167.1431
Cer-AP(t14:1/38:0)+HCO2,866.7813,820.7758,634.6133,579.5722,533.5667,167.1431
Cer-AP(t14:1/38:1)+HCO2,864.7656,818.7601,632.5977,577.5565,531.551,167.1431
Cer-AP(t14:1/38:2)+HCO2,862.75,816.7445,630.582,575.5409,529.5354,167.1431
Cer-AP(t14:1/40:0)+HCO2,894.8126,848.8071,662.6446,607.6035,561.598,167.1431
Cer-AP(t14:1/40:1)+HCO2,892.7969,846.7914,660.629,605.5878,559.5823,167.1431
Cer-AP(t14:1/40:2)+HCO2,890.7813,844.7758,658.6133,603.5722,557.5667,167.1431
Cer-AP(t14:1/42:0)+HCO2,922.8439,876.8384,690.6759,635.6348,589.6293,167.1431
Cer-AP(t14:1/42:1)+HCO2,920.8282,874.8228,688.6602,633.6191,587.6136,167.1431
Cer-AP(t14:1/42:2)+HCO2,918.8126,872.8071,686.6446,631.6035,585.598,167.1431
Cer-AP(t14:2/12:0)+HCO2,500.3587,454.3532,270.2064,215.1653,169.1598,165.1274
Cer-AP(t14:2/12:1)+HCO2,498.3431,452.3376,268.1907,213.1496,167.1441,165.1274
Cer-AP(t14:2/13:0)+HCO2,514.3744,468.3689,284.222,229.1809,183.1754,165.1274
Cer-AP(t14:2/13:1)+HCO2,512.3587,466.3532,282.2064,227.1653,181.1598,165.1274
Cer-AP(t14:2/14:0)+HCO2,528.39,482.3846,298.2377,243.1966,197.1911,165.1274
Cer-AP(t14:2/14:1)+HCO2,526.3744,480.3689,296.222,241.1809,195.1754,165.1274
Cer-AP(t14:2/15:0)+HCO2,542.4057,496.4002,312.2533,257.2122,211.2067,165.1274
Cer-AP(t14:2/15:1)+HCO2,540.39,494.3846,310.2377,255.1966,209.1911,165.1274
Cer-AP(t14:2/16:0)+HCO2,556.4213,510.4159,326.269,271.2279,225.2224,165.1274
Cer-AP(t14:2/16:1)+HCO2,554.4057,508.4002,324.2533,269.2122,223.2067,165.1274
Cer-AP(t14:2/16:2)+HCO2,552.39,506.3846,322.2377,267.1966,221.1911,165.1274
Cer-AP(t14:2/17:0)+HCO2,570.437,524.4315,340.2846,285.2435,239.238,165.1274
Cer-AP(t14:2/18:0)+HCO2,584.4526,538.4471,354.3003,299.2592,253.2537,165.1274
Cer-AP(t14:2/18:1)+HCO2,582.437,536.4315,352.2846,297.2435,251.238,165.1274
Cer-AP(t14:2/18:2)+HCO2,580.4213,534.4158,350.269,295.2279,249.2224,165.1274
Cer-AP(t14:2/19:0)+HCO2,598.4683,552.4628,368.3159,313.2748,267.2693,165.1274
Cer-AP(t14:2/19:1)+HCO2,596.4526,550.4471,366.3003,311.2592,265.2537,165.1274
Cer-AP(t14:2/20:0)+HCO2,612.4839,566.4785,382.3316,327.2905,281.285,165.1274
Cer-AP(t14:2/20:1)+HCO2,610.4683,564.4628,380.3159,325.2748,279.2693,165.1274
