DGTS,[M+H]+,[M-H20]+,[M-(C3H9N-CHCOOH-CH2)]+,[M-(C3H9N-CHCOOH)]+,SN1 acyl loss,SN2 acyl loss,M-H2O SN1 loss ,M-H2O SN2 loss ,C10H21NO5H (236.14),C3H9N-CHCOOH-CH2-CH (144.1),C3H9N+ (59)
DGTS(10:0_14:0)+H,600.48337,582.47281,469.38875,483.4044,446.34767,390.28507,428.33711,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_14:1)+H,598.46777,580.45721,467.37315,481.3888,444.33207,390.28507,426.32151,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_15:0)+H,614.49907,596.48851,483.40445,497.4201,460.36337,390.28507,442.35281,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_15:1)+H,612.48337,594.47281,481.38875,495.4044,458.34767,390.28507,440.33711,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_16:0)+H,628.51467,610.50411,497.42005,511.4357,474.37897,390.28507,456.36841,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_16:1)+H,626.49907,608.48851,495.40445,509.4201,472.36337,390.28507,454.35281,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_17:0)+H,642.53037,624.51981,511.43575,525.4514,488.39467,390.28507,470.38411,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_17:1)+H,640.51467,622.50411,509.42005,523.4357,486.37897,390.28507,468.36841,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_17:2)+H,638.49907,620.48851,507.40445,521.4201,484.36337,390.28507,466.35281,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_18:0)+H,656.54597,638.53541,525.45135,539.467,502.41027,390.28507,484.39971,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_18:1)+H,654.53037,636.51981,523.43575,537.4514,500.39467,390.28507,482.38411,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_18:2)+H,652.51467,634.50411,521.42005,535.4357,498.37897,390.28507,480.36841,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_18:3)+H,650.49907,632.48851,519.40445,533.4201,496.36337,390.28507,478.35281,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_18:4)+H,648.48337,630.47281,517.38875,531.4044,494.34767,390.28507,476.33711,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_19:0)+H,670.56167,652.55111,539.46705,553.4827,516.42597,390.28507,498.41541,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_20:0)+H,684.57727,666.56671,553.48265,567.4983,530.44157,390.28507,512.43101,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_20:1)+H,682.56167,664.55111,551.46705,565.4827,528.42597,390.28507,510.41541,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_20:2)+H,680.54597,662.53541,549.45135,563.467,526.41027,390.28507,508.39971,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_20:3)+H,678.53037,660.51981,547.43575,561.4514,524.39467,390.28507,506.38411,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_20:4)+H,676.51467,658.50411,545.42005,559.4357,522.37897,390.28507,504.36841,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_20:5)+H,674.49907,656.48851,543.40445,557.4201,520.36337,390.28507,502.35281,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_21:0)+H,698.59297,680.58241,567.49835,581.514,544.45727,390.28507,526.44671,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_22:0)+H,712.60857,694.59801,581.51395,595.5296,558.47287,390.28507,540.46231,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_22:1)+H,710.59297,692.58241,579.49835,593.514,556.45727,390.28507,538.44671,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_22:2)+H,708.57727,690.56671,577.48265,591.4983,554.44157,390.28507,536.43101,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_22:3)+H,706.56167,688.55111,575.46705,589.4827,552.42597,390.28507,534.41541,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_22:4)+H,704.54597,686.53541,573.45135,587.467,550.41027,390.28507,532.39971,372.27451,236.1492402,144.1018984,59.0729454
