OxLPC,[M+H]+,MH-PC,MH-Tail1+H2O,PC Head,exp1,exp2,exp3
OxLPC(13:1(CHO))+H,466.25649,283.19049,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(13:2(CHO))+H,464.24084,281.17484,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(13:3(CHO))+H,462.22519,279.15919,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(14:1(CHO))+H,480.27214,297.20614,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(14:2(CHO))+H,478.25649,295.19049,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(14:3(CHO))+H,476.24084,293.17484,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(15:1(CHO))+H,494.28779,311.22179,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(15:2(CHO))+H,492.27214,309.20614,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(15:3(CHO))+H,490.25649,307.19049,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(15:4(CHO))+H,488.24084,305.17484,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(16:1(CHO))+H,508.30344,325.23744,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(16:2(CHO))+H,506.28779,323.22179,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(16:3(CHO))+H,504.27214,321.20614,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(16:4(CHO))+H,502.25649,319.19049,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(17:4(CHO))+H,516.27214,333.20614,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:4(CHO))+H,530.28779,347.22179,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:5(CHO))+H,528.27214,345.20614,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(19:4(CHO))+H,544.30344,361.23744,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(19:5(CHO))+H,542.28779,359.22179,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(3:0(COOH))+H,344.11055,161.04455,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(4:0(COOH))+H,358.1262,175.0602,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(5:0(COOH))+H,372.14185,189.07585,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(6:0(COOH))+H,386.1575,203.0915,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(7:0(COOH))+H,400.17315,217.10715,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(8:0(COOH))+H,414.1888,231.1228,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(9:0(COOH))+H,428.20445,245.13845,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(10:0(COOH))+H,442.2201,259.1541,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(11:0(COOH))+H,456.23575,273.16975,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(12:0(COOH))+H,470.2514,287.1854,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(13:0(COOH))+H,484.26705,301.20105,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(14:0(COOH))+H,498.2827,315.2167,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(15:0(COOH))+H,512.29835,329.23235,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(6:1(COOH))+H,384.14186,201.07586,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(7:1(COOH))+H,398.15751,215.09151,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(8:1(COOH))+H,412.17316,229.10716,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(9:1(COOH))+H,426.18881,243.12281,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(9:2(COOH))+H,424.17316,241.10716,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(10:1(COOH))+H,440.20446,257.13846,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(10:2(COOH))+H,438.18881,255.12281,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(11:1(COOH))+H,454.22011,271.15411,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(11:2(COOH))+H,452.20446,269.13846,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(12:1(COOH))+H,468.23576,285.16976,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(12:2(COOH))+H,466.22011,283.15411,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(12:3(COOH))+H,464.20446,281.13846,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(13:1(COOH))+H,482.25141,299.18541,258.11015,184.07332,124.9994,104.1069,86.0963
