MMPE,[M-H]-,T1_RCOO-,T2_RCOO-
MMPE(12:0_18:3)-H,670.44537,199.17035,277.21735
MMPE(12:0_18:4)-H,668.42967,199.17035,275.20165
MMPE(12:0_19:0)-H,690.50797,199.17035,297.27995
MMPE(12:0_20:0)-H,704.52357,199.17035,311.29555
MMPE(12:0_20:1)-H,702.50797,199.17035,309.27995
MMPE(12:0_20:2)-H,700.49227,199.17035,307.26425
MMPE(12:0_20:3)-H,698.47667,199.17035,305.24865
MMPE(12:0_20:4)-H,696.46097,199.17035,303.23295
MMPE(12:0_20:5)-H,694.44537,199.17035,301.21735
MMPE(12:0_21:0)-H,718.53927,199.17035,325.31125
MMPE(12:0_22:0)-H,732.55487,199.17035,339.32685
MMPE(12:0_22:1)-H,730.53927,199.17035,337.31125
MMPE(12:0_22:2)-H,728.52357,199.17035,335.29555
MMPE(12:0_22:3)-H,726.50797,199.17035,333.27995
MMPE(12:0_22:4)-H,724.49227,199.17035,331.26425
MMPE(12:0_22:5)-H,722.47667,199.17035,329.24865
MMPE(12:0_22:6)-H,720.46097,199.17035,327.23295
MMPE(12:0_23:0)-H,746.57057,199.17035,353.34255
MMPE(12:0_24:0)-H,760.58617,199.17035,367.35815
MMPE(12:0_24:1)-H,758.57057,199.17035,365.34255
MMPE(12:0_25:0)-H,774.60187,199.17035,381.37385
MMPE(12:0_26:0)-H,788.61747,199.17035,395.38945
MMPE(13:0_13:0)-H,620.42977,213.18605,213.18605
MMPE(13:0_14:0)-H,634.44537,213.18605,227.20165
MMPE(13:0_14:1)-H,632.42977,213.18605,225.18605
MMPE(13:0_15:0)-H,648.46107,213.18605,241.21735
MMPE(13:0_15:1)-H,646.44537,213.18605,239.20165
MMPE(13:0_16:0)-H,662.47667,213.18605,255.23295
MMPE(13:0_16:1)-H,660.46107,213.18605,253.21735
MMPE(13:0_17:0)-H,676.49237,213.18605,269.24865
MMPE(13:0_17:1)-H,674.47667,213.18605,267.23295
MMPE(13:0_17:2)-H,672.46107,213.18605,265.21735
