MMPE,[M-H]-,T1_RCOO-,T2_RCOO-
MMPE(18:1_20:1)-H,784.58627,281.24865,309.27995
MMPE(18:1_20:2)-H,782.57057,281.24865,307.26425
MMPE(18:1_20:3)-H,780.55497,281.24865,305.24865
MMPE(18:1_20:4)-H,778.53927,281.24865,303.23295
MMPE(18:1_20:5)-H,776.52367,281.24865,301.21735
MMPE(18:1_21:0)-H,800.61757,281.24865,325.31125
MMPE(18:1_22:0)-H,814.63317,281.24865,339.32685
MMPE(18:1_22:1)-H,812.61757,281.24865,337.31125
MMPE(18:1_22:2)-H,810.60187,281.24865,335.29555
MMPE(18:1_22:3)-H,808.58627,281.24865,333.27995
MMPE(18:1_22:4)-H,806.57057,281.24865,331.26425
MMPE(18:1_22:5)-H,804.55497,281.24865,329.24865
MMPE(18:1_22:6)-H,802.53927,281.24865,327.23295
MMPE(18:1_23:0)-H,828.64887,281.24865,353.34255
MMPE(18:1_24:0)-H,842.66447,281.24865,367.35815
MMPE(18:1_24:1)-H,840.64887,281.24865,365.34255
MMPE(18:1_25:0)-H,856.68017,281.24865,381.37385
MMPE(18:1_26:0)-H,870.69577,281.24865,395.38945
MMPE(18:2_18:2)-H,752.52357,279.23295,279.23295
MMPE(18:2_18:3)-H,750.50797,279.23295,277.21735
MMPE(18:2_18:4)-H,748.49227,279.23295,275.20165
MMPE(18:2_19:0)-H,770.57057,279.23295,297.27995
MMPE(18:2_20:0)-H,784.58617,279.23295,311.29555
MMPE(18:2_20:1)-H,782.57057,279.23295,309.27995
MMPE(18:2_20:2)-H,780.55487,279.23295,307.26425
MMPE(18:2_20:3)-H,778.53927,279.23295,305.24865
MMPE(18:2_20:4)-H,776.52357,279.23295,303.23295
MMPE(18:2_20:5)-H,774.50797,279.23295,301.21735
MMPE(18:2_21:0)-H,798.60187,279.23295,325.31125
MMPE(18:2_22:0)-H,812.61747,279.23295,339.32685
MMPE(18:2_22:1)-H,810.60187,279.23295,337.31125
MMPE(18:2_22:2)-H,808.58617,279.23295,335.29555
MMPE(18:2_22:3)-H,806.57057,279.23295,333.27995
MMPE(18:2_22:4)-H,804.55487,279.23295,331.26425
MMPE(18:2_22:5)-H,802.53927,279.23295,329.24865
MMPE(18:2_22:6)-H,800.52357,279.23295,327.23295
MMPE(18:2_23:0)-H,826.63317,279.23295,353.34255
MMPE(18:2_24:0)-H,840.64877,279.23295,367.35815
MMPE(18:2_24:1)-H,838.63317,279.23295,365.34255
MMPE(18:2_25:0)-H,854.66447,279.23295,381.37385
MMPE(18:2_26:0)-H,868.68007,279.23295,395.38945
MMPE(18:3_18:3)-H,748.49237,277.21735,277.21735
MMPE(18:3_18:4)-H,746.47667,277.21735,275.20165
MMPE(18:3_19:0)-H,768.55497,277.21735,297.27995
MMPE(18:3_20:0)-H,782.57057,277.21735,311.29555
MMPE(18:3_20:1)-H,780.55497,277.21735,309.27995
MMPE(18:3_20:2)-H,778.53927,277.21735,307.26425
MMPE(18:3_20:3)-H,776.52367,277.21735,305.24865
MMPE(18:3_20:4)-H,774.50797,277.21735,303.23295
MMPE(18:3_20:5)-H,772.49237,277.21735,301.21735
MMPE(18:3_21:0)-H,796.58627,277.21735,325.31125
MMPE(18:3_22:0)-H,810.60187,277.21735,339.32685
MMPE(18:3_22:1)-H,808.58627,277.21735,337.31125
MMPE(18:3_22:2)-H,806.57057,277.21735,335.29555
MMPE(18:3_22:3)-H,804.55497,277.21735,333.27995
MMPE(18:3_22:4)-H,802.53927,277.21735,331.26425
MMPE(18:3_22:5)-H,800.52367,277.21735,329.24865
MMPE(18:3_22:6)-H,798.50797,277.21735,327.23295
MMPE(18:3_23:0)-H,824.61757,277.21735,353.34255
MMPE(18:3_24:0)-H,838.63317,277.21735,367.35815
MMPE(18:3_24:1)-H,836.61757,277.21735,365.34255
MMPE(18:3_25:0)-H,852.64887,277.21735,381.37385
MMPE(18:3_26:0)-H,866.66447,277.21735,395.38945
MMPE(18:4_18:4)-H,744.46097,275.20165,275.20165
MMPE(18:4_19:0)-H,766.53927,275.20165,297.27995
MMPE(18:4_20:0)-H,780.55487,275.20165,311.29555
MMPE(18:4_20:1)-H,778.53927,275.20165,309.27995
MMPE(18:4_20:2)-H,776.52357,275.20165,307.26425
MMPE(18:4_20:3)-H,774.50797,275.20165,305.24865
MMPE(18:4_20:4)-H,772.49227,275.20165,303.23295
MMPE(18:4_20:5)-H,770.47667,275.20165,301.21735
MMPE(18:4_21:0)-H,794.57057,275.20165,325.31125
MMPE(18:4_22:0)-H,808.58617,275.20165,339.32685
MMPE(18:4_22:1)-H,806.57057,275.20165,337.31125
MMPE(18:4_22:2)-H,804.55487,275.20165,335.29555
MMPE(18:4_22:3)-H,802.53927,275.20165,333.27995
MMPE(18:4_22:4)-H,800.52357,275.20165,331.26425
MMPE(18:4_22:5)-H,798.50797,275.20165,329.24865
MMPE(18:4_22:6)-H,796.49227,275.20165,327.23295
MMPE(18:4_23:0)-H,822.60187,275.20165,353.34255
MMPE(18:4_24:0)-H,836.61747,275.20165,367.35815
MMPE(18:4_24:1)-H,834.60187,275.20165,365.34255
MMPE(18:4_25:0)-H,850.63317,275.20165,381.37385
MMPE(18:4_26:0)-H,864.64877,275.20165,395.38945
MMPE(19:0_19:0)-H,788.61757,297.27995,297.27995
MMPE(19:0_20:0)-H,802.63317,297.27995,311.29555
MMPE(19:0_20:1)-H,800.61757,297.27995,309.27995
MMPE(19:0_20:2)-H,798.60187,297.27995,307.26425
MMPE(19:0_20:3)-H,796.58627,297.27995,305.24865
MMPE(19:0_20:4)-H,794.57057,297.27995,303.23295
MMPE(19:0_20:5)-H,792.55497,297.27995,301.21735
MMPE(19:0_21:0)-H,816.64887,297.27995,325.31125
MMPE(19:0_22:0)-H,830.66447,297.27995,339.32685
MMPE(19:0_22:1)-H,828.64887,297.27995,337.31125
MMPE(19:0_22:2)-H,826.63317,297.27995,335.29555
MMPE(19:0_22:3)-H,824.61757,297.27995,333.27995
MMPE(19:0_22:4)-H,822.60187,297.27995,331.26425
MMPE(19:0_22:5)-H,820.58627,297.27995,329.24865
MMPE(19:0_22:6)-H,818.57057,297.27995,327.23295
MMPE(19:0_23:0)-H,844.68017,297.27995,353.34255
MMPE(19:0_24:0)-H,858.69577,297.27995,367.35815
MMPE(19:0_24:1)-H,856.68017,297.27995,365.34255
MMPE(19:0_25:0)-H,872.71147,297.27995,381.37385
MMPE(19:0_26:0)-H,886.72707,297.27995,395.38945
MMPE(20:0_20:0)-H,816.64877,311.29555,311.29555
MMPE(20:0_20:1)-H,814.63317,311.29555,309.27995
MMPE(20:0_20:2)-H,812.61747,311.29555,307.26425
MMPE(20:0_20:3)-H,810.60187,311.29555,305.24865
MMPE(20:0_20:4)-H,808.58617,311.29555,303.23295
MMPE(20:0_20:5)-H,806.57057,311.29555,301.21735
MMPE(20:0_21:0)-H,830.66447,311.29555,325.31125
MMPE(20:0_22:0)-H,844.68007,311.29555,339.32685
MMPE(20:0_22:1)-H,842.66447,311.29555,337.31125
MMPE(20:0_22:2)-H,840.64877,311.29555,335.29555
MMPE(20:0_22:3)-H,838.63317,311.29555,333.27995
MMPE(20:0_22:4)-H,836.61747,311.29555,331.26425
MMPE(20:0_22:5)-H,834.60187,311.29555,329.24865
MMPE(20:0_22:6)-H,832.58617,311.29555,327.23295
MMPE(20:0_23:0)-H,858.69577,311.29555,353.34255
MMPE(20:0_24:0)-H,872.71137,311.29555,367.35815
MMPE(20:0_24:1)-H,870.69577,311.29555,365.34255
MMPE(20:0_25:0)-H,886.72707,311.29555,381.37385
MMPE(20:0_26:0)-H,900.74267,311.29555,395.38945
MMPE(20:1_20:1)-H,812.61757,309.27995,309.27995
MMPE(20:1_20:2)-H,810.60187,309.27995,307.26425
MMPE(20:1_20:3)-H,808.58627,309.27995,305.24865
MMPE(20:1_20:4)-H,806.57057,309.27995,303.23295
MMPE(20:1_20:5)-H,804.55497,309.27995,301.21735
MMPE(20:1_21:0)-H,828.64887,309.27995,325.31125
MMPE(20:1_22:0)-H,842.66447,309.27995,339.32685
MMPE(20:1_22:1)-H,840.64887,309.27995,337.31125
MMPE(20:1_22:2)-H,838.63317,309.27995,335.29555
MMPE(20:1_22:3)-H,836.61757,309.27995,333.27995
MMPE(20:1_22:4)-H,834.60187,309.27995,331.26425
MMPE(20:1_22:5)-H,832.58627,309.27995,329.24865
MMPE(20:1_22:6)-H,830.57057,309.27995,327.23295
MMPE(20:1_23:0)-H,856.68017,309.27995,353.34255
MMPE(20:1_24:0)-H,870.69577,309.27995,367.35815
MMPE(20:1_24:1)-H,868.68017,309.27995,365.34255
MMPE(20:1_25:0)-H,884.71147,309.27995,381.37385
MMPE(20:1_26:0)-H,898.72707,309.27995,395.38945
MMPE(20:2_20:2)-H,808.58617,307.26425,307.26425
MMPE(20:2_20:3)-H,806.57057,307.26425,305.24865
MMPE(20:2_20:4)-H,804.55487,307.26425,303.23295
MMPE(20:2_20:5)-H,802.53927,307.26425,301.21735
MMPE(20:2_21:0)-H,826.63317,307.26425,325.31125
MMPE(20:2_22:0)-H,840.64877,307.26425,339.32685
MMPE(20:2_22:1)-H,838.63317,307.26425,337.31125
MMPE(20:2_22:2)-H,836.61747,307.26425,335.29555
MMPE(20:2_22:3)-H,834.60187,307.26425,333.27995
MMPE(20:2_22:4)-H,832.58617,307.26425,331.26425
MMPE(20:2_22:5)-H,830.57057,307.26425,329.24865
MMPE(20:2_22:6)-H,828.55487,307.26425,327.23295
MMPE(20:2_23:0)-H,854.66447,307.26425,353.34255
MMPE(20:2_24:0)-H,868.68007,307.26425,367.35815
MMPE(20:2_24:1)-H,866.66447,307.26425,365.34255
MMPE(20:2_25:0)-H,882.69577,307.26425,381.37385
MMPE(20:2_26:0)-H,896.71137,307.26425,395.38945
MMPE(20:3_20:3)-H,804.55497,305.24865,305.24865
MMPE(20:3_20:4)-H,802.53927,305.24865,303.23295
MMPE(20:3_20:5)-H,800.52367,305.24865,301.21735
MMPE(20:3_21:0)-H,824.61757,305.24865,325.31125
MMPE(20:3_22:0)-H,838.63317,305.24865,339.32685
MMPE(20:3_22:1)-H,836.61757,305.24865,337.31125
MMPE(20:3_22:2)-H,834.60187,305.24865,335.29555
MMPE(20:3_22:3)-H,832.58627,305.24865,333.27995
MMPE(20:3_22:4)-H,830.57057,305.24865,331.26425
MMPE(20:3_22:5)-H,828.55497,305.24865,329.24865
MMPE(20:3_22:6)-H,826.53927,305.24865,327.23295
MMPE(20:3_23:0)-H,852.64887,305.24865,353.34255
MMPE(20:3_24:0)-H,866.66447,305.24865,367.35815
MMPE(20:3_24:1)-H,864.64887,305.24865,365.34255
MMPE(20:3_25:0)-H,880.68017,305.24865,381.37385
MMPE(20:3_26:0)-H,894.69577,305.24865,395.38945
MMPE(20:4_20:4)-H,800.52357,303.23295,303.23295
MMPE(20:4_20:5)-H,798.50797,303.23295,301.21735
MMPE(20:4_21:0)-H,822.60187,303.23295,325.31125
MMPE(20:4_22:0)-H,836.61747,303.23295,339.32685
MMPE(20:4_22:1)-H,834.60187,303.23295,337.31125
MMPE(20:4_22:2)-H,832.58617,303.23295,335.29555
MMPE(20:4_22:3)-H,830.57057,303.23295,333.27995
MMPE(20:4_22:4)-H,828.55487,303.23295,331.26425
MMPE(20:4_22:5)-H,826.53927,303.23295,329.24865
MMPE(20:4_22:6)-H,824.52357,303.23295,327.23295
MMPE(20:4_23:0)-H,850.63317,303.23295,353.34255
MMPE(20:4_24:0)-H,864.64877,303.23295,367.35815
MMPE(20:4_24:1)-H,862.63317,303.23295,365.34255
MMPE(20:4_25:0)-H,878.66447,303.23295,381.37385
MMPE(20:4_26:0)-H,892.68007,303.23295,395.38945
MMPE(20:5_20:5)-H,796.49237,301.21735,301.21735
MMPE(20:5_21:0)-H,820.58627,301.21735,325.31125
MMPE(20:5_22:0)-H,834.60187,301.21735,339.32685
MMPE(20:5_22:1)-H,832.58627,301.21735,337.31125
MMPE(20:5_22:2)-H,830.57057,301.21735,335.29555
MMPE(20:5_22:3)-H,828.55497,301.21735,333.27995
MMPE(20:5_22:4)-H,826.53927,301.21735,331.26425
MMPE(20:5_22:5)-H,824.52367,301.21735,329.24865
MMPE(20:5_22:6)-H,822.50797,301.21735,327.23295
MMPE(20:5_23:0)-H,848.61757,301.21735,353.34255
MMPE(20:5_24:0)-H,862.63317,301.21735,367.35815
MMPE(20:5_24:1)-H,860.61757,301.21735,365.34255
MMPE(20:5_25:0)-H,876.64887,301.21735,381.37385
MMPE(20:5_26:0)-H,890.66447,301.21735,395.38945
MMPE(21:0_21:0)-H,844.68017,325.31125,325.31125
MMPE(21:0_22:0)-H,858.69577,325.31125,339.32685
MMPE(21:0_22:1)-H,856.68017,325.31125,337.31125
MMPE(21:0_22:2)-H,854.66447,325.31125,335.29555
MMPE(21:0_22:3)-H,852.64887,325.31125,333.27995
MMPE(21:0_22:4)-H,850.63317,325.31125,331.26425
MMPE(21:0_22:5)-H,848.61757,325.31125,329.24865
MMPE(21:0_22:6)-H,846.60187,325.31125,327.23295
MMPE(21:0_23:0)-H,872.71147,325.31125,353.34255
MMPE(21:0_24:0)-H,886.72707,325.31125,367.35815
MMPE(21:0_24:1)-H,884.71147,325.31125,365.34255
MMPE(21:0_25:0)-H,900.74277,325.31125,381.37385
MMPE(21:0_26:0)-H,914.75837,325.31125,395.38945
MMPE(22:0_22:0)-H,872.71137,339.32685,339.32685
MMPE(22:0_22:1)-H,870.69577,339.32685,337.31125
MMPE(22:0_22:2)-H,868.68007,339.32685,335.29555
MMPE(22:0_22:3)-H,866.66447,339.32685,333.27995
MMPE(22:0_22:4)-H,864.64877,339.32685,331.26425
MMPE(22:0_22:5)-H,862.63317,339.32685,329.24865
MMPE(22:0_22:6)-H,860.61747,339.32685,327.23295
MMPE(22:0_23:0)-H,886.72707,339.32685,353.34255
MMPE(22:0_24:0)-H,900.74267,339.32685,367.35815
MMPE(22:0_24:1)-H,898.72707,339.32685,365.34255
MMPE(22:0_25:0)-H,914.75837,339.32685,381.37385
MMPE(22:0_26:0)-H,928.77397,339.32685,395.38945
MMPE(22:1_22:1)-H,868.68017,337.31125,337.31125
MMPE(22:1_22:2)-H,866.66447,337.31125,335.29555
MMPE(22:1_22:3)-H,864.64887,337.31125,333.27995
MMPE(22:1_22:4)-H,862.63317,337.31125,331.26425
MMPE(22:1_22:5)-H,860.61757,337.31125,329.24865
MMPE(22:1_22:6)-H,858.60187,337.31125,327.23295
MMPE(22:1_23:0)-H,884.71147,337.31125,353.34255
MMPE(22:1_24:0)-H,898.72707,337.31125,367.35815
MMPE(22:1_24:1)-H,896.71147,337.31125,365.34255
MMPE(22:1_25:0)-H,912.74277,337.31125,381.37385
MMPE(22:1_26:0)-H,926.75837,337.31125,395.38945
MMPE(22:2_22:2)-H,864.64877,335.29555,335.29555
MMPE(22:2_22:3)-H,862.63317,335.29555,333.27995
MMPE(22:2_22:4)-H,860.61747,335.29555,331.26425
MMPE(22:2_22:5)-H,858.60187,335.29555,329.24865
MMPE(22:2_22:6)-H,856.58617,335.29555,327.23295
MMPE(22:2_23:0)-H,882.69577,335.29555,353.34255
MMPE(22:2_24:0)-H,896.71137,335.29555,367.35815
MMPE(22:2_24:1)-H,894.69577,335.29555,365.34255
MMPE(22:2_25:0)-H,910.72707,335.29555,381.37385
MMPE(22:2_26:0)-H,924.74267,335.29555,395.38945
MMPE(22:3_22:3)-H,860.61757,333.27995,333.27995
MMPE(22:3_22:4)-H,858.60187,333.27995,331.26425
MMPE(22:3_22:5)-H,856.58627,333.27995,329.24865
MMPE(22:3_22:6)-H,854.57057,333.27995,327.23295
MMPE(22:3_23:0)-H,880.68017,333.27995,353.34255
MMPE(22:3_24:0)-H,894.69577,333.27995,367.35815
MMPE(22:3_24:1)-H,892.68017,333.27995,365.34255
MMPE(22:3_25:0)-H,908.71147,333.27995,381.37385
MMPE(22:3_26:0)-H,922.72707,333.27995,395.38945
MMPE(22:4_22:4)-H,856.58617,331.26425,331.26425
MMPE(22:4_22:5)-H,854.57057,331.26425,329.24865
MMPE(22:4_22:6)-H,852.55487,331.26425,327.23295
MMPE(22:4_23:0)-H,878.66447,331.26425,353.34255
MMPE(22:4_24:0)-H,892.68007,331.26425,367.35815
MMPE(22:4_24:1)-H,890.66447,331.26425,365.34255
MMPE(22:4_25:0)-H,906.69577,331.26425,381.37385
MMPE(22:4_26:0)-H,920.71137,331.26425,395.38945
MMPE(22:5_22:5)-H,852.55497,329.24865,329.24865
MMPE(22:5_22:6)-H,850.53927,329.24865,327.23295
MMPE(22:5_23:0)-H,876.64887,329.24865,353.34255
MMPE(22:5_24:0)-H,890.66447,329.24865,367.35815
MMPE(22:5_24:1)-H,888.64887,329.24865,365.34255
MMPE(22:5_25:0)-H,904.68017,329.24865,381.37385
MMPE(22:5_26:0)-H,918.69577,329.24865,395.38945
MMPE(22:6_22:6)-H,848.52357,327.23295,327.23295
MMPE(22:6_23:0)-H,874.63317,327.23295,353.34255
MMPE(22:6_24:0)-H,888.64877,327.23295,367.35815
MMPE(22:6_24:1)-H,886.63317,327.23295,365.34255
MMPE(22:6_25:0)-H,902.66447,327.23295,381.37385
MMPE(22:6_26:0)-H,916.68007,327.23295,395.38945
MMPE(23:0_23:0)-H,900.74277,353.34255,353.34255
MMPE(23:0_24:0)-H,914.75837,353.34255,367.35815
MMPE(23:0_24:1)-H,912.74277,353.34255,365.34255
MMPE(23:0_25:0)-H,928.77407,353.34255,381.37385
MMPE(23:0_26:0)-H,942.78967,353.34255,395.38945
MMPE(24:0_24:0)-H,928.77397,367.35815,367.35815
MMPE(24:0_24:1)-H,926.75837,367.35815,365.34255
MMPE(24:0_25:0)-H,942.78967,367.35815,381.37385
MMPE(24:0_26:0)-H,956.80527,367.35815,395.38945
MMPE(24:1_24:1)-H,924.74277,365.34255,365.34255
MMPE(24:1_25:0)-H,940.77407,365.34255,381.37385
MMPE(24:1_26:0)-H,954.78967,365.34255,395.38945
MMPE(25:0_25:0)-H,956.80537,381.37385,381.37385
MMPE(25:0_26:0)-H,970.82097,381.37385,395.38945
MMPE(26:0_26:0)-H,984.83657,395.38945,395.38945
