MGDG,[M+NH4]+,DG [M+H]+,DG [M+H-H2O]+ ,sn1_NL,sn2_NL,sn1_acylChain([RC=O]+),sn2_acylChain([RC=O]+)
MGDG(11:0_20:0)+NH4,734.57762,555.49832,537.48775,369.33644,243.19568,169.15874,295.2995
MGDG(11:0_20:1)+NH4,732.56202,553.48272,535.47215,367.32084,243.19572,169.15874,293.28386
MGDG(11:0_20:2)+NH4,730.54642,551.46712,533.45655,365.30524,243.19576,169.15874,291.26822
MGDG(11:0_20:3)+NH4,728.53072,549.45142,531.44085,363.28954,243.1957,169.15874,289.25258
MGDG(11:0_20:4)+NH4,726.51508,547.43578,529.42521,361.2739,243.1957,169.15874,287.23694
MGDG(11:0_20:5)+NH4,724.49942,545.42012,527.40955,359.25824,243.19568,169.15874,285.2213
MGDG(11:0_21:0)+NH4,748.59332,569.51402,551.50345,383.35214,243.19574,169.15874,309.31514
MGDG(11:0_22:0)+NH4,762.60895,583.52965,565.51908,397.36777,243.19573,169.15874,323.33078
MGDG(11:0_22:1)+NH4,760.59332,581.51402,563.50345,395.35214,243.19574,169.15874,321.31514
MGDG(11:0_22:2)+NH4,758.57762,579.49832,561.48775,393.33644,243.19568,169.15874,319.2995
MGDG(11:0_22:4)+NH4,754.54642,575.46712,557.45655,389.30524,243.19576,169.15874,315.26822
MGDG(11:0_22:5)+NH4,752.53072,573.45142,555.44085,387.28954,243.1957,169.15874,313.25258
MGDG(11:0_22:6)+NH4,750.51508,571.43578,553.42521,385.2739,243.1957,169.15874,311.23694
MGDG(11:0_23:0)+NH4,776.62462,597.54532,579.53475,411.38344,243.19576,169.15874,337.34642
MGDG(11:0_24:0)+NH4,790.64027,611.56097,593.5504,425.39909,243.19577,169.15874,351.36206
MGDG(11:0_24:1)+NH4,788.62462,609.54532,591.53475,423.38344,243.19576,169.15874,349.34642
MGDG(11:0_24:4)+NH4,782.57762,603.49832,585.48775,417.33644,243.19568,169.15874,343.2995
MGDG(11:0_25:0)+NH4,804.65592,625.57662,607.56605,439.41474,243.19578,169.15874,365.3777
MGDG(11:0_26:0)+NH4,818.67158,639.59228,621.58171,453.4304,243.1958,169.15874,379.39334
MGDG(11:0_26:1)+NH4,816.65592,637.57662,619.56605,451.41474,243.19578,169.15874,377.3777
MGDG(11:0_26:2)+NH4,814.64027,635.56097,617.5504,449.39909,243.19577,169.15874,375.36206
