MGDG,[M+NH4]+,DG [M+H]+,DG [M+H-H2O]+ ,sn1_NL,sn2_NL,sn1_acylChain([RC=O]+),sn2_acylChain([RC=O]+)
MGDG(15:0_22:6)+NH4,806.57762,627.49832,609.48775,385.27388,299.25824,225.2213,311.23694
MGDG(15:0_23:0)+NH4,832.68722,653.60792,635.59735,411.38348,299.25836,225.2213,337.34642
MGDG(15:0_24:0)+NH4,846.70289,667.62359,649.61302,425.39915,299.25839,225.2213,351.36206
MGDG(15:0_24:1)+NH4,844.68722,665.60792,647.59735,423.38348,299.25836,225.2213,349.34642
MGDG(15:0_24:4)+NH4,838.64027,659.56097,641.5504,417.33653,299.25833,225.2213,343.2995
MGDG(15:0_25:0)+NH4,860.71852,681.63922,663.62865,439.41478,299.25838,225.2213,365.3777
MGDG(15:0_26:0)+NH4,874.73422,695.65492,677.64435,453.43048,299.25844,225.2213,379.39334
MGDG(15:0_26:1)+NH4,872.71852,693.63922,675.62865,451.41478,299.25838,225.2213,377.3777
MGDG(15:0_26:2)+NH4,870.70289,691.62359,673.61302,449.39915,299.25839,225.2213,375.36206
MGDG(15:1_15:1)+NH4,716.53072,537.45142,519.44085,297.24262,297.24262,223.20566,223.20566
MGDG(15:1_16:0)+NH4,732.56202,553.48272,535.47215,313.27392,297.24264,223.20566,239.23694
MGDG(15:1_16:1)+NH4,730.54642,551.46712,533.45655,311.25832,297.24268,223.20566,237.2213
MGDG(15:1_17:0)+NH4,746.57762,567.49832,549.48775,327.28952,297.2426,223.20566,253.25258
MGDG(15:1_17:1)+NH4,744.56202,565.48272,547.47215,325.27392,297.24264,223.20566,251.23694
MGDG(15:1_17:2)+NH4,742.54642,563.46712,545.45655,323.25832,297.24268,223.20566,249.2213
MGDG(15:1_18:0)+NH4,760.59332,581.51402,563.50345,341.30522,297.24266,223.20566,267.26822
MGDG(15:1_18:1)+NH4,758.57762,579.49832,561.48775,339.28952,297.2426,223.20566,265.25258
MGDG(15:1_18:2)+NH4,756.56202,577.48272,559.47215,337.27392,297.24264,223.20566,263.23694
MGDG(15:1_18:3)+NH4,754.54642,575.46712,557.45655,335.25832,297.24268,223.20566,261.2213
MGDG(15:1_18:4)+NH4,752.53072,573.45142,555.44085,333.24262,297.24262,223.20566,259.20566
MGDG(15:1_19:0)+NH4,774.60895,595.52965,577.51908,355.32085,297.24265,223.20566,281.28386
MGDG(15:1_20:0)+NH4,788.62462,609.54532,591.53475,369.33652,297.24268,223.20566,295.2995
MGDG(15:1_20:1)+NH4,786.60895,607.52965,589.51908,367.32085,297.24265,223.20566,293.28386
MGDG(15:1_20:2)+NH4,784.59332,605.51402,587.50345,365.30522,297.24266,223.20566,291.26822
MGDG(15:1_20:3)+NH4,782.57762,603.49832,585.48775,363.28952,297.2426,223.20566,289.25258
MGDG(15:1_20:4)+NH4,780.56202,601.48272,583.47215,361.27392,297.24264,223.20566,287.23694
MGDG(15:1_20:5)+NH4,778.54642,599.46712,581.45655,359.25832,297.24268,223.20566,285.2213
MGDG(15:1_21:0)+NH4,802.64027,623.56097,605.5504,383.35217,297.24269,223.20566,309.31514
MGDG(15:1_22:0)+NH4,816.65592,637.57662,619.56605,397.36782,297.2427,223.20566,323.33078
MGDG(15:1_22:1)+NH4,814.64027,635.56097,617.5504,395.35217,297.24269,223.20566,321.31514
MGDG(15:1_22:2)+NH4,812.62462,633.54532,615.53475,393.33652,297.24268,223.20566,319.2995
MGDG(15:1_22:4)+NH4,808.59332,629.51402,611.50345,389.30522,297.24266,223.20566,315.26822
MGDG(15:1_22:5)+NH4,806.57762,627.49832,609.48775,387.28952,297.2426,223.20566,313.25258
MGDG(15:1_22:6)+NH4,804.56202,625.48272,607.47215,385.27392,297.24264,223.20566,311.23694
MGDG(15:1_23:0)+NH4,830.67158,651.59228,633.58171,411.38348,297.24272,223.20566,337.34642
MGDG(15:1_24:0)+NH4,844.68722,665.60792,647.59735,425.39912,297.24272,223.20566,351.36206
MGDG(15:1_24:1)+NH4,842.67158,663.59228,645.58171,423.38348,297.24272,223.20566,349.34642
MGDG(15:1_24:4)+NH4,836.62462,657.54532,639.53475,417.33652,297.24268,223.20566,343.2995
MGDG(15:1_25:0)+NH4,858.70289,679.62359,661.61302,439.41479,297.24275,223.20566,365.3777
MGDG(15:1_26:0)+NH4,872.71852,693.63922,675.62865,453.43042,297.24274,223.20566,379.39334
MGDG(15:1_26:1)+NH4,870.70289,691.62359,673.61302,451.41479,297.24275,223.20566,377.3777
MGDG(15:1_26:2)+NH4,868.68722,689.60792,671.59735,449.39912,297.24272,223.20566,375.36206
MGDG(16:0_16:0)+NH4,748.59332,569.51402,551.50345,313.27394,313.27394,239.23694,239.23694
MGDG(16:0_16:1)+NH4,746.57762,567.49832,549.48775,311.25824,313.27388,239.23694,237.2213
MGDG(16:0_17:0)+NH4,762.60895,583.52965,565.51908,327.28957,313.27393,239.23694,253.25258
MGDG(16:0_17:1)+NH4,760.59332,581.51402,563.50345,325.27394,313.27394,239.23694,251.23694
MGDG(16:0_17:2)+NH4,758.57762,579.49832,561.48775,323.25824,313.27388,239.23694,249.2213
MGDG(16:0_18:0)+NH4,776.62462,597.54532,579.53475,341.30524,313.27396,239.23694,267.26822
MGDG(16:0_18:1)+NH4,774.60895,595.52965,577.51908,339.28957,313.27393,239.23694,265.25258
MGDG(16:0_18:2)+NH4,772.59332,593.51402,575.50345,337.27394,313.27394,239.23694,263.23694
MGDG(16:0_18:3)+NH4,770.57762,591.49832,573.48775,335.25824,313.27388,239.23694,261.2213
MGDG(16:0_18:4)+NH4,768.56202,589.48272,571.47215,333.24264,313.27392,239.23694,259.20566
MGDG(16:0_19:0)+NH4,790.64027,611.56097,593.5504,355.32089,313.27397,239.23694,281.28386
MGDG(16:0_20:0)+NH4,804.65592,625.57662,607.56605,369.33654,313.27398,239.23694,295.2995
MGDG(16:0_20:1)+NH4,802.64027,623.56097,605.5504,367.32089,313.27397,239.23694,293.28386
MGDG(16:0_20:2)+NH4,800.62462,621.54532,603.53475,365.30524,313.27396,239.23694,291.26822
MGDG(16:0_20:3)+NH4,798.60895,619.52965,601.51908,363.28957,313.27393,239.23694,289.25258
MGDG(16:0_20:4)+NH4,796.59332,617.51402,599.50345,361.27394,313.27394,239.23694,287.23694
MGDG(16:0_20:5)+NH4,794.57762,615.49832,597.48775,359.25824,313.27388,239.23694,285.2213
MGDG(16:0_21:0)+NH4,818.67158,639.59228,621.58171,383.3522,313.274,239.23694,309.31514
MGDG(16:0_22:0)+NH4,832.68722,653.60792,635.59735,397.36784,313.274,239.23694,323.33078
MGDG(16:0_22:1)+NH4,830.67158,651.59228,633.58171,395.3522,313.274,239.23694,321.31514
MGDG(16:0_22:2)+NH4,828.65592,649.57662,631.56605,393.33654,313.27398,239.23694,319.2995
MGDG(16:0_22:4)+NH4,824.62462,645.54532,627.53475,389.30524,313.27396,239.23694,315.26822
MGDG(16:0_22:5)+NH4,822.60895,643.52965,625.51908,387.28957,313.27393,239.23694,313.25258
MGDG(16:0_22:6)+NH4,820.59332,641.51402,623.50345,385.27394,313.27394,239.23694,311.23694
MGDG(16:0_23:0)+NH4,846.70289,667.62359,649.61302,411.38351,313.27403,239.23694,337.34642
MGDG(16:0_24:0)+NH4,860.71852,681.63922,663.62865,425.39914,313.27402,239.23694,351.36206
MGDG(16:0_24:1)+NH4,858.70289,679.62359,661.61302,423.38351,313.27403,239.23694,349.34642
MGDG(16:0_24:4)+NH4,852.65592,673.57662,655.56605,417.33654,313.27398,239.23694,343.2995
MGDG(16:0_25:0)+NH4,874.73422,695.65492,677.64435,439.41484,313.27408,239.23694,365.3777
MGDG(16:0_26:0)+NH4,888.74982,709.67052,691.65995,453.43044,313.27404,239.23694,379.39334
MGDG(16:0_26:1)+NH4,886.73422,707.65492,689.64435,451.41484,313.27408,239.23694,377.3777
MGDG(16:0_26:2)+NH4,884.71852,705.63922,687.62865,449.39914,313.27402,239.23694,375.36206
MGDG(16:1_16:1)+NH4,744.56202,565.48272,547.47215,311.25828,311.25828,237.2213,237.2213
MGDG(16:1_17:0)+NH4,760.59332,581.51402,563.50345,327.28958,311.2583,237.2213,253.25258
MGDG(16:1_17:1)+NH4,758.57762,579.49832,561.48775,325.27388,311.25824,237.2213,251.23694
MGDG(16:1_17:2)+NH4,756.56202,577.48272,559.47215,323.25828,311.25828,237.2213,249.2213
MGDG(16:1_18:0)+NH4,774.60895,595.52965,577.51908,341.30521,311.25829,237.2213,267.26822
MGDG(16:1_18:1)+NH4,772.59332,593.51402,575.50345,339.28958,311.2583,237.2213,265.25258
MGDG(16:1_18:2)+NH4,770.57762,591.49832,573.48775,337.27388,311.25824,237.2213,263.23694
MGDG(16:1_18:3)+NH4,768.56202,589.48272,571.47215,335.25828,311.25828,237.2213,261.2213
MGDG(16:1_18:4)+NH4,766.54642,587.46712,569.45655,333.24268,311.25832,237.2213,259.20566
MGDG(16:1_19:0)+NH4,788.62462,609.54532,591.53475,355.32088,311.25832,237.2213,281.28386
MGDG(16:1_20:0)+NH4,802.64027,623.56097,605.5504,369.33653,311.25833,237.2213,295.2995
MGDG(16:1_20:1)+NH4,800.62462,621.54532,603.53475,367.32088,311.25832,237.2213,293.28386
MGDG(16:1_20:2)+NH4,798.60895,619.52965,601.51908,365.30521,311.25829,237.2213,291.26822
MGDG(16:1_20:3)+NH4,796.59332,617.51402,599.50345,363.28958,311.2583,237.2213,289.25258
MGDG(16:1_20:4)+NH4,794.57762,615.49832,597.48775,361.27388,311.25824,237.2213,287.23694
MGDG(16:1_20:5)+NH4,792.56202,613.48272,595.47215,359.25828,311.25828,237.2213,285.2213
MGDG(16:1_21:0)+NH4,816.65592,637.57662,619.56605,383.35218,311.25834,237.2213,309.31514
MGDG(16:1_22:0)+NH4,830.67158,651.59228,633.58171,397.36784,311.25836,237.2213,323.33078
MGDG(16:1_22:1)+NH4,828.65592,649.57662,631.56605,395.35218,311.25834,237.2213,321.31514
MGDG(16:1_22:2)+NH4,826.64027,647.56097,629.5504,393.33653,311.25833,237.2213,319.2995
MGDG(16:1_22:4)+NH4,822.60895,643.52965,625.51908,389.30521,311.25829,237.2213,315.26822
MGDG(16:1_22:5)+NH4,820.59332,641.51402,623.50345,387.28958,311.2583,237.2213,313.25258
MGDG(16:1_22:6)+NH4,818.57762,639.49832,621.48775,385.27388,311.25824,237.2213,311.23694
MGDG(16:1_23:0)+NH4,844.68722,665.60792,647.59735,411.38348,311.25836,237.2213,337.34642
MGDG(16:1_24:0)+NH4,858.70289,679.62359,661.61302,425.39915,311.25839,237.2213,351.36206
MGDG(16:1_24:1)+NH4,856.68722,677.60792,659.59735,423.38348,311.25836,237.2213,349.34642
MGDG(16:1_24:4)+NH4,850.64027,671.56097,653.5504,417.33653,311.25833,237.2213,343.2995
MGDG(16:1_25:0)+NH4,872.71852,693.63922,675.62865,439.41478,311.25838,237.2213,365.3777
MGDG(16:1_26:0)+NH4,886.73422,707.65492,689.64435,453.43048,311.25844,237.2213,379.39334
MGDG(16:1_26:1)+NH4,884.71852,705.63922,687.62865,451.41478,311.25838,237.2213,377.3777
MGDG(16:1_26:2)+NH4,882.70289,703.62359,685.61302,449.39915,311.25839,237.2213,375.36206
MGDG(17:0_17:0)+NH4,776.62462,597.54532,579.53475,327.2896,327.2896,253.25258,253.25258
MGDG(17:0_17:1)+NH4,774.60895,595.52965,577.51908,325.27393,327.28957,253.25258,251.23694
MGDG(17:0_17:2)+NH4,772.59332,593.51402,575.50345,323.2583,327.28958,253.25258,249.2213
MGDG(17:0_18:0)+NH4,790.64027,611.56097,593.5504,341.30525,327.28961,253.25258,267.26822
MGDG(17:0_18:1)+NH4,788.62462,609.54532,591.53475,339.2896,327.2896,253.25258,265.25258
MGDG(17:0_18:2)+NH4,786.60895,607.52965,589.51908,337.27393,327.28957,253.25258,263.23694
MGDG(17:0_18:3)+NH4,784.59332,605.51402,587.50345,335.2583,327.28958,253.25258,261.2213
MGDG(17:0_18:4)+NH4,782.57762,603.49832,585.48775,333.2426,327.28952,253.25258,259.20566
MGDG(17:0_19:0)+NH4,804.65592,625.57662,607.56605,355.3209,327.28962,253.25258,281.28386
MGDG(17:0_20:0)+NH4,818.67158,639.59228,621.58171,369.33656,327.28964,253.25258,295.2995
MGDG(17:0_20:1)+NH4,816.65592,637.57662,619.56605,367.3209,327.28962,253.25258,293.28386
MGDG(17:0_20:2)+NH4,814.64027,635.56097,617.5504,365.30525,327.28961,253.25258,291.26822
MGDG(17:0_20:3)+NH4,812.62462,633.54532,615.53475,363.2896,327.2896,253.25258,289.25258
MGDG(17:0_20:4)+NH4,810.60895,631.52965,613.51908,361.27393,327.28957,253.25258,287.23694
MGDG(17:0_20:5)+NH4,808.59332,629.51402,611.50345,359.2583,327.28958,253.25258,285.2213
MGDG(17:0_21:0)+NH4,832.68722,653.60792,635.59735,383.3522,327.28964,253.25258,309.31514
MGDG(17:0_22:0)+NH4,846.70289,667.62359,649.61302,397.36787,327.28967,253.25258,323.33078
MGDG(17:0_22:1)+NH4,844.68722,665.60792,647.59735,395.3522,327.28964,253.25258,321.31514
MGDG(17:0_22:2)+NH4,842.67158,663.59228,645.58171,393.33656,327.28964,253.25258,319.2995
MGDG(17:0_22:4)+NH4,838.64027,659.56097,641.5504,389.30525,327.28961,253.25258,315.26822
MGDG(17:0_22:5)+NH4,836.62462,657.54532,639.53475,387.2896,327.2896,253.25258,313.25258
MGDG(17:0_22:6)+NH4,834.60895,655.52965,637.51908,385.27393,327.28957,253.25258,311.23694
MGDG(17:0_23:0)+NH4,860.71852,681.63922,663.62865,411.3835,327.28966,253.25258,337.34642
MGDG(17:0_24:0)+NH4,874.73422,695.65492,677.64435,425.3992,327.28972,253.25258,351.36206
MGDG(17:0_24:1)+NH4,872.71852,693.63922,675.62865,423.3835,327.28966,253.25258,349.34642
MGDG(17:0_24:4)+NH4,866.67158,687.59228,669.58171,417.33656,327.28964,253.25258,343.2995
MGDG(17:0_25:0)+NH4,888.74982,709.67052,691.65995,439.4148,327.28968,253.25258,365.3777
MGDG(17:0_26:0)+NH4,902.76542,723.68612,705.67555,453.4304,327.28964,253.25258,379.39334
MGDG(17:0_26:1)+NH4,900.74982,721.67052,703.65995,451.4148,327.28968,253.25258,377.3777
MGDG(17:0_26:2)+NH4,898.73422,719.65492,701.64435,449.3992,327.28972,253.25258,375.36206
MGDG(17:1_17:1)+NH4,772.59332,593.51402,575.50345,325.27394,325.27394,251.23694,251.23694
MGDG(17:1_17:2)+NH4,770.57762,591.49832,573.48775,323.25824,325.27388,251.23694,249.2213
MGDG(17:1_18:0)+NH4,788.62462,609.54532,591.53475,341.30524,325.27396,251.23694,267.26822
MGDG(17:1_18:1)+NH4,786.60895,607.52965,589.51908,339.28957,325.27393,251.23694,265.25258
MGDG(17:1_18:2)+NH4,784.59332,605.51402,587.50345,337.27394,325.27394,251.23694,263.23694
MGDG(17:1_18:3)+NH4,782.57762,603.49832,585.48775,335.25824,325.27388,251.23694,261.2213
MGDG(17:1_18:4)+NH4,780.56202,601.48272,583.47215,333.24264,325.27392,251.23694,259.20566
MGDG(17:1_19:0)+NH4,802.64027,623.56097,605.5504,355.32089,325.27397,251.23694,281.28386
MGDG(17:1_20:0)+NH4,816.65592,637.57662,619.56605,369.33654,325.27398,251.23694,295.2995
MGDG(17:1_20:1)+NH4,814.64027,635.56097,617.5504,367.32089,325.27397,251.23694,293.28386
MGDG(17:1_20:2)+NH4,812.62462,633.54532,615.53475,365.30524,325.27396,251.23694,291.26822
MGDG(17:1_20:3)+NH4,810.60895,631.52965,613.51908,363.28957,325.27393,251.23694,289.25258
MGDG(17:1_20:4)+NH4,808.59332,629.51402,611.50345,361.27394,325.27394,251.23694,287.23694
MGDG(17:1_20:5)+NH4,806.57762,627.49832,609.48775,359.25824,325.27388,251.23694,285.2213
MGDG(17:1_21:0)+NH4,830.67158,651.59228,633.58171,383.3522,325.274,251.23694,309.31514
MGDG(17:1_22:0)+NH4,844.68722,665.60792,647.59735,397.36784,325.274,251.23694,323.33078
MGDG(17:1_22:1)+NH4,842.67158,663.59228,645.58171,395.3522,325.274,251.23694,321.31514
MGDG(17:1_22:2)+NH4,840.65592,661.57662,643.56605,393.33654,325.27398,251.23694,319.2995
MGDG(17:1_22:4)+NH4,836.62462,657.54532,639.53475,389.30524,325.27396,251.23694,315.26822
MGDG(17:1_22:5)+NH4,834.60895,655.52965,637.51908,387.28957,325.27393,251.23694,313.25258
MGDG(17:1_22:6)+NH4,832.59332,653.51402,635.50345,385.27394,325.27394,251.23694,311.23694
MGDG(17:1_23:0)+NH4,858.70289,679.62359,661.61302,411.38351,325.27403,251.23694,337.34642
MGDG(17:1_24:0)+NH4,872.71852,693.63922,675.62865,425.39914,325.27402,251.23694,351.36206
MGDG(17:1_24:1)+NH4,870.70289,691.62359,673.61302,423.38351,325.27403,251.23694,349.34642
MGDG(17:1_24:4)+NH4,864.65592,685.57662,667.56605,417.33654,325.27398,251.23694,343.2995
MGDG(17:1_25:0)+NH4,886.73422,707.65492,689.64435,439.41484,325.27408,251.23694,365.3777
MGDG(17:1_26:0)+NH4,900.74982,721.67052,703.65995,453.43044,325.27404,251.23694,379.39334
MGDG(17:1_26:1)+NH4,898.73422,719.65492,701.64435,451.41484,325.27408,251.23694,377.3777
MGDG(17:1_26:2)+NH4,896.71852,717.63922,699.62865,449.39914,325.27402,251.23694,375.36206
MGDG(17:2_17:2)+NH4,768.56202,589.48272,571.47215,323.25828,323.25828,249.2213,249.2213
MGDG(17:2_18:0)+NH4,786.60895,607.52965,589.51908,341.30521,323.25829,249.2213,267.26822
MGDG(17:2_18:1)+NH4,784.59332,605.51402,587.50345,339.28958,323.2583,249.2213,265.25258
MGDG(17:2_18:2)+NH4,782.57762,603.49832,585.48775,337.27388,323.25824,249.2213,263.23694
MGDG(17:2_18:3)+NH4,780.56202,601.48272,583.47215,335.25828,323.25828,249.2213,261.2213
MGDG(17:2_18:4)+NH4,778.54642,599.46712,581.45655,333.24268,323.25832,249.2213,259.20566
MGDG(17:2_19:0)+NH4,800.62462,621.54532,603.53475,355.32088,323.25832,249.2213,281.28386
MGDG(17:2_20:0)+NH4,814.64027,635.56097,617.5504,369.33653,323.25833,249.2213,295.2995
MGDG(17:2_20:1)+NH4,812.62462,633.54532,615.53475,367.32088,323.25832,249.2213,293.28386
MGDG(17:2_20:2)+NH4,810.60895,631.52965,613.51908,365.30521,323.25829,249.2213,291.26822
MGDG(17:2_20:3)+NH4,808.59332,629.51402,611.50345,363.28958,323.2583,249.2213,289.25258
MGDG(17:2_20:4)+NH4,806.57762,627.49832,609.48775,361.27388,323.25824,249.2213,287.23694
MGDG(17:2_20:5)+NH4,804.56202,625.48272,607.47215,359.25828,323.25828,249.2213,285.2213
MGDG(17:2_21:0)+NH4,828.65592,649.57662,631.56605,383.35218,323.25834,249.2213,309.31514
MGDG(17:2_22:0)+NH4,842.67158,663.59228,645.58171,397.36784,323.25836,249.2213,323.33078
MGDG(17:2_22:1)+NH4,840.65592,661.57662,643.56605,395.35218,323.25834,249.2213,321.31514
MGDG(17:2_22:2)+NH4,838.64027,659.56097,641.5504,393.33653,323.25833,249.2213,319.2995
MGDG(17:2_22:4)+NH4,834.60895,655.52965,637.51908,389.30521,323.25829,249.2213,315.26822
MGDG(17:2_22:5)+NH4,832.59332,653.51402,635.50345,387.28958,323.2583,249.2213,313.25258
MGDG(17:2_22:6)+NH4,830.57762,651.49832,633.48775,385.27388,323.25824,249.2213,311.23694
MGDG(17:2_23:0)+NH4,856.68722,677.60792,659.59735,411.38348,323.25836,249.2213,337.34642
MGDG(17:2_24:0)+NH4,870.70289,691.62359,673.61302,425.39915,323.25839,249.2213,351.36206
MGDG(17:2_24:1)+NH4,868.68722,689.60792,671.59735,423.38348,323.25836,249.2213,349.34642
MGDG(17:2_24:4)+NH4,862.64027,683.56097,665.5504,417.33653,323.25833,249.2213,343.2995
MGDG(17:2_25:0)+NH4,884.71852,705.63922,687.62865,439.41478,323.25838,249.2213,365.3777
MGDG(17:2_26:0)+NH4,898.73422,719.65492,701.64435,453.43048,323.25844,249.2213,379.39334
MGDG(17:2_26:1)+NH4,896.71852,717.63922,699.62865,451.41478,323.25838,249.2213,377.3777
MGDG(17:2_26:2)+NH4,894.70289,715.62359,697.61302,449.39915,323.25839,249.2213,375.36206
MGDG(18:0_18:0)+NH4,804.65592,625.57662,607.56605,341.30526,341.30526,267.26822,267.26822
MGDG(18:0_18:1)+NH4,802.64027,623.56097,605.5504,339.28961,341.30525,267.26822,265.25258
MGDG(18:0_18:2)+NH4,800.62462,621.54532,603.53475,337.27396,341.30524,267.26822,263.23694
MGDG(18:0_18:3)+NH4,798.60895,619.52965,601.51908,335.25829,341.30521,267.26822,261.2213
MGDG(18:0_18:4)+NH4,796.59332,617.51402,599.50345,333.24266,341.30522,267.26822,259.20566
MGDG(18:0_19:0)+NH4,818.67158,639.59228,621.58171,355.32092,341.30528,267.26822,281.28386
MGDG(18:0_20:0)+NH4,832.68722,653.60792,635.59735,369.33656,341.30528,267.26822,295.2995
MGDG(18:0_20:1)+NH4,830.67158,651.59228,633.58171,367.32092,341.30528,267.26822,293.28386
MGDG(18:0_20:2)+NH4,828.65592,649.57662,631.56605,365.30526,341.30526,267.26822,291.26822
MGDG(18:0_20:3)+NH4,826.64027,647.56097,629.5504,363.28961,341.30525,267.26822,289.25258
MGDG(18:0_20:4)+NH4,824.62462,645.54532,627.53475,361.27396,341.30524,267.26822,287.23694
MGDG(18:0_20:5)+NH4,822.60895,643.52965,625.51908,359.25829,341.30521,267.26822,285.2213
MGDG(18:0_21:0)+NH4,846.70289,667.62359,649.61302,383.35223,341.30531,267.26822,309.31514
MGDG(18:0_22:0)+NH4,860.71852,681.63922,663.62865,397.36786,341.3053,267.26822,323.33078
MGDG(18:0_22:1)+NH4,858.70289,679.62359,661.61302,395.35223,341.30531,267.26822,321.31514
MGDG(18:0_22:2)+NH4,856.68722,677.60792,659.59735,393.33656,341.30528,267.26822,319.2995
MGDG(18:0_22:4)+NH4,852.65592,673.57662,655.56605,389.30526,341.30526,267.26822,315.26822
MGDG(18:0_22:5)+NH4,850.64027,671.56097,653.5504,387.28961,341.30525,267.26822,313.25258
MGDG(18:0_22:6)+NH4,848.62462,669.54532,651.53475,385.27396,341.30524,267.26822,311.23694
MGDG(18:0_23:0)+NH4,874.73422,695.65492,677.64435,411.38356,341.30536,267.26822,337.34642
MGDG(18:0_24:0)+NH4,888.74982,709.67052,691.65995,425.39916,341.30532,267.26822,351.36206
MGDG(18:0_24:1)+NH4,886.73422,707.65492,689.64435,423.38356,341.30536,267.26822,349.34642
MGDG(18:0_24:4)+NH4,880.68722,701.60792,683.59735,417.33656,341.30528,267.26822,343.2995
MGDG(18:0_25:0)+NH4,902.76542,723.68612,705.67555,439.41476,341.30528,267.26822,365.3777
MGDG(18:0_26:0)+NH4,916.78112,737.70182,719.69125,453.43046,341.30534,267.26822,379.39334
MGDG(18:0_26:1)+NH4,914.76542,735.68612,717.67555,451.41476,341.30528,267.26822,377.3777
MGDG(18:0_26:2)+NH4,912.74982,733.67052,715.65995,449.39916,341.30532,267.26822,375.36206
MGDG(18:1_18:1)+NH4,800.62462,621.54532,603.53475,339.2896,339.2896,265.25258,265.25258
MGDG(18:1_18:2)+NH4,798.60895,619.52965,601.51908,337.27393,339.28957,265.25258,263.23694
MGDG(18:1_18:3)+NH4,796.59332,617.51402,599.50345,335.2583,339.28958,265.25258,261.2213
MGDG(18:1_18:4)+NH4,794.57762,615.49832,597.48775,333.2426,339.28952,265.25258,259.20566
MGDG(18:1_19:0)+NH4,816.65592,637.57662,619.56605,355.3209,339.28962,265.25258,281.28386
MGDG(18:1_20:0)+NH4,830.67158,651.59228,633.58171,369.33656,339.28964,265.25258,295.2995
MGDG(18:1_20:1)+NH4,828.65592,649.57662,631.56605,367.3209,339.28962,265.25258,293.28386
MGDG(18:1_20:2)+NH4,826.64027,647.56097,629.5504,365.30525,339.28961,265.25258,291.26822
MGDG(18:1_20:3)+NH4,824.62462,645.54532,627.53475,363.2896,339.2896,265.25258,289.25258
MGDG(18:1_20:4)+NH4,822.60895,643.52965,625.51908,361.27393,339.28957,265.25258,287.23694
MGDG(18:1_20:5)+NH4,820.59332,641.51402,623.50345,359.2583,339.28958,265.25258,285.2213
MGDG(18:1_21:0)+NH4,844.68722,665.60792,647.59735,383.3522,339.28964,265.25258,309.31514
MGDG(18:1_22:0)+NH4,858.70289,679.62359,661.61302,397.36787,339.28967,265.25258,323.33078
MGDG(18:1_22:1)+NH4,856.68722,677.60792,659.59735,395.3522,339.28964,265.25258,321.31514
MGDG(18:1_22:2)+NH4,854.67158,675.59228,657.58171,393.33656,339.28964,265.25258,319.2995
MGDG(18:1_22:4)+NH4,850.64027,671.56097,653.5504,389.30525,339.28961,265.25258,315.26822
MGDG(18:1_22:5)+NH4,848.62462,669.54532,651.53475,387.2896,339.2896,265.25258,313.25258
MGDG(18:1_22:6)+NH4,846.60895,667.52965,649.51908,385.27393,339.28957,265.25258,311.23694
MGDG(18:1_23:0)+NH4,872.71852,693.63922,675.62865,411.3835,339.28966,265.25258,337.34642
MGDG(18:1_24:0)+NH4,886.73422,707.65492,689.64435,425.3992,339.28972,265.25258,351.36206
MGDG(18:1_24:1)+NH4,884.71852,705.63922,687.62865,423.3835,339.28966,265.25258,349.34642
MGDG(18:1_24:4)+NH4,878.67158,699.59228,681.58171,417.33656,339.28964,265.25258,343.2995
MGDG(18:1_25:0)+NH4,900.74982,721.67052,703.65995,439.4148,339.28968,265.25258,365.3777
MGDG(18:1_26:0)+NH4,914.76542,735.68612,717.67555,453.4304,339.28964,265.25258,379.39334
MGDG(18:1_26:1)+NH4,912.74982,733.67052,715.65995,451.4148,339.28968,265.25258,377.3777
MGDG(18:1_26:2)+NH4,910.73422,731.65492,713.64435,449.3992,339.28972,265.25258,375.36206
MGDG(18:2_18:2)+NH4,796.59332,617.51402,599.50345,337.27394,337.27394,263.23694,263.23694
MGDG(18:2_18:3)+NH4,794.57762,615.49832,597.48775,335.25824,337.27388,263.23694,261.2213
MGDG(18:2_18:4)+NH4,792.56202,613.48272,595.47215,333.24264,337.27392,263.23694,259.20566
MGDG(18:2_19:0)+NH4,814.64027,635.56097,617.5504,355.32089,337.27397,263.23694,281.28386
MGDG(18:2_20:0)+NH4,828.65592,649.57662,631.56605,369.33654,337.27398,263.23694,295.2995
MGDG(18:2_20:1)+NH4,826.64027,647.56097,629.5504,367.32089,337.27397,263.23694,293.28386
MGDG(18:2_20:2)+NH4,824.62462,645.54532,627.53475,365.30524,337.27396,263.23694,291.26822
MGDG(18:2_20:3)+NH4,822.60895,643.52965,625.51908,363.28957,337.27393,263.23694,289.25258
MGDG(18:2_20:4)+NH4,820.59332,641.51402,623.50345,361.27394,337.27394,263.23694,287.23694
MGDG(18:2_20:5)+NH4,818.57762,639.49832,621.48775,359.25824,337.27388,263.23694,285.2213
MGDG(18:2_21:0)+NH4,842.67158,663.59228,645.58171,383.3522,337.274,263.23694,309.31514
MGDG(18:2_22:0)+NH4,856.68722,677.60792,659.59735,397.36784,337.274,263.23694,323.33078
MGDG(18:2_22:1)+NH4,854.67158,675.59228,657.58171,395.3522,337.274,263.23694,321.31514
MGDG(18:2_22:2)+NH4,852.65592,673.57662,655.56605,393.33654,337.27398,263.23694,319.2995
MGDG(18:2_22:4)+NH4,848.62462,669.54532,651.53475,389.30524,337.27396,263.23694,315.26822
MGDG(18:2_22:5)+NH4,846.60895,667.52965,649.51908,387.28957,337.27393,263.23694,313.25258
MGDG(18:2_22:6)+NH4,844.59332,665.51402,647.50345,385.27394,337.27394,263.23694,311.23694
