BMP,[M+NH4]+,[M-C3H8O6P]+,[SN2+C3H5O]+,[SN1+C3H5O]+
BMP(2:0_24:0)+NH4,656.4497,467.4106,425.3989,117.0546
BMP(2:0_24:1)+NH4,654.4341,465.3949,423.3833,117.0546
BMP(2:0_24:2)+NH4,652.4184,463.3793,421.3676,117.0546
BMP(2:0_24:4)+NH4,648.3871,459.348,417.3363,117.0546
BMP(2:0_25:0)+NH4,670.4653,481.4262,439.4146,117.0546
BMP(2:0_26:0)+NH4,684.481,495.4419,453.4302,117.0546
BMP(2:0_26:1)+NH4,682.4653,493.4262,451.4146,117.0546
BMP(2:0_26:2)+NH4,680.4497,491.4106,449.3989,117.0546
BMP(2:0_26:4)+NH4,676.4184,487.3793,445.3676,117.0546
BMP(2:0_27:0)+NH4,698.4966,509.4575,467.4459,117.0546
BMP(3:0_3:0)+NH4,376.1367,187.0976,131.0703,131.0703
BMP(3:0_4:0)+NH4,390.1524,201.1132,145.0859,131.0703
BMP(3:0_5:0)+NH4,404.168,215.1289,159.1016,131.0703
BMP(3:0_6:0)+NH4,418.1837,229.1445,173.1172,131.0703
BMP(3:0_7:0)+NH4,432.1993,243.1602,187.1329,131.0703
BMP(3:0_8:0)+NH4,446.215,257.1758,201.1485,131.0703
BMP(3:0_9:0)+NH4,460.2306,271.1915,215.1642,131.0703
BMP(3:0_10:0)+NH4,474.2462,285.2071,229.1798,131.0703
BMP(3:0_11:0)+NH4,488.2619,299.2228,243.1955,131.0703
BMP(3:0_12:0)+NH4,502.2776,313.2384,257.2111,131.0703
BMP(3:0_13:0)+NH4,516.2932,327.2541,271.2268,131.0703
BMP(3:0_13:1)+NH4,514.2776,325.2384,269.2111,131.0703
BMP(3:0_14:0)+NH4,530.3088,341.2697,285.2424,131.0703
BMP(3:0_14:1)+NH4,528.2932,339.2541,283.2268,131.0703
BMP(3:0_15:0)+NH4,544.3245,355.2854,299.2581,131.0703
BMP(3:0_15:1)+NH4,542.3088,353.2697,297.2424,131.0703
BMP(3:0_16:0)+NH4,558.3401,369.301,313.2737,131.0703
BMP(3:0_16:1)+NH4,556.3245,367.2854,311.2581,131.0703
BMP(3:0_16:2)+NH4,554.3088,365.2697,309.2424,131.0703
BMP(3:0_16:3)+NH4,552.2932,363.2541,307.2268,131.0703
BMP(3:0_16:4)+NH4,550.2776,361.2384,305.2111,131.0703
BMP(3:0_17:0)+NH4,572.3558,383.3167,327.2894,131.0703
BMP(3:0_17:1)+NH4,570.3401,381.301,325.2737,131.0703
BMP(3:0_17:2)+NH4,568.3245,379.2854,323.2581,131.0703
BMP(3:0_18:0)+NH4,586.3715,397.3323,341.305,131.0703
BMP(3:0_18:1)+NH4,584.3558,395.3167,339.2894,131.0703
BMP(3:0_18:2)+NH4,582.3401,393.301,337.2737,131.0703
BMP(3:0_18:3)+NH4,580.3245,391.2854,335.2581,131.0703
BMP(3:0_18:4)+NH4,578.3088,389.2697,333.2424,131.0703
BMP(3:0_18:5)+NH4,576.2932,387.2541,331.2268,131.0703
BMP(3:0_19:0)+NH4,600.3871,411.348,355.3207,131.0703
BMP(3:0_19:1)+NH4,598.3715,409.3323,353.305,131.0703
BMP(3:0_19:2)+NH4,596.3558,407.3167,351.2894,131.0703
BMP(3:0_20:0)+NH4,614.4028,425.3636,369.3363,131.0703
BMP(3:0_20:1)+NH4,612.3871,423.348,367.3207,131.0703
BMP(3:0_20:2)+NH4,610.3715,421.3323,365.305,131.0703
BMP(3:0_20:3)+NH4,608.3558,419.3167,363.2894,131.0703
BMP(3:0_20:4)+NH4,606.3401,417.301,361.2737,131.0703
BMP(3:0_20:5)+NH4,604.3245,415.2854,359.2581,131.0703
BMP(3:0_21:0)+NH4,628.4184,439.3793,383.352,131.0703
BMP(3:0_21:1)+NH4,626.4028,437.3636,381.3363,131.0703
BMP(3:0_21:2)+NH4,624.3871,435.348,379.3207,131.0703
BMP(3:0_22:0)+NH4,642.4341,453.3949,397.3676,131.0703
BMP(3:0_22:1)+NH4,640.4184,451.3793,395.352,131.0703
BMP(3:0_22:2)+NH4,638.4028,449.3636,393.3363,131.0703
BMP(3:0_22:3)+NH4,636.3871,447.348,391.3207,131.0703
BMP(3:0_22:4)+NH4,634.3715,445.3323,389.305,131.0703
BMP(3:0_22:5)+NH4,632.3558,443.3167,387.2894,131.0703
BMP(3:0_22:6)+NH4,630.3401,441.301,385.2737,131.0703
BMP(3:0_23:0)+NH4,656.4497,467.4106,411.3833,131.0703
BMP(3:0_24:0)+NH4,670.4653,481.4262,425.3989,131.0703
BMP(3:0_24:1)+NH4,668.4497,479.4106,423.3833,131.0703
BMP(3:0_24:2)+NH4,666.4341,477.3949,421.3676,131.0703
BMP(3:0_24:4)+NH4,662.4028,473.3636,417.3363,131.0703
BMP(3:0_25:0)+NH4,684.481,495.4419,439.4146,131.0703
BMP(3:0_26:0)+NH4,698.4966,509.4575,453.4302,131.0703
BMP(3:0_26:1)+NH4,696.481,507.4419,451.4146,131.0703
BMP(3:0_26:2)+NH4,694.4653,505.4262,449.3989,131.0703
BMP(3:0_26:4)+NH4,690.4341,501.3949,445.3676,131.0703
BMP(3:0_27:0)+NH4,712.5123,523.4732,467.4459,131.0703
BMP(4:0_4:0)+NH4,404.168,215.1289,145.0859,145.0859
BMP(4:0_5:0)+NH4,418.1837,229.1445,159.1016,145.0859
BMP(4:0_6:0)+NH4,432.1993,243.1602,173.1172,145.0859
BMP(4:0_7:0)+NH4,446.215,257.1758,187.1329,145.0859
BMP(4:0_8:0)+NH4,460.2306,271.1915,201.1485,145.0859
BMP(4:0_9:0)+NH4,474.2462,285.2071,215.1642,145.0859
BMP(4:0_10:0)+NH4,488.2619,299.2228,229.1798,145.0859
BMP(4:0_11:0)+NH4,502.2776,313.2384,243.1955,145.0859
BMP(4:0_12:0)+NH4,516.2932,327.2541,257.2111,145.0859
BMP(4:0_13:0)+NH4,530.3088,341.2697,271.2268,145.0859
BMP(4:0_13:1)+NH4,528.2932,339.2541,269.2111,145.0859
BMP(4:0_14:0)+NH4,544.3245,355.2854,285.2424,145.0859
BMP(4:0_14:1)+NH4,542.3088,353.2697,283.2268,145.0859
BMP(4:0_15:0)+NH4,558.3401,369.301,299.2581,145.0859
BMP(4:0_15:1)+NH4,556.3245,367.2854,297.2424,145.0859
BMP(4:0_16:0)+NH4,572.3558,383.3167,313.2737,145.0859
BMP(4:0_16:1)+NH4,570.3401,381.301,311.2581,145.0859
BMP(4:0_16:2)+NH4,568.3245,379.2854,309.2424,145.0859
BMP(4:0_16:3)+NH4,566.3088,377.2697,307.2268,145.0859
BMP(4:0_16:4)+NH4,564.2932,375.2541,305.2111,145.0859
BMP(4:0_17:0)+NH4,586.3715,397.3323,327.2894,145.0859
BMP(4:0_17:1)+NH4,584.3558,395.3167,325.2737,145.0859
BMP(4:0_17:2)+NH4,582.3401,393.301,323.2581,145.0859
BMP(4:0_18:0)+NH4,600.3871,411.348,341.305,145.0859
BMP(4:0_18:1)+NH4,598.3715,409.3323,339.2894,145.0859
BMP(4:0_18:2)+NH4,596.3558,407.3167,337.2737,145.0859
BMP(4:0_18:3)+NH4,594.3401,405.301,335.2581,145.0859
BMP(4:0_18:4)+NH4,592.3245,403.2854,333.2424,145.0859
BMP(4:0_18:5)+NH4,590.3088,401.2697,331.2268,145.0859
BMP(4:0_19:0)+NH4,614.4028,425.3636,355.3207,145.0859
BMP(4:0_19:1)+NH4,612.3871,423.348,353.305,145.0859
BMP(4:0_19:2)+NH4,610.3715,421.3323,351.2894,145.0859
BMP(4:0_20:0)+NH4,628.4184,439.3793,369.3363,145.0859
BMP(4:0_20:1)+NH4,626.4028,437.3636,367.3207,145.0859
BMP(4:0_20:2)+NH4,624.3871,435.348,365.305,145.0859
BMP(4:0_20:3)+NH4,622.3715,433.3323,363.2894,145.0859
BMP(4:0_20:4)+NH4,620.3558,431.3167,361.2737,145.0859
BMP(4:0_20:5)+NH4,618.3401,429.301,359.2581,145.0859
BMP(4:0_21:0)+NH4,642.4341,453.3949,383.352,145.0859
BMP(4:0_21:1)+NH4,640.4184,451.3793,381.3363,145.0859
BMP(4:0_21:2)+NH4,638.4028,449.3636,379.3207,145.0859
BMP(4:0_22:0)+NH4,656.4497,467.4106,397.3676,145.0859
BMP(4:0_22:1)+NH4,654.4341,465.3949,395.352,145.0859
BMP(4:0_22:2)+NH4,652.4184,463.3793,393.3363,145.0859
BMP(4:0_22:3)+NH4,650.4028,461.3636,391.3207,145.0859
BMP(4:0_22:4)+NH4,648.3871,459.348,389.305,145.0859
BMP(4:0_22:5)+NH4,646.3715,457.3323,387.2894,145.0859
BMP(4:0_22:6)+NH4,644.3558,455.3167,385.2737,145.0859
BMP(4:0_23:0)+NH4,670.4653,481.4262,411.3833,145.0859
BMP(4:0_24:0)+NH4,684.481,495.4419,425.3989,145.0859
BMP(4:0_24:1)+NH4,682.4653,493.4262,423.3833,145.0859
BMP(4:0_24:2)+NH4,680.4497,491.4106,421.3676,145.0859
BMP(4:0_24:4)+NH4,676.4184,487.3793,417.3363,145.0859
BMP(4:0_25:0)+NH4,698.4966,509.4575,439.4146,145.0859
BMP(4:0_26:0)+NH4,712.5123,523.4732,453.4302,145.0859
BMP(4:0_26:1)+NH4,710.4966,521.4575,451.4146,145.0859
BMP(4:0_26:2)+NH4,708.481,519.4419,449.3989,145.0859
BMP(4:0_26:4)+NH4,704.4497,515.4106,445.3676,145.0859
BMP(4:0_27:0)+NH4,726.528,537.4888,467.4459,145.0859
BMP(5:0_5:0)+NH4,432.1993,243.1602,159.1016,159.1016
BMP(5:0_6:0)+NH4,446.215,257.1758,173.1172,159.1016
BMP(5:0_7:0)+NH4,460.2306,271.1915,187.1329,159.1016
BMP(5:0_8:0)+NH4,474.2462,285.2071,201.1485,159.1016
BMP(5:0_9:0)+NH4,488.2619,299.2228,215.1642,159.1016
BMP(5:0_10:0)+NH4,502.2776,313.2384,229.1798,159.1016
BMP(5:0_11:0)+NH4,516.2932,327.2541,243.1955,159.1016
BMP(5:0_12:0)+NH4,530.3088,341.2697,257.2111,159.1016
BMP(5:0_13:0)+NH4,544.3245,355.2854,271.2268,159.1016
BMP(5:0_13:1)+NH4,542.3088,353.2697,269.2111,159.1016
BMP(5:0_14:0)+NH4,558.3401,369.301,285.2424,159.1016
BMP(5:0_14:1)+NH4,556.3245,367.2854,283.2268,159.1016
BMP(5:0_15:0)+NH4,572.3558,383.3167,299.2581,159.1016
BMP(5:0_15:1)+NH4,570.3401,381.301,297.2424,159.1016
BMP(5:0_16:0)+NH4,586.3715,397.3323,313.2737,159.1016
BMP(5:0_16:1)+NH4,584.3558,395.3167,311.2581,159.1016
BMP(5:0_16:2)+NH4,582.3401,393.301,309.2424,159.1016
BMP(5:0_16:3)+NH4,580.3245,391.2854,307.2268,159.1016
BMP(5:0_16:4)+NH4,578.3088,389.2697,305.2111,159.1016
BMP(5:0_17:0)+NH4,600.3871,411.348,327.2894,159.1016
BMP(5:0_17:1)+NH4,598.3715,409.3323,325.2737,159.1016
BMP(5:0_17:2)+NH4,596.3558,407.3167,323.2581,159.1016
