BMP,[M+NH4]+,[M-C3H8O6P]+,[SN2+C3H5O]+,[SN1+C3H5O]+
BMP(8:0_18:4)+NH4,648.3871,459.348,333.2424,201.1485
BMP(8:0_18:5)+NH4,646.3715,457.3323,331.2268,201.1485
BMP(8:0_19:0)+NH4,670.4653,481.4262,355.3207,201.1485
BMP(8:0_19:1)+NH4,668.4497,479.4106,353.305,201.1485
BMP(8:0_19:2)+NH4,666.4341,477.3949,351.2894,201.1485
BMP(8:0_20:0)+NH4,684.481,495.4419,369.3363,201.1485
BMP(8:0_20:1)+NH4,682.4653,493.4262,367.3207,201.1485
BMP(8:0_20:2)+NH4,680.4497,491.4106,365.305,201.1485
BMP(8:0_20:3)+NH4,678.4341,489.3949,363.2894,201.1485
BMP(8:0_20:4)+NH4,676.4184,487.3793,361.2737,201.1485
BMP(8:0_20:5)+NH4,674.4028,485.3636,359.2581,201.1485
BMP(8:0_21:0)+NH4,698.4966,509.4575,383.352,201.1485
BMP(8:0_21:1)+NH4,696.481,507.4419,381.3363,201.1485
BMP(8:0_21:2)+NH4,694.4653,505.4262,379.3207,201.1485
BMP(8:0_22:0)+NH4,712.5123,523.4732,397.3676,201.1485
BMP(8:0_22:1)+NH4,710.4966,521.4575,395.352,201.1485
BMP(8:0_22:2)+NH4,708.481,519.4419,393.3363,201.1485
BMP(8:0_22:3)+NH4,706.4653,517.4262,391.3207,201.1485
BMP(8:0_22:4)+NH4,704.4497,515.4106,389.305,201.1485
BMP(8:0_22:5)+NH4,702.4341,513.395,387.2894,201.1485
BMP(8:0_22:6)+NH4,700.4184,511.3793,385.2737,201.1485
BMP(8:0_23:0)+NH4,726.528,537.4888,411.3833,201.1485
BMP(8:0_24:0)+NH4,740.5436,551.5045,425.3989,201.1485
BMP(8:0_24:1)+NH4,738.528,549.4888,423.3833,201.1485
BMP(8:0_24:2)+NH4,736.5123,547.4732,421.3676,201.1485
BMP(8:0_24:4)+NH4,732.481,543.4419,417.3363,201.1485
BMP(8:0_25:0)+NH4,754.5593,565.5201,439.4146,201.1485
BMP(8:0_26:0)+NH4,768.5749,579.5358,453.4302,201.1485
BMP(8:0_26:1)+NH4,766.5593,577.5201,451.4146,201.1485
BMP(8:0_26:2)+NH4,764.5436,575.5045,449.3989,201.1485
BMP(8:0_26:4)+NH4,760.5123,571.4732,445.3676,201.1485
BMP(8:0_27:0)+NH4,782.5906,593.5515,467.4459,201.1485
BMP(9:0_9:0)+NH4,544.3245,355.2854,215.1642,215.1642
BMP(9:0_10:0)+NH4,558.3401,369.301,229.1798,215.1642
BMP(9:0_11:0)+NH4,572.3558,383.3167,243.1955,215.1642
BMP(9:0_12:0)+NH4,586.3715,397.3323,257.2111,215.1642
BMP(9:0_13:0)+NH4,600.3871,411.348,271.2268,215.1642
BMP(9:0_13:1)+NH4,598.3715,409.3323,269.2111,215.1642
BMP(9:0_14:0)+NH4,614.4028,425.3636,285.2424,215.1642
BMP(9:0_14:1)+NH4,612.3871,423.348,283.2268,215.1642
BMP(9:0_15:0)+NH4,628.4184,439.3793,299.2581,215.1642
BMP(9:0_15:1)+NH4,626.4028,437.3636,297.2424,215.1642
BMP(9:0_16:0)+NH4,642.4341,453.3949,313.2737,215.1642
BMP(9:0_16:1)+NH4,640.4184,451.3793,311.2581,215.1642
BMP(9:0_16:2)+NH4,638.4028,449.3636,309.2424,215.1642
BMP(9:0_16:3)+NH4,636.3871,447.348,307.2268,215.1642
BMP(9:0_16:4)+NH4,634.3715,445.3323,305.2111,215.1642
BMP(9:0_17:0)+NH4,656.4497,467.4106,327.2894,215.1642
BMP(9:0_17:1)+NH4,654.4341,465.3949,325.2737,215.1642
BMP(9:0_17:2)+NH4,652.4184,463.3793,323.2581,215.1642
BMP(9:0_18:0)+NH4,670.4653,481.4262,341.305,215.1642
BMP(9:0_18:1)+NH4,668.4497,479.4106,339.2894,215.1642
BMP(9:0_18:2)+NH4,666.4341,477.3949,337.2737,215.1642
BMP(9:0_18:3)+NH4,664.4184,475.3793,335.2581,215.1642
BMP(9:0_18:4)+NH4,662.4028,473.3636,333.2424,215.1642
BMP(9:0_18:5)+NH4,660.3871,471.348,331.2268,215.1642
BMP(9:0_19:0)+NH4,684.481,495.4419,355.3207,215.1642
BMP(9:0_19:1)+NH4,682.4653,493.4262,353.305,215.1642
BMP(9:0_19:2)+NH4,680.4497,491.4106,351.2894,215.1642
BMP(9:0_20:0)+NH4,698.4966,509.4575,369.3363,215.1642
BMP(9:0_20:1)+NH4,696.481,507.4419,367.3207,215.1642
BMP(9:0_20:2)+NH4,694.4653,505.4262,365.305,215.1642
BMP(9:0_20:3)+NH4,692.4497,503.4106,363.2894,215.1642
BMP(9:0_20:4)+NH4,690.4341,501.3949,361.2737,215.1642
BMP(9:0_20:5)+NH4,688.4184,499.3793,359.2581,215.1642
BMP(9:0_21:0)+NH4,712.5123,523.4732,383.352,215.1642
BMP(9:0_21:1)+NH4,710.4966,521.4575,381.3363,215.1642
BMP(9:0_21:2)+NH4,708.481,519.4419,379.3207,215.1642
BMP(9:0_22:0)+NH4,726.528,537.4888,397.3676,215.1642
BMP(9:0_22:1)+NH4,724.5123,535.4732,395.352,215.1642
BMP(9:0_22:2)+NH4,722.4966,533.4575,393.3363,215.1642
BMP(9:0_22:3)+NH4,720.481,531.4419,391.3207,215.1642
BMP(9:0_22:4)+NH4,718.4653,529.4262,389.305,215.1642
BMP(9:0_22:5)+NH4,716.4497,527.4106,387.2894,215.1642
BMP(9:0_22:6)+NH4,714.4341,525.395,385.2737,215.1642
BMP(9:0_23:0)+NH4,740.5436,551.5045,411.3833,215.1642
BMP(9:0_24:0)+NH4,754.5593,565.5201,425.3989,215.1642
BMP(9:0_24:1)+NH4,752.5436,563.5045,423.3833,215.1642
BMP(9:0_24:2)+NH4,750.528,561.4888,421.3676,215.1642
BMP(9:0_24:4)+NH4,746.4966,557.4575,417.3363,215.1642
BMP(9:0_25:0)+NH4,768.5749,579.5358,439.4146,215.1642
BMP(9:0_26:0)+NH4,782.5906,593.5515,453.4302,215.1642
BMP(9:0_26:1)+NH4,780.5749,591.5358,451.4146,215.1642
BMP(9:0_26:2)+NH4,778.5593,589.5201,449.3989,215.1642
BMP(9:0_26:4)+NH4,774.528,585.4888,445.3676,215.1642
BMP(9:0_27:0)+NH4,796.6062,607.5671,467.4459,215.1642
BMP(10:0_10:0)+NH4,572.3558,383.3167,229.1798,229.1798
BMP(10:0_11:0)+NH4,586.3715,397.3323,243.1955,229.1798
BMP(10:0_12:0)+NH4,600.3871,411.348,257.2111,229.1798
BMP(10:0_13:0)+NH4,614.4028,425.3636,271.2268,229.1798
BMP(10:0_13:1)+NH4,612.3871,423.348,269.2111,229.1798
BMP(10:0_14:0)+NH4,628.4184,439.3793,285.2424,229.1798
BMP(10:0_14:1)+NH4,626.4028,437.3636,283.2268,229.1798
BMP(10:0_15:0)+NH4,642.4341,453.3949,299.2581,229.1798
BMP(10:0_15:1)+NH4,640.4184,451.3793,297.2424,229.1798
BMP(10:0_16:0)+NH4,656.4497,467.4106,313.2737,229.1798
BMP(10:0_16:1)+NH4,654.4341,465.3949,311.2581,229.1798
BMP(10:0_16:2)+NH4,652.4184,463.3793,309.2424,229.1798
BMP(10:0_16:3)+NH4,650.4028,461.3636,307.2268,229.1798
BMP(10:0_16:4)+NH4,648.3871,459.348,305.2111,229.1798
BMP(10:0_17:0)+NH4,670.4653,481.4262,327.2894,229.1798
BMP(10:0_17:1)+NH4,668.4497,479.4106,325.2737,229.1798
BMP(10:0_17:2)+NH4,666.4341,477.3949,323.2581,229.1798
BMP(10:0_18:0)+NH4,684.481,495.4419,341.305,229.1798
BMP(10:0_18:1)+NH4,682.4653,493.4262,339.2894,229.1798
BMP(10:0_18:2)+NH4,680.4497,491.4106,337.2737,229.1798
BMP(10:0_18:3)+NH4,678.4341,489.3949,335.2581,229.1798
BMP(10:0_18:4)+NH4,676.4184,487.3793,333.2424,229.1798
BMP(10:0_18:5)+NH4,674.4028,485.3636,331.2268,229.1798
BMP(10:0_19:0)+NH4,698.4966,509.4575,355.3207,229.1798
BMP(10:0_19:1)+NH4,696.481,507.4419,353.305,229.1798
BMP(10:0_19:2)+NH4,694.4653,505.4262,351.2894,229.1798
BMP(10:0_20:0)+NH4,712.5123,523.4732,369.3363,229.1798
BMP(10:0_20:1)+NH4,710.4966,521.4575,367.3207,229.1798
BMP(10:0_20:2)+NH4,708.481,519.4419,365.305,229.1798
BMP(10:0_20:3)+NH4,706.4653,517.4262,363.2894,229.1798
BMP(10:0_20:4)+NH4,704.4497,515.4106,361.2737,229.1798
BMP(10:0_20:5)+NH4,702.4341,513.395,359.2581,229.1798
BMP(10:0_21:0)+NH4,726.528,537.4888,383.352,229.1798
BMP(10:0_21:1)+NH4,724.5123,535.4732,381.3363,229.1798
BMP(10:0_21:2)+NH4,722.4966,533.4575,379.3207,229.1798
BMP(10:0_22:0)+NH4,740.5436,551.5045,397.3676,229.1798
BMP(10:0_22:1)+NH4,738.528,549.4888,395.352,229.1798
BMP(10:0_22:2)+NH4,736.5123,547.4732,393.3363,229.1798
BMP(10:0_22:3)+NH4,734.4966,545.4575,391.3207,229.1798
BMP(10:0_22:4)+NH4,732.481,543.4419,389.305,229.1798
BMP(10:0_22:5)+NH4,730.4653,541.4262,387.2894,229.1798
BMP(10:0_22:6)+NH4,728.4497,539.4106,385.2737,229.1798
BMP(10:0_23:0)+NH4,754.5593,565.5201,411.3833,229.1798
BMP(10:0_24:0)+NH4,768.5749,579.5358,425.3989,229.1798
BMP(10:0_24:1)+NH4,766.5593,577.5201,423.3833,229.1798
BMP(10:0_24:2)+NH4,764.5436,575.5045,421.3676,229.1798
BMP(10:0_24:4)+NH4,760.5123,571.4732,417.3363,229.1798
BMP(10:0_25:0)+NH4,782.5906,593.5515,439.4146,229.1798
BMP(10:0_26:0)+NH4,796.6062,607.5671,453.4302,229.1798
BMP(10:0_26:1)+NH4,794.5906,605.5515,451.4146,229.1798
BMP(10:0_26:2)+NH4,792.5749,603.5358,449.3989,229.1798
BMP(10:0_26:4)+NH4,788.5436,599.5045,445.3676,229.1798
BMP(10:0_27:0)+NH4,810.6219,621.5827,467.4459,229.1798
BMP(11:0_11:0)+NH4,600.3871,411.348,243.1955,243.1955
BMP(11:0_12:0)+NH4,614.4028,425.3636,257.2111,243.1955
BMP(11:0_13:0)+NH4,628.4184,439.3793,271.2268,243.1955
BMP(11:0_13:1)+NH4,626.4028,437.3636,269.2111,243.1955
BMP(11:0_14:0)+NH4,642.4341,453.3949,285.2424,243.1955
BMP(11:0_14:1)+NH4,640.4184,451.3793,283.2268,243.1955
BMP(11:0_15:0)+NH4,656.4497,467.4106,299.2581,243.1955
BMP(11:0_15:1)+NH4,654.4341,465.3949,297.2424,243.1955
BMP(11:0_16:0)+NH4,670.4653,481.4262,313.2737,243.1955
BMP(11:0_16:1)+NH4,668.4497,479.4106,311.2581,243.1955
BMP(11:0_16:2)+NH4,666.4341,477.3949,309.2424,243.1955
BMP(11:0_16:3)+NH4,664.4184,475.3793,307.2268,243.1955
BMP(11:0_16:4)+NH4,662.4028,473.3636,305.2111,243.1955
BMP(11:0_17:0)+NH4,684.481,495.4419,327.2894,243.1955
BMP(11:0_17:1)+NH4,682.4653,493.4262,325.2737,243.1955
BMP(11:0_17:2)+NH4,680.4497,491.4106,323.2581,243.1955
BMP(11:0_18:0)+NH4,698.4966,509.4575,341.305,243.1955
BMP(11:0_18:1)+NH4,696.481,507.4419,339.2894,243.1955
BMP(11:0_18:2)+NH4,694.4653,505.4262,337.2737,243.1955
BMP(11:0_18:3)+NH4,692.4497,503.4106,335.2581,243.1955
BMP(11:0_18:4)+NH4,690.4341,501.3949,333.2424,243.1955
BMP(11:0_18:5)+NH4,688.4184,499.3793,331.2268,243.1955
BMP(11:0_19:0)+NH4,712.5123,523.4732,355.3207,243.1955
BMP(11:0_19:1)+NH4,710.4966,521.4575,353.305,243.1955
BMP(11:0_19:2)+NH4,708.481,519.4419,351.2894,243.1955
BMP(11:0_20:0)+NH4,726.528,537.4888,369.3363,243.1955
BMP(11:0_20:1)+NH4,724.5123,535.4732,367.3207,243.1955
BMP(11:0_20:2)+NH4,722.4966,533.4575,365.305,243.1955
BMP(11:0_20:3)+NH4,720.481,531.4419,363.2894,243.1955
BMP(11:0_20:4)+NH4,718.4653,529.4262,361.2737,243.1955
BMP(11:0_20:5)+NH4,716.4497,527.4106,359.2581,243.1955
BMP(11:0_21:0)+NH4,740.5436,551.5045,383.352,243.1955
BMP(11:0_21:1)+NH4,738.528,549.4888,381.3363,243.1955
BMP(11:0_21:2)+NH4,736.5123,547.4732,379.3207,243.1955
BMP(11:0_22:0)+NH4,754.5593,565.5201,397.3676,243.1955
BMP(11:0_22:1)+NH4,752.5436,563.5045,395.352,243.1955
BMP(11:0_22:2)+NH4,750.528,561.4888,393.3363,243.1955
BMP(11:0_22:3)+NH4,748.5123,559.4732,391.3207,243.1955
BMP(11:0_22:4)+NH4,746.4966,557.4575,389.305,243.1955
BMP(11:0_22:5)+NH4,744.481,555.4419,387.2894,243.1955
BMP(11:0_22:6)+NH4,742.4653,553.4262,385.2737,243.1955
BMP(11:0_23:0)+NH4,768.5749,579.5358,411.3833,243.1955
BMP(11:0_24:0)+NH4,782.5906,593.5515,425.3989,243.1955
BMP(11:0_24:1)+NH4,780.5749,591.5358,423.3833,243.1955
BMP(11:0_24:2)+NH4,778.5593,589.5201,421.3676,243.1955
BMP(11:0_24:4)+NH4,774.528,585.4888,417.3363,243.1955
BMP(11:0_25:0)+NH4,796.6062,607.5671,439.4146,243.1955
BMP(11:0_26:0)+NH4,810.6219,621.5827,453.4302,243.1955
BMP(11:0_26:1)+NH4,808.6062,619.5671,451.4146,243.1955
BMP(11:0_26:2)+NH4,806.5906,617.5515,449.3989,243.1955
BMP(11:0_26:4)+NH4,802.5593,613.5201,445.3676,243.1955
BMP(11:0_27:0)+NH4,824.6375,635.5984,467.4459,243.1955
BMP(12:0_12:0)+NH4,628.4184,439.3793,257.2111,257.2111
BMP(12:0_13:0)+NH4,642.4341,453.3949,271.2268,257.2111
BMP(12:0_13:1)+NH4,640.4184,451.3793,269.2111,257.2111
BMP(12:0_14:0)+NH4,656.4497,467.4106,285.2424,257.2111
BMP(12:0_14:1)+NH4,654.4341,465.3949,283.2268,257.2111
BMP(12:0_15:0)+NH4,670.4653,481.4262,299.2581,257.2111
BMP(12:0_15:1)+NH4,668.4497,479.4106,297.2424,257.2111
BMP(12:0_16:0)+NH4,684.481,495.4419,313.2737,257.2111
BMP(12:0_16:1)+NH4,682.4653,493.4262,311.2581,257.2111
BMP(12:0_16:2)+NH4,680.4497,491.4106,309.2424,257.2111
BMP(12:0_16:3)+NH4,678.4341,489.3949,307.2268,257.2111
BMP(12:0_16:4)+NH4,676.4184,487.3793,305.2111,257.2111
BMP(12:0_17:0)+NH4,698.4966,509.4575,327.2894,257.2111
BMP(12:0_17:1)+NH4,696.481,507.4419,325.2737,257.2111
BMP(12:0_17:2)+NH4,694.4653,505.4262,323.2581,257.2111
BMP(12:0_18:0)+NH4,712.5123,523.4732,341.305,257.2111
BMP(12:0_18:1)+NH4,710.4966,521.4575,339.2894,257.2111
BMP(12:0_18:2)+NH4,708.481,519.4419,337.2737,257.2111
BMP(12:0_18:3)+NH4,706.4653,517.4262,335.2581,257.2111
BMP(12:0_18:4)+NH4,704.4497,515.4106,333.2424,257.2111
BMP(12:0_18:5)+NH4,702.4341,513.395,331.2268,257.2111
BMP(12:0_19:0)+NH4,726.528,537.4888,355.3207,257.2111
BMP(12:0_19:1)+NH4,724.5123,535.4732,353.305,257.2111
BMP(12:0_19:2)+NH4,722.4966,533.4575,351.2894,257.2111
BMP(12:0_20:0)+NH4,740.5436,551.5045,369.3363,257.2111
BMP(12:0_20:1)+NH4,738.528,549.4888,367.3207,257.2111
BMP(12:0_20:2)+NH4,736.5123,547.4732,365.305,257.2111
BMP(12:0_20:3)+NH4,734.4966,545.4575,363.2894,257.2111
BMP(12:0_20:4)+NH4,732.481,543.4419,361.2737,257.2111
BMP(12:0_20:5)+NH4,730.4653,541.4262,359.2581,257.2111
BMP(12:0_21:0)+NH4,754.5593,565.5201,383.352,257.2111
BMP(12:0_21:1)+NH4,752.5436,563.5045,381.3363,257.2111
BMP(12:0_21:2)+NH4,750.528,561.4888,379.3207,257.2111
BMP(12:0_22:0)+NH4,768.5749,579.5358,397.3676,257.2111
BMP(12:0_22:1)+NH4,766.5593,577.5201,395.352,257.2111
BMP(12:0_22:2)+NH4,764.5436,575.5045,393.3363,257.2111
BMP(12:0_22:3)+NH4,762.528,573.4888,391.3207,257.2111
BMP(12:0_22:4)+NH4,760.5123,571.4732,389.305,257.2111
BMP(12:0_22:5)+NH4,758.4966,569.4575,387.2894,257.2111
BMP(12:0_22:6)+NH4,756.481,567.4419,385.2737,257.2111
BMP(12:0_23:0)+NH4,782.5906,593.5515,411.3833,257.2111
BMP(12:0_24:0)+NH4,796.6062,607.5671,425.3989,257.2111
BMP(12:0_24:1)+NH4,794.5906,605.5515,423.3833,257.2111
BMP(12:0_24:2)+NH4,792.5749,603.5358,421.3676,257.2111
BMP(12:0_24:4)+NH4,788.5436,599.5045,417.3363,257.2111
BMP(12:0_25:0)+NH4,810.6219,621.5827,439.4146,257.2111
BMP(12:0_26:0)+NH4,824.6375,635.5984,453.4302,257.2111
BMP(12:0_26:1)+NH4,822.6219,633.5827,451.4146,257.2111
BMP(12:0_26:2)+NH4,820.6062,631.5671,449.3989,257.2111
BMP(12:0_26:4)+NH4,816.5749,627.5358,445.3676,257.2111
BMP(12:0_27:0)+NH4,838.6531,649.614,467.4459,257.2111
BMP(13:0_13:0)+NH4,656.4497,467.4106,271.2268,271.2268
BMP(13:0_13:1)+NH4,654.4341,465.3949,269.2111,271.2268
BMP(13:0_14:0)+NH4,670.4653,481.4262,285.2424,271.2268
BMP(13:0_14:1)+NH4,668.4497,479.4106,283.2268,271.2268
BMP(13:0_15:0)+NH4,684.481,495.4419,299.2581,271.2268
BMP(13:0_15:1)+NH4,682.4653,493.4262,297.2424,271.2268
BMP(13:0_16:0)+NH4,698.4966,509.4575,313.2737,271.2268
BMP(13:0_16:1)+NH4,696.481,507.4419,311.2581,271.2268
BMP(13:0_16:2)+NH4,694.4653,505.4262,309.2424,271.2268
BMP(13:0_16:3)+NH4,692.4497,503.4106,307.2268,271.2268
BMP(13:0_16:4)+NH4,690.4341,501.3949,305.2111,271.2268
BMP(13:0_17:0)+NH4,712.5123,523.4732,327.2894,271.2268
BMP(13:0_17:1)+NH4,710.4966,521.4575,325.2737,271.2268
BMP(13:0_17:2)+NH4,708.481,519.4419,323.2581,271.2268
BMP(13:0_18:0)+NH4,726.528,537.4888,341.305,271.2268
BMP(13:0_18:1)+NH4,724.5123,535.4732,339.2894,271.2268
BMP(13:0_18:2)+NH4,722.4966,533.4575,337.2737,271.2268
BMP(13:0_18:3)+NH4,720.481,531.4419,335.2581,271.2268
BMP(13:0_18:4)+NH4,718.4653,529.4262,333.2424,271.2268
BMP(13:0_18:5)+NH4,716.4497,527.4106,331.2268,271.2268
BMP(13:0_19:0)+NH4,740.5436,551.5045,355.3207,271.2268
BMP(13:0_19:1)+NH4,738.528,549.4888,353.305,271.2268
BMP(13:0_19:2)+NH4,736.5123,547.4732,351.2894,271.2268
BMP(13:0_20:0)+NH4,754.5593,565.5201,369.3363,271.2268
BMP(13:0_20:1)+NH4,752.5436,563.5045,367.3207,271.2268
BMP(13:0_20:2)+NH4,750.528,561.4888,365.305,271.2268
BMP(13:0_20:3)+NH4,748.5123,559.4732,363.2894,271.2268
BMP(13:0_20:4)+NH4,746.4966,557.4575,361.2737,271.2268
BMP(13:0_20:5)+NH4,744.481,555.4419,359.2581,271.2268
BMP(13:0_21:0)+NH4,768.5749,579.5358,383.352,271.2268
BMP(13:0_21:1)+NH4,766.5593,577.5201,381.3363,271.2268
BMP(13:0_21:2)+NH4,764.5436,575.5045,379.3207,271.2268
BMP(13:0_22:0)+NH4,782.5906,593.5515,397.3676,271.2268
BMP(13:0_22:1)+NH4,780.5749,591.5358,395.352,271.2268
BMP(13:0_22:2)+NH4,778.5593,589.5201,393.3363,271.2268
BMP(13:0_22:3)+NH4,776.5436,587.5045,391.3207,271.2268
BMP(13:0_22:4)+NH4,774.528,585.4888,389.305,271.2268
BMP(13:0_22:5)+NH4,772.5123,583.4732,387.2894,271.2268
BMP(13:0_22:6)+NH4,770.4966,581.4575,385.2737,271.2268
BMP(13:0_23:0)+NH4,796.6062,607.5671,411.3833,271.2268
BMP(13:0_24:0)+NH4,810.6219,621.5827,425.3989,271.2268
BMP(13:0_24:1)+NH4,808.6062,619.5671,423.3833,271.2268
BMP(13:0_24:2)+NH4,806.5906,617.5515,421.3676,271.2268
BMP(13:0_24:4)+NH4,802.5593,613.5201,417.3363,271.2268
BMP(13:0_25:0)+NH4,824.6375,635.5984,439.4146,271.2268
BMP(13:0_26:0)+NH4,838.6531,649.614,453.4302,271.2268
BMP(13:0_26:1)+NH4,836.6375,647.5984,451.4146,271.2268
BMP(13:0_26:2)+NH4,834.6219,645.5827,449.3989,271.2268
BMP(13:0_26:4)+NH4,830.5906,641.5515,445.3676,271.2268
BMP(13:0_27:0)+NH4,852.6688,663.6297,467.4459,271.2268
BMP(13:1_13:1)+NH4,652.4184,463.3793,269.2111,269.2111
BMP(14:0_13:1)+NH4,668.4497,479.4106,269.2111,285.2424
BMP(13:1_14:1)+NH4,666.4341,477.3949,283.2268,269.2111
BMP(15:0_13:1)+NH4,682.4653,493.4262,269.2111,299.2581
BMP(13:1_15:1)+NH4,680.4497,491.4106,297.2424,269.2111
BMP(16:0_13:1)+NH4,696.481,507.4419,269.2111,313.2737
BMP(13:1_16:1)+NH4,694.4653,505.4262,311.2581,269.2111
BMP(13:1_16:2)+NH4,692.4497,503.4106,309.2424,269.2111
BMP(13:1_16:3)+NH4,690.4341,501.3949,307.2268,269.2111
BMP(13:1_16:4)+NH4,688.4184,499.3793,305.2111,269.2111
BMP(17:0_13:1)+NH4,710.4966,521.4575,269.2111,327.2894
BMP(13:1_17:1)+NH4,708.481,519.4419,325.2737,269.2111
BMP(13:1_17:2)+NH4,706.4653,517.4262,323.2581,269.2111
BMP(18:0_13:1)+NH4,724.5123,535.4732,269.2111,341.305
BMP(13:1_18:1)+NH4,722.4966,533.4575,339.2894,269.2111
BMP(13:1_18:2)+NH4,720.481,531.4419,337.2737,269.2111
BMP(13:1_18:3)+NH4,718.4653,529.4262,335.2581,269.2111
BMP(13:1_18:4)+NH4,716.4497,527.4106,333.2424,269.2111
BMP(13:1_18:5)+NH4,714.4341,525.395,331.2268,269.2111
BMP(19:0_13:1)+NH4,738.528,549.4888,269.2111,355.3207
BMP(13:1_19:1)+NH4,736.5123,547.4732,353.305,269.2111
BMP(13:1_19:2)+NH4,734.4966,545.4575,351.2894,269.2111
BMP(20:0_13:1)+NH4,752.5436,563.5045,269.2111,369.3363
BMP(13:1_20:1)+NH4,750.528,561.4888,367.3207,269.2111
BMP(13:1_20:2)+NH4,748.5123,559.4732,365.305,269.2111
BMP(13:1_20:3)+NH4,746.4966,557.4575,363.2894,269.2111
BMP(13:1_20:4)+NH4,744.481,555.4419,361.2737,269.2111
BMP(13:1_20:5)+NH4,742.4653,553.4262,359.2581,269.2111
BMP(21:0_13:1)+NH4,766.5593,577.5201,269.2111,383.352
BMP(13:1_21:1)+NH4,764.5436,575.5045,381.3363,269.2111
BMP(13:1_21:2)+NH4,762.528,573.4888,379.3207,269.2111
BMP(22:0_13:1)+NH4,780.5749,591.5358,269.2111,397.3676
BMP(13:1_22:1)+NH4,778.5593,589.5201,395.352,269.2111
BMP(13:1_22:2)+NH4,776.5436,587.5045,393.3363,269.2111
BMP(13:1_22:3)+NH4,774.528,585.4888,391.3207,269.2111
BMP(13:1_22:4)+NH4,772.5123,583.4732,389.305,269.2111
BMP(13:1_22:5)+NH4,770.4966,581.4575,387.2894,269.2111
BMP(13:1_22:6)+NH4,768.481,579.4419,385.2737,269.2111
BMP(23:0_13:1)+NH4,794.5906,605.5515,269.2111,411.3833
BMP(24:0_13:1)+NH4,808.6062,619.5671,269.2111,425.3989
BMP(13:1_24:1)+NH4,806.5906,617.5515,423.3833,269.2111
BMP(13:1_24:2)+NH4,804.5749,615.5358,421.3676,269.2111
BMP(13:1_24:4)+NH4,800.5436,611.5045,417.3363,269.2111
BMP(25:0_13:1)+NH4,822.6219,633.5827,269.2111,439.4146
BMP(26:0_13:1)+NH4,836.6375,647.5984,269.2111,453.4302
BMP(13:1_26:1)+NH4,834.6219,645.5827,451.4146,269.2111
BMP(13:1_26:2)+NH4,832.6062,643.5671,449.3989,269.2111
BMP(13:1_26:4)+NH4,828.5749,639.5358,445.3676,269.2111
BMP(27:0_13:1)+NH4,850.6531,661.614,269.2111,467.4459
BMP(14:0_14:0)+NH4,684.481,495.4419,285.2424,285.2424
BMP(14:0_14:1)+NH4,682.4653,493.4262,283.2268,285.2424
BMP(14:0_15:0)+NH4,698.4966,509.4575,299.2581,285.2424
BMP(14:0_15:1)+NH4,696.481,507.4419,297.2424,285.2424
BMP(14:0_16:0)+NH4,712.5123,523.4732,313.2737,285.2424
BMP(14:0_16:1)+NH4,710.4966,521.4575,311.2581,285.2424
BMP(14:0_16:2)+NH4,708.481,519.4419,309.2424,285.2424
BMP(14:0_16:3)+NH4,706.4653,517.4262,307.2268,285.2424
BMP(14:0_16:4)+NH4,704.4497,515.4106,305.2111,285.2424
BMP(14:0_17:0)+NH4,726.528,537.4888,327.2894,285.2424
BMP(14:0_17:1)+NH4,724.5123,535.4732,325.2737,285.2424
BMP(14:0_17:2)+NH4,722.4966,533.4575,323.2581,285.2424
BMP(14:0_18:0)+NH4,740.5436,551.5045,341.305,285.2424
BMP(14:0_18:1)+NH4,738.528,549.4888,339.2894,285.2424
BMP(14:0_18:2)+NH4,736.5123,547.4732,337.2737,285.2424
BMP(14:0_18:3)+NH4,734.4966,545.4575,335.2581,285.2424
BMP(14:0_18:4)+NH4,732.481,543.4419,333.2424,285.2424
BMP(14:0_18:5)+NH4,730.4653,541.4262,331.2268,285.2424
BMP(14:0_19:0)+NH4,754.5593,565.5201,355.3207,285.2424
BMP(14:0_19:1)+NH4,752.5436,563.5045,353.305,285.2424
BMP(14:0_19:2)+NH4,750.528,561.4888,351.2894,285.2424
BMP(14:0_20:0)+NH4,768.5749,579.5358,369.3363,285.2424
BMP(14:0_20:1)+NH4,766.5593,577.5201,367.3207,285.2424
BMP(14:0_20:2)+NH4,764.5436,575.5045,365.305,285.2424
BMP(14:0_20:3)+NH4,762.528,573.4888,363.2894,285.2424
BMP(14:0_20:4)+NH4,760.5123,571.4732,361.2737,285.2424
BMP(14:0_20:5)+NH4,758.4966,569.4575,359.2581,285.2424
BMP(14:0_21:0)+NH4,782.5906,593.5515,383.352,285.2424
BMP(14:0_21:1)+NH4,780.5749,591.5358,381.3363,285.2424
BMP(14:0_21:2)+NH4,778.5593,589.5201,379.3207,285.2424
BMP(14:0_22:0)+NH4,796.6062,607.5671,397.3676,285.2424
BMP(14:0_22:1)+NH4,794.5906,605.5515,395.352,285.2424
BMP(14:0_22:2)+NH4,792.5749,603.5358,393.3363,285.2424
BMP(14:0_22:3)+NH4,790.5593,601.5201,391.3207,285.2424
BMP(14:0_22:4)+NH4,788.5436,599.5045,389.305,285.2424
BMP(14:0_22:5)+NH4,786.528,597.4888,387.2894,285.2424
BMP(14:0_22:6)+NH4,784.5123,595.4732,385.2737,285.2424
BMP(14:0_23:0)+NH4,810.6219,621.5827,411.3833,285.2424
BMP(14:0_24:0)+NH4,824.6375,635.5984,425.3989,285.2424
