CL,[M-H]-,SN1+SN2+C6H10O5P,SN3+SN4+C6H10O5P,SN1+SN2+C3H6PO4,SN3+SN4+C3H6PO4,SN1+SN2+C6H11P2O8,SN3+SN4+C6H11P2O8,SN1+C3H6PO4,SN2+C3H6PO4,SN3+C3H6PO4,SN4+C3H6PO4,SN1_FA,SN2_FA,SN3_FA,SN4_FA
CL(14:0_14:0_16:0_20:0)-H,1351.96487,647.42909,759.55421,591.40288,703.528,727.39543,839.52055,363.19408,363.19408,391.22536,447.28792,227.20153,227.20153,255.23281,311.29537
CL(14:0_14:0_16:0_20:1)-H,1349.94923,647.42909,757.53857,591.40288,701.51236,727.39543,837.50491,363.19408,363.19408,391.22536,445.27228,227.20153,227.20153,255.23281,309.27973
CL(14:0_14:0_16:0_20:2)-H,1347.93359,647.42909,755.52293,591.40288,699.49672,727.39543,835.48927,363.19408,363.19408,391.22536,443.25664,227.20153,227.20153,255.23281,307.26409
CL(14:0_14:0_16:0_20:3)-H,1345.91795,647.42909,753.50729,591.40288,697.48108,727.39543,833.47363,363.19408,363.19408,391.22536,441.241,227.20153,227.20153,255.23281,305.24845
CL(14:0_14:0_16:0_20:4)-H,1343.90231,647.42909,751.49165,591.40288,695.46544,727.39543,831.45799,363.19408,363.19408,391.22536,439.22536,227.20153,227.20153,255.23281,303.23281
CL(14:0_14:0_16:0_22:0)-H,1379.99615,647.42909,787.58549,591.40288,731.55928,727.39543,867.55183,363.19408,363.19408,391.22536,475.3192,227.20153,227.20153,255.23281,339.32665
CL(14:0_14:0_16:0_22:5)-H,1369.91795,647.42909,777.50729,591.40288,721.48108,727.39543,857.47363,363.19408,363.19408,391.22536,465.241,227.20153,227.20153,255.23281,329.24845
CL(14:0_14:0_16:0_22:6)-H,1367.90231,647.42909,775.49165,591.40288,719.46544,727.39543,855.45799,363.19408,363.19408,391.22536,463.22536,227.20153,227.20153,255.23281,327.23281
CL(14:0_14:0_16:1_16:1)-H,1291.87103,647.42909,699.46037,591.40288,643.43416,727.39543,779.42671,363.19408,363.19408,389.20972,389.20972,227.20153,227.20153,253.21717,253.21717
CL(14:0_14:0_16:1_18:0)-H,1321.91795,647.42909,729.50729,591.40288,673.48108,727.39543,809.47363,363.19408,363.19408,389.20972,419.25664,227.20153,227.20153,253.21717,283.26409
CL(14:0_14:0_16:1_18:1)-H,1319.90231,647.42909,727.49165,591.40288,671.46544,727.39543,807.45799,363.19408,363.19408,389.20972,417.241,227.20153,227.20153,253.21717,281.24845
CL(14:0_14:0_16:1_18:2)-H,1317.88667,647.42909,725.47601,591.40288,669.4498,727.39543,805.44235,363.19408,363.19408,389.20972,415.22536,227.20153,227.20153,253.21717,279.23281
CL(14:0_14:0_16:1_18:3)-H,1315.87103,647.42909,723.46037,591.40288,667.43416,727.39543,803.42671,363.19408,363.19408,389.20972,413.20972,227.20153,227.20153,253.21717,277.21717
CL(14:0_14:0_16:1_20:0)-H,1349.94923,647.42909,757.53857,591.40288,701.51236,727.39543,837.50491,363.19408,363.19408,389.20972,447.28792,227.20153,227.20153,253.21717,311.29537
CL(14:0_14:0_16:1_20:1)-H,1347.93359,647.42909,755.52293,591.40288,699.49672,727.39543,835.48927,363.19408,363.19408,389.20972,445.27228,227.20153,227.20153,253.21717,309.27973
CL(14:0_14:0_16:1_20:2)-H,1345.91795,647.42909,753.50729,591.40288,697.48108,727.39543,833.47363,363.19408,363.19408,389.20972,443.25664,227.20153,227.20153,253.21717,307.26409
CL(14:0_14:0_16:1_20:3)-H,1343.90231,647.42909,751.49165,591.40288,695.46544,727.39543,831.45799,363.19408,363.19408,389.20972,441.241,227.20153,227.20153,253.21717,305.24845
CL(14:0_14:0_16:1_20:4)-H,1341.88667,647.42909,749.47601,591.40288,693.4498,727.39543,829.44235,363.19408,363.19408,389.20972,439.22536,227.20153,227.20153,253.21717,303.23281
CL(14:0_14:0_16:1_22:0)-H,1377.98051,647.42909,785.56985,591.40288,729.54364,727.39543,865.53619,363.19408,363.19408,389.20972,475.3192,227.20153,227.20153,253.21717,339.32665
CL(14:0_14:0_16:1_22:5)-H,1367.90231,647.42909,775.49165,591.40288,719.46544,727.39543,855.45799,363.19408,363.19408,389.20972,465.241,227.20153,227.20153,253.21717,329.24845
CL(14:0_14:0_16:1_22:6)-H,1365.88667,647.42909,773.47601,591.40288,717.4498,727.39543,853.44235,363.19408,363.19408,389.20972,463.22536,227.20153,227.20153,253.21717,327.23281
CL(14:0_14:0_18:0_18:0)-H,1351.96487,647.42909,759.55421,591.40288,703.528,727.39543,839.52055,363.19408,363.19408,419.25664,419.25664,227.20153,227.20153,283.26409,283.26409
CL(14:0_14:0_18:0_18:1)-H,1349.94923,647.42909,757.53857,591.40288,701.51236,727.39543,837.50491,363.19408,363.19408,419.25664,417.241,227.20153,227.20153,283.26409,281.24845
CL(14:0_14:0_18:0_18:2)-H,1347.93359,647.42909,755.52293,591.40288,699.49672,727.39543,835.48927,363.19408,363.19408,419.25664,415.22536,227.20153,227.20153,283.26409,279.23281
CL(14:0_14:0_18:0_18:3)-H,1345.91795,647.42909,753.50729,591.40288,697.48108,727.39543,833.47363,363.19408,363.19408,419.25664,413.20972,227.20153,227.20153,283.26409,277.21717
CL(14:0_14:0_18:0_20:0)-H,1379.99615,647.42909,787.58549,591.40288,731.55928,727.39543,867.55183,363.19408,363.19408,419.25664,447.28792,227.20153,227.20153,283.26409,311.29537
CL(14:0_14:0_18:0_20:1)-H,1377.98051,647.42909,785.56985,591.40288,729.54364,727.39543,865.53619,363.19408,363.19408,419.25664,445.27228,227.20153,227.20153,283.26409,309.27973
CL(14:0_14:0_18:0_20:2)-H,1375.96487,647.42909,783.55421,591.40288,727.528,727.39543,863.52055,363.19408,363.19408,419.25664,443.25664,227.20153,227.20153,283.26409,307.26409
CL(14:0_14:0_18:0_20:3)-H,1373.94923,647.42909,781.53857,591.40288,725.51236,727.39543,861.50491,363.19408,363.19408,419.25664,441.241,227.20153,227.20153,283.26409,305.24845
CL(14:0_14:0_18:0_20:4)-H,1371.93359,647.42909,779.52293,591.40288,723.49672,727.39543,859.48927,363.19408,363.19408,419.25664,439.22536,227.20153,227.20153,283.26409,303.23281
CL(14:0_14:0_18:0_22:0)-H,1408.02743,647.42909,815.61677,591.40288,759.59056,727.39543,895.58311,363.19408,363.19408,419.25664,475.3192,227.20153,227.20153,283.26409,339.32665
CL(14:0_14:0_18:0_22:5)-H,1397.94923,647.42909,805.53857,591.40288,749.51236,727.39543,885.50491,363.19408,363.19408,419.25664,465.241,227.20153,227.20153,283.26409,329.24845
CL(14:0_14:0_18:0_22:6)-H,1395.93359,647.42909,803.52293,591.40288,747.49672,727.39543,883.48927,363.19408,363.19408,419.25664,463.22536,227.20153,227.20153,283.26409,327.23281
CL(14:0_14:0_18:1_18:1)-H,1347.93359,647.42909,755.52293,591.40288,699.49672,727.39543,835.48927,363.19408,363.19408,417.241,417.241,227.20153,227.20153,281.24845,281.24845
CL(14:0_14:0_18:1_18:2)-H,1345.91795,647.42909,753.50729,591.40288,697.48108,727.39543,833.47363,363.19408,363.19408,417.241,415.22536,227.20153,227.20153,281.24845,279.23281
CL(14:0_14:0_18:1_18:3)-H,1343.90231,647.42909,751.49165,591.40288,695.46544,727.39543,831.45799,363.19408,363.19408,417.241,413.20972,227.20153,227.20153,281.24845,277.21717
CL(14:0_14:0_18:1_20:0)-H,1377.98051,647.42909,785.56985,591.40288,729.54364,727.39543,865.53619,363.19408,363.19408,417.241,447.28792,227.20153,227.20153,281.24845,311.29537
CL(14:0_14:0_18:1_20:1)-H,1375.96487,647.42909,783.55421,591.40288,727.528,727.39543,863.52055,363.19408,363.19408,417.241,445.27228,227.20153,227.20153,281.24845,309.27973
CL(14:0_14:0_18:1_20:2)-H,1373.94923,647.42909,781.53857,591.40288,725.51236,727.39543,861.50491,363.19408,363.19408,417.241,443.25664,227.20153,227.20153,281.24845,307.26409
CL(14:0_14:0_18:1_20:3)-H,1371.93359,647.42909,779.52293,591.40288,723.49672,727.39543,859.48927,363.19408,363.19408,417.241,441.241,227.20153,227.20153,281.24845,305.24845
CL(14:0_14:0_18:1_20:4)-H,1369.91795,647.42909,777.50729,591.40288,721.48108,727.39543,857.47363,363.19408,363.19408,417.241,439.22536,227.20153,227.20153,281.24845,303.23281
CL(14:0_14:0_18:1_22:0)-H,1406.01179,647.42909,813.60113,591.40288,757.57492,727.39543,893.56747,363.19408,363.19408,417.241,475.3192,227.20153,227.20153,281.24845,339.32665
CL(14:0_14:0_18:1_22:5)-H,1395.93359,647.42909,803.52293,591.40288,747.49672,727.39543,883.48927,363.19408,363.19408,417.241,465.241,227.20153,227.20153,281.24845,329.24845
CL(14:0_14:0_18:1_22:6)-H,1393.91795,647.42909,801.50729,591.40288,745.48108,727.39543,881.47363,363.19408,363.19408,417.241,463.22536,227.20153,227.20153,281.24845,327.23281
CL(14:0_14:0_18:2_18:2)-H,1343.90231,647.42909,751.49165,591.40288,695.46544,727.39543,831.45799,363.19408,363.19408,415.22536,415.22536,227.20153,227.20153,279.23281,279.23281
CL(14:0_14:0_18:2_18:3)-H,1341.88667,647.42909,749.47601,591.40288,693.4498,727.39543,829.44235,363.19408,363.19408,415.22536,413.20972,227.20153,227.20153,279.23281,277.21717
CL(14:0_14:0_18:2_20:0)-H,1375.96487,647.42909,783.55421,591.40288,727.528,727.39543,863.52055,363.19408,363.19408,415.22536,447.28792,227.20153,227.20153,279.23281,311.29537
CL(14:0_14:0_18:2_20:1)-H,1373.94923,647.42909,781.53857,591.40288,725.51236,727.39543,861.50491,363.19408,363.19408,415.22536,445.27228,227.20153,227.20153,279.23281,309.27973
CL(14:0_14:0_18:2_20:2)-H,1371.93359,647.42909,779.52293,591.40288,723.49672,727.39543,859.48927,363.19408,363.19408,415.22536,443.25664,227.20153,227.20153,279.23281,307.26409
